 CULLMAN REGIONAL DRG,AVG. CHARGES
744-DC CONIZATION LAPAROSCOPY  TUBAL INTERRUPTION W,"$13,384.18 "
747-VAGINA CERVIX  VULVA PROCEDURES W/O CC/MCC,"$14,938.31 "
74-CRANIAL  PERIPHERAL NERVE DISORDERS W/O MCC,"$23,485.19 "
754-MALIGNANCY FEMALE REPRODUCTIVE SYSTEM W MCC,"$20,227.64 "
755-MALIGNANCY FEMALE REPRODUCTIVE SYSTEM W CC,"$26,441.72 "
758-INFECTIONS FEMALE REPRODUCTIVE SYSTEM W CC,"$20,820.51 "
760-MENSTRUAL  OTHER FEMALE REPRODUCTIVE SYSTEM DISOR,"$19,136.56 "
765-CESAREAN SECTION W CC/MCC,"$13,079.25 "
766-CESAREAN SECTION W/O CC/MCC,"$11,197.81 "
767-VAGINAL DELIVERY W STERILIZATION /OR DC,"$14,418.39 "
768-VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL /OR D,"$4,198.80 "
769-POSTPARTUM  POST ABORTION DIAGNOSES W O.R. PROCED,"$29,633.05 "
76-VIRAL MENINGITIS W/O CC/MCC,"$36,205.34 "
770-ABORTION W DC ASPIRATION CURETTAGE OR HYSTEROTOMY,"$18,567.21 "
774-VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"$8,470.00 "
775-VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"$7,807.48 "
776-POSTPARTUM  POST ABORTION DIAGNOSES W/O O.R. PROC,"$12,287.75 "
777-ECTOPIC PREGNANCY,"$18,039.12 "
778-THREATENED ABORTION,"$2,826.07 "
779-ABORTION W/O DC,"$5,206.51 "
77-HYPERTENSIVE ENCEPHALOPATHY W MCC,"$21,343.69 "
780-FALSE LABOR,"$2,064.15 "
781-OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"$11,454.71 "
782-OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIO,"$1,876.40 "
785-CESAREAN SECTION W STERILIZATION W/O CC/MCC,"$12,084.96 "
786-CESAREAN SECTION W/O STERILIZATION W MCC,"$18,715.11 "
787-CESAREAN SECTION W/O STERILIZATION W CC,"$11,164.89 "
788-CESAREAN SECTION W/O STERILIZATION W/O CC/MCC,"$11,433.76 "
789-NEONATES DIED OR TRANSFERRED TO ANOTHER ACUTE CARE,"$3,965.28 "
78-HYPERTENSIVE ENCEPHALOPATHY W CC,"$11,755.78 "
790-EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROM,"$3,410.52 "
791-PREMATURITY W MAJOR PROBLEMS,"$5,924.57 "
792-PREMATURITY W/O MAJOR PROBLEMS,"$3,649.18 "
793-FULL TERM NEONATE W MAJOR PROBLEMS,"$4,417.65 "
794-NEONATE W OTHER SIGNIFICANT PROBLEMS,"$3,469.77 "
795-NORMAL NEWBORN,"$2,764.71 "
798-VAGINAL DELIVERY W STERILIZATION/DC WO CC/MCC,"$13,023.35 "
801-SPLENECTOMY W/O CC/MCC,"$26,708.75 "
805-VAGINAL DELIVERY W/O STERILIZATION/DC W MCC,"$8,754.24 "
806-VAGINAL DELIVERY W/O STERILIZATION/DC W CC,"$7,804.09 "
807-VAGINAL DELIVERY W/O STERILIZATION/DC W/O CC/MCC,"$7,861.45 "
808-MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS,"$29,487.47 "
809-MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS,"$28,272.46 "
80-NONTRAUMATIC STUPOR  COMA W MCC,"$7,078.60 "
810-MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS,"$8,006.25 "
811-RED BLOOD CELL DISORDERS W MCC,"$26,884.93 "
812-RED BLOOD CELL DISORDERS W/O MCC,"$15,770.60 "
813-COAGULATION DISORDERS,"$33,508.69 "
815-RETICULOENDOTHELIAL  IMMUNITY DISORDERS W CC,"$33,013.17 "
816-RETICULOENDOTHELIAL  IMMUNITY DISORDERS W/O CC/MC,"$7,386.03 "
81-NONTRAUMATIC STUPOR  COMA W/O MCC,"$22,113.45 "
821-LYMPHOMA  LEUKEMIA W MAJOR O.R. PROCEDURE W CC,"$40,285.33 "
823-LYMPHOMA  NON-ACUTE LEUKEMIA W OTHER PROC W MCC,"$42,231.70 "
824-LYMPHOMA  NON-ACUTE LEUKEMIA W OTHER PROC W CC,"$29,611.62 "
825-LYMPHOMA  NON-ACUTE LEUKEMIA W OTHER PROC W/O CC/,"$39,445.31 "
833-OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W/O,"$4,721.58 "
835-ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,"$20,791.38 "
836-ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,"$3,840.87 "
83-TRAUMATIC STUPOR  COMA COMA >1 HR W CC,"$53,537.20 "
843-OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W,"$38,097.81 "
844-OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W,"$21,342.54 "
84-TRAUMATIC STUPOR  COMA COMA >1 HR W/O CC/MCC,"$21,751.38 "
853-INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W,"$100,098.65 "
854-INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W,"$42,946.74 "
855-INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W,"$37,950.72 "
856-POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R.,"$32,417.56 "
857-POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R.,"$44,361.12 "
858-POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R.,"$28,940.54 "
85-TRAUMATIC STUPOR  COMA COMA <1 HR W MCC,"$45,903.40 "
862-POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W MCC,"$27,919.01 "
863-POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W/O MCC,"$18,223.04 "
864-FEVER AND INFLAMMATORY CONDITIONS,"$18,134.06 "
865-VIRAL ILLNESS W MCC,"$19,498.18 "
866-VIRAL ILLNESS W/O MCC,"$12,435.48 "
867-OTHER INFECTIOUS  PARASITIC DISEASES DIAGNOSES W,"$27,356.04 "
868-OTHER INFECTIOUS  PARASITIC DISEASES DIAGNOSES W,"$48,493.45 "
86-TRAUMATIC STUPOR  COMA COMA <1 HR W CC,"$20,834.79 "
870-SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERI,"$121,058.81 "
871-SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"$40,195.19 "
872-SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O M,"$21,949.99 "
880-ACUTE ADJUSTMENT REACTION  PSYCHOSOCIAL DYSFUNCTI,"$24,587.97 "
884-ORGANIC DISTURBANCES  INTELLECTUAL DISABILITY,"$25,960.12 "
885-PSYCHOSES,"$25,630.40 "
887-OTHER MENTAL DISORDER DIAGNOSES,"$13,105.43 "
894-ALCOHOL/DRUG ABUSE OR DEPENDENCE LEFT AMA,"$23,595.53 "
896-ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATIO,"$40,531.22 "
897-ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATIO,"$14,368.76 "
89-CONCUSSION W CC,"$11,927.47 "
901-WOUND DEBRIDEMENTS FOR INJURIES W MCC,"$204,922.38 "
906-HAND PROCEDURES FOR INJURIES,"$10,278.83 "
907-OTHER O.R. PROCEDURES FOR INJURIES W MCC,"$91,719.82 "
908-OTHER O.R. PROCEDURES FOR INJURIES W CC,"$36,261.16 "
909-OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC,"$20,290.53 "
913-TRAUMATIC INJURY W MCC,"$15,579.06 "
914-TRAUMATIC INJURY W/O MCC,"$17,969.91 "
915-ALLERGIC REACTIONS W MCC,"$45,580.46 "
916-ALLERGIC REACTIONS W/O MCC,"$14,422.49 "
917-POISONING  TOXIC EFFECTS OF DRUGS W MCC,"$25,722.33 "
918-POISONING  TOXIC EFFECTS OF DRUGS W/O MCC,"$16,278.38 "
919-COMPLICATIONS OF TREATMENT W MCC,"$34,687.95 "
91-OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"$37,157.18 "
920-COMPLICATIONS OF TREATMENT W CC,"$13,348.58 "
921-COMPLICATIONS OF TREATMENT W/O CC/MCC,"$12,800.20 "
923-OTHER INJURY POISONING  TOXIC EFFECT DIAG W/O MCC,"$10,881.55 "
928-FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W CC,"$11,468.23 "
92-OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$30,339.73 "
934-FULL THICKNESS BURN W/O SKIN GRAFT OR INHAL INJ,"$10,347.46 "
935-NON-EXTENSIVE BURNS,"$10,236.37 "
93-OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"$17,473.92 "
940-O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SE,"$19,363.97 "
947-SIGNS  SYMPTOMS W MCC,"$20,930.93 "
948-SIGNS  SYMPTOMS W/O MCC,"$15,545.60 "
949-AFTERCARE W CC/MCC,"$5,332.60 "
951-OTHER FACTORS INFLUENCING HEALTH STATUS,"$5,954.37 "
956-LIMB REATTACHMENT HIP  FEMUR PROC FOR MULTIPLE SI,"$67,236.11 "
95-BACTERIAL  TUBERCULOUS INFECTIONS OF NERVOUS SYST,"$40,345.70 "
963-OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC,"$38,202.80 "
964-OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,"$12,128.31 "
965-OTHER MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,"$30,778.55 "
974-HIV W MAJOR RELATED CONDITION W MCC,"$64,549.39 "
975-HIV W MAJOR RELATED CONDITION W CC,"$74,489.77 "
977-HIV W OR W/O OTHER RELATED CONDITION,"$22,795.87 "
981-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DI,"$66,081.98 "
982-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DI,"$35,413.09 "
983-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DI,"$20,943.50 "
987-NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIA,"$55,375.32 "
988-NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIA,"$19,308.29 "
989-NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIA,"$36,769.90 "
99-NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENI,"$37,507.12 "
