Procedure Code,Procedure Name,Charge
027200611-06843,INTRODUCER BRITE TIP SHEATH 8FR 90CM,$190.13 
027200611-06845,INTRODUCER SHEATH GLIDESHEATH 10CM 45CM 5FR .074IN .021IN HYDROPHILIC SPRING STRAIGHT TIP GUIDEWIRE,$190.35 
027200611-06846,INTRODUCER SHEATH GLIDESHEATH 10CM 45CM 6FR .087IN .035IN HYDROPHILIC SPRING J TIP GUIDEWIRE,$190.35 
027200611-06885,CATHETER PICC LINE NEO 1.9CM,$192.29 
027200611-06905,SET INTRODUCER DESILETS-HOFFMAN 70CM 30CM 8FR 10FR SHEATH CATHETER RADIOPAQUE BAND,$193.19 
027200611-07038,SHEATH GUIDING CHECK-FLO FLEXOR 45CM 4FR 1.5IN .018-.035IN ANL0 CURVE HYDROPHILIC RADIOPAQUE BAND STRAIGHT TIP SHORT DILATOR ANSEL MODIFICATION STERILE DISPOSABLE,$200.88 
027200611-07226,INTRODUCER FLEXOR CHECK FLO 6FR 70CM,$209.25 
027200611-07227,INTRODUCER FLEXOR CHECK FLO 6FR 90CM,$209.25 
027200611-07228,INTRODUCER FLEXOR CHECK FLO 7FR 70CM,$209.25 
027200611-07229,INTRODUCER FLEXOR CHECK FLO 7FR 90CM,$209.25 
027200611-07230,INTRODUCER FLEXOR CHECK FLOW 8FR 70CM,$209.25 
027200611-07231,INTRODUCER RADIOPAQUE RAABE 5F 70CM .038IN,$209.25 
027200611-07232,INTRODUCER RADIOPAQUE RAABE 5F 90CM .038IN,$209.25 
027200611-07283,KIT INTRODUCER PERCUTANEOUS ARROWG+ARD BLUE BLUE FLEXTIP 10CM 6.35CM 9FR 18GA .035IN POLY,$210.83 
027200611-07484,CATHETER ENDOSCOPIC 320CM 5FR .035IN PURPLE ACCEPTS 8.5FR STENT INTRODUCER SET GUIDEWIRE,$220.50 
027200611-07485,CATHETER GUIDING 320CM 6FR 10-11.5FR PURPLE ACCEPTS .035IN GUIDEWIRE STENT INTRODUCER,$220.50 
027200611-07741,INTRO SHTH FLEXOR .035IN .45CM 11.4C10FR,$230.18 
027200611-07742,INTRODUCER SHEATH HIGH FLEX ANSEL 1 7F 55CM,$230.18 
027200611-07743,INTRODUCER SHEATH HIGH FLX ANL1 8F 55CM,$230.18 
027200611-07744,SHEATH FLEXOR ANSEL GUIDE W/VALVE 6FR,$230.18 
027200611-07745,SHEATH FLEXOR ANSEL GUIDING 12FR 45CM,$230.18 
027200611-07846,SHEATH INTRODUCER PERCUTANEOUS 6FR,$234.90 
027200611-07963,INTRODUCER FLEXOR 8F .038IN 2.9MMX90CM,$242.73 
027200611-07964,INTRODUCER SHEATH PERIPHERAL CHECK-FLO FLEXOR 40CM 10FR .038IN LONG LARGE VALVE ASSEMBLY RADIOPAQUE BAND NONTAPERED END MAXIMUM FLEXIBILITY STERILE DISPOSABLE,$242.73 
027200611-08069,SHEATH FLOSHIELD AIR 10MM 0 DEGREE STRYK,$247.50 
027200611-08070,SHEATH FLOSHIELD AIR 10MM 45 DEGREE STRY,$247.50 
027200611-08071,SHEATH FLOSHIELD AIR 5MM 0 DEGREE STRYKE,$247.50 
027200611-08072,SHEATH FLOSHIELD AIR 5MM 45 DEGREE STRYK,$247.50 
027200611-08167,SET INTRODUCER CHECK-FLO 30CM 41CM 12FR .038IN LARGE RADIOPAQUE DILATOR VALVE ASSEMBLY SHEATH SIDEARM FITTING STERILE DISPOSABLE,$251.10 
027200611-08600,INTRO SHTH FLEXOR .035IN 70CM 8FR .11IN,$272.03 
027200611-08609,INTRODUCER SHEATH SLENDER GLIDESHEATH 10CM 45CM 6FR 20GA .021IN STRAIGHT THIN WALL HYDROPHILIC STAINLESS STEEL FLEXIBLE MINI WIRE,$272.25 
027200611-08731,SHEATH PERITONEAL 61CM 24IN 5/BX,$279.90 
027200611-08732,SHEATH PERITONEAL 70CM 24IN,$279.90 
027200611-08928,INTRODUCER PERCUTANEOUS LEAD 9FR,$292.50 
027200611-08940,SET INTRODUCER PERCUTANEOUS SUPER ARROW-FLEX 90CM 6FR 8FR ADULT 3 WAY STOPCOCK SHEATH RADIOPAQUE INTEGRAL HEMOSTASIS VALVE OBTURATOR LATEX FREE,$292.50 
027200611-09170,INTRODUCER LEAD PERCUTANEOUS SOLO-TRAK 9FR 1 CHAMBER BRAID,$306.00 
027200611-09302,INTRODUCER SUPRAPUBIC 1STEP 20F 17X20CM,$316.80 
027200611-09473,SET INTRODUCER SHTH PERCTNS6F17.75IN5/CS,$326.30 
027200611-09491,INTRODUCER PERCUTANEOUS LEAD SIDE PORT 9F 25CM,$328.50 
027200611-09492,KIT INTRODUCER SAFESHEATH 9F 23CM,$328.50 
027200611-09493,KIT INTRODUCER SAFESHEATH II 23 CM 7 FR,$328.50 
027200611-09523,INTRODUCER CATHETER TRANSJUGULAR INTRAHEPATIC CHECK-FLO FLEXOR 38.5CM 10FR .035IN CHECK FLO VALVE RADIOPAQUE BAND TRANSJUGULAR RING GUIDING SHEATH STERILE DISPOSABLE,$330.75 
027200611-09587,INTRODUCER CATHETER CHECK-FLO 70CM 81CM 11FR RB DESIGN RADIOPAQUE TIP SIDE CONNECTION LINE SHEATH STERILE DISPOSABLE,$334.80 
027200611-09588,INTRODUCER SHEATH CHECK-FLO FLEXOR 80CM 12FR .038IN VALVE RADIOPAQUE BAND GUIDEWIRE STERILE DISPOSABLE,$334.80 
027200611-09784,INTRODUCER SHEATH INTRACARDIAC SAFESHEATH 13CM 7FR GUIDING ELECTROPHYSIOLOGICAL NONLASER TEAR AWAY,$337.50 
027200611-09803,SET INTRODUCER SHTH PERCTNS5F17.75IN5/CS,$337.50 
027200611-10329,INTRODUCER SHTH FEP POLYMER 85CM 12FR,$364.10 
027200611-10355,SET INTRODUCR SHTH PERCTNS6F25 5/8IN5/CS,$365.40 
027200611-10462,INTRODUCER CATHETER TRANSSEPTAL FAST-CATH 40CM 6FR .038IN HEMOSTASIS,$373.50 
027200611-10506,SET INTRODUCER SHTH PERCTNS5F255/8IN5/CS,$376.20 
027200611-10510,SYSTEM INTRODUCER ACCUSTICK II 60CM 145CM 6FR 4FR .018IN .038IN J FLOPPY PLATINUM STAINLESS STEEL 2 GUIDEWIRE COAXIAL DILATOR RADIOPAQUE STIFF CANNULA STERILE DISPOSABLE,$376.65 
027200611-10589,INTRODUCER SHEATH 12FR 30CM,$382.50 
027200611-11095,SHEATH ACCESS URETER FORTE AXP 35CM 14-18FR 12FR 2 HYDROPHILIC DILATOR LATEX FREE,$405.00 
027200611-11103,INTRODUCER CATH CHK-FLO 45CM 16FR,$405.95 
027200611-11104,INTRODUCER CATHETER PERFORMER 85CM 18FR 5.9MM LARGE ACCEPTS .038IN GUIDEWIRE RADIOPAQUE BAND,$405.95 
027200611-11105,INTRODUCER CATHETER PERFORMER CHECK-FLO 40CM 52CM 18FR 5.9MM LARGE ACCEPTS .038IN GUIDEWIRE RADIOPAQUE BAND CLOSED SHEATH DILATOR STERILE DISPOSABLE,$405.95 
027200611-11106,INTRODUCER CHECK FLO 16FR 35CM,$405.95 
027200611-11107,INTRODUCER HAUSDORF-LOCK 10FR.038IN75CM,$405.95 
027200611-11108,INTRODUCER HAUSDORF-LOCK 12FR.038IN 75CM,$405.95 
027200611-11109,INTRODUCER LARGE 18FR 30X42CM .038IN,$405.95 
027200611-11110,INTRODUCER SHEATH CHECK-FLO PERFORMER 30CM 42CM 16FR .038IN LARGE RADIOPAQUE BAND NONTAPERED END STERILE DISPOSABLE,$405.95 
027200611-11111,SET INTRODUCER VALVE LG 14F 30X41CM.038`,$405.95 
027200611-11112,SHEATH GD PERFORMER 75CM 14FR 4.6MM,$405.95 
027200611-11330,INTRODUCER CATH 90CM 7FR 2.5MM,$418.50 
027200611-11331,INTRODUCER CATH HYDRO 90CM 8FR,$418.50 
027200611-11332,INTRODUCER CATHETER FLEXOR 90CM 5FR .018-.038IN HYDROPHILIC TUOHY BORST SIDEARM DILATOR RADIOPAQUE BAND STERILE DISPOSABLE,$418.50 
027200611-11333,INTRODUCER CATHETER FLEXOR SHUTTLE-SL 90CM 4FR .059IN .018/.035IN ANL0 CURVE HYDROPHILIC 2 DILATOR RADIOPAQUE BAND ADJUSTABLE VALVE TUOHY BORST SIDEARM GUIDING SHEATH STERILE DISPOSABLE,$418.50 
027200611-11334,INTRODUCER SHEATH FLEXOR SHUTTLE-SL 80CM 7FR .1IN HYDROPHILIC TUOHY BORST SIDEARM RADIOPAQUE BAND ATRAUMATIC SOFT TIP DILATOR STERILE DISPOSABLE,$418.50 
027200611-11343,SHEATH GUIDING CHECK-FLO FLEXOR 90CM 4FR .059IN .018/.035IN ANL0 CURVE HYDROPHILIC RADIOPAQUE BAND HEMOSTASIS VALVE SHORT DILATOR TIP GUIDING SHEATH ANSEL MODIFICATION STERILE DISPOSABLE,$418.50 
027200611-11344,SHEATH GUIDING FLEXOR .038IN 6FR 90CM,$418.50 
027200611-11345,SHEATH GUIDING FLEXOR SHUTTLE 80CM 6FR 2.2MM AQ ACCEPTS .038IN GUIDEWIRE SOFT TIP RADIOPAQUE BAND STIFF SHAFT STERILE DISPOSABLE,$418.50 
027200611-11778,SHEATH ANCILLARY TEAR AWAY 9FR ENDOLOGIX,$427.50 
027200611-12642,INTRODUCER SET TUOHY SIDE ARM 6FR 0.038INX90CM,$468.72 
027200611-12687,INTRODUCER SHEATH PINNACLE DESTINATION 45CM 6FR HYDROPHILIC PTFE GUIDING MP CURVE TUOHY BORST VALVE,$470.25 
027200611-12688,INTRODUCER SHEATH PINNACLE DESTINATION 45CM 6FR HYDROPHILIC PTFE GUIDING RDC CURVE TUOHY BORST VALVE,$470.25 
027200611-12689,INTRODUCER SHTH PINN HYDRO PTFE 45CM 7FR,$470.25 
027200611-12692,PINNACLE DESTINATION STR 6F,$470.25 
027200611-12693,SHEATH GDNG PNCL DSTNT 5X45CM 7FR CRSCT,$470.25 
027200611-12694,SHEATH GUIDE TUOHY BORST HS CRV 6FR 45CM,$470.25 
027200611-12695,SHEATH GUIDE TUOHY BRST RDC CRV 7FR 45CM,$470.25 
027200611-12696,SHEATH GUIDING PERIPHERAL PINNACLE DESTINATION 45CM 35CM 8FR STRAIGHT HYDROPHILIC 3 RADIOPAQUE CROSS CUT VALVE,$470.25 
027200611-12697,SHEATH GUIDING PINNACLE DESTINATION 45CM 35CM 6FR .038IN STRAIGHT HYDROPHILIC PTFE CROSS CUT VALVE KINK RESISTANT GOLD COIL MARKER DILATOR GUIDEWIRE,$470.25 
027200611-13195,INTRODUCER SHEATH TRANSSEPTAL FAST-CATH 63CM 8FR .032IN MULLINS CURVE SUPERSTIFF GUIDEWIRE GUIDING HEMOSTASIS VALVE SNAP LOCK RADIOPQAUE TIP MARKER,$504.00 
027200611-13363,INTRODUCER CHECK FLO 12F 38-45RB,$515.70 
027200611-13437,SHEATH GUIDE TUOHY BORST STR 6FR 65CM,$522.00 
027200611-13438,SHEATH PINNACLE DESTINATION 2.5X65CM 6FR,$522.00 
027200611-13756,INTRODUCER CATH CHK-FLO .038 14FR,$540.00 
027200611-13785,SHEATH ACCESS URETER NAVIGATOR HD 36CM 15FR 13FR TAPER HYDROPHILIC SET 2 DUROMETER FLEXIBLE DILATOR RADIOPAQUE KINK RESISTANT INNOVATIVE HUB DESIGN,$540.90 
027200611-13786,SHEATH ACCESS URETER NAVIGATOR HD 46CM 14FR 12FR TAPER HYDROPHILIC SET 2 DUROMETER FLEXIBLE DILATOR RADIOPAQUE KINK RESISTANT INNOVATIVE HUB DESIGN,$540.90 
027200611-13845,KIT INTRODUCER 115CM 2MM SILICONE CYTOLOGY BRUSH GUIDE SHEATH BIOPSY FORCEPS STOPPER DISPOSABLE,$546.89 
027200611-13877,KIT CATHETER INSERTION FIDELITY 8FR REINFORCED INTRODUCER VESSEL DILATOR ANGIOGRAPHIC NEEDLE GUIDEWIRE STOPCOCK 34ML 40ML,$549.00 
027200611-14171,SHEATH ACCESS URETERAL FLEXOR 35CM 9.5FR AQ TAPER DILATOR CONTINUOUS WORK CHANNEL LOCK HUB REINFORCE COIL STERILE DISPOSABLE,$567.00 
027200611-14579,KIT NEEDLE 6IN,$594.00 
027200611-16045,SHEATH INTRODUCER SENTRANT 28CM 12FR HYDROPHILIC AAA GUIDEWIRE REINFORCED COIL TUBING RADIOPAQUE MARKER BAND DILATOR LOCKING MECHANISM FLEXIBLE,$675.00 
027200611-17051,INTRODUCER ORTHOPEDIC STABILIT BEVELLED TIP,$748.13 
027200611-17052,INTRODUCER ORTHOPEDIC STABILIT DIAMOND TIP,$748.13 
027200611-17764,INTRODUCER SHEATH MINOP DISP 19F 6.17MM,$826.34 
027200611-18049,INTRODUCER CATHETER CHECK-FLO PERFORMER 80CM 14FR .038IN RADIOPAQUE BAND,$857.48 
027200611-18562,SHEATH AORTIC SENTRANT 18F 28CM,$900.00 
027200611-18563,SHEATH INTRODUCER SENTRANT 28CM 14FR .035IN HYDROPHILIC AAA GUIDEWIRE FLEXIBILITY REINFORCED COIL RADIOPAQUE MARKER BAND DILATOR LOCKING,$900.00 
027200611-18564,SHEATH INTRODUCER SENTRANT 28CM 16FR HYDROPHILIC AAA GUIDEWIRE REINFORCED COIL TUBING RADIOPAQUE MARKER BAND DILATOR LOCKING MECHANISM FLEXIBLE,$900.00 
027200611-19160,SHEATH DRYSEAL 16F 5.5X6.2MM 28CM,$945.00 
027200611-20666,INTRODUCER ENDOSCOPIC MINOP 19FR DISPOSABLE,"$1,037.43 "
027200611-20913,SHEATH BIG CURVE 22 CM,"$1,050.00 "
027200611-21437,INTRODUCER SHEATH WITH PINCH VALVE 20FR 30CM,"$1,102.50 "
027200611-21438,INTRODUCER SHEATH WITH PINCH VALVE 22FR 30CM,"$1,102.50 "
027200611-21439,INTRODUCER SHEATH WITH PINCH VALVE 24FR 30CM,"$1,102.50 "
027200611-21453,SHEATH DIALATOR 12FR SM 33CM,"$1,102.50 "
027200611-21457,SHEATH DIALATOR SM VISISHEATH 12FR 43CM,"$1,102.50 "
027200611-21458,SHEATH DILATOR LRG 16F 23CM,"$1,102.50 "
027200611-21460,SHEATH DILATOR MED 14F 23CM,"$1,102.50 "
027200611-21461,SHEATH DILATOR SM 12F 23CM,"$1,102.50 "
027200611-21884,INTRODUCER DRYSEAL SHEATH 20FR 28CM,"$1,155.00 "
027200611-22470,INTRODUCER DRYSEAL SHEATH 22FR 7.5X8.3MM 28CM,"$1,242.50 "
027200611-22471,INTRODUCER DRYSEAL SHEATH 24FR 8.2X9.1MM 28CM,"$1,242.50 "
027200611-22537,INTRODUCER CHECK FLO 22FR 0.035IN 25CM,"$1,256.50 "
027200611-22538,INTRODUCER CHECK FLOW 20FR 0.035IN 40CM,"$1,256.50 "
027200611-22539,INTRODUCER PERFORMER CHECK FLO XLG 20F,"$1,256.50 "
027200611-22540,INTRODUCER RADIOPAQUE 24FR 25CM,"$1,256.50 "
027200611-22541,INTRODUCER SHEATH CHK-FLO 65CM 81CM 22FR,"$1,256.50 "
027200611-23300,NEEDLE BIOPSY TRANSJUGLR RING 100CM,"$1,410.50 "
027200611-23301,SET ACCESS INTRAHEPAT TRNSJUG 16GA50.5CM,"$1,410.50 "
027200611-23647,SHEATH INTRO 12FR 4.7MM 4MM 33CM DRYSEAL,"$1,526.00 "
027200611-23648,SHEATH INTRO 16FR 6.1X5.3MM 33CM DRYSEAL,"$1,526.00 "
027200611-25531,SET INTRODUCER LIVER TRANSJUGULAR HASKAL FLEXOR CHECK-FLO 38.5CM 50.5CM 10FR 16GA STAINLESS STEEL TFE NEEDLE DILATOR RADIOPAQUE SHEATH STERILE DISPOSABLE,"$1,775.31 "
027200611-25957,SHEATH INTR DRYSL FLX HYDRPHLC 33CM22FR,"$1,914.25 "
027200611-25958,SHEATH INTRO 18FR 6.7MM 6MM 33CM DRYSEAL,"$1,914.25 "
027200611-25959,SHEATH INTRO DRYSEAL 26FR 33CM 9.5X8.7MM,"$1,914.25 "
027200611-26499,SHEATH FLEXIBLE DRYSEAL 12F 45MM,"$2,083.25 "
027200611-27639,SHEATH INTRO DRYSESAL 65CMX8.7X9.5MM26FR,"$2,499.25 "
027200611-32579,SHEATH DILATOR ROTATING 11F 15.5CM,"$4,858.75 "
027200611-32580,SHEATH DILATOR ROTATING 9F 15.5CM,"$4,858.75 "
027200616-03530,CATHETER BI-D IRRIGTD ABLTN CRV F8FR 4MM,$78.75 
027200616-30314,CATHETER ABLATION THERAPY COOL PATH 110CM 4MM 7FR 2-5-2MM SPACING 2MM LARGE CURVE QUADRIPOLAR UNIDIRECTIONAL THERMOCOUPLE IRRIGATED TIP PUSH PULL HANDLE,"$3,510.00 "
027200616-30315,CATHETER ABLATION THERAPY COOL PATH 110CM 4MM 7FR 2-5-2MM SPACING 2MM MEDIUM CURVE QUADRIPOLAR UNIDIRECTIONAL THERMOCOUPLE IRRIGATED TIP PUSH PULL HANDLE,"$3,510.00 "
027200616-31910,CATHETER ABLATION SAFIRE BLU COMFORTGRIP 110CM 4MM 7FR 2-5-2 SPACING 2MM MEDIUM CURL QUADRIPOLAR BIDIRECTIONAL THERMOCOUPLE IRRIGATED TIP,"$4,387.50 "
027200616-31911,CATHETER ABLATION THERAPY COOL PATH 110CM 4MM 7FR 2-5-2MM SPACING 2MM LARGE CURL QUADRIPOLAR BIDIRECTIONAL THERMOCOUPLE HIGH PERFORMANCE SHAFT,"$4,387.50 "
027200616-31912,CATHETER ABLATION THERAPY COOL PATH 110CM 4MM 7FR 2-5-2MM SPACING 2MM MEDIUM CURL QUADRIPOLAR BIDIRECTIONAL THERMOCOUPLE HIGH PERFORMANCE SHAFT,"$4,387.50 "
027200616-31913,CATHETER ABLTN SFR LRG CRL 110CM 4MM 7FR,"$4,387.50 "
027200616-32570,CATHETER ABLATION SAFIRE BLU DUO COMFORTGRIP 110CM 7FR 2-5-2MM SPACE 4MM MEDIUM CURL QUADRIPOLAR BIDIRECTIONAL THERMOCOUPLE IRRIGATE TIP,"$4,858.75 "
027200617-19417,"HC ADAPTER, (CONNECTOR) TITANIUM",$968.31 
027200620-02794,CATHETER BLN DLTN 2X80CM.035IN5FR VNANDL,$57.38 
027200620-08899,CATHETER ANGIOGRAPHIC 110CM 4FR PEDIATRIC .035IN SOFT RADIOPAQUE TIP HIGH TORQUE SHAFT OMNI FLUSH,$292.50 
027200620-08934,OMNIFLUSH PED 4F 65CM,$292.50 
027200620-09629,BALLOON ULTRAVERSE 035IN 4X4X75,$337.50 
027200620-09634,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 100MM 5FR 4MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09635,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 100MM 5FR 5MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09636,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 100MM 5FR 6MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09637,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 100MM 5FR 7MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09638,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 150MM 5FR 4MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09639,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 150MM 5FR 5MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09640,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 150MM 5FR 6MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09641,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 150MM 5FR 7MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09642,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 200MM 5FR 4MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09643,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 200MM 5FR 5MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09644,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 200MM 5FR 6MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09645,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 200MM 5FR 7MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09646,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 250MM 5FR 4MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09647,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 250MM 5FR 5MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09648,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 250MM 5FR 6MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09649,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 250MM 6FR 7MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09650,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 300MM 5FR 4MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09651,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 300MM 5FR 5MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09652,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 300MM 5FR 6MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09653,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 300MM 6FR 7MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09654,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 40MM 5FR 4MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09655,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 40MM 5FR 5MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09656,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 40MM 5FR 6MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09657,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 40MM 5FR 7MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09658,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 60MM 5FR 4MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09659,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 60MM 5FR 5MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09660,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 60MM 5FR 6MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09661,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 60MM 5FR 7MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09662,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 130CM 80MM 5FR 7MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09663,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 100MM 6FR 10MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09664,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 100MM 7FR 12MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09665,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 20MM 5FR 5MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09666,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 20MM 5FR 6MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09667,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 20MM 5FR 7MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09668,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 20MM 5FR 8MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09669,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 20MM 6FR 10MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09670,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 20MM 6FR 9MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09671,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 20MM 7FR 12MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09672,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 40MM 5FR 5MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09673,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 40MM 5FR 6MM ACCEPTS .035IN GUIDEWIRE PTA,$337.50 
027200620-09674,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 40MM 5FR 7MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09675,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 40MM 5FR 8MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09676,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 40MM 6FR 10MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09677,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 40MM 6FR 9MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09678,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 40MM 7FR 12MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09679,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 60MM 5FR 5MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
027200620-09680,CATHETER BALLOON DILATATION GEOALIGN ULTRAVERSE 75CM 60MM 5FR 6MM ACCEPTS .035IN GUIDEWIRE PTA MARKER STERILE DISPOSABLE,$337.50 
