Category,Description,Price
Diagnostic Radiology,HC X-RAY EXAM HIPS BI 3-4 VIEWS,$396.00 
Diagnostic Radiology,HC XR TEETH 1V,$394.00 
Diagnostic Radiology,HC XR ORTHOPANTOGRAM PANORAMIC,$394.00 
Diagnostic Radiology,HC XR KNEE 3V,$391.00 
Diagnostic Radiology,HC XR TMJ OPEN & CLSD UNI,$387.00 
Diagnostic Radiology,HC X-RAY EXAM CHEST 2 VIEWS,$387.00 
Diagnostic Radiology,HC XR SPINE 1V ANY LEVEL,$386.00 
Diagnostic Radiology,HC XR FOOT CMPL 3+V,$384.00 
Diagnostic Radiology,HC XR AC JOINTS BI W/W/O WTS,$372.00 
Diagnostic Radiology,HC XR KNEE STAND BOTH KNEES,$371.00 
Diagnostic Radiology,HC X-RAY EXAM CHEST 1 VIEW,$367.00 
Diagnostic Radiology,HC XR ELBOW 2V,$357.00 
Diagnostic Radiology,HC XR SHOULDER CMPL 2+V,$355.00 
Diagnostic Radiology,HC XR CLAVICLE CMPL,$354.00 
Diagnostic Radiology,HC XR SACROILI JT,$352.00 
Diagnostic Radiology,HC XR HAND LTD 2V,$352.00 
Diagnostic Radiology,HC XR FINGER(S) 2+V,$352.00 
Diagnostic Radiology,HC XR TOE(S) 2+V,$349.00 
Diagnostic Radiology,HC XR HUMERUS 2+V,$347.00 
Diagnostic Radiology,HC XR PELVIS 1-2V,$345.00 
Diagnostic Radiology,HC XR ANKLE 2V,$338.00 
Diagnostic Radiology,HC XR CALCANEUS 2+V,$333.00 
Diagnostic Radiology,HC XR FOOT 2V,$333.00 
Diagnostic Radiology,HC XR SHOULDER 1 VIEW,$332.00 
Diagnostic Radiology,HC XR KNEE 1-2V,$320.00 
Diagnostic Radiology,HC XR TIBIA/FIBULA 2V,$319.00 
Diagnostic Radiology,HC XR WRIST 2V,$315.00 
Diagnostic Radiology,HC XR FACIAL BONES LESS THAN 3 V,$304.00 
Diagnostic Radiology,HC X-RAY EXAM HIPS BILAT 2 VIEWS,$291.00 
Diagnostic Radiology,HC X-RAY EXAM HIP UNI 4/> VIEWS,$289.00 
Diagnostic Radiology,HC X-RAY EXAM ENTIRE SPI 2/3 VW,$281.00 
Diagnostic Radiology,HC MRI FETAL EA ADDL GESTATION,$280.00 
Diagnostic Radiology,HC XR EYE FOREIGN BODY,$278.00 
Diagnostic Radiology,HC X-RAY EXAM HIP UNI 2-3 VIEWS,$260.00 
Diagnostic Radiology,HC XR SINUSES,$258.00 
Diagnostic Radiology,HC X-RAY EXAM ENTIRE SPI 1 VW,$232.00 
Diagnostic Radiology,HC X-RAY EXAM HIP UNI 1 VIEW,$231.00 
Diagnostic Radiology,HC X-RAY EXAM OF FEMUR 2/> VIEW,$228.00 
Diagnostic Radiology,HC XR STERNUM 2+V,$207.00 
Diagnostic Radiology,HC BONE SURV NOSE-RECTUM,$204.00 
Diagnostic Radiology,HC XR CEPHALOGRAM ORTHODONTIC,$200.00 
Diagnostic Radiology,HC X-RAY EXAM OF FEMUR 1 VIEW,$159.00 
Diagnostic Radiopharm,HC NM INDIUM III PENTETREO MCI,"$9,993.00 "
Diagnostic Radiopharm,HC NM I-123 MIBG,"$8,793.00 "
Diagnostic Radiopharm,HC NM IN III IBRITUMOMAB TIUX DX,"$6,704.00 "
Diagnostic Radiopharm,HC NM INDIUM III CAPRO/PEND DX UP,"$6,268.00 "
Diagnostic Radiopharm,HC NM IOFLUPANE I-123 DIAG TO 5,"$6,020.00 "
Diagnostic Radiopharm,HC NM INDIUM III PENTETATE PER,"$4,697.00 "
Diagnostic Radiopharm,HC NM TC99M BICISATE,"$3,744.00 "
Diagnostic Radiopharm,HC NM INDIUM III WBC DX PER DOSE,"$3,423.00 "
Diagnostic Radiopharm,HC NM ISOTOPE TC99M EXAM DX DOSE,"$3,378.00 "
Diagnostic Radiopharm,HC NM TC99M SUCCIMER UP TO 10,"$2,905.80 "
Diagnostic Radiopharm,HC NM ISOTOPE TC99M EXAM DX,"$2,598.00 "
Diagnostic Radiopharm,HC NM INDIUM III 0.5 MCI,"$2,542.00 "
Diagnostic Radiopharm,HC PET RUBIDIUM PER DOSE,"$2,116.00 "
Diagnostic Radiopharm,HC NM ISOTOPE TC99M MERTIATIDE,"$2,029.70 "
Diagnostic Radiopharm,HC UREA C14 CAP GEL 1MICRO,"$1,761.00 "
Diagnostic Radiopharm,HC NM I-131 ALBUMIN 5UCI,"$1,300.00 "
Diagnostic Radiopharm,HC NM TC99M MAC ALBUMIN UPTO 10,"$1,268.00 "
Diagnostic Radiopharm,HC NM ISOTOPE SOD FLOURIDE F-18 DX UP TO 30,"$1,154.00 "
Diagnostic Radiopharm,HC NM N-13 AMMON PER DSE UP TO 40,$980.00 
Diagnostic Radiopharm,HC NM TC99M DX PENTETATE,$911.00 
Diagnostic Radiopharm,HC NM ISOTOPE TC99M RED BLOOD CEL,$751.00 
Diagnostic Radiopharm,HC NM TC99M SULF COLLOID UPTO 20,$715.20 
Diagnostic Radiopharm,HC NM TC99M DX AERO PENTETATE,$711.00 
Diagnostic Radiopharm,HC PET ISOTOPE F-18 FDG PER DOSE,$625.00 
Diagnostic Radiopharm,HC TC-99M PYROPHOSPHATE PER DOSE,$519.00 
Diagnostic Radiopharm,HC NM ISOTOPE TC99M OXYDRONATE,$509.00 
Diagnostic Radiopharm,HC NM SESTAMIBI PER DOSE,$484.00 
Diagnostic Radiopharm,HC NM ISOTOPE I-123 DX PER MCI,$448.00 
Diagnostic Radiopharm,HC NM MDP UP TO 30MCI,$447.00 
Diagnostic Radiopharm,HC NM MYOVIEW PER STUDY DOSE,$428.00 
Diagnostic Radiopharm,HC NM ISOTOPE TC99M MEBROFENIN,$410.40 
Diagnostic Radiopharm,HC NM GA-68 GALLIUM,$206.37 
Diagnostic Radiopharm,HC NM GALLIUM GA-67 PER MCI,$202.00 
Diagnostic Radiopharm,HC NM PERTECH PER MCI,$62.80 
Diagnostic Radiopharm,HC NM THALLIUM PER MCI,$61.80 
Diagnostic Radiopharm,HC NM I-131 SOL DX MCI,$42.00 
Diagnostic Radiopharm,HC NM I-131 CAP DX MCI,$42.00 
Diagnostic Radiopharm,HC NM I131 PER 1 UCI UPTO 100 UCI,$24.00 
Diagnostic Radiopharm,HC NM I-131 CAP DX PER UCI,$7.04 
Digestive System,HC LAP FUNDOPLASTY ESOP,"$13,801.00 "
Digestive System,HC INS SHUNT PERITONEAL-VENOUS,"$12,315.00 "
Digestive System,HC PERQ PLMT BILI STENT EXIST ACC,"$10,757.00 "
Digestive System,HC ABLATION TUMR LIVER CRYO PERC,"$10,451.00 "
Digestive System,HC PERQ PLMT BILI STENT NEW ACC,"$10,391.00 "
Digestive System,HC PERQ PLMT BILI STENT & DRAIN,"$10,391.00 "
Digestive System,HC REM SHUNT PERITONEAL-VENOUS,"$8,509.00 "
Digestive System,HC ABLATION TUMR LIVER RADIO PER,"$8,430.00 "
Digestive System,HC UNLSTD LAP STOMACH,"$7,538.00 "
Digestive System,HC EXCISE OR DSTRY LINGUAL TONSIL,"$7,461.00 "
Digestive System,HC PROCTOSIGMOIDOSCOPY W/ST,"$7,183.00 "
Digestive System,HC DRAINAGE OF SALIVARY GLAND,"$6,970.00 "
Digestive System,HC REM TUN INTRAPERITONEAL CATH,"$6,833.00 "
Digestive System,HC EGD OPTICAL ENDOMICROSCOPY,"$6,496.00 "
Digestive System,HC ESOPHAGOSC FLEX STENT,"$6,315.00 "
Digestive System,HC ERCP W/DIL BALLOON,"$6,192.00 "
Digestive System,HC GNGVCTMY EXC GINGIVA EA QDRNT,"$6,190.00 "
Digestive System,HC PLACE SETON,"$5,996.00 "
Digestive System,HC EXC LSN PALATE UVULA; WO CLSRE,"$5,976.00 "
Digestive System,HC CONVERSION EXT BIL DRG CATH,"$5,686.00 "
Digestive System,HC INJ CHOLANGIOGRAM NEW ACC,"$5,686.00 "
Digestive System,HC PLMT EXTRNL BILIARY DRAIN CATH,"$5,686.00 "
Digestive System,HC PLMT INT-EXT BILI DRAIN CATH,"$5,686.00 "
Digestive System,HC EXCHANGE BILIARY DRG CATH,"$5,686.00 "
Digestive System,HC EXC TONGUE LESION CL POST 1/3,"$5,626.00 "
Digestive System,HC EXC LESN TONGUE W/CLSR ANT 2/3,"$5,625.00 "
Digestive System,HC ANUS SURGERY PROCEDURE,"$5,612.00 "
Digestive System,HC PANCREAS UNLSTD PROC,"$5,554.00 "
Digestive System,HC ESOPHAGOSCOPY CONTROL BLD,"$5,539.00 "
Digestive System,HC PLMT ACCESS BIL TREE SM BWL,"$5,493.00 "
Digestive System,HC EXCISION OF TONSIL TAGS,"$5,435.00 "
Digestive System,HC EXC PALATE/UVULA LES W/SIM CLO,"$5,435.00 "
Digestive System,HC EXCISION LESION/TUMOR W/O RPR,"$5,413.00 "
Digestive System,"HC TONGUE RADIOFREQUENCY, PER SESSION","$5,397.00 "
Digestive System,HC DRAINAGE ABSCESS OF PAROTID,"$5,352.00 "
Digestive System,HC SURG DIAG EXAM ANORECTAL,"$5,256.00 "
Digestive System,HC ERCP W/INS STENT/TUBE,"$5,243.00 "
Digestive System,HC EXC LESN FLOOR MOUTH,"$5,234.00 "
Digestive System,HC ALVELOPLASTY EACH QUADRANT,"$5,178.00 "
Digestive System,HC ABD/PERITONEUM/OMENTUM UNLSTD,"$5,158.00 "
Digestive System,HC CHOLECYSTOST PERC COMPL PX,"$5,121.00 "
Digestive System,HC ENDO BILIARY DIL DUCT W/STENT,"$5,082.00 "
Digestive System,HC ESOPHAGOSC FLEX W/ABL,"$5,063.00 "
Digestive System,HC BX NASOPHARYNX VIS LES SIMPLE,"$5,014.00 "
Digestive System,HC ERCP W/ABLAT TUMR/POLYP/LESN,"$4,835.00 "
Digestive System,HC DEST LESN MOUTH VEST PHYS METH,"$4,785.00 "
Digestive System,HC PROCTOSIGMOID RIGID W/DILATION,"$4,768.00 "
Digestive System,HC ENDO BILIARY W/DIL BILI DUCT,"$4,753.00 "
Digestive System,HC COLONOSCOPY W/STENT PLCMT,"$4,746.00 "
Digestive System,HC INTESTINE UNLSTD PROC,"$4,730.00 "
Digestive System,HC ERCP W/LITHOTRIPSY,"$4,703.00 "
Digestive System,HC PILLAR PROC 5 IMPLANTS,"$4,668.00 "
Digestive System,HC ERCP W/STENT EXCHANGE,"$4,659.00 "
Digestive System,HC ERCP W/FB/STENT REMOVE,"$4,659.00 "
Digestive System,HC ERCP W/REMOVE CALCULUS,"$4,635.00 "
Digestive System,HC ERCP W/SPHINCT/PAPILLOTOMY,"$4,592.00 "
Digestive System,HC BX WALL ANORECTAL RECTAL APPR,"$4,536.00 "
Digestive System,HC EGD W/INS STENT,"$4,527.00 "
Digestive System,HC EGD W/DRAIN PSEUDOCYST,"$4,485.00 "
Digestive System,HC SM INTEST ENDO APC BLOOD CNTRL,"$4,424.00 "
Digestive System,HC SIGMOIDOSCOPY PLACE STENT,"$4,410.00 "
Digestive System,HC SIALOLITHOT INTRAORAL CPLX,"$4,403.00 "
Digestive System,HC BX GLAND SALIVARY INCISIONAL,"$4,403.00 "
Digestive System,HC INS TUN IPER CATHETER,"$4,390.00 "
Digestive System,HC ILEOSCOPY THRU STOMA W/BX,"$4,337.00 "
Digestive System,HC ERCP W/BIOPSY,"$4,323.00 "
Digestive System,HC BIOPSY-TONGUE POSTERIOR 1/3,"$4,170.00 "
Digestive System,HC ENDO SMALL INTEST G-J,"$4,128.00 "
Digestive System,HC ERCP,"$4,121.00 "
Digestive System,HC FLUID COLLXN CATH PERI,"$4,060.00 "
Digestive System,HC REM IMPACTION FECAL ANES,"$4,052.00 "
Digestive System,HC EXC OF EXT ANUS PAPILLAE/TAGS,"$4,009.00 "
Digestive System,HC EXC LESN MOUTH RPR SMP,"$3,953.00 "
Digestive System,HC DESTR HEMORRHOIDS INT ANY METH,"$3,949.00 "
Digestive System,HC EXC LESN MOUTH W/O RPR,"$3,913.00 "
Digestive System,HC PILLAR PROC 4 IMPLANTS,"$3,806.00 "
Digestive System,HC EGD W/US INJ/MARKER,"$3,775.00 "
Digestive System,HC EGD W/DIL ESOPH BLLN 30,"$3,775.00 "
Digestive System,HC EGD W/US EXAM ESOPHAGUS,"$3,775.00 "
Digestive System,HC COLONOSCOPY FLEX W/TRANS US,"$3,645.00 "
Digestive System,HC RECTUM UNLSTD PROC,"$3,617.00 "
Digestive System,HC ESOPHAGOSC W/SUBMUCOSAL INJ,"$3,580.00 "
Digestive System,HC SM INTEST ENDO PLACE JEJUNAL,"$3,572.00 "
Digestive System,HC ESOPHAGOSC W/ASP/BX,"$3,531.00 "
Digestive System,HC REMOVAL OF ADENOIDS 1' <12 YRS,"$3,521.00 "
Digestive System,HC ENDO CANN PAPILLA,"$3,518.00 "
Digestive System,HC ESOPHAGOSC FLEX RETRO,"$3,498.00 "
Digestive System,HC PLMT NTRSTL DEV PRQ IABDL IPEL,"$3,491.00 "
Digestive System,HC EXCHG CATH ABSC/CYST DRAIN,"$3,491.00 "
Digestive System,HC COLONOSCOPY FLEX W/BIOPSY,"$3,487.00 "
Digestive System,HC ESOPHAGUS ENDOSCOPY/LIGATION,"$3,428.00 "
Digestive System,HC BX OROPHARYNX,"$3,364.00 "
Digestive System,HC EGD W/ASPIRATION/BIOPSY,"$3,350.00 "
Digestive System,HC INJ CHOLANGIOGRAM EXISTING ACC,"$3,329.00 "
Digestive System,HC COLONOSCOPY FLEX W/REM SNARE,"$3,289.00 "
Digestive System,HC COLONOSCOPY W/BAND LIGATION,"$3,184.00 "
Digestive System,HC SIGMOIDOSCOPY W/ULTRASOUND,"$3,168.00 "
Digestive System,HC ESOPHAGOSC RIGID SPECIMEN,"$3,162.00 "
Digestive System,HC EGD W/ENDOSCOPIC U/S,"$3,162.00 "
Digestive System,HC BRUSH BIOPSY BILE DUCTS,"$3,116.00 "
Digestive System,HC SIGMOID FLEX W/BLOOD CONTROL,"$3,104.00 "
Digestive System,HC COLONOSCOPY FLEX W/REM FB,"$3,099.00 "
Digestive System,HC COLONOSCOPY FLEX W/REM FORCEP,"$3,099.00 "
Digestive System,HC COLONOSCOPY FLEX W/CNTRL BLEED,"$3,099.00 "
Digestive System,HC COLONOSCOPY FLEX W/BLLN DILAT,"$3,099.00 "
Digestive System,HC COLONOSCOPY FLEX W/INJ SUBMUC,"$3,099.00 "
Digestive System,HC ANOSCOPY REM TUM/PLYP SNARE,"$3,081.00 "
Digestive System,HC SIGMOIDOSCOPY W/BALLOON DIL,"$3,063.00 "
Digestive System,HC UNLISTED-REPAIR FISTULA COLON,"$3,039.00 "
Digestive System,HC UNLISTED-RPR FISTULA SML INTST,"$3,039.00 "
Digestive System,HC EXC LIP V-EXC LINEAR,"$3,006.00 "
Digestive System,HC SIGMOIDOSCOPY TUM/POLYP SNARE,"$2,980.00 "
Digestive System,HC SIALOLITHOT INTRAORAL SMP,"$2,967.00 "
Digestive System,HC EXC LESN TONGUE W/O CLSR,"$2,967.00 "
Digestive System,HC ENDO EVAL SMALL INTEST POUCH,"$2,955.00 "
Digestive System,HC ESOPH ENDOSCOPY W/US EXAM,"$2,953.00 "
Digestive System,HC COLONOSCOPY W/INJECTION,"$2,946.00 "
Digestive System,HC PILLAR PROC 3 IMPLANTS,"$2,944.00 "
Digestive System,HC ESOPHAGOSC W/BIOPSY,"$2,929.00 "
Digestive System,HC SMALL BOWEL ENDOSCOPY,"$2,928.00 "
Digestive System,HC EGD PLACE TUBE/CATH TRANSENDO,"$2,920.00 "
Digestive System,HC BX PALATE/UVULA,"$2,919.00 "
Digestive System,HC UP GI ENDO:TRNSENDO US FNA/BX,"$2,904.00 "
Digestive System,HC EGD W/LIG VARICES ESOPH/GAST,"$2,897.00 "
Digestive System,HC CHG G-TB TO GJ-TB PERC FLUORO,"$2,883.00 "
Digestive System,HC EGD REM TUMR/POLYP SNARE,"$2,883.00 "
Digestive System,HC EGD W/CONTROL BLEED,"$2,883.00 "
Digestive System,HC INSERT GASTRO TUBE FLUORO,"$2,883.00 "
Digestive System,HC COLONOSCOPY FLEXIBLE,"$2,876.00 "
Digestive System,HC EGD W/DILAT ESOPH GD WIRE,"$2,873.00 "
Digestive System,HC BX MASS ABDOMINAL PERC,"$2,851.00 "
Digestive System,HC BX LIVER NEEDLE PERC,"$2,851.00 "
Digestive System,HC COLONOSCOPY FLEX W/US,"$2,780.00 "
Digestive System,HC SIGMOID FLEXIBLE W/POLYP REMOV,"$2,761.00 "
Digestive System,HC EGD W/BIOPSY,"$2,716.00 "
Digestive System,HC SUTURE PHRYNX WOUND OR INJURY,"$2,714.00 "
Digestive System,HC PLACE G-TUBE PERC,"$2,710.00 "
Digestive System,HC PAPILLECTOMY/EXCIS TAG ANUS,"$2,703.00 "
Digestive System,HC FRENOTOMY,"$2,687.00 "
Digestive System,HC ENDO SMALL INTEST ABLAT TUMR,"$2,650.00 "
Digestive System,HC I&D ABSCESS INTRA-ORAL LING,"$2,627.00 "
Digestive System,HC ENDO SMALL INTEST W/BIOPSY,"$2,624.00 "
Digestive System,HC EGD W/DILATION,"$2,623.00 "
Digestive System,HC INSERT D/J TUBE FLUORO,"$2,581.00 "
Digestive System,HC EGD W/DILAT ESOPH BALLOON,"$2,542.00 "
Digestive System,HC COLONOSCOPY THRU STOMA,"$2,540.00 "
Digestive System,HC EXC HEMORRHOID THROMBOSED EXT,"$2,517.00 "
Digestive System,HC ESOPHAGOSC W/DILAT BALLOON,"$2,515.00 "
Digestive System,HC SIGMOID FLEX W/REMOVAL FB,"$2,510.00 "
Digestive System,HC EXC LIP WEDGE TRANSVERSE,"$2,505.00 "
Digestive System,HC EGD W/RESECTION,"$2,498.00 "
Digestive System,HC ESOPHAGOSCOPY W/INSRT GUID WIR,"$2,494.00 "
Digestive System,HC SCLEROTX FLUID COLLECTION,"$2,459.00 "
Digestive System,HC EGD W/ABLAT TUMR/POLYP,"$2,431.00 "
Digestive System,HC CHEMODENERVATION ANAL MUSC,"$2,422.00 "
Digestive System,HC UPPER GASTRO/ENDO+WIRE+DIL,"$2,409.00 "
Digestive System,HC EGD REM TUMR/POLYP FORCEP,"$2,408.00 "
Digestive System,HC ENDO SMALL INTEST CNTRL BLD,"$2,406.00 "
Digestive System,HC BX PANCREAS NEEDLE PERC,"$2,381.00 "
Digestive System,HC SIGMOIDOSCOPY W/NDL ASP/BX,"$2,374.00 "
Digestive System,HC COLONOSCOPY STOMA W/SNARE,"$2,344.00 "
Digestive System,HC PREPARE FECAL MICROBIOTA FOR I,"$2,338.00 "
Digestive System,HC ENDO SMALL INTESTINE,"$2,319.00 "
Digestive System,HC EGD W/SCLEROIS INJ ESOPH/GAST,"$2,317.00 "
Digestive System,HC EGD W/INJ SUBMUCOSAL DIRECTED,"$2,310.00 "
Digestive System,HC EGD W/REMOVE FB,"$2,310.00 "
Digestive System,HC ILEOSCOPY THRU STOMA,"$2,307.00 "
Digestive System,HC PROCTOSIGMOID W/BIOPSY,"$2,277.00 "
Digestive System,HC COLONOSCOPY W/DILATION,"$2,272.00 "
Digestive System,HC ILEOSCOPY W/COLONOSCOPY & PPX,"$2,271.00 "
Digestive System,HC ILEOSCOPY STOMA W/DIL,"$2,250.00 "
Digestive System,HC REMOVAL DUCT GLBLDR CALCULI,"$2,225.00 "
Digestive System,HC SIGMOIDOSCOPY W/RESECTION,"$2,185.00 "
Digestive System,HC COLONOSCOPY STOMA W/BIOPSY,"$2,185.00 "
Digestive System,HC COLONOSCOPY WITH ABLATION,"$2,175.00 "
Digestive System,HC COLONOSCOPY W/NDL ASPIR/BX,"$2,175.00 "
Digestive System,HC ENDO SMALL INTEST/ILIUM W/BX,"$2,154.00 "
Digestive System,HC ENDO SMALL INTEST/ILIUM,"$2,154.00 "
Digestive System,HC ENDO EVAL SM INTEST POUCH W/BX,"$2,138.00 "
Digestive System,HC ESOPHAGOSCOPY,"$2,122.00 "
Digestive System,HC COLONOS W/DECOMPRESSION,"$2,087.00 "
Digestive System,HC COLONOSCOPY FLEX W/ABLAT TUMR,"$2,087.00 "
Digestive System,HC COLONOSCOPY FLEXI W/ENDO RESEC,"$2,087.00 "
Digestive System,HC FLUID COLLXN CATH VISC,"$2,083.00 "
Digestive System,HC SIGMOIDOSCOPY W/SUBMUCOSAL INJ,"$2,074.00 "
Digestive System,HC BILIARY TRACT UNLSTD PROC,"$2,068.00 "
Digestive System,HC SIGMOIDOSCOPY FLEX,"$2,067.00 "
Digestive System,HC ABD PARACENTESIS WITH IMAGING,"$2,049.00 "
Digestive System,HC COLONOSCOPY FOR BLEEDING,"$2,033.00 "
Digestive System,HC DR ABSCESS SUBMAX INTRAORAL,"$2,007.00 "
Digestive System,HC EGD,"$2,000.00 "
Digestive System,HC BX MOUTH FLOOR,"$1,961.00 "
Digestive System,HC ABD PARACENTESIS W/O IMAGING,"$1,960.00 "
Digestive System,HC SIGMOIDO FLEX W/DECOMP VOLV,"$1,938.00 "
Digestive System,HC SIGMOIDOSCOPY W/BIOPSY,"$1,934.00 "
Digestive System,HC EXC OF LINGUAL FRENUM,"$1,903.00 "
Digestive System,HC SIGMOIDOSCOPY ABL TUM/POLYP,"$1,899.00 "
Digestive System,HC ESOPHAGOSC W/REMOVE FB,"$1,880.00 "
Digestive System,HC ANOSCOPY W/DILATATION,"$1,872.00 "
Digestive System,HC ANOSCOPY W/BIOPSY,"$1,872.00 "
Digestive System,HC REM ANAL SETON,"$1,794.00 "
Digestive System,HC PALATE RADIOFREQUENCY,"$1,777.00 "
Digestive System,HC ENDOLUMINAL BX BILIARY TREE,"$1,776.00 "
Digestive System,HC DILATE BILIARY DUCT/AMPULLA,"$1,776.00 "
Digestive System,HC DIL ESOPH SOUND OR BOUGIE,"$1,750.00 "
Digestive System,HC PERITONEAL LAVAGE W/ IMG,"$1,749.00 "
Digestive System,HC BX TONGUE ANTERIOR 2/3,"$1,738.00 "
Digestive System,HC FLUID COLLXN TRANSREC,"$1,696.00 "
Digestive System,HC I&D ABSC ISCHIO/PERIRECTAL,"$1,641.00 "
Digestive System,HC MECH REM OBS MAT G/D/J/G-J/CEC,"$1,429.00 "
Digestive System,HC EXC FRENUM/LABIAL/BUCCAL,"$1,428.00 "
Digestive System,HC HEMORRHOIDECTOMY,"$1,333.00 "
Digestive System,HC DENTOALVEOLAR UNLSTD PROC,"$1,331.00 "
Digestive System,HC RPLC G/CEC/OTH TB UNDER FLUORO,"$1,321.00 "
Digestive System,HC RPLC GASTRO-JEJUN TB FLUORO,"$1,321.00 "
Digestive System,HC REPOSITION G-TUBE,"$1,302.00 "
Digestive System,HC CHG TUBE GASTROSTOMY,"$1,264.00 "
Digestive System,HC RPLC DUODEN/JEJUN TB FLUORO,"$1,254.00 "
Digestive System,HC I&D ABSC PERIANAL SUPERFIC,"$1,240.00 "
Digestive System,HC BX GLAND SALIVARY NEEDLE,"$1,235.00 "
Digestive System,HC RPR LAC MOUTH/TNG >2.6C,"$1,226.00 "
Digestive System,HC REMOVAL BILIARY DRG CATH,"$1,218.00 "
Digestive System,HC INTRO TUBE GI LONG,"$1,203.00 "
Digestive System,HC PLACE TUBE NASOGASTRIC,"$1,159.00 "
Digestive System,HC PROCTOSIGMOID RIGID,$947.00 
Digestive System,HC RPR LIP FULL THICK VERM,$852.00 
Digestive System,HC DRAIN ABSC/CYST MOUTH SMP,$829.00 
Digestive System,HC DX DUOL INTUBAJ & ASPIR MLT,$802.00 
Digestive System,HC COMPLCTD ABSCESS DRAIN-MOUTH,$729.00 
Digestive System,HC BX MOUTH VESTIBULE,$715.00 
Digestive System,HC RPR LAC MOUTH/TNG POST,$672.00 
Digestive System,HC PALATE/UVULA UNLSTD PROC,$663.00 
Digestive System,HC BX LIP,$637.00 
Digestive System,HC I&D ABSC PERITONSILLAR,$622.00 
Digestive System,HC INJ CONTRAST ABSC/CYST,$620.00 
Digestive System,HC FRENOTOMY FRENUM LABIAL,$613.00 
Digestive System,HC INJ AIR/CONTR PERITONEAL CAV,$609.00 
Digestive System,HC DX GASTR INTUB W/ASP SPEC,$596.00 
Digestive System,HC INJ CNTR W/FLUOR EVAL G/D/J TB,$595.00 
Digestive System,HC ANOSCOPY,$593.00 
Digestive System,HC DEST LESN ANUS CHEMICAL,$568.00 
Digestive System,HC DRAIN ABSC/CYST DENTOALVEOLAR,$549.00 
Digestive System,HC RPR LAC MOUTH/TNG,$499.00 
Digestive System,HC INC HEMORRHOID EXTERNAL,$496.00 
Drug Administration,HC IV INFUS THPY/PROPH/DX INTL UP,$670.00 
Drug Administration,HC APPLICATON ON-BODY INJECTOR,$220.00 
Drug Administration,HC THERAPYPRO//DX IV PUSH SAME,$180.00 
Drug Administration,HC IV INFUS THPY/PROPH/DX ADDL HR,$137.00 
Drug Assay Procedures,HC REF DIHYDROTESTOSTERONE,$556.00 
Drug Assay Procedures,HC STIMULANTS SYNTHETIC,$475.00 
Drug Assay Procedures,HC DRUG/SBST DEF QUAL OR QUAN 7/>,$366.00 
Drug Assay Procedures,HC DRUG SCREEN INSTRUMENT,$365.00 
Drug Assay Procedures,HC METHYLPHENIDATE,$323.00 
Drug Assay Procedures,HC COCAINE,$272.00 
Drug Assay Procedures,HC ANTIEPILEPTICS NOT OTHWSE SPEC,$255.00 
Drug Assay Procedures,HC TRAMADOL,$239.00 
Drug Assay Procedures,HC METHYLENEDIOXYAMPHETAMINES,$232.00 
Drug Assay Procedures,HC AMPHETAMINES 5 OR > BLD NMS,$232.00 
Drug Assay Procedures,HC OPIOIDS AND OPIATE ANALOGS,$227.00 
Drug Assay Procedures,HC BENZODIAZEPINES,$225.00 
Drug Assay Procedures,HC ALCOHOLS,$188.00 
Drug Assay Procedures,HC TAPENTADOL,$187.00 
Drug Assay Procedures,HC ASSAY OF BENZODIAZEPINES,$187.00 
Drug Assay Procedures,HC ANALGESICS NON-OPIOID 1 OR 2,$172.00 
Drug Assay Procedures,HC ANTIPSYCHOTICS NOT OTHWSE SPEC,$130.00 
Drug Assay Procedures,HC ALCOHOLS BIOMARKERS 1 OR 2,$127.00 
Drug Assay Procedures,HC GABAPENTIN NON-BLOOD,$123.00 
Drug Assay Procedures,HC PREGABALIN,$118.00 
Drug Assay Procedures,HC AMPHETAMINE/METHAMPHETAMINE,$116.00 
Drug Assay Procedures,HC ANTIDEPRESSANTS CLASS 1 OR 2,$111.00 
Drug Assay Procedures,HC PROPOXYPHENE,$111.00 
Drug Assay Procedures,HC OXYCODONE,$111.00 
Drug Assay Procedures,HC METHADONE,$111.00 
Drug Assay Procedures,HC DRUG/SUBSTANCE NOS 1-3,$111.00 
Drug Assay Procedures,HC CANNABINOIDS NATURAL,$111.00 
Drug Assay Procedures,HC OPIATES 1 OR MORE,$111.00 
Drug Assay Procedures,HC DRUG/SUBSTANCE NOS 4-6,$108.00 
Drug Assay Procedures,HC BARBITURATES,$107.00 
Drug Assay Procedures,HC ANTIDEPRESSANT TRICYCLIC 1/2,$95.00 
Drug Assay Procedures,HC ALKALOIDS NOS,$91.00 
Drug Assay Procedures,HC FENTANYL,$86.00 
Drug Assay Procedures,HC BUPRENORPHINE,$69.00 
Drug Assay Procedures,"HC DRUG SCREEN, DIRECT OPTICAL",$67.00 
Drug Assay Procedures,HC ANTIDEPRESSANTS NOT OTH SPEC,$55.00 
Drug Assay Procedures,HC OPIODS NMS ORAL,$55.00 
Drug Assay Procedures,HC BENZODIAZEPINES NMS ORAL,$55.00 
Drug Assay Procedures,HC MDA NMS ORAL,$55.00 
Drug Assay Procedures,HC HEROIN NMS ORAL,$54.00 
Drug Assay Procedures,HC AMPHETAMINES NMS ORAL,$54.00 
Drug Assay Procedures,HC CANNABINOIDS NMS ORAL,$54.00 
Drug Assay Procedures,HC COCAINE NMS ORAL,$54.00 
Drug Assay Procedures,HC METHADONE NMS ORAL,$54.00 
