MEDICAL CENTER NAVICENT HEALTH,,,
AVERAGE CHARGE PER CASE BY DRG,,,
INPATIENT DATA AT DISCHARGE,,,
 ,,,
,,,
 ,DRG,DRG Description,Avg. Charge per Case (DRG)
,434,CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC,"$15,605.37"
,435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"$67,190.37"
,436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,"$36,751.94"
,437,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC,"$9,014.65"
,438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"$60,994.19"
,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"$28,957.22"
,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"$18,510.01"
,441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","$88,627.97"
,442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","$27,697.10"
,443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC","$29,851.89"
,444,DISORDERS OF THE BILIARY TRACT W MCC,"$45,976.98"
,445,DISORDERS OF THE BILIARY TRACT W CC,"$36,638.31"
,446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"$30,701.12"
,453,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,"$367,866.62"
,454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,"$177,106.20"
,455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,"$107,307.97"
,456,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,"$220,216.27"
,457,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,"$163,868.63"
,458,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,"$154,178.83"
,459,SPINAL FUSION EXCEPT CERVICAL W MCC,"$220,246.69"
,460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"$104,238.65"
,462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,"$79,459.53"
,463,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC","$151,126.79"
,464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","$115,660.32"
,465,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC","$63,418.72"
,466,REVISION OF HIP OR KNEE REPLACEMENT W MCC,"$98,879.90"
,467,REVISION OF HIP OR KNEE REPLACEMENT W CC,"$87,360.73"
,468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"$67,816.25"
,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACE,"$91,633.90"
,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$55,035.83"
,471,CERVICAL SPINAL FUSION W MCC,"$200,828.19"
,472,CERVICAL SPINAL FUSION W CC,"$83,694.91"
,473,CERVICAL SPINAL FUSION W/O CC/MCC,"$65,576.33"
,474,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC,"$118,937.11"
,475,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,"$36,688.97"
,476,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W/O CC/MCC,"$27,717.37"
,477,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,"$96,679.57"
,478,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,"$72,754.01"
,479,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC,"$66,052.81"
,480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"$92,923.81"
,481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"$66,866.61"
,482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"$48,484.55"
,483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"$50,617.64"
,485,KNEE PROCEDURES W PDX OF INFECTION W MCC,"$223,729.65"
,486,KNEE PROCEDURES W PDX OF INFECTION W CC,"$55,655.08"
,487,KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC,"$41,476.55"
,488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,"$76,769.82"
,489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"$53,265.09"
,492,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC","$96,115.54"
,493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","$72,627.42"
,494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","$45,089.09"
,495,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W MCC,"$66,233.44"
,496,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,"$44,615.52"
,497,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC,"$34,470.49"
,498,LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W CC/MCC,"$41,551.41"
,499,LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W/O CC/MCC,"$26,397.77"
,500,SOFT TISSUE PROCEDURES W MCC,"$167,302.63"
,501,SOFT TISSUE PROCEDURES W CC,"$52,909.21"
,502,SOFT TISSUE PROCEDURES W/O CC/MCC,"$39,861.84"
,503,FOOT PROCEDURES W MCC,"$124,767.47"
,504,FOOT PROCEDURES W CC,"$64,402.87"
,505,FOOT PROCEDURES W/O CC/MCC,"$46,905.11"
,506,MAJOR THUMB OR JOINT PROCEDURES,"$31,288.14"
,507,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W CC/MCC,"$77,181.09"
,510,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W MCC","$66,848.31"
,511,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC","$57,760.89"
,512,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC","$42,207.59"
,513,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC","$81,793.02"
,514,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC","$22,063.18"
,515,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,"$95,407.59"
,516,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,"$63,180.96"
,517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,"$53,134.21"
,518,BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM,"$119,903.55"
,519,BACK & NECK PROC EXC SPINAL FUSION W CC,"$69,738.05"
,520,BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,"$53,185.35"
,533,FRACTURES OF FEMUR W MCC,"$38,906.82"
,534,FRACTURES OF FEMUR W/O MCC,"$15,756.49"
,535,FRACTURES OF HIP & PELVIS W MCC,"$46,680.77"
,536,FRACTURES OF HIP & PELVIS W/O MCC,"$30,135.73"
,538,"SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W/O CC/MCC","$33,956.09"
,539,OSTEOMYELITIS W MCC,"$123,215.73"
,540,OSTEOMYELITIS W CC,"$97,876.60"
,541,OSTEOMYELITIS W/O CC/MCC,"$36,329.30"
,542,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,"$74,796.61"
,543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,"$51,252.73"
,544,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC,"$22,935.65"
,545,CONNECTIVE TISSUE DISORDERS W MCC,"$67,445.10"
,546,CONNECTIVE TISSUE DISORDERS W CC,"$93,563.28"
,547,CONNECTIVE TISSUE DISORDERS W/O CC/MCC,"$24,766.89"
,548,SEPTIC ARTHRITIS W MCC,"$33,666.88"
,549,SEPTIC ARTHRITIS W CC,"$39,971.49"
,550,SEPTIC ARTHRITIS W/O CC/MCC,"$17,559.98"
,551,MEDICAL BACK PROBLEMS W MCC,"$70,878.29"
,552,MEDICAL BACK PROBLEMS W/O MCC,"$34,066.09"
,553,BONE DISEASES & ARTHROPATHIES W MCC,"$38,930.66"
,554,BONE DISEASES & ARTHROPATHIES W/O MCC,"$45,239.80"
,555,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC,"$5,245.94"
,556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,"$23,729.38"
,557,"TENDONITIS, MYOSITIS & BURSITIS W MCC","$60,088.82"
,558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","$18,068.88"
,559,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC","$91,001.00"
,560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC","$34,783.91"
,561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC","$32,485.52"
,562,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MCC","$34,050.83"
,563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","$29,416.87"
,564,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC,"$41,849.06"
,565,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,"$33,836.42"
,566,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,"$18,180.44"
,570,SKIN DEBRIDEMENT W MCC,"$120,634.62"
,571,SKIN DEBRIDEMENT W CC,"$42,410.95"
,572,SKIN DEBRIDEMENT W/O CC/MCC,"$63,266.61"
,574,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W CC,"$143,029.78"
,577,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC,"$181,792.80"
,578,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,"$121,253.77"
,579,"OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC","$79,391.31"
,580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","$42,614.43"
,581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC","$42,234.62"
,582,MASTECTOMY FOR MALIGNANCY W CC/MCC,"$52,588.85"
,583,MASTECTOMY FOR MALIGNANCY W/O CC/MCC,"$74,731.97"
,584,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W CC/MCC","$147,256.76"
,585,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W/O CC/MCC","$125,907.11"
,592,SKIN ULCERS W MCC,"$29,415.75"
,593,SKIN ULCERS W CC,"$16,765.06"
,594,SKIN ULCERS W/O CC/MCC,"$11,501.90"
,595,MAJOR SKIN DISORDERS W MCC,"$32,212.12"
,596,MAJOR SKIN DISORDERS W/O MCC,"$17,367.32"
,597,MALIGNANT BREAST DISORDERS W MCC,"$36,853.94"
,598,MALIGNANT BREAST DISORDERS W CC,"$85,255.85"
,599,MALIGNANT BREAST DISORDERS W/O CC/MCC,"$67,461.90"
,600,NON-MALIGNANT BREAST DISORDERS W CC/MCC,"$20,483.21"
,601,NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,"$4,947.69"
,602,CELLULITIS W MCC,"$37,374.61"
,603,CELLULITIS W/O MCC,"$18,116.46"
,604,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC","$57,818.34"
,605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","$27,949.08"
,606,MINOR SKIN DISORDERS W MCC,"$19,820.90"
,607,MINOR SKIN DISORDERS W/O MCC,"$13,466.66"
,614,ADRENAL & PITUITARY PROCEDURES W CC/MCC,"$141,196.58"
,615,ADRENAL & PITUITARY PROCEDURES W/O CC/MCC,"$41,052.21"
,616,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W MCC","$128,308.76"
,617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","$51,559.36"
,618,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W/O CC/MCC","$38,765.31"
,619,O.R. PROCEDURES FOR OBESITY W MCC,"$66,235.98"
,620,O.R. PROCEDURES FOR OBESITY W CC,"$53,852.35"
,621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,"$42,881.37"
,622,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W MCC","$100,798.78"
,623,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC","$42,059.25"
,625,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W MCC","$83,139.17"
,626,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC","$49,947.93"
,627,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W/O CC/MCC","$34,916.18"
,628,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC","$147,965.36"
,629,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC","$49,688.18"
,630,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W/O CC/MCC","$81,887.68"
,637,DIABETES W MCC,"$41,193.13"
,638,DIABETES W CC,"$21,452.83"
,639,DIABETES W/O CC/MCC,"$14,119.73"
,640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","$28,617.79"
,641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","$22,224.07"
,642,INBORN AND OTHER DISORDERS OF METABOLISM,"$27,193.47"
,643,ENDOCRINE DISORDERS W MCC,"$61,550.91"
,644,ENDOCRINE DISORDERS W CC,"$30,890.66"
,645,ENDOCRINE DISORDERS W/O CC/MCC,"$19,858.05"
,654,MAJOR BLADDER PROCEDURES W CC,"$90,514.60"
,656,KIDNEY & URETER PROCEDURES FOR NEOPLASM W MCC,"$56,610.58"
,657,KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,"$54,507.15"
,658,KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,"$48,436.40"
,659,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC,"$99,333.69"
,660,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,"$49,057.33"
,661,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,"$42,813.30"
,662,MINOR BLADDER PROCEDURES W MCC,"$29,731.78"
,663,MINOR BLADDER PROCEDURES W CC,"$35,013.53"
,664,MINOR BLADDER PROCEDURES W/O CC/MCC,"$25,705.56"
,666,PROSTATECTOMY W CC,"$34,699.97"
,667,PROSTATECTOMY W/O CC/MCC,"$16,385.83"
,668,TRANSURETHRAL PROCEDURES W MCC,"$75,715.35"
,669,TRANSURETHRAL PROCEDURES W CC,"$24,060.11"
,670,TRANSURETHRAL PROCEDURES W/O CC/MCC,"$24,433.44"
,673,OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,"$79,998.51"
,674,OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,"$58,963.95"
,675,OTHER KIDNEY & URINARY TRACT PROCEDURES W/O CC/MCC,"$60,080.51"
,682,RENAL FAILURE W MCC,"$42,404.00"
,683,RENAL FAILURE W CC,"$27,565.64"
,684,RENAL FAILURE W/O CC/MCC,"$19,856.64"
,685,ADMIT FOR RENAL DIALYSIS,"$39,192.24"
,686,KIDNEY & URINARY TRACT NEOPLASMS W MCC,"$57,843.77"
,687,KIDNEY & URINARY TRACT NEOPLASMS W CC,"$30,592.73"
,688,KIDNEY & URINARY TRACT NEOPLASMS W/O CC/MCC,"$33,525.06"
,689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"$33,345.83"
,690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"$20,334.50"
,693,URINARY STONES W/O ESW LITHOTRIPSY W MCC,"$26,066.27"
,694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"$24,264.76"
,696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,"$15,330.37"
,697,URETHRAL STRICTURE,"$23,168.27"
,698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"$51,752.61"
,699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"$31,026.45"
,700,OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,"$24,721.68"
,707,MAJOR MALE PELVIC PROCEDURES W CC/MCC,"$53,682.35"
,708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,"$49,112.57"
,709,PENIS PROCEDURES W CC/MCC,"$99,938.70"
,710,PENIS PROCEDURES W/O CC/MCC,"$24,858.53"
,711,TESTES PROCEDURES W CC/MCC,"$172,030.67"
,712,TESTES PROCEDURES W/O CC/MCC,"$21,920.52"
,713,TRANSURETHRAL PROSTATECTOMY W CC/MCC,"$69,741.17"
,714,TRANSURETHRAL PROSTATECTOMY W/O CC/MCC,"$17,756.55"
,715,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC FOR MALIGNANCY W CC/MCC,"$57,131.92"
,717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W CC/MCC,"$65,808.34"
,722,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM W MCC","$88,069.36"
,723,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM W CC","$44,620.07"
,724,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM W/O CC/MCC","$47,171.66"
,725,BENIGN PROSTATIC HYPERTROPHY W MCC,"$16,062.87"
,726,BENIGN PROSTATIC HYPERTROPHY W/O MCC,"$22,273.19"
,727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC,"$78,333.34"
,728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"$27,853.81"
,729,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W CC/MCC,"$93,089.91"
,730,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$28,199.26"
,734,"PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W CC/MCC","$54,644.40"
,735,"PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W/O CC/MCC","$45,178.29"
,736,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W MCC,"$180,809.33"
,737,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W CC,"$75,655.75"
,738,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W/O CC/MCC,"$65,698.68"
,739,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W MCC","$183,776.66"
,740,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC","$75,156.82"
,741,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W/O CC/MCC","$41,970.42"
,742,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,"$50,302.62"
,743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"$29,543.39"
,744,"D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W CC/MCC","$65,997.76"
,745,"D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W/O CC/MCC","$22,251.90"
,746,"VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC","$94,713.32"
,747,"VAGINA, CERVIX & VULVA PROCEDURES W/O CC/MCC","$24,504.95"
,748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,"$28,195.11"
,749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC,"$95,395.12"
,750,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"$44,361.31"
,754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W MCC","$48,313.17"
,755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC","$59,811.29"
,756,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC","$36,714.98"
,757,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W MCC","$42,785.46"
,758,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W CC","$23,722.41"
,759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC","$15,827.38"
,760,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC,"$39,768.30"
,761,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC,"$18,518.65"
,765,CESAREAN SECTION W CC/MCC,"$31,257.44"
,766,CESAREAN SECTION W/O CC/MCC,"$23,305.40"
,767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,"$31,186.67"
,768,VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL &/OR D&C,"$62,880.91"
,769,POSTPARTUM & POST ABORTION DIAGNOSES W O.R. PROCEDURE,"$7,015.72"
,770,"ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY","$19,313.05"
,774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"$22,041.14"
,775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"$18,447.38"
,776,POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,"$13,840.79"
,777,ECTOPIC PREGNANCY,"$32,755.06"
,778,THREATENED ABORTION,"$9,199.48"
,779,ABORTION W/O D&C,"$13,408.34"
,780,FALSE LABOR,"$7,384.58"
,781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"$18,467.72"
,782,OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS,"$15,720.38"
,789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","$140,704.94"
,790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE","$182,444.82"
,791,PREMATURITY W MAJOR PROBLEMS,"$110,695.80"
,792,PREMATURITY W/O MAJOR PROBLEMS,"$14,998.21"
,793,FULL TERM NEONATE W MAJOR PROBLEMS,"$30,660.53"
,794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"$7,576.68"
,795,NORMAL NEWBORN,"$3,398.79"
,799,SPLENECTOMY W MCC,"$121,635.35"
,801,SPLENECTOMY W/O CC/MCC,"$39,830.81"
,803,OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W CC,"$83,455.06"
,804,OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W/O CC/MCC,"$37,162.94"
,808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,"$76,628.76"
,809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,"$29,527.98"
,810,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W/O CC/MCC,"$17,814.89"
,811,RED BLOOD CELL DISORDERS W MCC,"$35,003.62"
,812,RED BLOOD CELL DISORDERS W/O MCC,"$20,814.40"
,813,COAGULATION DISORDERS,"$34,579.39"
,814,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W MCC,"$51,807.34"
,815,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC,"$17,462.19"
,816,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W/O CC/MCC,"$15,532.79"
,820,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC,"$237,907.78"
,821,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W CC,"$79,520.15"
,822,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC,"$43,269.46"
,823,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W MCC,"$134,539.58"
,824,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W CC,"$83,105.51"
,825,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W/O CC/MCC,"$37,283.45"
,826,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W MCC,"$136,938.91"
,827,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC,"$91,110.59"
,828,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC,"$49,428.44"
,829,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER  PROCEDURE W CC/MCC,"$120,619.36"
,830,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER  PROCEDURE W/O CC/MCC,"$70,927.64"
,834,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,"$189,447.14"
,835,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,"$102,301.47"
,836,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,"$33,639.34"
,837,CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,"$183,891.19"
,838,CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,"$227,026.64"
,839,CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,"$54,031.22"
,840,LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,"$64,457.91"
,841,LYMPHOMA & NON-ACUTE LEUKEMIA W CC,"$39,952.56"
,842,LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,"$33,385.95"
,843,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,"$287,479.21"
,844,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,"$30,614.97"
,845,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,"$36,123.40"
,846,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,"$40,825.25"
,847,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,"$26,832.70"
,848,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,"$25,972.39"
,853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"$181,147.60"
,854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"$91,835.28"
