Procedure Name, Procedure Price  
HC X-RAY TMJ BILAT," $1,792.34 "
HC X-RAY NECK SOFT TISSUE, $610.00 
HC X-RAY RIBS 2 VW UNILAT," $1,422.75 "
"HC X-RAY RIBS, CHEST 3+ VW"," $1,633.28 "
HC X-RAY RIBS 3 VW BILAT," $1,053.92 "
"HC X-RAY RIBS, CHEST 4+ VW"," $2,104.07 "
HC X-RAY STERNUM 2+ VW," $1,522.19 "
HC X-RAY SPINE ONE VIEW, $654.25 
HC RADEX SPINE CERVICAL 2 OR 3 VIEWS," $1,152.33 "
HC RADEX SPINE CERVICAL 4 OR 5 VIEWS," $1,843.59 "
HC RADEX SPINE CERVICAL 6 OR MORE VIEWS," $1,587.96 "
HC X-RAY THORACIC SPINE+SWIM 3 VW," $1,883.72 "
HC X-RAY THORACIC SPINE 4 VW," $1,752.94 "
HC X-RAY THOR-LUMB SP 2 VW, $710.00 
HC X-RAY LUMBAR SPINE 2/3 VW," $1,138.42 "
HC X-RAY LUMBAR SPINE 4 VW," $2,238.24 "
HC X-RAY LUMBAR SPINE 6+ VW," $1,813.90 "
HC X-RAY LUMBAR SPINE FLEX/EXTEN, $822.00 
HC X-RAY PELVIS 1/2 VW, $734.00 
HC X-RAY SACROILIAC JTS 3+ VW, $997.66 
HC X-RAY SACRUM/COCCYX 2+ VW, $842.91 
HC MYELOGRAPHY LUMBAR SPINE," $4,675.51 "
HC MYELOGRAPHY OF ENTIRE SPINE," $4,675.51 "
HC X-RAY CLAVICLE," $2,149.83 "
HC X-RAY SCAPULA," $1,433.17 "
HC X-RAY SHOULDER 1 VW," $1,303.88 "
HC X-RAY SHOULDER 2+ VW," $2,666.40 "
HC X-RAY AC JTS," $1,042.86 "
HC X-RAY HUMERUS," $1,543.86 "
HC X-RAY ELBOW 2 VW," $1,806.70 "
HC X-RAY ELBOW 3+ VW," $2,249.78 "
HC X-RAY FOREARM 2 VW," $2,602.68 "
HC X-RAY WRIST 2 VW," $1,543.86 "
HC X-RAY WRIST 3+ VW," $3,072.72 "
HC X-RAY HAND 2 VW," $1,775.40 "
HC X-RAY HAND 3+ VW," $2,466.86 "
HC X-RAY EXAM OF FINGER(S)," $2,494.10 "
"HC XRAY HIP W PELVIS, UNILAT 1 VW", $912.00 
"HC XRAY HIP W PELVIS, UNILAT 2-3 VW", $972.80 
"HC XRAY HIPS W PELVIS, BILAT 2 VW"," $3,533.90 "
HC XRAY FEMUR =>2 VW, $912.00 
HC X-RAY KNEE 1 OR 2 VIEW," $1,545.76 "
HC X-RAY KNEE 3 VIEW," $3,518.92 "
HC X-RAY KNEE 4+ VIEW," $3,945.22 "
HC X-RAY KNEE BILAT STANDING," $3,518.92 "
"HC X-RAY TIB + FIB, 2VW"," $2,077.76 "
"HC X-RAY LEG, INFANT"," $1,608.70 "
HC X-RAY ANKLE 2 VW," $1,583.00 "
HC X-RAY ANKLE 3+ VW," $1,831.98 "
HC X-RAY FOOT 2 VW," $1,775.40 "
HC X-RAY FOOT 3+ VW," $1,959.54 "
HC X-RAY HEEL," $1,588.58 "
HC X-RAY TOE(S)," $1,914.73 "
HC RADIOLOGIC EXAM ABDOMEN 1 VIEW, $508.78 
HC X-RAY ABDOMEN 2 VW," $1,335.04 "
"HC X-RAY ABDOMEN,COMP ACUTE SERIES"," $1,422.35 "
HC ESOPHAGRAM," $1,245.64 "
"HC SWALLOWING FCN,W/CINE &/OR VIDEO"," $1,366.78 "
HC XRAY UPPER GI TRACT + KUB," $1,165.25 "
"HC XRAY UPPER GI TRACT,W/SMALL INTEST,F/T"," $1,685.04 "
"HC X-RAY,SMALL BOWEL,W/MULT SERIAL FILMS"," $1,971.54 "
HC X-RAY COLON CONTRAST," $2,148.12 "
HC X-RAY COLON AIR CONTRAST," $3,462.64 "
HC X-RAY IV PYELOGRAM (IVP)," $1,650.56 "
HC X-RAY RETROGRADE PYELOGRAM," $1,871.04 "
HC X-RAY URETHROCYSTOGRAM," $1,650.56 "
HC VENOGRAM INFER VENA CAVA," $5,787.95 "
HC FLUOROSCOPY SPX UP TO 1 HOUR PHYS/QHP TIME," $1,034.55 "
"HC X-RAY EXAM, BREAST SPECIMEN"," $3,780.18 "
HC XR FLUORO GUIDANCE CV/PICC LINE," $1,015.55 "
HC FLUOROSCOPIC GUIDANCE NEEDLE PLACEMENT," $1,015.55 "
HC FLUORSCOPIC GUIDANCE SPINAL INJECTION," $1,017.08 "
"HC X-RAYS, BONE SURVEY COMPLETE"," $2,173.73 "
"HC DEXA,BONE DENSITY, 1 + SITE, AXIAL SKELETON"," $1,203.62 "
"HC DEXA,BONE DENSITY, 1 + SITE, APPENDICULR SKELTN", $912.00 
HC VENOGRAM SUPER VENA CAVA," $2,978.50 "
HC X-RAY JAW <4 VW," $1,405.74 "
"HC INJECTION PROC,EXTREMITY,VENOGRAPHY"," $1,071.73 "
HC MYELOGRAPHY CERV SPINE," $3,339.65 "
HC FINE NEEDLE ASP;W/IMAGING GUIDANCE," $2,401.57 "
HC X-RAY THORACIC SPINE 2 VW," $1,360.92 "
HC THORACENTESIS NDL/CATH PLEURA ASP W IMAG," $2,414.15 "
HC PERQ CATH DRN W IMG VISCERAL," $3,740.09 "
"HC XRAY SPINE, COMPLETE, 2-3 VW", $704.83 
"HC XRAY SPINE, COMPLETE, 4-5 VW"," $1,343.79 "
"HC XRAY HIPS W PELVIS, BILAT 3-4 VW"," $1,510.35 "
"HC XRAY HIPS W PELVIS, BILAT =>5 VW"," $2,879.55 "
HC XRAY FEMUR 1 VW, $912.00 
"HC COLORECTAL CANCER SCREEN, BA ENEMA"," $2,755.00 "
HC INJ PROC SHOULDER ARTHROGRAPHY/CT/MRI," $1,694.80 "
HC INJECTION FOR ELBOW ARTHROGRAM," $1,009.30 "
HC INJECTION FOR ELBOW ARTHROGRAM, $504.65 
HC ARTHRO HIP WO ANESTH," $1,557.75 "
"HC INJECTION HIP ARTHROGRAM,ANESTH", $933.38 
HC ARTHROGRAM OF SHOULDER," $4,444.64 "
HC ARTHROGRAM OF ELBOW," $5,354.22 "
HC ARTHROGRAM OF ELBOW," $2,677.11 "
HC ARTHROGRAM OF WRIST," $2,944.78 "
HC ARTHROGRAM OF HIP," $1,857.89 "
HC INJ FOR WRIST X-RAY, $529.59 
HC ANGIO AORTOGRAM ABD SERIAL," $7,654.70 "
HC ANGIO AORTOBIFEMORAL W CATH," $20,693.05 "
HC ANGIO EXTREMITY UNILAT," $7,782.88 "
HC ANGIO EXTERMITY BILAT," $8,803.60 "
HC ANGIO VISCERAL SELECTV/SUBSELEC," $8,470.26 "
HC ANGIO PULMON BILAT SELECT," $5,349.95 "
HC CHEST X-RAY 1 VW, $774.00 
HC CHEST X-RAY 2 VW, $997.58 
HC CHEST X-RAY SPEC VIEWS, $900.46 
HC CHEST X-RAY W APICAL LORD, $961.21 
HC CHEST X-RAY STEREO PA," $4,715.17 "
HC CT GUIDANCE NEEDLE PLACEMENT," $11,724.30 "
"HC CT SCAN,HEAD/BRAIN,W/O CONTRAST MATL"," $3,878.00 "
HC CT SCAN HEAD CONTRAST," $4,078.07 "
HC CT SCAN HEAD COMBO," $6,313.56 "
HC CT ORBIT/SELLA/POST FOSSA/EAR W/O CONTR," $8,428.40 "
HC CT ORBIT/SELLA/POST FOSSA/EAR W CONTR," $8,699.88 "
"HC CT SCAN,MAXILLOFACIAL AREA,W/O CONTRAST"," $6,382.49 "
"HC CT SCAN,SOFT TISSUE NECK,W/O CONTRAST"," $5,910.30 "
HC CT NECK TISSUE CONTRAST," $7,019.29 "
HC CT NECK TISSUE COMBO," $7,273.66 "
"HC CT ANGIO,HEAD COMBO,INCL IMAGE PROCESS"," $6,895.99 "
"HC CT ANGIO,NECK COMBO,INCL IMAGE PROCESS"," $7,439.25 "
HC CT SCAN MAXILLOFACIAL AREA W CONTRAST," $6,208.39 "
HC CT ORBIT/SELLA/POST FOSSA/EAR WO/W CONTR," $10,198.36 "
"HC CT SCAN,THORAX,W/O CONTRAST"," $5,399.58 "
HC CT SCAN THORAX W CONTRAST," $6,276.47 "
HC CT SCAN THORAX COMBO," $6,109.32 "
"HC CT ANGIO, CHEST, COMBO, INCL IMAGE PROC"," $11,591.64 "
"HC CT SCAN,CERVICAL SPINE,W/O CONTRAST"," $6,959.97 "
"HC CT SCAN,THORACIC SPINE,W/O CONTRAST"," $5,511.20 "
HC CT SCAN LUMBAR SPINE WO CONTRAST," $8,490.17 "
HC CT SCAN LUMBAR SPINE W CONTRAST," $7,728.30 "
"HC CT SCAN,PELVIS,W/O CONTRAST"," $5,399.58 "
HC CT SCAN OF PELVIS CONTRAST," $5,775.48 "
HC CT UPPER EXTREMITY WO CONTRAST," $8,544.39 "
HC CT UPPER EXTREMITY W CONTRAST," $8,679.46 "
"HC CT SCAN,LOWER EXTREMITY,W/O CONTRAST"," $6,650.86 "
HC CT SCAN OF LEG CONTRAST," $6,756.04 "
"HC CT ANGIO,LOWER EXTREM,COMBO,IMAGE PRC"," $4,996.90 "
"HC CT SCAN,ABDOMEN,W/O CONTRAST"," $5,348.82 "
HC CT SCAN OF ABDOMEN CONTRAST," $6,081.99 "
HC CT SCAN OF ABDOMEN COMBO," $5,776.20 "
HC CT ANGIO ABD & PLVIS WO/W CONTRAST," $6,109.32 "
"HC CT ANGIO, ABD, COMBO,INCL IMAGE PROC"," $6,083.16 "
HC CT SCAN ABDOMEN/PELVIS WO CONTRAST," $11,441.28 "
HC CT SCAN ABDOMEN/PELVIS W CONTRAST," $12,735.76 "
HC CT SCAN ABDOMEN/PELVIS COMBO," $15,515.39 "
"HC CT ANGIO AORTOBIFEMORAL, COMBO"," $7,534.69 "
HC MYELOGRAM INJ; SPINAL NOT C1-C2," $2,027.10 "
HC CT SCAN CERV SPINE CONTRAST," $8,941.00 "
HC CT SCAN DORSAL SP CONTRAST," $7,025.73 "
"HC CT ANGIO,UPPER EXTREM,COMBO"," $4,996.90 "
HC CT SCAN LUMBAR SPINE WO/W CONTRAST," $11,123.30 "
HC OR TIME 1ST 60 MIN LVL 1," $16,543.90 "
HC OR TIME 1ST 60 MIN LVL 2," $19,254.16 "
HC OR TIME 1ST 60 MIN LVL 3," $20,014.02 "
HC OR TIME 1ST 60 MIN LVL 4," $23,739.92 "
HC OR TIME 1ST 60 MIN LVL 5," $42,459.51 "
HC OR TIME EACH ADDL 15 MIN LVL 1," $2,540.78 "
HC OR TIME EACH ADDL 15 MIN LVL 2," $2,934.24 "
HC OR TIME EACH ADDL 15 MIN LVL 3," $3,617.52 "
HC OR TIME EACH ADDL 15 MIN LVL 4," $4,225.50 "
HC OR TIME EACH ADDL 15 MIN LVL 5," $6,432.50 "
HC REPR WND SMP FACE <2.5 CM, $848.06 
HC BX ANORECTAL WALL ANAL APPROACH," $6,924.60 "
HC APP SKN SUB TRNK/ARM/LEG TTL 100SQCM 1ST 25 SQCM," $7,056.05 "
HC APP SKN SUB HEAD/HND/FT/GNT TTL 100SQCM 1ST 25 SQCM," $7,056.05 "
HC BRONCHOSCOPY DIAG," $3,474.28 "
HC BRONCHOSCOPY DIAG W BRUSH," $3,474.28 "
HC BRONCHOSCOPY DIAG W LAVAGE," $5,275.60 "
HC BRONCHOSCOPY DIAG W BRONCH BX," $3,474.28 "
"HC BRONCHOSCOPY DIAG W LUNG BX, SINGLE LOBE"," $9,959.60 "
"HC BRONCHOSCOPY DIAG W NEEDLE ASP BX, SINGLE LOBE"," $11,281.80 "
"HC BRONCHOSCOPY DIAG W LUNG BX, EA DD LOBE"," $2,855.91 "
"HC BRONCHOSCOPY THERAPEUTIC ASPIR, INIT"," $3,474.28 "
"HC THROMBOLYTIC THERAPY, STROKE"," $2,060.67 "
HC PERCUT DRAIN/INJECT RENAL CYST," $4,709.90 "
"HC MYELOGRAPHY LUMBAR INJ, LUMBOSCRAL"," $4,956.43 "
"HC PLACE NEEDLE/CATH, VEIN (MIDLINE)", $340.23 
HC INCISION & DRAIN SKIN ABSCESS SIMPLE, $775.40 
HC INCISION & DRAIN SKIN ABSCESS COMPLIC," $1,369.62 "
HC INCISION & DRAIN PILONIDAL CYST SIMPL," $1,369.62 "
HC REMOVE FOREIGN BODY SIMPLE," $1,353.30 "
HC PUNCTURE DRAINAGE OF LESION, $511.75 
HC DEBRIDE SKIN SUB-Q TISS =<20 SQ CM," $1,353.30 "
HC DEBRIDE SKIN SUB-Q TISS MUSCLE =<20 SQ CM," $2,572.02 "
HC DEBRIDE SKIN SUB-Q TISS MUSCLE BONE =<20 SQ CM," $5,651.88 "
HC DEBRIDE SKIN SUB-Q TISS EACH ADD 20 SQ CM," $1,353.30 "
HC DEBRIDE SKIN SUB-Q TISS MUSCLE EA ADD 20 SQ CM, $847.71 
HC DEBRIDE SKIN SUB-Q TISS MUSC BN EA 20 SQ CM," $2,020.00 "
"HC TRIM BENIGN HYPERKERATOTIC SKIN LESION, SINGLE", $775.40 
"HC TRIM BENIGN HYPERKERATOTIC SKIN LESION,2-4", $895.40 
"HC BIOPSY OF SKIN LESION, SINGLE"," $1,578.85 "
"HC REMOVAL OF SKIN TAGS, UP TO 15", $351.53 
"HC DEBRIDEMENT OF NAILS, 1-5", $848.06 
"HC DEBRIDEMENT OF NAILS, 6 OR MORE", $848.06 
HC REMOVAL OF NAIL PLATE, $848.06 
HC DRAIN BLOOD FROM UNDER NAIL, $839.72 
HC REPR WND SMP BODY/SCALP/EXTR <2.5 CM," $1,033.11 "
HC REPR WND SMP BODY/SCALP/EXTR 2.6-7.5 CM," $1,218.16 "
HC REPR WND SMP BODY/SCALP/EXTR 7.6-12.5 CM," $1,403.21 "
HC REPR WND SMP BODY/SCALP/EXTR 12.6-20 CM," $1,588.26 "
HC REPR WND SMP BODY/SCALP/EXTR 20.1-30 CM, $873.00 
HC REPR WND SMP FACE 2.6-5.0 CM," $1,033.11 "
HC REPR WND SMP FACE 5.1-7.5 CM," $1,218.16 "
HC REPR WND SMP FACE 7.6-12.5 CM," $1,403.21 "
HC REPR WND INTRMD BODY/SCALP/EXTR <2.5 CM," $1,048.06 "
HC REPR WND INTRMD BODY/SCALP/EXTR 2.6-7.5 CM," $1,233.11 "
HC REPR WND INTRMD BODY/SCALP/EXTR 7.6-12.5 CM," $1,418.16 "
HC REPR WND INTRMD BODY/SCALP/EXTR 12.5-20 CM, $952.69 
HC REPR WND INTRMD NECK/HND/FT/GENT <2.5 CM," $1,048.06 "
HC REPR WND INTRMD NECK/HND/FT/GENT 2.6-7.5 CM," $1,533.11 "
HC REPR WND INTRMD NECK/HND/FT/GENT 12.5-20 CM," $2,036.23 "
HC REPR WND INTRMD FACE <2.5 CM," $1,333.11 "
HC REPR WND INTRMD FACE 2.6-5.0 CM," $1,518.16 "
HC REPR WND INTRMD FACE 5.1-7.5 CM, $820.97 
HC PREP WND TRK/AR/LG EA ADD 100 SQCM OR 1% PEDS," $1,458.00 "
"HC TREAT BURN 1ST DEGREE, INITIAL", $294.71 
HC DRESS/DEBRIDE BURN <5% TOTAL SM, $848.06 
HC CHEM CAUTERY GRANULATN TISSUE, $848.06 
HC EXPLORE WOUND EXTREMITY," $1,963.25 "
"HC BONE BIOPSY,TROCAR/NEEDLE DEEP"," $7,071.40 "
HC DRAIN/INJECT INTERMEDIATE JOINT/BURSA," $2,036.23 "
HC ASP/DRAIN LARGE JOINT/BURSA," $2,036.23 "
HC BIOPSY SOFT TISSUE NECK/CHEST," $2,923.33 "
HC DRAIN FINGER ABSCESS SIMPLE," $2,036.23 "
HC BIOPSY OF SOFT TISSUES," $3,767.92 "
HC REMOVE NASAL FB, $301.00 
HC INTUBATION ENDOTRACHEAL, $775.40 
HC CATHETER ASPIRATN NASOTRACH, $747.30 
HC PERQ LUNG/MEDIASTINUM BX," $2,825.94 "
HC TUBE THORACOSTOMY W DRAIN SYS," $1,931.32 "
HC THORACENTESIS NDL/CATH PLEURA ASP WO IMAG," $8,073.11 "
HC INSERT NON-TUNNEL CV CATH =>5 YR," $8,073.11 "
HC INSERT TUNNELED CV CATH W/O PORT OR PUMP," $9,441.86 "
HC INSERT PICC W/ SUB-Q PORT," $9,441.86 "
HC REPLACE PICC WO PORT/PUMP," $2,564.00 "
"HC INSERT NEEDLE,INTRAOSSEOUS INFUSN", $404.85 
"HC BONE MARROW BX, NEEDLE/TROCAR"," $7,071.40 "
"HC REPAIR LIP,FULL THICK,VERMILION"," $1,989.69 "
HC DRAINAGE OF GUM LESION, $848.06 
HC CHANGE GASTROSTOMY TUBE PERCUTANEOUS W/O GUIDE," $2,521.41 "
"HC I&D PERIANAL ABSCESS,SUPERFICIAL", $700.00 
HC INCISE EXTERNAL HEMORRHOID, $638.41 
HC NEEDLE BIOPSY LIVER," $4,709.90 "
HC ABDOM PARACENTESIS DX/THER W/O IMAGING GUIDANCE," $3,943.21 "
"HC PERCUT BIOPSY, ABDOMINAL MASS"," $4,709.90 "
HC REPLACE DUODENOSTOMY/JEJUNOSTOMY TUBE PERQ," $1,553.25 "
HC RENAL BIOPSY PERQ," $7,071.40 "
HC IRRIGATION OF BLADDER, $730.48 
"HC INSERT,NON-INDWELLING BLADDER CATHETER", $244.82 
"HC INSERT,TEMP INDWELLING BLAD CATH,SIMPLE", $692.46 
"HC CHANGE OF BLADDER TUBE,SIMPLE", $574.81 
HC I&D OF VULVA/PERINEUM ABSCESS," $2,036.23 "
HC I&D BARTHOLIN GLAND ABSCESS, $980.72 
"HC BIOPSY OF THYROID,PERCUT"," $2,403.20 "
"HC SPINAL PUNCTURE,LUMBAR,DIAGNOSTIC"," $2,925.85 "
"HC REMV F.B.,EYE,SUPERF CONJUNC", $411.00 
"HC REMV F.B.,EYE,CORNEA,NO SLIT", $848.06 
"HC REMV F.B.,EYE,CORNEA,SLIT LAMP", $442.81 
HC DRAINAGE OF EYELID ABSCESS, $804.14 
HC REMV EXT CANAL FOREIGN BODY, $848.06 
HC REMOVAL IMPACTED CERUMEN INSTRUMENTATION UNILAT, $248.00 
HC DEBRIDEMENT OPEN WOUND 20 SQ CM<," $1,267.95 "
HC DEBRIDEMENT OPEN WOUND EA ADDL 20 SQ CM," $1,267.95 "
HC INJECT TRIGGER POINT1-2 MUSCLE," $2,036.23 "
"HC COMPLEX DRAINAGE, WOUND"," $3,472.16 "
HC REMOVAL TUNNELED CV CATH W/O SUBQ PORT OR PUMP," $6,279.72 "
HC BRONCHOSCOPY COMPUTER ASSIST/IMAGE GUIDED NAVIGAT," $4,213.41 "
HC BRONCHOSCOPY THERMOPLASTY =>2 LOBES," $7,023.02 "
HC INSERT PICC W/O SUB-Q PORT," $8,073.11 "
"HC PLACE NEPROSTOMY CATH, PERQ W IMG"," $8,223.30 "
HC BONE MARROW ASPIRATE &BIOPSY, $876.00 
HC DRAINAGE OF PALMAR BURSA SINGLE BURSA," $6,749.70 "
HC DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS," $6,740.15 "
HC ANESTHESIA 1ST 60 MIN GENERAL," $6,119.54 "
HC ANESTHESIA ADDL 15 MIN GENERAL," $1,211.38 "
HC BLOCK/SPINAL 1ST 60 MIN," $1,500.00 "
HC BLOCK/SPINAL ADDL 15 MIN, $410.09 
HC MAC 1ST 60 MIN," $1,165.56 "
HC MAC ADDL 15 MIN, $410.09 
HC LOCAL 1ST 60 MIN," $1,165.56 "
HC MODER SEDATE SAME PHYS/QHP <5 YRS INIT 15 MIN, $848.47 
HC MODER SEDATE SAME PHYS/QHP 5/>YRS INIT 15 MIN, $848.47 
HC MODER SEDATE SAME PHYS/QHP EACH ADDL 15 MIN, $589.96 
"HC INJ NERV BLCK,OTHR PERIPH NERV"," $2,036.23 "
HC MODERATE SEDATJ DIFF PHYS/QHP 5/>YRS INIT 15 MIN, $823.26 
"HC CRYOPRECIPITATE, PER UNIT", $283.00 
"HC RBC LEUKOCYTES REDUCED, PER UNIT"," $1,131.26 "
"HC RED BLOOD CELLS, PER UNIT", $980.72 
"HC PLATELETS PHERESIS LEUKOCYTES REDUCED, PER UNIT"," $5,247.07 "
"HC PLATELETS PHRSIS LEUKO REDUCE IRRADIAT, EA UNIT"," $2,790.42 "
"HC RBC LEUKOREDUCED IRRADIATED, PER UNIT"," $14,628.20 "
"HC PLASMA CRYOPRECIPITATE REDUCED, PER UNIT", $839.72 
"HC FRESH FROZEN PLASMA IN 8-24HR, PER UNIT"," $1,019.12 "
HC LAB PROCESSING FEE, $25.00 
HC BLOOD TRANSFUSION SERVICE," $1,745.70 "
HC PERQ DEV PLACE BREAST LOC 1ST LES W MAMMO GUID," $4,803.14 "
HC PERQ DEV PLACE BREAST LOC 1ST LES W MAMMO GUID," $2,401.57 "
HC MAMMOGRAPHY; UNILATERAL, $743.80 
HC MAMMOGRAPHY; BILATERAL, $906.90 
HC ABDOM PARACENTESIS DX/THER W IMAGING GUIDANCE," $2,002.50 "
"HC US, HEAD/NECK TISSUES,REAL TIME"," $3,196.57 "
"HC US, CHEST,REAL TIME", $892.41 
"HC US, BREAST UNILAT COMPLETE"," $1,953.60 "
"HC US, BREAST UNILAT COMPLETE", $976.80 
"HC US, ABDOM,B-SCAN &/OR REAL TIME,COMPLETE"," $1,910.85 "
"HC US, ABDOMEN LIMITED"," $1,260.85 "
"HC US,RETROPERIT, B-SCAN/REAL TIME,COMPLETE"," $1,810.40 "
"HC US, RETROPERITNL ABD, LTD"," $1,354.54 "
"HC US, OB < 14 WKS, SINGLE FETUS", $851.00 
"HC US, OB < 14 WKS, ADD'L FETUS"," $2,107.62 "
"HC US, OB >/= 14 WKS, SNGL FETUS"," $1,960.61 "
"HC US,PREGNANT UTERUS,LIMITED, 1/> FETUSES"," $2,175.14 "
"HC US,PREGNANT UTERUS,TRANSVAGINAL"," $2,267.34 "
"HC ULTRASOUND,TRANSVAGINAL", $810.00 
"HC ULTRASOUND,PELVIC (NONOBSTETRIC)"," $3,633.53 "
HC US PELVIS NONOBST LIMITED/FU," $1,376.27 "
"HC ULTRASOUND,SCROTUM & CONTENTS"," $2,070.61 "
HC US EXTREMITY NON VASCULAR REAL TIME COMP," $1,166.69 "
HC US EXTREMITY NON VASCULAR REAL TIME LTD, $875.02 
"HC US GUIDE, VASCULAR ACCESS"," $1,514.75 "
HC US GUIDE FOR NEEDLE PLACEMENT," $2,601.85 "
HC BX BREAST W DEVICE US GUIDE 1ST LESION," $11,303.76 "
HC BX BREAST W DEVICE US GUIDE 1ST LESION," $5,651.88 "
"HC US GUID,COMP REPAIR,PSEUDO-ANEUR/AV FIST"," $2,690.50 "
HC ULTRASOUND BREAST UNILAT LIMITED," $1,925.50 "
HC ULTRASOUND BREAST UNILAT LIMITED, $962.75 
"HC MAMMOGRAM, SCREENING", $276.33 
HC CAD SCREENING MAMMO, $208.42 
HC WITHDRAWAL OF ARTERIAL BLOOD, $455.90 
"HC VENT MANAGEMENT, INPATIENT, INITIAL DAY"," $4,839.17 "
"HC POS AIRWAY PRESSURE, CPAP"," $4,623.50 "
"HC CHEST WALL MANIPULATION,INITIAL", $377.38 
HC THERAPEUTIC PROCD STRG ENDUR, $455.90 
"HC VENT MANAGEMENT, INPAT/OBSER, EA SUBQ DAY"," $4,337.54 "
"HC CHEST WALL MANIPULATION, SUBSEQUENT", $288.61 
HC AIRWAY INHALATION TREATMENT, $769.71 
"HC HYPERBARIC OXY, FULL BODY, PER 30 MIN"," $1,277.31 "
"HC THERAPEUTIC EXERCISES, EA 15 MIN", $223.79 
"HC GAIT TRAIN THERAPY, EA 15 MIN", $210.80 
HC THERAPEUT ACTVITY DIRECT PT CONTACT EA 15 MIN, $201.45 
"HC NEUROMUSC REEDUCAT,1+ AREAS, EA 15 MIN", $159.00 
HC PHYSICAL PERFORMANCE TEST EA 15 MIN, $242.02 
HC CONTRAST BATH THERAPY EA 15 MIN, $122.59 
HC SELF CARE MNGMENT TRAIN EA 15 MIN, $245.91 
HC MANUAL THERAPY 1/> REGIONS EA 15 MIN, $354.01 
HC MASSAGE THERAPY EA 15 MIN, $161.99 
HC PARAFFIN BATH THERAPY, $248.45 
HC ULTRASOUND THERAPY EA 15 MIN, $265.53 
HC ELEC STIM OTHER THAN WOUND, $276.48 
HC ELECTRICAL STIMULATION EA 15 MIN, $145.00 
HC ORTHOTIC MGMT AND TRAIN  INITIAL ENCTR EA 15 MIN, $264.00 
HC SENSORY INTEGRATION EA 15 MIN, $136.74 
HC GROUP THERAPEUTIC PROCEDURES, $66.73 
HC WHEELCHAIR MNGMENT TRAIN EA 15 MIN, $217.78 
HC WHIRLPOOL THERAPY, $351.23 
HC ELECT STIMUL UNATTND FOR ULCERS, $215.99 
HC MECHANICAL TRACTION THERAPY, $310.56 
HC BIOFEEDBACK TRAIN ANY METH, $168.63 
"HC THERAPEUTIC EXERCISES COMPLEX, EA 15 MIN", $223.79 
"HC GAIT TRAIN THERAPY COMPLEX, EA 15 MIN", $210.80 
"HC PHYS THERAPY EVALUATION, 15 MIN", $319.41 
"HC PHYS THRP RE-EVAL, 20 MIN", $262.62 
"HC PHYS THRP EVAL, LOW COMPLEXITY, 20 MIN", $211.17 
"HC PHYS THRP EVAL, MODERATE COMPLEXITY, 30 MIN", $285.73 
"HC PHYS THRP EVAL, HIGH COMPLEXITY, 45 MIN", $360.28 
HC THERAPEUTIC IVNTJ W/FOCUS ON COGNITIVE FUNCTION, $277.50 
"HC OCCUP THRP RE-EVAL, 30 MIN", $148.12 
"HC OCCUP THRP EVAL,  LOW COMPLEXITY, 30 MIN", $250.00 
"HC OCCUP THRP EVAL, MODERATE COMPLEXITY, 45 MIN", $300.00 
"HC SPEECH/HEARING THERAPY INDIVIDUAL, 15 MIN", $565.21 
"HC SPEECH/HEARING THERAPY INDIVIDUAL, 30 MIN", $643.00 
"HC SPEECH/HEARING THERAPY INDIVIDUAL, 45 MIN", $764.10 
"HC SPEECH/HEARING THERAPY INDIVIDUAL, 60 MIN"," $1,018.80 "
"HC ORAL FUNCTION THERAPY, 15 MIN", $155.84 
"HC ORAL FUNCTION THERAPY, 30 MIN", $205.84 
"HC ORAL FUNCTION THERAPY, 45 MIN", $250.00 
"HC ST EVAL SPEECH SOUND PROD LANGUAG COMPRHNS, 15 MIN", $906.93 
"HC ST EVAL SPEECH SOUND PROD LANGUAG COMPRHNS, 30 MIN", $193.70 
"HC EVAL,ORAL & PHARYNGEAL SWALLOW FUNCTION, 15 MIN", $195.33 
"HC EVAL,ORAL & PHARYNGEAL SWALLOW FUNCTION, 30 MIN", $280.84 
"HC EVAL,ORAL & PHARYNGEAL SWALLOW FUNCTION, 45 MIN", $405.84 
"HC EVAL,SWALLOW FUNCTION,CINE/VIDEO RECORD, 30 MIN", $449.68 
"HC EVAL,SWALLOW FUNCTION,CINE/VIDEO RECORD, 45 MIN", $299.64 
HC ED LEVEL 1, $690.87 
HC ED LEVEL 2, $622.30 
HC ED LEVEL 3," $1,179.46 "
HC ED LEVEL 4," $1,771.51 "
HC ED LEVEL 5," $3,962.43 "
"HC CRITICAL CARE, E/M 30-74 MINUTES"," $5,439.33 "
"HC CRITICAL CARE, ADDL 30 MIN"," $1,666.00 "
HC BREATHING CAPACITY TEST," $1,516.81 "
HC EVAL OF BRONCHOSPASM, $738.00 
HC GAS DILUT/WASHOUT LUNG VOL W/WO DISTRB VENT&VOL, $741.71 
HC DIFFUSING CAPACITY, $442.00 
"HC NONINVASV OXYGEN SATUR,MULTIPLE", $234.07 
"HC NONINVASV OXYGEN SATUT,CONTINUOUS", $775.40 
HC NONINVASV OXYGEN SATUR;SINGLE, $140.42 
HC EXHALED CARBON DIOXIDE TEST," $1,101.75 "
HC HEART/LUNG RESUSCITATION (CPR)," $1,322.10 "
HC TRANSTELEPHONIC RHYTHM STRIP PACEMAKER EVAL, $246.55 
HC TEMPORARY EXTERNAL PACING," $2,802.54 "
