DEPARTMENT,IVDESC,IVCPTCD,IVPRICE1
RADIOLOGY,SPINE T 2 VIEWS,72070,313
RADIOLOGY,SPINE T 3 VIEWS,72072,638
RADIOLOGY,SPINE T MIN 4 VIEW,72074,341
RADIOLOGY,SPINE T L STAND SCOLOSIS 1 VIEW,72081,131
RADIOLOGY,SPINE T L STAND SCOLOSIS 2 OR 3 VIEW,72082,201
RADIOLOGY,SPINE FULL AP & LAT STUDY,72082,643
RADIOLOGY,SPINE T L STAND SCOLOSIS 4 OR 5 VIEW,72083,493
RADIOLOGY,SPINE T L STAND SCOLOSIS 6 VIEW,72084,511
RADIOLOGY,SPINE LS 2 OR 3V,72100,425
RADIOLOGY,SPINE LS MIN 4 VIEWS,72110,789
RADIOLOGY,SPINE LS COMP BEND VIEW,72114,331
RADIOLOGY,SPINE LS BEND MIN 4V,72120,422
CATSCAN,CT SPINE CERVICAL WO,72125,2060
CATSCAN,CT SPINE CERVICAL W,72126,2167
CATSCAN,CT SPINE THORACIC WO,72128,2231
CATSCAN,CT SPINE LUMBAR WO,72131,2393
MRI,MRI SPINE CERV WO,72141,2683
MRI,MRI SPINE CERV W,72142,2932
MRI,MRI SPINE THORAC WO,72146,1918
MRI,MRI SPINE THORAC W,72147,2710
MRI,MRI SPINE LUMBAR WO,72148,2653
MRI,MRI SPINE LUMBAR W,72149,2937
MRI,MRI SPINE CERV WWO,72156,3126
MRI,MRI SPINE THORAC WWO,72157,2446
MRI,MRI SPINE LUMBAR WWO,72158,3182
MRI,MRA SPINAL CANAL WWO,72159,2937
RADIOLOGY,PELVIS 1 OR 2V - F/U,72170,370
RADIOLOGY,PELVIS COMP 3V MIN,72190,226
CATSCAN,CT PELVIS WO,72192,2152
CATSCAN,CT PELVIS W,72193,2272
CATSCAN,CT PELVIS WWO,72194,2385
MRI,MRI PELVIS WO,72195,1847
MRI,MRI PELVIS W,72196,2937
MRI,MRI PELVIS W WO,72197,2944
MRI,MRA PELVIS W OR WO,72198,2937
RADIOLOGY,SACROILIAC JTS <3V,72200,218
RADIOLOGY,SACROILIAC JTS 3+V,72202,381
RADIOLOGY,SACRUM COCCYX 2V MIN,72220,431
RADIOLOGY,SCAPULA COMPLETE,73010,299
RADIOLOGY,AC JOINTS 2V WWO WEIGHTS,73050,255
RADIOLOGY,KNEES BILAT AP STANDING,73565,159
RADIOLOGY,ABD SINGLE AP VIEW,74018,299
RADIOLOGY,ABD SUPINE AND ERECT,74019,299
RADIOLOGY,"ABD SUPINE,ERECT & DEUB",74021,432
RADIOLOGY,ABD 2 OR 3 VIEW AND PA CH,74022,644
CATSCAN,CT ABDOMEN WO,74150,1677
CATSCAN,CT ABDOMEN W,74160,2275
CATSCAN,CT ABDOMEN W WO,74170,2275
CATSCAN,CT ANGIO ABD & PELVIS W,74174,2596
CATSCAN,CT ANGOABDOMEN W,74175,2596
CATSCAN,CT ABD & PELVIS WO,74176,2839
CATSCAN,CT ABD & PELVIS W,74177,2596
CATSCAN,CT ABD & PELVIS W W/O,74178,2954
MRI,MRI ABDOMEN WO,74181,2384
MRI,MRI ABDOMEN W,74182,2384
MRI,MRI ABDOMEN W WO,74183,2499
MRI,MRA ABDOMEN W WO,74185,2599
RADIOLOGY,ESOPHAGUS (WITH BARIUM),74220,313
RADIOLOGY,IVP DRIP/OR BOLUS,74410,476
RADIOLOGY,IVP RETROGR W/WO KUB,74420,802
RADIOLOGY,CYSTOGRAM MIN 3 VIEWS,74430,326
MRI,MRI CARDIAC WO,75557,2599
MRI,MRI CARDIAC W,75561,2599
CATSCAN,CT ANGIO AORTA W/RUNOFF,75635,3180
RADIOLOGY,FISTULA OR SINUS TRACT,76080,625
ULTRASOUND,US ECHOENCEPHALOGRAPHY,76506,510
ULTRASOUND,US SOFT TISSUE HEAD NECK,76536,366
ULTRASOUND,US ABDOMEN COMPLETE,76700,819
ULTRASOUND,US ABDOMEN LIMITED,76705,522
ULTRASOUND,US AORTA,76770,522
ULTRASOUND,US RETROPERITON LTD (RENA,76775,522
ULTRASOUND,US ECHOGRAPHY SPINAL,76800,510
ULTRASOUND,US OB 1ST TRIMESTER,76801,597
ULTRASOUND,US OB >1ST TRIMESTER,76805,725
ULTRASOUND,US OB COMP MULT GEST >1ST,76810,835
ULTRASOUND,US OB LIMITED,76815,408
ULTRASOUND,US OB FOLLOWUP REPEAT,76816,513
ULTRASOUND,US OB TRANS VAG,76817,219
ULTRASOUND,US OB BIOPHYSICAL PROFILE,76818,677
ULTRASOUND,US TRANSVAGINAL,76830,287
ULTRASOUND,US PELVIC COMPLETE,76856,568
ULTRASOUND,US PELVIC LTD/FOLLOWUP,76857,272
ULTRASOUND,US BLADDER SCAN,76857,272
ULTRASOUND,US SCROTUM & CONTENTS,76870,534
ULTRASOUND,US EXT NONVASC LTD ANATOM,76881,621
ULTRASOUND,US EXT NONVASCULR COMP,76881,621
ULTRASOUND,US EXT NONVASCULR,76882,621
ULTRASOUND,US GUIDE PARA/THORA,76942,255
MAMMOGRAPHY,MAMMO UNILATERAL LT,77065,135
MAMMOGRAPHY,MAMMO UNILATERAL RT,77065,135
MAMMOGRAPHY,MAMMOGRAPHY BILATERAL DIAGNOSTIC,77066,246
MAMMOGRAPHY,MAMMO SCREENING,77067,147
RADIOLOGY,BONE AGE STUDIES,77072,234
RADIOLOGY,BONE LENGTH STUDIES,77073,461
CATSCAN,CT BONE MINERAL DENSITY,77078,280
MRI,MRI BONE MARR BLOOD STDY,77084,2499
NUCLEAR MEDICINE,NM THYR IMG SIN UPTAKE,78006,789
NUCLEAR MEDICINE,NM THYR IMG MULT UPTAKE,78007,630
NUCLEAR MEDICINE,NM THYR IMAGING ONLY,78010,612
NUCLEAR MEDICINE,NM PARATHYROID IMAGING,78070,789
NUCLEAR MEDICINE,NM LYMPHATICS&LYMPH NODE,78195,682
NUCLEAR MEDICINE,NM LIVER STATIC ONLY,78201,612
NUCLEAR MEDICINE,NM LIVER VASC FLOW,78202,664
NUCLEAR MEDICINE,NM LIVER SPECT,78205,1024
NUCLEAR MEDICINE,NM LIVER SPLEEN STATIC,78215,745
NUCLEAR MEDICINE,NM LIVER SPLEEN W VASC,78216,745
NUCLEAR MEDICINE,NM LIVER FUNCTION STUDY,78220,745
NUCLEAR MEDICINE,NM LIVER BILI IMG W GB,78227,745
NUCLEAR MEDICINE,NM GASTRIC EMPTYING STUDY,78264,865
NUCLEAR MEDICINE,NM GASTROINTEST BLEED,78278,607
NUCLEAR MEDICINE,NM BOWEL IMG MECKELS,78290,696
NUCLEAR MEDICINE,NM BONE SCAN LTD AREA,78300,875
NUCLEAR MEDICINE,NM BONE SCAN MULT AREA,78305,828
NUCLEAR MEDICINE,NM BONE SCAN BODY WHOLE,78306,875
NUCLEAR MEDICINE,NM BONE SCAN 3 PHASE,78315,875
NUCLEAR MEDICINE,NM BONE SCAN SPECT,78320,1093
NUCLEAR MEDICINE,NM SPECT SING REST STRESS,78451,2807
NUCLEAR MEDICINE,NM SPECT MULT REST STRESS,78452,2928
NUCLEAR MEDICINE,NM THALL SING REST STRESS,78453,2003
NUCLEAR MEDICINE,NM THALL MULT REST STRESS,78454,2320
NUCLEAR MEDICINE,NM MYOCARD IMG QUAL QUANT,78466,573
NUCLEAR MEDICINE,NM CARD BLD SIN IMAGE,78472,1111
NUCLEAR MEDICINE,NM CARD BLD MULT IMAGE,78473,1772
NUCLEAR MEDICINE,NM MYOPERF W EJECT FRAC,78480,386
NUCLEAR MEDICINE,NM CARD BLD SIN PLANAR,78481,1199
NUCLEAR MEDICINE,NM PULM PERF IMG PARTICLT,78580,696
NUCLEAR MEDICINE,NM PULM VENT MULTIPLE,78587,696
NUCLEAR MEDICINE,NM PULM PERF W VENT IMG,78588,696
NUCLEAR MEDICINE,NM BRAIN SPECT IMAGING,78607,1152
NUCLEAR MEDICINE,NM KIDNEY IMG STATIC,78700,594
NUCLEAR MEDICINE,NM KIDNEY IMG W VASC FLOW,78701,810
NUCLEAR MEDICINE,NM KIDNEY IMG W FX STDY,78704,926
NUCLEAR MEDICINE,NM KIDNEY IMG WO PHARM,78707,910
NUCLEAR MEDICINE,NM KIDNEY IMG SIN PHARM,78708,1172
NUCLEAR MEDICINE,NM KIDNEY WWO MULT PHARM,78709,922
NUCLEAR MEDICINE,NM KIDNEY SPECT,78710,1071
NUCLEAR MEDICINE,NM URETERAL REFLUX STUDY,78740,767
NUCLEAR MEDICINE,NM TESTICUL W VASC FLO,78761,696
NUCLEAR MEDICINE,NM RADIOP LTD TUMOR LOCAL,78800,705
NUCLEAR MEDICINE,NM RADIOP MULT TUMOR LOCA,78801,794
LABORATORY,BASIC METABOLIC PANEL,80048,150
LABORATORY,GENERAL HEALTH PANEL,80050,332
LABORATORY,ELECTROLYTE PANEL,80051,145
LABORATORY,CMP (GSO ONLY),80053,171
LABORATORY,COMP METABOLIC PANEL,80053,191
LABORATORY,OB PANEL(GSO CHARGE ONLY),80055,158
LABORATORY,LIPID PANEL (GSO ONLY),80061,108
LABORATORY,LIPID PANEL,80061,121
LABORATORY,LIPID PANEL (FASTING),80061,121
LABORATORY,LIPID PANEL (RANDOM),80061,121
LABORATORY,RENAL PANEL,80069,103
LABORATORY,HEPATITIS PROFILE ACUTE,80074,333
LABORATORY,HEPATIC FUNCTION PANEL,80076,136
LABORATORY,CARBAMAZEPINE,80156,182
LABORATORY,DIGOXIN,80162,183
LABORATORY,VALPROIC ACID,80164,211
LABORATORY,GENTAMICIN,80170,37
LABORATORY,GABAPENTIN LEVEL,80171,180
LABORATORY,LAMOTRIGINE,80175,136
LABORATORY,LIDOCAINE LEVEL,80176,174
LABORATORY,LEVETIRACETAM,80177,113
LABORATORY,LITHIUM,80178,141
LABORATORY,OXYCARBAZEPINE METABOLITE,80183,90
LABORATORY,PHENOBARBITOL,80184,277
LABORATORY,PHENYTOIN TOTAL,80185,168
LABORATORY,PHENYTOIN FREE,80186,120
LABORATORY,PRIMIDONE,80188,121
LABORATORY,TACROLIMUS ASSAY,80197,223
LABORATORY,THEOPHYLLINE,80198,99
LABORATORY,TOPIRAMATE,80201,114
LABORATORY,VANCOMYCIN PEAK,80202,145
LABORATORY,VANCOMYCIN TROUGH,80202,145
LABORATORY,QUANTITATION OF DRUG NEC,80299,374
LABORATORY,RITALIN,80299,374
LABORATORY,DRUG SCREEN MULT CLASS,80305,288
LABORATORY,DRUG SCREEN SINGLE CLASS,80307,371
LABORATORY,ALCOHOL ANY EXCEPT BREATH,80320,165
LABORATORY,NICOTINE/COTININE BLOOD,80323,142
LABORATORY,AMPHETAMINES 1 OR 2,80324,107
LABORATORY,DIHDROTESTOSTERONE,80327,819
LABORATORY,SALICYLATES,80329,159
LABORATORY,ACETAMINOPHEN ASSAY,80329,224
LABORATORY,IMIPRAMINE,80335,126
LABORATORY,AMITRIPTYLINE,80335,312
LABORATORY,NORTRIPTULINE,80335,312
LABORATORY,BARBITURATES,80345,110
LABORATORY,BENZODIAZEPINES,80346,558
LABORATORY,BUPRENORPHINE,80348,182
LABORATORY,CANNABINOIDS NATURAL,80349,220
LABORATORY,COCAINE,80353,188
LABORATORY,METHADONE,80358,188
LABORATORY,MDMA,80358,188
LABORATORY,OPIATES,80361,114
LABORATORY,OXYCODONE LEVEL,80365,141
LABORATORY,URINE DIP,81000,36
LABORATORY,**URINALYSIS charge only,81000,37
LABORATORY,**URINALYSIS MICROSCOPIC CHARGE,81015,63
LABORATORY,VOLUME MEASURE 24 URINE,81050,14
LABORATORY,BRCA 1 AND  2 GENETIC TEST,81162,4274
LABORATORY,F2 GENE ANALYSIS,81240,272
LABORATORY,FACTOR V- LEIDIN MUTATION,81241,124
LABORATORY,HEMOCHROMATOSIS,81256,2265
LABORATORY,JAK-2,81270,721
LABORATORY,MTHFR GENE ANALYSIS,81291,549
LABORATORY,MLH1 GENE ANALYSIS,81292,671
LABORATORY,MLH1 DUPLICATE/DELETE VAR,81294,613
LABORATORY,MSH2 GENE ANALYSIS,81295,613
LABORATORY,MSH2 DUPLICATE/DELETE VAR,81297,613
LABORATORY,MSH6 GENE ANALYSIS,81298,613
LABORATORY,MSH6 DUPLICATE/DELETE VAR,81300,613
LABORATORY,PMS2 GENE ANALYSIS,81317,810
LABORATORY,PMS1 DUPLICATE/DELETE VAR,81319,613
LABORATORY,MOLECULAR PATH LEVEL II,81401,630
LABORATORY,MOLECULAR PATH LEVEL IV,81403,721
LABORATORY,SERUM KETONES,82009,50
LABORATORY,ACETONE SERUM QUANTITATIV,82010,177
LABORATORY,ACYLCARNITINE QUANT,82017,685
LABORATORY,ACTH LEVEL,82024,271
LABORATORY,ALBUMIN SERUM,82040,46
LABORATORY,ALBUMIN URINE QUANT,82042,20
LABORATORY,MICROALBUMIN URINE WAIVED,82043,74
MED/SURG,INTOXILIZER TEST,82075,62
RESPIRATORY THERAPY,INTOXILIZER TEST,82075,62
LABORATORY,ALDOLASE,82085,68
LABORATORY,ALDOSTERONE,82088,286
LABORATORY,ALPHA 1 ANTITRYPSIN TOTAL,82103,94
LABORATORY,ALPHA FETOPROTEIN SERUM,82105,123
LABORATORY,AMINO ACIDS SINGLE QUANT,82131,80
LABORATORY,AMINO ACIDS 2-5 QUANT EA,82136,382
LABORATORY,AMINO ACIDS 6 <QUANT EACH,82139,586
LABORATORY,AMMONIA,82140,196
LABORATORY,AMPHETAMINE QUANT,82145,346.08
LABORATORY,AMYLASE,82150,132
LABORATORY,ANGIOTENSIN I CONVERTING ENZYME,82164,71
LABORATORY,APOLIPOPROTEIN EACH,82172,109
LABORATORY,ARSENIC,82175,74
LABORATORY,VITAMIN C,82180,121
LABORATORY,BETA 2 MICROGLOBULIN,82232,173
LABORATORY,BILIRUBIN TOTAL,82247,74
LABORATORY,BILIRUBIN NEONATAL,82248,66
LABORATORY,DIRECT BILIRUBN,82248,66
LABORATORY,OCCULT SCREEN,82270,39
LABORATORY,OCCULT BLOOD OTHER SCS,82271,22
LABORATORY,GASTROCULT,82274,63
LABORATORY,CALCIFEDIOL,82306,306
LABORATORY,CALCITONIN,82308,223
LABORATORY,CALCIUM TOTAL,82310,46
LABORATORY,CALCIUM URINE (RANDOM),82310,46
LABORATORY,CALCIUM IONIZED,82330,203
LABORATORY,URINE 24 HR CALCIUM,82340,52
LABORATORY,CALCULUS ANALYSIS QUANT,82360,126
LABORATORY,CALCULUS INFRARED SPECT,82365,149
LABORATORY,TCO2,82374,70
LABORATORY,CARBON MONOXIDE QUANTITAT,82375,168
LABORATORY,CARCINOEMBRYONIC ANTIGEN,82378,150
LABORATORY,CAROTENE,82380,105
LABORATORY,CATECHOLAMINE TOTAL URINE,82382,181
LABORATORY,CATECHOLAMINE THREE ASSAY,82384,177
LABORATORY,CERULOPLASMIN,82390,77
LABORATORY,CHEMILUMINESCENT ASSAY,82397,374
LABORATORY,CHLORIDE BLOOD,82435,66
LABORATORY,CHLORIDE URINE,82436,36
LABORATORY,CHOLESTEROL SERUM TOTAL,82465,66
LABORATORY,CHROMIUM,82495,186
LABORATORY,CITRATE 24 HR URINE,82507,367
LABORATORY,C TELOPEPTIDE SERUM,82523,229
LABORATORY,N TELOPEPTIDE 24H URINE,82523,229
LABORATORY,COPPER,82525,94
LABORATORY,"CORTISOL FREE, URINE",82530,99
LABORATORY,"CORTISOL FREE, SERUM",82530,220
LABORATORY,CORTISOL TOTAL,82533,129
LABORATORY,"CREATINE,URINE",82540,73
LABORATORY,CHROMATOGRAPHY QUANT,82542,78
LABORATORY,CK TOTAL,82550,115
LABORATORY,CPK ISO,82552,134
LABORATORY,CREATINE KINASE MB VITROS,82553,137
LABORATORY,CREATINE KINASE MB ONLY,82553,141.11
LABORATORY,CREATININE BLOOD,82565,59
LABORATORY,CREATININE OTHER (RANDOM),82570,52
LABORATORY,CREATININE CLEARANCE,82575,223
LABORATORY,CRYOGLOBULIN,82595,45
LABORATORY,VITAMIN  B12,82607,143
LABORATORY,CYSTATIN C,82610,196
LABORATORY,DHEA UNCONJUGATED,82626,190
LABORATORY,DHEA SULFATE,82627,156
LABORATORY,DIBUCAINE NUMBER,82638,161
LABORATORY,DIHYDROXYVITAMIN D 1 25,82652,380
LABORATORY,ERYTHROPOIETIN,82668,132
LABORATORY,ESTRADIOL,82670,206
LABORATORY,ESTROGEN FRACTIONATED,82671,154
LABORATORY,ESTROGEN TOTAL,82672,163
LABORATORY,ESTRIOL,82677,133
LABORATORY,ESTRONE,82679,211
LABORATORY,FECAL FAT QUALITATIVE,82705,66
LABORATORY,FECAL FAT QUANTITATIVE,82710,189
LABORATORY,FERRITIN,82728,96
LABORATORY,FOLIC ACID SERUM,82746,145
LABORATORY,FOLIC ACID RBC,82747,121
LABORATORY,GAMMAGLOBULIN EACH,82784,126
LABORATORY,IGE,82785,115
LABORATORY,IGG1 2 3 OR 4 EACH,82787,74
LABORATORY,BLOOD GASES PH ONLY,82800,51
LABORATORY,VENOUS BLOOD GAS,82803,384
LABORATORY,ARTERIAL BLOOD GAS,82803,384
LABORATORY,GASTRIN,82941,124
LABORATORY,GLUCOSE BODY FLUID OTHER,82945,68
LABORATORY,GLUCOSE QUANTITATIVE,82947,84
LABORATORY,GLUCOSE QUAN POST DOSE,82950,80
LABORATORY,GTT 1 HOUR,82951,93
LABORATORY,GTT 2 HOUR,82951,93
LABORATORY,GTT 3 HOUR,82951,93
LABORATORY,GTT 4 HOUR,82951,93
LABORATORY,GTT 5 HOUR,82951,93
LABORATORY,GLUCOSE TOLER ADDL SPEC,82952,41
LABORATORY,ASSAY G6PD ENZYME SCREEN,82960,121
LABORATORY,GLUCOSE WAIVED,82962,51
LABORATORY,GAMMA GLUTAMYLTRANSFERASE GGT,82977,52
LABORATORY,FSH,83001,145
LABORATORY,LUTEINIZING HORMONE LH,83002,129
LABORATORY,HAPTOGLOBIN QUANT,83010,97
LABORATORY,H PYLORI BREATH TEST,83013,200
NUCLEAR MEDICINE,NM H PYLORI ANALYSIS,83013,219
LABORATORY,HEAVY METAL SCREEN,83015,70
LABORATORY,HEAVY METAL QUANT EACH,83018,70
LABORATORY,HEMOGLOBIN ELECTROPHORESI,83020,494
LABORATORY,HGB ELECTROPHOR CHROMAT,83021,329
LABORATORY,HGB GLYCOSYLATED A1C,83036,85
LABORATORY,METHEMOGLOBIN QUANT,83050,78
LABORATORY,HOMOCYSTEINE,83090,259
LABORATORY,HYDROXYIND ACID 5HIAA-URN,83497,91
LABORATORY,17 HYDROXYPROGESTERONE,83498,211
LABORATORY,IMMUNOASSAY MULTI STEP,83516,166
LABORATORY,IMMUNOASSAY QUANT RIA,83519,270
LABORATORY,IMMUNOASSAY NOS,83520,218
LABORATORY,INSULIN TOTAL,83525,100
LABORATORY,INSULIN FREE,83527,259
LABORATORY,IRON TOTAL,83540,65
LABORATORY,IRON BINDING CAPACITY,83550,66
LABORATORY,LACTATE (LACTIC ACID),83605,186
LABORATORY,LDH,83615,56
LABORATORY,"LDH, ISOENZYMES",83625,43
LABORATORY,LEAD,83655,84
LABORATORY,LIPASE,83690,181
LABORATORY,LIPOPROTEIN EPS,83695,77
LABORATORY,LIPOPROTEIN A,83695,125
LABORATORY,LIPOPROTEIN PHOSPHOLIPASE,83698,244
LABORATORY,HDL CHOLESTEROL,83718,57
LABORATORY,MAGNESIUM,83735,80
LABORATORY,MASS SPECTROMETRY QUAL,83789,298
LABORATORY,MERCURY QUANTITIVE,83825,71
LABORATORY,METANEPHRINES-URINE,83835,119
LABORATORY,MUCIN SYNOVIAL FLUID,83872,394
LABORATORY,MYELIN BASIC PROTEIN,83873,136
LABORATORY,"MYOGLOBIN,URINE",83874,123
LABORATORY,"MYOGLOBIN, BLOOD",83874,123
LABORATORY,NATRIURETIC PEPTIDE,83880,383
LABORATORY,ALPHA 2 MACROBLOBULIN,83883,144
LABORATORY,MOLECULAR DIAGNOSTICS,83890,29
LABORATORY,MOLECULAR ISOLATION,83891,37
LABORATORY,MOLECULAR ENZYMATIC DIGES,83892,79
LABORATORY,MOLECULAR SEPARATION,83894,41
LABORATORY,NUCLEIC ACID PROBE EACH,83896,29
LABORATORY,NUCLEIC ACID TRANSFER,83897,64
LABORATORY,MOLECULAR AMP NUCLEIC ACD,83900,59
LABORATORY,MOLECULAR DIAG MUTAT ID,83904,88
LABORATORY,MOLECULAR DIAG AMPLIFICA,83908,133
LABORATORY,MOLECULAR SEPARATION ID,83909,151
LABORATORY,MOLECULAR INTERP REPORT,83912,71
LABORATORY,MUT ID ENZYM LIGATION,83914,59
LABORATORY,NUCLEOTIDASE 5,83915,66
LABORATORY,OLIGOCLONAL IMMUNOGLOBULI,83916,141
LABORATORY,ORGANIC ACID URINE FROZE,83918,114
LABORATORY,ORGANIC ACID SING QUANT,83921,244
LABORATORY,OSMOLALITY BLOOD,83930,78
LABORATORY,OSMOLALITY URINE,83935,80
LABORATORY,OXALATE,83945,78
LABORATORY,ONCOPROTEIN HER-2/NEU,83950,666
LABORATORY,PARATHYROID HORMONE,83970,343
MED/SURG,PARATHYROID HORMONE,83970,351
LABORATORY,PH BODY FLUID EXE BLOOD,83986,57
LABORATORY,PHENCYCLIDINE,83992,188
LABORATORY,"CALPROTECTIN, FECAL",83993,234
LABORATORY,PKU BLOOD,84030,184
LABORATORY,PROSTATIC ACID PHOS,84066,108
LABORATORY,ALKALINE PHOSPHATASE,84075,80
LABORATORY,ALK PHOS ISOENZYME,84080,133
LABORATORY,PHOSPHORUS INORGANIC,84100,74
LABORATORY,PHOSPHORUS URINE,84105,37
LABORATORY,PORPHOBILIN URINE QUANT,84110,100
LABORATORY,POTASSIUM SERUM,84132,93
LABORATORY,POTASSIUM URINE,84133,71
LABORATORY,PREALBUMIN,84134,166
LABORATORY,PREGNENOLONE,84140,179
LABORATORY,17-HYDROXYPREGNENOLONE,84143,206
LABORATORY,PROGESTERONE,84144,110
LABORATORY,PROLACTIN,84146,143
LABORATORY,PSA SCREENING,84152,108
LABORATORY,PSA TOTAL,84153,128
LABORATORY,PSA FREE,84154,128
LABORATORY,PROTEIN TOTAL,84155,42
LABORATORY,PROTEIN TOTAL URINE (24 HOURS),84156,27
LABORATORY,PROTEIN TOTAL URINE (RDM),84156,27
LABORATORY,PROTEIN TOTAL OTH SOURCE,84157,64
LABORATORY,SERUM PROTEIN ELECTROPH,84165,92
LABORATORY,URINE PROTEIN ELECTROPH,84166,131
LABORATORY,PROINSULIN,84206,319
LABORATORY,RECEPTOR ASSAY ENDOCRINE,84235,180
LABORATORY,RECEPTOR ASSAY NONENDOCR,84238,392
LABORATORY,RENIN,84244,153
LABORATORY,SELENIUM,84255,149
LABORATORY,"SEROTONIN, SERUM",84260,592
LABORATORY,SEX HORMONE BINDING GLOBULIN,84270,51
LABORATORY,SODIUM SERUM,84295,84
LABORATORY,SODIUM URINE,84300,72
LABORATORY,SOMATOMEDIN,84305,264
LABORATORY,SPECTROPHOTOMETRY,84311,509
LABORATORY,SUGARS SNG QUAL EA SPEC,84376,41
LABORATORY,TESTOSTERONE FREE,84402,179
LABORATORY,TESTOSTERONE,84403,188
LABORATORY,THIAMINE VITAMIN B1,84425,175
LABORATORY,THYROGLOBULIN,84432,135
LABORATORY,THYROXINE TOTAL,84436,51
LABORATORY,THYROXINE FREE,84439,108
LABORATORY,TSH,84443,129
LABORATORY,THYROID STIM IMMUNOGLOBIN,84445,605
LABORATORY,VITAMIN E,84446,145
LABORATORY,SGOT,84450,55
LABORATORY,SGPT,84460,78
LABORATORY,TRANSFERRIN,84466,92
LABORATORY,TRIGLYCERIDES,84478,44
LABORATORY,THYROID  HORMONE UPTAKE,84479,178
LABORATORY,T3 TOTAL,84480,103
LABORATORY,T3  FREE,84481,282
LABORATORY,TRIIODOTHYRONINE REV T3,84482,108
LABORATORY,TROPONIN,84484,243
LABORATORY,UREA NITROGEN QUANT,84520,64
LABORATORY,UREA NITROGEN URINE,84540,71
LABORATORY,URIC ACID BLOOD,84550,84
LABORATORY,URIC ACID OTHER,84560,63
LABORATORY,VMA URINE,84585,163
LABORATORY,VASOPRESSIN,84588,111
LABORATORY,VITAMIN A LEVEL,84590,140
LABORATORY,ZINC,84630,176
LABORATORY,C PEPTIDE,84681,123
LABORATORY,PREGNANCY TEST QUANTITATIVE,84702,164
LABORATORY,SERUM PREG TEST QUALIT,84703,168
LABORATORY, PREG TEST  URINE QUALIT,84703,168
LABORATORY,**BLOOD SMEAR MANUAL DIFF,85007,153
LABORATORY,HEMATOCRIT,85014,38
LABORATORY,HEMOGLOBIN,85018,37
LABORATORY,**CBC W/AUTO DIFF,85025,140
LABORATORY,MANUAL CELL COUNT,85032,41
LABORATORY,RBC  COUNT ONLY,85041,26
LABORATORY,RETIC COUNT AUTO,85045,46
LABORATORY,WHITE BLOOD COUNT,85048,29
LABORATORY,PLATELET AUTOMATED,85049,56
LABORATORY,BLOOD SMEAR PERIP INT&RPT,85060,187
LABORATORY,FACTOR V,85220,318
LABORATORY,FACTOR VII,85230,184
LABORATORY,FACTOR VIII ONE STAGE,85240,175
LABORATORY,FACTOR VIII RISTOCETIN,85245,247
LABORATORY,FACTOR VIII VW ANTIGEN,85246,422
LABORATORY,FACTOR VIII W VW PANEL,85247,360
LABORATORY,FACTOR IX ANTIGEN,85250,544
LABORATORY,LUPUS ANTICOAGULANT LEVEL,85300,208
LABORATORY,ANTITHROMBIN 3 ASSAY,85301,140
LABORATORY,PROTEIN C ANTIGEN,85302,357
LABORATORY,PROTEIN C ASSAY,85303,188
LABORATORY,PROTEIN S EVAL,85305,357
LABORATORY,PROTEIN S ASSAY,85306,257
LABORATORY,ACT PROT C RESIS ASSA(APC,85307,108
LABORATORY,D DIMER QUANTITATIVE,85379,162
LABORATORY,FIBRINOGEN ACTIVITY,85384,114
LABORATORY,FIBRINOLYSINS COAG SCREEN,85390,143
LABORATORY,ALPHA-2 ANTIPLASMIN,85410,422
LABORATORY,PLASMINOGEN,85420,327
LABORATORY,LEUKOCYTE ALK PHOS W COUN,85540,110
LABORATORY,PLATELET AGG(IN VITRO)AGE,85576,150
LABORATORY,PLATELET NEUTRALIZATION,85597,123
LABORATORY,PROTHROMBIN TIME(SEND-OUT TO QUEST),85610,72
LABORATORY,PROTHROMBIN TIME DAILY(SEND-OUT TO QUEST,85610,72
LABORATORY,RUSSEL VIPER VENOM TM DIL,85613,91
LABORATORY,SEDIMENTATION RATE,85651,59
LABORATORY,SICKLING OF RBC REDUCTION,85660,66
LABORATORY,THROMBIN TIME PLASMA,85670,133
LABORATORY,THROMBOLPLASTN TIME PARTL,85730,118
LABORATORY,VISCOSITY,85810,140
LABORATORY,AGGLUTININS FEBRILE EACH,86000,151
LABORATORY,ALLERGN SPEC IGG QUANT EA,86001,110
LABORATORY,ALLERGN SPEC IGE QUANT EA,86003,94
LABORATORY,ANCA SCREEN,86021,84
LABORATORY,PLATELET ANTIBODIES,86022,340
LABORATORY,ANTINUCLEAR ANTIBODIES,86038,91
LABORATORY,ANTINUCLR ANTIBODY TITER,86039,81
LABORATORY,ANTISTREPTOLYSIN O TITER,86060,80
LABORATORY,ANTISTREPTOLYSIN O SCREEN,86063,100
LABORATORY,CRP REGULAR,86140,74
LABORATORY,CRP HIGH SENSITIVITY,86141,111
LABORATORY,BETA 2 GLYCOPROTEI I ANTI,86146,141
LABORATORY,CARDIOLIPIN AB,86147,195
LABORATORY,CARDIOLIPIN AB (IGG),86147,195
LABORATORY,CARDIOLIPIN AB (IGM),86147,195
LABORATORY,ANTIPHOSPHATIDYLSERINE,86148,141
LABORATORY,COLD AGGLUTININS SCREEN,86156,64
LABORATORY,COLD AGGLUTININ TITER,86157,43
LABORATORY,"BB ANTIGEN/C3,C4 COMPLEM",86160,99
LABORATORY,COMPLEMENT TOTAL HEMOLYTI,86162,143
