Description/FIM Description,Primary Price
"CT HUMERUS, RIGHT","$1,390.00 "
"CT KNEE, LEFT","$1,641.00 "
"CT KNEE, RIGHT","$1,641.00 "
CT LOWER EXT W CONTRAST- LEFT,"$2,127.00 "
CT LOWER EXT W CONTRAST- RIGHT,"$2,127.00 "
"CT LOWER LEG W/CONTRAST, LEFT","$2,127.00 "
"CT LOWER LEG W/CONTRAST, RIGHT","$2,127.00 "
"CT LOWER LEG W/O CONTRAST, LFT","$1,641.00 "
"CT LOWER LEG W/O CONTRAST, RT.","$1,641.00 "
CT LUMBAR SPINE W/O CONTRAST,"$1,684.00 "
CT LUMBAR SPINE WITH CONTRAST,"$2,167.00 "
"CT LUMBAR SPINE,POST MYELOGRAM","$1,684.00 "
CT MAXILLOFACIAL+MANDIBLE W/O,"$1,641.00 "
CT MAXILLOFACIAL+MANDIBLE WITH,"$1,842.00 "
CT NEEDLE BIOPSY,"$2,917.00 "
CT NEEDLE BX BARD 18G,$139.00 
"CT ORBIT,SELLA,P.FOSSA,EAR W/C","$1,762.00 "
"CT ORBIT,SELLA,P.FOSSA,EAR W/O","$1,641.00 "
CT PELVIS W/ CONTRAST,"$2,759.00 "
CT PELVIS W/O & W/CONTRAST,"$3,291.00 "
CT PELVIS WITH CONTRAST,"$2,759.00 "
CT PELVIS WITHOUT CONTRAST,"$2,240.00 "
CT SCAN FOLLOW UP STUDY,"$1,301.00 "
CT SCAN FOLLOW-UP,"$1,301.00 "
"CT SHOULDER, LEFT","$1,390.00 "
"CT SHOULDER, RIGHT","$1,390.00 "
CT SINUSES W/O & WITH CONTRAST,"$1,926.00 "
CT SINUSES WITHOUT CONTRAST,"$1,641.00 "
"CT SINUSES, WITH CONTRAST","$1,842.00 "
CT SOFT TISS NECK W/O & W/CONT,"$2,026.00 "
CT SOFT TISSUE NECK W/CONTRAST,"$1,846.00 "
"CT SOFT TISSUE NECK, W/O CONTR","$1,633.00 "
"CT THIGH WITH CONTRAST, LEFT","$2,127.00 "
"CT THIGH WITH CONTRAST, RIGHT","$2,127.00 "
"CT THIGH WITHOUT CONTAST,RIGHT","$1,641.00 "
"CT THIGH WITHOUT CONTRAST,LEFT","$1,641.00 "
CT THORACIC SPINE W/O & W/CONT,"$2,038.00 "
CT THORACIC SPINE W/O CONTRAST,"$1,641.00 "
CT THORACIC SPINE WITH CONTRAS,"$1,851.00 "
"CT THORACIC SPINE, POST MYELGM","$1,641.00 "
CT THORAX WITHOUT CONTRAST,"$2,240.00 "
"CT THORAX, WITH CONTRAST","$2,759.00 "
"CT THORAX, WITHOUT & W/CONTRAS","$3,291.00 "
"CT TIB-FIB WO/CONTRAST, LEFT","$1,641.00 "
"CT TIBIA-FIBULA, RIGHT","$1,641.00 "
CT UPPER EXT W CONTRAST - LEFT,"$1,589.00 "
CT UPPER EXT W CONTRAST- RIGHT,"$1,589.00 "
"CT WRIST, LEFT","$1,390.00 "
"CT WRIST, RIGHT","$1,390.00 "
CTA ABDOMEN WITH CONTRAST,"$3,046.00 "
"CTA ABDOMEN,WO & WITH CONTRAST","$3,046.00 "
CTA AORT-LLIO RO WO&W CONTRAST,"$1,680.00 "
CTA AORTO-ILEOFEM R/OFF W/CONT,"$1,680.00 "
CTA CHEST WITH CONTRAST,"$2,888.00 "
CTA CHEST WO AND WITH CONTRAST,"$2,888.00 "
CTA COMB.ABD/PELVIS W&W/O CONT,"$3,922.00 "
CTA HEAD WITH CONTRAST,"$2,529.00 "
"CTA HEAD, WO AND WITH CONTRAST","$2,529.00 "
CTA HEART W/CONTRAST,"$4,410.00 "
"CTA LE, LEFT W/CONTRAST","$5,040.00 "
"CTA LE, RIGHT W/CONTRAST","$5,040.00 "
"CTA LOW EXTREM, LEFT, WO & W C","$5,040.00 "
"CTA LOW EXTREM, RIGHT WO & W C","$5,040.00 "
CTA LOWER EXTREMITY BILATERAL,"$5,040.00 "
CTA NECK WITH CONTRAST,"$2,529.00 "
"CTA NECK, WO AND WITH CONTRAST","$2,529.00 "
CTA PELVIS WO & WITH CONTRAST,"$3,360.00 "
"CTA UE, LEFT W/CONTRAST","$3,745.00 "
"CTA UE, RIGHT W/CONTRAST","$3,745.00 "
CTG FOR TISSUE ABLATION,"$2,759.00 "
"CULT FECES,SALMONELLA/SHIGELLA",$134.00 
CULTURE AEROBIC IDENTIFY,$78.00 
"CULTURE STOOL, ADDED PATHOGENS",$32.00 
"CULTURE, ANAEROBE",$89.00 
"CULTURE, BACTERIAL, BLOOD",$230.00 
"CULTURE, CHLAMYDIA",$148.00 
"CULTURE, FUNGUS",$117.00 
"CULTURE, MYCOPLASMA",$120.00 
"CULTURE, SCREENING ONLY",$75.00 
"CULTURE, URINE",$158.00 
"CULTURE,MYCOBACTERIAL,EA AGENT",$149.00 
"CULTURE,ROUTN,NOT BLD,URN,STOO",$119.00 
"CULTURE,TYPE,IMMUNOFLUOR,EA AS",$51.00 
CUSTOM ABUTMENT-INCL PLACEMENT,$781.00 
CUSTOM STER CARDINAL REM TRAY,$65.97 
CUTTER REMOVE DC SET GRASP 12,"$1,197.00 "
CVVH PER DAY,"$2,169.00 "
CYANIDE ASSAY,$148.00 
CYANOCOBALAMI 1000MCG/1ML INJ,$2.93 
CYANOCOBALAMIN 100 MCG TAB,$0.06 
CYANOCOBALAMIN 1000 MCG TAB,$0.63 
CYANOCOBALAMIN 1000MCG TABLET,$0.63 
CYANOCOBALAMIN 100MCG TABLET,$0.06 
CYANOCOBALMIN INJ UPTO 1000MCG,$2.93 
CYCLOBENZAPRINE 10 MG TAB,$16.60 
CYCLOBENZAPRINE 5 MG TAB,$3.75 
CYCLOBENZAPRINE 5MG TAB,$3.75 
CYCLOBENZAPRINE TAB 10MG,$16.60 
CYCLOPENTALATE OPTH-SOL 1% 2ML,$15.24 
CYCLOPENTOLATE 0.5% OPTH SOLN,$126.60 
CYCLOPENTOLATE 1% OPHTH SOL,$15.24 
CYCLOPENTOLATE-PHENYLEPHRINE,$26.30 
CYCLOPHOSPHAMIDE 100MGINJ(20X),$138.04 
"CYCLOPHOSPHAMIDE LYOPH, 100 MG",$138.04 
CYCLOPHOSPHAMIDE ORAL 25 MG,$16.00 
CYCLOSPORIN MOD. 100MG/ML LIQ,$29.52 
CYCLOSPORIN MODIFIED 25MG CAP,$6.77 
CYCLOSPORINE 100MG CAP,$44.32 
CYCLOSPORINE 100MG CAP(NEORAL),$27.06 
CYCLOSPORINE 100MG/ML(NEORAL),$29.52 
CYCLOSPORINE 250 MG/5 ML INJ,$348.73 
CYCLOSPORINE 25MG (NEORAL),$6.77 
CYCLOSPORINE 25MG CAP,$11.66 
CYCLOSPORINE 25MG(SANDIMMUNE),$11.66 
CYCLOSPORINE ASSAY,$249.00 
CYCLOSPORINE INJ,$348.73 
CYCLOSPORINEMODIFIED 100MG CAP,$27.06 
CYPROHEPTADINE 2 MG/5 ML SYRUP,$1.39 
CYPROHEPTADINE 2MG/5ML SYRUP,$1.39 
CYPROHEPTADINE 4 MG TAB,$4.15 
CYPROHEPTADINE TABLET 4MG,$4.15 
CYSTATIN C LEVEL,$269.00 
CYSTO TUBE CHG-SIMPLE W CONT,$321.00 
CYSTOGRAFIN 18% 300ML PER 1ML,$0.14 
"CYSTOGRAM, MINIMUM THREE VIEWS",$696.00 
CYSTROGRAPHY,$696.00 
CYSTROGRAPHY/VOIDING STUDY INJ,$346.00 
"CYTAL P/SQ CM, 150SQ CM SHEET",$37.80 
CYTARABINE 100 MG INJ (1X),$10.24 
CYTARABINE 100MG INJ (10X),$10.24 
CYTARABINE 100MG INJ (20X),$10.24 
"CYTARABINE HCL INJ, 100 MG",$10.24 
CYTOCHROME P450 2C19 GENOTY,"$1,125.00 "
CYTOCHROME P450 2C9 GENOTYP,"$1,125.00 "
"CYTOGENETICS, ANALYZE 100-300",$628.00 
"CYTOGENETICS, ANALYZE 10-30",$205.00 
"CYTOGENETICS, DNA PROBE, EACH",$433.00 
"CYTOGENETICS,ANALYZE 25-99 CEL",$247.00 
"CYTOGENETICS,CHROM INSITU 3-5",$171.00 
"CYTOLOGY BRUSH,10MM,TRI NEEDLE",$380.10 
"CYTOPATH FLUIDS,WASHS,BRUSHNG",$178.00 
"CYTOPATH, CONCENTR TECH, SMEAR",$343.00 
"CYTOPATH, FNA INTRPRET/REPORT",$756.00 
"CYTOPATH,CELL ENHANCMNT TECHNQ",$229.00 
"CYTOPATH,CERVCL,VAGNL,SCREEN",$226.00 
"CYTOPATH,EVAL,FNA,SPEC ADEQACY",$350.00 
D & C AFTER DELIVERY,"$2,956.00 "
D10W 1000ML,$7.77 
D10W-0.2%NACL 250ML,$6.30 
D10W-0.45%NS 1000ML,$5.96 
D10W-0.9% NACL 1000ML,$6.04 
D12.5W 500ML,$6.04 
D20W 500ML,$6.04 
D5W 100ML,$2.60 
D5W 500ML (2X),$5.22 
D5W-0.45%NACL 500 ML,$4.85 
D5W-0.9%NACL 500 ML (2X),$5.29 
D5W-LACTATED RINGERS 1000ML,$5.62 
DA VINCI ROBOTICS,"$8,127.00 "
DABIGATRAN 150 MG CAPSULE,$10.47 
DABIGATRAN 150MG CAP,$10.47 
DABIGATRAN 75 MG CAPSULE,$10.47 
DAC 038 DISTAL ACCESSCATH125CM,"$4,825.80 "
DAC 038 DISTAL ACCESSCATH136CM,"$4,825.80 "
DACARBAZINE 100 MG INJ (2X),$35.87 
"DACARBAZINE INJ, 100 MG",$35.87 
DACTINOMYCIN 0.5 MG INJ (1X),$94.43 
DACTINOMYCIN INJ 0.5 MG,$94.43 
DANAZOL 200 MG CAP,$29.06 
DANAZOL 50 MG CAP,$7.35 
DANAZOL 50MG CAPSULE,$7.35 
DANAZOL CAP 200MG,$29.06 
DANTROLENE CAP 25MG UD,$5.53 
DANTROLENE VL 20MG,$574.28 
DAPSONE TAB 100 MG,$4.15 
DAPTOMYCIN INJ 1MG (500X),$2.12 
"DAPTOMYCIN INJECTION, 1 MG",$2.12 
DARATUMUMAB 10 MG INJ,$170.10 
DARATUMUMAB 10 MG INJ  (10X),$170.10 
DARATUMUMAB 10 MG INJ  (40X),$170.10 
DARBEPO INJ 1MCG(200X)NESRD,$27.87 
DARBEPO INJ 1MCG(300X)NESRD,$18.89 
DARBEPO INJ 1MCG(500X)NESRD,$27.87 
DARBEPO INJ 1MCG(X100)NESRD,$18.89 
DARBEPOETIN 1MCG(X100) INJ,$27.87 
DARBEPOETIN 1MCG(X200)SYR,$27.87 
DARBEPOETIN 1MCG(X300) SYR,$27.87 
DARBEPOETIN 1MCG(X500) SYR,$27.87 
DARBEPOETIN 1MCG(X60) INJ,$27.87 
"DARBEPOETIN ALPHA INJ, 1 MCG",$18.89 
DARUNAVIR 800MG TAB,$127.39 
DARUNAVIR 800MG TABLET,$127.39 
DARUNAVIR TABLET 600 MG,$27.57 
DAUNO LIP/ARA-C 1/2.27MG(44X),$528.42 
DAUNORUBICIN INJ 10 MG,$334.19 
DDAVP NASAL SPRAY 5ML,"$1,482.03 "
"D-DIMER, QUANTITATIVE",$100.00 
DEBRIDE NAILS > 5,$157.00 
DEBRIDE SKIN-SQ 1ST 20 SQ CM,"$1,130.00 "
DEBRIDE SKIN-SQ EA ADDL 20SQCM,$340.00 
DEBRIDE SKIN-SQ T/M/B ADD 20CM,$962.00 
DEBRIDE SKIN-SQ TIS/MUS 20SQCM,"$1,786.00 "
DEBRIDE SKIN-SQ TIS/MUS ADDL,$590.00 
DEBRIDE SKIN-SQ TIS/MUS/BONE,"$3,185.00 "
DEBRIDE/DRESS PARTIAL BURN,$468.00 
"DEBRIDEMENT, SQ TISSUE, <20CM","$1,130.00 "
DECALCIFY TISSUE,$152.00 
DECITABINE 1MG IVPB (50X),$120.59 
DECITABINE INJ 1 MG,$120.59 
DECLOT VASCULAR ACCESS DEVICE,$702.00 
DECLOT W/ THROMBOLYTIC AGENT,$702.00 
DECOMPRESSION VOLVULUS,$389.00 
DECYCLOMINE CAP 10MG,$1.39 
DEFERASIOROX TABLET 250MG,$107.95 
DEFERASIOROX TABLET 500MG,$214.48 
DEFERASIROX 180MG TAB,$256.17 
DEFERASIROX 360MG TAB,$512.31 
DEFEROXAMINE INJECTION 500 MG,$119.14 
DEGARELIX 1MG INJ (80X),$17.65 
DEGARELIX ACET 1MG(X240)INJ,$22.89 
"DEGARELIX INJ, 1 MG",$17.65 
DEHYDRATED ALCOHOL VIAL 5ML,$231.27 
DELIVERY OF PLACENTA,"$3,335.00 "
DEMECLOCYCLINE 150 MG TAB,$26.30 
"DEMECLOCYCLINE TABLET, 150 MG",$26.30 
"DEMO/EVAL NEB, SPACER 1 X/DAY",$351.00 
DENOSUMAB 1MG INJ (60X),$52.23 
"DENOSUMAB INJECT, 1 MG-PROLIA",$52.23 
DENOSUMAB INJECTION 1MG(120X),$53.36 
"DENOSUMAB,INJECT, 1 MG-XGEVA",$52.56 
"DENTURE, ADD CLASP TO PARTIAL",$203.00 
"DENTURE, ADD TOOTH TO PARTIAL",$168.00 
"DENTURE, COMPLETE, MANDIBULAR","$1,216.00 "
"DENTURE, COMPLETE, MAXILLARY","$1,216.00 "
"DENTURE, IMMEDIATE, MAND, FULL","$1,389.00 "
"DENTURE, IMMEDIATE, MAX, FULL","$1,389.00 "
"DENTURE, INTERIM, PARTIAL, MAX",$226.00 
"DENTURE, INTERIM, PARTIAL,MAND",$226.00 
"DENTURE, PARTIAL, MAND, METAL","$1,389.00 "
"DENTURE, PARTIAL, MAX, METAL","$1,389.00 "
"DENTURE, PARTIAL, MAX, TRANS",$868.00 
"DENTURE, PRECISION ATTACHEMENT",$405.00 
"DENTURE, RELINE MAND,CHAIRSIDE",$290.00 
"DENTURE, RELINE MAND,LABORATOR",$405.00 
"DENTURE, RELINE MAX, CHAIRSIDE",$290.00 
"DENTURE, RELINE MAX,LABORATORY",$405.00 
DEODORIZE TR OF OPIUM 1ML,$7.56 
"DEOXYCORTISOL,11-",$336.00 
"DEOXYRIBONNUCLEASE, ANTIBODY",$104.00 
DES EA ADD VES,"$13,125.00 "
DES INITIAL VES,"$26,250.00 "
DES/ATHER EA ADD VES,"$13,125.00 "
DES/ATHER INIT VES,"$26,250.00 "
DESCOVY 200-25MG TAB,$188.13 
DESIPRAMINE 50MG TAB,$5.20 
DESIPRAMINE ASSAY,$264.00 
DESITIN OINTMENT (A&D + ZINC),$24.91 
DESITIN TOP-OINT 28G,$24.91 
DESMOPRESSIN 0.01% NASAL SPR,"$1,482.03 "
DESMOPRESSIN 0.1 MG TAB,$4.38 
DESMOPRESSIN ACET. 0.1MG TAB,$4.38 
"DESMOPRESSIN ACETATE INJ,1 MCG",$39.23 
DESMOPRESSIN INJ 1MCG (40X),$39.23 
"DESOXYCORTICOSTERONE,11-",$431.00 
DESVENLAFAXINE 50 MG ER TAB,$25.14 
DESVENLAFAXINE 50MG ERT TABLET,$25.14 
"DETACH SYS,STRYKER,4510095",$903.00 
DETACHBLE LOOP LIGATING DEVICE,$358.05 
DETECT AGENT NOS DNA AMP,$537.00 
"DETECT INFECT AGENT,AMPL PROBE",$477.00 
DEVICE EVALUATION PERI-PROCDRE,$821.00 
DEX/NEO/POLY OPTH OINTMENT,$5.53 
DEX/NEO/POLY OPTH SUSPENSION,$5.53 
DEXA,$840.00 
DEXAMETH ELIX 0.25MG/2.5ML(2X),$2.14 
DEXAMETHASONE 0.1% OPHTH 5ML,$271.00 
DEXAMETHASONE 0.1% OPHTH SOL,$48.62 
DEXAMETHASONE 0.1% OPTH SUSP,$256.10 
DEXAMETHASONE 0.25MG TAB (24X),$0.29 
DEXAMETHASONE 0.25MG/2.5ML LIQ,$2.14 
DEXAMETHASONE 1 MG/ML SYRINGE,$0.29 
DEXAMETHASONE INJ 1MG (10X),$1.00 
DEXAMETHASONE INJ 1MG (10X-10),$1.00 
DEXAMETHASONE INJ 1MG (4X),$1.00 
DEXAMETHASONE LIQ 0.5MG/5ML,$1.39 
DEXAMETHASONE OPTH-SOL 0.1%5ML,$48.62 
DEXAMETHASONE TAB 0.25MG(16X),$0.29 
DEXAMETHASONE TAB 0.25MG(2X),$0.29 
DEXAMETHASONE TAB 0.25MG(8X),$0.29 
"DEXAMETHASONE, INJECTION, 1 MG",$1.00 
"DEXAMETHASONE, ORAL, 0.25 MG",$0.29 
DEXAMETHASONE-TOBRA OPHTH SOLN,$116.25 
DEXMEDETOMIDINE 200MCG/2ML INJ,$242.17 
DEXMEDETOMIDINE 400MCG NS PRMX,$302.40 
DEXMEDETOMIDINE 400MCG/100ML,$302.40 
DEXMEDOTOMIDINE INJ 100 MCG,$242.17 
DEXRAZOXANE 500MG VIAL,$987.33 
DEXRAZOXANE INJ 250 MG,$879.05 
DEXTRAN 40 10% DEX 5% VL 500ML,$232.47 
DEXTROMETHORPHAN 30MG/5ML,$2.77 
DEXTROMETHORPH-GUAIFEN SOL 5ML,$2.77 
DEXTROSE 40% GEL 37.5GM,$12.44 
"DEXTROSE 5%-0.2% NACL, 1000 ML",$6.39 
DEXTROSE 50% INJ 50ML SYRINGE,$16.60 
DEXTROSE SYRE 50% 50ML,$22.14 
DEXTROSE VL 50% 50ML,$16.60 
DHE INJ 1 MG,$167.42 
DHEA,$443.00 
DHEA-S,$434.00 
DHT ASSAY,$392.00 
"DIAB.O/P ED-GROUP TRAIN,30 MIN",$116.00 
DIAB.O/P ED-INDIV.TRAIN 30 MIN,$263.00 
DIABETES O/P TRAIN INDIV/30MIN,$263.00 
DIABETES TRAIN GROUP/30 MIN,$116.00 
DIAGNOSTIC CASTS,$59.00 
DIAGNOSTIC PSA TEST,$209.00 
DIATRIZOATE 66%-10% SOL,$29.01 
"DIAZEMPAM RECTAL GEL, 5 MG",$530.00 
DIAZEPAM 2 MG TAB,$0.20 
DIAZEPAM 5 MG TAB,$0.20 
DIAZEPAM 5MG(X2) INJ,$24.75 
DIAZEPAM 5MG/5ML,$1.39 
DIAZEPAM INJ 5MG (2X),$45.00 
"DIAZEPAM RECTAL GEL, 10 MG",$530.00 
DIAZEPAM TAB 2MG UD,$0.20 
DIAZEPAM TAB 5MG UD,$0.20 
DIAZEPAM VL 10MG/2ML,$6.92 
DIBUCANINE NUMBER ASSAY,$94.00 
DICLOFENAC 50MG DR TABLET,$0.85 
DICLOFENAC EPOL. 1.3% PTCH,$28.48 
DICLOFENAC OPTH SOLN 0.1%,$123.15 
DICLOFENAC SODIUM 50MG EC TAB,$0.85 
DICLOFENAC TAB 25MG,$8.32 
DICLOFENAC TAB 75MG,$16.60 
DICLOFENAC-MISOPROSTOL 75-200,$6.92 
DICYCLOMINE 10 MG CAP,$1.39 
DICYCLOMINE 10 MG/1 ML INJECT,$113.35 
DICYCLOMINE 20 MG TAB,$1.39 
"DICYCLOMINE INJECTION, 20 MG",$113.35 
DICYCLOMINE TAB 20MG,$1.39 
DIET AND EXERCISE CONSULT,$290.00 
"DIFFERENTIAL WBC COUNT, MANUAL",$51.00 
"DIFFUSING CAPACITY, DSB",$723.00 
DIGOXIN 0.125 MG TAB,$1.39 
DIGOXIN 0.25 MG TAB,$1.39 
DIGOXIN 0.25 MG/5 ML ELIXIR,$8.32 
DIGOXIN 2.5MCG/1ML IN INS SYR,$20.34 
DIGOXIN AMP 0.1MG/ML,$42.14 
DIGOXIN ASSAY,$107.00 
DIGOXIN IMMUNE FAB(OVINE)/VIAL,"$2,980.05 "
DIGOXIN INJECTION UP TO 0.5 MG,$20.34 
DIGOXIN LIQ 0.05 MG,$8.32 
DIGOXIN TAB .25MG UD,$1.39 
DIGOXIN TAB 0.125MG UD,$1.39 
DIHYDROXYVITAMIN D ASSAY,$405.00 
DILAT INTRACRAN VASO- INIT VES,"$1,542.00 "
DILATATION BALLOON,$389.00 
DILATE BILIARY DUCT/AMPULLA,"$4,197.00 "
DILATE NEPHROSTOMY TRACT,"$1,858.00 "
DILAT-RENAL PELVIS/URETER-PERC,"$3,997.00 "
DILTIAZEM 25 MG INJ,$250.47 
DILTIAZEM 25MG/5ML BOLUS INJ,$366.01 
DILTIAZEM 30 MG TAB,$4.15 
DILTIAZEM 30MG UD,$4.15 
DILTIAZEM 50 MG INJ,$444.20 
DILTIAZEM 60 MG TAB,$6.92 
DILTIAZEM 60MG UD,$6.92 
DILTIAZEM 90 MG TAB,$12.45 
DILTIAZEM CD 120 MG CAP,$17.99 
DILTIAZEM CD 180 MG CAP,$22.14 
DILTIAZEM CD 240 MG CAP,$30.45 
DILTIAZEM CD 300 MG CAP,$35.98 
DILTIAZEM CD CAP 120 MG,$17.99 
DILTIAZEM CD CAP 180 MG,$22.14 
DILTIAZEM CD CAP 240 MG,$30.45 
DILTIAZEM CD CAP 300 MG,$35.98 
DILTIAZEM IN D5W 125MG/125ML,$481.55 
DILTIAZEM INF 125 MG/125 ML,$481.55 
DILTIAZEM SR 60MG CAP,$11.07 
DILTIAZEM SR 90MG CAP,$12.45 
DILTIAZEM SR CAP 120MG,$17.99 
DILTIAZEM SR CAP 60MG,$11.07 
DILTIAZEM SR CAP 90MG,$12.45 
DILTIAZEM TAB 90MG,$12.45 
DINOPROSTONE 10MG VAG INSERT,"$1,357.49 "
DINOPROSTONE 10MG VAGINAL INSE,"$1,357.49 "
DINUTUXIMAB 17.5MG/5ML INJ,"$23,625.00 "
DIPHENHYDRAMIN12.5MG/5MLLIQ UD,$2.77 
DIPHENHYDRAMINE 25 MG CAP,$0.21 
DIPHENHYDRAMINE 25 MG TAB,$0.21 
DIPHENHYDRAMINE 50MG CAP,$0.21 
DIPHENHYDRAMINE 50MG/ML INJ,$4.36 
DIPHENHYDRAMINE CAP 25MG UD,$0.21 
DIPHENHYDRAMINE CAP 50MG UD,$0.21 
DIPHENHYDRAMINE INJ TO 50 MG,$4.36 
DIPHENHYDRAMINE LIQ 12.5MG/5M,$2.77 
DIPHENOXYLATE/ATROPINE LIQ 5ML,$6.92 
DIPHENOXYLATE/ATROPINE TAB UD,$0.20 
DIPHENOXYLATE-ATROP 2.5MG TAB,$0.20 
DIPHENOXYLATE-ATROP 2.5MG/5ML,$6.92 
DIPYRIDAMOLE TAB 50MG,$0.20 
DIPYRIDAMOLE TAB 75 MG,$1.39 
DIPYRIDAMOLE TABLET 25MG UD,$0.21 
DISCOGRAM- CERV OR THOR- EA,$340.00 
"DISCOGRAPHY, LUMBAR","$7,423.00 "
"DISKOGRAM, LUMBAR","$7,423.00 "
"DISKOGRAM,CERVICAL OR THORACIC","$7,423.00 "
DISOPYRAMIDE 100MG CAP,$1.76 
DISOPYRAMIDE CR CAP 150MG,$6.92 
DISPOSABLE ELECTRODES,$58.80 
DISPOSABLE ELECTROSURG SNARE,$91.35 
DISTAL ATTCHMNT SOFT ST 12.4MM,$63.54 
DIVALPROEX 125MG SPRINKLE CAP,$2.14 
DIVALPROEX 250 MG ER TAB,$4.82 
DIVALPROEX 500 MG ER TAB,$9.70 
DIVALPROEX 500MG ERT,$9.70 
DIVALPROEX EC 125MG TAB,$8.32 
DIVALPROEX EC 250MG TAB,$6.92 
DIVALPROEX SOD. 125MG DR CAP,$2.14 
DIVALPROEX SOD. 250MG ER TAB,$4.82 
DIVALPROEX TAB 125MG,$8.32 
DIVALPROEX TAB 250MG,$6.92 
DNA AB NATIVE OR DOUBLE STRAND,$164.00 
DNA AB SINGLE STRANDED,$93.00 
"DNA CYTOMEGALOVIRUS, DIR PROBE",$537.00 
"DNA, CYTOMEGALOVIRUS, QUANTIFI",$832.00 
"DNA, HERPES SIMPLEX, AMP PROBE",$268.00 
"DNA, HERPES VIRUS-6, AMP PROBE",$268.00 
"DNA, HERPES VIRUS-6, QUANTIFIC",$335.00 
"DNA, HIV-1, QUANTIFICATION",$449.00 
"DNA, M.PNEUMONIAE, AMPL PROBE",$268.00 
"DNA, M.TUBERCULOSIS, DIR PROBE",$268.00 
"DNA, NOS, AMPLIFIED PROBE",$537.00 
"DNA, NOS, QUANTIFICATION",$346.00 
DOBUTAMINE 250MG(X1)/250ML D5W,$69.30 
DOBUTAMINE 250MG(X2)/250ML D5W,$62.82 
DOBUTAMINE 250MG(X4)/250ML D5W,$22.56 
DOBUTAMINE INJ 250MG,$55.22 
"DOBUTAMINE INJECTION, 250 MG",$55.22 
DOBUTAMINE PREMIX 250MG (2X),$55.22 
DOBUTAMINE PREMIX 250MG (4X),$55.22 
DOCETAXEL 1MG INJ (80X) HS,$73.97 
DOCETAXEL 1MG(80X) INJ,$73.97 
DOCETAXEL INJECTION 1 MG,$73.97 
DOCOSANOL 10% CREAM,$56.61 
DOCOSANOL 10% TOPICAL CREAM,$56.61 
DOCUSATE 100 MG CAP,$0.20 
DOCUSATE 100 MG/10 ML ORAL LIQ,$0.98 
DOCUSATE SODIUM LIQ 100MG/10ML,$0.98 
DOCUSATESODIUM CAP 100MG UD,$0.20 
DOFETILIDE 500 MCG CAP,$5.53 
"DOFETOLIDE, 125 MCG CAPSULE",$5.53 
"DOFETOLIDE, 250 MCG CAPSULE",$5.53 
"DOFETOLIDE, 500 MCG CAPSULE",$5.53 
DOLUTEGRAVIR 50 MG TABLET,$131.25 
DOLUTEGRAVIR 50MG TABLET,$131.25 
DONEPEZIL 5 MG TAB,$30.45 
DONEPEZIL TAB 5 MG,$30.45 
DOPAMINE 40MG INJ (10X),$5.81 
"DOPAMINE HCL INJECTION, 40 MG",$5.81 
DOPAMINE PREMIX INF 40MG (10X),$5.81 
"DOPPLER COLOR FLOW, ADD-ON",$876.00 
"DOPPLER FETAL ECHO, COMPLETE",$385.00 
"DOPPLER WAVE ADD-ON,LIMITD-F/U",$611.00 
"DOPPLER WAVE, ADD-ON, COMPLETE","$1,242.00 "
"DOPPLER,UMBILICAL ARTERY (UMB)",$383.00 
DOPPLER-MIDDLE CEREBRAL ARTERY,$383.00 
DORNASE ALPHA INH 2.5MG/2.5ML,$394.02 
DORNASE INJ 1MG (2X),$394.02 
DORZOLAMIDE 2% OPTH SOL,$25.29 
DORZOLAMIDE 2% OPTH SOLN 10ML,$25.29 
DORZOLAMIDE/TIMOLOL OPTH 10ML,$53.61 
DORZOLAMIDE-TIMOLOL OPTH SOL,$53.61 
"DOSIMETRY CALCULATION, BASIC",$840.00 
"DOSIMETRY, SPECIAL",$825.00 
DOUBLE ELECTRIC PUMP KIT,$88.20 
DOUBLE PUMPING KIT,$323.40 
DOXAZOSIN 1 MG TAB,$12.45 
DOXAZOSIN 4 MG TAB,$15.24 
DOXAZOSIN TAB 1 MG,$12.45 
DOXAZOSIN TAB 4 MG,$15.24 
DOXEPIN 10 MG CAP,$1.39 
DOXEPIN 25 MG CAP,$1.39 
DOXEPIN CAP 25MG UD,$1.39 
DOXEPIN CAPSULE 10MG UD,$1.39 
DOXERCALCIFEROL 0.5MCG CAPSULE,$36.00 
DOXERCALCIFEROL 1MCG CAPSULE,$66.72 
"DOXERCALCIFEROL CAP, 2.5 MCG",$11.07 
"DOXERCALCIFEROL INJECTION,1MCG",$26.16 
"DOXORUBICIN HCL, 10 MG",$21.80 
DOXORUBICIN INJ 10MG (1X),$21.80 
DOXORUBICIN INJ 10MG (5X),$21.80 
DOXORUBICIN LIPO INJ 10MG(2X),"$1,871.72 "
DOXORUBICIN LIPO INJ 10MG(5X),"$1,871.72 "
DOXORUBICIN LIPOSOMAL INJ 10MG,"$1,871.72 "
DOXYCYCLINE 100MG IVPB,$85.81 
DOXYCYCLINE 100MG/100ML IVPB,$85.81 
DOXYCYCLINE 50 MG CAP,$1.39 
DOXYCYCLINE CAPSULE 100 MG UD,$1.39 
DOXYCYCLINE CAPSULE 50MG UD,$1.39 
DOXYCYCLINE HYCLATE 100 MG TAB,$1.39 
DOXYCYCLINE VL 200 MG,$23.52 
DRAIN NASAL BILIARY ENBD5 5F/H,$315.00 
"DRESSING,BIOCLUSIVE 4X5",$3.15 
