CHARGES FOR SERVICES RENDERED,,
,,
,,
HCPCS Code,Description,new price
86001,"ALLERGEN SPECIFIC IGG QUANTITATIVE OR SEMIQUANTITATIVE, EACH ALLERGEN",$71.00
86003,ALMOND ALLERGY,$71.00
"82374,QW",CARBON DIOXIDE CO/2,$71.00
86001,COCONUT ALLERGY,$71.00
87046,CULTURE STOOL CAMPYLOBACT,$71.00
85651,ESR (SED RATE),$71.00
"82977,QW",GGT,$71.00
"82150,QW",AMYLASE,$94.00
86001,RICE ALLERGY,$71.00
86225,ANTI DNA,$94.00
89321,SPERM COUNT,$71.00
86060,ASO TITER,$94.00
89055,STOOL WBC,$71.00
84156,URINE PROTEIN/CREAT RATIO,$71.00
"82550,QW",CPK,$94.00
86920,CROSSMATCH PER UNIT,$160.00
84630,ZINC (SERUM),$71.00
87086,"CULTURE, URINE (MICRO)",$94.00
80185,PHENYTOIN,$160.00
83498,"HYDROXYPROGESTERONE, 17-D~",$72.00
85027,HEMOGRAM,$94.00
86765,RUBEOLA ANTIBOD. IGG,$121.00
83516,TISSUE TRANSGLUTAMINASE,$160.00
87486,"CHLAMYDIA PNEUMONIAE, AMPLIFIED PROBE TECHNIQUE",$73.00
80178,LITHIUM,$94.00
80198,THEOPHYLLINE,$121.00
86255,ANTI CENTROMER,$162.00
87581,"MYCOPLASMA PNEUMONIAE, AMPLIFIED PROBE TECHNIQUE",$73.00
"80069,QW",RENAL FUNCTION PANEL,$248.00
83735,MAGNESIUM SERUM,$94.00
87070,THROAT CULTURE,$121.00
86038,ANTI RNA POLYMERASE,$162.00
88302,TISSUE BIOPSY 2,$73.00
82784,GAMMAGLOBULIN IGA,$96.00
80201,TOPIRAMATE,$248.00
82575,URINE CREATININE CLEARANCE,$121.00
82180,ASCORBIC ACID (VIT. C),$162.00
84156,URINE QUANT PROTEIN,$73.00
82710,FECAL FAT QUANITITATIVE,$249.00
82784,GAMMAGLOBULIN IGG,$96.00
86713,LEGIONELLA ANTIBODIES,$122.00
87250,COXSACKIE VIRUS A&B,$162.00
82784,GAMMAGLOBULIN IGM,$96.00
"80061,QW",LIPID PANEL,$122.00
86235,ANA PROFILE,$252.00
89060,BODY FLUID CRYSTALS,$74.00
84146,PROLACTIN LEVEL,$163.00
82784,GAMMAGLOBULIN IGM,$96.00
84480,T3-TOTAL,$122.00
"84132,QW",POTASSIUM SERUM,$74.00
84238,ACETYLCHOLINE RECEP,$254.00
84244,RENIN ACTIVITY,$163.00
89051,BFP/CELL COUNT,$97.00
86644,CMV ANTIBODIES IGG,$123.00
87449,"LEGIONELLA PNEUMOPHILIA ANTIGEN, URINE",$257.00
85379,"FIBRIN DEGRADATION PRODUCTS, D-DIMER, QUANTITATIVE",$75.00
80202,VANCOMYCIN,$163.00
83036,GLYCOHEMOGLOBIN,$97.00
88312,"HELICOBACTER, S1",$123.00
88285,CHROMOSOME ANALYSIS ADD,$258.00
82088,"ALDOSTERONE, SERUM",$165.00
87799,"INFECTIOUS AGENT DETECTION BY NUCLEIC ACID(DNA OR RNA), NOT OTHERWISE SPECIFIED, QUANTIFICATION, EACH ORGANISM",$124.00
83918,MEGALOBLASTIC ANEMIA 1&2,$261.00
88313,S-2 ALCIAN BLUE,$77.00
86753,AMEBIASIS ANTIBODIES,$166.00
83935,"OSMOLATILY, URINE",$97.00
82107,"AFP,MATERNAL SERUM",$125.00
83918,ORGANIC ACIDS SCR MAYO,$261.00
86255,ANTI DOUBLE STRANDED DNA BY IMMUNOFLUORESCENCE USING CRITHIDIA,$166.00
86332,C1Q BINDING,$78.00
86777,TOXOPLASMOSIS AB IGG,$97.00
86376,ANTI TPO ANTIBODY (MAB),$125.00
82523,C-TELOPEPTIDE SERUM,$263.00
86255,ANTI SMOOTH MUSCLE,$166.00
87899,CULTURE STOOL SHIGA TOX,$78.00
87177,OVA & PARASITES,$98.00
86376,THYROID MICROSOMAL ANTI,$125.00
82523,N TELOPEPTIDE LEVEL 1,$263.00
86162,CH50-COMPLEMENT,$168.00
86003,SCHISTOSOMA AB IGE,$78.00
86160,C3 COMPLEMENT,$99.00
84443,TSH,$125.00
80377,"DRUG(S) OR SUBSTANCE(S) DEFINITIVE, QUALITATIVE OR QUANTITATIVE NOT OTHERWISE SPECIFIED, 7 OR MORE",$264.00
85610,PROTIME REFERENCE LAB,$168.00
88312,ACID FAST STAIN,$79.00
82300,CADMIUM,$99.00
86617,LYME DISEASE WESTERN BLOT,$267.00
86663,EPSTEIN BARR VIRUS,$170.00
82530,"CORTISOL, URINE 24 HR",$79.00
82482,CHLIONESTERASE-RBC,$99.00
87075,ANAEROBIC BACTERIA CUL,$128.00
80306,ETHYL SULFATE,$268.00
86664,EPSTEIN-BARR VIRUS NUCLEA,$170.00
84165,CSFP2/PROTEIN,$79.00
88312,CRYPTOSPORIDIUM,$99.00
80335,ANTIDEPRESSANT TRICYCLIC AND OTHER CYCLICALS 1 OR 2,$128.00
84152,"PSA, COMPLEX",$268.00
86665,"EPSTEIN-BARR VIRUS,VIRUL",$170.00
87070,"CULTURE, NASAL",$79.00
88108,CYTOPATHOLOGY; SPUTUM,$99.00
87798,BORDETELLA PERTUSSIS SWAB,$128.00
86146,"BETA 2 GLYCOPRO I, AB",$272.00
83013,H. PYLORI BREATH TEST (ANALYSIS),$171.00
87205,"CULTURE, SMEAR",$79.00
82955,G6 PD,$99.00
82668,ERYTHROPOIETIN,$128.00
86147,CARDIOLIPIN (PHODPHOLIPID) ANTIBODY EACH IG CLASS,$272.00
86304,CA 125,$172.00
86705,HEP B / COMP 3,$79.00
87329,GIARDIA LAMBLIA ANT,$99.00
80168,ETHOSUXIMIDE,$128.00
85245,RISTOCETIN CO-FACTOR,$272.00
80329,SALICYLATE LEVEL,$174.00
83701,LIPOPROTEIN,$79.00
85610,PROTHROMBIN TIME,$99.00
86000,FEBRILE AGGLUTINONS,$128.00
85246,VW FACTOR ANTIGEN,$272.00
"80053,QW",COMP. METABOLIC PANEL (CMP),$175.00
82172,LIPOPROTEIN (A),$79.00
80194,QUINIDINE,$99.00
83001,FOLLICLE STIM. HORMONE,$128.00
87529,HERPES SIMPLEX VIRUS I&II,$275.00
80327,ANABOLIC STEROIDS 1 OR 2,$177.00
86355,"LYMPHOCYTE TRANSFORMATION, B CELLS~",$79.00
87425,ROTA VIRUS,$99.00
80335,IMIPRAMINE,$128.00
86359,"LYMPHOCYTE TRANSFORMATION, T CELLS~",$275.00
83516,GLINADIN ANTI/PROF IGG,$177.00
87430,STREP SCREEN,$79.00
86325,URINE IMMUNOELECTRO COMP1,$99.00
84165,IMMUNOELECTROPH. URINE,$128.00
82672,ESTROGEN TOTAL,$278.00
82570,N TELOPEPTIDE LEVEL 2,$177.00
84466,TRANSFERRIN,$79.00
84585,VMA (URINE),$99.00
86335,"IMMUNOFIXATION, URINE",$128.00
83970,PARATHYROID HORMONE LEVEL,$278.00
86334,"IMMUNOFIXATION, SERUM",$179.00
83519,TSH RECEPTOR ANTIBODY,$79.00
87070,CENTRAL LINE C&S,$101.00
86256,LEGIONELLA STAIN,$128.00
82164,ANGIOTENSIN CONVERTING EN,$281.00
84270,SEX HORMONE BINDING GLOBULIN,$179.00
81005,URINE 5-HIAA,$79.00
86880,DIRECT COOMBS,$101.00
83002,LUTEINIZING  HORMONE (LH),$128.00
83880,B-NATRIURETIC PEPTIDE (BNP),$281.00
82627,"DHEA, SULFATE",$180.00
86334,URINE IMM ELECTPHSIS,$79.00
86800,ANTI THYROGLOBLIN AB,$102.00
80188,PRIMIDONE (MYSOLINE),$128.00
82542,DEXAMETHASONE,$281.00
82677,ESTRADIAL 17 BETA,$180.00
86787,VARICELLA ZOSTER IGM,$79.00
85025,CBC W/DIFF,$102.00
84144,PROGESTERONE LEVEL,$128.00
81291,"MTHFR(5,10-METHYLENETETRAHYDROFOLATE REDUCTASE) GENE ANALYSIS COMMON VARIANTS",$283.00
99195,THERAPEUTIC PHLEBOTOMY,$180.00
88173,CYTOPATHOLOGY FINE NEEDLE ASPIRATE,$81.00
"86140,QW",C REACTIVE PROTEIN,$103.00
84153,PSA (PROSTATE SPECIFIC AN,$128.00
86622,BRUCELLA IGG IGM,$181.00
82652,"VIT.D,1,25-DIHYDROXY",$285.00
86757,"RICKETTSIA ANTIBODIES, IGG AND IGM",$81.00
86160,C4 COMPLEMENT,$103.00
80200,TOBRAMYCIN,$128.00
85306,PROTEIN S/FREE,$287.00
83655,LEAD ADULT SERUM,$82.00
85300,"CLOTTING INHIBITORS OR ANTICOAGULANTS; ANTITHROMBIN III, ACTIVITY",$181.00
86140,C-REACTIVE PROTEIN (QUANT) REF,$103.00
83030,"HEMOGLOBIN; BY COPPER SULFATE METHOD, NON-AUTOMATED F(FETAL), CHEMICAL",$129.00
87801,GROUP B STREP SCREEN,$290.00
82595,CRYOGLOBULINS,$83.00
84402,TESTOSTERONE LEVEL FREE,$181.00
80349,"CANNABINOIDS, NATURAL",$104.00
83525,INSULIN SERUM (TOTAL),$129.00
82679,"ESTRONE, SERUM",$293.00
84133,RANDOM URINE POTASSIUM,$83.00
"82553,QW",CKMB,$182.00
86635,COCCIDIODIES ANTIBODIES,$104.00
82728,FERRITIN,$130.00
85280,FACTOR XII ACTIVITY,$293.00
80320,ALCOHOLS,$183.00
82943,GLUCAGON,$104.00
86803,HEPATITIS C ANTIBODY,$130.00
87521,"HEP C VIRUS RNA,QUAL",$296.00
87088,URINE ORGANISM ID,$83.00
86340,INTRINSIC FACTOR ANTIBODY,$183.00
86696,HERPES SIMPLEX VIRUS TYP,$104.00
86317,TDP PROFILE,$130.00
80195,SIROLIMUS (RAPANYCIN,$302.00
83550,IRON BINDING CAPACITY,$84.00
82043,MICROALBUMIN ONLY QUANTITATIVE,$104.00
83825,MERCURY / BLOOD,$184.00
84703,SERUM HCG QUALITATIVE,$131.00
87081,MRSA CULTURE,$84.00
86668,FRANCISELLA TULARENSIS ANTIBODIES,$305.00
84207,VITAMIN B-6,$184.00
86778,TOXOPLASMOSIS AB IGM,$104.00
83945,OXALATE-URINE,$133.00
86628,CANDIDA SPECIFIC IGA,$186.00
86803,HEP C (RIBA),$308.00
87590,"NEISSERIA G, AMP PROBE",$84.00
86787,VARICELLA ZOSTER AB IGG,$133.00
86628,CANDIDA SPECIFIC IGM,$186.00
86747,PARVOVIRUS ANTIBODY B19 IGG,$308.00
"80051,QW",ELECTROLYTE PANEL,$107.00
86141,C REACTIVE PROTEIN (CARD),$86.00
86021,ANTIBODY I.D.,$135.00
86628,CANIDIA SPECIFIC IGG,$186.00
86747,PARVOVIRUS ANTIBODY B19 IGM,$308.00
87804,FLU TEST A&B,$107.00
82525,"COPPER, SERUM",$86.00
84165,BENCE JONES PROTEIN,$135.00
83519,"TRYPSIN, SERUM",$186.00
85730,PTT,$107.00
85302,PROTEIN C ANTIGEN,$308.00
82330,CALCIUM IONIZED (IN HOUSE),$135.00
86336,DIMERIC INHIBIN A,$86.00
86367,ACTIVATED NATURAL KILLER,$191.00
86800,ANTITHYROID ANTIBODY,$108.00
86480,QUANTIFERON GOLD TB,$308.00
82330,CALCIUM IONIZED (REF),$135.00
83021,HMGP CHROMOTOGRAPHY,$86.00
82024,ADRENOCORTICOTROPIC HORMONE (ACTH),$191.00
80306,"DRUG SCREEN SINGLE DRUG CLASS, BY INSTRUMENTED TEST SYSTEMS",$317.00
86300,CA 15-3 (LASA),$108.00
82941,GASTRIN LEVEL,$135.00
84392,"SULFATE, QUANT",$86.00
87250,"CULTURE, VIRAL",$191.00
80074,HEPATITS PROFILE/C(HEP 8),$318.00
87350,HEP BE AG,$135.00
82390,CERULOPLASMIN,$108.00
80158,CYCLOSPORINE,$191.00
84436,T4 (THYROXINE),$86.00
86341,ISLET ANTIGEN 2 ANTIBODY LML FROZEN,$327.00
86704,HEPATITIS CORE AB,$135.00
87449,CHLAMYDIA ANTIGEN,$108.00
85520,HEPARIN ANTI-XA FACTOR,$191.00
84560,URIC ACID-URINE,$86.00
87798,PERTUSSIS SWAB PCR,$328.00
86735,MMR,$135.00
82480,CHLOINESTERASE-SERUM,$108.00
86320,IMMUNO ELECTROPHORESIS,$191.00
82436,URINE CHLORIDE,$86.00
83921,METHYLMALONIC ACID,$329.00
82523,NTX (COLLAGEN CROSS LINK),$135.00
82135,DELTA AMINOLEVULINIC ACID,$108.00
80299,"QUANTITATION OF THERAPEUTIC DRUG, NOT ELSEWHERE SPECIFIED",$191.00
82085,ALDOLASE,$87.00
84140,PREGNENOLONE,$330.00
87807,RSV ANTIGEN SCREEN,$135.00
85384,"FIBRINOGEN, ACTIVITY",$108.00
82306,"VIT D,25 HYDROXY",$191.00
36600,ARTERIAL PUNCTURE,$87.00
80055,O.B. PROFILE,$351.00
89190,NASAL SMEAR,$108.00
82308,CALCITONIN,$136.00
83013,H. PYLORI BREATH TEST PROFILE,$192.00
86622,"BRUCELLA ABORTUS,IGM",$87.00
84120,"PORPHYRINS, URINE",$108.00
82190,STOOL/ELECTROLYTES (3),$351.00
86708,HEPATITIS A ANTIBODIES,$136.00
86850,ANTIBODY SCREEN,$198.00
87070,CSF CULTURE,$87.00
86235,SJORGEN'S ANTIBODIES,$108.00
85220,FACTOR V,$365.00
83516,COLLAGEN/N TELO PEP,$198.00
87070,CSF FUNGUS & CULTURE,$87.00
84999,68 KD ANTIBODY,$393.00
80162,"DIGOXIN, TOTAL",$138.00
86255,"ENDOMYSIAL IGA, IGG AB",$198.00
82747,"FOLATE, RBC",$87.00
81025,URINE PREGNANCY TEST,$108.00
84482,REVERSE T3,$401.00
"80076,QW",HEPATIC FUNCTION PANEL,$138.00
82784,"IMMUNOELECTRO IGG,IGM,IGA",$198.00
82950,GDST,$87.00
84439,FT4 (FREE THYROXINE),$109.00
86256,ANTINEUTROPHIL CYTOPLASIC,$410.00
86645,CMV ANTIBODIES IGM,$139.00
83916,MS PANEL/ COMP 5-6,$198.00
87205,GENC. GENITAL CULT 2,$87.00
85260,FACTOR X,$422.00
83605,LACTIC ACID,$140.00
86235,ANTI SIGNAL RECOGN. PART,$204.00
87070,GENC. GENITAL CULT. 1,$87.00
83690,LIPASE,$110.00
84206,PROINSULIN,$434.00
86320,MONOCLONAL PROTEIN STUDY URINE 24 HOUR,$140.00
83874,MYOGLOBIN,$204.00
"82950,QW",GLUCOSE TOLERANCE TEST 1 HOUR,$87.00
88108,URINE CYTOLOGY,$110.00
81240,"F2(PROTHROMBIN, COAGULATION FACTOR II) GENE ANALYSIS, A VARIANT",$436.00
86320,MONOCLONAL PROTEIN STUDY URINE RANDOM,$140.00
85307,ACT PROTEIN C RESIS,$205.00
87205,GRAM STAIN,$87.00
88289,CHROMOSOME STUDY ADDL H,$113.00
83520,TUMOR NECROSIS FACTOR 2,$448.00
G0103,PSA SCREENING,$140.00
85240,FACTOR V111 (AHG),$205.00
86709,HEP A / COMP 4,$87.00
82105,ALPHA-FETOPROTEIN (AFP) SERUM,$114.00
88342,IMMUNOHISTHEM STAIN,$450.00
83789,URINE IODINE,$140.00
87338,H. PYLORI STOOL ANTIGEN,$205.00
86694,HERPES I&II IGG,$87.00
83516,MYELIN ASSOCIATED GLYCOPROTEIN (MAG) ANTIBODY,$114.00
86682,SCHISTOSMA AB IGG,$454.00
"80048,QW",BASIC METABOLIC PANEL (BMP),$142.00
82306,HYDROXY VITAMIN D3,$205.00
86694,HERPES SIMPLEX I&II IGM,$87.00
86171,COMPLIMENT FIXATION,$115.00
P9016,RED BLOOD CELLS,$458.00
87230,C DIFFICILE TOXIN,$142.00
86300,CANCER ANTIGEN 27-29,$206.00
87207,MALARIA SMEAR,$87.00
86337,INSULIN ANTIBODIES,$115.00
83520,INTERLEUKIN-6,$462.00
80156,CARBAMAZEPINE (TEGR),$142.00
88307,TISSUE BIOPSY 5,$206.00
86308,MONO TEST,$87.00
85732,LUPUS ANTI-COAGULANT REFL,$115.00
82382,"CATECHOLAMINE, URINE",$142.00
88307,TISSUE BIOPSY 7,$206.00
82523,NPT PROCOLLAGEN,$476.00
84300,RANDOM URINE SODIUM,$87.00
80299,MEBARAL,$115.00
80305,"DRUG SCREEN ANY NUMBER OF DRUG CLASSES, PRESUMPTIVE SINGLE OR MULTIPLE DRUG CLASS METHOD",$209.00
83519,GAD GLUTAMIC ACID DECARBOXYLASE AUTO ANTIBODY LML REFRIGERATE,$486.00
84030,PKU (NEWBORN),$142.00
86631,CHLAMYDIA PSITTACI IGG,$212.00
86022,HEPRIN INDUCED PLATELET,$504.00
84403,TESTOSTERONE LEVEL TOTAL,$142.00
86431,RHEUMATOID FACTOR,$87.00
83937,OSTEOCALCIN,$115.00
87040,"CULTURE, BLOOD",$212.00
81256,HFE(HEMOCHROMATOSIS) GENE ANALYSIS COMMON VARIANTS,$528.00
82140,AMMONIA,$143.00
86280,RUBELLA TITER (HAI),$87.00
88161,"PLEURAL PERICARD, CYTOPTH",$115.00
84260,5 HIAA (SERONTIN),$213.00
86890,METHELYNETETRADLYDROFOLATE GENETICS,$537.00
82525,COPPER 24H URINE,$144.00
86609,S PNEUMO 1 IGG,$87.00
85303,PROTEIN C ACTIVITY DEFIC,$115.00
82088,"ALDOSTERONE, URINE",$213.00
87522,HEP C VIRAL LOAD PCR,$572.00
82746,FOLATE (FOLIC ACID) SERUM,$144.00
86609,S PNEUMO 12F IGG,$87.00
82370,STONE ANALYSIS,$115.00
80305,DRUG SCREEN URINE-SENDOUT,$213.00
86753,BABESIA MICROTI,$583.00
84702,HCG-BETA QUANTI-GONADOTRO,$144.00
86609,S PNEUMO 14 IGG,$87.00
82542,SURMONTIL LEVEL,$115.00
86235,ANTI MI2 ANTIBODY,$214.00
88261,CHROMOSOME ANALYSIS 5 C,$602.00
85613,"RUSSELL VIPER VENOM TIME, DILUTED",$144.00
86609,S PNEUMO 18C IGG,$87.00
85670,"THROMBIN TIME, PLASMA",$115.00
88280,CHROMOSOME KARYOTYPE EACH STUDY,$214.00
83088,HISTAMINE,$629.00
86609,S PNEUMO 19F IGG,$87.00
82232,BETA 2 MICROGLOBULIN,$150.00
87328,OVA & PARASITES SCREEN,$116.00
"84484,QW",TROPONIN,$214.00
87507,STOOL PATHOGENS BY PCR,$704.00
86609,S PNEUMO 3 IGG,$87.00
86301,CA 19-9,$150.00
86235,ANTI JO 1 ANTIBODY,$117.00
88230,TISSUE CULT. LYMPHOCY,$826.00
86609,S PNEUMO 4 IGG,$87.00
82542,CLONOPIN,$150.00
86235,ANTI SCL 70,$117.00
85305,PROTEIN S/TOTAL,$216.00
86609,S PNEUMO 6B IGG,$87.00
82533,CORTISOL (SERUM),$150.00
88184,"FLOW CYTOMETRY, TECH COMPONENT, FIRST MARKER~",$117.00
86632,CHLAMYDIA PSITTACI IGM,$217.00
87633,"RESPIRATORY VIRUS, 12-25 TARGETS",$847.00
86609,S PNEUMO 7F IGG,$87.00
86738,"MYCOPLASMA PNEUMONIAE AB, IGG AND IGM",$150.00
86235,SCLERODERMA PANEL COMP 2,$117.00
84481,FREE T3,$217.00
87532,HUMAN  HERPES VIRUS 6 DNA,$850.00
82607,VITAMIN B12,$151.00
86609,S PNEUMO 8 IGG,$87.00
86360,T8,$117.00
87252,"CULTURE, VIRAL HERPES SIM",$218.00
86255,NEUROMYELITIS OPTICA,$970.00
82103,ALPHA-1-ANTITRYPSIN TOTAL,$152.00
83010,HAPTOGLOBIN,$120.00
86609,S PNEUMO 9N IGG,$87.00
84305,SOMATOMEDIN LEVEL INSULIN LIKE GROWTH,$218.00
87497,CMV PCR,$992.00
86200,ANTI CITRALLINE CONT.PROT,$153.00
87340,HEPATITIS B S-ANTIGEN,$120.00
87181,SENSITIVITY,$87.00
88309,TISSUE BIOPSY 6,$219.00
86666,"EHRLICHIA CHAFEENSIS & ANAPLASMA PHAGOCTOPHILUM IGG, IGM","$1,362.00"
88108,BODY FLUID CYTOLOGY,$153.00
84165,SYPR/TOTAL PROTEIN,$120.00
84479,T3 UPTAKE,$87.00
82507,CITRATE URINE SODIUM,$226.00
80184,PHENOBARBITAL LEVEL,$153.00
83586,17 KETO STEROIDS,$121.00
88304,TISSUE BIOPSY 3,$87.00
87798,HEP C GENO/COMP 4-5,$226.00
"82951,QW",GLUCOSE TOLERANCE TEST 3 SPC,$154.00
82383,CATECHOLAMINE-BLOOD,$121.00
80197,TACROLIMUS,$226.00
82570,URINE CREATININE,$87.00
84252,VITAMIN B2 (BLOOD),$154.00
87101,"CULTURE, FUNGAL",$121.00
84425,VITAMIN B1 (THIAMINE),$226.00
84105,URINE PHOSPHORUS,$87.00
87040,ACID FAST BACTERIA CULT,$155.00
87070,"CULTURE, SPUTUM",$121.00
82542,LAMOTRIGINE/LAMICTAL,$228.00
86003,LAE- LATEX ALLERGY SPECIFIC IGE,$88.00
87070,"CULTURE, WOUND",$121.00
86255,ANTINEUTROPHIL ANTIBODIES,$155.00
86148,ANTI CARDIOLIPIN ANTIBODY,$237.00
86695,HERPES SIMPLEX VIRUS TYP,$89.00
87070,FLDC/FLUID CULTURE 1,$121.00
84080,BONE SPEC ALKALINE,$155.00
84590,VIT A RETINOL,$92.00
87205,FUNGUS ISO. SMEAR,$121.00
82378,C.E.A.,$155.00
83883,IG FREE LIGHT CHAINS,$237.00
87070,AEROBIC CULTURE,$93.00
84681,C-PEPTIDE,$155.00
83003,GROWTH HORMONE,$121.00
83883,"NEPHELOMETRY,EA,AN",$237.00
86156,"AGGLUTININS, COLD",$93.00
86706,HEP B SURFACE ANTIBODY,$121.00
87799,BK VIRUS QUANT,$240.00
86651,ARBOVIRUS IGM/ENCEPHALIT,$93.00
86331,HYPERSENSITIVITY PNEUMONITIS (FARMER'S LUNG),$155.00
87449,"HERPES SIMPLEX, CULTURE",$121.00
86652,ARBOVIRUS IGM/ENCEPHALIT,$93.00
86618,LYME DISEASE,$155.00
82626,"DHEA, SERUM",$242.00
83491,"HYDROXYCORT, URINE",$121.00
86653,ARBOVIRUS IGM/ENCEPHALIT,$93.00
82043,MICROALBUMIN/CREATININE,$155.00
84154,PSA TOTAL % FREE,$242.00
85060,PERIPHERAL BLOOD SMEAR,$121.00
86654,ARBOVIRUS IGM/ENCEPHALIT,$93.00
86870,RBC ANTIBODY ID,$155.00
83835,METANEPHRINES(URINE 24 HR,$243.00
84134,PRE-ALBUMIN,$121.00
85002,BLEEDING TIME,$93.00
82131,AMINO ACIDS/ QUANT,$159.00
"82803,QW",ARTERIAL BLOOD GAS,$247.00
82375,CARBON MONOXIDE,$93.00
82670,ESTRADIOL SERUM,$159.00
83090,HOMOCYSTEINE LEVEL,$247.00
82384,"CATECHOL,UR,VMA-FRACTIONA",$93.00
88305,TISSUE BIOPSY 4,$159.00
"82803,QW",VENOUS BLOOD GAS,$247.00
87070,GENITAL CULTURE,$93.00
80164,VALPORIC ACID (DIPROPYLACETIC ACID) TOTAL,$159.00
86638,Q FEVER ANTIBODY,$93.00
83516,ANITGLOMERULAR BASEMENT MEMBRANE ANTIBODIES,$160.00
83516,ANTI HISTONE,$160.00
82360,STONE ANALYSIS,$163.00
81374,HLA B 27,$590.00
86762,RUBELLA SCREEN,$115.00
80329,ACETAMINOPHEN/ANALGESICS NON-OPIOID 1 OR 2,$242.00
86762,RUBELLA SCREEN,$76.00
87624,"HUMAN PAPILLOMA VIRUS, HIGH RISK",$115.00
88142,LIQUID PAP,$66.00
87591,CHLAMYDIA TRACHOMATIS,$69.00
87491,CHLAMYDIA TRACHOMATIS,$69.00
85045,RETIC COUNT (RTIC),$87.00
88305,TISSUE EXAM BY PATHOLOGIST,$159.00
80177,KEPPRA,$216.00
82397,INSULIN GROWTH FACTOR BINDING PROTEIN 3,$184.00
87389,HIV-1&2 ANTIBODY,$110.00
86788,W NILE VIRUS IGM,$145.00
86789,W NILE VIRUS IGG,$145.00
87150,MRSA-S AUREUS BLOOD,$108.00
88185,FLOW CYTOMERTRY EACH ADD MARKER,$110.00
87498,"ENTEROVIRUS RNA BY PCR, SERUM",$273.00
87449,INFECTIOUS AGENT ANTIGEN,$41.00
87324,EIA CLOSTRIDIUM DIFFICIL,$41.00
86658,COXSACKIE A AND B,$371.00
87186,BACTERIAL SENSITIVITY,$17.00
36591,BLOOD DRAW FROM PORT,$29.00
87798,PNEUMOCYSTIS JIROVECII BY PCR,$546.00
87449,FUNGITELL (1.3 BETA D GLUCAN),$275.00
83520,FREE KAPPA & LAMBDA LIGHT CHAINS,$237.00
86038,ANA SCREEN (REFLEX),$107.00
82175,ARSENIC,$108.00
82175,BLOOD ARSENIC,$121.00
83516,PARANEOPLASTIC ANTIBODY PANEL,$159.00
81002,UA DIPSTICK WITHOUT SCOPE,$18.00
86689,HTLV 1,$45.00
86255,PARANEOPLASTIC ANTIBODY,$159.00
,ZERO,$0.00
96523,PORT FLUSH (IRRIGATION OF IMPLANTED VENOUS ACCESS DEVICE),$78.00
51701,INSERT STRAIGHT CATH,$104.00
99211,TREATMENT ROOM,$116.00
51702,CATHETER SIMPLE,$132.00
96372,THER. INJ. SQ/IM,$140.00
96374,IV PUSH SINGLE OR INIT SUB/DRUG,$145.00
96361,IV ADIMN ADD HR HYDRATION,$152.00
29580,UNNA BOOT APPLICATION,$216.00
51703,INSERT CATH - COMPLICATED,$243.00
20553,TRIGGER POINT INJ 3 OR MORE,$255.00
20552,TRIGGER POINT INJ 1 OR 2,$336.00
96360,IV ADMIN 1ST HR HYDRATION,$340.00
20610,JOINT INJECTION MAJOR,$455.00
36430,BLOOD ADMINISTRATION,$825.00
51798,BLADDER SCAN,$193.00
94010,SPIROMETRY,$300.00
96376,IV PUSH EACH ADD SAME DRUG,$79.00
96365,IV ADMIN 1ST HR INFUSION,$345.00
96366,IV ADMIN ADD HR INFUSION,$158.00
96368,"CONCURRENT INFUSION, NEW DRUG",$50.00
94640,NEB TREATMENT,$36.00
96367,IVPB ADDITIONAL DRUG,$50.00
86790,HTLV 2,$45.00
"71130,TC",XR SC JOINTS,$215.00
"70210,TC",XR SINUS <3 VIEW,$215.00
"71120,TC",XR STERNUM,$229.00
"70140,TC",XR FACIAL BONES <3 V,$243.00
"73140,TC",XR FINGER,$243.00
"70150,TC",XR FACIAL BONES >3 V,$260.00
"72081,TC",XR SCOLIOSIS SURVEY,$260.00
"73100,TC",XR WRIST 2 V,$262.00
"77076,TC",XR SKELE SRVY INFNT,$267.00
"73650,TC",XR CALCANEUS,$273.00
"73000,TC",XR CLAVICLE,$273.00
"73070,TC",XR ELBOW 2 VIEW,$273.00
"73120,TC",XR HAND 2 VIEW,$273.00
"73501,TC",XR HIP/PELVIS 1 VIEW,$273.00
"70200,TC",XR ORBITS COMPLETE,$273.00
"73660,TC",XR TOE,$273.00
"73020,TC",XR SHOULDER 1 VIEW,$275.00
"73620,TC",XR FOOT 2 VIEW,$276.00
"73090,TC",XR FOREARM,$281.00
"70360,TC",XR SOFT TISSUE NECK,$290.00
"72170,TC",XR PELVIS,$296.00
"73010,TC",XR SCAPULA,$297.00
"73110,TC",XR WRIST COMPLETE,$300.00
"73600,TC",XR ANKLE 2 V,$302.00
"72220,TC",XR SACRUM/COCCYX,$306.00
"73060,TC",XR HUMERUS,$314.00
"73130,TC",XR HAND COMPLETE,$315.00
"72200,TC",XR SI JOINTS,$320.00
"73630,TC",XR FOOT 3 VIEW,$323.00
"70160,TC",XR NASAL BONES,$323.00
"73610,TC",XR ANKLE COMPLETE,$325.00
"73590,TC",XR TIB-FIB,$331.00
"70250,TC",XR SKULL <4 VIEWS,$385.00
"72040,TC",XR C-SPINE <3 VIEWS,$390.00
"73552,TC",XR FEMUR,$390.00
"73502,TC",XR HIP COMP W/PELVIS,$390.00
"73030,TC",XR SHOULDER COMPLETE,$390.00
"70220,TC",XR SINUS COMPLETE,$390.00
"70260,TC",XR SKULL COMPLETE,$390.00
