ITEM#,ITEM DESCRIPTION,PRICE
 5500006,BAG URINARY DRAINAGE,$10.69
 5500007,BAG ENEMA 1500CC,$4.27
 5500008,BAG BIOHAZARD 6X9 (100 EA/BAG),$10.55
 5500009,PUMP 1000ML FEED AND FLUSH SET KANGAROO,$16.90
 5500010,PLASTER CAST 3X3,$3.30
 5500011,BANDAGE ACE 2 LATEX FREE,$1.67
 5500012,BANDAGE ACE 3 LATEX-FREE,$2.25
 5500013,BANDAGE ACE 4 LATEX FREE,$3.18
 5500014,BANDAGE ACE 6 LATEX FREE,$3.66
 5500018,KLING 2,$1.23
 5500019,KLING 3,$1.59
 5500020,KLING 4,$1.92
 5500021,KLING 6,$2.91
 5500027,BEDPAN FRACTURE ROSE,$2.10
 5500028,BEDPAN STACKABLE ROSE,$2.28
 5500029,BINDER 12 ABDOMINAL,$29.88
 5500030,BINDER 9 ABDOMINAL,$18.33
 5500031,BLADE SURGICAL SIZE 10,$5.15
 5500032,BLADE SURGICAL SIZE 15,$5.15
 5500033,"BLADE, SURGICAL CLIPPER",$6.69
 5500035,BOOT TRACTION UNIVERSAL,$240.00
 5500037,DIAPER ADULT X-LG,$1.57
 5500039,LINER SUCTION 1500CC,$3.78
 5500040,CANNULA NASAL CURVED TIP,$1.11
 5500041,TENT PEDIATRIC AEROSOL,$87.00
 5500043,CATH IV 18G GREEN SAF,$5.10
 5500044,CATH IV 20G PINK SAF,$4.53
 5500045,CATH IV 24G YELLOW SAF,$5.10
 5500046,CATH IV 22G BLUE SAF,$4.53
 5500048,KIT MIDSTREAM,$2.10
 5500050,STRIP STERI 1/2 X 4,$3.54
 5500051,STRIP STERI 1/4 X 3,$2.25
 5500053,COLLECTOR 1.4 QT SHARPS RED,$3.90
 5500054,COLLECTOR. 5.4 QT SHARPS CLEAR,$9.12
 5500055,COLLECTOR SPECI-PAN,$1.86
 5500056,COLLECTOR 8 GAL SHARPS RED,$31.65
 5500059,COVER THERMOMETER PROBE,$16.23
 5500060,TUBE CUFFED ENDOTRACHEAL 6.5MM,$5.19
 5500061,TUBE CUFFED ENDOTRACHEAL 7.0MM,$5.19
 5500062,TUBE CUFFED ENDOTRCHEAL 7.5MM,$5.19
 5500063,TUBE CUFFED ENDOTRACHEAL 8.0MM,$5.19
 5500064,DENTURE CUP GREEN,$5.15
 5500065,CONTAINER SPECIMEN STOOL PLASTIC GRAY,$1.20
 5500067,DIAPER PAMPERS SIZE 2,$1.00
 5500068,DIAPER PAMPERS SIZE 3,$1.00
 5500069,DIAPER PAMPERS SIZE 4,$1.00
 5500070,DIAPER PAMPERS NEWBORN,$1.00
 5500071,BAG URINARY LEG 750ML,$5.43
 5500072,DRAIN CHEST WATER SEAL,$324.99
 5500073,PAD TELFA 3X4,$1.00
 5500074,ALLEVYN 5X5 GENTLE BORDER,$13.14
 5500075,WIPES PREP SKIN,$1.00
 5500076,DETECTOR EASY CAP CO2,$28.53
 5500077,ELECTRODE 530 ECG,$14.31
 5500078,ELECTRODE RESTING TAB,$12.60
 5500079,TRAY LACERATION,$13.62
 5500080,EXERCISER VOLUMETRIC,$8.52
 5500081,GEL SPECTRA 360 8.5 OZ,$9.00
 5500094,HANDLE YANKAUER / TUBING,$4.65
 5500095,PAD HEEL,$12.93
 5500097,AQUAPAK 340ML W/ADAPTER,$3.54
 5500098,NEEDLE 1 90 HUBER WHIN,$12.12
 5500100,SET EXTENSION MACROBORE,$6.69
 5500101,PGYBK BKCK VLV 3CLV SCR LK 100IN,$14.43
 5500102,KIT IV START,$2.40
 5500108,SET Y EXTENSION 32,$8.28
 5500109,SET Y-BLOOD SECONDARY,$53.10
 5500110,MASK ADULT AEROSOL,$2.91
 5500111,MASK ADULT TRACH,$11.52
 5500112,MASK SURGICAL LITE ONE,$13.08
 5500113,MASK ADULT NON-REBREATHER,$4.68
 5500114,MASK OXYGEN W/TUBING,$1.68
 5500115,MASK PEDIATRIC OXYGEN,$8.70
 5500116,MASK PEDIATRIC AEROSOL,$2.10
 5500118,KIT NEBULIZER W/ MOUTHPIECE ADULT,$2.58
 5500120,NEEDLE 30X1,$1.00
 5500122,SYRINGE COMBO 22GX1IN 3ML,$1.00
 5500124,NEEDLE 18 X 1 SAFETY,$1.00
 5500125,NEEDLE 21 X 1 SAFETY,$1.00
 5500126,NEEDLE 22 X 1 SAFETY,$1.00
 5500127,NEEDLE 22 X 1.5 SAFETY,$1.00
 5500128,"NEEDLE, 25G X 1 1/2",$1.00
 5500129,NEEDLE 25GX1 SAFETY,$1.00
 5500130,NEEDLE 25G X 5/8 SAFETY,$1.00
 5500132,PACK ICE LARGE,$3.90
 5500134,PACK ICE SMALL,$3.90
 5500137,PAD ABDOMINAL 8 X 10,$0.55
 5500138,PAD TEMPERATURE THERAPY,$14.31
 5500139,PAD LIBERTY,$1.77
 5500141,PADDING CAST 2 X 4,$1.05
 5500142,PADDING CAST 3 X 4,$1.53
 5500143,PADDING CAST 4 X 4,$2.04
 5500144,PADDING CAST 6 X 4,$1.53
 5500148,COLLECTOR PEDIATRIC URINE,$1.14
 5500149,PILLOW REUSABLE 21 X 27,$7.60
 5500152,PAD ALCOHOL PREP,$5.16
 5500153,SET PRIMARY W/PUMP,$31.80
 5500154,TUBE SALEM SUMP 16FR,$13.50
 5500155,SOLUTION BETADINE 4 OZ,$2.76
 5500156,RAZOR TWIN BLADE DISPOSABLE,$1.92
 5500157,KIT STAPLE REMOVER,$8.25
 5500158,BAG ADULT AMBU,$28.65
 5500159,SCALPEL DISPOSABLE SIZE 11,$3.33
 5500160,SCALPEL DISPOSABLE SIZE 15,$2.65
 5500162,SET SECONDARY,$3.90
 5500164,SHEATH DIGITAL THERMOMETER,$21.93
 5500165,ARMSLING LARGE,$12.42
 5500166,SLING ARM MEDIUM,$12.42
 5500167,SLING ARM SMALL,$12.42
 5500168,SLING ARM X-LARGE,$12.06
 5500171,SALINE NORMAL IRRIGATION 1000ML,$15.00
 5500172,SALINE NORMAL IRRIGATION 250ML,$15.00
 5500179,PEROXIDE HYDROGEN 4 OZ.,$1.17
 5500181,SPECULA PEDIATRIC OTOSCOPE 2.75MM,$2.52
 5500183,SPLINT SPECIALIST 3 X 15,$1.00
 5500187,SPLINT TRACTION LARGE,$144.00
 5500188,SPLINT TRACTION MEDIUM,$144.00
 5500189,SPLINT TRACTION SMALL,$261.87
 5500190,GAUZE VERSALON 4 X 4,$1.00
 5500191,GUAZE SPONGE 2 X 2 BULK,$5.91
 5500192,GAUZE 4 X 4 12-PLY,$1.00
 5500193,GAUZE 4 X 4 16-PLY,$2.74
 5500195,BAG PEDIATRIC AMBU,$45.78
 5500196,WATER STERILE IRRIGATION 1000ML,$15.00
 5500198,HOSE TED KNEE HIGH - LARGE,$14.85
 5500199,HOSE TED THIGH HIGH - MED,$24.57
 5500200,HOSE TED KNEE HIGH - SMALL,$15.30
 5500201,HOSE TED KNEE HIGH - X-LARGE,$32.22
 5500203,STRIP PACKING IODOFORM 1/2 X 5,$9.15
 5500204,STRIP PACKING IODOFORM 1/4 X 5,$9.03
 5500205,SWAB TOOTHETTE,$3.33
 5500206,SWAB LEMON GLYCERIN,$1.59
 5500207,SWAB POVIDONE IODINE,$1.00
 5500208,SWAB TINCTURE OF BENZOIN,$1.00
 5500209,SYRINGE 10ML LL W/O NEEDLE,$1.00
 5500210,SYRINGE 20CC LUER LOCK,$1.00
 5500211,SYRINGE 60CC CATH TIP W/O NEEDLE,$1.29
 5500212,SYRINGE 60CC LUER LOCK W/O NEEDLE,$1.00
 5500213,SYRINGE 6CC LUER LOCK W/O NEEDLE,$1.00
 5500214,SYRINGE 35CC LUER LOCK,$1.00
 5500215,NEEDLE HYPO PRO EDGE SFTY DEVIC 27GX1.25,$1.45
 5500216,SYRINGE MAGELLAN INSULIN .5CC 29 X 1/2,$1.00
 5500217,SYRINGE 1CC MAGELLAN TUBERCULIN 27X1/2,$1.00
 5500228,TRAP MUCOUS SPECIMEN 40CC,$3.42
 5500229,TRAY URETHRAL CATH 16FR,$5.58
 5500230,TRAY FOLEY 16FR,$21.21
 5500231,TRAY FOLEY W/O CATH W/DRAIN BAG,$20.82
 5500232,TRAY FOLEY 18FR,$21.21
 5500233,TUBE GASTROSTOMY 20FR,$69.75
 5500234,TUBING SUCTION CONNECTION 10',$2.22
 5500235,TUBING CORR-A-FLEX 100',$10.48
 5500236,TUBING OXYGEN 7',$1.00
 5500237,STRIP FOREHEAD TEMP INDICATOR,$5.40
 5500238,URINAL MALE W/LID,$1.00
 5500239,VEST RESTRAINT LARGE,$36.96
 5500244,COBAN 4,$6.12
 5500245,COBAN 2,$4.47
 5500246,RESTRAINT WRIST - UNIV,$7.89
 5500247,SPLINT SPECIALIST 6 X 5,$8.31
 5500248,BANDAGE ORTHOFLEX 4 X 4,$7.95
 5500249,RM LUBE JELLY 3GM FOILPK,$1.00
 5500250,STRIP PLAIN PACKING 1/2 X 5,$18.16
 5500251,STRIP PLAIN PACKIING 1/4 X 5,$17.64
 5500254,"PAK, ELECTRODE MONITOR TRIPLE",$8.73
 5500265,STERILE WATER IRRIGATION SOLN 3000ML,$66.74
 5500266,TRAY CHEST TUBE INSERTION,$666.10
 5500267,TRAY TRACHEOSTOMY CARE,$18.03
 5500269,KERLIX 4.5 X 4.1 YD 6-PLY STERILE,$13.39
 5500270,BANDAGE 2 X 3.75 SHEER,$5.15
 5500271,GOWN ISOLATION LARGE,$104.92
 5500272,MASK N95 PARTICULATE RSPIRATOR,$124.47
 5500273,SPECULUM VAGINAL - LARGE,$20.87
 5500274,SPECULUM VAGINAL - MEDIUM,$15.65
 5500275,SPECULUM VAGINAL - SMALL,$16.97
 5500276,KIT FEMALE CATH 8FR,$31.93
 5500278,STRAINER CALCULI,$11.95
 5500279,PLUG STERILE CATH W/CAP,$5.15
 5500280,CATHETER TEXAS,$5.62
 5500281,TUBE SALEM SUMP 12FR,$102.79
 5500282,TUBE SALEM SUMP RADIO 18FR,$9.58
 5500283,CATHETER SUCTION MINI 14FR,$5.15
 5500284,"SPECULA, ADULT OTOSCOPE 4.25MM",$5.15
 5500286,"SPLINT, TRACTION X- LARGE",$561.87
 5500297,SALINE NORMAL IRRIGATION 500ML,$12.57
 5500300,SOLUSET BURETTE,$139.98
 5500301,CANNULA NASAL STRAIGHT TIP,$5.15
 5500302,PAD ADULT DEFIB,$196.52
 5500303,WATER STERILE IRRIGATION 500ML,$14.01
 5500306,SET DIAL A FLOW,$32.08
 5500308,"BUNDLE, TRIPLE LUMEN",$267.12
 5500316,PAD TELFA 3X8,$33.25
 5500320,BAG URINE METER DRAINAGE 350ML,$88.44
 5500322,"TOURNIQUET, 1X18 LATEX FREE  FLAT ORANGE",$5.15
 5500323,DRESSING OPSITE IV DRESSING 2.375X2.75,$5.15
 5500327,DRESSING OPSITE ADHESIVE 4X51/2,$8.32
 5500328,TUBE FEEDING 18 FR,$4.33
 5500329,TUBE FEEDING 16 FR,$81.89
 5500330,TUBE FEEDING 14 FR,$122.93
 5500336,SCAPEL #10 SS DISP,$8.69
 5500352,NEEDLE WHIN HUBER 20 X 1.5,$68.50
 5500354,TUBE ET 6.0 HVT,$17.47
 5500355,TUBE ET 8.5 CUFFED,$17.47
 5500357,BLADE SURGICAL SIZE 11,$5.15
 5500358,CIRCUIT ADULT VENTILATOR,$35.07
 5500359,MASK VENTURI ADULT,$11.93
 5500360,BRUSH SCRUB EASY WITH CHLOR 107,$12.63
 5500361,COLLECTOR SPUTUM SPECIMEN,$34.64
 5500369,BLOOD COLLECTION SET 22X1.25,$6.03
 5500376,KIT AIR LIFE TRI FLOW SUCTION CATH AND G,$17.83
 5500381,THERMOMETER ORAL SURE TEMP PLUS,"$1,966.27"
 5500387,PLASTER CAST 4X5 YD,$16.05
 5500389,GAUZE XEROFORM 1X8,$6.33
 5500402,POUCH HIGH OUTPUT DRAINABLE,$215.41
 5500404,BARRIER SKIN 4X4,$39.26
 5500407,BRUSH SCRUB EZ IODINE,$7.15
 5500408,STERI STRIPS 1/8 X 3,$8.01
 5500413,BAG PATIENT SETUP RESP,$5.15
 5500414,VASELINE PETROLEUM GAUZE 3 X 18,$52.65
 5500416,BOTTLE JEVITY 1 CAL,$27.46
 5500417,BOTTLE OSMYLYTE 1.5 CAL,$32.13
 5500418,BOTTLE PEDIALYTE GRAPE,$49.34
 5500423,NEEDLE 23G X 1 SAFETY,$11.65
 5500426,WRIST 1IN RED STRIPE TYVEK,$101.97
 5500431,NEEDLE FILTER 18G X 1 1/2,$5.15
 5500433,FILTER ADMIN SET UNIV IV .2M,$20.80
 5500435,DRESSING PETROLATUM XEROFORM STER 4 X4,$19.65
 5500436,NIPPLE NUT PLASTIC DISPOSABLE,$5.15
 5500439,FILTER BACTERIAL/ VIRAL,$9.09
 5500443,DRESSING PETROLATUM GAUZE STER 3 X9,$6.27
 5500444,GAUZE OVERWRAP PETRO. STERILE 3.9,$18.77
 5500445,BELT OSTOMY 26 - 43INCH ADJUSTABLE MED.,$94.76
 5500448,NEEDLE 21 X 1 1/2 SAFETY,$5.15
 5500449,CONTAINER EMPTY EVACUATED 1000ML,$34.74
 5500450,MASK AIRLIFE FACE TENT,$6.43
 5500451,DRAINAGE SEROSOL SYSTEM WITH TEE,$10.91
 5500453,MASK COMFORT GEL SM W/ HDGR,$951.41
 5500454,MITTS PADDED,$120.61
 5500458,CONNECTOR LIFESHIELD 19G,$7.31
 5500461,KIT FOLEY ANCHOR UNIRNARY CATH. SECUREM,$30.80
 5500462,CONNECTOR TUBING OXYGEN SUPPLY,$5.15
 5500463,CLEANSER CARA-KLENZ DERMAL WOUND 8OZ,$79.18
 5500464,SHEET 4 X4 SPANDGEL W/ DIAMOND ALOE VER,$27.12
 5500465,SHEET 5 X9 SPANDGEL W/ DIAMOND ALOE VER,$51.07
 5500466,CLEANSERS CARRAKLENZ WOUND 6 OZ,$44.97
 5500478,LAMP 2.5V VACUUM ALTERNATIVE TO 00200-U,$139.67
 5500479,HOSE T E D LARGE THIGH,$67.29
 5500480,HOSE T E D MEDIUM KNEE,$105.40
 5500481,HOSE T E D X-LARGE THIGH,$151.13
 5500483,CLASP SJC ALERT LIMB ALERT W/ BLACK TEXT,$5.15
 5500485,HOSE T E D SMALL THIGH-LENGTH,$87.16
 5500488,GLOVE SMALL EXAM ANSELL MICROTOUCH,$87.26
 5500489,GLOVE MEDIUM EXAM ANSELL MICROTOUCH,$87.26
 5500490,GLOVE LARGE EXAM ANSELL MICROTOUCH,$87.26
 5500491,GLOVE X-LG EXAM ANSELL MICROTOUCH,$87.26
 5500493,EPUMP SAFETY SCREW SPIKE SET,$48.93
 5500496,GLUCERNA 1.2 CAL. 1000ML,$55.63
 5500497,SYRINGE 3CC X 1.5 CATH TIP W/ NEEDLE,$5.15
 5500498,DIAPER ADULT WINGS CHOICE PLS QUILTED LG,$5.70
 5500499,FLEXAL NITRILE EXAM GLV PF BLU XXL,$71.59
 5500500,SYRINGE ONLY 3CC LL,$5.15
 5500507,TUBE SALEM SUMP RADIO 14FR,$11.61
 5500509,NEEDLE HUBER 20GA 3/4,$92.07
 5500522,RADIWASH SHAMPOO CAP,$5.15
 5500523,KIT PROBE WELL 4 RECTAL,$472.05
 5500524,TUBE RECTAL 24 FR RED RUBBER,$40.38
 5500525,TUBE RECTAL 30 FR RED RUBBER,$38.91
 5500548,ADHESIVE TISSUE LIQUIBAND DOME,$47.75
 5500549,UNIV NIBP W/SNGL HOSE CUFF - PEDI,$60.00
 5500550,UNIVERSAL NIBP W/SINGLE HOSE CUFF - INFA,$60.00
 5500551,UNIV NIBP W/SNG HOSE CUFF - ADUL,$60.00
 5500552,NIBP LOCK-TYPE CONNECTOR,$12.00
 5500553,LIFE SCOPE SP02 SENSOR - ADULT,$378.00
 5500554,LIFE SCOPE SP02 SENSOR - PEDIATRIC,$378.00
 5500555,NIBP EXTENSION HOSE FOR NK,$219.00
 5500556,UNIVERSAL NIBP W/SINGLE HOSE CUFF - AD L,$60.00
 5500557,UNIVERSAL NIBP W/SINGLE HOSE CUFF - THIG,$60.00
 5500562,V.A.C. GRANUFOAM SMALL DRESSING,$365.73
 5500571,"NELLCOR,MAX-A DISPOSABLE SENSOR",$30.00
 5510058,SPLINT WRIST 8 PED/RT,$53.87
 5510098,MONOSOF 2-0 SN-674,$15.45
 5510169,SUTURE CTD VICRYL 1 UND CR/CT-1,$127.44
 5510284,NS IRRIGATION 500ML,$8.24
 5510324,O POLYSORB DISPENSING REEL,$11.23
 5510333,2-0 PLAIN GUT MH TAPER,$15.97
 5510374,LAPAROSCOPY PACK I,$43.70
 5510426,PLAIN PACK 1X5IN,$15.91
 5510554,ARGYLE SARATOGA SUMP DRAIN CATH 34FR,$77.25
 5510568,BAIR HUGGER WARMING BLANKET,$92.96
 5510661,VICRYL 1 CT,$16.74
 5510696,SILK 2-0 C-15,$18.45
 5519008,HOOK BLADE LAPAROSCOPIC,$154.50
 5540616,SURGIPRO 5-0 P13 SP56986,$50.32
 5540647,CHROMIC 4-0 P21 NEEDLE PLASTICS,$47.95
 5550004,SPLINT ONE STEP 5X45 SCOTCHCAST,$81.45
 5550005,SPLINT ONE STEP 2X10 SCOTCHCAST,$57.12
 5550007,ARMBOARD INFANT 2X6 DISPOSABLE,$5.47
 5550008,WRISTBOARD 3 X 9 DISPOSABLE,$3.12
 5550017,COVER MAYO STAND,$19.51
 5550018,COVER BACK TABLE HD E COAT,$77.20
 5550019,STOCKINETTE IMPERVIOUS EX LG,$41.24
 5550020,STOCKINETTE IMPERVIOUS MEDIUM,$52.85
 5550021,PACK CYSTOSCOPY TIBURON,$28.46
 5550022,PACK EXTREMITY WITH COVER,$188.57
 5550023,PACK BASIC,$117.83
 5550024,PACK LAPAROSCOPY,$84.87
 5550025,SPONGE LAP 18X18 XRAY DETECT,$17.14
 5550026,SPONGE LAP 4X18 XRAY DETECT,$13.39
 5550027,PACK UNIVERSAL SPLIT II,$214.17
 5550028,DRAPE LAPOROTOMY WITH POUCH,$117.72
 5550029,TRAY WET PREP,$15.94
 5550031,PACK ARTHOSCOPY,$232.71
 5550033,PROBE HEMOSTASIS 7FR,"$4,707.10"
 5550034,RESERVOIR WOUND DRAIN BULB 100 ML,$50.34
 5550038,DRAPE STERI-DRAPE U 47 X 51,$88.94
 5550039,NEEDLE COUNTER,$13.16
 5550040,TIP CLEANER,$5.15
 5550041,PAD GROUDING,$11.46
 5550049,DEELEE MUCOUS TRAP,$15.48
 5550051,CHLORAPREP WITH TINT 26MM TEAL,$79.23
 5550052,SLEEVE STERILE,$10.04
 5550053,SET ARTHROSCOPY FLOW,$139.42
 5550062,DRAIN PENROSE .25,$8.40
 5550063,DRAIN PENROSE .75N,$8.35
 5550065,STAPLER SKIN 35W,$26.51
 5550068,TRAP POLYP,$23.18
 5550069,NEEDLE CATHETER INJECTION,$286.60
 5550070,BALLOON ESOPHAGEAL 18MM DISPOSABLE 1EA,"$1,790.76"
 5550072,DISSECTOR BALLON ENDO.,$994.88
 5550076,DRAPE 0.75 REINFORCED,$10.41
 5550077,DRAPE LAP CHOLE WITH TROUGH 8CS,$46.57
 5550078,DRAIN 10 MM FLAT WITH TROCAR,$166.33
 5550080,BLUNT 12MM STD THREADED ANCHOR,$727.08
 5550082,TROCAR BLADELESS 12MM,$412.44
 5550083,CANNULA & DIALATOR 5MM LONG VERASTEP W/,$636.20
 5550085,SHEARS ENDO INSTRU. 5MM STD LENG. W/ UNI,$813.91
 5550089,SURGIWAND II SUCTION IRRIGATOR 5MM,$669.71
 5550095,CATHETER CHOLANGIOGRAPHY OPER. 4.5FR,$504.79
 5550096,INSUFFLATION TUBING SET,$240.20
 5550097,ANTIFOG DEFOGGER,$32.53
 5550105,SUTURE PREMIUM SURGICLIP L-13.0 TITAN,$205.67
 5550110,SET CYSTOSCOPY IRRIGATION,$13.13
 5550111,CALF GARMENT COMPRESSION SLEEVE LG,$306.03
 5550112,SUTURE SURGIPRO 4/0 18 BLUE C-13 SP683,$8.93
 5550113,SUTURE SURGIPRO 50 18 BLUE P-13 SP5698G,$18.08
 5550115,SUTURE MONOSOF 3/0 30 BLACK C-17 SN673G,$6.09
 5550116,SUTURE MONOSOF 4/0 18 BLK C-13 01K SN662,$6.12
 5550117,SUTURE MONOSOF 5/0 18 BLACK PC-12SN1995,$17.71
 5550118,SUTURE POLYSORB 0 30 VIOLET GU-46 UL 877,$8.99
 5550119,SUTURE POLYSORB 2/0 30 VIOLET GS-22 CL17,$25.03
 5550120,SUTURE POLYSORB 1 36 UNDYED GS-25 CL975,$10.78
 5550121,SUTURE POLYSORB 1 18 UNDYED GS-21DT CL,$25.31
 5550122,SUTURE POLYSORB 2/0 18 UNDYED GS-25 DT C,$27.25
 5550123,SUTURE POLYSORB 2/0 30 U/D GS-24 224C CL,$20.46
 5550124,SUTURE POLYSORB 3/0 30 UNDYED GS-10CL868,$6.95
 5550125,SUTURE POLYSORB 4/0 30 UNDYED CV-25GL191,$6.43
 5550126,SUTURE CHROMIC GUT 1 36 GS-25 105P CG905,$9.42
 5550127,SUTURE CHROMIC 6/0 P21 SG1816G,$16.38
 5550128,SUTURE TICRON 2/0 BLUE 12X18 PRE-CUT3008,$6.89
 5550129,SUTURE TICRON 0 5X18 BLUE T-19/GS-22 D-T,$33.06
 5550130,SUTURE POLYSORB 0 36 GS-25,$31.55
 5550132,BIOSHIELD IRRIGATOR,$9.27
 5550133,SUTURE PROL O C-8412H,$18.85
 5550134,SUTURE PROL O V-7 V-7 8978H,$56.18
 5550135,SUTURE PROL O CT-1 8424,$18.69
 5550136,SUTURE SURGIPRO 1 30 BLUE GS-25 129P CP4,$8.93
 5550137,SUTURE SURGIPRO 2 30 BLUE GS-18 101T DA,$18.85
 5550138,SUTURE PROL 2 TP-18825G,$33.87
 5550139,SUTURE SURGIPRO 3/0 10 BLUE C-17 19T SP6,$8.93
 5550141,SUTURE PROL 3/0 FS-1 8684G,$20.80
 5550142,SUTURE PROL 5/0 C-1 889OH,$17.56
 5550143,SUTURE SURGIPRO 5/0 BLUE 18 P-12 SP5686G,$19.31
 5550144,SUTURE SURGIPRO 6/0 BLUE 18 SP5697G,$19.41
 5550145,SUTURE PROL 6/0 BV-1 88068,$104.16
 5550146,SUTURE SURGIPRO 5/0 18 BL C-13 07S SP661,$9.08
 5550147,SUTURE SURGIPRO 4/0 18 BLUE C-14 SP629,$8.93
 5550148,SUTURE GUT-PLAIN 1 TIES SIO5H,$24.63
 5550149,SUTURE GUT-PLAIN 2/0,$23.73
 5550150,SUTURE GUT-PLAIN 2/0 30 GS-24 CG853,$8.25
 5550151,SUTURE GUT-PLAIN 2/0 TIES L103G,$28.74
 5550152,SUTURE GUT-PLAIN 3/0 V-20 GG322,$8.34
 5550153,SUTURE GUT-PLAIN SJ G321H,$23.70
 5550154,SUTURE MONOSOF 2/0 BLACK 30 C-17 SN 674,$6.09
 5550156,SUTURE MONOSOF 3/0 BLACK 30 C-14 SN669,$6.24
 5550158,SUTURE ETHILON 7/0 P-6 1647G,$31.27
 5550159,SUTURE SURGILON 6/0 BLK 1X18 PRE-1 P-10,$10.48
 5550160,SUTURE NEUROLON 1 CT-1 5425H,$14.62
 5550161,SUTURE POLYSORB 0 30 VILOET GS-23 CK894,$6.83
 5550162,SUTURE POLYSORB 0 30 VILOET GS-22 CL884,$6.83
 5550163,SUTURE POLYSORB 0 18 UNDYED GS-21 DT CL1,$25.31
 5550165,SUTURE POLYSORB 1 36 VIOLET GS-21 CL925,$6.95
 5550166,SUTURE POLYSORB 1 60 REEL VIOLET LL115,$10.91
 5550167,SUTURE POLYSORB 2/0 18 VIOLET GS-21 DT,$25.31
 5550169,SUTURE POLYSORB 3/0 36 UNDYED GS-25 CL 9,$8.68
 5550170,SUTURE POLYSORB 3/0 18 VIOLET GS-21 DT C,$29.60
 5550171,SUTURE POLYSORB 3/0 30 VIOLET GS-22 CL88,$6.83
 5550172,SUTURE POLYSORB 4/0 30 VIOLET CV-25 229R,$13.29
 5550173,SUTURE POLYSORB 4/0 18 P-24 SL5633,$14.96
 5550175,SUTURE POLYSORB 3/0 18 UNDYED P-12 SL562,$13.94
 5550181,SUTURE MAXON GREEN 0 1X30 T12/GS-21 6267,$10.04
 5550183,SUTURE SOFTSILK 0 30 BLACK GS-231 207N C,$5.31
 5550185,SUTURE SILK 2/0 KS 632H,$11.09
 5550186,SUTURE SILK 2/0 TIES LA55G,$10.38
 5550187,SUTURE SILK 2/0 18 BLACK C-15 SS685G,$5.56
 5550188,SUTURE SILK 2/0 TIES SA85H,$16.84
 5550189,SUTURE SOFSILK 2/0 18 BLACK GS-22 DT CS1,$20.89
 5550190,SUTURE SOFSILK 2 30 BLACK V-26 VS846,$5.56
 5550192,SUTURE SILK 3/0 ST-1 K852H,$11.90
 5550193,SUTURE SILK 3/0 TIES A184H,$12.79
 5550194,SUTURE SILK 5/0,$28.64
 5550195,SUTURE SILK 5/0 FS-2 682G,$13.78
 5550196,SUTURE CHROME 0 CT 914H,$26.42
 5550197,SUTURE CHROME GUT 60 REEL 203T LG 114,$9.05
 5550198,SUTURE CHROME 0 CT3/FN2 894H,$25.46
 5550199,SUTURE CHROME 1 GUT 60 REEL LG115,$9.39
 5550200,SUTURE CHROME 2-0 GUT LH G133H,$24.66
 5550202,SUTURE CHROME 3/0 TIES L112G,$27.62
 5550203,SUTURE CHROME GUT 4/0 18 P-21 SG1658,$16.07
 5550204,SUTURE CHROME GUT 4/0 SH1 G181H,$25.21
 5550207,SUTURE CHROMIC GUT 2/0 36 GS-24 CG913,$9.24
 5550208,SUTURE CHROMIC S/ST MONO 3/0 20 C6/GS-10,$13.63
 5550210,SUTURE ETHIBOND 0 TIES 306 H,$11.09
 5550211,SUTURE NOVAFIL CL4/0 30 P-13 SPB2931,$15.23
 5550213,BLADE DERMATOME,$403.81
 5550218,BRACE ENHANCED IRON STANDARD AIRCAST,"$1,486.50"
 5550219,PENCIL CAUTERY,$82.65
 5550221,NASAL TAMPON ROLLED TELFA W/ SILK SUTUR,$15.14
 5550224,REDI CAT 2 BANANA,$63.29
 5550225,FIXER AUTO CX 10 GALLON,$242.46
 5550226,DEVELOPER X-RAY,$473.80
 5550227,NEEDLE SPINAL SPINOCAN 22 X 3.5,$17.90
 5550233,CUFF BP SOFT-CUF ADULT 1 TUBE NAVY WHITE,$34.94
 5550234,CUFF BP SOFT-CUF ADULT LONG 1 TUBE NAVY,$73.24
 5550235,COLLAR ADJUSTABLE ACE PERFIT ADULT,$68.24
 5550238,SPLINT FINGER STRIP 3/4 X 18,$10.77
 5550241,PACK OB IV,$179.51
 5550242,SET BLOOD FLUID WARMER,$125.34
 5550244,BAG INFANT AMBU,$78.61
 5550247,CLAMP UMBILICAL CORD PLST STER DISP,$11.13
 5550249,MASK FLUID SHIELD,$7.79
 5550250,CATHETER RED RUBBER 14 FR,$5.15
 5550253,COVER LIGHT HANDLE,$6.33
 5550258,NEEDLE SPINAL 22GA X 4.75 QUINCKE,$33.50
 5550259,NEEDLE SPINAL PENCAN 25GA X 3.5,$60.63
 5550260,NEEDLE SPINAL QUINCKE 25GA X 3.5,$43.40
 5550261,SET ANESTHESIA PRIMARY 107,$18.85
 5550262,STYLET INTUBATING 14 FR SILVER,$16.54
 5550263,SCOPE FLEXIBLE INTUBATION,"$4,145.75"
 5550264,BLANKET BAIR HUGGER UPPER BODY,$93.35
 5550265,BLANKET BAIR HUGGER LOWER BODY,$93.35
 5550266,AIRWAY LMA UNIQUE SIZE 3,$368.70
 5550267,AIRWAY LMA UNIQUE SIZE 4,$183.34
 5550269,HUMIDIFIER HCH/HME ADULT 150-1500ML,$23.11
 5550270,MASK MEDIUM ADULT SIZE 5,$27.47
