BRYAN W. WHITFIELD MEMORIAL HOSPITAL,,
CHARGE MASTER,,
AS OF 01/01/2019,,
,,
,,
Chg Code,Description,Charge
401092300,.PHOSPHORUS,37.00 
401092310,.URIC ACID,37.00 
401092320,.CHOLESTEROL,37.00 
401092330,.24 HR. URINE URIC ACID,12.50 
401092340,.24 HR. URINE PHOSPHORUS,51.50 
401092350,.24 HR. URINE CALCIUM,33.00 
401092360,.CREATININE CLEARANCE,89.00 
401092370,.CYSTINE SCREEN,12.50 
401092380,CITRATE,257.00 
401092400,DRUG SCREEN - D.O.T.,45.00 
401092410,"UREA NITROGEN, 24 HR URINE",80.00 
401092420,CHROMOGRANIN A,340.00 
401092430,TOPIRAMATE (TOPAMAX),321.00 
401092440,ISLET CELL ANTIBODIES,150.00 
401092510,URINE DRUG SC.W/ALCOHOL,55.00 
401092520,.DRUG SCREEN,63.00 
401092530,.ALCOHOL,93.75 
401092540,CYTOMETRY (DNA ANALYSIS),"1,010.00 "
401092560,ETHYLENE GLYCOL,75.00 
401092570,IMMUNOELECTRO 24HR URINE,137.00 
401092580,CLOSTRIDIUM Ab. (SERUM),200.00 
401092590,METHEMOGLOBIN (QUANT.),245.00 
401092610,.Al,55.00 
401092620,.B,55.00 
401092640,.ANTI - SM,220.00 
401092650,.ANTI - RNP,220.00 
401092660,Transferrin,87.00 
401092690,"HIV 1, VIRAL LOAD",844.00 
401092700,SEROTONIN (BLOOD),300.00 
401092710,.WET & DRY MOUNT,21.50 
401092720,.CONCENTRATION & I.D.,16.00 
401092730,.CULTURE (fungi),140.00 
401092740,".SMEAR, PRIMARY SOURCE",67.00 
401092750,.WET MOUNT,21.50 
401092760,.IRON,37.00 
401092770,.IRON BINDING CAP.,37.00 
401092930,Antithrombin III Assay,206.00 
401092940,Clozapine (Clozaril),190.00 
401092950,PREALBUMIN,123.25 
401092970,NMP-22 (BLADDER TUM. AG.),200.00 
401092980,ANTI-THYROID MICROSOMAL,47.50 
401092990,HEPATITIS B CORE IgM Ab.,45.00 
401093000,ARSENIC URINE,114.00 
401093670,WARFARIN LEVEL,170.00 
401093710,T3 (FREE),175.00 
401093720,PROTEIN C ANTIGEN,284.00 
401093740,ANTI-THROM. III AG. ASSY.,115.00 
401093750,ACTIVATED PRO C RESISTANC,263.00 
401093770,FLECAINIDE LEVEL (TAMBOCO,360.00 
401093830,FRUCTOSAMINE,130.00 
401093840,CHROM. ANAL. (ADD.KARYOTY,50.00 
401093850,CHROM. ANAL. (ADD. CELLS),40.00 
401093860,HCV GENOTYPE,375.00 
401093870,.ZINC,75.00 
401093880,.COPPER,50.00 
401093900,TESTOSTERONE (FREE),177.00 
401093910,ANDROSTENEDIONE,140.00 
401093920,LSD (SERUM OR URINE),140.00 
401093930,THYROGLOBULIN,130.00 
401093940,GLUTAMIC ACID DECARB. AB.,325.00 
401093950,"FACTOR V, MUTATION ANALYSIS",300.00 
401094030,Mellaril (Thioridazine),100.00 
401094100,DRUG SCREEN-URINE-LEGAL,65.00 
401094110,VANCOMYCIN - TROUGH,90.00 
401094120,GENTAMICIN - TROUGH,90.00 
401094130,TOBRAMYCIN - TROUGH,147.60 
401094140,Histoplasma Ag.- Urine,150.00 
401094160,.PARVOVIRUS IGG,288.00 
401094170,.PARVOVIRUS IGM,288.00 
401094180,.MICROSOMAL ANTIBODIES,62.00 
401094190,.THYROGLOBULIN ANTIBODY,62.00 
401094200,LAMICTAL LEVEL,279.50 
401094210,Lipid Profile-Wellness,25.00 
401094230,.FBS - 3 (1 Hr.),69.75 
401094240,.FBS - 3 (2 Hr.),23.25 
401094250,.FBS - 3 (3 Hr.),23.25 
401094270,.FBS - 4 (1 Hr.),69.75 
401094280,.FBS - 4 (2 Hr.),23.25 
401094290,.FBS - 4 (3 Hr.),23.25 
401094300,.FBS - 4 (4 Hr.),23.25 
401094320,.FBS - 5 (1 Hr.),69.75 
401094330,.FBS - 5 (2 Hr.),23.25 
401094340,.FBS - 5 (3 Hr.),23.25 
401094350,.FBS - 5 (4 Hr.),23.25 
401094360,.FBS - 5 (5 Hr.),23.25 
401094370,H. Pylori Ag. (Stool),438.00 
401094380,G-6-PD (QUANT.),90.00 
401094390,SUCROSE HYDROLYSIS,40.00 
401094400,OSMOTIC FRAGILITY,45.00 
401094420,ASO TITER,110.00 
401094430,.ANTI-SS-A,236.00 
401094440,.ANTI-SS-B,236.00 
401094450,ROCKY MTN FEVER IGG,130.00 
401094460,"ROCKY MTN SPOTTED FEVER, IGM",130.00 
401094470,ID NOT URINE,35.00 
401094480,URINE  I.D.,35.00 
401094490,.LEUKOCYTE POOR BLOOD,688.00 
401094500,FRESH FROZEN PLASMA,205.00 
401094620,PROTOPORPHYRINS (FREE RBC,179.00 
401094650,STAT FEE(UBS 11-7 WEEKEND,500.00 
401094740,ABSORPTION (AB. I.D.),100.00 
401094750,EXTENDED PHENOTYPE(AB. I.,525.00 
401094770,.INCUBATION W/ENZYMES,450.00 
401094780,.ANTIBODY I.D.(EACH PANEL,185.00 
401094790,LISS ANTIBODY I.D.,277.00 
401094800,RH PHENOTYPE (AB. I.D.),288.00 
401094810,TITRATION STUDIES(AB.I.D.,531.00 
401094820,PEG ANTIBODY I.D.,277.00 
401094840,.CALCIUM (SFP URINE),33.00 
401094850,.CREATININE URINE,37.00 
401094860,.MAGNESIUM (SFP URINE),48.50 
401094870,.PHOSPHORUS (SFP URINE),51.50 
401094880,.URIC ACID (SFP URINE),33.00 
401094890,.CYSTINE (SFP URINE),33.00 
401094900,.CITRATE (SFP URINE),89.00 
401094910,.OXALATE (SFP URINE),33.00 
401094920,"DILANTIN, FREE",35.00 
401094930,"OTHER Ab. TESTS(IHS, EGA)",80.00 
401094950,.BILIRUBIN (TOTAL),37.00 
401094960,.BILIRUBIN (DIRECT),37.00 
401094970,TRILEPTAL LEVEL,261.16 
401094980,T3 - TOTAL,115.00 
401094990,ON CALL FEE (5PM-11PM)UBS,150.00 
401095000,ADSORPTION-BB,481.00 
401095010,RH PHENOTYPE-BB,80.00 
401095020,ANTIGEN TYPING CLASS II,256.00 
401095030,ANTIGEN TYPING CLASS III,531.00 
401095040,SMOOTH MUSCLE ANTIBODY,140.00 
401095050,MYOGLOBIN (URINE),160.00 
401095060,NEAT ANTIBODY ID,230.00 
401095070,PYRUVATE,61.00 
401095080,GLUCOSE(2HR POST DOSE),61.88 
401095100,.RH - RARE,100.00 
401095110,.COMPAT TESTING - RARE,130.00 
401095120,.INCUBATION TEST - RARE,130.00 
401095130,.ANTIGLOBULIN TEST - RARE,130.00 
401095140,.THAWING,250.00 
401095150,.DEGLYCEROLIZATON,600.00 
401095160,.ANTIGEN SCRN - RARE,547.00 
401095170,.ABO TYPING - RARE,100.00 
401095190,RENAL FUNCTION PANEL,45.00 
401095200,.RHOGAM DOSE,306.00 
401095210,.FETAL SCREEN (RHOGAM),25.00 
401095220,.BLOOD TYPE(RHOGAM),110.00 
401095230,.BLOOD Rh (RHOGAM),80.00 
401095250,.RHOGAM DOSE (28),306.00 
401095260,.BLOOD TYPE (28),110.00 
401095270,.BLOOD Rh (28),80.00 
401095280,HCV-RNA,687.00 
401095290,VITAMIN B6,280.50 
401095300,RBC TREATMENT EGA/DTT/CHL,91.08 
401095310,KEPPRA (LEVETIRACETAM),262.00 
401095330,IGF-1,290.00 
401095340,LIBRIUM LEVEL,270.15 
401095370,HERPES I/II IgM,134.00 
401095380,FLUORIDE (SERUM),160.00 
401095390,GIARDIA AB (SERUM),354.00 
401095400,.CPK TOTAL,74.00 
401095410,.ISOENZYMES,74.00 
401095420,PROGRAF,375.00 
401095430,BNP,180.00 
401095450,LDL-DIRECT,133.26 
401095460,ZPP,85.00 
401095480,.ARSENIC,312.00 
401095490,.CREATININE OTHER SOURCE,37.00 
401095500,.LEAD,312.00 
401095510,.MERCURY,312.00 
401095520,.BILIRUBIN TOTAL,37.00 
401095530,.BILIRUBIN DIRECT,37.00 
401095540,.WEST NILE IgG,159.00 
401095550,.WEST NILE IgM,159.00 
401095560,RPR WITH TITER,80.00 
401095570,.CREATININE URINE(MERCURY,18.00 
401095580,.MERCURY QUANT.(MERCURY),82.00 
401095590,.STORAGE & PROCESSING PLT,40.00 
401095600,.STORAGE & PROCESSING,60.00 
401095610,.STORAGE & PROCESSING RBC,120.00 
401095620,.STORAGE & PROCESSING FFP,40.00 
401095630,.STORAGE & PROCESSING WRC,120.00 
401095640,.RBCs WASHED,900.00 
401095650,CREATININT-24 HR. URINE,35.00 
401095660,.IMMUNOFIXATION ELECTRO,84.00 
401095670,.GAMMAGLOBULINS 1,60.00 
401095680,.GAMMAGLOBULINS 2,53.00 
401095700,IMMUNOELECTRO & SPE 24 U,53.00 
401095710,.IMMUNOFIXATION ELECTRO,182.00 
401095720,.ELECTROPHORETIC FR & QU,171.00 
401095730,.INFLUENZA A,79.00 
401095740,.INFLUENZA B,79.00 
401095750,PLATEPHERESIS,"1,875.00 "
401095760,.STORAGE & PROCESSING WB,120.00 
401095770,".BLOOD, WHOLE",229.00 
401095780,"5"" NUCLEOTIDASE",156.00 
401095790,BORDETELLA PERTUSSIS CULT,95.00 
401095810,4C ANTOBODY IDENTIFICATIO,185.00 
401095820,PROTEIN-URINE RANDOM QNT,43.75 
401095830,ANTIMICROSOMAL ANTIBODY,154.00 
401095840,ENTEROVIRUS BY PCR,969.00 
401095850,PSA 50,100.00 
401095860,DNA-ds (DOUBLE STRANDED),196.00 
401095880,.ANCA,85.00 
401095890,.PANCA,85.00 
401095900,CLOSTRIDIUM DIFFICILE CUL,196.00 
401095910,"FACTOR II, DNA ANALYSIS",450.00 
401095980,.FRACT.& QUANT LIPOPROTEI,181.00 
401095990,.TRIGLYCERIDE,37.00 
401096000,.CHROMATOGRAPHY HGB ELECT,115.00 
401096010,.SICKLING OF RBC,115.00 
401096020,".CULTURE,ACID FAST BACILL",68.00 
401096030,.FLURESCENT OR AFB STAIN,83.00 
401096040,.CONCENTRATION,53.00 
401096050,HIV SCREEN-ORAQUICK,137.00 
401096060,RUBELLA ANTIBODIES IGG,45.00 
401096080,.ALPHA-FETOPROTEIN,81.00 
401096090,.ESTRIOL,81.00 
401096100,.INTACT HCG,71.00 
401096120,".PROTEIN S, TOTAL",149.00 
401096130,".PROTEIN S, FREE",149.00 
401096140,CRP QNT,80.00 
401096160,.OTHER NOT SPECIFIED 1,120.00 
401096170,.OTHER NOT SPECIFIED 2,120.00 
401096180,.OTHER NOT SPECIFIED 3,177.00 
401096190,VITAMIN B1,132.00 
401096210,.PROTHROMBIN TIME-LUPUS,45.00 
401096220,.DILUTED-LUPUS,78.00 
401096230,.THROMBIN TIME-LUPUS,78.00 
401096240,.PTT-LUPUS,60.00 
401096250,.SUBSTITUTION 1-LUPUS,85.00 
401096260,.SUBSTITUTION 2-LUPUS,85.00 
401096270,.SUBSTITUTION 3-LUPUS,85.00 
401096280,"MYCOPLASMA, DNA BY PCR",849.00 
401096290,CRYOGLOBULIN - QUAL,130.00 
401096300,OSMOLALITY (BODY FLUID),69.68 
401096310,"VITAMIN D, 25 HYDROXY",150.00 
401096320,.IGA BORDETELLA PERTUSSIS,143.00 
401096330,.IGG BORDETELLA PERTUSSIS,143.00 
401096340,.IGM BORDETELLA PERTUSSIS,143.00 
401096350,HERPES SIMP. HSV TYPE II,105.00 
401096360,ANTIMYELOPEROXIDASE(MPO)A,215.00 
401096380,.FUNGUS NOT SPECIFIED-1,222.00 
401096390,.FUNGUS NOT SPECIFIED-2,222.00 
401096400,DRUG SCREEN PRE-EMPLOYMEN,34.00 
401096410,DRUG SCREEN COLLECTION FE,35.00 
401096420,DRUG SCREEN CITY,64.00 
401096430,"GLUCOSE, BODY FLUID",110.80 
401096440,"URIC ACID, BODY FLUID",70.63 
401096450,ACH RECEPTOR ANTIBODIES,483.00 
401096470,.T-CELLS-TOTAL,254.00 
401096480,".CD4, CD8 COUNT",254.00 
401096490,.B CELLS - TOTAL,254.00 
401096500,.NATURAL KILLER CELLS-TOT,254.00 
401096520,.IMMUNO ASSAY 1,291.00 
401096530,.IMMUNO ASSAY 2,291.00 
401096540,.IMMUNO ASSAY 3,291.00 
401096550,.FLOURESCENT AB 1,291.00 
401096560,.ENDOMYSIAL ANTIBODY IGA,90.00 
401096570,THROMBIN TIME,150.00 
401096580,"OXALATE, 24 HR URINE",115.00 
401096590,".CYTOGENETICS, INTERPRET",435.00 
401096600,IRON SEND OUT,51.50 
401096610,"CRP, CARDIAC",88.00 
401096620,.INHIBIN A,96.00 
401096630,DRUG SCREEN - HAIR,73.00 
401096640,HEMOGLOBIN S (UBS),188.00 
401096650,"TESTOSTERONE, FREE (DIREC",552.00 
401096660,"IMMUNOGLOBULIN E, TOTAL",100.00 
401096670,"CALCIUM, IONIZED",115.00 
401096680,"BETA-2 MICROGLOBULIN, SER",322.00 
401096710,".OTHER SOURCE, URINE LEAD",12.00 
401096720,.LEAD,82.00 
401096730,ANTIMONY - URINE,255.63 
401096740,TIN - URINE,300.00 
401096750,LORAZEPAM (ATIVAN),245.00 
401096760,TIN - SERUM,293.00 
401096770,ALUMINUM - PLASMA/SERUM,161.25 
401096790,.CHLAMYDIA BY DIRECT PROB,150.00 
401096800,".NEISSERIA G, DIRECT PROB",150.00 
401096810,MRO REVIEW,25.00 
401096820,THYROID STIMULATING IMMUN,718.00 
401096830,HEMOSIDERIN,85.00 
401096840,.TOXIN OR ANTITOXIN ASSAY,86.00 
401096850,.CLOSTRIDIUM TOXINS,86.00 
401096860,.L/S RATIO FLUORESCENCE P,192.00 
401096880,.AMYLASE,22.00 
401096890,.ELECTROPHORETIC TECHNIQU,198.00 
401096900,"REVERSE T3, SERUM",637.00 
401096910,"METHYLMALONIC ACID, URINE",670.00 
401096930,.ANTI-SM,85.00 
401096940,.ANTI-RNP,85.00 
401096950,CATECHOLAMINES-RANDOM URI,234.00 
401096970,.OTHER SOURCE-VMA,37.00 
401096980,EPSTEIN-BARR VIRUS-IgG,110.00 
401097000,HEPATITIS C GENOTYPING,850.00 
401097010,HEAPTITIS C QUANTASURE PL,827.00 
401097020,.OVA AND PARASITES,60.00 
401097030,".SMEAR, COMPLEX STAIN",60.00 
401097050,.MULTIPLE DRUG CLASSES,106.00 
401097060,.VOLATILES,106.00 
401097070,SPECIAL SERUM STUDIES,250.00 
401097080,CALPROTECTIN,650.00 
401097090,FACTOR VIII ACTIVITY,324.00 
401097100,CD4,377.00 
401097110,"TOXOPLASMOSIS GONDII, PCR","1,069.00 "
401097120,AMPLIFIED PROBE TECHNIQUE,800.00 
401097130,DRUG SCREEN II PANEL,175.00 
401097140,FLOW MARKER FIRST,265.00 
401097150,FLOW MARKERS - ADDITIONAL,59.00 
401097160,FLOW MARKERS 16 OR MORE,655.00 
401097170,CD4:CD8 RATIO PROFILE,525.00 
401097180,PLATELET ANTIBODIES-DIREC,823.00 
401097190,MAGNESIUM URINE,36.00 
401097200,DOG HAIR / DANDER,139.00 
401097210,CAT HAIR / DANDER,139.00 
401097220,ALLERGEN EACH,24.00 
401097230,HEMOGRAM,36.00 
401097240,SENSITIVITY. ANAEROBE,309.00 
401097250,"ALBUMIN, BODY FLUID",225.00 
401097260,COLLECTION FEE,35.00 
401097270,.WEST NILE VIRUS IGM SERU,250.00 
401097280,.WEST NILE VIRUS CSF SERU,250.00 
401097290,.WEST NILE VIRUS IGM CSF,223.00 
401097300,.WEST NILE VIRUS CSF,223.00 
401097310,ACCUCHEK GLUCOSE,30.00 
401097320,FACTOR IX ACTIVITY,375.00 
401097340,".GLIADIN AB, IGA",121.00 
401097350,".GLIADIN AB, IGG",121.00 
401097360,"TISSUE TRANSGLUTSAMINASE,",165.00 
401097370,"PARATHYROID HORMONE, C-TE",274.00 
401097380,RETIC COUNT,129.00 
401097390,HERPES IgM TYPE 2,185.00 
401097410,.ADENOVIRUS,66.00 
401097420,.FLU A,79.00 
401097430,.FLU B,79.00 
401097440,.PARAINFLUENZA 1,66.00 
401097450,.PARAINFLUENZA 2,66.00 
401097460,.PARAINFLUENZA 3,66.00 
401097470,.RSV,66.00 
401097490,".METANEPHRINES, PLASMA FREE",438.00 
401097500,RAPID STREP,70.00 
401097510,THYROXINE BINDING GLOBULI,131.00 
401097520,CA 27.29,163.00 
401097540,.TISSUE CULTURE,800.00 
401097550,.ANALYSIS 20-25 CELLS,700.00 
401097560,.ADDITIONAL KARYOTYPES 1,225.00 
401097570,.ADDITIONAL KARYOTYPES 2,225.00 
401097580,.MC INTERPRET & REPORT,200.00 
401097600,.BETA 2 IGG,73.00 
401097610,.BETA 2 IGA,73.00 
401097620,.BETA 2 IGM,73.00 
401097630,BORDELLA PERTUSSIS IGM,350.00 
401097640,"HEP. B CORE AB, TOTAL",60.00 
401097650,.PLATELET ANTIBODIES 1,157.00 
401097660,.PLATELET ANTIBODIES 2,157.00 
401097670,.PLATELET ANTIBODIES 3,157.00 
401097680,.PLATELET ANTIBODIES 4,133.00 
401097690,"HEPATITIS C, ANTIBODY",140.00 
401097700,"HEPATITIS C, RNA, PCR QUA",405.00 
401097710,"CYTOMEGALOVIRUS, CMV QUAL",644.00 
401097720,HEREDITARY HEMACHROMATOSI,370.00 
401097730,CHLAMYDIA ANTIBODIES IgG,304.00 
401097740,CCP-CYCLIC CITRULLINATED,128.00 
401097760,.FOLIC ACID RBC,203.00 
401097770,GENERAL HEALTH PANEL,129.00 
401097780,METHYLMALONIC ACID - SERU,270.00 
401097790,EBV NUCLEAR ANTIGEN AB,140.00 
401097800,"PROTEIN ELECTRO, RANDOM U",163.00 
401097820,.SKIN/OTHER SOLID TISSUE,"1,845.00 "
401097830,"VARICELLA ZOSTER AB, IGM",195.00 
401097840,"VITAMIN B12, BINDING CAP",276.00 
401097850,JAK 2 MUTATION ANALYSIS,665.00 
401097930,.IMMUNOFIXATION SERUM,476.00 
401097940,.IMMUNOFIXATION OTHER,476.00 
401097960,.DNA Ab,320.00 
401097970,.EXTRACTABLE NUCLEAR ANTI,320.00 
401097980,ANTI-HISTONE ANTIBODY,137.00 
401097990,ANTISCLERODERMA-70 AB,236.00 
401098000,ANTI-JO-1,236.00 
401098010,ANTI-CENTROMERE B ANTIBOD,236.00 
401098030,.MULTIPLE ALLERGEN SCREEN,442.00 
401098040,.HERPES VIRUS PROBE I AMP,496.00 
401098050,.HERPES VIRUS PROBE II AM,496.00 
401098060,SOLUBLE TRANSFERRIN RECEP,473.00 
401098080,MITOCHONDRIAL ANTIBODY,130.55 
401098090,LKM-1 ANTIBODIES,105.00 
401098100,ALCOHOL - EMPLOYEES,93.75 
401098110,FECAL FAT QUALITATIVE,115.00 
401098130,.ANTIGEN STREP B,180.00 
401098140,.OTHER ANTIGEN 1,180.00 
401098150,.OTHER ANTIGEN 2,180.00 
401098160,.OTHER ANTIGEN 3,180.00 
401098180,ADENOVIRUS,265.00 
401098200,.A VIRUS ANTIBODY,101.00 
401098210,.B VIRUS ANTIBODY,101.00 
401098220,THYROID RELEASING HORMONE,805.00 
401098250,".PROTEIN, URINE",50.00 
401098260,.INFECTIOUS AGENT AB,247.00 
401098270,BACTERIA ID 2,30.00 
401098280,BACTERIA ID 3,30.00 
401098290,BACTERIA ID 4,30.00 
401098300,BACTERIA ID 5,30.00 
401098310,BACTERIA ID 6,30.00 
401098320,BACTERIA ID 7,30.00 
401098330,BACTERIA ID 8,30.00 
401098340,URINE BACTERIA ID 2,25.00 
401098350,URINE BACTERIA ID 3,25.00 
401098360,URINE BACTERIA ID 4,25.00 
401098370,URINE BACTERIA ID 5,25.00 
401098380,SENSITIVITY 2,30.00 
401098390,SENSITIVITY 3,30.00 
401098400,SENSITIVITY 4,30.00 
401098410,SENSITIVITY 5,30.00 
401098420,SENSITIVITY 6,30.00 
401098430,SENSITIVITY 7,30.00 
401098440,SENSITIVITY 8,30.00 
401098450,SENSITIVITY 9,30.00 
401098460,"DRUG ANALYSIS, UNKNOWN, Q",435.00 
401098470,RA TEST QUANTITATIVE,44.00 
401098480,CRP QUANTITATIVE,105.00 
401098540,DRUG SCREEN ( CEMEX),85.00 
401098550,COMPLEMENT C2,117.00 
401098560,.RUSSELL VIPER VENOM (DIL,250.00 
401098570,.THROMBIN TIME MIX,250.00 
401098580,.APTT-LA,250.00 
401098590,WOUND (SURGICAL) CULTURE,32.00 
401098600,"IMMUNOGLOBULIN A, QUANT",60.00 
401098610,THERAPEUTIC DRUG LEVEL TESTING,350.00 
401098620,.IMMUNO ASSAY 4,291.00 
401098630,CYSTATIN C,473.00 
401098640,LEAD - PEDIATRIC,30.00 
401098650,HEAPATITIS Be ANTIBODY,175.00 
401098660,HEPATITIS Be ANTIGEN,175.00 
401098670,"HEPATITID B VIRUS, DNA",834.00 
401098680,ANTIPARIETAL AB,151.00 
401098690,INTRINSIC FACTOR BLOCKING,224.00 
401098700,"EOSINOPHIL, URINE",72.00 
401098710,"EPSTEIN BARR, EA, IGG",140.00 
401098720,"VISCOSITY, SERUM",111.00 
401098730,.MOLECULAR CYTO DNA PROBE,500.00 
401098740,.100-300 CELLS INTERPASE,400.00 
401098760,NOROVIRUS,847.00 
401098770,URINALYSIS W/ REFLEX TO C,36.00 
401098780,.MOLECULAR CYTO DNA PROBE,500.00 
401098790,.CHROM IN SITU HYBRID 10-,900.00 
401098800,".CYTOGENETICS, INTERP 2",435.00 
401098820,".EHRLICHIA, DNA PROBE 1",325.00 
401098830,".EHRLICHIA, DNA PROBE 2",325.00 
401098840,"ANTICHROMATIN AB, lgG",16.00 
401098850,ANTICENTROMERE B AB,344.00 
401098860,THYROTROPIN RECEPTOR AB,430.00 
401098870,.HEXAGONAL PHASE PHOSPH,465.00 
401098880,.PTT-LA INCUB MIX,270.00 
401098890,.PTT-LA MIX,298.00 
401098900,.dRVVT MIX,344.00 
401098920,CYANIDE LEVEL,282.00 
401098930,dRVVT MIX,344.00 
401098940,dRVVT CONFIRM,344.00 
401098950,PTT-LA INCUB MIX,271.00 
401098960,PTT-LA MIX,298.00 
401098970,HEXAGONAL PHASE PHOSPHOLI,465.00 
401098990,.BARTONELLA HENSELAE IGG,83.00 
401099000,.BARTONELLA HENSELAE IGM,83.00 
401099010,.BARTONELLA QUINTANA IGG,83.00 
401099020,.BARTONELLA QUINTANA IGM,83.00 
401099030,ANITHROMBIN III ACTIVITY,153.00 
401099040,INTRINSIC FACTOR BLOCKING,381.00 
401099050,"CHOLINESTERASE, SERUM",118.00 
401099070,.UNLISTED TRANSFUSION MED,650.00 
401099080,.RBC ANTIGENS,296.00 
401099100,CORTISOL AM,122.00 
401099110,CORTISOL PM,122.00 
401099130,".GROUP II, OTHER STAIN",794.00 
401099140,.COMPUTER ASSISTED AB1,794.00 
401099150,.COMPUTER ASSISTED AB2,794.00 
401099180,"GENTAMICIN, RANDOM",90.00 
401099190,NB EAR CULTURE,80.00 
401099200,NB UMB. CORD CULTURE,80.00 
401099210,"GENTAMICIN, RANDOM",90.00 
401099220,HEMOGLOBIN S UNIT SCREEN,112.00 
401099230,"CARNITINE, TOTAL AND FREE",121.00 
401099240,ANTIPANCREATIC ISLET CELL,310.00 
401099250,"DRUG SCREEN, URINE + ALC",100.00 
401099260,IMMUNOFIXATION (IFE) URINE,105.00 
401099270,BILE ACIDS,62.00 
401099280,.ANTIBODY SCREEN (UBS),347.00 
401099290,.BLOOD TYPE (UBS),97.00 
401099300,.ABO CHARGE (UBS),121.00 
401099310,.RH CHARGE (UBS),121.00 
401099320,.ANTIHUMAN GLOBULIN TEST (UBS),369.00 
401099330,SAMPLE PICK UP/COURIER FEE,350.00 
401099340,TYPHUS FEVER,445.00 
401099350,PARASITE EXAM,46.00 
401099360,HSV CULTURE AND TYPING,200.00 
401099370,RHEUMATOID ARTHRITIS QNT,50.00 
401099380,"SODIUM, URINE RANDOM",52.00 
401099390,"POTASSIUM, URINE RANDAM",52.00 
401099400,"PH, BODY FLUID",25.00 
401099410,"PROTEIN C, FUNCTIONAL",195.00 
401099420,PROCALCITONIN,914.00 
401099430,"CELL COUNT, SEROUS FLUID",134.00 
401099440,.ATYPICAL PANCA,85.00 
401099450,VITAMIN C,70.00 
401099460,VITAMIN E,110.00 
401099470,VITAMIN K1,427.00 
401099480,ESBL-EXTENDED BETA LACTAMASE T,265.00 
401099490,"OPIATE CONFIRMATION, BLOOD",560.00 
401099500,.KAPPA LT CHAINS,116.00 
401099510,.LAMBDA LT CHAINS,116.00 
401099560,ALPHA THALASSEMIA,"1,103.00 "
401099570,BETA THALASSEMIA,"1,840.00 "
401099580,COMPUTER UNIT SEARCH/UBS,234.00 
401099590,ANTI-XA,225.00 
401099600,VON WILLEBRAND FACTOR ACTIVITY,300.00 
401099640,FACTOR VIII,286.00 
401099650,VON WILLEBRAND FACTOR(vWF) ANT,455.00 
401099670,"HYDROCODONE, URINE",242.00 
401099690,"GROWTH HORMONE, SERUM",75.00 
401099700,ANTI-DNASE B (STREP) ANTIBODIE,145.00 
401099710,"ANTI-DNA (SS) ANTIBODIES, IgG,",101.00 
401099720,BUPRENORPHINE MC,250.00 
401099730,ANTICHROMATIN ANTIBODY,220.00 
401099740,HLA B27 DISEASE ASSOCIATION,245.00 
401099761,"DRUG SCREEN 12, CLIENT BILL",40.00 
401099780,.MOLECULAR CYTOGENETICS 10-30,300.00 
401099820,SENSITIVITY BORDETELLA PERTUSS,40.00 
401099830,PANCREATIC POLYPEPTIDE,378.00 
401099840,PARATHYROID HORMONE RELATED PE,518.00 
401099850,LIPOPROTEIN (a),55.00 
401099860,"COBALT, PLASMA",300.00 
401099870,"CHROMIUM, WHOLE BLOOD",300.00 
401099880,"COBALT, WHOLE BLOOD",300.00 
401099890,"CHROMIUN, PLASMA",250.00 
401099900,"COBALT, RANDOM URINE",250.00 
401099910,"CHROMIUM, RANDOM URINE",210.00 
401099920,EXTENDED BETA LACTAMASE TEST,275.00 
401099930,"CADMIUM, URINE",100.00 
401099940,CYTOPATH FISH UR 3-5 PROBES,"3,360.00 "
401099950,NMO IGG AUTOANTIBODIES,"2,227.00 "
401099960,"CATECHOLAMINES, URINE RANDOM",105.00 
401099970,.VIRAL ISOLATION,210.00 
401099980,.VIRUS IDENTIFICATION,210.00 
401099990,VITAMIN B2 (RIBOFLAVIN),113.00 
401099991,LEPTIN,215.00 
401099992,DRUG SCREEN 12 - CLIENT,38.00 
401099993,HEMOGLOBIN S - GCH,40.00 
401099994,OXYCODONE SCREEN/CONFIRM-CLIEN,70.00 
401099995,OXYCODONE CONFIRMATION,105.00 
401099996,STAT FEE (GCH),100.00 
401099998,UWA SICKLE CELL SCREEN,25.00 
401099999,DRUG SCREEN 5 PANEL SCREEN,60.00 
401231020,ANTIGEN I SCREEN GCH,69.00 
401231030,ANTIGEN II GCH,76.00 
401812200,CYCTIC FIBROSIS PROFILE,"1,200.00 "
401835160,ANTIGLIADIN IGG,397.00 
401835200,FACTOR VIII ANTIGEN,440.00 
401873890,HIV 1/2 AB DIFFERENTIATION,355.00 
401877990,PARVOVIRUS B19 QUANT. PCR,"1,353.00 "
401878000,"CHLAMYDIA/GC, DNA PROBE W/CONF",115.00 
401878001,THROTROPIN RECEPTOR AB,353.00 
401878002,GLUTEN SENSITIVITY SCREENING,750.00 
401878003,DRUG SCREEN HAIR NOT CLIENT,122.00 
401878004,BABESIA MICROLI AB,162.00 
401878005,EHRLICHIA AB,228.00 
401878006,B HYDROXYBUTYRATE,335.00 
402027000,TPN,333.00 
402027820,NON-FORMULARY IV MISC,3.00 
402028000,MANNITOL 25% [INJ 50ML],12.50 
402033980,POTASSIUM CHLORIDE,
402035150,AMINO ACIDS 3.5% ELECTROLYTE,
402090010,D5W [50ML] INJ,20.00 
402090020,D5W [100ML] INJ,20.00 
402090030,D5W  [250ML] INJ,50.00 
402090040,D5W [500ML] INJ,50.00 
