Procedure Number,Description,Standard Charge
110721,HC GLUCOSE POST GLUCOSE DOSE,$73.41 
110723,HC GLUCOSE TOLERANCE FIRST 3 SPEC,$87.37 
110725,HC GLUCOSE TOL EA AD SPEC BEYOND3,$82.87 
110727,HC GLUCOSE 6 PHOSPHAT DEHYD QUAN,$126.92 
110729,HC G6PD SCREEN,$87.15 
110731,HC GAMMA GT,$73.36 
110733,HC GLYCATED PROTEIN,$155.53 
110735,HC FOLLICLE STIMULAT HORMONE(FSH),$189.42 
110737,HC LUTEINIZING HORMONE (LH),$188.72 
110739,HC GROWTH HORMONE,$27.80 
110741,HC HAPTOGLOBIN,$108.39 
110743,HC H PYLORI (C-13) BREATH TEST,$161.31 
110745,HC HEAVY METAL SCREEN,$332.44 
110747,HC HEAVY METAL QUAN EACH,$210.35 
110749,HC HEMOGLOBIN ELECTROPHORESIS,$155.94 
110751,HC HGB ELECTROPHORESIS (CDH),$20.22 
110753,HC GLYCOHEMOGLOBIN (A1C) VARIANT,$182.74 
110755,HC HEMOGLOBIN FRACT BY CHROM,$178.16 
110759,HC HEMOGLOBIN FETAL CHEMICAL,$83.75 
110761,HC HEMOGLOBIN F-QUAL (APT),$58.55 
110763,HC GLYCOHEMOGLOBIN (A1C) NO VAR,$98.90 
110765,HC METHEMOGLOBIN QUAN,$316.04 
110767,HC HEMOGLOBIN PLASMA,$166.49 
110769,HC SULFHEMOGLOBIN QUAN,$83.75 
110773,HC HEMOSIDERIN QUAL,$48.29 
110775,HC B HEXOSAMINIDASE ASSAY,$26.79 
110777,HC HISTAMINE ASSAY,$282.88 
110779,HC HOMOCYSTEINE,$171.91 
110781,HC HOMOVANILLIC ACID/HVA,$195.81 
110783,"HC HYDROXYCORTICOSTEROIDS, 17",$177.30 
110785,HC 5 HIAA,$131.43 
110787,"HC HYDROXYPROGESTERONE, 17-D",$302.81 
110789,"HC HYDROXYPROGESTERONE,17-D(CDH)",$47.28 
110791,HC GLIADIN ANTIBODY IGA,$199.57 
110793,HC GLIADIN ANTIBODY IGG,$199.57 
110795,HC IMMUNOASSAY QUAL/SEMI QUAN,$163.24 
110797,HC PROTEINASE 3 AB (PR3),$262.73 
110799,HC TISSUE TRANSGLUTAMINASE (TTG),$117.40 
110801,HC ACETYLCHO RECEP BIND AB,$132.78 
110803,HC GAD-65 AB,$132.78 
110805,HC IMMUNOASSAY BY RIA QUAN,$221.03 
110807,HC C1 ESTERASE INHIBIT,$127.27 
110809,HC GLOMERULAR BASE MEM ABDY,$126.04 
110811,HC IMMUNOASSAY ANALYTE QNT (CDH),$22.53 
110817,HC IMMUNOASSAY ANALYTE QNT NOS,$240.03 
110819,HC INSULIN ASSAY,$116.49 
110821,HC FREE INSULIN,$180.03 
110823,HC IRON ASSAY,$158.72 
110825,HC IRON BINDING CAPACITY,$120.80 
110827,HC KETOGENIC STEROIDS FRACT,$143.45 
110829,HC KETOSTEROIDS 17 TOTAL,$129.59 
110831,HC KETOSTEROIDS 17 FRACT,$271.34 
110833,HC LACTIC ACID,$158.61 
110835,HC LDH BLOOD,$67.42 
110837,HC LDH OTHER SOURCE,$61.49 
110839,HC LDH ISOENZYMES,$110.89 
110841,HC LACTOFERRIN FECAL (QUAL),$161.31 
110843,HC LEAD ASSAY,$168.17 
110845,HC LS RATIO FETAL LUNG,$100.62 
110847,HC FETAL LUNG MATURITY FLUORO POL,$358.10 
110849,HC LIPASE ASSAY,$247.21 
110851,HC LIPOPROTEIN A,$133.62 
110853,HC LIPOPROTEIN - PLA2,$330.07 
110855,HC LIPOPROTEIN FRAC HIGH RES,$251.22 
110857,HC LIPOPARTICLE NUM/SUBCLASS,$325.54 
110859,HC HDL CHOLESTEROL,$279.51 
110861,HC LDL DIRECT,$125.04 
110863,HC LRH HORMONE ASSAY,$174.05 
110865,HC MAGNESIUM BLOOD,$68.27 
110867,HC MAGNESIUM OTHER SOURCE,$68.27 
110871,HC MANGANESE ASSAY,$248.88 
110875,HC MASS/TANDEM SPEC ANALYTE QUAN,$180.18 
110877,HC MERCURY QUAN,$111.33 
110879,HC METANEPHRINES,$172.38 
110881,HC METHADONE ASSAY,$165.29 
110883,HC MUCIN SYNOVIAL FLUID,$59.36 
110885,HC MYELIN BASIC PROTEIN CSF,$177.51 
110887,HC MYOGLOBIN,$133.27 
110889,HC MYELOPEROXIDASE ANTIBODY,$47.51 
110891,HC NATRIURETIC PEPTIDE (BNP),$613.80 
110893,HC NEPHELOMETRY EACH NOS,$55.18 
110895,HC NICKEL ASSAY,$247.96 
110897,HC NICOTINE ASSAY,$239.69 
110899,HC NUCLEOTIDASE 5 ASSAY,$112.92 
110901,HC OLIGOCLONAL BANDS,$203.51 
110903,HC ORGANIC ACIDS TOTAL QUAN EACH,$166.62 
110905,HC ORGANIC ACIDS QUAL EACH,$542.76 
110907,HC ORGANIC ACID SINGLE QUAN,$169.88 
110909,HC OPIATES ASSAY,$197.95 
110911,HC OSMOLALITY BLOOD,$212.09 
110913,HC OSMOLALITY URINE,$171.37 
110915,HC OSTEOCALCIN ASSAY,$323.13 
110917,HC OXALATE ASSAY,$123.26 
110919,HC PARATHYROID HORMONE,$420.63 
110921,HC PH BODY FLUID NON-BLOOD,$85.68 
110923,HC CALPROTECTIN FECAL,$161.31 
110925,HC PHENYLALANINE (CDH),$77.20 
110927,HC ACID PHOSPHATASE PROSTATIC,$99.63 
110929,HC ALKALINE PHOSPHATASE,$215.00 
110931,HC ALK PHOS HEAT STABLE,$146.45 
110933,HC ALKALINE PHOSPHATASE ISOENZYME,$154.27 
110935,HC PHOSPHATIDYLGLYCEROL (PG),$168.05 
110937,HC PHOSPHORUS ASSAY,$78.66 
110939,HC PHOSPHORUS URINE,$87.73 
110941,HC PORPHOBILINOGEN URINE QUAL,$42.96 
110943,HC PORPHOBILINOGEN URINE QUAN,$87.19 
110945,HC AMNISURE POC,$695.74 
110947,HC PORPHYRIN URINE FRACT QUAN,$145.13 
110949,HC PORPHYRINS FECAL QUAN,$257.77 
110951,"HC POTASSIUM SERUM,PLASMA,WB",$60.25 
110953,HC POTASSIUM URINE,$126.60 
110955,HC PREALBUMIN ASSAY,$197.59 
110957,HC PREGNENOLONE ASSAY,$150.94 
110959,HC PROGESTERONE ASSAY,$158.71 
110961,HC PROLACTIN ASSAY,$197.51 
110963,HC PROSTATE SPECIFIC ANTIGEN(PSA),$187.40 
110965,HC PROSTATE SPECIFIC ANTIGEN FREE,$189.74 
110967,"HC PROTEIN TOTAL SERUM,PLASMA,WB",$78.66 
110969,HC PROTEIN TOTAL NON-REFRACT URIN,$134.21 
110971,HC PROTEIN TOTAL OTHER SOURCE,$195.21 
110977,HC PROTEIN ELECTRO FRACT QUAN SER,$109.44 
110979,HC PROTEIN ELECTRO OTH FLUID QUAN,$181.74 
110981,HC WESTERN BLOT W INTERP & REPORT,$172.42 
110983,"HC PRION, PROTEIN WESTERN BLOT",$27.45 
110985,HC WEST BLOT IMMUNO PROBE BAND ID,$172.38 
110987,HC PROTOPORPHYRIN RBC QUAN,$145.22 
110989,HC PROINSULIN ASSAY,$179.77 
110991,HC VITAMIN B6 ASSAY,$289.86 
110993,HC PYRUVATE ASSAY,$109.89 
110995,HC PYRUVATE KINASE,$95.46 
110997,HC RECEPTOR ASSAY NON-ENDOCRINE,$377.28 
110999,HC RENIN ASSAY,$322.76 
111003,HC SELENIUM ASSAY,$258.34 
111005,HC SEROTONIN ASSAY,$191.86 
111007,HC SEX HORMONE BINDING GLO ASSAY,$219.97 
111009,"HC SODIUM TOTAL SERUM,PLASMA,WB",$67.42 
111011,HC SODIUM URINE,$123.60 
111013,HC SODIUM OTHER SOURCE,$50.17 
111015,HC SOMATOMEDIN,$341.54 
111017,HC SPECTROPHOTOMETRY NOT SPECF,$71.07 
111019,HC SPECIFIC GRAVITY FLUID,$89.88 
111021,HC SUGARS SINGLE QUAL,$56.82 
111023,HC TESTOSTERONE FREE,$381.48 
111025,HC TESTOSTERONE TOTAL,$255.96 
111027,HC VITAMIN B-1 (THIAMIN),$219.13 
111029,HC THIOCYANATE ASSAY,$120.06 
111031,HC THYROGLOBULIN,$183.50 
111033,HC T4 (THYROXINE) TOTAL,$70.00 
111035,HC T4 (THYROXINE ) (CDH),$11.28 
111037,HC THYROXINE FREE (FT4),$101.13 
111039,HC THYROXINE BINDING GLOBULIN,$119.85 
111041,HC THYROID STIMULATING HORMONE,$171.20 
111043,HC TSH (CDH),$29.23 
111045,HC THYROID STIMULATING IMMUNOGLOB,$524.60 
111047,HC VITAMIN E ASSAY,$156.00 
111049,HC AST / SGOT,$133.43 
111051,HC ALT / SGPT,$67.42 
111053,HC TRANSFERRIN ASSAY,$130.10 
111055,HC TRIGLYCERIDES,$73.04 
111057,HC T3 UPTAKE,$63.60 
111059,HC T3 (TRIIODOTHYRONINE) TOTAL,$144.47 
111061,HC T3 (TRIIODOTHYRONINE) FREE,$654.14 
111063,HC T3 (TRIIODOTHYRONINE) REVERSE,$159.56 
111065,HC TROPONIN I QUAN,$158.72 
111069,HC BUN QUANT,$91.30 
111071,HC UREA NITROGEN URINE,$85.60 
111073,HC UREA NITROGEN CLEARANCE,$265.47 
111075,HC URIC ACID BLOOD,$67.42 
111077,HC URIC ACID OTHER SOURCE,$82.87 
111079,HC VANILLYLMANDELIC ACID (VMA) UR,$152.36 
111081,HC VASOACTIVE INTESTINAL PEPTIDE,$153.84 
111083,HC ADH VASOPRESSIN(ANTI-DIURETIC),$203.37 
111085,HC VITAMIN A ASSAY,$171.35 
111087,HC NIACIN NOS ASSAY,$111.13 
111089,HC VITAMIN K ASSAY,$138.72 
111091,HC VOLATILES,$179.25 
111093,HC XYLOSE ABSORPTION TEST,$119.91 
111095,HC ZINC ASSAY,$117.52 
111097,HC C-PEPTIDE,$260.46 
111099,HC HCG QUAN,$380.03 
111101,HC HCG QUAN MATERNAL,$368.09 
111103,HC HCG QUAN TUMOR MARKER,$368.09 
111105,HC HCG QUAL,$120.80 
111109,HC NON BLOOD SPECIMEN COLLECTION,$84.71 
111113,HC PROSTATE CANCER SCREEN PSA,$187.40 
111117,HC DRUG SCREEN MULTI CLASS 80301,$149.75 
111127,HC OXYCODONE DRUG SCREENING 80365,$131.97 
111133,HC NORTIPTYLINE 80335,$161.31 
111137,HC SALICYLATE 80329,$138.55 
111139,HC ACETAMINOPHEN 80329,$138.55 
111141,"HC ALCOHOL, ETHANOL   80320",$138.55 
111143,HC COCAINE ASSAY 80353,$242.56 
111145,HC NICOTINE ASSAY 80307,$145.16 
111147,HC HEROIN METABOLITE  80356,$131.97 
111149,HC OPIATES ASSAY 80361,$242.56 
111151,HC DRUG CONFIRMATION 80324,$145.16 
111157,HC ALLERGEN SPEC IGE QUAN SEMI EA,$48.70 
111159,HC ALLERGEN SPECIFIC IGE QUAL,$70.88 
111161,HC WBC ANTIBODY ID,$155.32 
111163,HC PLATELET ANTIBODY ID,$381.80 
111165,HC PLATELET ASSOC IMMUNOGLOB,$176.33 
111167,HC ANA,$250.09 
111169,HC ANA TITER,$113.76 
111171,HC ANTISTREPTOLYSIN O TITER,$57.34 
111173,HC ANTISTREPTOLYSIN O SCREEN,$46.53 
111175,HC C REACTIVE PROTEIN (CRP),$214.97 
111177,HC C REACTIVE PROT HIGH SENS,$131.99 
111179,HC CARDIOLIPIN AB EA IG CLASS,$25.47 
111181,HC ANTI-PHOSPHATIDYLSERINE AB,$151.01 
111183,HC COLD AGGLUTININ TITER,$83.17 
111185,HC COMPLEMENT C3,$346.13 
111187,HC COMPLEMENT C4,$346.13 
111191,HC COMPLEMENT FUNCTIONAL ACTIVITY,$160.77 
111193,HC COMPLEMENT AG TOTAL HEM (CH50),$480.02 
111195,HC CYCLIC CITRULLINATED PEPTID AB,$139.38 
111197,HC DEOXYRIBONUCLEASE AB,$134.12 
111199,HC DNA AB NATIVE DOUBLE STRANDED,$140.00 
111201,HC DNA AB SINGLE STRANDED,$119.48 
111203,HC ANTI JO-1,$152.08 
111205,HC ANTI RNP,$152.08 
111207,HC ANTI SCL 70,$152.08 
111209,HC ANTI SM,$152.08 
111211,HC ANTI SSA,$152.08 
111213,HC ANTI SSB,$152.08 
111215,HC ANTI-EXTRACTABLE NUCLEAR AG,$142.03 
111217,"HC ENA, ANY METHOD",$146.64 
111219,HC ANCA (ANTI CYTO NEUTRO ABDY),$122.63 
111221,HC ANTI-MITOCHONDRIAL ANTIBODY,$122.63 
111223,HC ANTI-SMOOTH MUSCLE ANTIBODY,$122.63 
111225,HC FLUORESCENT ANTIBODY SCREEN,$124.37 
111227,HC FLUORESCENT ANTIBODY TITER EA,$122.63 
111229,HC CA 27.29 (CA 15-3),$212.03 
111231,HC CA 19-9,$212.03 
111233,HC CA 125,$212.03 
111237,HC MONO SCREEN (HETEROPHILE),$228.40 
111239,HC IMMUNOASSAY FOR TUMOR ANTIGEN,$214.67 
111241,HC IMMUNOASSAY INFECTIOUS AGENT,$139.08 
111243,HC GEL DIFFUSION QUAL EACH,$120.87 
111245,HC IMMUNE COMPLEX ASSAY,$170.01 
111247,HC IMMUNOFIXATION ELECTROPH SERUM,$227.27 
111249,HC IMMUNOFIX ELECTRO FLD W CONC,$288.37 
111251,HC INHIBIN A,$127.19 
111253,HC INSULIN ANTIBODIES,$216.72 
111255,HC INTRINSIC FACTOR ANTIBODY,$155.53 
111257,HC ISLET CELL ANTIBODY,$128.62 
111259,HC LYMPHOCYTE TRANSFORMATION,$469.54 
111261,HC B CELLS TOTAL COUNT,$245.16 
111263,HC NK CELLS TOTAL COUNT,$180.98 
111265,HC T CELLS TOTAL COUNT,$209.53 
111267,HC T CELL ABSOLUTE CD4/CD8,$361.81 
111269,HC T CELL ABSOLUTE CD4 COUNT,$185.69 
111271,HC MICROSOMAL AB EACH,$177.06 
111273,HC NEUTRALIZATION TEST VIRAL,$171.15 
111275,HC PARTICLE AGGLUTINATION SCR EA,$175.56 
111277,HC RHEUMATOID FACTOR QUAL,$57.45 
111279,HC RHEUMATOID FACTOR QUAN,$57.86 
111281,HC TB TEST CELL IMMUN MEASURE,$631.83 
111283,HC SKIN TEST INT PPD,$207.12 
111285,HC SYPHILIS TEST QUALITATIVE,$96.41 
111287,HC SYPHILIS TEST QUAN,$13.81 
111289,HC ADENOVIRUS ANTIBODY,$111.96 
111291,HC ASPERGILLUS ANTIBODY,$154.13 
111293,HC BACTERIUM ANTIBODY NOS,$130.45 
111295,HC BARTONELLA ANTIBODY,$185.28 
111297,HC BLASTOMYCES ANTIBODY,$165.89 
111299,HC BORDETELLA ANTIBODY,$204.09 
111301,HC LYME WESTERN BLOT,$147.39 
111303,HC LYME DISEASE ANTIBODY EACH,$232.98 
111305,HC BRUCELLA ANTIBODY,$145.60 
111307,HC CAMPYLOBACTER ANTIBODY,$130.99 
111309,HC CANDIDA ANTIBODY,$121.54 
111311,HC CHLAMYDIA ANTIBODY,$122.03 
111313,HC CHLAMYDIA IGM ANTIBODY,$130.94 
111315,HC COCCIDIOIDES ANTIBODY,$107.44 
111317,HC Q FEVER (COXIELLA) AB,$114.13 
111319,HC CRYPTOCOCCUS ANTIBODY,$70.66 
111321,HC CMV ANTIBODY,$146.41 
111323,HC CMV ANTIBODY IGM,$205.00 
111325,HC ENCEPHALITIS CALIFORNIA AB,$126.32 
111327,HC ENCEPHALITIS EASTERN EQUINE AB,$126.32 
111329,HC ENCEPHALITIS ST LOUIS AB,$172.13 
111331,HC ENCEPHALITIS WESTERN EQUINE AB,$172.13 
111333,HC ENTEROVIRUS ANTIBODY,$115.74 
111335,HC EPSTEIN-BARR EARLY AG AB,$143.98 
111337,HC EPSTEIN-BARR NUCLEAR AG AB,$23.81 
111339,HC EPSTEIN BARR VIRAL CAPSID AB,$23.81 
111341,HC EHRLICHIA ANTIBODY,$172.15 
111343,HC FRANCISELLA TULARENSIS AB,$78.99 
111345,HC FUNGUS ANTIBODY NOS,$107.44 
111347,HC HELICOBACTER PYLORI AB,$149.74 
111349,HC HELMINTH ANTIBODY NOS,$163.53 
111351,HC HIV WESTERN BLOT,$347.80 
111353,HC HERPES SIMPLEX NON SPEC AB,$211.41 
111355,HC HERPES SIMPLEX TYPE 1 AB,$181.56 
111357,HC HERPES SIMPLEX TYPE 2 AB,$299.35 
111359,HC HISTOPLASMA ANTIBODY,$128.64 
111361,HC HIV-1 AB,$151.55 
111363,HC HIV-2 AB,$98.05 
111365,HC HIV-1/HIV-2 SINGLE ASSAY,$208.46 
111367,HC HEPATITIS B CORE TOTAL AB,$158.00 
111369,HC HEPATITIS B CORE ANTIBODY IGM,$119.90 
111371,HC HEPATITIS B SURFACE ANTIBODY,$109.44 
111373,HC HEPATITIS BE ANTIBODY,$119.35 
111375,HC HEPATITIS A ANTIBODY TOTAL,$126.26 
111377,HC HEPATITIS A ANTIBODY IGM,$114.74 
111379,HC INFLUENZA VIRUS ANTIBODY EACH,$133.78 
111381,HC LEGIONELLA ANTIBODY,$128.41 
111385,HC LEPTOSPIRA ANTIBODY,$128.41 
111387,HC LISTERIA MONOCYTOGENES ABODY,$133.49 
111389,HC LYMPH CHORIOMENINGITIS AB,$107.44 
111391,HC MUMPS ANTIBODY,$162.95 
111393,HC MYCOPLASMA ANTIBODY,$227.23 
111395,HC NEISSERIA MENINGITIDIS AB,$175.37 
111397,HC PARVOVIRUS ANTIBODY,$155.11 
111399,HC MALARIA ANTIBODY,$133.49 
111401,HC PROTOZOA ANTIBODY NOS,$166.94 
111403,HC RICKETTSIA ANTIBODY,$199.69 
111405,HC RUBELLA ANTIBODY,$146.71 
111407,HC RUBEOLA ANTIBODY,$131.07 
111409,HC TOXOPLASMA ANTIBODY,$148.54 
111411,HC TOXOPLASMA ANTIBODY IGM,$160.15 
111413,HC TREPONEMA PALLIDUM,$121.54 
111417,HC VARICELLA ZOSTER ANTIBODY,$137.58 
111419,HC ANTIBODY WEST NILE VIRUS IGM,$147.40 
111421,HC ANTIBODY - WEST NILE VIRUS,$61.16 
111423,HC ANTIBODY VIRUS NOT ELSE SPEC,$248.35 
111425,HC YERSINIA ANTIBODY,$133.49 
111427,HC THYROGLOBULIN ANTIBODY,$161.78 
111429,HC HEPATITIS C ANTIBODY,$130.82 
111431,HC HEPATITIS C AB CONFIRM RIBA,$263.28 
111433,HC HLA TYPING A B OR C SINGLE AG,$262.98 
111435,HC HLA TYPING MULT ANTIGENS,$305.87 
111439,HC HLA CLASS II HIGH DEFIN QUAL,$193.27 
111441,HC BLEEDING TIME,$216.36 
111443,HC WBC DIFFERENTIAL MANUAL,$35.04 
111445,HC HEMATOCRIT SPUN,$24.15 
111447,HC HEMATOCRIT,$96.48 
111449,HC HEMOGLOBIN,$90.38 
111451,HC CBC WITH AUTO DIFF,$207.64 
111453,HC CBC PLT AUTO NO DIFF,$124.58 
111455,HC RED BLOOD CELL COUNT AUTO,$31.09 
111457,HC RETICULOCYTE COUNT MANUAL,$67.55 
111459,HC RETICULOCYTE COUNT AUTO,$59.85 
111461,HC WBC LEUKOCYTE AUTOMATED,$70.81 
111463,HC PLATELET COUNT AUTO,$174.66 
111465,HC BONE MARROW SMEAR INTERP,"$3,076.82 "
111467,HC FACTOR II ASSAY,$289.56 
111469,HC FACTOR V ASSAY,$289.56 
111471,HC FACTOR VII ASSAY,$289.56 
111473,HC FACTOR VIII ASSAY ONE STAGE,$289.56 
111475,HC RISTOCETIN COFACTOR FACT 8 VW,$233.87 
111477,HC FACTOR VIII VW ANTIGEN,$219.75 
111479,HC FACTOR VIII VW MULTIMETRIC ANL,$232.27 
111481,HC FACTOR IX (PTC OR CHRISTMAS),$289.56 
111483,HC FACTOR X ASSAY,$312.14 
111485,HC FACTOR XI (PTA),$175.91 
111487,HC FACTOR XII (HAGEMAN),$312.14 
111489,HC FACTOR XIII SCREEN SOLUBILITY,$87.36 
111491,HC ANTITHROMBIN III ACTIVITY,$399.39 
111493,HC ANTITHROMBIN III ANTIGEN,$107.92 
111495,HC PROTEIN C ANTIGEN,$340.01 
111497,HC PROTEIN C ACTIVITY,$924.59 
111499,HC PROTEIN S TOTAL,$207.94 
111501,HC PROTEIN S FREE (FUNCTIONAL),$412.68 
111503,HC ACTIVATED PROTEIN C RESISTANCE,$328.06 
111505,HC FACTOR INHIBITOR TEST,$250.98 
111507,HC ACT WHOLE BLOOD,$203.97 
111509,HC ACT WHOLE BLOOD REPEAT,$48.36 
111511,HC D-DIMER QUAL,$153.79 
111513,HC D-DIMER QUAN,$266.09 
111515,HC FIBRINOGEN ACTIVITY,$153.90 
111517,HC FIBRINOGEN ANTIGEN,$83.82 
111519,HC COAGULOPATHY SCREEN,$40.70 
111521,HC PLASMINOGEN ACTIVATOR,$174.05 
111523,HC FETAL HGB KLEIHAUER BETKE,$326.03 
111525,HC FETAL SCREEN ROSETTE,$116.60 
111527,HC HEPARIN ASSAY,$728.34 
111529,HC HEPARIN NEUTRALIZATION,$119.91 
111531,HC IRON STAIN PERIPHERAL BLOOD,$62.38 
111533,HC LEUKOCYTE ALKALINE PHOSPHATASE,$104.06 
111535,HC MURAMIDASE ASSAY,$189.87 
111537,HC OSMOTIC FRAGILITY INCUBATED,$191.73 
111539,HC PLATELET AGG IN VITRO EA AGT,$218.94 
111541,HC PROTHROMBIN TIME,$122.14 
111543,HC PRO TIME SUBSTITUTION EACH,$203.71 
111545,HC RUSSELL VIPER VENOM TIME DILUT,$294.78 
111547,HC SEDIMENTATION RATE NONAUTO,$65.95 
111549,HC SICKLE CELL TEST,$116.32 
111551,HC THROMBIN TIME PLASMA,$156.06 
111553,HC THROMBOPLASTIN TIME APTT,$164.33 
111555,HC PTT SUBSTITUTION EACH,$257.25 
111557,HC VISCOSITY,$191.62 
111559,HC SPECIMEN CONCENTRATION,$96.48 
111561,HC CULTURE BLOOD W ISOL,$210.89 
111563,HC STOOL ISOLATE & PRELIM,$305.34 
111565,HC CULTURE STOOL ADD PATH EA PLAT,$108.70 
111567,HC CULTURE ROUTINE AEROBIC,$293.16 
111569,HC CULTURE AEROBIC QUAN,$93.07 
111571,HC CULTURE ANAEROBIC,$251.10 
111573,HC CULTURE ANAEROBIC ID EA ISOL,$161.41 
111575,HC CULTURE AEROBIC ID EA ISOL,$266.95 
111577,HC HELICOBACTER PYLORI UREASE,$74.31 
111579,HC RAPID UREASE TEST,$150.37 
111581,HC CULTURE PRESUMPTIVE SCREEN,$89.51 
111583,HC CULTURE URINE COLONY CT,$116.60 
111585,HC CULTURE URINE PRESUMP ID EA IS,$82.50 
111587,HC CULTURE FUNGUS SKIN HAIR NAIL,$78.59 
111589,HC CULTURE FUNGUS OTHER SOURCES,$324.89 
111591,HC CULTURE FUNGUS BLOOD,$153.16 
111593,HC CULTURE FUNGI ID YEAST,$105.18 
111595,HC CULTURE FUNGI ID MOLD,$272.86 
111597,HC CULTURE MYCOPLASMA,$163.48 
111599,HC CULTURE CHLAMYDIA,$199.61 
111601,HC CULTURE AFB MYCOBACTERIA,$221.39 
111603,HC CULTURE MYCOBACTERIA ID EACH,$107.54 
111605,HC CULTURE TYPING IF METH EA ANTI,$122.05 
111607,HC CULTURE TYPING GLC/HPLC,$187.25 
111609,HC CULTURE TYPE IMMUN PER ANTISER,$169.09 
111611,HC CULTURE TYPING NUCLEIC ACID,$197.88 
111613,HC DNA/RNA AMPLIFIED PROBE,$324.64 
111617,HC DARK FIELD EXAMINATION,$114.33 
111619,HC MACROSCOPIC EXAM PARASITE,$40.61 
111621,HC PINWORM EXAM,$57.60 
111623,HC HOMOGENIZATION TISSUE CULTR,$30.12 
111625,HC OVA & PARASITES SMR CONC & ID,$228.40 
111627,HC SUSCEPTIBILITY GRADIENT STRIP,$45.76 
111629,HC SUSCEPTIBILITY DISK METHOD,$69.81 
111631,HC SUSCEPTIBILITY ENZYME PER EA,$80.06 
111633,HC SUSCEPTIBILITY MIC PER PLATE,$141.67 
111635,HC SUSCEPTIBILITY MACROBROTH DILU,$65.49 
111637,HC SUSCEPTIBILITY MYCOBACTE EA AG,$40.62 
111639,HC SERUM BACTERICIDAL TITER,$152.07 
111641,HC SMEAR PRIM SRC GRAM/GIEMSA STA,$83.06 
111643,HC SMEAR FLUORESCENT OR ACID FAST,$115.79 
111645,HC SMEAR/STAIN FOR INCLUSION BODI,$213.79 
111647,HC SMEAR O&P COMPLEX STAIN,$174.41 
111649,HC SMEAR WET MOUNT,$199.01 
111651,HC KOH SKIN HAIR NAIL,$74.69 
111653,HC CULTURE VIRAL CYTO EFFECT,$268.95 
111655,HC CULTURE VIRAL ADDL STUDIES,$494.46 
111657,HC CULTURE VIRUS SHELL VIAL,$199.26 
111659,HC CULTURE HERPES,$342.72 
111661,HC PERTUSSIS AG IF,$383.05 
111663,HC CHLAMYDIA TRACHOMATIS AG IF,$121.39 
111665,HC CRYPTOSPORIDIUM AG IF,$116.32 
111667,HC HERPES SIMPLEX 2 AG IF,$117.90 
111669,HC HERPES SIMPLEX 1 AG IF,$117.90 
111671,HC INFLUENZA B AG IF,$121.39 
111673,HC INFLUENZA A AG IF,$121.39 
111675,HC LEGIONELLA PNEUMOPHILIA AG IF,$214.74 
111677,HC RSV AG IF,$121.39 
111681,HC INF AGENT AG NOS IF EACH,$117.90 
111683,HC INF AGNT ENZ IA ASPERGILLUS,$123.81 
111687,HC CLOSTRIDIUM DIFFICILE TOXN EIA,$225.96 
111689,HC CRYPTOCOCCUS NEOFORMANS AG EIA,$176.40 
111691,HC CRYPTOSPORIDIUM AG EIA,$125.81 
111693,HC GIARDIA AG EIA,$155.11 
111697,HC H PYLORI STOOL AG EIA,$230.79 
111699,HC HEPATITIS B SURFACE ANTIGEN,$101.49 
111701,HC HEPATITIS B SURF AG NEUTRALIZA,$104.52 
111703,HC HEPATITIS BE ANTIGEN,$187.75 
111705,HC HISTOPLASMA CAPSULATUM AG EIA,$214.02 
111707,HC HIV-1 AG W/HIV-1 & HIV-2 AB,$221.15 
111709,HC INFLUENZA A AG EIA,$199.08 
111711,HC INFLUENZA B AG EIA,$199.08 
111713,HC RSV AG EIA,$135.58 
111715,HC ROTAVIRUS AG EIA,$197.87 
111717,HC SHIGA-LIKE TOXIN AG EIA,$115.09 
111719,HC STREPTOCOCCUS GROUP A AG EIA,$123.81 
111721,HC INFECT AGENT AG NOS EIA MULTIP,$243.44 
111723,HC STREPTOCOCCUS PNEUMONIAE AG,$276.85 
111725,HC BORRELIA BURGDORFERI AMP PROB,$432.99 
111727,"HC CANDIDA, NA DIRECT PROBE",$190.33 
111729,HC CANDIDA NA AMPLIFIED PROBE,$85.01 
111733,HC CHLAMYDIA TRACHOMATIS DIR PROB,$202.94 
111735,HC CHLAMYDIA TRACHOMATIS AMP PROB,$357.69 
111737,HC C DIFFICILE TOXIN PCR,$350.13 
111739,HC CYTOMEGALOVIRUS AMP PROBE,$293.35 
111741,HC CYTOMEGALOVIRUS DNA QUAN,$423.43 
111743,HC INF AGNT DNA RNA ENTERO AMP PR,$355.22 
111745,HC INFLU DNA AMP PRBE 1ST 2 TYPES,$810.23 
111747,HC INFLUENZA DNA AMP PRB >2 TYPES,$204.72 
111749,"HC GARDNERELLA, DIR NA PROBE",$190.33 
111751,HC GARDNERELLA AMPLIF NA PROBE,$84.45 
111753,HC HEPATITIS B DNA QUANT,$441.93 
111755,HC HEPATITIS C RNA AMP PROBE,$362.16 
111757,HC HEPATITIS C RNA QUAN,$161.31 
111759,HC HERPES SIMPLEX VIRUS AMP PROBE,$291.94 
111763,HC HHV-6 DNA AMP PROBE,$355.22 
111765,HC HIV-1 DNA AMP PROBE,$362.16 
111767,HC HIV 1 DNA QUAN (VIRAL LOAD),$877.92 
111771,HC MYCOPLASMA TUBERCULOS AMP PROB,$336.11 
111773,"HC MYCOPLASMA, AMPLIF NA PROBE",$212.19 
