No.,General Description,Charge
36100388,HC DESTR CV LES; > 50 SQ CM,535.00
36100389,"HC DESTRUCT LESION, 15 OR MORE",295.00
36100389,"HC DESTRUCT LESION, 15 OR MORE",295.00
36100390,HC DESTR MLES T/A/L; 0.6-1.0 CM,295.00
36100390,HC DESTR MLES T/A/L; 0.6-1.0 CM,295.00
36100391,HC DESTR MLES T/A/L; 1.1-2.0 CM,295.00
36100391,HC DESTR MLES T/A/L; 1.1-2.0 CM,295.00
36100392,HC DESTR MLES T/A/L; 2.1-3.0 CM,295.00
36100392,HC DESTR MLES T/A/L; 2.1-3.0 CM,295.00
36100393,HC DESTR MLES T/A/L; 3.1-4.0 CM,295.00
36100393,HC DESTR MLES T/A/L; 3.1-4.0 CM,295.00
36100394,HC DESTR MLES T/A/L; > 4.0 CM,536.00
36100394,HC DESTR MLES T/A/L; > 4.0 CM,535.00
36100395,HC DESTR M LES S/N/H/F/G; 0.5 CM/<,295.00
36100395,HC DESTR M LES S/N/H/F/G; 0.5 CM/<,295.00
36100396,HC DESTR MLES S/N/H/F/G; 0.6 - 1,295.00
36100396,HC DESTR MLES S/N/H/F/G; 0.6 - 1,295.00
36100397,HC DESTR MLES S/N/H/F/G; 1.1-2.0,295.00
36100397,HC DESTR MLES S/N/H/F/G; 1.1-2.0,295.00
36100398,HC DESTR MLES S/N/H/F/G; 2.1-3.0,536.00
36100398,HC DESTR MLES S/N/H/F/G; 2.1-3.0,535.00
36100399,HC DESTR MLES F/E/E/N/L/MM; 0.5/<,295.00
36100399,HC DESTR MLES F/E/E/N/L/MM; 0.5/<,295.00
36100400,HC DESTR MLES F/E/E/N/L/MM; 0.6-1CM,536.00
36100400,HC DESTR MLES F/E/E/N/L/MM; 0.6-1CM,535.00
36100401,HC DESTR MLES F/E/E/N/L/MM; 1.1-2CM,536.00
36100401,HC DESTR MLES F/E/E/N/L/MM; 1.1-2CM,535.00
36100402,"HC MOHS, 1 STAGE, H/N/HF/G",942.00
36100402,"HC MOHS, 1 STAGE, H/N/HF/G",942.00
36100403,HC MOHS ADDL STAGE,942.00
36100403,HC MOHS ADDL STAGE,942.00
36100404,"HC MOHS, 1 STAGE, T/A/L",942.00
36100404,"HC MOHS, 1 STAGE, T/A/L",942.00
36100405,"HC MOHS, ADDL STAGE, T/A/L",942.00
36100405,"HC MOHS, ADDL STAGE, T/A/L",942.00
36100406,"HC MOHS SURG, ADDL BLOCK",942.00
36100406,"HC MOHS SURG, ADDL BLOCK",942.00
36100407,HC ASPIRATE/INJ GANGLION CYST,1578.00
36100407,HC ASPIRATE/INJ GANGLION CYST,487.00
36100408,HC REM IMPL; DEEP,4467.00
36100409,HC MONITOR INTERST FLD PRESSURE,276.00
36100410,HC GRAFT; EAR CARTILAGE,4767.00
36100410,HC GRAFT; EAR CARTILAGE,4767.00
36100411,HC CL TX CLAVICULAR FX; WO MANIP,925.00
36100411,HC CL TX CLAVICULAR FX; WO MANIP,316.00
36100412,HC CL TX HUMERUS FX WO MANIP,316.00
36100412,HC CL TX HUMERUS FX WO MANIP,316.00
36100413,HC CL TX RADIAL & ULNAR SHFT FX; WO MANIP,1723.00
36100413,HC CL TX RADIAL & ULNAR SHFT FX; WO MANIP,316.00
36100414,HC TREAT FRACTURE RADIUS/ULNA,925.00
36100414,HC TREAT FRACTURE RADIUS/ULNA,316.00
36100415,"HC CL TX MC FX, SGL; WO MANIP, EA BONE",925.00
36100415,"HC CL TX MC FX, SGL; WO MANIP, EA BONE",316.00
36100416,HC CL TX PHAL SHAFT FX; WO MANIP,1723.00
36100416,HC CL TX PHAL SHAFT FX; WO MANIP,316.00
36100417,"HC CL TX FEMORAL SHAFT FX, WO MANIP",915.00
36100418,HC CL TX PROX TIB-FIB JNT DISL; WO ANESTH,316.00
36100419,HC CL TX CALCANEAL FX; WO MANIP,316.00
36100420,HC CL TX TALUS FX; WO MANIP,316.00
36100421,HC CL TX METATARSAL FX; WO MANIP,925.00
36100421,HC CL TX METATARSAL FX; WO MANIP,316.00
36100422,"HC CL TX FX GT, PHALANX(S); WO MANIP",316.00
36100423,HC APPLY GAUNTLET CAST,200.00
36100423,HC APPLY GAUNTLET CAST,199.00
36100424,HC APPLY LONG LEG CAST,772.00
36100424,HC APPLY LONG LEG CAST,449.00
36100425,HC APPLY SH LEG CAST,573.00
36100425,HC APPLY SH LEG CAST,449.00
36100426,"HC APPLY CLUBFOOT CAST, LONG OR SHORT LEG",200.00
36100426,"HC APPLY CLUBFOOT CAST, LONG OR SHORT LEG",199.00
36100427,"HC REM GAUNTLET, BOOT OR BODY CAST",199.00
36100428,HC ABLATE INF TURBINATE SUBMUC,3283.00
36100429,"HC CONTROL NASAL HEMORRH, ANT, SIMPLE",925.00
36100429,"HC CONTROL NASAL HEMORRH, ANT, SIMPLE",221.00
36100430,HC DX NASAL ENDOSCOPY,326.00
36100430,HC DX NASAL ENDOSCOPY,352.00
36100431,"HC NASAL ENDO; W BX, POLYPECT/DEBRIDE",4136.00
36100432,"HC LARYNGOSCOPY, IND; DIAGNOSTIC",179.00
36100432,"HC LARYNGOSCOPY, IND; DIAGNOSTIC",152.00
36100433,"HC LARYNGOSCOPY, FLEX; WITH BX",4136.00
36100433,"HC LARYNGOSCOPY, FLEX; WITH BX",4136.00
36100434,"HC LARYNGOSC, FLEX/RIGIS; W STROBOSCOPY",842.00
36100434,"HC LARYNGOSC, FLEX/RIGIS; W STROBOSCOPY",842.00
36100435,HC CATH OF UMBILICAL VEIN FOR DX,79.00
36100435,HC CATH OF UMBILICAL VEIN FOR DX,79.00
36100436,"HC PHOTOPHERESIS, EXTRACORPOREAL",6363.00
36100436,"HC PHOTOPHERESIS, EXTRACORPOREAL",6362.00
36100437,"HC LIGATION OR BIOPSY, TEMPORAL ARTERY",3342.00
36100437,"HC LIGATION OR BIOPSY, TEMPORAL ARTERY",3341.00
36100438,HC BIOPSY OF LIP,654.00
36100438,HC BIOPSY OF LIP,654.00
36100439,HC INCISION OF LINGUAL FRENUM (FRENOTOMY),1456.00
36100440,HC BIOPSY OF TONGUE; ANTERIOR 2/3,1456.00
36100441,"HC BIOPSY OF PALATE, UVULA",1456.00
36100442,HC I&D ABSCESS; PERITONSILLAR,1055.00
36100442,HC I&D ABSCESS; PERITONSILLAR,654.00
36100443,HC BIOPSY; OROPHARYNX,3283.00
36100444,"HC ESOPHAGOSCOPY, DIAGNOSTIC",1672.00
36100445,HC DILATE ESOPH UNGUIDED SND/BOUG,1138.00
36100446,HC CHEMODENERVATION ANAL MUSC,4578.00
36100446,HC CHEMODENERVATION ANAL MUSC,4578.00
36100447,"HC ANOSCOPY; W BX, SINGLE/MULTI",1103.00
36100447,"HC ANOSCOPY; W BX, SINGLE/MULTI",1103.00
36100448,HC ANOSCOPY; W REM T/P/L - H BX/BIP CAUT,4357.00
36100449,HC ANOSCOPY; W ABLATION OF T/P/LESIONS,4358.00
36100449,HC ANOSCOPY; W ABLATION OF T/P/LESIONS,4357.00
36100450,"HC DESTROY ANAL LESION, SIMPLE; CHEMICAL",536.00
36100450,"HC DESTROY ANAL LESION, SIMPLE; CHEMICAL",535.00
36100451,"HC DESTROY ANAL LESION, SIMPLE; ELECTRODES",4061.00
36100451,"HC DESTROY ANAL LESION, SIMPLE; ELECTRODES",4061.00
36100452,"HC DESTROY ANAL LESION, SIMPLE; LASER SURG",4061.00
36100452,"HC DESTROY ANAL LESION, SIMPLE; LASER SURG",4061.00
36100453,HC DESTROY ANAL LESION SIMPLE; SURG EXC,4061.00
36100453,HC DESTROY ANAL LESION SIMPLE; SURG EXC,4061.00
36100454,"HC DESTROY ANAL LESION(S), EXTENSIVE",4061.00
36100454,"HC DESTROY ANAL LESION(S), EXTENSIVE",4061.00
36100455,"HC SIMPLE BLADDER IRRIGATE, LAVAGE/INSTILL",388.00
36100455,"HC SIMPLE BLADDER IRRIGATE, LAVAGE/INSTILL",386.00
36100456,"HC INS BLADDER CATH, COMPLEX",264.00
36100456,"HC INS BLADDER CATH, COMPLEX",210.00
36100457,HC TREATMENT OF BLADDER LESION,1425.00
36100457,HC TREATMENT OF BLADDER LESION,575.00
36100458,HC CYSTO W FULG OF MINOR LESIONS,4876.00
36100458,HC CYSTO W FULG OF MINOR LESIONS,4875.00
36100459,HC CYSTO W DIL OF URETHRAL STRICTURE,3254.00
36100459,HC CYSTO W DIL OF URETHRAL STRICTURE,3254.00
36100460,"HC CYSTO W REM FB/STNT, URETH/BLDR;SIMPLE",3254.00
36100460,"HC CYSTO W REM FB/STNT, URETH/BLDR;SIMPLE",3254.00
36100461,"HC DESTR LESION(S), PENIS, SIMPLE; ELECTROD",4061.00
36100461,"HC DESTR LESION(S), PENIS, SIMPLE; ELECTROD",4061.00
36100462,"HC DESTR LESION(S), PENIS, SIMPLE; LASER",4061.00
36100462,"HC DESTR LESION(S), PENIS, SIMPLE; LASER",4061.00
36100463,"HC DESTR, PENIS LESION(S)",4061.00
36100463,"HC DESTR, PENIS LESION(S)",4061.00
36100464,HC BIOPSY PENIS;,3342.00
36100464,HC BIOPSY PENIS;,3341.00
36100465,HC CIRCUMCISION W/REGIONL BLOCK,4447.00
36100465,HC CIRCUMCISION W/REGIONL BLOCK,4447.00
36100466,HC INJECTION PROCEDURE FOR PEYRONIE DISEASE,387.00
36100466,HC INJECTION PROCEDURE FOR PEYRONIE DISEASE,386.00
36100467,"HC PLACE RT DEVICE/MARKER, PROS",2628.00
36100467,"HC PLACE RT DEVICE/MARKER, PROS",2628.00
36100468,"HC DESTROY VAG LESIONS, COMPLEX",3829.00
36100468,"HC DESTROY VAG LESIONS, COMPLEX",3829.00
36100469,HC CAUTERY OF CERVIX; LASER ABLATION,3829.00
36100469,HC CAUTERY OF CERVIX; LASER ABLATION,3829.00
36100470,HC BX DONE W/COLPOSCOPY ADD-ON,140.00
36100470,HC BX DONE W/COLPOSCOPY ADD-ON,140.00
36100471,"HC LYSIS OF ADH, MULTI, 1 DAY",2529.00
36100471,"HC LYSIS OF ADH, MULTI, 1 DAY",2529.00
36100472,HC EVAL IMPL PUMP WO PROGR,486.00
36100472,HC EVAL IMPL PUMP WO PROGR,485.00
36100473,HC EVAL IMPL PUMP W PROGR,486.00
36100473,HC EVAL IMPL PUMP W PROGR,485.00
36100474,"HC INJ ANESTH ; TRIGEMINAL NERVE,",976.00
36100474,"HC INJ ANESTH ; TRIGEMINAL NERVE,",487.00
36100475,HC INJ ANESTH; FACIAL NERVE,488.00
36100475,HC INJ ANESTH; FACIAL NERVE,487.00
36100476,HC INJ ANESTH ; GREATER OCCIPITAL NERVE,866.00
36100476,HC INJ ANESTH ; GREATER OCCIPITAL NERVE,710.00
36100477,"HC NERVE BLOCK, ILIOING/ILIOHYPOGASTRIC",710.00
36100477,"HC NERVE BLOCK, ILIOING/ILIOHYPOGASTRIC",710.00
36100478,HC INJ ANESTH; PUDENDAL NERVE,1376.00
36100478,HC INJ ANESTH; PUDENDAL NERVE,1375.00
36100479,HC INJ ANESTH; OTHR PERIPHERAL NRV/BRANCH,787.00
36100479,HC INJ ANESTH; OTHR PERIPHERAL NRV/BRANCH,710.00
36100480,HC INJ PARAVERT F JNT C/T 1 LEV,2434.00
36100480,HC INJ PARAVERT F JNT C/T 1 LEV,1375.00
36100481,HC INJ PARAVERT F JNT C/T 2 LEV,941.00
36100481,HC INJ PARAVERT F JNT C/T 2 LEV,487.00
36100482,HC INJ PARAVERT F JNT C/T 3 LEV,941.00
36100482,HC INJ PARAVERT F JNT C/T 3 LEV,487.00
36100483,HC INJ PARAVERT F JNT L/S 1 LEV,2434.00
36100483,HC INJ PARAVERT F JNT L/S 1 LEV,1375.00
36100484,HC INJ PARAVERT F JNT L/S 2 LEV,864.00
36100484,HC INJ PARAVERT F JNT L/S 2 LEV,487.00
36100485,HC INJ PARAVERT F JNT L/S 3 LEV,864.00
36100485,HC INJ PARAVERT F JNT L/S 3 LEV,487.00
36100486,"HC NB INJ, HYPOGAS PLXS",1376.00
36100486,"HC NB INJ, HYPOGAS PLXS",1375.00
36100487,HC NEUROELTRD STIM POST TIBIAL,519.00
36100487,HC NEUROELTRD STIM POST TIBIAL,518.00
36100488,HC CHEMODENERV SALIV GLANDS,519.00
36100488,HC CHEMODENERV SALIV GLANDS,518.00
36100489,HC CHEMODENERVATION; FACE NERVE MUSCLES,488.00
36100489,HC CHEMODENERVATION; FACE NERVE MUSCLES,487.00
36100494,HC DESTR W NEUROLYTIC; OTHER PERIPH NRV,1376.00
36100494,HC DESTR W NEUROLYTIC; OTHER PERIPH NRV,1375.00
36100495,HC CHEMODENERV ECCRINE GLANDS,488.00
36100495,HC CHEMODENERV ECCRINE GLANDS,487.00
36100496,HC CHEMODENERV ECCRINE GLANDS,488.00
36100496,HC CHEMODENERV ECCRINE GLANDS,487.00
36100497,"HC REP LAC; APPLY TISS GLUE, SCL/CORN WNDS",977.00
36100497,"HC REP LAC; APPLY TISS GLUE, SCL/CORN WNDS",976.00
36100498,"HC EXCISE LESION, CORNEA , NOT PTERYGIUM",3103.00
36100498,"HC EXCISE LESION, CORNEA , NOT PTERYGIUM",3103.00
36100499,"HC SCRAPING OF CORNEA, DX FOR SMEAR",182.00
36100499,"HC SCRAPING OF CORNEA, DX FOR SMEAR",182.00
36100500,HC MULTIPLE PUNCTURES OF ANTERIOR CORNEA,3468.00
36100501,HC PARACENT AND EYE; W DX ASP,3103.00
36100501,HC PARACENT AND EYE; W DX ASP,3103.00
36100503,HC PARACENT ANT EYE; W REM BLOOD,4661.00
36100503,HC PARACENT ANT EYE; W REM BLOOD,4661.00
36100504,HC LASER SURGERY OF EYE,1011.00
36100504,HC LASER SURGERY OF EYE,1010.00
36100505,HC ANT CHAMBER EYE INJ,3103.00
36100505,HC ANT CHAMBER EYE INJ,3103.00
36100506,HC INJ ANTERIOR CHAMBER ; MEDICATION,2319.00
36100506,HC INJ ANTERIOR CHAMBER ; MEDICATION,2319.00
36100507,"HC REV/REP OP WOUND ANT SEGMENT,EARLY/LATE,",3103.00
36100507,"HC REV/REP OP WOUND ANT SEGMENT,EARLY/LATE,",3103.00
36100508,HC CILIARY TRANSSCLERAL PHOTOCOAG,3103.00
36100508,HC CILIARY TRANSSCLERAL PHOTOCOAG,3103.00
36100509,HC REVISION OF IRIS,1011.00
36100509,HC REVISION OF IRIS,1010.00
36100510,HC REVISION OF IRIS,1011.00
36100510,HC REVISION OF IRIS,1010.00
36100511,HC AFTER CATARACT LASER SURGERY,1011.00
36100511,HC AFTER CATARACT LASER SURGERY,1010.00
36100512,HC REPLACE EYE FLUID,5304.00
36100512,HC REPLACE EYE FLUID,5304.00
36100513,HC INTRAVITREAL INJECTION OF DRUG,617.00
36100513,HC INTRAVITREAL INJECTION OF DRUG,616.00
36100514,"HC LASER SURGERY, EYE STRANDS",1011.00
36100514,"HC LASER SURGERY, EYE STRANDS",1010.00
36100515,HC REPAIR DETACHED RETINA,3956.00
36100515,HC REPAIR DETACHED RETINA,3956.00
36100516,HC REPAIR DETACHED RETINA,1011.00
36100516,HC REPAIR DETACHED RETINA,1010.00
36100517,HC REPAIR RETINAL DETACHM; BY AIR INJ,3956.00
36100517,HC REPAIR RETINAL DETACHM; BY AIR INJ,3956.00
36100518,HC TREATMENT OF RETINA,1011.00
36100518,HC TREATMENT OF RETINA,1010.00
36100519,HC TREATMENT OF RETINAL LESION,1011.00
36100519,HC TREATMENT OF RETINAL LESION,1010.00
36100520,HC DESTR CHOROID LES W OPT,1117.00
36100520,HC DESTR CHOROID LES W OPT,1116.00
36100521,HC TREATMENT OF RETINAL LESION,1011.00
36100521,HC TREATMENT OF RETINAL LESION,1010.00
36100522,HC TENON'S CAPSULE INJECTION,617.00
36100522,HC TENON'S CAPSULE INJECTION,616.00
36100523,HC EXC OF CHALAZION; SINGLE,617.00
36100523,HC EXC OF CHALAZION; SINGLE,616.00
36100524,"HC EXC OF CHALAZION; MULTI, SAME LID",1461.00
36100524,"HC EXC OF CHALAZION; MULTI, SAME LID",1461.00
36100525,"HC EXC OF CHALAZION; MULT, DIFF LIDS",617.00
36100525,"HC EXC OF CHALAZION; MULT, DIFF LIDS",616.00
36100526,HC BIOPSY OF EYELID,617.00
36100526,HC BIOPSY OF EYELID,616.00
36100527,HC EPILATION BY FORCEPS,182.00
36100527,HC EPILATION BY FORCEPS,182.00
36100528,HC EXC EYELID LESION WO CLOSE/SMPL REPAIR,1461.00
36100528,HC EXC EYELID LESION WO CLOSE/SMPL REPAIR,1461.00
36100529,HC TEMPORARY CLOSURE OF EYELIDS BY SUTURE,1461.00
36100529,HC TEMPORARY CLOSURE OF EYELIDS BY SUTURE,1461.00
36100530,"HC CONSTR IM ADHES, MED TARSORRHAPH",3103.00
36100530,"HC CONSTR IM ADHES, MED TARSORRHAPH",3103.00
36100531,HC REPAIR ENTROPION; SUTURE,3468.00
36100531,HC REPAIR ENTROPION; SUTURE,3468.00
36100532,HC EXPRESSION OF CONJUNCTIVAL FOLLICLES,182.00
36100532,HC EXPRESSION OF CONJUNCTIVAL FOLLICLES,182.00
36100533,HC BIOPSY OF CONJUNCTIVA,977.00
36100533,HC BIOPSY OF CONJUNCTIVA,976.00
36100534,"HC EXCISION OF LESION, CONJUNCTIVA; TO 1CM",2970.00
36100534,"HC EXCISION OF LESION, CONJUNCTIVA; TO 1CM",2970.00
36100535,HC SUBCONJUNCTIVAL INJECTION,182.00
36100535,HC SUBCONJUNCTIVAL INJECTION,182.00
36100536,"HC INCISION, DRAINAGE OF LACRIMAL GLAND",617.00
36100536,"HC INCISION, DRAINAGE OF LACRIMAL GLAND",616.00
36100537,HC CLOSE LACRIMAL PUNCTUM; LASER/THERMOCAUT,617.00
36100537,HC CLOSE LACRIMAL PUNCTUM; LASER/THERMOCAUT,616.00
36100538,HC CLOSURE LAC PUNCTUM; BY PLUG (EACH),617.00
36100538,HC CLOSURE LAC PUNCTUM; BY PLUG (EACH),616.00
36100539,"HC DILATE LACRIMAL PUNTUM, W/WO IRRIGATION",182.00
36100540,"HC NASOLACR DUCT PROBING, W/WO IRRIGATION",617.00
36100540,"HC NASOLACR DUCT PROBING, W/WO IRRIGATION",616.00
36100541,HC PROBE LACRIMAL CANALICULI,375.00
36100541,HC PROBE LACRIMAL CANALICULI,375.00
36100542,HC BX EXTERNAL EAR,654.00
36100542,HC BX EXTERNAL EAR,654.00
36100543,HC BX EXTERNAL AUDITORY CANAL,3283.00
36100544,"HC DEBRIDE MASTOIDECTOMY CAVITY, SIMPL",167.00
36100545,"HC DEBRIDE MASTOIDECTOMY CAVITY, COMPL",3283.00
36100546,HC MYRINGOTOMY,654.00
36100547,"HC TYMPANOSTOMY, LOCAL; UNILATERAL",1456.00
36100548,HC REPAIR OF NAIL BED,1180.00
36100549,HC I&D PILONIDAL CYST SIMP,292.00
36100550,HC I&D PILONIDAL CYST COMP,2580.00
36100551,"HC DEBRIDE SKIN, PARTIAL TH",729.00
36100551,"HC DEBRIDE SKIN, PARTIAL TH",295.00
36100552,HC EVAC SUBUNGUAL HEMA,354.00
36100552,HC EVAC SUBUNGUAL HEMA,85.00
36100553,HC REMOVAL INGROWN TOENAIL,983.00
36100554,"HC WOUND REPAIR, SMPLE 12.6",1020.00
36100555,"HC WOUND REPAIR, SMPLE 5.1",1020.00
36100557,"HC WOUND REPR, INTRMD 5.1",1020.00
36100558,HC INS WIRE PEN SKELETAL TRACT,3028.00
36100560,HC CLS TX FX ORBIT EX BLOUT,1551.00
36100561,HC CLS PLAT/MAX FX DENTFIX,16213.00
36100562,HC TMJ DISLOCATION REDUCTION,1215.00
36100565,"HC HUMERUS FX, CLOSED",1594.00
36100566,HC SHOULDER DISLOC/CLOSED,1594.00
36100569,HC RADIAL HEAD SUBLUX/CHILD,856.00
36100569,HC RADIAL HEAD SUBLUX/CHILD,316.00
36100570,"HC RADIAL HEAL FX, CLOSED",1594.00
36100575,HC CLSD TX ULNAR SHAFT FX W/O MAN,723.00
36100576,"HC ULNAR-RADIUS FX,CLSD,W/MAN",1594.00
36100577,"HC DISTAL RADIUS FX,CLSD,W/MAN.",1594.00
36100578,HC SCAPHOID (NAVICULAR) FX,1723.00
36100580,"HC ULNASTYLOID FX, CLOSED",1723.00
36100581,HC CLS TX TRANSSCAPH FX MAN,711.00
36100582,"HC DRAIN FINGER ABSCESS,SIMPLE",1234.00
36100582,"HC DRAIN FINGER ABSCESS,SIMPLE",276.00
36100583,"HC DRAIN FINGER ABSCESS,CMPLX",6380.00
36100584,"HC METACRPL FX,CLSD,SNGL,W/MAN.",1594.00
36100584,"HC METACRPL FX,CLSD,SNGL,W/MAN.",316.00
36100585,HC CLS CARPO DISL THMB WMAN,970.00
36100586,HC MCP DISLOC W/REDUCTION,1594.00
36100587,"HC DISTAL PHALANX FX, CLOSED",1594.00
36100588,HC OPEN TX DISTAL PHAL FX,5541.00
36100589,HC IP JOINT DISLOC W/REDUCT,1594.00
36100590,HC CLSD TX POST OP ARTHR DIS,1594.00
36100592,HC KNEE DISLOCATION W/REDUC,1594.00
36100593,HC PATELLA DISLOCATION/CLOSED,1594.00
36100594,HC TIBIAL SHAFT W/O MANIP.,1723.00
36100599,HC CLSD TX ANKLE FX W/MANIP,1594.00
36100600,HC CLSD TX DISTAL TIB W/O MANIP,1723.00
36100603,HC CLD FX PHLX NOT GREAT W/O MANI,1594.00
36100604,HC CLD FX PHLX NOT GREAT W/ MANI,1594.00
36100605,HC IP JOINT DISLOCATION/CLOSED,1594.00
36100606,HC NASAL HEMM ANTER COMPLEX,381.00
36100607,HC DIRECT LARYNSCOPY,7055.00
36100607,HC DIRECT LARYNSCOPY,4136.00
36100608,HC TRACHEO CRICOTHYR MEMBRN,5220.00
36100609,HC TUBE THORACOSTOMY,1682.00
36100610,HC TRANSFUSE BLOOD OR COMP,770
36100612,HC DRAIN ABSCESS MOUTH COMP,1608.00
36100613,HC CLS LAC VEST MOUTH LESS 2.5CM,491.00
36100614,HC DRAIN ABS CYST HEMA DENT,1279.00
36100615,HC DRAIN ABSCESS PALATE,1090.00
36100616,HC RMVL F.B.-PHARYNX,361.00
36100617,HC CONT OROPHARYNGEAL HEM,2975.00
36100618,HC TX GASTRO INTUB W/ASP,217.00
36100619,HC I/D ISCHORCTL/PERIRCTL ABCES,4462.00
36100620,HC PERIANAL ABSC I&D,2559.00
36100621,HC INJ CORP CAVERNOSA PHARMA,894.00
36100621,HC INJ CORP CAVERNOSA PHARMA,417.00
36100622,HC FORESKIN MANIPULATION,787.00
36100624,HC VENTRICULAR PUNCTURE,1595.00
36100625,HC BLEPHA DRAIN ABSC EYELID,1676.00
36100625,HC BLEPHA DRAIN ABSC EYELID,616.00
36100626,HC ANOSC HIGH RESOL DX +-COLL,129.00
36100626,HC ANOSC HIGH RESOL DX +-COLL,300.00
36100627,HC ANOSC HIGH RESOL DX W/BX,1914.00
36100628,HC SURGICAL CLEANSING OF SKIN,295.00
36100628,HC SURGICAL CLEANSING OF SKIN,295.00
36100629,HC REMOVAL OF SKIN LESION,1567.00
36100629,HC REMOVAL OF SKIN LESION,1567.00
36100630,HC REMOVAL OF SKIN LESION,1567.00
36100630,HC REMOVAL OF SKIN LESION,1567.00
36100631,HC DEBRIDEMENT OF NAILS BY ANY METHOD; 1-5,167.00
36100631,HC DEBRIDEMENT OF NAILS BY ANY METHOD; 1-5,167.00
36100632,HC SKIN TISSUE REARRANGEMENT,3065.00
36100632,HC SKIN TISSUE REARRANGEMENT,3064.00
36100633,HC SKIN TISSUE REARRANGEMENT,3065.00
36100633,HC SKIN TISSUE REARRANGEMENT,3064.00
36100634,HC COMPOSITE SKIN GRAFT,4571.00
36100634,HC COMPOSITE SKIN GRAFT,4570.00
36100635,HC TREATMENT OF HIP DISLOCATION,316.00
36100635,HC TREATMENT OF HIP DISLOCATION,316.00
36100636,HC APPLY SHORT LEG CAST,449.00
36100636,HC APPLY SHORT LEG CAST,449.00
36100637,HC REMOVAL/REVISION OF CAST,200.00
36100637,HC REMOVAL/REVISION OF CAST,199.00
36100638,HC SIMPLE CYSTOMETROGRAM,1031.00
36100638,HC SIMPLE CYSTOMETROGRAM,1030.00
36100639,HC COMPLEX CYSTOMETROGRAM,1679.00
36100639,HC COMPLEX CYSTOMETROGRAM,1678.00
36100640,"HC ELECTRO-UROFLOWMETRY, FIRST",181.00
36100640,"HC ELECTRO-UROFLOWMETRY, FIRST",180.00
36100641,HC ANAL/URINARY MUSCLE STUDY,1019.00
36100641,HC ANAL/URINARY MUSCLE STUDY,1019.00
36100642,HC TREATMENT OF MISCARRIAGE,3829.00
36100642,HC TREATMENT OF MISCARRIAGE,3829.00
36100643,HC INJECTION FOR NERVE BLOCK,1376.00
36100643,HC INJECTION FOR NERVE BLOCK,1375.00
36100644,HC IMPLANT NEUROELECTRODES,12550.00
36100645,HC NERVOUS SYSTEM SURGERY,488.00
36100645,HC NERVOUS SYSTEM SURGERY,487.00
36100646,HC REMOVE EYE IMPLANT MATERIAL,3956.00
36100646,HC REMOVE EYE IMPLANT MATERIAL,3956.00
36100647,HC TREATMENT OF RETINA,1117.00
36100647,HC TREATMENT OF RETINA,1116.00
36100648,HC DESTRUC LOCALIZ LES CHOROID-1 OR MORE SESSIONS-LASER,1117.00
36100648,HC DESTRUC LOCALIZ LES CHOROID-1 OR MORE SESSIONS-LASER,1116.00
36100649,HC EYE SURGERY PROCEDURE,1117.00
36100649,HC EYE SURGERY PROCEDURE,1116.00
36100650,HC INJECT/TREAT EYE SOCKET,375.00
36100650,HC INJECT/TREAT EYE SOCKET,375.00
36100651,HC REVISE EYELASHES,617.00
36100651,HC REVISE EYELASHES,616.00
36100652,HC REPAIR EYELID DEFECT,3468.00
36100652,HC REPAIR EYELID DEFECT,3468.00
36100653,HC REPAIR EYELID DEFECT,3468.00
36100653,HC REPAIR EYELID DEFECT,3468.00
36100654,HC INCISE/DRAIN TEAR SAC,3468.00
36100654,HC INCISE/DRAIN TEAR SAC,3468.00
36100655,HC BIOPSY OF BREAST,4848.00
36100656,HC INDUCED ABORTION BY D&C,3829.00
36100656,HC INDUCED ABORTION BY D&C,3829.00
36100657,HC INJECT TENDON ORIGIN/INSERT,487.00
36100658,HC SHAVE LES S/N/H/F/G; 0.5CM/<,167.00
36100658,HC SHAVE LES S/N/H/F/G; 0.5CM/<,167.00
36100659,HC SHAVE LES S/N/H/F/G; 1.1-2.0CM,167.00
36100659,HC SHAVE LES S/N/H/F/G; 1.1-2.0CM,167.00
36100660,HC INTMD WND REPAIR N-HG/GENIT 7.6-12.5 CM,260.00
36100660,HC INTMD WND REPAIR N-HG/GENIT 7.6-12.5 CM,260.00
36100661,HC APPLY WLKR LG LEG CAST,449.00
36100661,HC APPLY WLKR LG LEG CAST,449.00
36100662,HC LARYNGOSCOPY FLEX; W REM LESION,5591.00
36100662,HC LARYNGOSCOPY FLEX; W REM LESION,5591.00
36100663,HC FINE NEEDLE ASP;W/O IMAGING GUIDANCE,263.00
36100663,HC FINE NEEDLE ASP;W/O IMAGING GUIDANCE,263.00
36100664,HC FINE NEEDLE ASP;W/IMAGING GUIDANCE,799.00
36100665,HC DEBRIDE ASSOC FX/DISLOC SKIN/SUBQ,833.00
36100666,"HC DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,=<20 SQ CM",536.00
36100667,"HC DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,BONE,=<20 SQ CM",1567.00
36100668,"HC DEBRIDEMENT, SKIN, SUB-Q TISSUE,EACH ADD 20 SQ CM",532.00
36100669,"HC EXC SKIN MALIG <5MM TRUNK,ARM,LEG",1425.00
36100669,"HC EXC SKIN MALIG <5MM TRUNK,ARM,LEG",1424.00
36100670,HC CORRECT SKIN COLR DEFCT 6.1-20SQ CM,602.00
