Charge code,Service/Charge Description,CPT/HCPCS Code,Price
27009962,Air Pump Combo Pad, ,$88.50 
27009963,Shoulder Immobilizers Sm Male, ,$49.75 
27009964,Immob Shldr Male Med 79-84035, ,$41.50 
27009965,Immob Shdr Male LG 79-84037, ,$49.75 
27009966,Shoulder Immobilizer Xl Male, ,$49.75 
27009967,Klenzalac Wound Irrigation Syt, ,$79.25 
27009970,Polar Care Knee Pad Xl, ,$297.00 
27009971,"Bandage Ace 2""", ,$465.00 
27009972,Bandage Ace 3'', A6448,$7.00 
27009973,"Bandage Ace 4""", A6448,$7.00 
27009974,"Bandage Ace 6""", A6448,$7.00 
27009976,"Belt Rib Male 28""-50""", ,$23.25 
27009977,Cast Shoe Lg Open Toe, L3265,$35.00 
27009978,Cast Shoe Med Open Toe, L3260,$35.00 
27009979,Cast Shoe Small Open Toe, L3265,$35.00 
27009980,Cast Shoe Xlg Open Toe, L3265,$35.00 
27009981,Collar Stiffneck Extall, L0150,$42.75 
27009982,Immobilizer Shlder Med Female, L3671,$49.75 
27009983,Immobilizer Shlder Xlg Female, L3671,$49.75 
27009984,Splint Colles Adult Left, L3807,$132.50 
27009985,Splint Colles Adult Right, L3807,$164.00 
27009986,Splint Colles Child Left, L3807,$203.00 
27009987,Splint Colles Pedi Right, L3807,$203.00 
27009989,Splint Colles Youth Left, L3807,$200.25 
27009990,Splint Colles Youth Right, L3807,$134.75 
27009991,Splint Thumb Right, L3922,$48.00 
27009992,Splint Wrist Cts Supp Rt Small, L3906,$33.00 
27009993,Splint Wrist Cts Supp Lt Med, L3906,$33.00 
27009994,Splint Wrist Cts Supp Rt Med, L3906,$33.00 
27009995,Splint Wrist Cts Supp Left Sm, L3906,$33.00 
27009996,Walker Equalizer Ex Small, L4386,$181.75 
27009997,Wrist Support  Left Xl, L3906,$43.75 
27010000,Walker Equalizer Large, L4386,$181.75 
27010001,Walker Equalizer Small, L4386,$181.75 
27010002,Cath External Adh Large, A4320,$16.25 
27010003,Cath External Adh Med, A4326,$16.50 
27010004,Aerochamber Pedi Yellow, ,$68.50 
27010005,Cath Secure Holder, ,$9.50 
27010006,Hose Support Thigh Xl Reg, ,$59.00 
27010008,Resuscitator Infant, ,$121.75 
27010009,Resuscitator Bag Pediatric, ,$145.50 
27010010,"Coban 2""", A6448,$9.00 
27010011,"Coban 3""", A6448,$7.00 
27010012,"Coban 4""", A6448,$9.00 
27010013,Oxisensor Infant Maxi, ,$77.50 
27010014,Oxisensor Nasal, ,$58.50 
27010015,Oxisensor Pediactric D-20R, ,$57.75 
27010016,Colostomy Bag Clamp, ,$5.50 
27010017,Colostomy Pouch 1.75 Clear, A4375,$5.50 
27010018,Colostomy Pouch, A4371,$5.50 
27010019,Powder Stomahesive 1 Oz, A4371,$20.00 
27010020,Colostomy Wafer 1.25, ,$10.00 
27010021,Colostomy Wafer 1.5, ,$9.50 
27010022,Colostomy Wafer 1.75, A4361,$9.50 
27010023,Colostomy Wafer 2.25, A4361,$9.50 
27010024,Pouch Active Life Drain, A4412,$7.00 
27010025,Brach Jewitt Medium, L0450,$600.75 
27010026,Brace Jewitt Large, L0450,$600.75 
27010027,Brace Jewitt Extra Large, L0450,$600.75 
27010028,Sling Arm Softline Large, A4565,$25.75 
27010029,Sling Arm Softline Medium, ,$25.50 
27010030,Sling Shoulder Immob W/Ball Lg, A4565,$211.25 
27010031,"Binder Abd 45-62"" 12""", L0625,$71.25 
27010033,Sling Arm Softline Sm 79-84153, A4565,$25.50 
27010034,Sling Arm Xl, A4565,$15.75 
27010035,Sling Arm Strap Medium, A4565,$20.00 
27010036,Support Hose Knee Large Long, ,$18.00 
27010037,Support Hose Knee Med Reg, ,$18.00 
27010038,Support Hose Knee Small Reg, ,$32.00 
27010039,Support Hose Knee Xl Reg, ,$32.00 
27010040,Support Hose Knee Xxl Long, ,$39.50 
27010041,Support Hose Thigh Large Long, ,$33.75 
27010042,Support Hose Thigh Large Reg, ,$33.75 
27010043,Support Hose Thigh Med Reg, ,$33.75 
27010044,Support Hose Thigh Med Long, ,$33.75 
27010045,Support Hose Thigh Med Short, ,$33.50 
27010046,Support Hose Thigh Sm Short, ,$42.75 
27010047,Support Hose Thigh Xl Long, ,$59.00 
27010048,Tube E-Tab, ,$43.50 
27010049,Nextep Contour Walker Short Sm, L4360,$278.25 
27010050,Nextep Contour Walker Short Md, L4360,$278.25 
27010051,Nextep Contour Walker Short Lg, L4360,$278.25 
27010052,Cts Wrist Support Large Left, ,$33.00 
27010053,Cts Wrist Support Xl Right, ,$26.00 
27010054,Cts Wrist Support Xl Left, ,$33.00 
27010057,Quick Fit Wrist Lt Univ, L3808,$54.25 
27010058,Quick Fit W/Thumb Rt Univ, L3808,$76.25 
27010059,Quick Fit W/Thumb Lt Univ, L3808,$76.25 
27010062,K-Pad 13x18, ,$23.25 
27010063,K-Pad 18X16, ,$29.00 
27010064,Thermometer Digital W/Cover, ,$21.00 
27010065,Colostomy Wafer 4X4, A4375,$9.50 
27010066,Collar Cervical Lg, L0120,$15.25 
27010067,Eyepatch Presspatch, ,$6.25 
27010071,"Knee Immobilizer Lg 20""", L1830,$99.00 
27010072,"Knee Immmolizer Med 20""", ,$99.00 
27010073,Knee Immoblizer Sm 79-80023, L1830,$99.00 
27010075,Walker Equalizer Ex. Large, L4386,$190.25 
27010077,K Pad 3X23, ,$24.00 
27010078,Oxisensor Lf, ,$75.00 
27010089,Scd Express Compress Knee/Med, ,$154.25 
27010091,Oxisenor Probe Reprocess, ,$22.75 
27010097,Cath External Sil Adh, ,$9.00 
27010099,Cast Shoe X-Small Open Toe, ,$35.00 
27010100,Pouch Colostomy 2.75 Clear, A4375,$5.50 
27010101,Pouch Colostomy Sur-Fit, A4375,$5.75 
27010102,Pouch Colostomy 1.75 White, A4375,$5.25 
27010103,Pouch Colostomy 2.25 White, A4375,$10.75 
27010104,Pouch Colostomy 1.5 White, A4375,$10.75 
27010105,Pouch Colostomy 2 3/4 Tan, A4375,$9.75 
27010106,Pouch Active Life Drain, A4375,$9.00 
27010107,Aerochamber With Mask Adult, ,$79.75 
27010108,Supporter Athletic Med T091002, ,$28.25 
27010109,Cath External, ,$6.25 
27010110,Collar Cervical Med, L0120,$15.25 
27010113,Sling Shoulder Immob M/W Ball, L3675,$249.75 
27010114,Sling Shoulder Immob Lg/W Ball, L3675,$249.75 
27010115,Collar Aspen Cervical Reg, ,$246.25 
27010116,Collar Aspen Cervical Short, L0120,$151.75 
27010117,Collar Aspen Cervical Short, L0120,$266.75 
27010118,Scd Express Compres Slv/Lgknee, ,$245.75 
27010119,"Coban 6""", A6448,$7.00 
27010120,Profore Complete, ,$68.75 
27010121,Profore Lite, ,$47.00 
27010122,Breast Pump Flange Medium, ,$36.00 
27010123,Breast Pump Flange Large, ,$36.00 
27010124,Breast Pump Flange X-Large, ,$36.00 
27010125,"Wound Pouch 6.9""x4.3""", ,$36.50 
27010126,Vascular Access Lock, ,CALL
27010127,Shoe M/S X-Small 79-81132, ,$23.00 
27010128,Cts Wrist Support Right Xl, ,$33.00 
27010129,Shoe M/S Small 79-81133, ,$17.25 
27010130,Shoe M/S Large 79-81137, ,$17.25 
27010131,Shoe M/S Med 79-81135, ,$29.00 
27010132,Comfort Wrist W/ Thumb Rt Sm, ,$80.25 
27010133,Comfort Wrist W/ Thumb Rt Med, ,$80.25 
27010134,Brace Thumb Spica Left Right, ,$138.00 
27010135,Brace Thumb Spica Small Left, ,$75.00 
27010136,Comfort Wrist W/ Thumb Lt Med, ,$80.25 
27010137,Comfort Wrist W/ Thumb Lt Lg, ,$75.00 
27010138,Unna Boot 4'' 23631-002, ,$40.00 
27010139,Airway Oral 9cm #00091, ,$4.75 
27010140,Airway Oral 8cm #00088, ,$4.75 
27010141,Airway Oral 7cm #00087, ,$4.75 
27010142,Airway Oral 6cm #00085, ,$7.00 
27010143,Airway Oral 5cm #00083, ,$7.00 
27010144,Supporter Athletic Lrg 910-03, ,$23.75 
27010145,Supporter Athletic XL T091004, ,$78.00 
27010146,"Knee Immobolizer 12"" 79-80003", ,$76.50 
27010147,OB Lactation Kit, ,$103.50 
27010148,Splint Wrist W/ Thumb Sm/Lt, ,$80.25 
27010149,Wrist Splint W/Thumb Lrg Left, ,$80.25 
27010150,Arm Sling Hemi Small Lt, ,$426.75 
27010151,IMM Shoulder Med Univ, ,$49.75 
27010152,Wrist Support Sm/Lt, ,$48.75 
27010153,Wrist Support Sm/Rt, ,$48.75 
27010154,Wrist Support Large Rt, ,$48.75 
27010155,Armband Tennis Elbow Univ, ,$25.25 
27010156,"Armband Tennis Elbow 1/8""", ,$45.50 
27010157,Thumb Guard Med/LT, ,$72.00 
27010158,Wrist Suppt RT XL 79-87298, ,$48.75 
27010159,Splint Wrist SM Left, L3807,$134.75 
27010160,Spint Colles Infant Lft, L3807,$64.00 
27010161,Splint Colles Infant Rt, ,$156.00 
27011336,Flip Cutter AR1204AF-60, ,"$1,098.50 "
27011337,Pad XL Pink Position Kit, ,$428.50 
27011338,Aromatabs Lavender Elequil, ,$12.50 
27011339,AIR-Q DISP SZ 3.5, ,$53.75 
27011340,AIR-Q DISP SZ 2.5, ,$53.75 
27011341,AIR-Q DISP SZ 1.5, ,$53.75 
27011342,AIR-Q DISP SZ 4.5, ,$53.75 
27011343,Pico Dressing 4x8 w/pump, A9272,$134.50 
27200979,Drill Bit 2.7X160, ,"$1,026.50 "
27209842,Cath Access 6Fr, ,$76.00 
27209843,Cath Kumpe Access 5Fr, ,$137.00 
27209844,Needle Mitty Pollack 18ga, ,$204.00 
27209845,Percutaneous Entry Set, A5200,$613.75 
27209846,Cath Balloon Occulsion 3Fr, C2628,$640.75 
27209847,Device Force Triverse, ,$205.75 
27209848,Extractor/Basket Stone (All), C1773,$696.75 
27209849,Grasper 3.0 Delta Wire, C1773,$728.00 
27209850,Grasper 3 Prong 2.5 G16702, C1773,$538.00 
27209851,Cath  Dual Lumen 12.0X3.0X35Cm, ,$213.25 
27209852,Cath Ureteral Duallumen Aq5/10, C1758,"$7,103.25 "
27209853,Urethral Dilator Set, C1726,$730.25 
27209854,Wireguide Ptfe 038X145, C1769,$85.00 
27209855,Sealer/Divider Ligasure V5mm, ,"$1,737.25 "
27209856,D&C Complete Colleciton System, ,$70.75 
27209857,Blade Tka Zimmer, ,$619.00 
27209859,Spot Gi Ink Marking, ,$158.25 
27209866,Bone Biopsy Needle 17840020, ,$288.50 
27209872,Tip Ultrachopper 0.9, ,$571.50 
27209873,Esohpyx 2-Link Device, ,"$9,426.75 "
27209874,Esohpyx 3-Link Device, ,"$9,426.75 "
27209875,Esophyx Cartridge 6.5, ,$739.00 
27209876,Esophyx Cartridge 7.5, ,$776.00 
27209878,Kit Bss Adminstration, ,$41.75 
27209879,Strap Head Restraint, ,$43.75 
27209880,Sealer/Divider Ligasure Ls1500, ,"$1,663.75 "
27209881,Sawblade Stryker 2000, ,$272.00 
27209884,Oxyflex (Airplane), ,$52.25 
27209885,Tip Intramedullary, ,$129.00 
27209886,Endo Injector Needle, ,$149.25 
27209887,Needle Touhy 17X6, ,$74.25 
27209888,Needle Stamey 15 Deg, ,$597.50 
27209889,Retriever Food Bolus, ,$344.25 
27209890,Suction Valve Bronch NGL2166, ,$46.00 
27209891,Adapter Urology, ,$89.00 
27209892,Cautery Pen Eye, ,$35.00 
27209893,Cautery Cable Eye, ,$43.75 
27209894,Needle Touhy 18/20, ,$37.75 
27209895,Introducer Percutaneous Set, C1983,$272.75 
27209896,Drill Bit F.A.S.T 2.0mm, ,$514.00 
27209897,Drill Bit 2.5MM DVR DB25, ,$514.00 
27209898,Staple Ortho Richards Xsm/Sm, ,$667.75 
27209899,Staple Ortho Richards Med/Lg, ,$640.75 
27209900,Fixation Salute Tacker, ,$732.75 
27209901,Cath Kumar Cholangio, ,$175.50 
27209902,Set Suprapubic Access, C2627,$336.50 
27209903,Needle Cystoscopic, ,$83.75 
27209904,Retractor Stay Surgical, ,$205.00 
27209905,Cranioblade, ,$338.00 
27209906,Cranio Perforator 14mm, ,$581.50 
27209907,Cranio Perforator 11mm, ,$753.75 
27209908,Cannula Hydro 25ga, ,$37.25 
27209909,Snare Polyp Standard Oval, ,$187.25 
27209910,Retractor Sharp Hook, ,$43.75 
27209911,Retractor Two Fingers, ,$204.00 
27209912,Syringe Vision Blue, ,$212.25 
27209913,Kit Airway Kltsd Size 4, ,$211.25 
27209914,Kit Airway Kltsd Size 3, ,$211.25 
27209915,Tip Ultrachopper 0.9, ,$476.75 
27209916,Tube T Modified (Ear), ,$117.25 
27209917,Snare Polyp Mini Oval, ,$151.00 
27209921,Cath Foley Universal Silicone, C1729,$80.25 
27209922,Snare Polyp Rotator Mini, ,$151.00 
27209923,Cath Stamey Superpubic, C2627,$263.25 
27209924,Biopsy Bigopsy Backload, ,"$1,119.75 "
27209925,Guidewire Amplatz 038, ,$132.25 
27209968,Forceps Cup Backload G48240, ,"$1,569.75 "
27209969,Guidewire Amplatz .035 G53568, C1769,$191.75 
27209972,Snare Polp Xtra Small, ,$49.00 
27209973,Drill Bit 4.0 Short, ,$586.75 
27209974,Sensor Bis Quatro, ,$89.00 
27209975,Ligasure Small Jaw Curved, ,"$1,797.25 "
27209976,Drill Bit 4.0 Long, ,$647.00 
27209977,Fast-Fix Straight Needle, C1713,$979.75 
27209978,Fast Fix Curved Needle, C1713,$790.75 
27209979,Knot Pusher/Cutter, A4649,$448.00 
27209980,Jejunal Feeding Tube, ,$745.00 
27209981,Bio-Patch Blue 3/4X1.5mm, ,$40.75 
27209982,Bio-Patch White 1X4.0mm, ,$37.75 
27209983,Tray Cath Urethal, C1758,$12.50 
27209984,Quease/Ease, ,$34.75 
27209985,Flexi-Seal Fms Kit, A4331,$753.75 
27209986,Afo-C-50 Type Brace Rt Sm, L1930,$263.25 
27209987,Afo-C-50 Type Brace Rt Med, L1930,$263.25 
27209988,Afo-C-50 Type Brace Rt Lg, L1930,$263.25 
27209989,Afo C-50 Type Brace Lt Sm, L1930,$263.25 
27209990,Afo C-50 Type Brace Lt Med, L1930,$263.25 
27209991,Afo C-50 Type Brace Lt Lg, L1930,$263.25 
27209992,Salem Sump Tube 10Fr, ,$8.25 
27209993,Salem Sump Tube 12Fr, ,$8.25 
27209994,Tube Salem Sump 14Fr, ,$8.25 
27209995,Salem Sump Tube 16Fr, ,$8.25 
27209996,Salem Sump Tube 18Fr, ,$8.25 
27209997,Cash Back Brace, L0472,$980.25 
27209998,Cath Kit Female, C1758,$15.75 
27210000,Electrodes 2X2, A4556,$6.00 
27210001,Electrode 2X4, A4556,$6.50 
27210002,Dressing Comprilan 8X5, A6442,$26.75 
27210003,Dressing Comprilan 10X5, A6442,$31.75 
27210004,Silvasorb Gel, ,$26.75 
27210005,Dressing Meplix 3X3, A6254,$12.00 
27210006,Tube Levin 12Fr, ,$6.25 
27210007,Levine Tube 14Fr, B4083,$217.00 
27210008,Tube Levin 16Fr, ,$217.00 
27210009,Tube Levin 18Fr, ,$217.00 
27210010,Dressing Meplix 4X4, A6254,$13.00 
27210011,Dressing Meplix 4X4, A6255,$18.00 
27210012,Dressing Melpix 6X6, A6254,$30.50 
27210013,"Electrode 2"" Round", A4556,$15.25 
27210014,Electrodes 2X3 1/2 Retangle, A4556,$19.75 
27210015,Suture Vicryl 1 Vcp371H, A6407,$12.00 
27210016,Needle Stimiuplex Ultra 20X6, A6407,$74.25 
27210017,Bandage Comprilan 12X15, A6407,$37.00 
27210018,Dressing Mepore Pro 3.6X4, ,$5.75 
27210019,Cath Thoracic 36Fr Rt, C1729,$40.50 
27210020,Suction Frazier 10Fr, ,$56.50 
27210021,Suction Frazier 12Fr, ,$11.50 
27210022,Suction Frazier 8Fr, ,$13.00 
27210023,Specimen Luki Tube, ,$8.50 
27210024,Specimen Trap Pedi Delee, ,$14.75 
27210025,Cath Suction 10Fr, C1729,$7.00 
27210026,Cath Suction 14Fr, C1729,$7.00 
27210029,Tray Skin Scrub Wet, ,$20.25 
27210030,Tube Endo Cuffed 6.5 86050 LF, ,$31.75 
27210031,Tube Endo Cuffed 6.0 86049LF, ,$9.75 
27210032,Tube Endo Cuffed 7.0 86051 LF, ,$9.75 
27210033,Tube Endo Cuffed 7.5 86052 LF, ,$9.75 
27210034,Tube Oral Rae 8.5 Cuffed 86207, ,$140.00 
27210035,Tube Endo 8.0 Cuffed 86053 LF, ,$6.25 
27210036,Stylet Intubating 14Fr, ,$13.50 
27210037,Stylet Intubating 6Fr, ,$13.50 
27210038,Tray Enema Adm Set, ,$28.25 
27210039,Collector Urine Pediatric, C1729,$5.75 
27210040,Cath Foley 14Fr 2Way 5CC, C1729,$18.00 
27210041,Cath Foley 16Fr 2Way 5CC, C1729,$18.00 
27210042,Tubing Berkley D&C, ,$47.75 
27210043,Kit Nasal Aspiraton, ,$113.00 
27210044,Disinpactor Kit, A6257,$153.00 
27210045,Tegederm Dressing 2 3/8X2 3/4, A6259,$15.75 
27210046,Tubing Connect 3/16X72, ,$5.75 
27210047,Oral Rae Tube 5.5 Uncuf 86268, A6223,$16.25 
27210048,Drape Steri Ortho 1015, ,$38.50 
27210049,Cutter Tomcat Angle 4.5mm, ,$265.00 
27210050,Blade Tomcat 5.0mm, ,$364.00 
27210052,Dressing Telfa 3X8, A6207,$8.00 
27210053,Tray Suction Cath 10Fr, C1729,$6.00 
27210054,Cutter Resector 5.5mm, ,$265.25 
27210055,Bur Flute Barrel 4.0mm, ,$211.25 
27210056,Bur 6 Flute Hollow Round 5.5mm, ,$263.00 
27210057,Bur 12 Flute Round 4.0mm, ,$263.00 
27210058,Bur Flute Barrel 5.5mm, ,$263.00 
27210059,Cutter Aggres. Sm Joint 3.5mm, ,$262.00 
27210060,Cutter Aggres. Plus 4.0mm, ,$265.25 
27210061,Cutter Radius Sm Joint 2.5mm, ,$262.00 
27210062,Cutter Agress. Sm Joint 2.5mm, ,$262.00 
27210063,Bur Hooded Abrs Sm Joint 2.0mm, ,$265.00 
27210065,Bandage Ace 3= Sterile, A6450,$10.00 
27210066,Bandage Ace 6= Sterile, A6450,$12.50 
27210069,Combitube 41Fr, ,$197.25 
27210070,Combitube 37Fr, ,$197.25 
27210073,Mastisol, ,$12.00 
27210076,"Cautery Probe Spacula 36""", ,$220.50 
27210077,Cautery Probe Right Angle, ,$178.00 
27210078,Cautery Probe L Hook, ,$222.00 
27210079,Stapler Reload Tr45G, ,$546.00 
27210080,Stapler Reload Gr45B, ,$824.75 
27210081,Stapler Reload 6R45M, ,$523.50 
27210082,"Feeding Tube 5Fr 16""", ,$7.50 
27210083,"Feeding Tube 5Fr 36""", ,$6.25 
27210084,"Feeding Tube 8Fr 16""", ,$5.75 
27210085,"Feeding Tube 8Fr 36""", ,$7.00 
27210086,Drain Jackson Pratt 10mm, ,$48.00 
27210087,Tube Connecting 9/32 X 10Ft, ,$5.75 
27210088,"Needle Spinal 18Gx3""", ,$7.50 
27210089,Needle Spinal 20GAx3 1/2, ,$7.25 
27210090,Needle Spinal 25G X 2, ,$7.00 
27210091,Cath Foley Sil 16Fr 2Way 30Cc, C1729,$25.00 
27210092,Cath Foley Sil 22Fr 2Way 30Cc, C1729,$25.00 
27210093,Cath Foley 16FR 2Way 5Cc Lf, C1729,$17.50 
27210094,Cath Foley 18Fr 2Way 5Cc Lf, C1729,$18.75 
27210095,Cath Robinson 8Fr, C1758,$10.25 
27210096,Cath Robinson 10Fr, C1758,$21.75 
27210097,Cath Robinson 12Fr, C1758,$5.75 
27210098,Cath Robinson 14Fr, C1758,$5.75 
27210099,Cath Robinson 16Fr, C1758,$21.75 
27210100,Cath Foley 18Fr 2Way 5Cc, C1729,$18.00 
27210101,Cath Foley 20Fr 2Way 5Cc, C1729,$18.00 
27210102,Cath Foley 24Fr 2Way 5Cc, C1729,$18.00 
27210103,Cath Foley 22Fr 3Way 5Cc, C1729,$44.50 
27210107,"Sponge Peanut 3/8""", ,$6.25 
27210108,Sponge Lap 18X18, ,$5.75 
27210109,"Cautery Tip 4""", ,$138.50 
27210110,Cautery Tip Non Stick, ,$22.25 
27210111,Cautery Cord Vally Lab, ,$15.25 
27210112,Cautery Pencil Handswitch, ,$29.75 
27210113,Suction Coagulator, ,$27.50 
27210115,Neptune Penadapt Smoke Evac, A4649,$89.00 
27210116,Electrode Quick Combo Ped, A4556,$160.75 
27210117,Cath Uretreal Balloon G32837, C1758,$973.25 
27210118,Cath Utereal Balloon G32834, C1758,$796.50 
27210119,Drill Bit 2.7X100, ,$289.25 
27210120,Drill Tap 2.0X45, ,$351.75 
27210122,Blade Beaver/Tympano Ent, ,$82.75 
27210123,Foley Level 1 400 Thermister, C1757,$79.25 
27210124,Rapid Rhino Epistaxis 7.5cm, ,$176.50 
27210125,Rapid Rhino Epistaxis 5.5cm, ,$129.00 
27210126,Katz Extractor, ,$286.75 
27210127,Alger Brush Replacement Bur, ,$48.00 
27210128,Hemcon Dental Dressing, ,$86.00 
27210129,Bur 1/2mm Alger Brush II, ,$207.00 
27210130,Power Loc (Port A Cath Acc), ,$82.75 
27210131,Neonatal Speci-Cath Kit 5Fr, A4353,$8.50 
27210132,Cvp Pediatric Kit Two Lumen, C1752,$340.75 
27210133,Tru Close Thor Vent Chest Tube, ,$811.25 
27210134,Thal-Quick Chest Tube Tray 12F, ,$614.75 
27210135,Set Pneumothorax Wayne, ,$627.75 
27210136,Pericardiocentesis Kit, C1759,$601.75 
27210137,Endotrach Tube Intro Str 15Fr, C1894,$46.00 
27210139,Facial Plastic Kit Sterile, ,$128.00 
27210140,Chth Word Bartholin Gland 5CC, ,$130.75 
27210141,Punch Biopsy 4mm Acu, ,$7.00 
27210142,"Aqualcel Ag Dressing 39""X18""", ,$66.00 
27210143,Introducer Peel A Way 9Fr, C1892,$161.00 
27210144,Kit Perivac Pericardiocent, C1729,$632.00 
27210145,Kit Pace Cath 6Fr No Balloon, C1756,$637.75 
27210146,Blade Beaver/Tympano, ,$16.75 
27210148,Cath Spring Guide J .6mL, C1887,$166.00 
27210149,Cath Umbilical 5Fr, ,$81.25 
27210150,Cath Umbilical 8Fr, ,$87.00 
27210151,Nasostat Regular, ,$264.25 
27210152,Drill Bit 2.7X160mm Canulated, ,"$1,660.75 "
27210153,Drill Bit 2.5X110mm Gold, ,$376.00 
27210154,Cath Foley 8Fr 2Way 3CC, C1729,$31.00 
27210155,Cath Open End Acc 5Fr, C1729,$71.25 
27210156,Cath Uret Dual Lumen, C1758,$191.00 
27210157,Dressing Polymem Silver 4X4, A6210,$63.25 
27210158,Dressing Aquacel Ag 3/4X18, ,$80.25 
27210159,Kit Woundvac Suct Sil 10mm, ,$66.75 
27210160,Drape Trans Lap, ,$42.75 
27210161,Cath Embolectomy 4Fr, C1757,$358.00 
27210162,Cath Embolectomy 5Fr, C1757,$374.25 
27210163,Tray Trach Care, ,$5.75 
27210165,Cleanser Skin Care, ,$5.75 
27210167,Dressing Medpore 3.6X8, ,$12.00 
27210168,Cath Cervical Access 5Fr, C1758,$102.75 
27210169,Cath Cervical Access 7Fr, C1758,$131.75 
27210170,Needle Port A Cath 22X1, ,$24.00 
27210171,Tubing Stopcock 3-Way, ,$14.50 
27210172,Syringe Ear 3Oz, ,$17.25 
27210173,Tube Feeding Flexiflo 8Fr, ,$55.75 
27210174,Tube Feeding Corpak 6Fr, ,$25.25 
27210175,Tube T Deaver, ,$36.00 
27210176,Statlock Picc, ,$36.00 
27210177,Statlock Foley Cath, ,$16.00 
27210178,Needle Tru-Cut Biopsy 18ga X 6, ,$69.75 
27210179,Needle Tru-Cut Biopsy 14ga X 6, ,$75.50 
27210180,Pouch Drain Synergy, A4388,$6.75 
27210181,Duoderm Hydroactive Gel 15GM, ,$10.25 
27210182,Power Dermaguard Adhesive 4Oz, C1765,$51.00 
27210183,Bag Feeding Nutrition, ,$22.25 
27210184,Adapter Dual Port Feeding 20Fr, ,$78.00 
27210185,Valve Lopez, ,$11.00 
27210186,Dressing Aquacel .75X18, A6199,$102.00 
27210187,Dressing Hydrofera Blue 4X4, A6210,$32.75 
27210188,Dressing Duoderm Single 4X4, ,$16.00 
27210189,Dressing Duoderm Xtra Thin 3X3, ,$9.00 
27210190,Dres Aquacel Foam 5x5 420619, A6204,$34.75 
27210191,Dressing Duoderm Xtra Thin 4X4, ,$14.00 
27210192,Dressing Combiderm Acd 4X4, A6234,$18.75 
27210193,Dress Xtra Thin 1.75X1.5, ,$16.75 
27210194,Dressing Aquacel 4X4, A6196,$27.25 
27210195,Dressing Lyofoam 5.9X5.9 4X4, A6213,$16.25 
27210196,Dressing Adhsve Lyofoam 3.6, A6212,$30.50 
27210197,Dressing Lyofoam 3.6X3.6, ,$9.00 
27210198,Sut A186H Silk Tie 0, ,$6.25 
27210200,Circuit Jackson Reese, ,$28.75 
27210201,Grasper 3 Prong 3.0, ,$845.00 
27210202,Needle Ostycut Bx 14gax7.5Cm, ,$346.50 
27210203,Needle Ostycut 16gax7.5Cm, ,$288.50 
27210204,Needle Ostycut 17G 7.5Cm, ,$307.75 
27210205,Cath Foley 18fr 2Way 30CC, C1729,$20.75 
27210206,Cath Coude 20Fr 2Way 30CC, C1729,$105.25 
27210207,Dressing Mepore Pro 2.5X3, ,$5.50 
27210208,Needle Bone Marrow 18ga, ,$188.25 
27210209,Dressing Granufoam Large Thin, ,$230.75 
27210210,Cath Hickman 9.6Fr, C1751,$958.50 
27210211,Needle Portcath Grip 20X1, ,$33.75 
27210212,Needle Portacath 22X3/4, ,$33.75 
27210213,Needle Portacath 20X3/4, ,$33.75 
27210214,Tube T Deaver 10Fr, ,$36.00 
27210215,Tube T Deaver Drain 12Fr, ,$36.00 
27210216,Tube T Deaver Drain 16Fr, ,$36.00 
27210217,Tube T Deaver Drain 18Fr, ,$36.00 
27210218,Cath Embolectomy 6Fr 120806F, C1757,$374.25 
27210219,Cath Irrigation 6Fr, C1757,$77.00 
27210220,Cath Thoracic 32Fr, ,$28.00 
27210221,Cath Trocar 28Fr, ,$61.50 
27210227,Cath Pezzer 18Fr, ,$38.75 
27210228,Cath Pezzer 22Fr, ,$38.75 
27210229,Cath Pezzer 24Fr, ,$41.75 
27210230,Cath Pezzer 26Fr, ,$41.75 
27210231,Cath Pezzer 30Fr, ,$38.00 
27210232,Cath Pezzer 32Fr, ,$38.75 
27210233,Cath Pezzer 34Fr, ,$153.75 
27210234,Sut J546G Opthalmic 7-0, ,$85.00 
27210235,Sut J551G Opthalmic 6-0, ,$47.00 
27210236,Sut J556G Opthalmic 6-0, ,$76.75 
27210237,Sut J571G Opthalmic 5-0, ,$76.00 
27210238,Sut 1744G Chromic 7-0, ,$134.50 
27210239,Sut 1766G Chromic 5-0, ,$102.00 
27210240,Sut Plain 770G 6-0, ,$41.75 
27210241,Suture Prolene 10-0 7761G, ,$129.75 
27210242,Sut Ethilon Opthal 8-0, ,$75.50 
27210243,Sut Ethilon 9003G 10-0, ,$67.25 
27210244,Sut 2870G Ethilon 10-0, ,$78.00 
27210245,Sut 2891G Ethilon 9-0, ,$92.50 
27210246,Sut 2808G Ethilon 8-0, ,$90.25 
27210247,Tray Cath Sution 12Fr, C1729,$5.75 
27210248,Tray Cath Suction 14Fr, C1729,$6.00 
27210252,Cath Pleur X Pleural, ,"$1,768.00 "
27210253,Cath Picc 5Fr Groshg Dbl Lum, ,$468.75 
27210261,Cath Trocar 32Fr, ,$76.75 
27210262,Cath Trocar 20Fr, ,$76.75 
27210263,Cath Trocar 12Fr, ,$76.75 
27210264,Cath Trocar 16Fr, ,$58.50 
27210265,Duoderm Xtra Thin 1.75X1.5, ,$6.25 
27210266,Cath Foley 20Fr 3Way 5CC, ,$47.00 
27210267,Cath Foley 22Fr 2Way 5CC, ,$18.00 
