IVNUM,IVDESC,IVCPTCD,IVPRICE1
 1050042,LAYER CLOSE WND 12.5 PHY,12044,1342.66
 1050043,LAYER CLOSURE OF WND 2.5,12051,683.81
 1050044,LAYER CLOSURE OF WND 5.0,12052,1290.5
 1050045,LAYER CLOSURE OF WND 7.5,12053,1495.75
 1050046,RPR CPLX SCLP ARM LEG 7.5,13121,2562.84
 1050047,REPR CMPLX 1.1CM TO 2.5CM,13131,1950.48
 1050048,TRTMNT OF BURN W/O ANEST,16020,463.81
 1050049,TRTMNT BURN W/O ANES MED,16025,734.84
 1050050,TRTMNT BURN W/O ANSTH LRG,16030,443.4
 1050051,LACERATION REP-DERMABOND,G0168,209.79
 1050052,DEST MOLLUSC/FLT WART<14,17110,375.36
 1050053,DRN/INJ INTERM JOINT/GAN,20605,467.21
 1050054,DRN/INJ MAJOR JOINT,20610,551.13
 1050055,TREAT NOSE FX W/O MANIPUL,21310,292.58
 1050056,TREAT RIB FX UNCOMPLICATE,21800,667.93
 1050057,CLAVICLE FX W/O MANIPULAT,23500,1314.31
 1050058,CLAVICLE FX W/MANIPULATIO,23505,2502.74
 1050059,CLAVICE DISLOC W/MANIPULA,23545,1877.91
 1050060,SHOULDERBLADE FX CLOSED,23570,1564.92
 1050061,SHLDR DSLCTN W/O ANESTH,23650,1752.03
 1050062,SHLDR DSLCTN W/ANESHTESIA,23655,2628.62
 1050063,HUMERUS FX CLOSED W/O MAN,24530,2252.13
 1050064,HUMERUS FX W/MANIPULATION,24535,4377.24
 1050065,ELBOW DISLOCATION CHILD,24640,813.08
 1050066,RADIUS FX W/O MANIPULATIO,25500,1826.88
 1050067,FX RADIUS/ULNA W/O MANIPU,25560,1992.44
 1050068,TREAT FRACTURE RADIUS ULNA,25565,3982.61
 1050069,FX RADIUS/ULNA W/O MANIPU,25600,2103.57
 1050070,WRIST BONE FX W/O MANIPUL,25622,2213.57
 1050071,CARPAL FX W/O MANIPULATIO,25630,1992.44
 1050072,DRAIN FING ABSCESS SIMPL,26010,712.16
 1050073,DRAIN FINGER ABSCESS COM,26011,2113.78
 1050074,METACARPAL FX SINGLE,26600,1266.68
 1050075,METACARPAL FX W/MANIPUL,26605,1644.3
 1050076,THUMB FX CLOSED,26645,2339.45
 1050077,DISTAL FINGER FX,26750,424.12
 1050078,FINGER DISLO W/O ANESTHES,26770,1266.68
 1050079,HIP DISLOCATION CLOSED,27250,3193.35
 1050080,TIBIA FRACTURE W/O MNPLNT,27750,2006.05
 1050081,TIBIA FX W/ MANIPULATION,27752,3905.5
 1050082,FIBULA FX W/O MANIPULATIO,27780,1451.52
 1050083,CLOSE/TREAT DISTRAL FIBUL,27786,1690.8
 1050084,ANKLE FX W/MANIPULATION,27810,3167.27
 1050085,TREAT METATARSAL FX,28470,1643.17
 1050086,DISLOCATION INTERPHALANG,28660,271.03
 1050087,APPLICAT OF LONG ARM CAST,29065,374.22
 1050088,APPLICAT OF FOREARM CAST,29075,426.39
 1050089,APPLY HAND/WRIST CAST,29085,430.92
 1050090,APPLY LONG ARM SPLINT,29105,365.15
 1050091,APPLY FOREARM SPLINT,29125,289.17
 1050092,APPLICAT OF FINGER SPLINT,29130,193.92
 1050093,STRAPPING OF FNGR OR HAND,29280,178.04
 1050094,APPLICAT LONG LEG SPLINT,29505,557.93
 1050095,APPLICAT LOWER LEG SPLINT,29515,362.88
 1050096,STRAPPING OF KNEE,29530,149.69
 1050097,REM NASAL FOREIGN BODY,30300,644.12
 1050098,CONT OF NOSEBLEED SIMPLE,30901,489.89
 1050099,CONTROL OF NOSEBLEED COMP,30903,721.23
 1050100,CONT NOSEBLEED POSTERIOR,30905,1305.24
 1050101,INSERT OF EMERG AIRWAY,31500,883.39
 1050102,TRACHEOSTOMY,31603,3345.3
 1050103,INSERTION OF CHEST TUBE,32551,1594.41
 1050104,PLACE NEEDLE IN VEIN,36000,275.57
 1050105,REPR TONGUE LACERATION,41250,1059.16
 1050106,INCISE EXTERNAL HEMORRHOI,46083,673.6
 1050107,REMOVE F/B EYE/EXTERNAL,65205,442.26
 1050108,REM F/B EYE EMBEDDED,65210,478.55
 1050109,REM F/B EYE W/O SLIT,65220,515.97
 1050110,REM F/B EYE W/ SLIT LAMP,65222,569.27
 1050111,DRAIN EXT EAR LESION SIMP,69000,841.43
 1050112,DRAIN OUT EAR CANAL LES,69020,903.8
 1050113,REM IMPACTED EAR WAX,69210,275.57
 1050114,CHEMOTHERAPY PUSH TECH,96409,622.57
 1050115,OFFICE OUTPNT VISIT NEW,99202,272.16
 1050116,OUTPATIENT VISIT,99203,354.95
 1050117,OFFICE OUTPNT VISIT ESTAB,99213,237.01
 1050118,INITIAL HOSPITAL CARE,99221,578.34
 1050119,INIT HOSP CARE LEVEL II,99222,776.79
 1050120,INITIAL HOSPITAL CARE,99223,954.83
 1050121,SUBSEQUENT HOSPITAL CARE,99231,299.38
 1050122,SUBSEQUENT HOSPITAL CARE,99232,407.11
 1050123,SUBSEQUENT HOSPITAL CARE,99233,599.89
 1050124,DISCHARGE DAY LESS 30 MIN,99238,442.26
 1050125,DISCHARGE DAY OVER 30MIN,99239,551.13
 1050126,NURSING FAC DISC <30 MINS,99315,422.99
 1050127,ER PHYSICIAN VISIT 99281,99281,229.07
 1050128,ER PHYSICIAN VISIT 99282,99282,308.45
 1050129,ER PHYSICIAN VISIT 99283,99283,491.03
 1050130,ER PHYSICIAN VISIT 99284,99284,726.9
 1050131,ER PHYSICIAN VISIT 99285,99285,1103.39
 1050132,CRIT CARE FIRST 30-74 MIN,99291,1399.36
 1050133,CRITICAL CARE ADDL 30 MIN,99292,701.95
 1050134,SUBS NURS CARE COMPREHENS,99310,610.1
 1050135,CONSCIOUS SEDATION <5 YRS,99143,590.82
 1050136,SUBSEQUENT OBSERVATION,99224,299.38
 1050137,SPINAL FLUID TAP DIAGNOS,62270,1335.86
 1050138,INJECTION FOR NERV BLOCK,64450,1181.63
 1050139,CIRCUMCISION,54150,1016.07
 1050140,INCISION/DRAIN VULVA,56405,822.15
 1050141,DEBRID INC/REMOV FOREIGN,11010,3357.78
 1050142,REM INTRAUTERINE DEVICE,58301,657.72
 1050143,FETAL NON STRESS TEST,59025,433.19
 1050144,PERCUTANEOUS RADIAL FRACT,25606,5421.66
 1050145,TREAT RADIAL FX W/MANIPUL,25605,3872.61
 1050146,EXPLOR PENTR WOUND EXTREM,20103,4017.77
 1050147,DISCHARGE FROM OBSERVATIO,99217,417.32
 1050148,REMOVAL OF DEVIT TISSUE,97602,204.12
 1050149,CPR,92950,1205.45
 1050150,CARDIOVERSION,92960,967.31
 1050151,SAMEDAY ADMIT DISCH,99234,735.97
 1050152,SAMEDAY ADMIT/DISH MODERA,99235,999.06
 1050153,SAMEDAY ADMIT/DISCH HIGH,99236,1256.48
 1050154,PATELLA FX,27520,2041.2
 1050155,ER PHYSICIAN VISIT 99281 W MOD,9928125,229.07
 1050156,ER PHYSICIAN VISIT 99282 W MOD,9928225,308.45
 1050157,ER PHYSICIAN VISIT 99283 W MOD,9928325,491.03
 1050158,ER PHYSICIAN VISIT 99284 W MOD,9928425,726.9
 1050159,ER PHYSICIAN VISIT 99285 W MOD,9928525,1103.39
 1050160,FINGER FX W/MANIPULATION,26725,1644.3
 1050161,CLSD TREAT DIST FX W/MAN,27788,2955.21
 1050162,"TRIGGER POINT, SNGL/MULTI",20552,450.2
 1050163,INSERT TEMP CATHETER,51702,1329.05
 1050164,OP SERVICES PRO FEE BRIEF,99211,131.55
 1050165,OP SERVICES PRO FEE BRIEF,99211,131.55
 1050166,OP SERVICES PRO FEE LMTD,99212,185.98
 1050167,OP SERVICES PRO FEE LMTD,99212,185.98
 1050168,OP SERVICES PRO FEE INTM,99213,237.01
 1050169,OP SERVICES PRO FEE INTM,99213,237.01
 1050170,"PARACENTESIS, ABDOMINAL",49080,1048.95
 1050171,LTC ANNUAL CPX,99397,569.27
 1050172,IP INITIAL CONSLT 20 MINS,99251,352.68
 1050173,OP SERVICES PRO FEE EXP,99214,342.47
 1050174,OP SERVICES PRO FEE EXP,99214,342.47
 1050175,TREAT ANKLE FX W/MANIPULA,27818,3693.44
 1050176,IP CONSLT INITIAL 40MIN,99252,531.85
 1050177,"IP CONSLT, INITIAL 55 MIN",99253,655.46
 1050178,IP CONSLT INITIAL 80MIN,99254,819.89
 1050179,IP CONSLT INITIAL 110MIN,99255,1029.68
 1050180,STRAPPING HIP / PHYS,29520,251.75
 1050181,INDIV PSYCH 20-30 MINS,90816,267.63
 1050182,INDV PSYCH 20-30M W/ E&M,90817,305.05
 1050183,INDV PSYCH THERAPY 45-50M,90818,339.07
 1050184,INDV PSYCH 45-50M W/E&M,90819,391.23
 1050185,INDV PSYCH THERAPY 45-50M,90821,477.42
 1050186,INDV PSYCH 75-80M W/EM,90822,549.99
 1050187,PSYCH INTAC IP 20-30 MIN,90823,288.04
 1050188,PSYTX INTAC HOSP 20-30MIN,90824,331.13
 1050189,PSYCH INTAC HOSP 45-50M,90826,365.15
 1050190,PSYC INTAC IP W/E&M 45-50,90827,421.85
 1050191,PSYC INTAC HOSP 75-80 MIN,90828,512.57
 1050192,PSYC INTAC HSP W/E&M 75-8,90829,590.82
 1050193,PSYCH DX INTERVIEW,90791,531.85
 1050194,INTERACTIVE PSYC DX EXAM,90792,585.15
 1050195,CLOSED TREAT HIP DISLOCAT,27252,6892.46
 1050196,MEDICATION MANAGEMENT,H2010,241.55
 1050197,NURSING FAC DISCH >30 MIN,99316,528.45
 1050198,ANNUAL NFC CPX,99318,447.93
 1050199,OMT 1-2 REGIONS,98925,153.09
 1050200,OMT 3-4 REGIONS,98926,200.72
 1050201,OMT 5-6 REGIONS,98927,238.14
 1050202,OMT 7-8 REGIONS,98928,259.69
 1050203,OMT 9-10 REGIIONS,98929,273.3
 1050204,"CATH. URETHRA, SIMPLE",51702,1329.05
 1050205,GLOBAL PROCEDURE,99024,0
 1050206,IRRIGATION CORPORA/PROF,54220,2012.85
 1050207,RPR CPLX EACH ADDITIONAL,13122,1031.94
 1050208,REPAIR EXTENSOR FINGER,26418,4746.93
 1050209,SHOLDER STRAPPING PRO FEE,29240,212.06
 1050210,INSERT NON-TUNNEL CATH >5,36556,1640.9
 1050211,INSRT TUNN CATH WITH PUMP,36563,6455.87
 1050212,FINE NDLE ASP W/O IMAG GD,10021,661.13
 1050213,REMOVAL OF IMPLANT PROF,20670,2748.82
 1050214,VSL SCREENING BILAT/QUANT,99173,133.82
 1050215,PULMOAIDE TMNT/PHYS,,172.37
 1050216,TOBACCO CESSATION,99406,89.59
 1050217,SUB OBSV CARE EXPND PROB,99225,428.66
 1050218,DBRDMT W/RMVL FM FX&/DISL,11012,4089.21
 1050219,ACNE SURGERY,10040,341.34
 1050220,DRAIN/INJECT JOINT,20610,551.13
 1050221,TRACH CRICOTHYROID MEMBRA,31605,3313.55
 1050222,TREAT HIP DISLOCATE /PHYS,27265,3040.26
 1050223,TREAT HIP DISLOCATE/PHY,27257,5470.42
 1050224,DBRDMT W/O ANES FIRST20CM,97597,295.98
 1050225,NASAL/ORO GASTRIC DR,43752,510.3
 1050226,CHEMICAL CAUTERY DOCTOR,17250,300.51
 1050227,CLTX METAR FX W/MNPJ DR.,,2488
 1050228,PROVIDER CMPLX RPR,13132,3788.7
 1050229,INITIAL 15 MIN MODERATE SEDATION >5 YRS,99152,352.08
 1050230,ADD'L 15 MIN OF MODERATE SEDATION >5YRS,99153,198.45
 1050231,ER PHYSICIAN SERV MISC,,1.08
 1050232,EKG INTERPRETATION AND REPORT W/MODIFIER,93010 76,111.14
 1050233,HAND & LOWER FOREARM (GAUNTLET),29085,237.5
 1200001,NAIL TRIMMING,11719,149.69
 1200002,ADMIN SNGL VACCINE,90471,70.31
 1200003,BATHING ASSTNCE SERVICES,A9190,69.18
 1200004,"PARACENTESIS, ABDOMINAL",49080,1048.95
 1200005,"CARDIOVERSION, INTERNAL",92961,2774.9
 1200006,LACERATION REP-DERMABOND,G0168,90.72
 1200007,FETAL NON-STRESS TEST,59025,433.19
 1200008,"INSERT CATH, COMPLICATED",51703,1236.06
 1200009,ADMIN ADDITIONAL VACCINE,90472,48.77
 1200010,EKG TREADMIL TRACING ONLY,93017,604.43
 1200011,OUTPATIENT DRESSING CHANG,99211,131.55
 1200012,THERAPEUTIC INJECTION,96372,102.06
 1200013,O/P TREATMENT BRIEF/ 25,99211,131.55
 1200014,"TD, IM OR JET INJECTION",90718,24.95
 1200015,INF HYD INITIAL TO 1HR,96360,352.68
 1200016,INF HYD ADD HR TO 8HR,96361,148.56
 1200017,DIABETIC TRAINING MINIMUM,G0108,31.76
 1200018,"OP CATH, URETHRA SIMPLE",51702,1329.05
 1200019,OP TREATMENT BRIEF,99211,131.55
 1200020,OP TREATMENT LIMITED,99212,185.98
 1200021,OP TREATMENT INTERMED,99213,237.01
 1200022,CHEMOTHERAPY ADMIN <1HR,96413,897
 1200023,CHEMO ADMIN EACH ADD'T HR,96415,201.86
 1200024,CHEMO ADMIN > 8 HOURS,96416,957.1
 1200025,IRRG VENOUS ACCESS,96523,144.02
 1200026,"COLLECTION BLOOD, CATH",36592,250.62
 1200027,HEP A/B VACCINE ADULT IM,90636,341.34
 1200028,DEBRIDE NAIL 6+ ANY MTHD,11721,269.9
 1200029,INC/DRN ABCESS SIMPLE,10060,496.7
 1200030,INC/DRN ABECSS SIMPLE,10060,497.83
 1200031,DBRDMNT W/O ANES 20 FACIL,97597,295.98
 1200032,REMOVAL OF SKIN LESION,11420,430.92
 1200033,INJECTION NERVE BLOCK,64405,1236.06
 1200034,IV INF INITIAL TO 1HR,96365,401.44
 1200035,IV INF ADD HR TO 8HR,96366,185.98
 1200036,IV PUSH SINGLE OR INITIAL,96374,292.58
 1200037,EA ADD SEQUENTIAL IV PUSH,96375,178.04
 1200038,"IV INFUSION ADD,SEQ 1HR",96367,266.49
 1200039,IV INFUSION CONCURRENT,96368,155.36
 1200040,SUBQ INF FOR THERAPY <1HR,96369,892.46
 1200041,ADDT'L INJ SAME DRUG,96376,100.93
 1200042,SUBQ INF THRPY EA >1HR,96370,107.73
 1200043,SUBQ IV ADDTL PUMP SETUP,96371,370.82
 1200044,"INJECT, INTRA-ARTERIAL",96373,96.39
 1200045,UNLISTED INJECT/INFUSION,96379,62.37
 1200046,"PARACENTESIS, SUUBSEQUENT",49081,844.83
 1200047,CHEMO ADMIN PUSH TECH,96409,620.3
 1200048,ABD PARACENTESIS,49082,1821.21
 1200049,REMOVAL OF LESION 3.1 TO 4.0 CM,11424,486
 1200050,REMOVAL OF SUBCUTANEOUS DEVICE,36590,1356.48
 1200051,RMVL FB FROM EYE PRO FEE,65205,442.26
 1200052,RMVL FB FROM EYE-PHYS,65205,402.57
 1200053,NEG PRESSURE WOUND TMNT,97605,213.2
 1200054,ARTHROCENTESIS JOINT/BURS,20610,551.13
 1200055,TRMNT OF BURN FAC W/O ANE,16020,463.81
 1200056,TRMNT OF BURN PRO W/O ANE,16020,463.81
 1200057,ARTHROCENTESIS JOINT/BURS,20610,551.13
 1200058,SPIROMETRY,94010,417.32
 1200059,"SPIROMETRY, PRE/POST TREA",94060,692.88
 1200060,IMMUNOTHERAPY ONE INJ,95115,60.11
 1200061,IMMUNOTHERAPY INJECTION,95117,89.59
 1200062,ADMIN INFLUENZA VACCINE,G0008,102.06
 1200063,HOSP OP PHYSICIAN,99212,142.89
 1200064,OP BLOOD TRANSFUSION,36430,517.11
 1200065,RSV INTRAMUSCULAR,90378,37.43
 1200066,OP TREATMENT MISC,,1.08
 1200067,CONTRACTED SERVICES,,1.08
 1200068,THERAPEUTIC INJECTION W/MODIFIER,96372 59,102.06
 1500001,MH OFFICE VISIT INDIVIDUAL,99213,239.48
 1500002,MH INDIV THERAPY,99212,204.78
 1500003,PSYCH FAMILY W/O PATIENT,90846,419.58
 1500004,PHARMACOLOGIC MGT,90863,200
 1500005,FAMILY PSYTX W/O PT 30 MINUTES,90846,110
 1500006,PHARMACOLOGIC MGT - MCAID,H2010,200
 1500007,INTERACTIVE COMPLEXITY - ADD ON CODE,90785,257.42
 1500008,FAMILY PSYCH 30 MINUTES,90847,211.68
 1500009,"CASE MGMNT, EA 15 MINS",T1016,32.96
 1500010,MENTAL HLTH ASMNT BY NON-PHYS/MEDICAID,H0031,531.85
 1500011,IND PSYCH 60 MINUTES,90837,206
 1500012,FAMILY PSYCH 60 MIN,90847,226
 1500013,PROLONGED 1ST 30 MIN,99354,151.96
 1500014,PROLONGED ADD'L 30 MIN,99355,151.96
 1500015,PSYCHIATRIC DIAGNOSTIC EVALUATION,90791,400
 1500016,INTEGRATED MH & SUBS INTKE,H0031,567
 1500017,PSYCHOTHERAPY-CRISIS INITIAL 60 MIN,90839,388.8
 1500018,BH CLIENT STATUS REVIEW,H0046,82.4
 1500019,TELEHEALTH ORIGINATING SITE FACILITY FEE,Q3014,89.59
 1500020,IND PSYCH 38-52 MINUTES,90834,206
 1500021,INDIVIDUAL PSYCH 30 MINUTES,90832,206
 1500022,BH SCREENING DETERMINE APPROPRIATE TRTMT,T1023,72.1
 1500023,BH THERAPEUTIC BEHAVIOURAL SRVCS 15 MIN,H2019,35.02
 1500024,BH CRISIS INTERVENTION PER HOUR,S9484,189.52
 1500025,BH CRISIS INTERVENTION 15 MINUTES,S9485,76.76
 1500026,THERAPEUTIC BH SVC PER 15 MTS / MEDICAID,H2019,51.03
 1500027,CCH INDIV 15,H2015,35.02
 1500028,CordovaBH SHORT TERM CRISIS INTERVENTION,S9485-U6,46
 1500029,BH SHORT TERM CRISIS STABILIZATION,H2011,46
 1500030,THERAPEUTIC BH SERVICES - GROUP,H2019-HQ,18.54
 1500031,THERAPEUTIC BH SERVICES - FAM W/ PAT,H2019-HR,35.02
 1500032,THERAPEUTIC BH SERVICES - FAM WO/ PAT,H2019-HS,35.02
 1500033,COMPREHENSIVE COMM SUP SERV - GROUP,H2015-HQ,18.54
 1500034,INTEGERATED MH & SUBST USE ASSESSMENT,H0031-HH,400
 1500035,PSYCHOTHERAPY - FAMILY W/O P 30 MIN,90846-U7,113.3
 1500036,PSYCHOTHERAPY - FAMILY W/ P 30 MIN,90847-U7,113.3
 1500037,PSYCHOTHERAPY - MULTI FAMILY GROUP 60 M,90849,200
 1500038,PSYCHOTHERAPY - MULTI FAMILY GROUP 30 M,90849-U7,115.36
 1500039,PSYCHOTHERAPY - GROUP 60 MIN,90853,115.36
 1500040,PSYCHOTHERAPY - GROUP 30 MIN,90853-U7,57.68
 1500041,BH SCREEN BRIEF INT & REF F/ TREATMENT,99408,120.88
 2000001,CARDIAC MONITOR 1-24 HRS,93041,240.84
 2000002,EKG 12 LEAD,93005,225.72
 2200001,XR EYE-DETECTION OF FB,70030,393.5
 2200002,XR EYE-DETECTION OF FB-BIL,70030,590.82
 2200003,XR MASTOIDS COMP MIN 3V,70130,580.61
 2200004,XR MASTOIDS COMP MIN 3V BIL,70130,870.92
 2200005,XR OPTIC FORAMINA,70190,436.59
 2200006,XR OPTIC FORAMINA-BIL,70190,652.05
 2200007,XR TMJ JT OPEN/CLSD UNI LT,70328LT,402.57
 2200008,XR TMJ JT OPEN/CLSD UNI RT,70328RT,402.57
 2200009,XR RIBS UNILAT 2 VIEWS LT,71100LT,427.52
 2200010,XR RIBS UNILAT 2 VIEWS RT,71100RT,427.52
 2200011,XR RIBS UNI>=3V W/PA CHST LT,71101LT,526.18
 2200012,XR RIBS UNI>=3V W/PA CHST RT,71101RT,526.18
 2200013,XR SPINE CERVICAL 5 VIEW,72050,649.79
 2200014,XR THORACIC COMP MIN 4 VIEWS,72074,578.34
 2200015,XR PELVIS COMPLETE MIN 3 V,72190,546.59
 2200016,XR CLAVICLE COMPLETE LT,73000LT,365.15
 2200017,XR CLAVICLE COMPLETE RT,73000RT,365.15
 2200018,XR CLAVICLE COMPLETE-BIL,73000,545.46
 2200019,XR SCAPULA COMPLETE LT,73010LT,402.57
 2200020,XR SCAPULA COMPLETE RT,73010RT,402.57
 2200021,XR SCAPULA COMPLETE-BIL,73010,602.16
 2200022,XR SHOULDER 1 VIEW LT,73020LT,351.54
 2200023,XR SHOULDER 1 VIEW RT,73020RT,351.54
 2200024,XR SHOULDER 1 VIEW-BIL,73020,526.18
 2200025,XR SHOULDER COMP STUDY LT,73030LT,367.42
 2200026,XR SHOULDER COMP STUDY RT,73030RT,367.42
 2200027,XR SHOULDER COMP STUDY-BIL,73030,548.86
 2200028,XR HUMERUS MIN 2 VIEWS LT,73060LT,395.77
 2200029,XR HUMERUS MIN 2 VIEWS RT,73060RT,395.77
 2200030,XR HUMERUS MIN 2 VIEWS-BIL,73060,594.22
 2200031,XR ELBOW 2 VIEWS LT,73070LT,361.75
 2200032,XR ELBOW 2 VIEWS RT,73070RT,361.75
 2200033,XR ELBOW 2 VIEWS-BIL,73070,542.06
 2200034,XR ELBOW COMP MIN 3V LT,73080LT,427.52
 2200035,XR ELBOW COMP MIN 3V RT,73080RT,427.52
 2200036,XR ELBOW COMP MIN 3V-BIL,73080,640.71
 2200037,XR FOREARM 2 VIEWS LT,73090LT,367.42
 2200038,XR FOREARM 2 VIEWS RT,73090RT,367.42
 2200039,XR FOREARM 2 VIEWS-BIL,73090,548.86
 2200040,XR UP EXT INFANT MIN 2V,73092,379.89
 2200041,XR UP EXT INFANT MIN 2V-BIL,73092,570.41
 2200042,XR WRIST 2 VIEWS LT,73100LT,357.21
 2200043,XR WRIST 2 VIEWS RT,73100RT,357.21
 2200044,XR WRIST 2 VIEWS-BIL,73100,535.25
 2200045,XR WRIST COMP MIN 3V LT,73110LT,425.25
 2200046,XR WRIST COMP MIN 3V RT,73110RT,425.25
 2200047,XR WRIST COMP MIN 3V-BIL,73110,636.18
 2200048,XR HAND 2 VIEWS LT,73120LT,332.27
 2200049,XR HAND 2 VIEWS RT,73120RT,332.27
 2200050,XR HAND 2 VIEWS-BIL,73120,497.83
 2200051,XR HAND MIN 3 VIEWS LT,73130LT,390.1
 2200052,XR HAND MIN 3 VIEWS RT,73130RT,390.1
 2200053,XR HAND MIN 3 VIEWS-BIL,73130,582.88
 2200054,XR HIP UNILATERAL 1V LT,73500LT,367.42
 2200055,XR HIP UNILATERAL 1V RT,73500RT,367.42
 2200056,XR HIP UNIL COMP MIN 2-3V LT,73502LT,436.59
 2200057,XR HIP UNIL COMP MIN 2-3V RT,73502RT,436.59
 2200058,XR FEMUR 2 VIEWS LT,73552LT,412.78
 2200059,XR FEMUR 2 VIEWS RT,73552RT,412.78
 2200060,XR FEMUR 2 VIEWS-BIL,73550,618.03
 2200061,XR KNEE 1-2 VIEWS LT,73560LT,385.56
 2200062,XR KNEE 1-2 VIEWS RT,73560RT,385.56
 2200063,XR KNEE 1-2 VIEWS-BIL,73560,581.75
 2200064,XR KNEE 3 VIEWS LT,73562LT,454.74
 2200065,XR KNEE 3 VIEWS RT,73562RT,454.74
 2200066,XR KNEE 3 VIEWS-BIL,73562,681.54
 2200067,XR KNEE COMP MIN 4V LT,73564LT,519.38
 2200068,XR KNEE COMP MIN 4V RT,73564RT,519.38
 2200069,XR KNEE COMP MIN 4V-BIL,73564,777.93
 2200070,XR BILAT AP KNEES STANDING,73565,436.59
 2200071,XR TIBIA & FIBULA 2 VIEWS LT,73590LT,387.83
 2200072,XR TIBIA & FIBULA 2 VIEWS RT,73590RT,387.83
 2200073,XR TIBIA & FIBULA 2 VIEWS-BI,73590,579.48
 2200074,XR LWR EXT INFNT MIN 2V,73592,367.42
 2200075,XR LWR EXT INFNT MIN 2V-BIL,73592,548.86
 2200076,XR ANKLE 2 VIEWS LT,73600LT,269.95
 2200077,XR ANKLE 2 VIEWS RT,73600RT,269.95
 2200078,XR ANKLE 2 VIEWS-BIL,73600,356.08
 2200079,XR ANKLE COMP MIN 3V LT,73610LT,617.03
 2200080,XR ANKLE COMP MIN 3V RT,73610RT,617.03
 2200081,XR ANKLE COMP MIN 3V-BIL,73610,654.52
 2200082,XR FOOT 2 VIEWS LT,73620LT,351.54
 2200083,XR FOOT 2 VIEWS RT,73620RT,351.54
 2200084,XR FOOT 2 VIEWS-BIL,73620,526.18
 2200085,XR FOOT COMP MIN 3V LT,73630LT,402.57
 2200086,XR FOOT COMP MIN 3V RT,73630RT,402.57
 2200087,XR FOOT COMP MIN 3V-BIL,73630,602.16
 2200088,XR CALCANEUS MIN 2V LT,73650LT,387.78
 2200089,XR CALCANEUS MIN 2V RT,73650RT,387.78
 2200090,XR CALCANEUS MIN 2V-BIL,73650,506.9
 2200091,XR MANDIBLE PRTL LESS 4 VWS,70100,385.56
 2200092,XR MANDIBLE COMP MIN 4 VWS,70110,474.02
 2200093,XR FACIAL BONE <3 VIEWS,70140,385.56
 2200094,XR FACIAL BONE COMP MIN 3V,70150,546.59
 2200095,XR NASAL BONES COMP MIN 3V,70160,379.89
 2200096,XR ORBITS COMPL MIN 4 VIEWS,70200,543.19
 2200097,XR PARANASAL SIN LESS THAN 3,70210,370.82
 2200098,XR PARANASAL SINU COMP MIN 3,70220,513.71
 2200099,XR SKLL LSS THN 4,70250,442.26
 2200100,XR SKLL COMPLETE 4 VIEW,70260,597.62
 2200101,XR TMJ JT OPEN/CLSD BILAT,70330,627.11
 2200102,XR NECK FOR SOFT TISSUE,70360,387.83
 2200103,XR CHEST 2V FRONTAL/LATERAL,71046,512.05
 2200104,XR CHEST PA/LAT/APICAL LORDO,71047,528.45
 2200105,XR CHEST FRONT/LAT W/OBLIQUE,71047,584.01
 2200106,XR CHEST SPECIAL VIEWS,71048,407.11
 2200107,"XR RIBS, BILAT 3V W/PA CXR LT",71110LT,546.59
 2200108,"XR RIBS, BILAT 3V W/PA CXR RT",71110RT,546.59
 2200109,XR RIBS BILATERAL 2 VIEWS LT,71100LT,640.71
 2200110,XR RIBS BILATERAL 2 VIEWS RT,71100RT,640.71
 2200111,XR STERNUM MIN 2 VIEWS,71120,467.21
 2200112,XR STRNL CLAV JNT(S) MIN 3V,71130,531.85
 2200113,"XR RBS, BLT W PA CXR MIN 4VW LT",71111LT,674.73
 2200114,"XR RBS, BLT W PA CXR MIN 4VW RT",71111RT,674.73
 2200115,XR SPINE THRACLMB STDG SCL,72069,445.67
 2200116,XR SPINE SCLS STDY UPRT/SUP,72090,607.83
 2200117,XR SPINE ENTIRE SURVEY AP/LA,72010,726.9
 2200118,XR SPINE 1 VIEW-SPECIFY LEVE,72020,316.39
 2200119,XR SPINE CERVICAL 2-3 VIEWS,72040,479.69
 2200120,XR SPN CRV CMP W/OBL/FLX/EXT,72052,747.31
 2200121,XR SPINE THORACIC 2 VIEWS,72070,440
 2200122,XR SPINE THORACIC 3 VIEWS,72072,500.1
 2200123,XR SPINE LUMBAR 2-3 VIEWS,72100,491.03
 2200124,XR SPINE LUMBAR MIN 4 VIEWS,72110,681.54
 2200125,XR LUMBAR COMP W/BENDING,72114,895.86
 2200126,XR PELVIS,72170,402.57
 2200127,XR SACROILIAC JTS <3 VIEWS,72200,385.56
 2200128,XR SACROILIAC JOINTS 3 VIEWS,72202,471.75
 2200129,XR HIPS BIL MIN 2V W/AP PELV LT,73502LT,543.19
 2200130,XR HIPS BIL MIN 2V W/AP PELV RT,73502RT,543.19
 2200131,XR SACRUM & COCCYX 2 VIEWS,72220,422.99
 2200132,XR CHEST SINGLE VIEW FRONTAL,71045,362.07
 2200133,XR AC JTS BILAT W-W/O WGHT,73050,474.02
 2200134,XR FINGER(S) MIN 2 VIEWS LT,73140LT,325.46
 2200135,XR FINGER(S) MIN 2 VIEWS RT,73140RT,325.46
 2200136,XR HIP ONE VIEW BILATERAL LT,73500LT,548.86
 2200137,XR HIP ONE VIEW BILATERAL RT,73500RT,548.86
 2200138,XR PELV/HPS INF/CHLD MIN 2V LT,73540LT,445.67
