Standard Charge Description,Charge Description Master,Charge as of 1.1.19
"INJECTION, RANITIDINE HYDROCHLORIDE, 25 MG",41323484,101.00
"INJECTION, RASBURICASE, 0.5 MG",41326441,"2,034.97"
"INJECTION, REGADENOSON, 0.1 MG",41326553,469.30
"INJECTION, RHO D IMMUNE GLOBULIN, HUMAN, FULL DOSE, 300 MICROGRAMS (1500 I.U.)",41328187,858.60
"INJECTION, RISPERIDONE, LONG ACTING, 0.5 MG",41325421,40.69
"INJECTION, RITUXIMAB, 100 MG",41325171,"4,464.07"
"INJECTION, ROMIPLOSTIM, 10 MICROGRAMS",41520018,109.05
"INJECTION, ROPIVACAINE HYDROCHLORIDE, 1 MG",41323949,145.97
"INJECTION, SODIUM FERRIC GLUCONATE COMPLEX IN SUCROSE INJECTION, 12.5 MG",41520094,11.45
"INJECTION, STERILE CEFUROXIME SODIUM, PER 750 MG",41324744,154.88
"INJECTION, SUCCINYLCHOLINE CHLORIDE, UP TO 20 MG",41325756,304.48
"INJECTION, SULFAMETHOXAZOLE AND TRIMETHOPRIM, 10 ML",41328085,363.17
"INJECTION, TELAVANCIN, 10 MG",41326810,215.45
"INJECTION, TERBUTALINE SULFATE, UP TO 1 MG",41321720,297.97
"INJECTION, TESTOSTERONE CYPIONATE, 1 MG",41325268,1.37
"INJECTION, TETANUS IMMUNE GLOBULIN, HUMAN, UP TO 250 UNITS",41322238,"2,102.30"
"INJECTION, THIAMINE HCL, 100 MG",41327869,152.25
"INJECTION, TIROFIBAN HCL, 0.25 MG",41326541,"1,244.44"
"INJECTION, TOBRAMYCIN SULFATE, UP TO 80 MG",41321928,181.15
"INJECTION, TOCILIZUMAB, 1 MG",41328132,80.54
"INJECTION, TRIAMCINOLONE ACETONIDE, NOT OTHERWISE SPECIFIED, 10 MG",41321589,35.74
"INJECTION, TRIAMCINOLONE ACETONIDE, PRESERVATIVE FREE, 1 MG",41326747,32.96
"INJECTION, TRIAMCINOLONE DIACETATE, PER 5 MG",41322797,406.67
"INJECTION, VANCOMYCIN HCL, 500 MG",41325308,309.34
"INJECTION, VITAMIN B-12 CYANOCOBALAMIN, UP TO 1000 MCG",41322030,35.91
"INJECTION, VON WILLEBRAND FACTOR COMPLEX (HUMATE-P), PER IU VWF:RCO",41325662,5.94
"INJECTION, VORICONAZOLE, 10 MG",41325317,37.03
"INJECTION, ZIDOVUDINE, 10 MG",41323719,224.95
"INJECTION, ZIPRASIDONE MESYLATE, 10 MG",41325327,218.01
"INJECTION, ZOLEDRONIC ACID, 1 MG",41326050,"1,805.38"
INSULIN R 1 UNIT/ML D10W 10ML,41328069,519.75
INSULIN REG NEONATAL CONT IV SYR,41327096,519.75
INTRALIPID 20% 20ML (FOR,41324709,176.40
ISOPROPYL ALCOHOL 70% BTL 118ML,41326892,6.84
ISOPROTERENOL 200MCG/D5W 50ML,41327965,"4,556.30"
ISUPREL 1MG/5ML AMP,41321585,"14,512.50"
JEVITY 1.2 CAL LIQ 1500ML RTH,41326544,50.30
JEVITY 1.5 CAL READY-TO-HANG 1L,41325797,87.80
JEVITY 1.5CAL/FIBER RTH 1000ML,41327542,135.00
JUVEN PACKET 23GM,41325545,30.72
KETALAR 100MG/ML INJ 5ML,41321592,35.87
KETALAR 10MG/ML INJ 20ML,41321591,30.92
KETALAR 50MG/ML INJ 10ML,41321594,35.95
KETAMINE 10MG/ML SYRINGE 5ML,41326312,34.84
LABETALOL 5MG/ML INJ 4ML,41325625,153.15
LEVOCARNITINE INJ 1GM/5ML,41323416,217.21
LEVOPHED 1MG/1ML INJ 4ML,41321616,106.94
LEVOTHYROXINE 20MCG/ML IV SYRINGE,41327046,628.31
LIDOCAINE 0.5% (0.4ML) IV LINE,41327130,24.09
LIDOCAINE 1% 10ML MPF,41324587,86.80
LIDOCAINE 2% PHARMEDIUM IJ 5ML PF,41327692,42.00
LIDOCAINE-E 1% MPF 30ML,41328188,122.65
LINEZOLID 2MG/ML IV SYRINGE,41326636,7.23
LIPIDS 20% SPEC PREP,41323821,"1,006.98"
LIPOSYN II 20% 250ML,41326035,519.75
LOPRESSOR 1MG/ML INJ 5ML,41321612,35.74
LUGOL'S STRONG IODINE TINC 15ML,41326256,12.19
MAG-SULFATE-D5W 40GM/1000ML,41327058,135.00
MANNITOL 12.5GM/62.5ML IV SYRN,41327045,16.37
MANNITOL 20% INJECTION 500ML,41321365,453.55
MARCAINE 0.25% W/EPI 30ML,41321639,102.63
MCT OIL 1ML ORAL SYRINGE,41321364,6.07
MEDROXYPROGESTERONE 150MG INJ,41324197,"1,290.20"
"METHACHOLINE CHLORIDE ADMINISTERED AS INHALATION SOLUTION THROUGH A NEBULIZER, PER 1 MG",41328133,67.50
"METHOTREXATE SODIUM, 5 MG",41322301,4.29
"METHOTREXATE SODIUM, 50 MG",41321921,58.43
"METHOTREXATE; ORAL, 2.5 MG",41320456,47.65
METHYLENE BLUE 0.5% INJ 10ML,41328090,"1,531.80"
"METHYLPREDNISOLONE ORAL, PER 4 MG",41320454,47.80
MIDAZOLAM 0.25MG/0.5ML INJ MED,41326834,26.30
MIDAZOLAM 0.5MG/ML IV SYRINGE 10M,41327561,519.75
MINERAL OIL STERILE TOPICAL 10ML,41324672,12.69
MIOCHOL INTRAOCULAR SOL 2ML,41320909,788.19
MISC RX ITEM,41320600,34.10
MUCOMYST 10% SOLN 30ML,41324973,79.02
MUCOMYST 10% SOLN 4ML,41321673,165.77
MUCOMYST 20% FOR ORAL USE 4ML,41327094,30.86
MUCOMYST 20% SOLN 30ML,41321676,86.06
MUCOMYST 20% SOLN 4ML,41324146,200.52
MVI-12 (MULTIVIT INJ) 10ML,41322165,35.44
"MYCOPHENOLATE MOFETIL, ORAL, 250 MG",41324226,53.48
"MYCOPHENOLIC ACID, ORAL, 180 MG",41325520,123.40
NA BICARB 4.2%-SYRINGE PREP,41322095,52.25
NAFCILLIN 1GM INJ,41321927,109.23
NAFCILLIN 1GM/NS 100ML ADDV,41324788,152.25
NAFCILLIN 1GM-NS 50ML,41325307,156.10
NAFCILLIN 2GM INJ VIAL,41322016,249.26
NAFCILLIN 2GM/NS 100ML ADDV,41324789,309.75
NAFCILLIN 40MG/ML IV SYRINGE,41326000,120.86
NEOPROFEN 5MG/ML IV SYRINGE,41325864,"1,774.64"
NEPHRO-VITE TAB,41323168,6.92
NEPRO CARB STEADY RTH 1000ML,41326866,70.40
NEPRO W/CARB STEADY-VANILLA 237ML,41326726,15.20
NICARDIPINE 40MG/200ML D5W,41326856,"1,817.80"
NICU D50W-ST WATER-ELECTROLYTES,41327353,1.73
NICU STD ADMIT FLUID IN D10W,41325968,379.96
NICU STD ADMIT FLUID IN D5W,41325967,379.97
NICU TPN,41327066,486.89
NIMBEX 2MG/ML INJ 10ML,41323764,297.24
NIMBEX 2MG/ML INJ 5ML SDV,41324503,134.22
NIPRIDE 50MG INJ SDV,41322512,"6,078.45"
NITRAZINE PAPER 1 ROLL,41321056,13.50
NITROGLYCERIN 100MG IN 250ML D5W,41324085,322.00
NITROGLYCERIN-IV PREMIX BTL-D5,41323560,284.57
NITROPRUSSIDE 100MG/D5W 250ML,41326994,"10,673.00"
NORCURON 10MG INJECTION,41322401,165.70
NOREPINEPHRINE 8MG-D5W 250ML,41328081,518.72
NORMAL NA ACETATE W/HEP 100ML,41327160,519.75
NORMAL SALINE (MB+) 100ML INJ,41325228,110.25
NORMAL SALINE +KCL 20MEQ/1000ML,41324405,110.25
NORMAL SALINE 100ML INJECTION,41321255,113.48
NORMAL SALINE 100ML MINI-PLUS BAG,41324803,110.25
NORMAL SALINE BACTERIOSTATIC,41322418,35.95
NORMODYNE 200MG/40ML INJ,41322177,266.24
NS + HEPARIN 50 UNITS/100ML,41327104,110.25
NS + KCL 40MEQ/L,41324790,110.25
NUTR SUPP-PROTEIN 5GM POWDER-PROM,41324682,6.95
NUTR SUPP-PULMOCARE 1000ML,41324684,197.80
NUTREN JUNIOR LIQUID 250ML,41326402,25.20
OCUCOAT 2% OPHTH GEL 1ML,41328280,637.60
ONDANSETRON 8MG-NS 50ML,41327106,151.21
OSELTAMIVIR 30MG CAPSULE,41326631,125.00
OSMOLITE 1.2 CAL LIQUID 237ML,41325979,33.63
OSMOLITE 1.2 CAL READY-TO-HANG 1L,41325798,87.80
OSMOLITE 1.5 CAL LIQUID 237ML,41326524,10.14
OSMOLITE 1.5CAL RTH 1000ML,41327446,202.50
OXEPA READY TO HANG BAY 1000ML,41325457,417.60
PANHIST DM LIQ 60ML,41324507,1.18
PAVULON 1MG/ML INJ MDV 10ML,41322070,169.42
PEDIALYTE LIQUID 237ML BTL,41326501,8.80
PEDIARIX VACCINE 0.5ML SDPF,41328168,736.80
PEDIASURE VANILLA LIQ 8OZ,41321715,49.70
PEPCID 20MG/2ML INJECTION SDV,41323914,35.55
PEPTAMEN 1.5 LIQUID 1000ML,41326701,199.50
PHENOBARB 10MG/ML IV SYR (PYXIS),41325909,71.77
PHENOL EZ SWAB,41327039,49.07
PHENYLEPHRINE 20MG/NS 250ML,41327069,244.00
PITRESSIN 20U/ML INJ 1ML,41321817,"1,076.92"
PIVOT 1.5 CAL READY-TO-HANG 1 L,41325651,308.00
PNEUMOCOCCAL VACCINE FOR INJECTION INTO MUSCLE,41324461,"1,291.60"
POLYMYXIN B 500MU INJ VIAL,41322377,191.43
POT PHOSPHATE 30MMOL-NS 250ML,41327726,309.75
POT PHOSPHATE 3MMOL/ML INJ 50ML,41327822,12.60
POTASSIUM ACETATE 2MEQ/ML INJ,41321464,3.19
POTASSIUM ACETATE 2MEQ/ML INJ 50M,41327755,35.95
POTASSIUM PHOSPHATE 3MMOL/ML 5ML,41324610,11.73
POTASSIUM PHOSPHATE INJ,41322924,19.39
PRECEDEX 200MCG-NS 50ML,41327057,891.59
"PREDNISOLONE ORAL, PER 5 MG",41325470,13.50
"PREDNISONE, IMMEDIATE RELEASE OR DELAYED RELEASE, ORAL, 1 MG",41320233,6.41
PROAIR HFA 90MCG ARIN 8.5GM,41326510,293.80
PROLIXIN 2.5MG/ML INJ 10ML,41321741,16.18
PROMOD PROTEIN FRUIT PUNCH 946ML,41326626,201.30
PROTAMINE 0.1MG/ML INJ 0.1ML,41325951,375.89
"PROTHROMBIN COMPLEX CONCENTRATE (HUMAN), KCENTRA, PER I.U. OF FACTOR IX ACTIVITY",41327470,13.26
PROTONIX 40MG-NS 50ML DRIP,41326053,140.00
PROVENTIL HFA 90 MCG INHALER,41324232,85.40
PROVENTIL INHALER 17GM,41321504,254.04
PROVISC 10MG/ML INJ 0.85ML,41325532,"1,184.70"
PULMICORT 180MCG FLEXHALER,41326047,137.20
PULMOCARE 8OZ,41321719,28.92
PULMOZYME INHALATION-2.5ML AMP,41324015,23.84
QVAR 40MCG/INH 7.3GM,41324994,777.76
QVAR 80MCG INH AEROSOL 8.7GM,41325905,214.97
RABIES IMMUNE GLOBULIN FOR INJECTION BENEATH THE SKIN AND/OR INTO MUSCLE,41323163,"2,692.97"
REGONOL 5MG/ML INJ 2ML,41321753,35.12
REMIFENTANIL 2MG INJECT,41328182,910.99
RESPIRATORY SYNCYTIAL VIRUS ANTIBODY FOR INJECTION INTO TISSUE OR MUSCLE,41324189,"4,496.20"
"RINGERS LACTATE INFUSION, UP TO 1000 CC",41321305,110.25
ROBINUL 0.2MG/ML INJ 1ML,41322200,35.39
ROBINUL 0.2MG/ML INJ 5ML,41325042,14.00
ROCURONIUM 50MG/5ML PREFILLED SYR,41327731,120.33
ROMAZICON 0.1MG/ML 5ML INJECTION,41323964,885.49
SALMETEROL DISKUS 50MCG ARIN 28S,41326261,90.90
SENSORCAINE 0.75% INJ 10ML SDV,41325480,44.30
SEPTRA IV 160MG/800MG--10ML,41322362,118.14
SILVER NITRATE APPL STICK,41321761,9.26
"SIROLIMUS, ORAL, 1 MG",41325072,136.38
SKIN TEST FOR TUBERCULOSIS,41321660,88.20
SOD BICARB 4.2% INJ 10ML,41321763,136.16
SOD BICARB 8.4% INJ 10ML,41321762,217.08
SOD BICARB 8.4% SDV 50ML,41322746,61.90
SOD CHLOR 0.9% 100ML ADD-VANT.,41321428,100.85
SOD CHLOR 0.9% 50ML ADD-VANT.,41321427,91.14
SOD CHLORIDE BACTER 0.9% IN,41324617,35.95
SOD GLYCEROPHOSPHATE 20MMOL/20ML,41327444,115.50
SODIUM ACETATE 2MEQ/ML INJ,41321469,18.17
SODIUM BICARB 8.4% INJ 10ML VIAL,41328282,21.84
SODIUM BICARBONATE 8.4% SYRING,41322890,142.87
SODIUM CHLORIDE 0.9% 50ML INJ,41321273,106.99
SODIUM CITRATE IV SYRINGE 3ML,41327076,19.25
SODIUM PHOSPHATE 30MMOL-NS 250ML,41327050,126.26
SPIRIVA HANDIHALER 18MCG 6S,41325487,755.83
STD TUMESCENCE SOLN 500ML,41328254,270.00
STERILE MINERAL OIL LIGHT 10ML,41321384,6.94
STERILE TALC POWDER 5GM,41325556,588.90
STERILE WATER FOR INJ 1000ML,41321307,106.07
STERILE WATER FOR INJ 100ML,41325850,99.26
STERILE WATER FOR INJ PF-10ML,41325788,34.87
STERILE WATER INJ-PRESERV FREE,41322217,34.06
STERITALC 4GM/VIAL,41328192,945.00
SUFENTA 50MCG/1ML AMPULE,41323381,201.55
SUFENTA 50MCG/ML INJ 5ML AMP,41323596,404.10
SUGAMMADEX 200MG/2ML INJ,41327993,769.52
SUGAMMADEX 500MG/5ML INJ,41327971,"1,409.40"
SUPLENA W/CARB STEADY-VAN 237ML,41326729,16.50
SYNTHROID 200MCG INJ 10ML,41321614,125.91
"TACROLIMUS, IMMEDIATE RELEASE, ORAL, 1 MG",41323636,301.10
"THROMBIN-JMI 20,000 UNITS VIAL",41327420,"2,292.69"
"THROMBOSTAT 5,000U VIAL",41321787,666.21
TISSEEL KIT 10ML,41326843,"3,472.20"
"TOBRAMYCIN, INHALATION SOLUTION, COMPOUNDED PRODUCT, ADMINISTERED THROUGH DME, UNIT DOSE FORM, PER 300 MILLIGRAMS",41327970,270.00
TPN ELECT 20ML VIAL,41324564,61.22
TPN-24HR BAG-REGULAR FORMULA,41323917,"1,487.00"
TPN-3 IN 1 MIXTURE-24 HR BAG,41323920,"1,487.00"
TRANEXAMIC ACID 1GM-NS 100ML,41327797,553.90
TRANEXAMIC ACID IN NS IRR 50ML,41327784,400.00
TRIDIL 50MG INJ 10ML,41321862,94.10
TRIDIL-D5 100MCG/ML 20ML CATH LAB,41325352,198.86
TRISODIUM CITRATE 0.5% 4L BAG,41326904,690.00
TRIUMEQ TABLET,41327824,642.20
TRUMENBA 0.5ML IM SYRINGE VACCINE,41327955,936.60
TUBERCULIN 0.1ML ID SYRINGE,41327120,37.84
TWO CAL HN VANILLA 1000ML BTL,41325784,97.20
TWO-CAL HN VANILLA 240ML,41323343,48.17
ULTIVA 1MG/3ML INJECTION,41323877,535.78
"VACCINE FOR DIPHTHERIA, TETANUS, AND ACELLULAR PERTUSSIS (WHOOPING COUGH) INJECTION INTO MUSCLE, CHILD YOUNGER THAN 7 YEARS",41324328,241.40
VACCINE FOR HEMOPHILUS INFLUENZA B (3 DOSE SCHEDULE) INJECTION INTO MUSCLE,41324039,261.10
"VACCINE FOR HEPATITIS A (2 DOSE SCHEDULE) INJECTION INTO MUSCLE, PEDIATRIC OR ADOLESCENT DOSAGE",41326596,327.95
"VACCINE FOR HEPATITIS B (3 DOSE SCHEDULE) FOR INJECTION INTO MUSCLE, PEDIATRIC AND ADOLESCENT PATIENTS",41325453,253.30
VACCINE FOR HEPATITIS B ADULT DOSAGE (3 DOSE SCHEDULE) INJECTION INTO MUSCLE,41326160,618.10
"VACCINE FOR INFLUENZA FOR ADMINISTRATION INTO MUSCLE, 0.25 ML DOSAGE",41327008,184.30
VACCINE FOR INFLUENZA FOR INJECTION INTO MUSCLE,41327011,312.30
"VACCINE FOR MEASLES, MUMPS, AND RUBELLA (GERMAN MEASLES) INJECTION BENEATH SKIN",41324595,715.40
VACCINE FOR MENINGOCOCCUS FOR ADMINISTRATION INTO MUSCLE,41326744,913.70
"VACCINE FOR PNEUMOCOCCAL POLYSACCHARIDE FOR INJECTION BENEATH THE SKIN OR INTO MUSCLE, PATIENT 2 YEARS OR OLDER",41321953,904.20
VACCINE FOR POLIO INJECTION BENEATH THE SKIN OR INTO MUSCLE,41325254,269.50
VACCINE FOR RABIES INJECTION INTO MUSCLE,41323161,"2,610.70"
"VACCINE FOR TETANUS AND DIPHTHERIA TOXOIDS INJECTION INTO MUSCLE, PATIENT 7 YEARS OR OLDER",41321781,734.23
"VACCINE FOR TETANUS, DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS (WHOOPING COUGH) FOR INJECTION INTO MUSCLE, PATIENT 7 YEARS OR OLDER",41326682,438.18
VANCO INTRAVITREAL INJ 2ML,41324313,128.18
VANCOMYCIN 750MG INJ VIAL,41327409,65.94
VARICELLA (CHICKEN POX) ZOSTER IMMUNE GLOBULIN FOR INJECTION INTO MUSCLE,41322743,691.90
VASOPRESSIN 100UNITS/NS 100ML,41326974,"5,882.00"
VASOTEC I.V. 1.25MG/ML 1ML,41323939,50.41
VASOTEC IV 2.5MG/2ML INJ,41324866,99.96
VECURONIUM 100MG-NS 100ML,41327969,741.90
VECURONIUM 10MG/10ML IV SYRINGE,41327687,203.90
VERAPAMIL 2.5MG/ML INJ 2ML,41321822,275.60
VERAPAMIL 2.5MG/ML INJ 4ML,41321821,37.70
VIBRAMYCIN 100MG INJ VIAL,41322134,275.82
VIBRAMYCIN 1MG/ML*SYR DILUTION,41324169,3.87
"VINCRISTINE SULFATE, 1 MG",41520240,8.76
VISCOAT INTRAOCULAR INJ 0.5ML,41322003,601.70
VISION BLUE 0.06% OPTH 2.25ML SYR,41325758,382.00
VITAL 1.5 CAL RTU 1L,41326848,255.30
VITAMIN C 500MG/ML INJ,41321881,17.14
WARM ENRICHED CARDIOPLEGIA-BAG,41323617,573.00
XYLOCAINE 0.5% INJ SDV 50ML,41322094,211.60
XYLOCAINE 0.5% W/EPI INJ 50ML,41322359,88.27
XYLOCAINE 1% W/EPI INJ 20ML,41321847,62.81
XYLOCAINE 1%-MPF W/EPI INJ 20ML,41327033,99.02
XYLOCAINE 1.5%-MPF 20ML,41322718,162.40
XYLOCAINE 2% INJ 10ML SDV,41322093,101.02
XYLOCAINE 2% MPF 5ML,41325695,40.39
XYLOCAINE 2% MPF INJ 2ML,41325926,44.77
XYLOCAINE 2% W/EPI 20ML MDV,41321849,34.43
XYLOCAINE 2% W/EPI DENTAL CART,41322091,26.99
XYLOCAINE 4% INJ 5ML,41321841,72.76
ZEMURON 10MG/ML 5ML VIAL,41323626,132.71
ZOSYN 20MG/ML IV SYRINGE,41326089,13.53
ZYPREXA 10MG IM INJECTION,41325461,342.93
