MS DRG,Thomas MS DRG DESC2, Average of TOTAL CHARGES2 
565,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W CC," $14,472.94 "
566,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC," $15,093.42 "
570,SKIN DEBRIDEMENT W MCC," $11,567.71 "
571,SKIN DEBRIDEMENT W CC," $25,842.58 "
572,SKIN DEBRIDEMENT W/O CC/MCC," $17,560.48 "
576,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W MCC," $19,128.05 "
577,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC," $7,135.83 "
578,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC," $11,562.74 "
579,OTHER SKIN- SUBCUT TISS  BREAST PROC W MCC," $20,156.69 "
580,OTHER SKIN- SUBCUT TISS  BREAST PROC W CC," $15,734.51 "
581,OTHER SKIN- SUBCUT TISS  BREAST PROC W/O CC/MCC," $25,058.68 "
582,MASTECTOMY FOR MALIGNANCY W CC/MCC," $13,326.63 "
583,MASTECTOMY FOR MALIGNANCY W/O CC/MCC," $78,576.67 "
585,BREAST BIOPSY- LOCAL EXCISION  OTHER BREAST PROCEDURES W/O CC/MCC," $5,027.34 "
592,SKIN ULCERS W MCC," $34,060.29 "
593,SKIN ULCERS W CC," $16,292.39 "
596,MAJOR SKIN DISORDERS W/O MCC," $10,219.61 "
597,MALIGNANT BREAST DISORDERS W MCC," $18,972.39 "
598,MALIGNANT BREAST DISORDERS W CC," $24,426.92 "
600,NON-MALIGNANT BREAST DISORDERS W CC/MCC," $19,751.80 "
601,NON-MALIGNANT BREAST DISORDERS W/O CC/MCC," $11,025.16 "
602,CELLULITIS W MCC," $23,574.39 "
603,CELLULITIS W/O MCC," $14,800.90 "
604,TRAUMA TO THE SKIN- SUBCUT TISS  BREAST W MCC," $22,787.16 "
605,TRAUMA TO THE SKIN- SUBCUT TISS  BREAST W/O MCC," $13,385.36 "
606,MINOR SKIN DISORDERS W MCC," $45,701.93 "
607,MINOR SKIN DISORDERS W/O MCC," $15,914.41 "
617,AMPUTAT OF LOWER LIMB FOR ENDOCRINE-NUTRIT- METABOL DIS W CC," $33,331.55 "
623,SKIN GRAFTS  WOUND DEBRID FOR ENDOC- NUTRIT  METAB DIS W CC," $33,072.56 "
624,SKIN GRAFTS  WOUND DEBRID FOR ENDOC- NUTRIT  METAB DIS W/O CC/MCC," $17,874.67 "
627,THYROID- PARATHYROID  THYROGLOSSAL PROCEDURES W/O CC/MCC," $10,083.19 "
628,OTHER ENDOCRINE- NUTRIT  METAB O.R. PROC W MCC," $71,756.72 "
629,OTHER ENDOCRINE- NUTRIT  METAB O.R. PROC W CC," $50,599.05 "
637,DIABETES W MCC," $17,113.91 "
638,DIABETES W CC," $14,797.41 "
639,DIABETES W/O CC/MCC," $14,098.46 "
640,MISC DISORDERS OF NUTRITION-METABOLISM-FLUIDS/ELECTROLYTES W MCC," $17,878.28 "
641,MISC DISORDERS OF NUTRITION-METABOLISM-FLUIDS/ELECTROLYTES W/O MCC," $11,197.63 "
643,ENDOCRINE DISORDERS W MCC," $30,043.55 "
644,ENDOCRINE DISORDERS W CC," $13,208.23 "
645,ENDOCRINE DISORDERS W/O CC/MCC," $14,027.47 "
653,MAJOR BLADDER PROCEDURES W MCC," $68,436.37 "
654,MAJOR BLADDER PROCEDURES W CC," $60,421.18 "
655,MAJOR BLADDER PROCEDURES W/O CC/MCC," $34,867.12 "
656,KIDNEY  URETER PROCEDURES FOR NEOPLASM W MCC," $73,546.86 "
657,KIDNEY  URETER PROCEDURES FOR NEOPLASM W CC," $38,429.54 "
658,KIDNEY  URETER PROCEDURES FOR NEOPLASM W/O CC/MCC," $26,825.79 "
659,KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W MCC," $42,435.24 "
660,KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W CC," $23,328.58 "
661,KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC," $19,911.70 "
663,MINOR BLADDER PROCEDURES W CC," $37,165.99 "
664,MINOR BLADDER PROCEDURES W/O CC/MCC," $19,033.75 "
666,PROSTATECTOMY W CC," $30,515.06 "
667,PROSTATECTOMY W/O CC/MCC," $16,259.86 "
668,TRANSURETHRAL PROCEDURES W MCC," $63,565.99 "
669,TRANSURETHRAL PROCEDURES W CC," $20,804.55 "
670,TRANSURETHRAL PROCEDURES W/O CC/MCC," $12,322.06 "
672,URETHRAL PROCEDURES W/O CC/MCC," $10,724.26 "
673,OTHER KIDNEY  URINARY TRACT PROCEDURES W MCC," $68,484.12 "
674,OTHER KIDNEY  URINARY TRACT PROCEDURES W CC," $33,836.09 "
682,RENAL FAILURE W MCC," $23,026.51 "
683,RENAL FAILURE W CC," $13,825.87 "
684,RENAL FAILURE W/O CC/MCC," $10,495.92 "
686,KIDNEY  URINARY TRACT NEOPLASMS W MCC, $587.32 
687,KIDNEY  URINARY TRACT NEOPLASMS W CC," $11,729.81 "
689,KIDNEY  URINARY TRACT INFECTIONS W MCC," $15,982.27 "
690,KIDNEY  URINARY TRACT INFECTIONS W/O MCC," $13,856.10 "
691,URINARY STONES W ESW LITHOTRIPSY W CC/MCC," $15,497.14 "
693,URINARY STONES W/O ESW LITHOTRIPSY W MCC," $13,163.71 "
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC," $14,913.08 "
695,KIDNEY  URINARY TRACT SIGNS  SYMPTOMS W MCC," $7,699.63 "
696,KIDNEY  URINARY TRACT SIGNS  SYMPTOMS W/O MCC," $5,986.15 "
697,URETHRAL STRICTURE," $6,138.15 "
698,OTHER KIDNEY  URINARY TRACT DIAGNOSES W MCC," $27,873.97 "
699,OTHER KIDNEY  URINARY TRACT DIAGNOSES W CC," $18,723.29 "
700,OTHER KIDNEY  URINARY TRACT DIAGNOSES W/O CC/MCC," $11,095.60 "
707,MAJOR MALE PELVIC PROCEDURES W CC/MCC," $34,136.39 "
708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC," $29,226.57 "
709,PENIS PROCEDURES W CC/MCC," $50,536.03 "
713,TRANSURETHRAL PROSTATECTOMY W CC/MCC," $17,015.19 "
714,TRANSURETHRAL PROSTATECTOMY W/O CC/MCC," $9,033.69 "
717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W CC/MCC," $18,571.82 "
718,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W/O CC/MCC," $10,668.22 "
723,MALIGNANCY- MALE REPRODUCTIVE SYSTEM W CC," $22,259.43 "
726,BENIGN PROSTATIC HYPERTROPHY W/O MCC," $21,703.89 "
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC," $15,836.23 "
742,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC," $20,486.00 "
743,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC," $18,567.35 "
744,DC- CONIZATION- LAPAROSCOPY  TUBAL INTERRUPTION W CC/MCC," $22,265.28 "
746,VAGINA- CERVIX  VULVA PROCEDURES W CC/MCC," $26,134.99 "
747,VAGINA- CERVIX  VULVA PROCEDURES W/O CC/MCC," $6,225.60 "
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES," $28,644.08 "
749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC," $24,044.19 "
757,INFECTIONS- FEMALE REPRODUCTIVE SYSTEM W MCC," $21,099.79 "
758,INFECTIONS- FEMALE REPRODUCTIVE SYSTEM W CC," $23,477.13 "
759,INFECTIONS- FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC," $11,531.58 "
760,MENSTRUAL  OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC," $9,740.84 "
761,MENSTRUAL  OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC," $11,408.95 "
765,CESAREAN SECTION W CC/MCC," $11,143.47 "
766,CESAREAN SECTION W/O CC/MCC," $11,685.23 "
767,VAGINAL DELIVERY W STERILIZATION /OR DC," $10,329.32 "
769,POSTPARTUM  POST ABORTION DIAGNOSES W O.R. PROCEDURE," $27,394.03 "
770,ABORTION W DC- ASPIRATION CURETTAGE OR HYSTEROTOMY," $8,730.63 "
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES," $9,049.48 "
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES," $7,435.42 "
776,POSTPARTUM  POST ABORTION DIAGNOSES W/O O.R. PROCEDURE," $10,874.25 "
777,ECTOPIC PREGNANCY," $13,597.11 "
778,THREATENED ABORTION," $3,209.60 "
779,ABORTION W/O DC," $5,908.68 "
780,FALSE LABOR," $1,776.28 "
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS," $4,374.01 "
782,OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS," $4,052.93 "
785,CESAREAN SECTION W STERILIZATION W/O CC/MCC," $12,501.30 "
786,CESAREAN SECTION W/O STERILIZATION W MCC," $10,434.47 "
787,CESAREAN SECTION W/O STERILIZATION W CC," $12,570.32 "
788,CESAREAN SECTION W/O STERILIZATION W/O CC/MCC," $11,825.87 "
789,NEONATES- DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY," $3,487.10 "
790,EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME- NEONATE," $10,500.70 "
791,PREMATURITY W MAJOR PROBLEMS," $5,768.09 "
792,PREMATURITY W/O MAJOR PROBLEMS," $4,697.80 "
793,FULL TERM NEONATE W MAJOR PROBLEMS," $4,634.34 "
794,NEONATE W OTHER SIGNIFICANT PROBLEMS," $3,307.65 "
795,NORMAL NEWBORN," $2,170.42 "
799,SPLENECTOMY W MCC," $22,628.45 "
800,SPLENECTOMY W CC," $29,533.27 "
801,SPLENECTOMY W/O CC/MCC," $17,146.44 "
803,OTHER O.R. PROC OF THE BLOOD  BLOOD FORMING ORGANS W CC," $16,067.53 "
805,VAGINAL DELIVERY W/O STERILIZATION/DC W MCC," $9,462.88 "
806,VAGINAL DELIVERY W/O STERILIZATION/DC W CC," $8,025.71 "
807,VAGINAL DELIVERY W/O STERILIZATION/DC W/O CC/MCC," $7,817.03 "
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS  COAGUL W MCC," $38,959.92 "
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS  COAGUL W CC," $33,241.21 "
810,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS  COAGUL W/O CC/MCC," $6,687.34 "
811,RED BLOOD CELL DISORDERS W MCC," $21,322.62 "
812,RED BLOOD CELL DISORDERS W/O MCC," $15,521.36 "
813,COAGULATION DISORDERS," $26,242.60 "
815,RETICULOENDOTHELIAL  IMMUNITY DISORDERS W CC," $20,755.83 "
817,OTHER ANTEPARTUM DIAGNOSES W O.R. PROCEDURE W MCC," $15,186.08 "
821,LYMPHOMA  LEUKEMIA W MAJOR O.R. PROCEDURE W CC," $23,427.97 "
822,LYMPHOMA  LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC," $13,612.00 "
823,LYMPHOMA  NON-ACUTE LEUKEMIA W OTHER PROC W MCC," $20,613.05 "
824,LYMPHOMA  NON-ACUTE LEUKEMIA W OTHER PROC W CC," $17,531.20 "
826,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W MCC," $125,175.07 "
829,OTHER PROCEDURE W CC/MCC," $41,882.80 "
831,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W MCC," $8,555.26 "
832,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W CC," $5,145.43 "
833,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W/O CC/MCC," $1,578.80 "
834,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC," $30,336.90 "
840,LYMPHOMA  NON-ACUTE LEUKEMIA W MCC," $24,163.88 "
841,LYMPHOMA  NON-ACUTE LEUKEMIA W CC," $14,887.83 "
843,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC," $14,100.47 "
844,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC," $30,766.40 "
853,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W MCC," $80,951.62 "
854,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W CC," $38,185.92 "
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC," $58,856.25 "
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC," $30,816.90 "
858,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W/O CC/MCC," $23,369.03 "
862,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W MCC," $36,566.06 "
863,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W/O MCC," $16,872.15 "
864,FEVER," $15,216.75 "
865,VIRAL ILLNESS W MCC," $32,249.33 "
866,VIRAL ILLNESS W/O MCC," $12,554.95 "
867,OTHER INFECTIOUS  PARASITIC DISEASES DIAGNOSES W MCC," $31,097.95 "
868,OTHER INFECTIOUS  PARASITIC DISEASES DIAGNOSES W CC," $17,029.93 "
870,SEPTICEMIA OR SEVERE SEPSIS W MV>96 HOURS," $90,399.92 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC," $32,094.33 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC," $18,686.94 "
880,ACUTE ADJUSTMENT REACTION  PSYCHOSOCIAL DYSFUNCTION," $11,761.05 "
881,DEPRESSIVE NEUROSES," $15,577.72 "
882,NEUROSES EXCEPT DEPRESSIVE," $30,211.65 "
884,ORGANIC DISTURBANCES  INTELLECTUAL DISABILITY," $14,381.24 "
885,PSYCHOSES," $13,396.04 "
894,ALCOHOL/DRUG ABUSE OR DEPENDENCE- LEFT AMA," $4,925.52 "
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC," $22,227.29 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC," $12,326.23 "
901,WOUND DEBRIDEMENTS FOR INJURIES W MCC," $16,113.51 "
902,WOUND DEBRIDEMENTS FOR INJURIES W CC," $20,525.38 "
903,WOUND DEBRIDEMENTS FOR INJURIES W/O CC/MCC," $19,140.10 "
904,SKIN GRAFTS FOR INJURIES W CC/MCC," $24,463.11 "
907,OTHER O.R. PROCEDURES FOR INJURIES W MCC," $55,515.25 "
908,OTHER O.R. PROCEDURES FOR INJURIES W CC," $21,187.49 "
909,OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC," $12,369.06 "
914,TRAUMATIC INJURY W/O MCC," $9,745.82 "
915,ALLERGIC REACTIONS W MCC," $9,015.53 "
916,ALLERGIC REACTIONS W/O MCC," $3,059.69 "
917,POISONING  TOXIC EFFECTS OF DRUGS W MCC," $24,090.86 "
918,POISONING  TOXIC EFFECTS OF DRUGS W/O MCC," $15,391.36 "
919,COMPLICATIONS OF TREATMENT W MCC," $29,122.16 "
920,COMPLICATIONS OF TREATMENT W CC," $19,941.86 "
921,COMPLICATIONS OF TREATMENT W/O CC/MCC," $10,929.43 "
935,NON-EXTENSIVE BURNS," $7,054.89 "
939,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W MCC," $83,260.42 "
940,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC," $53,313.03 "
941,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC," $31,767.70 "
947,SIGNS  SYMPTOMS W MCC," $14,558.70 "
948,SIGNS  SYMPTOMS W/O MCC," $15,950.69 "
949,AFTERCARE W CC/MCC," $25,114.35 "
950,AFTERCARE W/O CC/MCC," $21,556.72 "
956,LIMB REATTACHMENT- HIP  FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA," $65,706.53 "
958,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC," $23,196.66 "
963,OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC," $38,102.46 "
964,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC," $12,429.15 "
974,HIV W MAJOR RELATED CONDITION W MCC," $50,048.60 "
977,HIV W OR W/O OTHER RELATED CONDITION," $21,648.19 "
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC," $91,246.32 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC," $38,068.99 "
983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC," $19,659.54 "
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC," $47,494.68 "
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC," $28,796.95 "
989,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC," $6,273.86 "
