NewYork-Presbyterian Standard Hospital Charges 2019,,
,,
Category,Charge Description,Price
DRUGS,DESMOPRESSIN INJ SY 0.1 MCG/ML,$35.70
DRUGS,VANCOMYCIN 750MG/150ML INJ,$35.99
DRUGS,DESMOPRESSIN INJ 40 MCG/10 ML,$36.95
DRUGS,PALONOSETRON .25MG/5ML INJ 5ML,$37.49
DRUGS,DIAZEPAM 5 MG/ML INJ 4ML,$38.29
DRUGS,TIROFIBAN 5MG 100ML,$38.41
DRUGS,DESMOPRESSIN INJ 4 MCG/ML,$38.76
DRUGS,IRON DEXTRAN INJ 50 MG/ML 2 ML,$39.29
DRUGS,TRIAMCINOLONE ACET INJ 10 MG/M,$39.30
DRUGS,HYDROMORPHONE 1MG/100ML NS,$40.04
DRUGS,METHYLERGONOVINE INJ 0.2 MG/ML,$40.06
DRUGS,METHYLPREDNISOLONE 80MG/1ML DE,$40.25
DRUGS,PEN G BENZATHINE INJ 1.2 MU/2,$40.47
DRUGS,POTASSIUM CL SOLN 20 MEQ/15 ML,$41.04
DRUGS,CLONIDINE INJ 100 MGC/ML 10 ML,$42.18
DRUGS,PEN G BENZATHINE INJ 2.4 MU/4,$42.19
DRUGS,EPOETIN 20    000 U/ML INJ,$43.12
DRUGS,HYLAN POLYMERS INJ 8MG/ML,$43.78
DRUGS,CEFTAZIDIME *R* 40 MG/ML D5W,$43.91
DRUGS,EXEMESTANE TAB 25MG UD,$44.21
DRUGS,AMPICILLIN IV SY 30 MG/ML NS,$45.08
DRUGS,PEN G BENZATHINE INJ 600 KU/1,$45.29
DRUGS,INJ    AMPHOTERICIN B    50 MG,$46.99
DRUGS,DENOSUMAB 60MG/ML 1ML *NF*,$47.42
DRUGS,CANGRELOR INJ 50MG,$48.90
DRUGS,BENZTROPINE INJ 1 MG/ML 2 ML,$49.09
DRUGS,CANGRELOR 200 MCG/ML INJ,$49.37
DRUGS,ACETAZOLAMIDE SOD INJ 500 MG,$50.22
DRUGS,AZITHROMYCIN SUS 200 MG/5 ML 2,$50.27
DRUGS,INFL VACC AFLURIA INJ,$50.82
DRUGS,NALOXONE INJ 0.4 MG/1 ML,$51.89
DRUGS,ERYTHROPOIETIN IV SY 1000 U/ML,$51.95
DRUGS,DEFEROXAMINE INJ 500 MG,$52.98
DRUGS,HEPATITIS B VAC INJ 10 MCG/0.5,$53.57
DRUGS,ERYTHROPOIETIN INJ 10000 U/ML,$54.17
DRUGS,ERYTHROPOIETIN INJ 3000 U/ML,$54.21
DRUGS,ERYTHROPOIETIN INJ 2000 U/ML,$54.25
DRUGS,FLUPHENAZINE DEC INJ 25 MG/ML,$54.88
DRUGS,AMPHOTERICIN B25MG IN 100ML SW,$56.04
DRUGS,METHYLPRED SOD SUC 2.5 MG/ML,$56.23
DRUGS,EPOPROSTENOL INJ 1.5MG,$56.67
DRUGS,FLU FLUARIX  QUADRIVALENT .5ML,$57.23
DRUGS,CHLOROPROCAINE *R* INJ 2% 30 M,$59.92
DRUGS,DENOSUMAB INJ 70MG/ML 1.7ML*R,$60.17
DRUGS,METHADONE INJ 10 MG/ML 20 ML,$60.46
DRUGS,INFLUENZA QUAD (FLUZONE) .5ML,$60.85
DRUGS,HALOPERIDOL DEC INJ 50 MG/ML 5,$60.86
DRUGS,POTASSIUM CL SOLN 40 MEQ/30 ML,$61.87
DRUGS,GONADOTROPIN INJ 1000 U/ML 10,$62.68
DRUGS,HALOPERIDOL DECANOATE 100MG/ML,$64.04
DRUGS,HALOPERIDOL DECANOATE INJ 100,$64.14
DRUGS,MORPHINE PF 2 MG/2 ML SYR,$64.58
DRUGS,EPOPROSTENOL 30000NG/ML SYR,$65.86
DRUGS,INJ    EPOPROSTENOL    0.5 MG,$66.21
DRUGS,VEDOLIZUMAB 300MG INJ,$66.64
DRUGS,HYDROMORPHONE .5MG/.5ML INJ,$69.49
DRUGS,CHLOROPROCAINE MPF INJ 2% 20ML,$70.35
DRUGS,MEPERIDINE HCL INJ 25 MG/ML DU,$73.10
DRUGS,CLONIDINE INJ 500MCG/ML 10ML,$73.47
DRUGS,CHLOROPROCAINE MPF INJ 3% 20ML,$74.33
DRUGS,NALOXONE INJ 0.4 MG/ML 10 ML,$74.37
DRUGS,PAPAVERINE 60MG/2ML INJ,$75.22
DRUGS,DEXTRAN-DEXTROSE INJ 40,$76.67
DRUGS,HYDROXYZINE SYRP 10MG/5ML UDCU,$77.00
DRUGS,MARAVIROC TAB 150 MG,$77.48
DRUGS,MORPHINE INJ 1MG/ML 10ML,$80.16
DRUGS,AZITHROMYCIN TAB 600MG UD,$80.38
DRUGS,EPOPROSTENOL *NF* INJ 500    000,$81.50
DRUGS,CHLORPROMAZINE INJ 25 MG/ML 2,$81.95
DRUGS,LEVETIRACETAM 1500MG/100ML INJ,$88.07
DRUGS,POLIOVIRUS VAC INJ 0.5 ML,$89.57
DRUGS,FLU FLUZONE QUADRIVALENT .25ML,$89.76
DRUGS,HYOSCYAMINE SULFATE INJ 0.5 MG,$91.27
DRUGS,TRIMETHOBENZAMIDE *NF INJ 200M,$95.13
DRUGS,SIROLIMUS ORAL SOLN 60 MG/60 M,$96.38
DRUGS,ADO-TRASTZMAB EMTANSIN 100MG,$97.07
DRUGS,ADO-TRASTZMAB EMTANSIN 160MG,$97.07
DRUGS,HEPATITIS A VAC 720 UNITS,$101.30
DRUGS,CIPROFLOXACIN OTIC SOLN 0.2%,$104.76
DRUGS,PHENOBARBITAL INJ 65 MG/ML,$107.92
DRUGS,CAPECITABINE 500 MG TAB,$111.51
DRUGS,LEVOCARNITINE INJ 200 MG/ML 5,$111.93
DRUGS,SARGRAMOSTIM *R* INJ 500 MCG,$112.17
DRUGS,AMPHOTERICIN INJ 50 MG,$112.75
DRUGS,SECRETIN INJ PER 1 MCG,$114.84
DRUGS,IMMUNOGLOBULIN INJ 5 G/100 ML,$117.91
DRUGS,IMMUNOGLOBULIN IV 10GM INJ,$118.14
DRUGS,IMMUNOGLOBULIN IV 20GM INJ,$118.49
DRUGS,ADENOSINE INJ 6MG/2ML SYRINGE,$119.67
DRUGS,COSYNTROPIN INJ 250 MCG,$121.34
DRUGS,IMMUNE GLOBULIN 10% SOL 30GM,$122.18
DRUGS,IMMU-GLOBULIN OCTAGAM 5G,$124.40
DRUGS,IMMU-GLOBULIN OCTAGAM 10G,$124.40
DRUGS,ALBUMIN INJ 5% 500 ML,$125.10
DRUGS,ALBUMIN INJ 25% 50 ML,$125.44
DRUGS,ALBUMIN INJ 5% 250 ML,$125.54
DRUGS,METHADONE SYR 10MG/1ML,$125.75
DRUGS,INTERFERON  BETA-1A 30MCG,$125.80
DRUGS,PENTAFLUOROP-TETRAFLUORO 3.5OZ,$125.97
DRUGS,ALBUMIN INJ 25% 100 ML,$126.56
DRUGS,CARFILZOMIB 60 MG INJ,$128.50
DRUGS,TOBRAMYCIN *R* INH SOL 300 MG/,$131.78
DRUGS,CYCLOSPORINE INJ 50 MG/ML 5 ML,$134.00
DRUGS,CHLORPROMAZINE INJ 25 MG/ML,$134.29
DRUGS,IMMUNE GLOBULIN IV 5GM INJ,$143.55
DRUGS,IMMUNE GLOBULIN 10% IV,$143.55
DRUGS,IMMUNOGLOBULIN INJ 10 G,$143.55
DRUGS,INFLUENZA (TRIVALENT) INJ .5ML,$143.65
DRUGS,CHLOROTHIAZIDE INJ 500 MG,$145.08
DRUGS,DORNASE ALPHA INH SOLN 2.5 MG/,$148.32
DRUGS,ERTAPENEM 1G/50ML NS,$152.24
DRUGS,EPINEPHRINE INJ 0.3 MG/0.3 ML,$155.50
DRUGS,LEVOFLOXACIN IV SY 5 MG/ML D5W,$173.25
DRUGS,ERYTHROMYCIN LACTO INJ 500 MG,$174.35
DRUGS,LANREOTIDE 120MG/0.5 ML INJ,$175.00
DRUGS,AMPICILLIN-SULBA IV SY 30MG/ML,$176.10
DRUGS,GANCICLOVIR *R* 10 MG/ML D5W,$177.10
DRUGS,ALTEPLASE BOLUS FOR STROKE *R*,$181.10
DRUGS,ALTEPLASE *R* IV SY 1 MG/ML D5,$181.93
DRUGS,PEMETREXED INJ 100 MG,$187.10
DRUGS,HEPATITIS B IG INJ 5 ML,$187.65
DRUGS,PENTOBARBITAL INJ 50 MG/ML 20,$188.98
DRUGS,OCRELIZUMAB 30MG/ML INJ,$189.58
DRUGS,INJ    IMMUNE GLOBULIN IV 5 GMS,$195.22
DRUGS,HEPATITIS A VAC,$204.46
DRUGS,HEPATITIS B IMMUNE GLOB INJ 1,$214.17
DRUGS,HYALURONIDASE 150 UNITS/ML INJ,$218.85
DRUGS,MEASLES-MUMPS-RUBELLA VAC INJ,$219.48
DRUGS,PROCAINAMIDE INJ 500 MG/ML 2 M,$220.17
DRUGS,USTEKINUMAB 45MG/0.5ML SYR,$222.07
DRUGS,HEPATITIS B VAC INJ 10 MCG/ML,$224.03
DRUGS,FOSCARNET *R* 24 MG/ML,$228.40
DRUGS,NESIRITIDE INJ 1.5MG,$230.84
DRUGS,GANCICLOVIR *R* INJ 500 MG,$238.62
DRUGS,DIPHTH TETANUS/POLIO/HIB,$239.60
DRUGS,IBUTILIDE INJ 0.1 MG/ML 10 ML,$240.19
DRUGS,ROMIPLOSTIM INJ 250 MCG *R*,$241.59
DRUGS,ARSENIC TRIOXIDE 2MG/ML INJ,$242.93
DRUGS,DURVALUMAB 50 MG/ML 10 ML INJ,$243.52
DRUGS,ALTEPLASE 2MG SYRINGE,$247.54
DRUGS,ROMIPLOSTIM INJ 500 MCG *R*,$248.63
DRUGS,ISOSULFAN BLUE *R* INJ 1% 5 ML,$257.02
DRUGS,PROCAINAMIDE INJ 100 MG/ML 10,$257.17
DRUGS,TREPROSTINIL INJ 100 MG,$257.90
DRUGS,TREPROSTINIL INJ1MG/ML20ML*NF*,$260.37
DRUGS,TREPROSTINIL INJ 50 MG,$270.28
DRUGS,BACLOFEN IT 0.05 MG SCREEN KIT,$280.00
DRUGS,ALTEPLASE *R* INJ 2 MG/2 ML,$284.67
DRUGS,ALTEPLASE *R* INJ 100 MG,$285.87
DRUGS,HEPATITIS B VAC INJ MCG/1ML,$286.35
DRUGS,DIHYDROERGOTAMINE INJ 1 MG/ML,$294.57
DRUGS,HYALURONIDASE VL 200U/ML 1.2ML,$305.10
DRUGS,PNEUMOCOCCAL VAC INJ 25 MCG/0.,$305.63
DRUGS,NILOTINIB CAP 150 MG *NF*,$323.05
DRUGS,HEPATITIS HB VAC INJ 40 MCG/ML,$329.91
DRUGS,LINEZOLID IV SY 2 MG/ML *R*,$345.70
DRUGS,ROTAVIRUS VACC MONOVALENT POWD,$359.49
DRUGS,CEFTOLOZAN/TAZOBACTAM INJ.05GM,$364.85
DRUGS,AMOBARBITAL INJ 500 MG,$369.05
DRUGS,ERIBULIN INJ .5MG/ML 2ML *NF*,$381.06
DRUGS,INJ    INFLIXIMAB    10 MG,$381.94
DRUGS,VARICELLA VAC INJ 0.5 ML,$419.98
DRUGS,ZOLEDRONIC-MANNITOL 5 MG/100ML,$424.65
DRUGS,INJ    GLATIRAMER    PER DOSE,$449.25
DRUGS,ANAKINRA INJ 100MG/.67ML *NF*,$476.38
DRUGS,CABAZITAXEL 60MG/1.5ML,$510.64
DRUGS,HEPATITIS B IMMUNE GLOBULIN IN,$515.91
DRUGS,GLUCAGON INJ 1 MG,$561.51
DRUGS,BACLOFEN IT 10MG/20ML KIT,$577.50
DRUGS,HYALURONATE INJ 40 MG/2 ML LL,$584.74
DRUGS,PNEUMOCOCCAL 13-VALENT VACCINE,$588.41
DRUGS,OCTREOTIDE DEPOT 20MG INJ,$605.86
DRUGS,OCTREOTIDE DEPOT 30MG INJ,$606.12
DRUGS,DAUNORUBICIN-CYTARABINE LIPOSO,$616.47
DRUGS,TACROLIMUS INJ 5 MG/ML,$667.96
DRUGS,TRYPAN BLUE 0.06% OS 0.5ML,$681.14
DRUGS,USTEKINUMAB 90MG/1.0ML SYR,$694.03
DRUGS,INJ    DEXRAZOXANE    PER 250 MG,$718.50
DRUGS,BACLOFEN IT 40MG/20ML KIT,$752.50
DRUGS,ECULIZUMAB INJ 10 MG/ML 30 ML,$757.04
DRUGS,RABIES IMMUNE SERUM INJ 300 U,$797.61
DRUGS,RABIES IMMUNE GLOB INJ 150U/ML,$842.27
DRUGS,AZITHROMYCIN IV SY 2 MG/ML D5W,$847.00
DRUGS,RASBURICASE INJ 1.5 MG,$888.65
DRUGS,CONJUGATED ESTROGENS INJ 25 MG,$942.51
DRUGS,PLERIXAFOR *NF* SYRNGE 20MG,"$1,100.27"
DRUGS,INJ    ETHANOLAMINE    100 MG,"$1,222.19"
DRUGS,PHENTOLAMINE 5MG INJ,"$1,234.32"
DRUGS,PENTOBARBITAL 50MG/ML INJ,"$1,374.06"
DRUGS,DIGOXIN INJ 100 MCG/ML,"$1,433.30"
DRUGS,INJ    TETANUS    UP TO 250 UNITS,"$1,444.24"
DRUGS,PALIVIZUMAB IV SY 100 MG/ML,"$1,506.83"
DRUGS,CIDOFOVIR INJ 375 MG,"$1,643.89"
DRUGS,ANTITHYMOCYTE GLOB RABBIT INJ,"$1,702.01"
DRUGS,HEXAMINOLEVULINATE 100MG,"$3,080.00"
DRUGS,LEUPROLIDE DEPOT INJ 11.25MG,"$3,660.81"
DRUGS,DORNASE ALFA5MG/30ML INTPL SOL,"$3,745.00"
DRUGS,ADALIMUMAB INJ 40MG,"$3,748.67"
DRUGS,INJ    CYTOMEGALOVIRUS    PER VIAL,"$3,973.13"
DRUGS,PALIVIZUMAB LYOPH VL 50MG,"$4,784.46"
DRUGS,DACTINOMYCIN 0.5 MG INJ,"$5,058.34"
DRUGS,ANTITHYMOCYTE INJ 50 MG/ML 5 M,"$5,952.27"
DRUGS,IDARUCIZUMAB INJ 2500MG/50ML,"$6,094.38"
DRUGS,INOTUZUMAB 0.9MG INJ,"$7,272.22"
DRUGS,CALCITONIN SALMON INJ 200 U/ML,"$8,396.84"
DRUGS,INJ    BASILIXIMAB    20 MG,"$10,122.00"
DRUGS,INJ    DIGOXIN IMM FAB    PER VIAL,"$11,056.04"
DRUGS,PEGFILGRASTIM SYR 6MG/0.6ML,"$12,682.46"
DRUGS,COPANLISIB 15MG/ML INJ 4ML,"$14,700.00"
DRUGS,PEGFILGRASTIM INJ 6MG/0.6ML,"$16,870.74"
DRUGS,YESCARTA ADULT,"$1,305,500.00"
DRUGS,WILATE VWF PER IU (CRD HLT),$0.95
DRUGS,RIASTAP FIBRIN 100MG (CRD HLT),$0.96
DRUGS,NUWIQ HEMOPHILIA FACTOR VIII,$1.24
DRUGS,BENEFIX FACTOR 9,$1.32
DRUGS,COAGADEX FACTOR-X     PER 1IU,$6.63
DRUGS,RHOGAM RHIG IM,$78.00
DRUGS,HEMOFIL M,$0.94
DRUGS,HUMATE P,$0.95
DRUGS,KOGENATE FS,$1.00
DRUGS,ADVATE,$1.19
DRUGS,BENEFIX,$1.46
DRUGS,NOVOSEVEN,$1.85
DRUGS,TOLVAPTAN TAB 15MG *R*,"$1,386.29"
DRUGS,TOLVAPTAN TAB 30MG *R*,"$1,299.15"
DRUGS,TROPICAMIDE 1% OPTH SOLN 3ML,$28.41
DRUGS,VORICONAZOLE 100MCG/0.1ML OPTH,$0.14
EMERGENCY ROOM,E/R VISIT TO INPT,"$2,878.00"
EMERGENCY ROOM,ER TRIAGE-URGENT CARE,$196.00
EMERGENCY ROOM,LEVEL 1,$926.00
EMERGENCY ROOM,LEVEL 2,"$1,157.00"
EMERGENCY ROOM,LEVEL 3,"$1,495.00"
EMERGENCY ROOM,LEVEL 4,"$1,969.00"
EMERGENCY ROOM,LEVEL 5,"$2,878.00"
EMERGENCY ROOM,LEVEL 6,"$4,239.00"
ENDOSCOPY,ENDOSCOPY SUITE INITIAL 30 MINS,"$4,235.00"
ENDOSCOPY,ENDOSCOPY SUITE EACH ADDL 15 MINS,$413.00
IMPLANTABLES/MEDICAL SUPPLIES,12 HOLE 2.7 ADAPTION PLATE,$995.90
IMPLANTABLES/MEDICAL SUPPLIES,2.4 LCP ADAPTION PLATE,"$1,025.78"
IMPLANTABLES/MEDICAL SUPPLIES,25KHZ BRCUDA SPETZLER TIP SNPT,"$2,310.00"
IMPLANTABLES/MEDICAL SUPPLIES,3 WAY STOPCOCK W/ROT ADAPTER,$10.54
IMPLANTABLES/MEDICAL SUPPLIES,ACC PORT W/BLDLSS OPTICAL5X100,$278.50
IMPLANTABLES/MEDICAL SUPPLIES,ACC PORT W/BLDLSS OPTICL12X100,$288.05
IMPLANTABLES/MEDICAL SUPPLIES,ACC PORT W/BLDLSS OPTICL12X120,$298.31
IMPLANTABLES/MEDICAL SUPPLIES,ACTIVA NEUROSTIM PT PROGRAMER,"$2,786.00"
IMPLANTABLES/MEDICAL SUPPLIES,ADAPTA SINGLE PACEMAKER 12CC,"$8,918.00"
IMPLANTABLES/MEDICAL SUPPLIES,ADAPTER IV DBL MALE LL,$5.18
IMPLANTABLES/MEDICAL SUPPLIES,ADAPTER SWIVEL BRONCHIOSCOPE,$36.96
IMPLANTABLES/MEDICAL SUPPLIES,ADL TRANSSEPTA NDL 18GX98CM,$378.00
IMPLANTABLES/MEDICAL SUPPLIES,ADMIRAL PTA CATH 4X120MMX130CM,"$4,144.00"
IMPLANTABLES/MEDICAL SUPPLIES,ADMIRAL PTA CATH 4X40MMX130CM,"$3,724.00"
IMPLANTABLES/MEDICAL SUPPLIES,ADMIRAL PTA CATH 5X120MMX130CM,"$4,144.00"
IMPLANTABLES/MEDICAL SUPPLIES,ADMIRAL PTA CATH 5X40MMX130CM,"$2,327.50"
IMPLANTABLES/MEDICAL SUPPLIES,ADMIRAL PTA CATH 5X60MMX130CM,"$3,724.00"
IMPLANTABLES/MEDICAL SUPPLIES,ADMIRAL PTA CATH 6X120MMX130CM,"$3,724.00"
IMPLANTABLES/MEDICAL SUPPLIES,ADMIRAL PTA CATH 6X40MMX130CM,"$3,724.00"
IMPLANTABLES/MEDICAL SUPPLIES,ADMIRAL PTA CATH 6X60MMX130CM,"$3,724.00"
IMPLANTABLES/MEDICAL SUPPLIES,ADMIRAL PTA CATH 7X40MMX130CM,"$3,724.00"
IMPLANTABLES/MEDICAL SUPPLIES,AMANDA PTA CATH 5X100X135CM,$546.00
IMPLANTABLES/MEDICAL SUPPLIES,ARMADA PTA CATH 4X120MMX135CM,$560.00
IMPLANTABLES/MEDICAL SUPPLIES,ARMADA PTA CATH 4X80MMX135CM,$560.00
IMPLANTABLES/MEDICAL SUPPLIES,ARMADA PTA CATH 5X80X135CM,$560.00
IMPLANTABLES/MEDICAL SUPPLIES,ARMADA PTA CATH 6X100MMX135CM,$560.00
IMPLANTABLES/MEDICAL SUPPLIES,ARMADA PTA CATH 6X20MMX135CM,$560.00
IMPLANTABLES/MEDICAL SUPPLIES,ARMADA PTA CATH 6X40MMX135CM,$560.00
IMPLANTABLES/MEDICAL SUPPLIES,ARMADA PTA CATH 6X80MMX135CM,$560.00
IMPLANTABLES/MEDICAL SUPPLIES,ASAHI PTCA XT-A GUIDEWIRE300CM,$280.00
IMPLANTABLES/MEDICAL SUPPLIES,ASPIRA LUER ADAPTER,$546.00
IMPLANTABLES/MEDICAL SUPPLIES,ASSEMBLY OPTIC FIBER PICK STR,$154.00
IMPLANTABLES/MEDICAL SUPPLIES,ATLAS PTA CATH 12F 4X24X75CM,"$2,044.00"
IMPLANTABLES/MEDICAL SUPPLIES,ATLAS PTA CATH 18MM 6X75CM,"$1,049.58"
IMPLANTABLES/MEDICAL SUPPLIES,BAL DIL PTA CATH 7MMX2X110CM,$322.00
IMPLANTABLES/MEDICAL SUPPLIES,BALL DIL CATH PTA 4X200MMX75CM,$490.00
IMPLANTABLES/MEDICAL SUPPLIES,BALL PTA CATH 6F 6MMX4X75CM,$574.00
IMPLANTABLES/MEDICAL SUPPLIES,BEVEL UP-ANG OPTH KNIFE 2.3MM,$38.50
IMPLANTABLES/MEDICAL SUPPLIES,BIB PTA BALL CATH 18MMX4.5CM,"$2,100.00"
IMPLANTABLES/MEDICAL SUPPLIES,BIOPSY VALVE ADAPTER,$24.26
IMPLANTABLES/MEDICAL SUPPLIES,BLADE BEAVERGUARD OPTH .35MM,$150.96
IMPLANTABLES/MEDICAL SUPPLIES,BLDLSS OPTICL ACC PORT 12X100,$288.05
IMPLANTABLES/MEDICAL SUPPLIES,BLU OPTH DRAPE 65X100IN,$57.40
IMPLANTABLES/MEDICAL SUPPLIES,BODAI PEEP SAFE ADAPTER,$11.69
IMPLANTABLES/MEDICAL SUPPLIES,BRK-1 TRANSEPTAL NDL 18GX98CM,$472.50
IMPLANTABLES/MEDICAL SUPPLIES,BRK-1 TRANSSEPTA NDL 71CM,$350.00
IMPLANTABLES/MEDICAL SUPPLIES,CAPIO SLIM SUT CAPTURNG DEVICE,"$1,453.76"
IMPLANTABLES/MEDICAL SUPPLIES,CARDIODRVE HEMOSTAT ADAPTER-SJ,$262.50
IMPLANTABLES/MEDICAL SUPPLIES,CARDIOFORM SEPTAL OCCLUDR 20MM,"$18,611.60"
IMPLANTABLES/MEDICAL SUPPLIES,CARDIOFORM SEPTAL OCCLUDR 25MM,"$18,611.60"
IMPLANTABLES/MEDICAL SUPPLIES,CARDIOFORM SEPTAL OCCLUDR 30MM,"$18,611.60"
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTA 10MMX2X135CM,$386.40
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTA 9MMX2X110CM,$322.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA 2.25X17MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA 2.5X14MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA 2.5X9MM,$210.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA 2X12MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA 2X9MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA 3X14MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA 3X9MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 2.25X10MM,$210.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 2.25X15MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 2.25X8MM,$210.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 2.5X10MM,$217.64
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 2.5X15MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 2.5X18MM,$231.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 2.5X8MM,$238.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 2.75X10MM,$238.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 2.75X15MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 2.75X18MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 3.5X10MM,$224.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 3.5X15MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 3.5X8MM,$231.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 3X10MM,$210.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 3X15MM,$238.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 3X18MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 3X8MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 4.5X15MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 4.5X8MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 4X10MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 4X15MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA NC 4X8MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL DIL PTCA RX 4X14MM,$252.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL OTW PTA 12X20MMX75CM,$560.00
IMPLANTABLES/MEDICAL SUPPLIES,CATH BAL PTA 5FX4X220MMX130CM,"$7,000.00"
IMPLANTABLES/MEDICAL SUPPLIES,CHECK-FLO ACCESSORY ADAPTER,$27.13
IMPLANTABLES/MEDICAL SUPPLIES,CHOICE PT GUIDEWIRE .014X300CM,$308.00
IMPLANTABLES/MEDICAL SUPPLIES,COAX UMBILICAL CATH ADAPTER,$392.00
IMPLANTABLES/MEDICAL SUPPLIES,CRYO CATH UMBIL ADAPTER,$647.50
IMPLANTABLES/MEDICAL SUPPLIES,GRN VORTEX ROUTER 4.5MM,$0.04
IMPLANTABLES/MEDICAL SUPPLIES,AORTIC VALVE CAUTERY DEV,$0.04
IMPLANTABLES/MEDICAL SUPPLIES,8PLY GAUZE SPONGE 2X2,$0.07
IMPLANTABLES/MEDICAL SUPPLIES,8PLY STL SPONGE GAUZE 2X2IN,$0.07
IMPLANTABLES/MEDICAL SUPPLIES,MONOJECT A-BEV NDL,$0.09
IMPLANTABLES/MEDICAL SUPPLIES,COTTON TIP APPLICATOR 6IN,$0.11
IMPLANTABLES/MEDICAL SUPPLIES,STL TONGUE DEPRESSOR 6IN,$0.11
IMPLANTABLES/MEDICAL SUPPLIES,25GA NDL 5/8 IN,$0.11
IMPLANTABLES/MEDICAL SUPPLIES,BEVELED HYPO NDL 26GX1.5IN,$0.11
IMPLANTABLES/MEDICAL SUPPLIES,HYPO NDL 26GA X 0.5IN,$0.12
IMPLANTABLES/MEDICAL SUPPLIES,LUER LOCK MONOJECT SYR 3CC,$0.14
IMPLANTABLES/MEDICAL SUPPLIES,STL SPONGE GAUZE 4X4IN,$0.18
IMPLANTABLES/MEDICAL SUPPLIES,PNK VACUTAINER PLAS TUBE 6ML,$0.25
IMPLANTABLES/MEDICAL SUPPLIES,STL SURG SLEEVE,$0.26
IMPLANTABLES/MEDICAL SUPPLIES,TELFA STER GAUZE PAD 3X4IN,$0.28
IMPLANTABLES/MEDICAL SUPPLIES,LUER LOCK SYR W/O TIP 12CC,$0.32
IMPLANTABLES/MEDICAL SUPPLIES,LUER LOCK SYR W/O TIP 6CC,$0.32
IMPLANTABLES/MEDICAL SUPPLIES,SPONGE PEANUT,$0.39
IMPLANTABLES/MEDICAL SUPPLIES,RAYON TIP APPLICATOR 8IN,$0.39
IMPLANTABLES/MEDICAL SUPPLIES,SS SURG RAZOR BLADE MED NO15,$0.51
IMPLANTABLES/MEDICAL SUPPLIES,HYPO SAFE NDL 18G X 1-1/2IN,$0.53
IMPLANTABLES/MEDICAL SUPPLIES,HYPO SAFE NDL 18G X 1IN,$0.56
IMPLANTABLES/MEDICAL SUPPLIES,HYPO SAFE NDL 20G X 1-1/2IN,$0.60
IMPLANTABLES/MEDICAL SUPPLIES,HYPO SAFE NDL 22G X 1-1/2IN,$0.60
IMPLANTABLES/MEDICAL SUPPLIES,HYPO SAFE NDL 25G X 5/8IN,$0.63
IMPLANTABLES/MEDICAL SUPPLIES,HYPO SAFE NDL 25G X 1.5IN,$0.63
