CDM_NBR [corp],HOSP,DEPT_DESC [corp],CDM_DESC [corp],CURR_PRICE
6105101,SHARON HOSPITAL,PHARMACY,MAGNEVIST 46.9% INJ.,#REF!
6105102,SHARON HOSPITAL,PHARMACY,FLUOXETINE 20MG/5ML ORAL LIQUID UDC,#REF!
6105103,SHARON HOSPITAL,PHARMACY,VANCOMYCIN 1.25 G/ D5W 250 ML,#REF!
6105104,SHARON HOSPITAL,PHARMACY,VANCOMYCIN 1.5G/ D5W 500 ML,#REF!
6105105,SHARON HOSPITAL,PHARMACY,MEROPENEM/VABORBACTAM 2G,#REF!
6105106,SHARON HOSPITAL,PHARMACY,LIDOCAINE 2% JELLY SYRINGE 11 ML,#REF!
6105107,SHARON HOSPITAL,PHARMACY,ROTA VIRUS ACTIVE 1ML,#REF!
6105108,SHARON HOSPITAL,PHARMACY,INFLUENZA VACC QUAD PFS 2019,#REF!
6105109,SHARON HOSPITAL,PHARMACY,INFLUENZA VACC FLUZONE PED 2019,#REF!
6105110,SHARON HOSPITAL,PHARMACY,INFLUENZA AFLURIA 2019,#REF!
6105111,SHARON HOSPITAL,PHARMACY,INFLUENZA VACCINE FLUZONE HIGH DOSE 2019,#REF!
6105112,SHARON HOSPITAL,PHARMACY,INFLUENZA VACCINE FLUBLOK QUAD 2019,#REF!
6105113,SHARON HOSPITAL,PHARMACY,FLUZONE VACCINE QUAD 0.5ML SYR PF 2019,#REF!
6105114,SHARON HOSPITAL,PHARMACY,FLUARIX VACC QUAD 0.5ML SYR PF 2019,#REF!
6105115,SHARON HOSPITAL,PHARMACY,FLUZONE VACC QUAD SDV 2019,#REF!
6105116,SHARON HOSPITAL,PHARMACY,"LIDOCAINE-EPINEPHRINE 1%-1:100,000 VIAL 50ML",#REF!
6105117,SHARON HOSPITAL,PHARMACY,ALPHA1PROTINHBGLASSIAINJ,#REF!
6105118,SHARON HOSPITAL,PHARMACY,RESLIZUMAB 100 MG INJ,#REF!
6105119,SHARON HOSPITAL,PHARMACY,BENRALIZUMAB 30 MG INJ,#REF!
6105120,SHARON HOSPITAL,PHARMACY,MEPOLIZUMAB 100 MG INJ,#REF!
6105121,SHARON HOSPITAL,PHARMACY,PIMAVANSERIN 17 MG TAB,#REF!
6105122,SHARON HOSPITAL,PHARMACY,ANTIHEMOPHILIC FACTOR HUM/VWF (WILATE) INJ,#REF!
6105123,SHARON HOSPITAL,PHARMACY,LIDOCAINE 5% OINTMENT UD,#REF!
6105124,SHARON HOSPITAL,PHARMACY,COLLAGENASE OINTMENT UD,#REF!
6105125,SHARON HOSPITAL,PHARMACY,PATIROMER 8.4 GM PACKET,#REF!
6105126,SHARON HOSPITAL,PHARMACY,GENTAMICIN OINTMENT UD 3 GM,#REF!
6105127,SHARON HOSPITAL,PHARMACY,ASCORBIC ACID-CARBONYL IRON 125 MG - 65 MG EC TAB (VITRON C),#REF!
6105128,SHARON HOSPITAL,PHARMACY,PED MAGIC MOUTHWASH 30 ML,#REF!
6105129,SHARON HOSPITAL,PHARMACY,ADO-TRASTUZUMAB EMTANSINE 160 MG SDV,#REF!
6105130,SHARON HOSPITAL,PHARMACY,CIPROFLOXACIN-FLUOCINOLONE 0.3-0.025% OTIC (OTOVEL),#REF!
6105131,SHARON HOSPITAL,PHARMACY,AMIODARONE 450MG/9ML INJ SOL,#REF!
6105132,SHARON HOSPITAL,PHARMACY,LEUPROLIDE ACETATE DEPOT 22.5MG 3 MONTH,#REF!
6105134,SHARON HOSPITAL,PHARMACY,SODIUM GLYCEROPHOS 1MMOL/ML,#REF!
6105135,SHARON HOSPITAL,PHARMACY,INFLIXIMAB-DYYB 100MG IV Inj,#REF!
6105136,SHARON HOSPITAL,PHARMACY,HEPARIN 40000/4ML INJ,#REF!
8001001,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,017614 ROTICULATOR 30,"$1,869.00 "
8001002,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0227-3000S REAMERSHAFT,$881.00 
8001003,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1000-90 VALVATOME,"$7,059.00 "
8001005,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M001105180 BALL CATH 4X2,"$1,016.00 "
8001006,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,129435140 TIBIAL TRAY,"$14,336.00 "
8001007,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M001145080 BALL CATH12X2,$764.00 
8001008,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1523215 TIP SET SHORT,"$2,992.00 "
8001009,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1529165 TIP SET MICRO,"$1,985.00 "
8001010,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M001164160 BALL CATH 4X2,$632.00 
8001011,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M001164360 BALL CATH 5X2,$632.00 
8001012,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M001164430 BALL CATH 5X4,$632.00 
8001013,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M001164570 BALL CATH 6X2,$632.00 
8001014,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M001164630  BALL CATH 6X4,$620.00 
8001015,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M001164830 BALL CATH 7X4,$632.00 
8001016,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M001164970 BALL CATH 8X2,$632.00 
8001017,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M001169710 BALL CATH 8X4,$670.00 
8001018,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M001175660 BALL CATH 4X4,$620.00 
8001020,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,2003-48 LEMAITREPRUITT IRR,"$1,393.00 "
8001021,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M0062101170 NEPHOMAXCATH,$790.00 
8001022,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M0062251370 ULTRA BALL DILAT,$887.00 
8001024,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,276160016 HEALOSIIBONEGRA,"$7,396.00 "
8001025,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3005PKGYRUSMEDCUTFORCEP,"$6,083.00 "
8001027,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M0064051000 CATH DUALURET,$224.00 
8001028,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,4192040S BALLOONS 12X4,$337.00 
8001030,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,420179 ENDOWRIST HOT SHRS,"$10,272.00 "
8001031,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M0065051600 PRHNAFORCEPS,"$1,040.00 "
8001032,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,5086-02 SEPRA FILM,"$2,341.00 "
8001033,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,518-034  QUICK CROSS CATH,$536.00 
8001034,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,518-037 QUICK CROSS CATH,$536.00 
8001036,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,5663192 OPTIFLCRVD14.5X19,"$1,599.00 "
8001037,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,5663232 OPTIFLCRVD14.5X23,"$1,493.00 "
8001038,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,6000-024-000 BIOSPY NEEDLE,"$1,569.00 "
8001039,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,72006601 AMSACCESSORYKIT,"$2,247.00 "
8001040,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,72201494 ULTRA FASTFIX,"$1,156.00 "
8001041,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,72403867 SCROTALRETRACT,"$1,284.00 "
8001042,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,79-80023 KNEE IMMOB SMALL,$47.00 
8001043,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,79-80025 PROCAREKNEE IMBLZR,$47.00 
8001044,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,79-80027 KNEE IMMOB LARGE,$47.00 
8001045,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,79-80038 KNEE IMMOB XL,$55.00 
8001046,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,79-87283 WRSTSPLNT RIGHTSM,$22.00 
8001047,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,79-87285 WRSTSPLNT RIGHTMD,$22.00 
8001048,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,79-87287 WRSTSPLNT RIGHTLG,$22.00 
8001049,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,79-87288 WRSTSPLNT RGHTXLG,$22.00 
8001050,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,79-87295 WRSTSPLNTLEFTMED,$22.00 
8001051,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,79-87297 WRSTSPLNT LEFTLRG,$22.00 
8001052,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,79-87298 WRSTSPLNT LEFTXLG,$22.00 
8001054,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,8065750828 GAVITRECPCK,"$1,602.00 "
8001056,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,8229506 EMGTUBING,"$1,358.00 "
8001061,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,9450003 SOFNEEDLEELECTRODE,"$1,365.00 "
8001062,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,9450019 SOFADANEK PROBE,"$2,408.00 "
8001063,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,9450059 SOFAMORPEDICALPRBE,"$2,408.00 "
8001064,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,9450061 NIM 7MM ET TUBE,"$1,124.00 "
8001065,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,9450062 NIM 8MM ET TUBE,"$1,124.00 "
8001069,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-1351LB BIOTRANSFIXPLLA,$928.00 
8001070,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-1390 SCREW,$305.00 
8001073,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ATB45 CUTTER 45MM,$992.00 
8001075,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,BID30 ACCLARENTINFLTIONDEV,$258.00 
8001077,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CDH25A STAPLR ENDO CVDDET,$780.00 
8001078,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ESCDH29A STAPLER,$780.00 
8001079,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ESCDH33A STAPLR INTRNLCVDDET,$886.00 
8001080,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CF7-7-60 CLOSUREFAST,"$3,371.00 "
8001081,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CG415 TERUMO 4FRGL DANGLE,$177.00 
8001082,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CG505 GLIDE 5FR,$163.00 
8001083,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AC-190KC CIRCLE C CATH,$713.00 
8001084,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AC-230KC CIRCLE C CATH,$713.00 
8001085,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CS40G STAPLER RELOAD,"$1,444.00 "
8001087,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ECS25A ENDO STAPLER,$876.00 
8001088,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ECS29A STAPLER,$876.00 
8001089,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ESCS33 STAPLER ENDO INTRNL,$876.00 
8001090,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,EEA25 STAPLR SGL DST 25MM,"$2,457.00 "
8001091,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,EEA28 STAPLR SGL USE 28MM,$931.00 
8001092,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,EEA33 STAPLR SGL USE 33MM,$926.00 
8001093,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,EEAXL28 STAP SGL XL28MM,"$1,124.00 "
8001094,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,EEAXL33 STAP SGL XL 33MM,"$1,141.00 "
8001095,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,EGIAUNIVXL UNIV HANDLE XL,"$1,255.00 "
8001096,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,030449 GIA HANDLE,$998.00 
8001097,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,G31215 PIGTAIL,$248.00 
8001098,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,G36042 BALLOON CODA,"$1,252.00 "
8001099,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,GC070RF SINUS GUIDE CATH,"$5,939.00 "
8001100,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,GC110RF SINUS GUIDE CATH,"$1,283.00 "
8001101,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CS14C HARMONIC SHEARS 5MM,"$1,213.00 "
8001102,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,HLS-1007M SAFESHEATH,$209.00 
8001103,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,KPT1503 KYPHON TRAY,"$12,599.00 "
8001104,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,KPE1003 KYPHON,"$12,599.00 "
8001105,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,KPT1505 KYPHON,"$12,599.00 "
8001106,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,KPE1001 KYPHONEXPRESS,"$12,599.00 "
8001107,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,KPE1002 KYPHONPAK,"$8,330.00 "
8001108,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,KPT1502 KYPHONPAKTRAY,"$11,540.00 "
8001110,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,LCSC5 SHEARS,"$1,193.00 "
8001112,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,LF420 LIGASURE IMPACT,"$2,158.00 "
8001114,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,LONG45A STAPLER ENDO,$969.00 
8001115,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1517079 MICRO TUBE KIT,"$1,224.00 "
8001116,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,NS2000 NOVASURE,"$4,314.00 "
8001117,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,OM 2001D OPCAB SYSDEEP,"$3,836.00 "
8001119,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,P4024 SILVERHAWK CATHETER,"$9,614.00 "
8001121,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,RSB602 PINACLE SHTH  6 FR,$99.00 
8001122,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,RSS503 PINACLE SHTH 5 FR,$37.00 
8001123,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,RSB802 PINACLE SHTH 8 FR,$99.00 
8001124,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,REL46 STNTGRFTBALLCATH,"$1,428.45 "
8001125,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,RSB702 7FR SHEATH PINACLE,$99.00 
8001126,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ACE36P SHEAR HARMONIC,"$1,412.00 "
8001127,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,GN2000 SNARE 6FR 20MM,"$1,059.00 "
8001128,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,T05J ONESTEPINTRODUCESYS,"$3,852.00 "
8001129,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,TC003 THERMACHOICE,"$4,394.00 "
8001134,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,TIVK2030 VALVULOTOME,"$1,599.00 "
8001136,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,WAVE18S SHEAR HARMONIC,$998.00 
8001137,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,WS-1106ST GUIDEWIRE,$42.00 
8001139,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,XP-4000 DEVICE,"$2,552.00 "
8001140,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AT50 LENS CRYSTAL 21.75D,$745.00 
8001142,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,EZE-65INTRAOCULAR LENS,$482.00 
8001143,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,8065101701 SHIELD CORNEAL,$112.00 
8001144,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,MA60AC LENS IOL ANT,$398.00 
8001145,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,MA60MA LENS IOLPOST,$433.00 
8001146,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,MTA3UO LENS IOL ANT PMMA,$482.00 
8001147,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,MTA4U0 LENS IOL ANT MTA,$482.00 
8001148,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,MTA5UO LENS IOL ANT PMMA,$482.00 
8001150,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,MZ60BD LENS IOL POST PMMA,$241.00 
8001151,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,SA60AT IOL LENS,$430.00 
8001152,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,70-0358 WRIST PLATE,"$2,934.00 "
8001153,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,70-0359 PLATE,"$2,934.00 "
8001155,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1884006EM BLADE,"$1,066.00 "
8001156,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,SN60T4 IOL POST,"$1,910.00 "
8001157,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,SN60WF 12.0  IOL LENS,$478.00 
8001158,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,SN6AD1 RESTOR LENS,$745.00 
8001159,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,SN6AD3 RESTOR LENS,$745.00 
8001160,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,SN6AT4 TORIC LENS,$345.00 
8001161,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,SN6AT5 TORIC LENS,$345.00 
8001162,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0010201 MESH HERNIA OVAL,"$1,759.00 "
8001163,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0010202 MESH HERNIA OVAL,"$3,295.00 "
8001164,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0010203 MESH HERNIA CIRCLE,"$1,443.00 "
8001165,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0010205 MESH HERNIA OVAL,"$2,600.00 "
8001166,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0010208 MESH HERNIA OVAL,"$4,459.00 "
8001167,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0010212 BARDHERNIAPATCH,"$3,460.00 "
8001168,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0010301 MESH HERNIA CRC,"$1,220.00 "
8001170,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,00234801435 SCRW PERIART,$111.00 
8001171,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,00482001601 SCRW CORT S-T,$71.00 
8001172,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,00482701401 SCRW CORT S-T,$68.00 
8001174,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,00483501601 SCRW CORT S-T,$76.00 
8001177,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,00493500703 PLATE TUBR,$220.00 
8001178,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,005001 FILLER BN VOID 1ML,$626.00 
8001179,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,005005 FILLER  BN VOID 5M,"$2,359.00 "
8001181,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,007714 SHNT CRTD BYPASS,$334.00 
8001183,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0112650 MESH HERNIA 2x4,$128.00 
8001184,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0112660 MESH HERNIA 10X14,$305.00 
8001185,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0112680 MESH HERNIA 3X6,$122.00 
8001186,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0112750  PLUG MESH  SM,$448.00 
8001187,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0112760  PLUG MESH  MED,$467.00 
8001188,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0112950  PLUG MESH SM,$441.00 
8001189,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0112960 PLUG MESH MED,$440.00 
8001190,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0112970 PLUG MESH LG,$440.00 
8001191,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0112980 PLUG MESH XL,$525.00 
8001192,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0113080 BARDSORBAFIX,"$1,814.00 "
8001193,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0113810 MESHHERNIACOMP,"$2,985.00 "
8001194,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0115311 MESH INGUINL LT,$531.00 
8001195,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0115320 BARDMESH,$488.00 
8001196,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0115321 MESH INGUINL RT,$531.00 
8001197,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0115808 MESH HERNIA CRC,$530.00 
8001198,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0123113 MESH ELLIPTCL10X13,"$5,036.00 "
8001199,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0123460 MESH ELLIPTCL4X6IN,"$1,075.00 "
8001200,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0123680 MESH ELLIPTCL6X8IN,"$2,279.00 "
8001201,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0123790 MESH ELLIPTCL7X9IN,"$3,194.00 "
8001202,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0123810 MESHELLIPTCL8X10IN,"$3,984.00 "
8001203,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,014567  ANCHOR BIOABS,$963.00 
8001204,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,01-7136 PLATE MATRIX 2X3H,$629.00 
8001205,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,01-7137 PLATE MATRIX 2X4H,$661.00 
8001206,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,01-7345 PLATE NEURO STR,$212.00 
8001207,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,01-7347 PLATE NEURO STR,$212.00 
8001208,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,030412 STAPLE RELOAD STR,$912.00 
8001214,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,030426 STAPLE RELOAD TI,$870.00 
8001215,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,030450  STAPLE TI GIA,"$1,056.00 "
8001216,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,030451 STAPLE RELOAD TI,"$1,055.00 "
8001217,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,030453  STAPLE TI ROTIC,"$1,112.00 "
8001218,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0605850 PORT INF 1 LUM,"$1,117.00 "
8001219,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0607540 PORTACATH,"$1,043.00 "
8001220,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0607655 PORT INF 2 LUM,"$1,621.00 "
8001221,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0607675 PORT INF 2 LUM,"$1,557.00 "
8001222,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0608540 PORT IMPL KT 1 LUM,"$1,435.00 "
8001223,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1.5P2 PATCH PERICARDIAL,"$11,235.00 "
8001224,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,102128 ALLODERM 128 SQ CM,$94.00 
8001225,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,102196 ALLODERM 96 SQ CM,$94.00 
8001226,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0010302 BARDHERNIA PATCH,"$1,461.00 "
8001227,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0010303 VENTRALEX PATCH,"$1,849.00 "
8001228,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103539000 HEAD FEM BI,"$2,406.00 "
8001229,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103540000 HEAD FEM BI,"$2,461.00 "
8001230,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103541000 HEAD FEM BI,"$2,406.00 "
8001231,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103542000 HEAD FEM BI,"$2,406.00 "
8001232,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103543000 HEAD FEM BI,"$2,461.00 "
8001233,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103544000 HEAD FEM BI,"$2,461.00 "
8001234,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103545000 HEAD FEM BI,"$2,461.00 "
8001235,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103546000 HEAD FEM BI,"$2,461.00 "
8001236,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103547000 HEAD FEM BI,"$2,461.00 "
8001237,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103548000 HEAD FEM BI,"$2,461.00 "
8001238,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103549000 HEAD FEM BI,"$2,461.00 "
8001239,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103550000 HEAD FEM BI,"$2,461.00 "
8001240,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103551000 HEAD FEM BI,"$2,461.00 "
8001241,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103552000 HEAD FEM BI,"$2,461.00 "
8001242,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103553000 HEAD FEM BI,"$2,461.00 "
8001243,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103554000 HEAD FEM BI,"$2,406.00 "
8001244,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103555000 HEAD FEM BI,"$2,461.00 "
8001245,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103556000 HEAD FEM BI,"$2,461.00 "
8001246,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,103557000 HEAD FEM BI,"$2,461.00 "
8001248,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1092203 CR GEL PRE-FDSTER,"$3,354.00 "
8001249,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,11-2075 ADJCANNLAG,"$3,210.00 "
