Charge Code,Charge Description, Charge Amount ,Comments
25000001,"ERGOCALCIFEROL (VITAMIN D2) 50,000 UNIT CAPSULE [2863]", $22.80 ,
25000001,"ERGOCALCIFEROL (VITAMIN D2) 8,000 UNIT/ML ORAL DROPS [9943]", $26.60 ,
25000001,ERGOLOID 1 MG TABLET [2864], $109.50 ,
25000001,ERGOTAMINE 1 MG-CAFFEINE 100 MG TABLET [9949], $208.40 ,
25000001,ERGOTAMINE-CAFFEINE 2 MG-100 MG RECTAL SUPPOSITORY [9950]," $1,137.80 ",
63600002,ERIBULIN 1 MG/2 ML (0.5 MG/ML) INTRAVENOUS SOLUTION [106773]," $15,049.80 ",
25000001,ERLOTINIB 100 MG TABLET [40090]," $4,034.90 ",
25000001,ERLOTINIB 150 MG TABLET [40091]," $4,563.80 ",
25000001,ERLOTINIB 25 MG TABLET [40089]," $1,469.10 ",
25000001,ERLOTINIB 30 MG/ML ORAL SUSPENSION [40840113], $26.60 ,
63600002,ERTAPENEM 1 G ADD-VANTAGE BAG (ONE STEP - ANESTHESIA) [40840626]," $1,203.30 ",
63600002,ERTAPENEM 1 G ADD-VANTAGE IN 100 ML NS (PYXIS) [40840913]," $2,188.30 ",
63600002,ERTAPENEM 1 GRAM INTRAVENOUS SOLUTION [108059]," $2,188.30 ",
63600002,ERTAPENEM 1 GRAM SOLUTION FOR INJECTION [31922]," $2,084.30 ",
63600002,ERTAPENEM 1 MG/ML FOR DOUBLE DILUTION [40841663], $13.30 ,
25000001,ERYTHROMYCIN 5 MG/GRAM (0.5 %) EYE OINTMENT [2888], $167.70 ,
25000001,ERYTHROMYCIN 5 MG/GRAM (0.5 %) EYE OINTMENT (BULK) [40841695], $251.80 ,
25000001,ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5 ML ORAL POWDER FOR SUSPENSION [2899], $26.60 ,
25000001,ESCITALOPRAM 10 MG TABLET [33512], $169.80 ,
25000001,ESCITALOPRAM 2.5 MG PARTIAL TABLET [40840252], $81.80 ,
25000001,ESCITALOPRAM 20 MG TABLET [33513], $177.20 ,
25000001,ESCITALOPRAM 5 MG TABLET [37635], $162.40 ,
25000001,ESCITALOPRAM 5 MG/5 ML ORAL SOLUTION [34897], $26.60 ,
63600002,ESMOLOL 100 MG/10 ML (10 MG/ML) INTRAVENOUS SOLUTION [9957], $233.10 ,
63600002,"ESMOLOL 2,000 MG/100 ML (20 MG/ML) IN SODIUM CHLORIDE (ISO-OSMOTIC) IV [35639]"," $8,163.50 ",
63600002,"ESMOLOL 2,500 MG/250 ML (10 MG/ML) IN SODIUM CHLORIDE (ISO-OSMOTIC) IV [29805]"," $7,576.90 ",
25000001,ESMOLOL IV SYRINGE 10 MG/ML (PEDS) [500437], $590.70 ,
25000001,ESMOLOL IV SYRINGE 20 MG/ML (PEDS) [500438]," $4,081.80 ",
25000001,"ESOMEPRAZOLE MAGNESIUM 20 MG CAPSULE,DELAYED RELEASE [29745]", $135.60 ,
25000001,"ESOMEPRAZOLE MAGNESIUM 40 MG CAPSULE,DELAYED RELEASE [29746]", $135.60 ,
25000001,ESTAZOLAM 1 MG TABLET [9961], $12.00 ,
25000001,ESTERIFIED ESTROGENS-METHYLTESTOSTERONE 0.625 MG-1.25 MG TABLET [9959], $48.60 ,
25000001,ESTERIFIED ESTROGENS-METHYLTESTOSTERONE 1.25 MG-2.5 MG TABLET [9960], $64.80 ,
25000001,ESTRADIOL 0.025 MG/24 HR SEMIWEEKLY TRANSDERMAL PATCH [27457], $195.60 ,
25000001,ESTRADIOL 0.025 MG/24 HR WEEKLY TRANSDERMAL PATCH [27462], $508.50 ,
25000001,ESTRADIOL 0.0375 MG/24 HR SEMIWEEKLY TRANSDERMAL PATCH [27458], $245.60 ,
25000001,ESTRADIOL 0.0375 MG/24 HR WEEKLY TRANSDERMAL PATCH [36267], $508.50 ,
25000001,ESTRADIOL 0.05 MG/24 HR SEMIWEEKLY TRANSDERMAL PATCH [27459], $245.80 ,
25000001,ESTRADIOL 0.05 MG/24 HR WEEKLY TRANSDERMAL PATCH [28408], $313.40 ,
25000001,ESTRADIOL 0.075 MG/24 HR WEEKLY TRANSDERMAL PATCH [27463], $508.50 ,
25000001,ESTRADIOL 0.1 MG/24 HR SEMIWEEKLY TRANSDERMAL PATCH [27461], $246.10 ,
25000001,ESTRADIOL 0.1 MG/24 HR WEEKLY TRANSDERMAL PATCH [28409], $313.40 ,
25000001,ESTRADIOL 0.25 MG PARTIAL TABLET [40841697], $2.00 ,
25000001,ESTRADIOL 0.5 MG TABLET [12491], $3.80 ,
25000001,ESTRADIOL 1 MG TABLET [9967], $9.20 ,
25000001,ESTRADIOL 2 MG (7.5 MCG/24 HOUR) VAGINAL RING [27855]," $6,987.80 ",
63600002,ESTRADIOL VALERATE 10 MG/ML INTRAMUSCULAR OIL [2930], $151.70 ,
63600002,ESTRADIOL VALERATE 20 MG/ML INTRAMUSCULAR OIL [2931], $151.70 ,
63600002,ESTRADIOL VALERATE 40 MG/ML INTRAMUSCULAR OIL [2932], $151.70 ,
25000001,ESTROPIPATE 0.375 MG PARTIAL TABLET [40840254], $7.50 ,
25000001,ESTROPIPATE 0.75 MG TABLET [12400], $14.90 ,
25000001,ESTROPIPATE 1.5 MG TABLET [12401], $21.40 ,
25000001,ESZOPICLONE 1 MG TABLET [40320], $254.10 ,
63600002,ETANERCEPT 25 MG (1 ML) SUBCUTANEOUS SOLUTION [24276]," $9,865.80 ",
63600002,ETANERCEPT 50 MG/ML (0.98 ML) SUBCUTANEOUS SYRINGE [39837]," $19,731.70 ",
25000001,ETHACRYNATE SODIUM 50 MG INTRAVENOUS SOLUTION [9979]," $81,237.50 ",
25000001,ETHACRYNIC ACID 12.5 MG PARTIAL TABLET [40840255], $199.50 ,
25000001,ETHACRYNIC ACID 25 MG TABLET [9980], $396.00 ,
25000001,ETHAMBUTOL 100 MG TABLET [9982], $8.00 ,
25000001,ETHAMBUTOL 400 MG TABLET [9983], $24.20 ,
25000001,ETHANOL (ETHYL ALCOHOL) 98 % INJECTION SOLUTION [257]," $1,586.30 ",
63600002,ETHANOLAMINE OLEATE 5 % INTRAVENOUS SOLUTION [9984]," $6,925.70 ",
25000001,ETHOTOIN 250 MG TABLET [9991], $33.60 ,
25000001,ETHYL ALCOHOL 70 % TOPICAL SOLUTION [76943],,"Place holder,static, order communication, zero charge item or charge panel"
25000001,ETHYL CHLORIDE 100 % TOPICAL SPRAY [2951], $472.30 ,
25000001,ETIDRONATE DISODIUM 200 MG TABLET [9995], $58.40 ,
63600002,ETOMIDATE 2 MG/ML INTRAVENOUS SOLUTION [20472], $90.10 ,
25000001,ETOMIDATE 2 MG/ML IV (ONE STEP) [40840552], $90.10 ,
25000001,ETONOGESTREL (NEXPLANON) PATIENT [40841623],,"Place holder,static, order communication, zero charge item or charge panel"
63600002,ETOPOSIDE 20 MG/ML INTRAVENOUS SOLUTION [10000], $151.80 ,
63600002,ETOPOSIDE 50 MG CAPSULE [10001]," $1,356.00 ",
25000001,ETRAVIRINE 100 MG TABLET [89432], $171.40 ,
25000001,EUCALYPTUS OIL-MENTHOL 7.6 MG LOZENGES [123980], $1.20 ,
25000001,EVACUATED CONTAINER [500069],,"Place holder,static, order communication, zero charge item or charge panel"
25000001,EVEROLIMUS (ANTINEOPLASTIC) 10 MG TABLET [97390]," $4,543.60 ",
25000001,EVOLOCUMAB 140 MG/ML SUBCUTANEOUS PEN INJECTOR [175895]," $9,049.00 ",
25000001,EXEMESTANE 25 MG TABLET [26551], $594.80 ,
25000001,EXENATIDE 10 MCG/DOSE(250 MCG/ML)2.4 ML SUBCUTANEOUS PEN INJECTOR [105629]," $11,475.90 ",
25000001,EZETIMIBE 10 MG TABLET [34153], $154.30 ,
25000001,EZETIMIBE 2.5 MG PARTIAL TABLET [40840257], $21.20 ,
25000001,EZETIMIBE 5 MG PARTIAL TABLET [40840256], $93.90 ,
25000001,EZETIMIBE-SIMVASTATIN 5 MG-10 MG PARTIAL TABLET [40840258], $93.00 ,
63600002,"FACTOR IX CPLX(PCC) NO.4, 3-FACTOR 500 (+/-) UNIT INTRAVENOUS SOLUTION [3013]"," $8,100.00 ",
63600002,"FACTOR IX CPLX(PCC)NO.4, 3FACTOR 1,000 (+/-) UNIT INTRAVENOUS SOLUTION [10008]"," $16,200.00 ",
63600002,"FACTOR IX CPLX(PCC)NO.4, 3FACTOR 1,500 (+/-) UNIT INTRAVENOUS SOLUTION [97682]"," $24,300.00 ",
25000001,FAMCICLOVIR 250 MG TABLET [16081], $85.40 ,
63600002,FAMOTIDINE (PF) 20 MG/2 ML INTRAVENOUS SOLUTION [124715], $19.40 ,
63600002,FAMOTIDINE (PF) 20 MG/50 ML IN 0.9 % NACL (ISO) INTRAVENOUS PIGGYBACK [12735], $155.30 ,
25000001,FAMOTIDINE 10 MG TABLET [15065], $3.70 ,
63600002,FAMOTIDINE 10 MG/ML INTRAVENOUS SOLUTION [10009], $482.00 ,
25000001,FAMOTIDINE 10 MG/ML INTRAVENOUS SOLUTION (CUSTOM) [40841786], $192.80 ,
25000001,FAMOTIDINE 20 MG TABLET [10011], $32.70 ,
25000001,FAMOTIDINE 40 MG/5 ML (8 MG/ML) ORAL SUSPENSION [10010], $26.60 ,
25000001,FAMOTIDINE 8 MG/ML ORAL SUSPENSION [40841339], $26.60 ,
25000001,FAMOTIDINE IV SYRINGE 0.4 MG/ML (PEDS) [500642], $155.30 ,
25800001,FAT EMULSION 20 % INTRAVENOUS [10014], $560.30 ,
25800001,FAT EMULSION 20 % INTRAVENOUS (NICU) [400505], $560.30 ,
25800001,FAT EMULSION 20 % INTRAVENOUS - ONE STEP [40841088], $560.30 ,
25000001,FEBUXOSTAT 20 MG PARTIAL TABLET [40840259], $87.20 ,
25000001,FEBUXOSTAT 40 MG TABLET [97133], $173.10 ,
25000001,FELBAMATE 400 MG TABLET [10024], $192.30 ,
25000001,FELBAMATE 600 MG TABLET [10025], $220.40 ,
25000001,"FELODIPINE ER 2.5 MG TABLET,EXTENDED RELEASE 24 HR [27489]", $20.40 ,
25000001,"FELODIPINE ER 5 MG TABLET,EXTENDED RELEASE 24 HR [27490]", $20.40 ,
25000001,FENOFIBRATE MICRONIZED 134 MG CAPSULE [27094], $26.50 ,
25000001,FENOFIBRATE MICRONIZED 200 MG CAPSULE [15456], $59.20 ,
25000001,FENOFIBRATE MICRONIZED 67 MG CAPSULE [22976], $14.30 ,
25000001,"FENOFIBRIC ACID (CHOLINE) 135 MG CAPSULE,DELAYED RELEASE [95840]", $81.10 ,
25000001,"FENOFIBRIC ACID (CHOLINE) 45 MG CAPSULE,DELAYED RELEASE [95839]", $27.00 ,
25000001,FENOLDOPAM 10 MG/ML INTRAVENOUS SOLUTION [22133]," $5,012.30 ",
25000001,FENTANYL (PF) 10 MCG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS [30807], $337.50 ,
25000001,FENTANYL (PF) 2 MCG/ML-BUPIVACAINE 0.0625 %-NACL INJECTION SOLUTION [122685], $418.50 ,
25000001,FENTANYL (PF) 2 MCG/ML-BUPIVACAINE 0.125 %-NACL INJECTION SOLUTION [30862], $426.60 ,
25000001,FENTANYL (PF) 5 MCG/ML-BUPIVACAINE 0.125 %-NACL INJECTION SOLUTION [30866], $321.30 ,
63600002,FENTANYL (PF) 50 MCG/ML (RESPIRATORY USE ONLY) [40840440], $102.90 ,
63600002,FENTANYL (PF) 50 MCG/ML INJECTION (ONE STEP) [40840663], $102.90 ,
63600002,FENTANYL (PF) 50 MCG/ML INJECTION (ONE STEP- EPIDURAL) [40840567], $102.90 ,
63600002,FENTANYL (PF) 50 MCG/ML INJECTION (ONE STEP- SPINAL) [40840568], $102.90 ,
63600002,FENTANYL (PF) 50 MCG/ML INJECTION SOLUTION [3037], $102.90 ,
25000001,FENTANYL 100 MCG/HR TRANSDERMAL PATCH [27908]," $1,062.70 ",
25000001,FENTANYL 12 MCG/HR TRANSDERMAL PATCH [41382], $274.10 ,
25000001,FENTANYL 200 MCG LOZENGE ON A HANDLE [27913], $253.90 ,
25000001,FENTANYL 25 MCG/HR TRANSDERMAL PATCH [27905], $194.70 ,
25000001,FENTANYL 50 MCG/HR TRANSDERMAL PATCH [27906], $355.90 ,
25000001,FENTANYL 600 MCG LOZENGE ON A HANDLE [27915], $394.00 ,
25000001,FENTANYL 75 MCG/HR TRANSDERMAL PATCH [27907], $543.40 ,
63600002,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (INTRANASAL ONLY) [40841238], $20.50 ,
,FENTANYL PICU BOLUS FROM SYRINGE PUMP [40841742], $-   ,"Place holder,static, order communication, zero charge item or charge panel"
25000001,FENTANYL-BUPIVACAINE-NACL(PF)2MCG/ML-0.125% EPIDURAL (L&D ANESTHESIA) [40841135], $426.60 ,
25000001,FERRIC SUBSULFATE 30 ML TOPICAL SOLUTION [40840114], $33.70 ,
25000001,FERROUS GLUCONATE 324 MG (38 MG IRON) TABLET [3066], $0.90 ,
25000001,FERROUS SULFATE 15 MG IRON (75 MG)/ML ORAL DROPS [95693], $26.60 ,
25000001,FERROUS SULFATE 220 MG (44 MG IRON)/5 ML ORAL ELIXIR [179948], $95.80 ,
25000001,FERROUS SULFATE 300 MG (60 MG IRON)/5 ML ORAL LIQUID [3071], $30.90 ,
25000001,"FERROUS SULFATE 324 MG (65 MG IRON) TABLET,DELAYED RELEASE [110305]", $1.50 ,
25000001,"FERROUS SULFATE 325 MG (65 MG IRON) TABLET,DELAYED RELEASE [3077]", $11.10 ,
25000001,"FERROUS SULFATE ER 140 MG (45 MG IRON) TABLET,EXTENDED RELEASE [108812]", $2.30 ,
63600002,FERUMOXYTOL 510 MG/17 ML (30 MG/ML) INTRAVENOUS SOLUTION [98312]," $13,842.80 ",
25000001,"FESOTERODINE ER 4 MG TABLET,EXTENDED RELEASE 24 HR [96973]", $170.60 ,
25000001,FEXOFENADINE 180 MG TABLET [25425], $8.80 ,
25000001,FEXOFENADINE 30 MG PARTIAL TABLET [40841129], $10.40 ,
25000001,FEXOFENADINE 60 MG TABLET [21529], $10.80 ,
25000001,"FEXOFENADINE 60 MG-PSEUDOEPHEDRINE ER 120 MG TABLET,EXT.RELEASE,12 HR [27522]", $16.10 ,
25000001,FIBER CHOICE (INULIN) 2 GM PARTIAL CHEWABLE TABLET [40840282], $0.40 ,
25000001,FIBER CHOICE (INULIN) 4 GM CHEWABLE TABLET [40840281], $1.40 ,
25000001,FIDAXOMICIN 200 MG TABLET [110360]," $2,982.10 ",
63600002,FILGRASTIM 300 MCG/ML INJECTION SOLUTION [10036]," $5,100.30 ",
63600002,FILGRASTIM 480 MCG/1.6 ML INJECTION SOLUTION [108074]," $8,121.60 ",
63600002,FILGRASTIM-SNDZ 300 MCG/0.5 ML INJECTION SYRINGE [175863]," $4,465.70 ",
63600002,FILGRASTIM-SNDZ 480 MCG/0.8 ML INJECTION SYRINGE [175862]," $7,111.50 ",
25000001,FINASTERIDE 0.5 MG/ML ORAL SUSPENSION [40840115], $26.60 ,
25000001,FINASTERIDE 5 MG TABLET [10037], $42.30 ,
25000001,FISH OIL LIQUID [40840116], $26.60 ,
25000001,FLECAINIDE 100 MG TABLET [10041], $48.40 ,
25000001,FLECAINIDE 25 MG PARTIAL TABLET [40840180], $13.80 ,
25000001,FLECAINIDE 50 MG TABLET [10043], $27.30 ,
63600002,FLOXURIDINE 0.5 GRAM SOLUTION FOR INJECTION [3177]," $1,927.80 ",
63600002,FLU VACCINE QS 2017-18(6 MOS UP)(PF)60 MCG(15 MCGX4)/0.5 ML IM SYRINGE [183894], $270.50 ,
63600002,FLU VACCINE TS2017-18(65YR UP)(PF)180 MCG/0.5 ML INTRAMUSCULAR SYRINGE [183888], $696.70 ,
25000001,FLUCONAZOLE 10 MG/ML ORAL SUSPENSION [14232], $26.60 ,
63600002,FLUCONAZOLE 100 MG IVPB [500110], $48.60 ,
25000001,FLUCONAZOLE 100 MG TABLET [10044], $118.20 ,
25000001,FLUCONAZOLE 150 MG TABLET [13577], $188.10 ,
63600002,FLUCONAZOLE 200 MG/100 ML IN SOD. CHLORIDE (ISO) INTRAVENOUS PIGGYBACK [10049], $113.40 ,
25000001,FLUCONAZOLE 40 MG/ML ORAL SUSPENSION [14233], $26.60 ,
63600002,FLUCONAZOLE 400 MG/200 ML IN SOD. CHLORIDE(ISO) INTRAVENOUS PIGGYBACK [10050], $113.40 ,
25000001,FLUCONAZOLE 50 MG TABLET [10046], $75.70 ,
63600002,FLUCONAZOLE 600 MG IVPB [510053], $291.60 ,
63600002,FLUCONAZOLE 800 MG IVPB [510054], $388.80 ,
63600002,FLUCONAZOLE IV SYRINGE 2 MG/ML (NICU/PEDS) [40840032], $97.20 ,
25000001,FLUCYTOSINE 250 MG CAPSULE [10051], $795.70 ,
25000001,FLUCYTOSINE 500 MG CAPSULE [10052]," $2,143.90 ",
63600002,FLUDARABINE 50 MG INTRAVENOUS SOLUTION [10053]," $1,530.90 ",
25000001,FLUDROCORTISONE 0.025 MG PARTIAL TABLET [40841725], $5.50 ,
25000001,FLUDROCORTISONE 0.05 MG PARTIAL TABLET [40840951], $5.50 ,
25000001,FLUDROCORTISONE 0.1 MG TABLET [10054], $10.10 ,
63600002,FLUMAZENIL 0.1 MG/ML INTRAVENOUS SOLUTION [39744], $109.70 ,
63600002,FLUMAZENIL 0.1 MG/ML IV SOLN (INTRANASAL ONLY) [40841245], $110.20 ,
25000001,FLUNISOLIDE 25 MCG (0.025 %) NASAL SPRAY [19720], $971.40 ,
25000001,FLUOCINOLONE 0.025 % TOPICAL CREAM [3184], $473.90 ,
25000001,FLUOCINONIDE 0.01 % IN NUTRADERM LOTION (REPACKAGED) [40842002], $521.70 ,
25000001,FLUOCINONIDE 0.025 % IN NUTRADERM LOTION [40842003], $443.90 ,
25000001,FLUOCINONIDE 0.05 % TOPICAL CREAM [3187], $615.00 ,
25000001,FLUOCINONIDE 0.05 % TOPICAL GEL [3188], $804.20 ,
25000001,FLUOCINONIDE 0.05 % TOPICAL OINTMENT [3189]," $3,820.80 ",
25000001,FLUOCINONIDE 0.05 % TOPICAL SOLUTION [3190]," $1,312.20 ",
25000001,FLUOCINONIDE-EMOLLIENT 0.05 % TOPICAL CREAM [122332]," $1,300.50 ",
25000001,FLUORESCEIN 0.25 %-BENOXINATE 0.4 % EYE DROPS [10061], $694.40 ,
25000001,FLUORESCEIN 1 MG EYE STRIPS [27663], $2.00 ,
25000001,FLUORESCEIN 500 MG/5 ML (10 %) INTRAVENOUS SOLUTION [10059], $374.40 ,
25000001,"FLUOROMETHOLONE 0.1 % EYE DROPS,SUSPENSION [3208]"," $2,359.00 ",
63600002,FLUOROURACIL 500 MG/10 ML INTRAVENOUS SOLUTION [82200], $90.00 ,
25000001,FLUOXETINE 10 MG CAPSULE [10069], $32.70 ,
25000001,FLUOXETINE 10 MG TABLET [25087], $38.80 ,
25000001,FLUOXETINE 20 MG CAPSULE [10070], $246.50 ,
25000001,FLUOXETINE 20 MG/5 ML (4 MG/ML) ORAL SOLUTION [38488], $26.60 ,
25000001,"FLUOXETINE 90 MG CAPSULE,DELAYED RELEASE [29800]", $588.10 ,
25000001,FLUOXYMESTERONE 10 MG TABLET [3212], $78.10 ,
25000001,FLUPHENAZINE 1 MG TABLET [3218], $7.90 ,
25000001,FLUPHENAZINE 1.25 MG PARTIAL TABLET [163292], $3.10 ,
25000001,FLUPHENAZINE 2.5 MG TABLET [3220], $13.30 ,
25000001,FLUPHENAZINE 2.5 MG/ML INJECTION SOLUTION [3216], $151.70 ,
25000001,FLUPHENAZINE 5 MG/ML ORAL CONCENTRATE [3217], $26.60 ,
63600002,FLUPHENAZINE DECANOATE 25 MG/ML INJECTION SOLUTION [3215]," $2,510.50 ",
25000001,FLURAZEPAM 15 MG CAPSULE [3223], $9.90 ,
25000001,FLURBIPROFEN 0.03 % EYE DROPS [10080], $117.90 ,
25000001,FLUTAMIDE 125 MG CAPSULE [10081], $67.50 ,
25000001,FLUTICASONE 0.005 % TOPICAL OINTMENT [10083], $300.40 ,
25000001,FLUTICASONE 0.05 % TOPICAL CREAM [10082], $463.00 ,
25000001,FLUTICASONE 100 MCG-SALMETEROL 50 MCG/DOSE BLISTR POWDR FOR INHALATION [104564], $175.60 ,
25000001,FLUTICASONE 100 MCG-UMECLID 62.5 MCG-VILANT 25 MCG POWD FOR INHALATION [184722], $143.00 ,
25000001,FLUTICASONE 100 MCG-VILANTEROL 25 MCG/DOSE POWDER FOR INHALATION [165657], $76.10 ,
25000001,FLUTICASONE 110 MCG/ACTUATION HFA AEROSOL INHALER [40698]," $3,941.30 ",
25000001,FLUTICASONE 200 MCG-VILANTEROL 25 MCG/DOSE POWDER FOR INHALATION [174670], $76.10 ,
25000001,FLUTICASONE 220 MCG/ACTUATION HFA AEROSOL INHALER [40699]," $6,121.90 ",
25000001,FLUTICASONE 250 MCG-SALMETEROL 50 MCG/DOSE BLISTR POWDR FOR INHALATION [104565], $106.40 ,
25000001,FLUTICASONE 44 MCG/ACTUATION HFA AEROSOL INHALER [40697]," $2,944.20 ",
25000001,"FLUTICASONE 50 MCG/ACTUATION NASAL SPRAY,SUSPENSION [70536]"," $1,151.10 ",
25000001,FLUTICASONE 500 MCG-SALMETEROL 50 MCG/DOSE BLISTR POWDR FOR INHALATION [104566], $286.20 ,
25000002,FLUTICASONE FUROATE 100 MCG/ACTUATION BLISTER POWDER FOR INHALATION [172477], $91.00 ,
25000002,FLUTICASONE FUROATE 200 MCG/ACTUATION BLISTER POWDER FOR INHALATION [172478], $121.90 ,
25000001,"FLUTICASONE FUROATE 27.5 MCG/ACTUATION NASAL SPRAY,SUSPENSION [81861]", $220.50 ,
25000001,FLUVASTATIN 20 MG CAPSULE [12411], $82.50 ,
25000001,"FLUVASTATIN ER 80 MG TABLET,EXTENDED RELEASE 24 HR [29172]", $174.50 ,
25000001,FLUVOXAMINE 100 MG TABLET [10084], $35.70 ,
25000001,FLUVOXAMINE 25 MG TABLET [20634], $31.10 ,
25000001,FMT LOWER DELIVERY (FMP250) MICROBIOTA PREPARATION [40841674]," $7,796.30 ",
25000001,FMT ORAL MICROBIOTA PREPARATION (FMPCAPG3) CAPSULE [40841676]," $10,833.80 ",
25000001,FMT UPPER DELIVERY (FMP30) MICROBIOTA PREPARATION [40841675]," $7,796.30 ",
25000001,FOLIC ACID 1 MG TABLET [3233], $4.90 ,
25000001,FOLIC ACID 200 MCG PARTIAL TABLET [40841646], $0.30 ,
25000001,FOLIC ACID 400 MCG TABLET [3234], $0.40 ,
25000001,FOLIC ACID 5 MG/ML INJECTION SOLUTION [3232], $151.70 ,
25000001,FOLIC ACID 500 MCG PARTIAL TABLET [40840342], $2.30 ,
25000001,FOLIC ACID 800 MCG TABLET [3235], $0.40 ,
63600002,FOMEPIZOLE 1 GRAM/ML INTRAVENOUS SOLUTION [22185]," $17,415.00 ",
63600002,FONDAPARINUX 2.5 MG/0.5 ML SUBCUTANEOUS SOLUTION SYRINGE [32215], $737.90 ,
63600002,FONDAPARINUX 5 MG/0.4 ML SUBCUTANEOUS SOLUTION SYRINGE [108027]," $1,736.30 ",
63600002,FONDAPARINUX 7.5 MG/0.6 ML SUBCUTANEOUS SOLUTION SYRINGE [108028]," $1,736.30 ",
63600002,FORMOTEROL FUMARATE 20 MCG/2 ML SOLUTION FOR NEBULIZATION [88225], $262.60 ,
25000001,FOSAMPRENAVIR 50 MG/ML ORAL SUSPENSION [87839], $26.60 ,
25000001,FOSAMPRENAVIR 700 MG TABLET [37182], $312.90 ,
63600002,FOSAPREPITANT 150 MG INTRAVENOUS SOLUTION [106783]," $4,964.30 ",
63600002,FOSCARNET 24 MG/ML INTRAVENOUS SOLUTION [10093]," $7,657.90 ",
25000001,FOSFOMYCIN TROMETHAMINE 3 GRAM ORAL PACKET [14825]," $1,286.10 ",
25000001,FOSINOPRIL 10 MG TABLET [10094], $16.10 ,
25000001,FOSINOPRIL 20 MG TABLET [10095], $27.40 ,
25000001,FOSINOPRIL 5 MG PARTIAL TABLET [40840260], $8.10 ,
63600002,FOSPHENYTOIN 100 MG PE/2 ML INJECTION SOLUTION [88011], $17.90 ,
63600002,FOSPHENYTOIN 500 MG PE/10 ML INJECTION SOLUTION [88010], $55.90 ,
25000001,FRUCTOSE (BULK) GRANULES [3270], $26.60 ,
63600002,FULVESTRANT 250 MG/5 ML INTRAMUSCULAR SYRINGE [108096]," $15,474.30 ",
25000001,FUROSEMIDE (NON-ETOH) 10 MG/ML ORAL SOLUTION [40840117], $26.60 ,
25000001,FUROSEMIDE 10 MG PARTIAL TABLET [40840181], $1.20 ,
63600002,FUROSEMIDE 10 MG/ML INJECTION (NICU) [500665], $66.80 ,
63600002,FUROSEMIDE 10 MG/ML INJECTION SOLUTION [3291], $66.80 ,
25000001,FUROSEMIDE 10 MG/ML ORAL SOLUTION [3292], $26.60 ,
25000001,FUROSEMIDE 20 MG TABLET [3294], $7.00 ,
25000001,FUROSEMIDE 40 MG TABLET [3295], $2.30 ,
25000001,FUROSEMIDE 80 MG TABLET [3296], $5.70 ,
,FUROSEMIDE IV SYRINGE 10 MG/ML (PEDS) [500396], $585.30 ,
25000001,GABAPENTIN 100 MG CAPSULE [18309], $6.50 ,
25000001,GABAPENTIN 250 MG/5 ML ORAL SOLUTION [29169], $26.60 ,
25000001,GABAPENTIN 300 MG CAPSULE [18308], $18.00 ,
25000001,GABAPENTIN 400 MG CAPSULE [18307], $27.00 ,
25000001,GABAPENTIN 600 MG TABLET [25855], $34.20 ,
25000001,GABAPENTIN 800 MG TABLET [25856], $41.00 ,
25000001,GALANTAMINE 2 MG PARTIAL TABLET [163300], $28.80 ,
25000001,GALANTAMINE 4 MG TABLET [29806], $62.10 ,
25000001,GALANTAMINE 8 MG TABLET [29807], $41.30 ,
25000001,"GALANTAMINE ER 8 MG 24 HR CAPSULE,EXTENDED RELEASE [41138]", $124.20 ,
25000001,GAMMA-AMINOBUTYRIC ACID (BULK) POWDER [40785], $26.10 ,
63600002,GANCICLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION [10101]," $1,835.40 ",
25000001,GATIFLOXACIN 0.5 % EYE DROPS [105011]," $2,834.20 ",
25000001,GELATIN ABSORBABLE 100 TOPICAL SPONGE [28025], $674.90 ,
25000001,GELATIN ABSORBABLE 12 MM-7 MM TOPICAL SPONGE [28018], $139.30 ,
25000001,GELATIN ABSORBABLE 50 TOPICAL SPONGE [28024], $451.50 ,
25000001,GELATIN ABSORBABLE MUCOSAL POWDER [28017]," $1,226.80 ",
63600002,GEMCITABINE 1 GRAM/26.3 ML (38 MG/ML) INTRAVENOUS SOLUTION [112787], $723.30 ,
63600002,GEMCITABINE 200 MG/5.26 ML (38 MG/ML) INTRAVENOUS SOLUTION [112786], $144.80 ,
25000001,GEMFIBROZIL 300 MG PARTIAL TABLET [40841420], $30.20 ,
25000001,GEMFIBROZIL 600 MG TABLET [3378], $31.30 ,
63600002,GEMTUZUMAB OZOGAMICIN 4.5 MG (1 MG/ML INITIAL CONCENTRATION) IV SOLN [184512]," $132,840.00 ",
25000001,GENTAMICIN 0.1 % TOPICAL CREAM [3423]," $1,333.30 ",
25000001,GENTAMICIN 0.1 % TOPICAL OINTMENT [3424], $666.70 ,
25000001,GENTAMICIN 0.3 % (3 MG/GRAM) EYE OINTMENT [3427], $478.50 ,
25000001,GENTAMICIN 0.3 % EYE DROPS [3428], $259.00 ,
25000001,"GENTAMICIN 0.3 %-PREDNISOLONE 1 % EYE DROPS,SUSPENSION [10114]"," $2,246.90 ",
63600002,GENTAMICIN 100 MG/100 ML IN SODIUM CHLORIDE(ISO) INTRAVENOUS PIGGYBACK [10108], $72.90 ,
