Procedure Description, Charge Amount 
FOLEY SILI 16FR 2/W 5CC,$78.60 
FOLEY SILI 18FR 3/W 5CC,$45.52 
FOLEY 12FR COUDE',$46.08 
FOLEY 14FR COUDE',$53.93 
FOLEY 16FR 5CC COUDE' 2WAY,$55.44 
FOLEY 18FR COUDE',$56.93 
CLIPPER BLADE BI GENERAL PURPOSE,$62.12 
E.T. TUBE HI-LO 7.0,$5.71 
E.T. TUBE HI-LO 7.5,$5.71 
E.T. TUBE HI-LO 8.0,$5.70 
GROUNDING PAD 7506,$7.98 
STOCKINETTE IMPERV XLG,$9.19 
AIRWAY NASOPHARYNGEAL 28FR,$10.20 
NASAL AIRWAY 30FR,$10.20 
BOOT BUCKS TRACTION UNIVERSAL,$24.80 
ARM IMM X LG 3511-1L,$12.97 
CRUTCH MED 5'2 X5'10 PR,$47.30 
RAE ET TUBE 6.5 CUFFED,$17.01 
RAE ET TUBE 7.5 CUFFED,$41.00 
RAE ET TUBE 8.0 CUFFED,$13.38 
RAE ET TUBE 7.0 CUFFED,$17.00 
RAE ET TUBE 6.0 CUFFED,$11.77 
ESMARK BANDAGE 3 LATEX FREE,$4.91 
ESMARK BANDAGE 4 LATEX FREE,$9.69 
CASTING TAPE SYNTH 5,$17.12 
CIRCUIT BREATHING -PEDS LF,$10.30 
BLANKET WARM UPPERBODY*,$37.32 
NASAL PACKING-RAPID RHINO #550,$91.75 
NASAL PACKING-RAPID RHINO #750,$94.75 
E.T. TUBE HI-LO 6.5,$5.71 
STOMA POUCH W FLANGE 2 3/4,$6.42 
STOMA WAFER W FLANGE 2 3/4,$12.71 
SHILEY INNER CANN 6.0 XLT,$14.90 
PACK EENT II,$36.66 
CATH KIT INF 5FR,$4.20 
UNABOOT 4,$30.00 
HUMID VENT SET,$2.63 
RAE ET TUBE 5.5 UNCUFFED,$9.53 
NASAL PACKING POPE POSTERIOR,$68.00 
CAUTERY EYE DIAGNOSTICK,$26.70 
"""WIPE, WINGS""",$9.57 
RAE ET TUBE 4.5 UNCUFFED,$6.52 
RAE ET TUBE 4.0 UNCUFFED,$11.27 
SUCTION IRRIG. ENDO STRYKER,$270.15 
E.T. TUBE HI-LO 6.0,$7.17 
SALIVA SPRAY MOI-STIR 4OZ,$31.97 
FLUID WARMING SET L-70,$28.36 
XXXNEEDLE SPINAL 22g X 5,$18.75 
FOLEY 18FR 3/W 30CC,$46.75 
FOLEY 20FR 3/W 30CC,$102.94 
FOLEY 22F 30CC EMMET,$46.91 
CATH PLAIN RED COUDE'16FR,$2.90 
MICRO PUNCTURE INTROD SET,$115.00 
LAVAGE KIT 34FR,$24.52 
COMPRESSION SLEEVE-LG.,$27.50 
COMPRESSION SLEEVE MED.,$25.00 
TED KNEE HI SM/REG,$16.31 
.XENON CONVENIENCE KIT,$19.37 
POUCH MICROSKIN,$21.01 
ANKLE BRACE AIR RIGHT,$64.00 
WRIST SPLINT 8 INCH LG/RIGHT,$39.38 
TOURNIQUET NAR COMBAT,$75.00 
AQUACEL 4X4 CONVETEC,$21.72 
ABD BINDER 46-62 (LG),$41.71 
THORACIC VENT 13FR 10CM,$600.00 
THORACIC VENT 13FR 13CM,$587.50 
COBAN 3 STERILE (COFLEX),$5.46 
MASK LMA LARYNG--AIRWAY #3,$29.19 
LMA LARNYG-MASK-AIRWAY #4,$29.51 
SHELL ANKLE WALKER SM,$145.25 
POLYMEM 5X5 DRESSING,$20.10 
POLYMEM 4X4 DRESSING,$13.82 
POWER LOC INFUSION SET 19GX1,$15.47 
POWER LOC INFUSION SET 20GX1,$22.50 
CATH SECURE STATLOCK,$7.74 
NEEDLE GUIDE KIT 18G,$35.00 
DERMABOND SKIN ADH.,$154.17 
NEEDLE GUIDE 21G (PICC),$59.15 
PICC POWER(DUAL)5FR FULL,$652.50 
MICROINTRODUCER 5FR FLEXURA WIRE,$155.00 
PACK ORTHO.,$47.12 
ATOMIZER DISP W/SYRINGE,$27.52 
EXTRACTOR KATZ FOREIGN BODY,$383.02 
PICC POWER (SINGLE)4FR.FULL,$632.25 
OINTMENT PROTECTIVE SENSI-CARE 4OZ.,$8.28 
DRAIN RND.SILI.W/TROCAR 3/16,$18.47 
KNEE IMMOBILIZER 18 MED.,$62.87 
KNEE IMMOBILIZER 18 LARGE,$60.95 
AMBU BAG DISP. PEDS,$63.75 
CATH DRAINAGE SET 10.3FR,$228.00 
BIOPSY SYSTEM ASAP 14GX10CM,$80.10 
ESMARK BANDAGE 6 LATEX FREE,$11.25 
NEEDLE COUNT POP N COUNT SM.,$3.94 
HEEL GUARD FOAM,$40.97 
GROUNDING PAD ADULT/INFANT,$9.12 
FEEDING SET*,$7.80 
UROSTOMY POUCH 8903,$9.02 
UROSTOMY WAFER,$11.70 
CATH NEEDLE YUEH - DTVN5.0-19-15.0,$67.50 
WIRE GUIDE ROSEN,$47.50 
"""MASK, CHILD W/INFL.VALVE""",$3.38 
"""MASK, 02 LG ADULT W/INFL.VALVE""",$3.44 
CATH SECURE DALE XLG,$19.52 
MARKER CORMACK BREAST,$242.82 
SENSOR CO2 INTUB ADULT/INTERM.,$37.65 
SENSOR CO2 NONINTUB ADULT/PED. FILTER,$47.00 
SHILEY INNER CANULA DISTAL 8.0MM XLT,$20.25 
COLLAR PERFIT ACE ADJUSTABLE ADULT,$31.40 
COLLAR MINI PERFIT ACE ADJUSTABLE,$34.07 
MEPILEX 4x8,$33.04 
MULTI LUMEN CVC KIT,$303.25 
PACK KNEE ARTHROSCOPY,$81.75 
MESALT 2X2 TAPE,$4.07 
OPTIFOAM 4X4,$24.95 
OPTIFOAM 6X6,$19.02 
WOUND VAC CANNISTER SM (MEDELA),$34.90 
WOUND VAC DRSG MED (MEDELA),$93.97 
WOUND VAC TUBING (MEDELA),$93.97 
TEGADERM 8X12,$9.87 
NEEDLE ULTRA STEM 22 X 3 1/8 30DEG.,$33.65 
LMA LARNYG-MASK-AIRWAY #5,$29.17 
PACK TOTAL KNEE (CUSTOM),$264.40 
DRAIN JACKSON PRATT 10FR ROUND 1/8 ',$15.37 
POWERGLIDE 20FR 10CM FULL KIT,$215.00 
AUTOPULSE LIFEBAND,$303.12 
VAG.SPEC.- ER SPEC MED.DISP.,$14.57 
KING SUPRAGLOTTIC AIRWAY SIZE 4,$81.85 
AIRWAY SUPRALARYNGEAL SIZE 5,$87.72 
POWERGLIDE PRO 18FR 10CM FULL KIT,$318.75 
POWERGLIDE PRO 18FR 10CM BASIC KIT,$198.75 
POWERPICC SOLO?? 4 Fr Single,$737.10 
POWERPICC SOLO?? FT 5 Fr Dual,$783.67 
POWERPICC SOLO?? 5 Fr TRIPLE,$742.50 
"""GOWN BAIR PAW, STD.ADULT""",$49.72 
WOUND VAC PUMP (MEDELA),$62.50 
TRAY BREAST BIOPSY,$45.00 
5%DEX & WATER 500,$75.00 
5%DEX & WATER 1000 ML,$76.50 
DEX5% 0.225% SOD.CHL. 1000,$76.00 
DEX 5% & 0.45% SALINE 1000,$76.50 
5%DEX. .9% SOD. CHL.1000ML PLASTIC,$76.50 
5%DEX & L.R. 1000cc,$76.50 
DEXTROSE10% W 1000ML,$76.50 
LR 500 ML PLASTIC,$83.25 
LR 1000 ML PLASTIC,$76.50 
NORMAL SALINE 0.9% INJ 500 ML,$76.50 
NORMAL SALINE 0.9% INJ.1000 ML,$76.50 
SOD CHL IRR 1000,$76.50 
BLOOD SET SECONDARY,$5.47 
BLOOD SET-Y TYPE,$3.65 
SPINAL NEEDLE 26G,$19.25 
SOD. CHL. 0.45% 1000ML PLASTIC,$83.25 
SOD CHL 0.9% IRR 3000 ML PLASTIC,$85.22 
BSS 15 ML,$5.72 
SOD CHL.0.9% IRR.1000 ML PLASTIC,$77.87 
WATER STERILE IRRIGATE 1000ML FLEX PLAST,$77.87 
WBC & AUTO DIFF,$29.00 
PROTEIN URINE 24 HR,$44.00 
INDIA INK PREP,$30.00 
HEPATITIS PROF-ACUTE,$421.50 
"""BILIRUBIN TOTAL, SERUM""",$33.00 
PROTEIN ELECTRO SERUM,$131.50 
PROTEIN ELECT URINE,$131.50 
PREGNANCY URN QUAL,$83.00 
.UA WITH MICROSCOPIC,$44.50 
.UA NO MICROSCOPIC,$22.50 
GLUCOSE 1HR PGLUCOLA,$47.50 
GLUCOSE 2HR PP,$47.50 
"""SODIUM, URINE RANDOM""",$50.50 
"""P-SPECIAL STAIN, GROUP I""",$228.25 
"""P-SPECIAL STAIN, GROUP II""",$115.48 
SEMEN ANALYSIS - POST VAS,$63.00 
GLUCOSE BODY FLUID,$37.50 
CULTURE FLUID CSF SPINAL,$120.00 
CULTURE CATHETER TIP,$98.00 
ANIMAL PROFILE I (ANIMAL),$38.00 
ANIMAL PROFILE II (ANIMAL),$23.00 
ANIMAL PROFILE II (CANINE),$23.00 
ANIMAL PROFILE II (FELINE),$23.00 
ANIMAL PROFILE III (CANINE),$23.00 
ANIMAL PROFILE III (FELINE),$23.00 
ANIMAL PROFILE I (CANINE),$38.00 
ANIMAL PROFILE I (FELINE),$38.00 
PREGNANCY SERUM QUANT,$156.00 
"""ELECTROLYTES, SERUM""",$75.50 
BASIC MET. PANEL,$92.00 
COMP. MET. PANEL,$182.50 
ACETAMINOPHEN,$98.00 
VANCOMYCIN PEAK,$153.00 
VANCOMYCIN TROUGH,$153.00 
HEPATIC FUNC. PANEL,$108.50 
LIPID PANEL,$165.00 
RENAL FUNCTION PANEL,$139.00 
.DESIPRAMINE,$96.00 
.IMIPRAMINE,$96.00 
TOPAMAX (TOPIRAMATE),$205.50 
KEPPRA (LEVETIRACETAM),$168.00 
TRILEPTAL (OXCARBAZEPINE),$168.00 
"""LDH, BODY FLUID""",$65.50 
"""AMYLASE, BODY FLUID""",$72.00 
"""URIC ACID, BODY FLUID""",$55.50 
UA-DIPSTICK ONLY,$16.00 
.MEASUREMENT URINE,$28.00 
SALICYLATE LEVEL,$72.00 
"""ACTH-ADRENOCORTICOTROPIC HORMONE, PLASMA""",$413.00 
"""ALBUMIN, SERUM""",$15.00 
"""ALCOHOL, BLOOD ETHANOL""",$113.50 
ALDOSTERONE,$436.50 
5-HIAA (5-HYDROXYINDOLEACETIC ACID),$156.00 
.HYPERSENSITIVITY PNEUMONITIS,$133.50 
"""HOMOCYSTEINE, TOTAL PLASMA""",$293.50 
AMMONIA,$94.50 
"""AMYLASE, SERUM""",$73.00 
ANGIOTENSIN CONV ENZ-ACE,$165.00 
.ARSENIC,$135.50 
PHENOBARBITAL,$159.00 
.BILIRUBIN BABY DIRECT,$33.00 
"""BILIRUBIN DIRECT, SERUM""",$33.00 
BHCG QUANTITATIVE-PREGNANCY,$234.00 
OCCULT BLOOD FECES,$26.00 
..CADMIUM,$135.50 
"""CALCIUM, SERUM""",$15.00 
"""CALCIUM, URINE 24HR""",$62.00 
STONE ANALYSIS,$150.00 
CARBAMAZEPINE,$159.00 
CO2,$15.00 
CARBOXYHEMOGLOBIN,$164.00 
"""CATECHOLAMINE, URINE""",$309.00 
"""CHLORIDE, SERUM""",$14.50 
CHOLESTEROL,$55.50 
""".CMV-IgG, SERUM""",$158.50 
""".CMV-IgM, SERUM""",$158.50 
CYCLOSPORIN,$257.00 
CORTISOL AM,$145.00 
CORTISOL PM,$132.50 
CORTISOL DEXAMETHASONE,$132.50 
"""CORTISOL, FREE, URINE""",$169.00 
25-HYDROXYVITAMIN D2 & D3,$254.00 
"""CK TOTAL,SERUM (CPK)""",$73.00 
"""CREATININE, SERUM""",$53.50 
"""CREATININE, URINE 24HR""",$62.00 
CREATININE CLEARANCE - 24 HOUR URINE,$102.00 
VITAMIN B12,$143.50 
DIGOXIN,$212.00 
VALPROIC ACID,$148.00 
DHEA-S (DEHYDROEPIANDROSTERONE SULFATE),$258.50 
"""ANDROSTENEDIONE, SERUM""",$352.00 
"""ESTRADIOL, ENHANCED, SERUM""",$276.50 
FERRITIN,$106.00 
FOLATE-SERUM,$143.50 
.IGA IMMUNOGLOBULIN,$79.50 
.IGM IMMUNOGLOBULIN,$79.50 
.IGG IMMUNOGLOBULIN,$79.50 
CELIAC DISEASE SEROLOGY CASCADE,$80.00 
ARTERIAL BLOOD GAS,$153.00 
VENOUS BLOOD GAS,$153.00 
"""ARSENIC, BLOOD""",$202.50 
GABAPENTIN (NEURONTIN),$199.50 
GASTRIN,$199.50 
"""GLUCOSE, SERUM""",$37.50 
GLUCOSE GLUCOMETER,$33.50 
"""GLUCOSE, GLUM-VERIFY""",$12.13 
GLUCOSE POST DOSE-INCLUDES GLUCOSE,$47.50 
GTT ADDITIONAL SPECIMEN,$37.50 
"""G6PD, QUANT""",$161.00 
GGTP,$80.00 
FSH - FOLLICLE STIM HORMONE,$163.50 
LH - LUTENIZING HORMONE,$162.00 
GLYCOHEMOGLOBIN (HGB AIC),$90.50 
"""TISSUE TRANSGLUTAMINASE AB, IGA, S""",$184.50 
BNP(B-TYPE NATRIURETIC PEPTIDE),$362.50 
""".IRON, SERUM ONLY""",$76.00 
TIBC,$45.50 
LACTATE (LACTIC ACID),$55.50 
"""LAMOTRIGINE, SERUM (LAMICTAL)""",$168.00 
"""LDH, SERUM""",$73.00 
LYME TITER,$240.50 
LEAD,$118.00 
"""LIPASE, SERUM""",$78.00 
LITHIUM,$67.50 
MAGNESIUM,$62.00 
"""MAGNESIUM, URINE 24HR""",$65.50 
..MERCURY,$135.50 
"""METANEPHRINES, URINE""",$315.00 
"""METHYLMALONIC ACID (MMA) QUANT, SERUM""",$304.00 
"""MITOCHONDRIAL ANTIBODIES, SERUM""",$112.50 
.ALBUMIN - MICROALBUMIN,$85.50 
.CREATININE - MICROALBUMIN,$85.50 
"""MICROALBUMINURIA, 24 HOUR, URINE""",$169.00 
.MYCOPLASMA PNEUMONIA IGG,$94.50 
.MYCOPLASMA PNEUMONIA IGM,$94.50 
"""OLIGOCLONAL BANDING, CSF""",$212.00 
"""OSMOLALITY, URINE""",$83.00 
..PARATHYROID HORMONE,$306.50 
PROTEIN C ACTIVITY,$350.00 
""".PROTEIN S ANTIGEN, FREE""",$217.00 
""".PROTEIN S ANTIGEN, TOTAL""",$217.00 
PROGESTERONE,$175.00 
PROGESTERONE-17HYDROXY,$253.00 
PH MISC BODY FLUID,$38.00 
DILANTIN,$159.00 
ALKALINE PHOSPHATASE,$15.00 
"""PHOSPHORUS, SERUM""",$50.50 
"""HEPATITIS, HBsAg-NEEDLESTICK""",$31.88 
"""POTASSIUM, SERUM""",$44.00 
PREALBUMIN,$164.00 
PROLACTIN,$189.00 
"""PROTEIN, SERUM""",$13.00 
PROTEIN CSF,$44.00 
PROTEIN URINE RANDOM,$44.00 
"""PROTEIN, BODY FLUID""",$65.50 
CRYSTAL EXAM,$54.00 
"""ERYTHROPOIETIN (EPO), SERUM""",$254.00 
"""I-ALCOHOL, BREATHALIZER""",$113.50 
"""RENIN, SINGLE SPECIMEN""",$199.50 
""".VCA, IgG & IgM""",$173.00 
.EBNA,$173.00 
"""LEGIONELLA ANTIGEN, URINE""",$195.50 
"""LEGIONELLA ANTIBODY, SERUM""",$190.00 
"""RUBEOLA ANTIBODY SCREEN, IGG ONLY""",$164.00 
"""SODIUM, SERUM""",$48.00 
""".TESTOSTERONE, FREE""",$159.00 
"""TESTOSTERONE, TOTAL""",$275.50 
THEOPHYLLINE,$153.00 
TROPONIN-I,$175.00 
TACROLIMUS - SEND OUT,$299.00 
SIROLIMUS-SENDOUT,$180.00 
T4,$72.50 
T4 FREE,$91.50 
TSH,$196.00 
AST (SGOT),$48.00 
ALT (SGPT),$24.50 
TRIGLYCERIDES,$47.50 
"""T3, REVERSE""",$314.50 
T3 FREE,$91.50 
"""BUN, SERUM""",$41.50 
UREA NITROGEN URN 24HR,$65.50 
"""URIC ACID, SERUM""",$75.50 
.VMA,$225.50 
VITAMIN E,$43.78 
"""ZINC, SERUM""",$144.50 
"""COPPER, SERUM""",$65.00 
"""MANGANESE, SERUM""",$89.64 
"""C1 ESTERASE INHIBITR, SERUM""",$188.00 
CLOZAPINE (CLOZARIL),$134.50 
C PEPTIDE,$195.50 
C1 ESTRASE INHIBIT FUNCTIONAL,$197.00 
C3 (THIRD COMPONENT OF COMPLEMENT),$129.50 
C4 (FOURTH COMPONENT OF COMPLEMENT),$129.50 
CALCITONIN,$305.50 
"""CALCIUM, IONIZED""",$192.00 
CERULOPLASMIN,$124.50 
.CARDIOLIPIN ANTIBODIES,$180.00 
GENTAMICIN PEAK,$153.00 
GENTAMICIN TROUGH,$202.00 
GENTAMICIN 24 HR DOSING LEVEL,$153.00 
PREGNANCY SERUM QUAL,$83.00 
TOBRAMYCIN PEAK,$153.00 
TOBRAMYCIN TROUGH,$153.00 
TOBRAMYCIN 24 HR DOSING LEVEL,$153.00 
CKMB,$173.00 
"""DIFFERENTIAL, MANUAL""",$29.00 
"""DIFFERENTIAL, AUTO""",$29.00 
HEMATOCRIT HCT,$31.00 
HEMOGLOBIN HGB,$43.50 
HEMOGRAM I,$67.50 
HEMOGRAM II,$97.50 
HEMOGRAM I W/ MANUAL DIFF,$67.50 
RETICULOCYTE COUNT,$62.00 
WHITE BLOOD COUNT WBC,$29.00 
WBC - CLOZARIL MONITOR,$29.00 
D-DIMER,$125.50 
PLATELET COUNT,$41.50 
PT,$63.00 
SEDIMENTATION RATE (WSR),$54.00 
PTT,$58.00 
RUBELLA TITER,$139.50 
ANCA,$396.00 
.BB ANTIBODY IDENTIFICATION,$482.95 
"""COOMBS, DIRECT""",$47.50 
"""COOMBS, INDIRECT (AAS)""",$55.50 
.BB ANTIBODY SCREEN CHG ONLY,$55.50 
HIV,$134.50 
HIV - NEEDLESTICK,$27.43 
.ANTISTREPTOLYSIN,$91.50 
.ANTIDEOXYRIBONUCLEASE B,$91.50 
"""ALPHA 1 ANTITRYPSIN PHENOTYPING, SERUM""",$225.50 
ALPHA 1 ANTITRYPSIN,$156.00 
.BB CROSSMATCH,$160.50 
ABO GROUP,$50.25 
.BB CELL TYPING EACH,$39.00 
RH TYPE,$40.50 
CRP (C REACTIVE PROTEIN),$77.00 
CRP (HIGH SEN CARDIAC),$114.00 
CEA,$174.00 
.PSA TOTAL,$154.00 
. % FREE PSA,$154.00 
ANTIBODY TO DSDNA,$139.00 
ENA,$154.00 
"""ALPHA FETOPROTEIN, TUMOR MARKER""",$192.50 
ANA,$126.00 
"""CYCLIC CITRULLINATED PEPTIDE AB, IgG""",$154.00 
"""C DIFFICILE TOXIN PCR, FECES""",$276.00 
..HBSAG,$73.00 
..ANTI-HBC(IGG&M),$73.00 
..ANTI-HBs,$73.00 
"""HEPATITIS, HBsAg""",$111.50 
"""HEPATITIS, ANTI-HBc""",$114.00 
"""HEPATITIS, ANTI-HBs""",$113.50 
SSA/SSB ANTIBODIES,$165.50 
IMMUNOGLOBULIN FREE LIGHT CHAINS,$433.50 
IGG IMMUNOGLOBULIN,$48.00 
MONO TEST,$62.00 
PSA SCREEN,$212.00 
ANTI HEPATITIS C ANTIBODY,$196.50 
HEPATITIS C RNA DETECT/QUANT PCR,$570.50 
"""INSULIN, SERUM""",$173.00 
.IgG SUBCLASSES,$100.00 
IGE IMMUNOGLOBULIN,$143.50 
.IMMUNOGLOBULIN G,$100.00 
RSV - KAH TEST,$102.00 
PSA PROSTATE SPEC AG,$212.00 
CANCER ANTIGEN 125,$219.50 
CANCER ANTIGEN 15-3,$183.00 
..ANTI-HCV,$73.00 
"""IMMUNOFIXATION, SERUM (MONOCLONAL STUDY)""",$149.50 
VDRL (SPINAL FLUID - CSF),$72.50 
"""IMMUNOFIXATION, URINE (MONOCLONAL PROT)""",$143.50 
CANCER ANTIGEN 27.29,$220.00 
HAPTOGLOBIN,$161.00 
"""HELICOBACTER PYLORI IgG ANTIBODY, SERUM""",$176.00 
HEPATITIS C ANTIBODY (ANTI-HCV),$192.00 
HEPATITIS C ANTIBODY-NEEDLESTICK ANTIHCV,$44.03 
..LEAD,$135.50 
""".IgG INDEX ALBUMIN, CSF""",$44.00 
""".IgG INDEX ALBUMIN, SERUM""",$44.00 
""".IgG INDEX IgG, SERUM""",$83.00 
""".IgG INDEX IgG, CSF""",$83.00 
.THYROID MICROSOMAL ANTIBODIES,$120.00 
RHEUMATOID FACTOR,$61.00 
"""ROTAVIRUS ANTIGEN, FECES""",$190.50 
MUMPS IGG,$177.50 
"""VARICELLA-ZOSTER AB, IGG, S""",$131.50 
.THYROGLOBULIN ANTIBODIES,$120.00 
CULTURE BLOOD,$150.00 
CULTURE FECES-STOOL,$132.50 
CULTURE FECES-STOOL-ADD. PLATES,$28.50 
CULTURE ABCESS ANAEROBIC,$120.00 
CULTURE HELICOBAC/CLO TEST,$162.00 
CULTURE DRAINAGE,$120.00 
CULTURE DRAINAGE ANAEROBIC,$120.00 
"""CULTURE, ANAEROBE SCR""",$43.50 
CULTURE EAR,$120.00 
CULTURE EYE,$120.00 
CULTURE FLUID OTHER,$120.00 
CULTURE FLUID PLEURAL,$120.00 
CLO TEST,$30.00 
CULTURE FLUID THORACENTESIS,$120.00 
CULTURE FLUID SYNOVIAL,$120.00 
"""CULTURE, MISCELLANEOUS""",$120.00 
CULTURE URINE,$148.00 
CULTURE NASOPHARYNGEAL,$120.00 
CULTURE SPUTUM,$120.00 
CULTURE SURGICAL ANAEROBIC,$120.00 
CULTURE SURGICAL SUPERFICIAL,$120.00 
CULTURE TISSUE SURGICAL ANAEROBIC,$120.00 
CULTURE VAGINAL/ENDO W/ GC,$120.00 
CULTURE VAG/ENDO GRP B STREP,$153.00 
CULTURE WOUND ANAEROBIC,$120.00 
CULTURE WOUND SUPERFICIAL,$120.00 
"""CULTURE FUNGUS-NAIL,SKIN, HAIR""",$163.50 
CULTURE NARES,$120.00 
CULTURE NARES FOR MRSA,$120.00 
"""CULTURE FUNGUS, NON DERMAL""",$163.50 
.MM AEROBIC BACTERIAL ID,$63.00 
.MM ANAEROBIC BACTERIAL ID,$43.50 
CULTURE B.PERTUSSIS-UHL,$65.00 
CULTURE THROAT NO STREP SCREEN,$92.00 
""".MM ORGANISM ID, 2ND""",$65.50 
OVA & PARASITES,$110.50 
.MM SENSITIVITY MIC,$139.00 
.MM STAIN GRAM,$29.00 
"""STAIN, GRAM""",$38.00 
PINWORM EXAM,$29.00 
WET MOUNT/WET PREP/HANGING DROP,$30.00 
"""KOH PREP, FUNGUS""",$41.50 
C DIFFICILE TOXIN A & B,$164.00 
CRYPTOSPORIDIUM ANTIGEN,$82.00 
GIARDIA ANTIGEN,$82.00 
HELICOBACTER PYLORI STOOL ANTIGEN TEST,$280.50 
INFLUENZA A&B VIRAL ANTIGEN,$152.00 
.CHLAMYDIA (GEN-PROBE),$103.50 
.GC (GEN-PROBE),$103.50 
CULTURE THROAT FOR STREP SCREEN,$54.00 
PH FECES,$13.00 
I-DRUG OF ABUSE SCREEN URINE,$153.00 
I-DAS COLLECTION CHARGE,$41.50 
DRUG OF ABUSE SCREEN,$153.00 
P-CYTO DIRECT FLD,$64.50 
P-CYTO CONC. FLD.,$133.40 
P-NON-GYN DIRECT SM,$77.50 
P-NON-GYN SM/PREP/INTRP,$77.50 
P-NON-GYN 6+ SLIDES,$77.50 
P-FNA EVALUATION,$96.75 
P-FNA INTERP/REPORT,$162.50 
A-SLIDE REVIEW AND INTERPRETATION,$100.20 
"""A-IMMUNOPEROXIDASE, EACH""",$482.95 
P-LEVEL CPT I - GROSS,$40.50 
P-LEVEL CPT II,$96.43 
P-LEVEL CPT III,$139.55 
P-LEVEL CPT IV,$256.43 
P-LEVEL CPT V,$526.80 
P-DECALCIFICATION,$38.00 
PERIPH BLOOD SMEAR CSLT,$84.60 
A-SURG PATH CONSULTATION,$71.30 
CELL COUNT MISC BODY FLUID,$47.50 
"""FAT, FECES SCREEN""",$137.50 
.MOTILITY & COUNT,$148.00 
.SEMEN ANALYSIS PATH CHARGE,$202.50 
.DRAWING CHARGE LAB,$24.50 
.ARTERIAL DRAWING FEE,$123.00 
.SHIPPING CHARGE,$15.00 
"""CREATININE, URINE RANDOM""",$55.50 
GTT 2HR,$37.50 
GTT 3HR,$139.00 
P-FROZEN SECTION,$205.00 
P-FROZEN SECT-ADDITIONAL,$120.50 
P-UNL SURGICAL PATH PROC.,$100.20 
P-PATHOLOGY PHOTO,$12.75 
FACTOR V LEIDEN MUTATION,$563.50 
VDRL (SERUM SENT TO UHL),$26.50 
CULTURE VIRAL SENT TO UHL,$96.50 
LYME TITER (TO UHL),$63.00 
"""TRANSFERRIN, SERUM""",$120.50 
"""REDUCING SUBSTANCES, FECES""",$14.50 
"""STAIN, WRIGHTS""",$29.00 
BLOOD ADMINISTRATION- PACKED RBCS,$203.60 
.BB FRESH FROZEN PLASMA,$90.00 
.BB RHOGAM,$105.00 
.BB PLATELET-LEUKOREDUCED,$490.00 
.BB HANDLING FEE,$3.52 
OXIMETRY SPOT CHECK,$27.00 
OVERNIGHT PULSE OXIMETRY,$233.50 
RT SUPPORT PER HOUR,$305.60 
POSTURAL DRAIN/PERC INITAL,$117.00 
POSTURAL DRAIN/PERC SUBSEQUENT,$72.75 
VENT/SUBQ DAYS,"$1,164.00 "
VENT/SETUP/1ST DAY,"$1,440.50 "
CPAP/BIPAP PER HR,$89.25 
EMERGENCY RESUSITATION,$499.00 
HHN/TREATMENT,$93.75 
HHN PRN/TREATMENT,$93.75 
BIPAP- INITIATION AND MANAGEMENT,$257.00 
HHN/INITIAL SINGLE TREATMENT,$168.00 
HHN/INITIAL CONTINUOUS TREATMENT,$222.00 
INCENTIVE SPIROMETRY/TX,$94.50 
AMB BP SETUP,$238.00 
OXYGEN/HOUR,$14.00 
PEAK FLOW,$305.60 
PFT SPIROMETRY,$160.50 
PFT PRE+POST,$316.50 
PFT INDUSTRIAL W/ INTERPRETATION,$60.00 
PFT METHACHOLINE CHALLENGE,$444.50 
PFT DLCO ONLY,$35.00 
PFT FRC ONLY,$160.50 
EKG- ROUTINE,$212.00 
EKG - RHYTHM STRIP,$107.50 
STRESS TEST TREADMILL,$738.50 
STRESS TEST MYOCARDIAL PERFUSION,$738.50 
STRESS TEST ADENOSINE MYO PERFUSION,$738.50 
HOLTER MONIT HO UP,$316.50 
HOLTER MONITORING ANAYLSIS,$527.50 
CARDIAC EVENT MONIT HOOKUP,$316.50 
EEG >60MINUTES,$768.00 
SLEEP HOME TEST,$334.50 
SLEEP NL POLY (NORMAL POLYSOMNOGRAPHY),"$2,012.50 "
SLEEP POLY W/ CPAP,"$2,322.00 "
EEG 41 - 60 MINUTES,$594.50 
EEG 20 - 40 MINUTES,$582.00 
CARD REHAB-INITIAL PH II,$274.50 
CARD REHAB-PHASE II,$230.50 
6 MIN WALK TEST,$101.25 
PULMONARY EXERCISE DAILY (GROUP),$230.00 
BARIUM SWALLOW,$299.00 
SPEECH THERAPY,$205.50 
ST - EVAL OF SPEECH FLUENCY,$299.00 
ST - EVAL OF SOUND PRODUCTION,$299.00 
ST - EVAL OF LANGUAGE,$299.00 
ST- EVAL OF BEHAVIORAL ANALYSIS OF VOICE,$299.00 
SWALLOWING THERAPY,$257.00 
SWALLOWING FUNCT EVALUATION,$299.00 
"""PULMONARY EXERCISE, ONE HOUR""",$230.00 
INJECTION/ASPIRATION MAJOR JOINT OR,$384.00 
LUMBAR EPIDURAL OR SUBARACHNOID INJECTIO,$870.00 
EYE FOR FOREIGN BODY,$131.50 
MANDIBLE 4 VIEWS,$205.50 
FACIAL BONES LESS THAN 3 VIEWS,$131.50 
FACIAL BONES 3 VIEWS,$205.50 
NASAL BONES (3) THREE VIEWS OR MORE,$137.50 
"""ORBITS, 4 VIEWS""",$190.00 
SINUSES - COMPLETE,$203.00 
RIBS UNILATERAL LEFT,$146.00 
SKULL 3 VIEWS OR LES,$134.50 
SKULL COMPLETE,$222.50 
