HOSPITAL NAME:   FOOTHILLS REGIONAL MEDICAL CENTER,,,,
OSHPD ID:   106301357,,,,
EFFECTIVE DATE OF SERVICE:   06-01-2018,,,,
,,,,
,,,,
Fac,Charge #,Description,Price,GL Key
513,45104031, VARICELLA ZOSTER IGM           ,12,4500
513,45104049, VARICELLA ZOSTER IGG           ,26,4500
513,45104072, CATECHOLAMINES (24 HR URINE)   ,34,4500
513,45104098, RHEUMATOID FACTOR              ,5.51,4500
513,45104106, SCL 70                         ,10.92,4500
513,45104148, SS A RO AB(IGG) EIA            ,8.2,4500
513,45104155, SS B LA AB(IGG) EIA            ,8.2,4500
513,45104163, SKELETAL MUSCLE ANTIBODY       ,9,4500
513,45104171, SM/RNP ANTIBODIES              ,18,4500
513,45104189, WEST NILE VIRUS                ,68,4500
513,45104221, CULTURE LEGIONELLA             ,25.03,4500
513,45104247, LEUKOCYTE ALK PHOS             ,12.55,4500
513,45105111, CULTURE GP A STREP             ,10,4500
513,45105129, TOXO IGG AB                    ,15.13,4500
513,45105137, ALDOLASE                       ,9,4500
513,45105145, INFLUENZA DFA                  ,13,4500
513,45105152, PARAINFLUENZA DFA              ,111.45,4510
513,45105160, HEMOGLOBINOPATHY               ,14.01,4500
513,45105178, CMV IGG AB                     ,15.13,4500
513,45105194, PRENATAL PANEL                 ,29,4500
513,45105228, MICOALABUMIN (RANDOM URINE)    ,24,4500
513,45105236, PAP SMEAR                      ,13,4500
513,45105244, ANAEROBLC AEROBLC CULTURE      ,22,4500
513,45105277, SLE PANE (LUPUS PANEL)         ,409,4500
513,45105285, TCELL - SUBSET                 ,107,4500
513,45105301, CULTURE AEROB/ANAER            ,20,4500
513,45105319, CULTURE                        ,9.89,4500
513,45105335, AMIKACIN                       ,12.03,4500
513,45105343, AMIKACIN LEVEL (2)             ,13,4500
513,45105400, CELL COUNT/WBC W/DIFF          ,6,4500
513,45105418, CHLAMYDIA IGM/CHLAMYDIA IGG    ,35,4500
513,45105426, FECAL LEUKOCYTE STN            ,8.3,4500
513,45105434, FUNGAL STAIN                   ,4.81,4500
513,45105442, GRAM STAIN                     ,12.25,4510
513,45105459, HEPATITIS PANEL ACUTE          ,44.41,4500
513,45105467, HEPATITIS PANEL                ,48.52,4500
513,45105475, HEP B SURFACE AB QN            ,6.52,4500
513,45105483, HOMOCYSTEINE (NU CON)          ,120,4500
513,45105509, PROTEIN TOTAL                  ,5.63,4500
513,45105533, FACTOR 13   FUNCTIONAL         ,102,4500
513,45105566, STREPTOCOCCUS GRP A            ,5,4500
513,45105574, THYROGLOBULIN ANTIBODIES       ,7,4500
513,45105582, CRYSTAL  FLUID                 ,12,4500
513,45105590, ERYTHROPOIETIN                 ,17.88,4500
513,45105608, ALPHA-2-MACROGLOBULIN          ,57,4500
513,45105624, CARBOXYHEMOGLOBIN              ,12.27,4500
513,45105632, TOPIRAMATE (SERUM)             ,27,4500
513,45105640, ALBUMIN                        ,6.28,4500
513,45105657, CELL COUNT/DIFF                ,22.1,4500
513,45105665, IBUROFEN                       ,43,4500
513,45110459, IMMUNOFIXATION  URINE          ,20.92,4500
513,45110467, ANTI-STREPTOLYSIN O            ,7.18,4500
513,45110475, CALCIUM  IONIZED               ,15.41,4500
513,45110483, CATECHOLAMINES FRACTION PLASMA ,206.07,4500
513,45110491, FUNGAL ISOLATE ID  YEAST       ,88.6,4500
513,45110509, FUNGAL ISOLATE ID  MOLD        ,88.6,4500
513,45110517, FUNGAL ISOLATE ID GAS LQD CHRM ,88.6,4500
513,45110525, FUNGAL ISOLATE ID DIRECT PROBE ,88.6,4500
513,45110533, FSH  SERUM                     ,9.62,4500
513,45110541, HEMOGLOBIN A2 (QUANT)          ,132.87,4500
513,45110558, LH                             ,9.62,4500
513,45110566, MYOGLOBIN  SERUM               ,16.53,4500
513,45110574, MYOGLOBIN  URINE               ,16.53,4500
513,45110582, PROLACTIN                      ,13.47,4500
513,45110590, ASSAY URINE CREATININE Q750    ,13.84,4500
513,45110608, ASSAY OF PROTEIN URINE Q750    ,13.84,4500
513,45110616, PROTEIN EPHRESIS/URINE/CSFQ750 ,13.84,4500
513,45110624, SICKLE CELL SCREEN             ,3.7,4500
513,45110632, AMYLASE ISOENZYMES             ,181.93,4500
513,45110640, BETA 2 MICROGLOBULIN  SERUM    ,17.85,4500
513,45110657, TESTOSTERONE  TOTAL  MALES     ,8.02,4500
513,45110665, COCCIDIODES ANTIBODY  CF       ,17.85,4500
513,45110673, TOXOPLASMA ANTIBODY (IGG)      ,15.13,4500
513,45110681, ESTRADIOL                      ,26.78,4500
513,45110699, FTA-ABS                        ,10.04,4500
513,45110707, VDRL  CSF                      ,8.98,4500
513,45110715, STREPTOCOCCUS  GROUP A CULTURE ,10,4500
513,45110723, JO-1 ANTIBODY                  ,31.68,4500
513,45110731, CA 15-3                        ,12.02,4500
513,45110749, MICROALBUMIN QUANTITATIVEQ6517 ,11.22,4500
513,45110756, RUSSEL VIPER VENM DILUTEDQ7079 ,19,4500
513,45110764, THROMBPLSTIN TIME PARTIALQ7079 ,19,4500
513,45110772, LYMPHOCYTE SUBSET PANEL 5      ,42.24,4500
513,45110780, AMYLASE RNDM URINE CREAT Q8464 ,36.62,4500
513,45110798, STREPTO GRP A AG W/ REFLEX CUL ,5.09,4500
513,45110814, CARDIOLIPIN ANTBDY EA/IGQ14890 ,188.37,4500
513,45110822, ANTIPHOSPHOLIPID ANTIBDYQ14890 ,188.36,4500
513,45110830, LEVETIRACETAM                  ,47.14,4500
513,45110848, VITAMIN D 1 25 DIHYDROXY LC/MS ,47.52,4500
513,45110855, INFLUENZA A H1N1 2009 RL TIME  ,195,4500
513,45110863, QUESTASSURED 25-OH VIT D LC/MS ,49.1,4500
513,45110871, GLUCOSE PLEURAL FLUID          ,5.63,4500
513,45110889, LD  PLEURAL FLUID              ,6.62,4500
513,45110897, SUSCEPTIBILITY YEAST COMP PNL  ,300.3,4500
513,45110905, LAMOTRIGINE                    ,19.47,4500
513,45110913, HELICOBACTER PYLORI ANTIBODY   ,57,4500
513,45110921, MTUBERCULOSIS CMPLX PCR NO RSP ,203.83,4500
513,45110939, LEGIONELLA PNEUMO ANTIBODY IGM ,78.85,4500
513,45110947, MYCOPLASMA PNEUMO ANTBOD IGG/M ,54.67,4500
513,45110954, HCV RNA QUANTITATIVE REAL TIME ,115,4500
513,45110962, TOXOPLASMA ANTIBODY (IGM)      ,21.2,4500
513,45110970, SJORGREN'S ANTIBODY (SS-A)     ,8.2,4500
513,45110988, SJORGREN'S ANTIBODY (SS-B)_    ,8.2,4500
513,45110996, HIV 1 RNA QUANT REAL TIME PCR  ,205,4500
513,45111002, HIV1 QUANT&REVRSE TRANSCRP     ,252.47,4500
513,45111010, QUANTIFERON(R)-TB GOLD         ,85,4500
513,45111028, PROTEIN  TOTAL&ELEC URINE PANL ,0,                 
513,45111036, CREATININE Q6517               ,11.22,4500
513,45111044, CREATININE Q8464               ,36.62,4500
513,45111051, CREATININE Q8525               ,5.5,4500
513,45111069, URINE PROTEIN QT Q8525         ,5.5,4500
513,45111077, PROTEIN ELECTROPHORESIS Q8525  ,5.51,4500
513,45111085, ALBUMIN Q14966                 ,13.77,4500
513,45111093, SEX HRMN BNDING GLOBULINQ14966 ,13.77,4500
513,45111101, TESTOSTERONE  TOTAL Q14966     ,13.75,4500
513,45111119, CHLAMYDIA Q17305               ,45.1,4500
513,45111127, N. GONORRHOEAE Q17305          ,45.1,4500
513,45111143, TT FREE BIO&TTL LC/MS/MS PANEL ,0,                 
513,45111150, ANTIPHOPHOLIPID AB PANEL       ,0,                 
513,45111168, PROTEIN TTL&ELE RNDM URINE PNL ,0,                 
513,45111176, AMYLASE RNDM URINE W CREAT PNL ,0,                 
513,45111184, LUPUS ANTICOAG EVAL REFLEX PNL ,0,                 
513,45111192, MICROALBM RDM URINE CREAT PNL  ,0,                 
513,45111200, WBC ANTIBODY IDENTIFICATION    ,59.35,4500
513,45111242, HELICOBACTER PYLORI            ,125,4500
513,45111325, C. TRACH RNA/TMA               ,45.1,4500
513,45111333, N GONORRHOEAE RNA/TMA          ,45.1,4500
513,45111341, ALBUMIN SYNOVIAL FLUID         ,6.28,4500
513,45111358, ALBUMIN PERITONEAL FLUID       ,6.28,4500
513,45111366, ALBUMIN PERICARDIAL FLUID      ,43.82,4500
513,45111374, ALBUMIN PLEURAL FLUID          ,6.28,4500
513,45111382, AMYLASE PERITONEAL FLUID       ,7.74,4500
513,45111390, AMYLASE PLEURAL FLUID          ,7.74,4500
513,45111408, LIPASE PERITONEAL FLUID        ,7.18,4500
513,45111416, LIPASE PANCREATIC FLUID        ,47.58,4500
513,45111424, LIPASE PLEURAL FLUID           ,47.58,4500
513,45111432, LIPASE JP DRAINAGE             ,47.58,4500
513,45111440, GLUCOSE PERITONEAL FLUID       ,5.63,4500
513,45111457, LD PLEURAL FLUID               ,6.62,4500
513,45111465, LD SYNOVIAL FLUID              ,43.82,4500
513,45111473, LD PERICARDIAL FLUID           ,73.82,4500
513,45111481, LD PERITONEAL FLUID            ,6.5,4500
513,45111499, C/N. GONORRHOEAE RNA/TMA       ,0,                 
513,45111515, PLATELET CT NA-NITRATE (BL)    ,100,4500
513,45111523, CMV DNA QUAL REAL TIME PCR     ,125,4500
513,45111531, HSV 1 (IgG) TYPE SPEC AB       ,27.34,4500
513,45111549, HSV 1 IGM SCREEN Q90849        ,60.18,4500
513,45111556, HSV 2 IGM SCREEN Q90849        ,60.19,4500
513,45111564, EBV VIRAL CAP AG AB-IGM Q6421  ,14.92,4500
513,45111572, EBV VIRAL CAP AG AB-IGG Q6421  ,14.92,4500
513,45111580, EBV NUCLEAR AG-EBNA AB Q6421   ,14.92,4500
513,45111598, ACTIN (SMOOTH MUSCLE) AB (IgG) ,16.53,4500
513,45111630, HSV 1/2 AB IFA REFLEX SRM PNL  ,0,                 
513,45111648, EPSTEIN BARR VIRUS AB PANEL    ,0,                 
513,45111655, LEUKEMIA/LYMPHOMA EVAL PANEL   ,0,                 
513,45111663, HELICOBACTER PYLORI            ,68.12,4500
513,45111671, ANA TITER AND PATTERN          ,12.93,4500
513,45111689, WEST NILE VIRUS ANTBDY IGM     ,68,4500
513,45111697, LA CROSS VIRUS AB  IGG & IGM   ,1,4510
513,45111705, ENCEPHALTIS WEST EQNE ANTBDY   ,1,4510
513,45111713, MUMPS AB  IGG & IGM  IFA       ,23.85,4510
513,45111721, LCM IGG & IGM                  ,46.5,4510
513,45111739, WNV AB (IGG)  CSF              ,112,4510
513,45111747, WNV AB (IGM)  CSF              ,112,4510
513,45111754, EASTERN EQNE IGG & IGM         ,46.5,4510
513,45111762, ST LOUIS IGG & IGM             ,1,4510
513,45111770, WEST NILE AB IGG  CSG          ,112,4510
513,45111788, P.JIROVECII (P.CARINII) DFA    ,26.13,4510
513,45111796, SOURCE                         ,84.4,4510
513,45111804, HISTOPLASMA CAPSUL AG EIA      ,95,4510
513,45111812, HISTOPLASMA ANTIBODY           ,28.43,4510
513,45111820, BLASTOMYCES ANTIBODY           ,19.72,4510
513,45111838, PARTICLE AGGLUT ANTBDY SCRN    ,27.84,4510
513,45111846, MICROBE SUSCEPT MYCOBACTERI    ,56.5,4510
513,45111853, VIRUS INOCULATION SHELL VIA    ,60.18,4510
513,45111861, VIRUS ID                       ,140.43,4510
513,45111879, CULTURE VIRAL BODY FLUIDS TISS ,180.69,4510
513,45111895, MTHFR-MUTATION                 ,298,4510
513,45111903, PROTEIN C-ACTIVITY             ,129.51,4510
513,45111911, PROTEIN C-ANTIGEN              ,35.55,4510
513,45111929, CLOT INHIBIT PROT S FREE       ,586.23,4510
513,45111937, F2 GENE                        ,60,4510
513,45111945, IRON TOTAL                     ,5.93,4510
513,45111952, BHCG-TUMOR MARKER  CSF         ,38.98,4510
513,45111960, RETICULOCYTE COUNT             ,11.74,4510
513,45111978, HOMOCYSTEINE                   ,22,4510
513,45111986, JAK-2 MUTATION                 ,350,4510
513,45111994, CALIFORNIA IGG & IGM           ,7.2,4510
513,45112000, MNINGOENCEPHALITIS PNL CSF     ,0,                 
513,45112018, HSV ANTBD PNL  ELISA IFA CSF   ,0,                 
513,45112026, W.NILE VIRUS AB(IGG & IGM)CSF  ,0,                 
513,45112034, P.JIROVECII(p.CARINII) DFA     ,0,                 
513,45112042, PROTEIN C ACTIVITY & AG(8757X) ,0,                 
513,45112059, SODIUM W/O CREATININE RANDOM U ,55,4510
513,45112067, HUMAN METAPNEUMOVIRUS DFA      ,155.23,4510
513,45112075, ADENOVIRUS ANTIGEN  DFA        ,12.29,4510
513,45112083, FLU A/B&RSV RNA QL RT PCR      ,666.48,4510
513,45112091, T3  FREE                       ,8.79,4510
513,45112109, CULTURE  URINE  ROUTINE        ,7.6,4510
513,45112117, CULTURE  ANAEROBIC BACTERIA    ,21.98,4510
513,45112125, CREATININE  RANDOM URINE       ,10.76,4510
513,45112133, T4  FREE                       ,4,4510
513,45112141, MRSA CULTURE SCREE             ,21.9,4510
513,45112158, C. DIFF TOXINS QL RT-PCR       ,43.27,4510
513,45112166, CULTURE  BLOOD                 ,10,4510
513,45112174, IRON                           ,13.01,4510
513,45112182, FERRITIN                       ,13.01,4510
513,45112190, IRON TIBC & FERRITIN PANEL     ,13.01,4510
513,45112208, RPR (MONITOR)                  ,2.89,4510
513,45112216, RPR (MONITOR) TITER            ,1.53,4510
513,45112224, PROTEIN S ACT.AG TOTAL         ,13,4510
513,45112232, PROTEIN S  ACTIVITY            ,14.33,4510
513,45112240, PROTEIN S AG  TOTAL            ,18.92,4510
513,45112257, LACTATE DEHYD. CSF             ,7.45,4510
513,45112265, LEGIONELLA CULT. ENV.          ,8.18,4510
513,45112273, PROTEIN TTL 24HR URN.(WO CRTN) ,13.39,4510
513,45112281, GLUCOSE  AMNIOTIC FLUID        ,4.85,4510
513,45112299, GLUCOSE  PERCARDIAL FLUID      ,4.85,4510
513,45112307, ALBUMIN  SYNOVIAL FLUID        ,7.78,4510
513,45112315, CREATININE  24HR URINE         ,2.95,4510
513,45112323, PROTEIN  TTL  SYNOVIAL FLUID   ,21,                 
513,45112331, GLUCOSE  SYNOVIAL FLUID        ,21,4510
513,45112349, GLUCOSE  CSF                   ,21,4510
513,45112356, GRAM STAIN                     ,12.25,4510
513,45112364, PROTEIN  TOTAL  CSF            ,3,4510
513,45112372, EOSINIPHIL COUNT (U)           ,45.58,4510
513,45112380, COMPLEMENT  TOTAL (CH50)       ,15.5,4510
513,45112398, CHROMATIN (NUCLEOSOMAL) AB     ,55,4510
513,45112406, SCLERODERMA AB (SCL-70)        ,36.93,4510
513,45112414, CENTROMERE B AB                ,55,4510
513,45112422, HEREDITARY HC  DNA  MUT. ANAL. ,180.69,4510
513,45201001, FN ASPIRATION W/O IMAGE        ,473,4520
513,45201019, FN ASPIRATATION W/ IMAGE       ,378,4520
513,45201027, BONE MARROW ASPIRATION ONLY    ,284,4520
513,45201035, BONE MARROW BIOPSY             ,378,4520
513,45201043, CHEMISTRY PROCEDURE  UNLISTED  ,201,4520
513,45201050, BLOOD SMEAR PERIPHERAL MD INT. ,142,4520
513,45201068, BONE MARROW SMEAR INTERP.      ,1590,4520
513,45201076, BLOOD BANK SERVICE  TRANS REAC ,237,4520
513,45201084, MICROSCOPIC EXAM OF CELLS      ,331,4520
513,45201092, CYTOPATHOLOGY CONC TECH SMEARS ,331,4520
513,45201100, CYTOPATHOLOGY CONC TECH OTHER  ,308,4520
513,45201118, CYTOPATHOLOGY PREP SCREENING   ,355,4520
513,45201126, CYTOPATHOLOGY EVAL SPEC ADEQCY ,355,4520
513,45201134, CYTOPATHOLOGY EVAL INTER RPT   ,438,4520
513,45201142, CYTOPATHOLOGY PROC UNLISTED    ,0,4520
513,45201159, SURG GROSS EXAM ONLY LEVEL I   ,142,4520
513,45201167, SURG GROSS MICRO LEVEL II      ,284,4520
513,45201175, TISSUE EXAM BY PATHOLOGIST     ,414,4520
513,45201183, TISS EXAM BY PATHOLOGIST       ,545,4520
513,45201191, TISS EXAM BY PATHOLOGIST       ,734,4520
513,45201209, TISS EXAM BY PATHOLOGIST       ,946,4520
513,45201217, DECALCIFICATION PROCEDURE      ,72,4520
513,45201225, SPECIAL STAINS  GROUP I        ,142,4520
513,45201233, SPECIAL STAINS  GROUP II       ,107,4520
513,45201241, CONSULTATION RPT ON SLIDES     ,355,4520
513,45201258, CONSULTATION RPT ON MATERIAL   ,403,4520
513,45201266, CONSULTATION REVIEW REC/SPEC   ,473,4520
513,45201274, PATHOLOGY CONS IN SURG         ,438,4520
513,45201282, PATHOLOGY CONS 1ST TISS        ,592,4520
513,45201290, PATHOLOGY CONS ADD TISS        ,284,4520
513,45201308, PATHOLOGY CONS CYTOLOGIC INIT  ,532,4520
513,45201316, PATHOLOGY CONS CYTOLOGIC ADD   ,261,4520
513,45201324, IMMUNOCYTOCHEMISTRY ANTIBODY   ,378,4520
513,45201332, MORPHOMETRIC ANAL TUMOR IMMUNO ,473,4520
513,45201340, MORPHOMETRIC ANAL TUMOR  C.A.T ,710,4520
513,45201357, IN SITU HYBRIDIZATION EA PROBE ,473,4520
513,45201365, UNLISTED SURGICAL PATH PROC    ,0,4520
513,45201373, CYTOPATH CELL ENHANCE TECH     ,180,4520
513,45400025, ABO TYPING                     ,53,4500
513,45400033, DU TYPING                      ,88,4500
513,45400041, RH TYPING                      ,62,4500
513,45400066, ANTIBODY SCREEN                ,89,4500
513,45400082, DIRECT COOMBS TEST             ,79,4540
513,45400090, INDIRECT COOMBS                ,89,4500
513,45400116, COMPATIBILITY-IMMED SPIN TEST  ,79,4540
513,45400124, COMPATIBILITY SINGLE/TEST INCU ,89,4540
513,45400132, COMPATIBILITY ANTI GLOB TEST   ,364,4540
513,45400199, THAWING FFP 1-UNIT             ,79,4540
513,45400702, PACKED RED CELLS               ,390,4540
513,45400710, LEUKO REDUCED RED CELLS        ,322,4540
513,45400728, WASHED RED CELLS               ,402,4540
513,45400736, WHOLE BLOOD                    ,381,4540
513,45400744, FRESH FROZEN PLASMA            ,30,4540
513,45400751, PLATELET PHERESIS              ,587,4540
513,45400769, PLATELET CONCENTRATE           ,788,4540
513,45400777, CRYOPRECIPITATE 1U             ,60,4540
513,45400793, AUTOLOGOUS BLOOD + PROCESSING  ,582,4540
513,45400801, DONOR-DIRECTED BLD+PROCESSING  ,582,4540
513,45400819, CRYOPERCIPITATE 10U            ,600,4540
513,45400827, CRYOPERCIPITATE POOLED 5U      ,450,4540
513,45400835, THAWING FFP 10-UNITS           ,792,4540
513,45400843, THAWING FFP 5-UNITS            ,396,4540
513,45403003, MISC-RED CROSS SRVCS           ,0,4500
513,45450517, BLOOD ADMIN/TRANSFUSION        ,748,4540
513,45900016, ECG ROUTINE                    ,266,4591
513,45900040, ECG RHYTHM                     ,130,4591
513,45900057, 24HR HOLTER MONITOR            ,1019,4591
513,45900065, 2D ECHO COMPLETE               ,1504,4591
513,45900073, ECHO TRANSESOPHAGEAL           ,1305,4591
513,45900081, 2D ECHO WAVE ONLY              ,1054,4591
513,45900115, ECHO DOPPLER W/COLOR           ,1613,4591
513,45900123, ECHO STRESS                    ,1559,4591
513,45900149, STRESS TEST                    ,1103,4591
513,46100012, SOMA EVOKED UPPER EXT (EMG)    ,396,4610
513,46100020, SOMA EVOKED LOWER EXT (EMG)    ,396,4610
513,46100038, SOMA EVOKED TRNK/HEAD (EMG)    ,396,4610
513,46100061, EMG 1EXT PARASPINAL            ,382,4610
513,46100079, EMG 2EXT PARASPINAL            ,828,4610
513,46100129, EMG 3EXT PARASPINAL            ,994,4610
513,46100145, EMG 4EXT PARASPINAL            ,1250,4610
513,46100160, NERVE COND EA NERVE (EMG)      ,198,4610
513,46100178, NERVE COND SENSRY 1 NERVE(EMG) ,189,4610
513,46100186, EMG EXT MUSCULAR SENSORY       ,636,4610
513,46100194, EMG H-REFLUX                   ,199,4610
513,46200010, EEG CEREBRAL SEIZURE           ,2522,4620
513,46200028, EEG AWAKE & DROWSY             ,329,4620
513,46200036, EEG COMPLETE                   ,347,4620
513,46200044, EEG AWAKE & ASLEEP             ,916,4620
513,46200051, EEG COMA OR SLEEP              ,648,4620
513,46200069, EEG CEREBRAL DEATH EVAL        ,208,4620
513,46300000, XR ABDOMEN; 1 VIEW             ,249,4630
513,46300018, XR ABDOMEN; 2 VIEWS            ,457,4630
513,46300026, XR ABDOMEN; 3 OR MORE VIEWS    ,565,4630
513,46300042, AC JOINTS BILATERAL            ,1110,4630
513,46300059, ANKLE LTD-2 VWS                ,1110,4630
513,46300067, ANKLE COMPLETE-MIN 3 VWS       ,1110,4630
513,46300075, BONE AGE STUDY                 ,2498,4630
513,46300083, BONE METABOLIC STUDY           ,2498,4630
513,46300091, XR CHEST; SINGLE VIEW          ,287,4630
513,46300109, XR CHEST; 2 VIEWS              ,407,4630
513,46300117, XR CHEST; 4 OR MORE VIEWS      ,616,4630
513,46300141, CLAVICLE                       ,1110,4630
513,46300158, ELBOW 2 VW                     ,635,4630
513,46300166, ELBOW COMPLETE-MIN 3 VW        ,635,4630
513,46300190, FACIAL BONES COMP MIN 3 VIEWS  ,1110,4630
513,46300208, FACIAL ORBITS COMP MIN 4 VIEWS ,1665,4630
513,46300216, FEMUR 1 VW                     ,503,4630
513,46300224, FINGERS-MIN 2 VWS              ,1110,4630
513,46300232, FOOT LTD-2 VWS                 ,1110,4630
513,46300240, FOOT COMPLETE-MIN 3 VWS        ,1110,4630
513,46300257, FOREARM-2 VWS                  ,635,4630
513,46300265, HAND-2 VWS                     ,1110,4630
513,46300273, HAND-MIN 3 VWS                 ,1110,4630
513,46300281, HIP UNILATERIAL  1 VW          ,407,4630
513,46300299, HIP UNILATERAL 2-3 VWS         ,534,4630
513,46300307, HIPS BILATERAL 2 VWS           ,711,4630
513,46300331, HUMERUS MIN 2 VW               ,635,4630
513,46300349, KNEE LTD 1 OR 2 VWS            ,1110,4630
513,46300364, KNEE COMPLETE-4 OR MORE VWS    ,1110,4630
513,46300422, MANDIBLE COMP MIN 4 VIEWS      ,1665,4630
513,46300448, MASTOIDS COMP MIN 3 VIEWS      ,1665,4630
513,46300455, NASAL BONES COMP MIN 3 VIEWS   ,1110,4630
513,46300463, NECK SOFT TISSUE               ,1110,4630
513,46300489, OS CALCIS HEEL MIN 2 VWS       ,1110,4630
513,46300497, PELVIS 1 OR 2 VW               ,1110,4630
513,46300505, PELVIS COMP MIN 3 VW           ,1110,4630
513,46300513, RIBS BILATERAL                 ,1110,4630
513,46300521, RIBS UNILATERAL 2 VWS          ,1110,4630
513,46300570, SCAPULA                        ,1110,4630
513,46300612, SHOULDER COMPLETE-MIN 2 VW     ,1110,4630
513,46300620, SINUSES PARANASAL COMP MIN 3 V ,1110,4630
513,46300646, SKULL LTD LESS THAN 4 VIEWS    ,1110,4630
513,46300653, SKULL COMP MIN 4 VIEWS         ,1665,4630
513,46300687, SPINE CERV 3 VW OR LESS        ,1665,4630
513,46300695, SPINE - CERV 4 OR 5 VWS        ,1665,4630
513,46300711, SPINE LUMBAR 2 OR 3 VW         ,1665,4630
513,46300729, SPINE LUMBAR COMP MIN 4 VW     ,1665,4630
513,46300745, SPINE THORACIC 2 VW            ,1665,4630
513,46300778, STERNUM MIN 2 VWS              ,1110,4630
513,46300794, TIBIA & FIBULA 2 VWS           ,1110,4630
513,46300802, TM JOINTS BILATERAL            ,1665,4630
513,46300810, TM JOINTS UNILATERAL           ,1110,4630
513,46300828, TOES MIN 2 VWS                 ,1110,4630
513,46300836, WRIST-2 VWS                    ,635,4630
513,46300844, WRIST-MIN 3 VWS                ,635,4630
513,46300869, BARIUM ENEMA W/ OR W/OUT KUB   ,2498,4630
513,46300877, BARIUM ENEMA W/AIR             ,2498,4630
513,46300885, CYSTOGRAM                      ,2498,4630
513,46300893, CYSTOGRAM - VOIDING            ,2498,4630
513,46300919, E.R.C.P.                       ,3810,4630
513,46300927, ESOPHAGRAM                     ,2498,4630
513,46300935, FISTULA SINUS STUDY            ,2498,4630
513,46300943, FLOUROSCOPY                    ,2498,4630
513,46301008, IVP                            ,2498,4630
513,46301024, NEPHROSTOGRAM                  ,2498,4630
513,46301032, SMALL BOWL SERIES MULT IMAGE   ,992,4630
513,46301123, CHOLANGIOGRAM T TUBE           ,8350,4630
513,46301230, CHOLANGIOGRAM SURGERY          ,2498,4630
513,46301248, RETROGRADE PYELOGRAM           ,2498,4630
513,46301289, UPPER GI W/AGENT W/KUB         ,886,4630
513,46301339, CHEST VW DECUBITUS             ,1110,4630
513,46301396, SACRUM & COCCYX MIN 2 VWS      ,1110,4630
513,46301453, SACRUM & COCCYX MIN 2 VWS      ,1110,4630
513,46301495, C-ARM UP TO 1 HOUR             ,2498,4630
513,46301594, CYSTO                          ,75,4630
513,46301628, GASTRO VIEW 120ML              ,119,4630
513,46301636, GI CUPS                        ,36,4630
513,46301644, HYPA QUEMEL GLUMINE 60% 50ML   ,34,4630
513,46301677, OMNI PAQUE 300 100ML           ,550,4630
513,46301693, OMNIPAQUE 300 50ML             ,501,4630
513,46301792, ANGIOPLASTY VENOUS             ,5080,4630
513,46301800, FLUORO GD FOR VEIN DVCE        ,2498,4630
513,46301818, ARTERIOVENOUS SHUNT            ,2498,4630
513,46301826, VEIN X-RAY ARMS/LEGS           ,2498,4630
513,46301834, KNEES/BILAT AP STANDING        ,1110,4630
513,46301842, IMAGE GUIDED PROCEDURE         ,457,4630
513,46301859, UNI RIBS W/ PA CHEST           ,1110,4630
513,46301867, BIL RIBS W/ PA CHEST           ,1110,4630
513,46301875, MYOCARD PERF SPECT MULT        ,6389,4650
513,46301883, CTA CHEST WO/W CONTRAST        ,3121,4630
513,46301891, G-TUBE CHANGE PERC W/O RAD     ,601,4630
513,46301909, G-TUBE INS PERC W/FLUORO RAD   ,1645,4630
513,46301917, SWAL FUNC W CINE/VIDEO         ,2498,4630
513,46301925, MRA NECK W/CONT                ,3340,4630
513,46301933, EXTREMITY BI W/SERIAL          ,5080,4630
513,46301941, CTA ABD LE RO WO/W CONT        ,3850,4630
513,46301958, EXTREMITY UNI W/SERIAL         ,5080,4630
513,46301966, FACIAL BONES 2VW MAX           ,1110,4630
513,46301974, SINUSES 2VW MAX                ,1110,4630
513,46301982, SPINE ANY LEVEL SNGL VW        ,1110,4630
513,46301990, SPINE CERV 6 VIEW OR MORE      ,1665,4630
513,46302006, SPINE 3 VIEW T                 ,1665,4630
513,46302014, SPINE THORACIC 4VW MIN         ,1665,4630
513,46302022, SHOULDER SNGL VIEW             ,1110,4630
513,46302030, UPPER GI W/SMALL INT MULT IMAG ,924,4630
513,46302048, FLUOROSCOPY GREAT THN 1HR      ,3810,4630
513,46302055, FLUORO BX/ASP/INJ/GUIDE        ,5080,4630
513,46302063, BONE SURVEY COMPLETE           ,2498,4630
513,46302071, BONE SURVEY INFANT             ,2498,4630
513,46302089, ASP PLEURA W/O IMAGING         ,1290,4630
513,46302097, ATHERECTOMY RENAL/VISC         ,2747,4630
513,46302105, BIOPSY ABDONINAL MASS          ,987,4630
513,46302113, BIOPSY BONE DEEP               ,555,4630
513,46302121, BIOPSY BONE SUPERFICL          ,555,4630
513,46302139, BIOPSY LIVER PERC NDL          ,693,4630
513,46302147, BIOPSY MUSCLE PERC             ,555,4630
513,46302154, BIOPSY PANCREAS PERC           ,555,4630
513,46302162, BIOPSY PROSTATE                ,739,4630
513,46302170, BIOPSY RENAL PERC              ,987,4630
513,46302188, BIOPSY TRANSCATHETER           ,1444,4630
513,46302196, CERVICAL 1-2 PUNCTURE          ,1173,4630
513,46302204, DRAIN KIDNEY LESION            ,1940,4630
513,46302212, ESOPH ENDO FRGN BDY RMVL       ,185,4630
513,46302220, INJECT ANKLE XRAY              ,278,4630
