Description, Total Price 
HB CTA SPINE W/ CONTRST, $900.00 
"HB CTA, LOW EXT W/ W/O CONTRAST"," $2,420.00 "
"HB CTA, UPPER EXT W/ W/O CONTRAST"," $2,490.00 "
HB CT-CALCIUM SCORING SCREENING, $84.00 
HB CT-EXTREM W/ & W/O CONTRAST," $1,980.00 "
HB CT-EXTREM W/ CONTRAST," $1,750.00 "
HB CT-EXTREM W/O CONTRAST," $1,200.00 "
HB C-THERAPY NIGHT (10% DISC), $96.00 
HB C-THERAPY NIGHT (15% DISC), $91.00 
HB C-THERAPY NIGHT (50% DISC), $53.00 
HB C-THERAPY NIGHT (FULL PRICE), $106.00 
"HB CT-UPPER EXTREM, W/ & W/O CONTRAST"," $2,510.00 "
"HB CT-UPPER EXTREM, W/ CONTRAST"," $1,710.00 "
"HB CT-UPPER, EXTREM W/O CONTRAST"," $1,200.00 "
HB CULT EPID AUTOGRFT FACE/NCK/HND/FT/GEN 26-75 SQCM, $850.00 
"HB CULT EPIDRM AUTOGRFT TRUNK,ARM,LEG <26 SQCM", $850.00 
"HB CULT EPIDRM AUTOGRFT TRUNK,ARM,LEG ADD 26-75 SQCM", $125.00 
"HB CULT EPIDRM AUTOGRFT TRUNK,ARM,LEG EA 100 SQCM", $125.00 
"HB CULT EPIDRM AUTOGRFT,FACE/NCK/HND/FT/GEN <26 SQCM", $850.00 
"HB CULTURE SKIN AUTOGFT F,S,EL,M,N,E,O,G,H, F EA ADDL 100 SQCM", $125.00 
"HB CUPPING THERAPY, 3O MINUTES (PT PAY)", $44.00 
HB CURETTE/TREAT CORNEA, $250.00 
"HB CURETTE/TREAT CORNEA, APPLY CHELATE", $350.00 
HB CURRETTAGE POST PARTUM," $2,289.00 "
HB CURVED FINGER SPLINT, $3.00 
HB CUSHION WHEELCHAIR LVL 2, $108.00 
"HB CUSTOM ANGIOGRAPHIC, RIGHT HEART KIT FOR HFH", $96.00 
HB CUSTOM CONVENIENCE KIT, $45.00 
HB CUSTOM INTERVENT RAD PACK FOR HF, $143.00 
HB CUSTOM WASTE BAG KIT, $38.00 
HB CUVETTE ANALYZER HEMOCHRON, $11.00 
"HB CYSTO/URETERO/PYELOSCOPY, DX"," $1,550.00 "
"HB CYSTOSCOPY, DIL BLADDER, LOCAL ANESTH", $350.00 
"HB CYSTOSCOPY, DIL URETHRAL STRICTURE", $750.00 
"HB CYSTOSCOPY, INSERT URETERAL STENT"," $2,100.00 "
"HB CYSTOSCOPY, MANIPULATN"," $2,500.00 "
"HB CYSTOSCOPY, REMV CALCULUS, COMPLIC", $750.00 
HB CYSTOURETHROSCOPY, $750.00 
HB CYSTOURETHROSCOPY INJ CHEMODENERVATION BLADDER, $750.00 
HB CYSTOURETHROSCOPY W/IRRIG & EVAC CLOTS," $1,550.00 "
"HB CYSTOURETHROSCOPY, BIOPSY"," $1,550.00 "
"HB CYSTOURETHROSCOPY, FULGUR <0.5 CM LESN"," $1,550.00 "
"HB CYSTOURETHROSCOPY, FULGUR 0.5-2 CM LESN"," $1,550.00 "
"HB CYSTOURETHROSCOPY, URETER CATHETER"," $1,974.00 "
"HB CYSTOURETHROSCOPY, W REM FB, CALC, OR STNT; SIMPLE", $750.00 
HB CYTOLOGY BRUSH, $133.00 
HB DATA CABLE HEARTWARE," $1,350.00 "
"HB DATE BOOK LG PRINT, PP", $23.00 
"HB DEBR, SKIN, SUB-Q TISSUE,MUSCLE,BONE,EACH ADD 20 SQ CM", $15.00 
HB DEBRIDE BONE 1ST 20SQCM, $750.00 
HB DEBRIDE FRAC SKIN TO BONE, $850.00 
HB DEBRIDE FRAC SKIN/SUBQ/MUSCLE, $450.00 
HB DEBRIDE FRACTURE SKIN/SUBQ, $175.00 
HB DEBRIDE INFECT SKIN EA ADL 10%, $25.00 
HB DEBRIDE INFECTED SKIN 10%BS, $350.00 
HB DEBRIDE MUSC/FASCIA 1ST 20SQCM OR LESS, $350.00 
HB DEBRIDE MUSC/FASCIA ADL 20SQCM, $15.00 
HB DEBRIDE PREMALG LESION W/ PHOTODYNAMIC TX W/ACTIVE DRUG, $750.00 
HB DEBRIDE SUBQ TIS 1ST 20SQCM, $175.00 
HB DEBRIDE SUBQ TIS ADL 20SQCM, $15.00 
HB DEBRIDEMENT MASTOIDECTOMY CAVITY CMPLX, $175.00 
HB DEBRIDEMENT MASTOIDECTOMY CAVITY SIMPLE, $125.00 
HB DEBRIDEMENT NAIL(S) > OR =  6, $85.00 
HB DEBRIDEMENT NAIL(S) UP TO 5, $85.00 
HB DEBRIDEMENT OPEN WOUND 1ST 20 SQ CM, $208.00 
HB DEBRIDEMENT OPEN WOUND EA  ADD'L 20 SQ CM, $164.00 
HB DECLOT VAD W/THROMBOLYTIC, $158.00 
HB DEFIBRILLATOR SQ ICD- BOSTON SCIENTIFIC," $54,000.00 "
"HB DELAY/SECTN FLAP FACE,GENIT,HAND,FT", $850.00 
"HB DELAY/SECTN FLAP LID,NOS,EAR,LIP", $850.00 
"HB DELAY/SECTN FLAP SCALP,ARM,LEG", $850.00 
HB DELAY/SECTN FLAP TRUNK, $850.00 
HB DELIV RM C-SECT 1ST 1/2 HR," $1,707.00 "
HB DELIV RM C-SECT ADD 1/2 HR, $865.00 
HB DELIV RM LVL 1 NON-INTRV 1ST HR," $2,100.00 "
HB DELIV RM LVL 1 NON-INTRV ADD 1/2 HR, $750.00 
HB DELIV RM LVL 2 INTRV 1ST HR," $2,400.00 "
HB DELIVERY OF PLACENTA," $2,290.00 "
HB DELIVERY-BIRTHING RM INC RECOVERY," $2,500.00 "
HB DEMO/EVAL PT AER GEN/NEB/MD/IPPB DEV, $85.00 
HB DERM AUTOGRAFT FACE/NCK/HND/FT/GEN <100 SQCM, $850.00 
"HB DERM AUTOGRAFT FACE/NCK/HND/FT/GEN, EA 100 SQCM", $125.00 
"HB DERM AUTOGRFT TRNK/ARM/LEG, EA 100 SQCM", $125.00 
"HB DERM AUTOGRFT, TRNK/ARM/LEG <100 SQCM", $850.00 
HB DERMABRAS RX SKIN REGIONAL, $450.00 
HB DERMABRAS RX SKIN SUPERFICIAL, $85.00 
HB DERMABRAS RX SKIN TOTAL FACE, $450.00 
HB DERMABRAS SKIN SGMENT FACE, $250.00 
HB DERMA-FAT-FASCIA GRAFT, $850.00 
HB DERMAGRAFT WOUND MATRIX, $118.00 
"HB DERMAL FILLER  BELOTERO, SELF PAY", $198.00 
HB DERMAL FILLER INJECT FACIAL LIPDYSTROPHY SYNDROME, $300.00 
HB DERMAL FILLER INJECTION(S), $41.00 
"HB DEST, CHOROID LESION, PHOTOCOAG", $850.00 
"HB DEST, CHOROID LESN, PHOTODYNAMIC THERAPY", $850.00 
"HB DEST, INTERCOSTAL, NEUROLYTIC", $650.00 
"HB DESTR MALIG FACE,NOSE,LIP <0.6 CM", $250.00 
"HB DESTR MALIG FACE,NOSE,LIP >4 CM", $250.00 
"HB DESTR MALIG FACE,NOSE,LIP 0.6-1 CM", $250.00 
"HB DESTR MALIG FACE,NOSE,LIP 1.1-2 CM", $250.00 
"HB DESTR MALIG FACE,NOSE,LIP 3.1-4 CM", $250.00 
"HB DESTR MALIG LESION FACE,NOSE,LIP 2.1-3 CM", $250.00 
"HB DESTR MALIG LESION SCAL,NCK,HAND <0.6 CM", $250.00 
"HB DESTR MALIG LESION,SCAL,NCK,HAND >4 CM", $250.00 
"HB DESTR MALIG SCAL,NCK,HAAND 0.6-1 CM", $250.00 
"HB DESTR MALIG SCAL,NCK,HAND 1.1-2 CM", $250.00 
"HB DESTR MALIG SCAL,NCK,HAND 2.1-3 CM", $250.00 
"HB DESTR MALIG SCAL,NCK,HAND 3.1-4 CM", $250.00 
"HB DESTR MALIG TRUNK,EXTREM <0.6 CM", $125.00 
"HB DESTR MALIG TRUNK,EXTREM 0.6-1 CM", $250.00 
"HB DESTR MALIG TRUNK,EXTREM 1.1-2 CM", $250.00 
"HB DESTR MALIG TRUNK,EXTREM 2.1-3 CM", $250.00 
"HB DESTR MALIG TRUNK,EXTREM 3.1-4 CM", $250.00 
HB DESTROY NERVE FACE MUSCLE   , $175.00 
HB DESTROY NERVE OF EYE MUSCLE, $169.00 
"HB DESTRUC CHOROID LESION, PHOTODYN THER, 2ND EYE", $125.00 
HB DESTRUC CUT/VASC >50 SQCM, $750.00 
HB DESTRUC CUT/VASC 10-50 SQCM, $350.00 
HB DESTRUC CUT/VASC LESION <10 SQCM, $175.00 
HB DESTRUC LESION PALATE/UVULA, $350.00 
"HB DESTRUC PREMALIGNANT,15+ LESIONS", $175.00 
"HB DESTRUC, CILIARY BODY, CYCLOPHOTO, ENDOSCO"," $1,298.00 "
"HB DESTRUC, CILIARY BODY, CYCLOPHOTOCOAG"," $1,033.00 "
HB DESTRUCT B9 LESION 1-14, $85.00 
HB DESTRUCT BGN LESN 15 OR MORE LESIONS, $85.00 
HB DESTRUCT BY NEURO AGENT; OTHER NERVE, $650.00 
"HB DESTRUCT INTERNAL HEMORRHOID, THERMAL", $550.00 
HB DESTRUCT LESN/SCAR OF VESTIBULE MOUTH PHYSICAL METHODS, $350.00 
HB DESTRUCT PREMALIG LESN 1ST, $85.00 
HB DESTRUCT PREMALIG LESN 2-14 EA, $2.00 
"HB DESTRUCT, VAGINAL LESION(S), EXTENSIVE", $175.00 
"HB DESTRUCTION ANAL LESION SIMPLE, CHEMICAL", $250.00 
HB DESTRUCTION LESION LID MARGIN </ 1 CM, $250.00 
"HB DESTRUCTION LESIONS VULVA, EXTENSIVE", $750.00 
"HB DESTRUCTION MALIGNANT LESION, TRUNK/ARM/LEG >4.0 CM", $250.00 
HB DESTRUCTION OF LES(S) VULVA SIMPLE, $125.00 
"HB DESTRUCTION OF LESION, ANUS SIMPLE, CRYOSURGERY", $125.00 
"HB DESTRUCTION OF LESION, ANUS,EXTENSIVE"," $1,550.00 "
"HB DESTRUCTION OF LESION,ANUS,SIMPLE,ELECTRODESICCATION", $250.00 
"HB DESTRUCTION OF LESION,ANUS,SIMPLE,SURG EXCISION"," $1,550.00 "
"HB DESTRUCTION OF PENIS LESION,SIMPLE,ELECTRODESICCATON", $125.00 
"HB DESTRUCTION OF PENIS LESION,SIMPLE,SURGICAL EXCISION", $750.00 
"HB DESTRUCTION OF PENIS LESIONS,EXTENSIVE", $750.00 
HB DESTRUCTION OF VAG LES(S) SIMPLE, $125.00 
HB DESTRUCTION PENIS LESION(S), $175.00 
HB DETACHMENT CONTROLLER, $525.00 
HB DEVELOPMENTAL TST ADMIN PHYS/QHP 1ST HOUR, $95.00 
HB DEVELOPMENTAL TST ADMIN PHYS/QHP EA ADDL 30 MIN, $45.00 
HB DEVELOPMENTL TESTING LIMITED W/SCORING, $190.00 
HB DEVICE ARTERY COMPRESSION, $275.00 
HB DEVICE BIOPSY L11 CM OD18 GA LATEX FREE, $104.76 
HB DEVICE FLW CNTRL FLSWTCH HPRS STPCK, $15.00 
HB DEVICE HEMOSTASIS CLIP FIXING 2.8MM 10/BX, $489.00 
HB DEVICE INFLATION LVL 2, $120.00 
HB DEVICE INFLATION LVL 3, $216.00 
HB DEVICE TREATMENT ZONE," $7,785.00 "
HB DIABETES INSTRT GROUP 30MN, $28.00 
HB DIABETES INSTRT INDIV 30 MIN, $77.00 
HB DIAGNOSTIC ANALYSIS COCHLEAR IMPLT <7Y-INITIAL, $504.00 
HB DIAGNOSTIC ANALYSIS COCHLEAR IMPLT <7Y-SUBS, $336.00 
HB DIAGNOSTIC ANOSCOPY, $125.00 
HB DIAGNOSTIC ANOSCOPY WITH HRA, $125.00 
HB DIAGNOSTIC CABLE 10FT CARTO," $1,104.00 "
HB DIAGNOSTIC CABLE LVL 3, $225.00 
HB DIAGNOSTIC CATH LVL 4, $375.00 
HB DIALATOR VESSEL, $195.00 
HB DIALYIS CIRCUIT VASC EMBOLI OCCLS ENDOVASC W/IMG S&I," $1,250.00 "
HB DIALYSIS SLEDD- 13-24 HOURS, $680.00 
HB DIALYSIS SLEDD UP TO 12 HOURS, $450.00 
HB DIALYSIS UNSCHEDULED OR  EMERGENCY ESRD PT., $850.00 
HB DIAMOND INTRO NEEDLE LVL 2, $108.00 
HB DIAMOND INTRO NEEDLE LVL 3, $225.00 
HB DIAPER INCONT 0-10LB INF UNISX, $34.77 
HB DIAPHRAGM CONTRACEPTIVE, $35.00 
HB DIAPHRAGM/CERVICAL CAP FITTING W INSTRUCTIONS, $85.00 
"HB DIFFUSING CAPACITY (CO, MEMBRANE)", $230.00 
"HB DIGITAL BREAST TOMOSYNTHESIS, BILATERAL", $304.00 
"HB DIGITAL BREAST TOMOSYNTHESIS, UNILATERAL", $177.00 
"HB DIL URETHRA STRIC, MALE, INITIAL", $125.00 
"HB DIL URETHRA STRIC, MALE, SUBSEQ", $125.00 
"HB DIL URETHRA, FEMALE, INITIAL", $125.00 
"HB DIL URETHRA, FEMALE, SUBSEQUENT", $125.00 
HB DILATE ESOPHAGUS," $1,550.00 "
"HB DILATE ESOPHAGUS, OVER GUIDE"," $1,550.00 "
HB DILATION AND CURETTAGE DX AND/OR THER NONOBSTETRIC, $350.00 
HB DILATION CERVICAL CANAL INSTRUMENTAL SPX, $85.00 
HB DILATION OF LACRIMAL PUNCTUM, $175.00 
HB DILATION OF SALIVARY DUCT, $175.00 
"HB DILATION OF URETHRAL STRICTURE, MALE, INITIAL", $125.00 
HB DILATION SYRINGE SINGLE USE, $31.00 
"HB DILATION URET STRICTURE, MALE, SUBSEQ, FILIFORM", $125.00 
HB DILATION URETER/URETHRA RS&I, $430.00 
HB DILATION/CATH OF SALIVARY DUCT, $175.00 
HB DILATOR COAXIAL, $76.90 
HB DILATOR LVL 14," $2,550.00 "
HB DILATOR LVL 15," $2,850.00 "
HB DILATOR LVL 2, $108.00 
HB DILATOR LVL 3, $225.00 
HB DILATOR LVL 5, $525.00 
HB DILATOR LVL 6, $675.00 
HB DILATOR SET HYDROPHILIC, $525.00 
HB DIRECT SUCTION DEVICE," $1,500.00 "
HB DISCHARGE MANAGEMENT, $280.00 
HB DISCOGRAM NEEDLE, $120.00 
HB DISP BIOPSY FORCEPS, $132.00 
HB DISP CUVETTE LVL 0, $5.00 
HB DISP PERCUTANEOUS ENTRY NEEDLE (SDN-18-7.0), $9.00 
HB DISP PULLBACK DEVICE, $225.00 
HB DISPOSABLE BENDING CANNULA SWING TIP CANNULA, $455.00 
HB DISPOSABLE DISTAL ATTACHMENT SCOPES LVL 2, $108.00 
HB DISPOSABLE DRIVER, $30.00 
HB DISPOSABLE ELECTROSURGICAL SNARE 20MM X2300MM, $646.00 
HB DISPOSABLE ESOPHAGEAL OVERTUBE," $1,600.00 "
HB DISPOSABLE MECHANICAL LITHOTRIPTOR 4.2MM, $947.00 
HB DIST FINGER/THUMB FX CLSD TRT-W MAN, $175.00 
HB DIST FINGER/THUMB FX CLSD TRT-WO MAN, $175.00 
HB DIST FINGER/THUMB FX OPEN TRT-W MAN, $850.00 
HB DISTRT PROD CMPR->12FREQ, $175.00 
HB DISTRT PROD LMTD-3-6 FREQ, $125.00 
HB DIVINCI ROBOT PER USE," $10,300.00 "
HB DIVISION OF SYMBLEPHARON," $1,150.00 "
HB DOOR PULLEYS, $15.00 
HB DOP ECHOCARDIGRM FETAL COMPLT, $381.00 
HB DOP ECHOCARDIGRM FETAL F/UP, $225.00 
HB DPLX SCAN HEMODIAL ACCESS, $575.00 
HB DPLX SCN ABD/PELV/SCROT/RETRPER CMPLT, $850.00 
HB DRAGONFLY DUO KIT BOX CATH," $2,250.00 "
HB DRAIN ABCESS/CYST/HTOMA MOUTH SIMP, $250.00 
HB DRAIN ABSCESS/HEMATOMA NASAL SEPTUM, $175.00 
"HB DRAIN ABSCESS/HEMATOMA,NASAL", $125.00 
HB DRAIN ABSC-SUBMAX-EXTERNAL, $350.00 
"HB DRAIN ANT CHMBR, REMV BLOOD"," $1,348.00 "
"HB DRAIN CATHETER NEEDLE SET, 5FR X 15CM, COOK", $135.00 
HB DRAIN CHEST DRY, $90.00 
HB DRAIN CHEST LV 1, $81.00 
HB DRAIN CHEST LV 3, $300.00 
HB DRAIN EXTERNAL EAR LESION, $175.00 
HB DRAIN INCISION LVL 3, $225.00 
"HB DRAIN MOUTH ABSC/CYST/HEMAT,COMPLX", $450.00 
HB DRAIN OF ABSCESS PALATE UVULA, $339.00 
HB DRAIN/INJ INTERMEDIATE JOINT/BURSA W/ULTRASOUND, $175.00 
HB DRAIN/INJ SMALL JOINT/BURSA W/ULTRASOUND, $175.00 
HB DRAINAGE ABSCESS DENTOALVEOLAR STRUCTURE, $208.00 
HB DRAINAGE AND MONITOR CSF, $912.00 
HB DRAINAGE BAG-URINARY STERILE, $30.00 
"HB DRAINAGE BOTTLE 1,000ML", $149.00 
HB DRAINAGE BOTTLE KIT, $156.00 
"HB DRAINAGE LYMPH NODE, SIMPLE", $850.00 
"HB DRAINAGE OF ABSCESS OF PALATE, UVULA", $324.00 
"HB DRAINAGE OF HYDROCELE, TUNICA", $125.00 
HB DRAINAGE OF PELVIC FLUID, $350.00 
HB DRAINAGE SUBLING SALIVARY CYST, $350.00 
HB DRAINAGE TENDON SHEATH DIGIT&/PALM EACH, $450.00 
HB DRAINAGE UNIT PLEUR VAC PNUEMO, $354.94 
HB DRAPE TRANSPARENT IOBAN, $10.00 
HB DRESSING BURN SILVER ACTICOAT, $49.33 
HB DRESSING CHANGE UNDER ANESTHESIA, $175.00 
HB DRESSING GEL, $154.92 
HB DRESSING HYPAFIX 2INX10YDS, $51.72 
HB DRESSING IV VENI-GARD STAB, $112.20 
HB DRESSING THK1CM LG 15X10CM, $418.00 
HB DRESSING/ HEMOSTAT  AGENT, $300.00 
HB DRIVER EVALUATION, $250.00 
"HB DRIVING EVALUATION ORTHO, PATIENT PAY", $260.00 
"HB DRIVING EVALUATION, NEURO, PATIENT PAY", $350.00 
HB DRN ABSCESS EYELID/BLEPHA, $125.00 
HB DRN ABSCESS SCROTAL WALL, $650.00 
HB DRN EXT EAR CANAL, $175.00 
HB DRN EXT EAR COMPLEX, $450.00 
HB DRUG HEMOSTATIC 500 IU/ML 10ML," $1,032.34 "
HB DRUG SCREEN SPECIMEN COLLECTION, $75.00 
HB DRUG TEST DEFINITIVE 1-7 CLASSES, $435.00 
HB DRUG TEST DEFINITIVE 8-14 CLASSES, $595.00 
HB DRY MAX WOUND COVER SIZE 16 SQ INCH OR LESS, $45.00 
HB DUAL CHAMBER DDD EXTERNAL TEMPORARY PULSE GENERATOR WITH PACING, $54.00 
HB DUAL LUMEN 6FR, $417.00 
HB DUAL PORT FEEDING ADAPTOR, $29.00 
HB DUCT OCCLUDER AMPLATZER," $12,300.00 "
HB DUODENAL MOTILITY STUDY, $408.00 
HB DUODENOSCOPE SHEATHED CYTOLOGY BRUSH 3MM, $540.00 
HB DUPLEX SCAN AORTA/IVC/ILIAC VASC BYPASS GRAFT UNILAT/LTD, $450.00 
HB DUPLEX SCAN AORTA/IVC/ILIAC VASC/BYP GRAFT COMPLETE, $650.00 
HB DUPLEX SCAN ART/VEN FLW ABD/PELV/SCROT/RETRPER LTD, $525.00 
HB DUPLEX SCAN EXTREMITY VEIN-UNILAT, $518.00 
HB DUPLEX SCAN UP EXTREMITY ART UNILAT OR LTD, $450.00 
"HB DUPLEX SCAN-PENILE VESSELS, COMPLETE STUDY", $725.00 
"HB DUPLEX SCAN-PENILE VESSELS, FOLLOW-UP OR LIMITED STUDY", $381.00 
HB DUPLX SCAN  EXTREM VEIN UNILAT, $518.00 
HB DUPLX SCAN EXTRACRAN ART BILAT CMPLT, $675.00 
HB DUPLX SCAN EXTRACRAN ART UNILAT OR LIMTD, $450.00 
HB DUPLX SCAN EXTREM BILAT, $750.00 
HB DUPLX SCAN LOW EXTM ART CMPLT BILAT, $875.00 
HB DUPLX SCAN LOW EXTM ART UNILAT OR LIMTD, $575.00 
HB DUPLX SCAN UP EXTM ART CMPLT BILAT, $670.00 
HB DX BONE MARROW BIOPSIES & ASPIRATIONS," $1,150.00 "
"HB DX- MAMMOGRAM, BILATERAL, INCLUDING CAD WHEN PERFORMED", $360.00 
"HB DX MAMMOGRAM, UNILATERAL, INCLUDING CAD WHEN PERFORMED", $315.00 
"HB DXA, BONE DENSITY STUDY, 1 OR MORE SITES; AXIAL SKELETON", $338.00 
HB DYNAMIC ELBOW, $255.75 
HB DYNAMIC ELBOW W/WRIST/HAND, $293.25 
HB EAKIN FISTUAL POUCH HORIZONTAL 9.7X6.3, $51.00 
HB EAKIN FISTUAL POUCH OVAL 6.9X4.3, $32.00 
HB EAKIN FISTUAL POUCH VERTICAL 9.7X6.3, $52.00 
HB EBUS BALLOON, $51.00 
HB EBUS PROBE, $732.00 
HB EBUS SHEATH, $444.00 
HB ECG HOLTER RECORDING < 48 HRS, $435.00 
HB ECG HOLTER SCN/ANLYS/RPT < 48 HRS, $255.00 
HB ECG MOUNTING CARD BLANK STOCK 100/PK, $150.00 
HB ECHO COLOR FLOW MAPPING, $228.00 
HB ECHO DOPPLER COMPLETE, $267.00 
HB ECHO DOPPLER LIMTD/FOLLOW UP, $195.00 
HB ECHO FETAL HEART FOLLOW-UP, $699.00 
HB ECHO OF INFANT HIPS, $524.00 
HB ECHO OF INFANT HIPS; LIMITED, $364.00 
HB ECHO STRESS & REST, $963.00 
HB ECHO STRESS & REST W/CONTRST," $1,223.00 "
HB ECHO TEE 2D W/CNTRST CMPLT," $1,517.00 "
"HB ECHO TEE 2D, COMPLETE"," $1,267.00 "
"HB ECHO TEE 2D, IMAGE ACQ, INTERP & REPRT ONLY", $650.00 
"HB ECHO TEE 2D, PLCMT OF TEE PROBE ONLY", $500.00 
HB ECHO TEE CONGENITAL ANOM COMPLETE," $1,239.00 "
HB ECHO TEE CONGENITAL W/CONTRAST COMPLETE," $1,489.00 "
HB ECHO TEE INTRAOP FOR MONITORING," $1,267.00 "
HB ECHO TRANSESOPHAGEAL (TEE)," $1,250.00 "
HB ECHO TRANSTHR 2D CMPLT W/DOPPLR & COLR FLW," $1,297.00 "
HB ECHO TRANSTHR 2D CMPLT W/O DOPLR & COLR FLW, $743.00 
"HB ECHO TRANSTHR CONGEN ANOM, CMPLT", $800.00 
"HB ECHO TRANSTHR CONGEN ANOM, LIMTD", $520.00 
HB ECHO TRANTHR 2D W/CTRST CMP W/DOP/CLR FLW," $1,527.00 "
HB ECHO TRANTHR 2D W/CTRST CMPLT W/O DOP/CLR FLW," $1,085.00 "
"HB ECHO TRANTHR 2D, LIMITED", $397.00 
HB ECHO TRANTHR CONG W CTRST LTD, $664.00 
HB ECHO TRANTHR CONG W/CTRST CMPL," $1,026.00 "
HB ECHOCARDIOGRM FETAL CV SYS," $1,110.00 "
HB ECMO/ECLS DAILY MGMT ARTERY," $3,325.00 "
HB ECMO/ECLS INITIATION ARTERY," $4,800.00 "
HB ECMO/ECLS INITIATION VENOUS," $4,350.00 "
HB ECMO/ECLS INSJ PRPH CANNULA PERC 6 YRS & OLDER," $4,860.00 "
HB ECMO/ECLS INSJ PRPH CANNULA PERC BIRTH-5 YEARS," $5,260.00 "
HB ECMO/ECLS REPOS PERPH CNULA PERC BIRTH-5 YRS," $2,550.00 "
"HB ECMO/ECLS REPOS PERPH CNULA, PERC 6 YRS AND OLDER"," $2,050.00 "
HB ECMO/ECLS RMVL PERPH CANNULA PERC BIRTH -5 YRS," $2,620.00 "
"HB ECMO/ECLS RMVL PRPH CANNULA PERC, 6 YRS & OLDER"," $2,020.00 "
HB ED SAPIEN TRANSCATH VALVE," $90,000.00 "
HB ED SLF MGT NONPHY 30M 2-4PT, $10.00 
HB ED SLF MGT NONPHY 30M 5-8PT, $10.00 
HB ED SLF MGT NONPHY 30MIN 1PT, $35.00 
HB EDEMA GLOVE (EACH), $10.00 
HB EDG FLEX. FOREIGN BDY REMOVAL, $832.00 
HB EDG INJECTION SCLEROSIS ESOPHGL/GASTRIC VARICES," $1,550.00 "
HB EDG INTRALUMINAL TUBE/CATHETER INSERTION," $1,550.00 "
HB EDG TRANSORAL TRANSMURAL DRAINAGE PSEDUOCYST," $2,450.00 "
HB EDU/TRAIN-INJURY PREVENT 1ST 1/2 HR WC, $200.00 
HB EDU/TRAIN-INJURY PREVENT EA ADD 1/2HR WC, $80.00 
HB EDUC SVC PHY GRP SETTING, $10.00 
HB EDWARDS CENTERA VALVE IDE G180045," $97,500.00 "
HB EDWARDS SAPIEN M3 SYSTEM FDA IDE G170152, $1.00 
HB EEG AWAKE & ASLEEP, $850.00 
HB EEG AWAKE & DROWSY, $850.00 
HB EEG CEREBRL DEATH EVAL ONLY, $750.00 
HB EEG CMPT MNTR UNATTEND/24 HRS, $850.00 
HB EEG COMA OR SLEEP, $825.00 
HB EEG DIGITAL ANALYSIS, $650.00 
HB EEG DURING NONINTRACRANIAL SURG, $750.00 
HB EEG EXTD MONTR >1 HR, $950.00 
HB EEG EXTD MONTR 41-60 MIN, $850.00 
HB EEG MNTR 16 CH TEL ATTND/24 HR," $3,650.00 "
HB EEG MNTR/VIDEO 16 CH TEL/24 HR," $2,650.00 "
"HB EGD CAUTERY TUMOR POLYP, TUMOR OR OTHER LESIONS"," $1,320.00 "
HB EGD ESOPH DILATION OVER WIRE," $1,550.00 "
HB EGD REMOVAL TUMOR POLYP/OTHER LESION SNARE TECH," $1,414.00 "
HB EGD TRANSORAL BIOPSY SINGLE/MUTIPLE," $1,420.00 "
HB EGD US EXAM SURGICAL ALTER STOM/DUODENUM/JEJUNUM," $1,414.00 "
"HB EGD W CONTROL OF BLEEDING, ANY METHOD"," $1,550.00 "
HB EGD W DILATION ESOPHAGUS (<30MM)," $1,550.00 "
HB EGD W DILATION ESOPHAGUS (>=30MM)," $1,550.00 "
HB EGD W DILATION GASTRIC/DUO STRCT," $1,550.00 "
"HB EGD W US ASPIRATION/ BX  ESOPH, STOMACH, & DUOD"," $2,150.00 "
HB EGD W US ASPIRATION/ BX ESOPHAGUS," $1,550.00 "
"HB EGD W/ PLCMT STENT, INCL DILATION OVER WIRE"," $3,221.00 "
HB EGD W/BAND LIGATION OF ESOPH/GASTRIC VARICES," $1,550.00 "
"HB EGD W/OTSC, ESOPHAGUS"," $1,550.00 "
"HB EGD W/OTSC, STOMACH", $750.00 
"HB EGD WITH ABLATION, INCL DIL & GW PASSAGE"," $1,550.00 "
"HB EGD, FLEX. TRANSORAL ; DIAGNOSTIC"," $1,550.00 "
"HB EGD, FLEXIBLE, TRANSORAL; WITH ESOPHAGOGASTRIC FUNDOPLASTY"," $4,698.00 "
HB EKG 12 LEAD TRACING ONLY, $85.00 
HB EKG 1-3 LEAD TRACING ONLY, $58.00 
HB ELASTIC KNEE SUPPORT ALL SIZES, $6.00 
HB ELASTIDERM EYE COMPLETE CPLX SERUM (10% DISC), $94.00 
HB ELASTIDERM EYE COMPLETE CPLX SERUM (15% DISC), $88.00 
HB ELASTIDERM EYE COMPLETE CPLX SERUM (50% DISC), $52.00 
HB ELASTIDERM EYE COMPLETE CPLX SERUM (FULL PRICE), $112.00 
HB ELASTIDERM EYE CREAM (10% DISC), $101.00 
HB ELASTIDERM EYE CREAM (15% DISC), $96.00 
HB ELASTIDERM EYE CREAM (50% DISC), $56.00 
HB ELASTIDERM EYE CREAM (FULL PRICE), $112.00 
HB ELASTIDERM EYE GEL (10% DISC), $94.00 
HB ELASTIDERM EYE GEL (15% DISC), $89.00 
HB ELASTIDERM EYE GEL (50% DISC), $52.00 
HB ELASTIDERM EYE GEL (FULL PRICE), $104.00 
HB ELB/WRST/HND/FNGR ORTHOSIS, $215.25 
HB ELBOW FLOATATION PAD (EACH), $20.00 
HB ELBOW MONTEGGIA FX CLSD TRT W/ MANIPUL, $850.00 
HB ELBOW ORTHOSIS, $174.75 
HB ELBOW WRIST HAND FINGER  ORTHOSIS, $293.25 
