Charge Description Master, Charge 
ELECTRICAL STIMULATION NON-WOUND CARE BY OCCUPATIONAL THERAPIST, 101.00 
ELECTRICAL STIMULATION NON-WOUND CARE BY PHYSICAL THERAPIST, 101.00 
ELECTROCONVULSIVE THERAPY," 2,757.00 "
ELECTROCORTICOGRAM AT SURGERY," 3,686.00 "
ELECTRODESICCATION LESION PENIS SIMPLE," 2,308.00 "
ELECTRODESICCATION SKIN, 307.00 
ELECTROENCEPHALOGRAM (EEG) >1 HOUR," 1,527.00 "
ELECTROENCEPHALOGRAM (EEG) 24 HOURS," 2,427.00 "
ELECTROENCEPHALOGRAM (EEG) 41-60 MINUTES, 947.00 
ELECTROENCEPHALOGRAM (EEG) ALL NIGHT RECORDING," 1,483.00 "
ELECTROENCEPHALOGRAM (EEG) AWAKE & ASLEEP," 1,551.00 "
ELECTROENCEPHALOGRAM (EEG) AWAKE & DROWSY," 1,318.00 "
ELECTROENCEPHALOGRAM (EEG) CEREBRAL DEATH EVALUATION," 1,733.00 "
ELECTROENCEPHALOGRAM (EEG) COMA OR SLEEP," 1,376.00 "
ELECTROENCEPHALOGRAM (EEG) MONITORING FOR CEREBRAL SEIZURES EACH 24 HOURS," 2,057.00 "
ELECTROENCEPHALOGRAM (EEG) NON-INTRACRANIAL SURGERY, 809.00 
ELECTROENCEPHALOGRAM (EEG) WADA ACTIVATION," 2,855.00 "
ELECTROLYTE PANEL, 155.00 
ELECTROMYOGRAPHY (EMG) 1 EXTREMITY, 444.00 
ELECTROMYOGRAPHY (EMG) 2 EXTREMITIES, 571.00 
ELECTROMYOGRAPHY (EMG) 3 EXTREMITIES, 775.00 
ELECTROMYOGRAPHY (EMG) 4 EXTREMITIES, 887.00 
ELECTROMYOGRAPHY (EMG) ANAL/URETHR SPHINCTER OTHER THAN NEEDLE, 266.00 
ELECTROMYOGRAPHY (EMG) CRANIAL NERVE MUSCLE BILATERAL, 450.00 
ELECTROMYOGRAPHY (EMG) CRANIAL NERVE MUSCLE UNILATERAL, 369.00 
ELECTROMYOGRAPHY (EMG) HEMIDIAPHRAGM, 419.00 
ELECTROMYOGRAPHY (EMG) LARYNX, 352.00 
ELECTROMYOGRAPHY (EMG) LIMITED STUDY 1 EXTREMITY, 468.00 
ELECTROMYOGRAPHY (EMG) NEEDLE ANAL/URETHRAL SPHINCTER, 434.00 
ELECTROMYOGRAPHY (EMG) SINGLE FIBER ELECTRODE, 479.00 
ELECTROMYOGRAPHY (EMG) THORACIC NOT T1 OR T12, 446.00 
ELECTRON MICROSCOPY DIAGNOSTIC," 1,866.00 "
ELECTRO-OCULOGRAPHY, 156.00 
ELECTROPHYSIOLOGY EVALUATION COMPREHENSIVE LEFT ATRIAL PACING & RECORDING W/ INDUCTION," 8,928.00 "
ELECTROPHYSIOLOGY EVALUATION COMPREHENSIVE LEFT VENTRICULAR PACING & RECORDING W/ INDUCTION," 13,058.00 "
ELECTROPHYSIOLOGY EVALUATION COMPREHENSIVE RIGHT ATRIAL & VENTRICULAR PACING & RECORDING W/ INDUCTION," 15,265.00 "
ELECTROPHYSIOLOGY EVALUATION COMPREHENSIVE RIGHT ATRIAL & VENTRICULAR PACING & RECORDING W/O INDUCTION," 6,807.00 "
ELECTROPHYSIOLOGY THERAPY EFFECTIVENESS STUDY W/ INDUCTION," 5,251.00 "
ELECTRORETINOGRAPHY FULL FIELD, 368.00 
ELECTRORETINOGRAPHY MULTIFOCAL, 405.00 
ELECTRORETINOGRAPHY PATTERN, 446.00 
EMBOLECTOMY/THROMBECTOMY AXILLARY BRACHIAL INNOMINATE SUBCLAVIAN ARTERY BY ARM INCISION W/ OR W/O CATHETER," 7,621.00 "
EMBOLECTOMY/THROMBECTOMY FEMOROPOPLITEAL AORTOILIAC BY LEG INCISION W/ OR W/O CATHETER," 7,621.00 "
EMBOLECTOMY/THROMBECTOMY POPLITEAL-TIBIO-PERONEAL ARTERY BY LEG INCISION W/ OR W/O CATHETER," 7,621.00 "
EMBOLIZATION/OCCLUSION URETERAL W/ IMAGING GUIDANCE," 2,577.00 "
EMERGENCY DEPARTMENT TRAUMA ACTIVATION LEVEL I FACILITY," 6,656.00 "
EMERGENCY DEPARTMENT TRAUMA ACTIVATION LEVEL III FACILITY," 5,391.00 "
EMERGENCY ROOM CRITICAL CARE," 2,877.00 "
EMERGENCY ROOM LEVEL 1, 273.00 
EMERGENCY ROOM LEVEL 2, 533.00 
EMERGENCY ROOM LEVEL 3, 797.00 
EMERGENCY ROOM LEVEL 4," 1,512.00 "
EMERGENCY ROOM LEVEL 5," 2,231.00 "
EMERGENCY ROOM PROCEDURE," 1,172.00 "
ENDOCERVICAL CURETTAGE, 849.00 
ENDOLUMINAL BIOPSY BILIARY TREE PERCUTANEOUS W/ IMAGING GUIDANCE SINGLE OR MULTIPLE," 3,174.00 "
ENDOLUMINAL OPTICAL COHERENCE TOMOGRAPHY/IVUS EACH ADDITIONAL VESSEL, 400.00 
ENDOLUMINAL OPTICAL COHERENCE TOMOGRAPHY/IVUS INITIAL VESSEL, 925.00 
ENDOMETRIAL BIOPSY PERFORMED W/ COLPOSCOPY SAME SESSION, 305.00 
ENDOSCOPIC CANNULATION PANCREATIC/COMMON BILE DUCT," 2,469.00 "
ENDOSCOPIC INJECTION URETHRA/BLADDER NECK IMPLANT MATERIAL," 4,619.00 "
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)  W/ ABLATION TUMOR/POLYP OR OTHER LESION," 5,085.00 "
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)  W/ BIOPSY," 3,308.00 "
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)  W/ DESTRUCTION STONE ANY METHOD," 4,224.00 "
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)  W/ OPTICAL ENDOMICROSCOPY, 250.00 
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)  W/ PLACEMENT ENDO STENT INTO BILIARY/PANCREATIC DUCT W/ DILATION & SPHINCTEROTOMY EACH STENT," 8,884.00 "
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)  W/ PRESSURE MEASUREMENT SPHINCTER OF ODDI," 3,488.00 "
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)  W/ REMOVAL FOREIGN BODY/STENT," 3,828.00 "
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)  W/ REMOVAL STONE BILIARY PANCREATIC DUCT," 3,554.00 "
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)  W/ REMOVAL/EXCHANGE STENT W/ DILATION & SPHINCTEROTOMY EACH STENT EXCHANGED," 8,951.00 "
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)  W/ SPHINCTEROTOMY," 3,484.00 "
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)  W/ TRANSENDOSCOPIC BALLOON DILATION OF BILIARY/PANCREATIC DUCT/SPHINCTEROPLASTY EACH DUCT," 4,623.00 "
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP) DIAGNOSTIC," 3,149.00 "
ENDOSCOPIC SWALLOWING EVALUATION, 478.00 
ENDOSCOPY CAPSULE ESOPHAGUS," 1,769.00 "
ENDOSCOPY CAPSULE ESOPHAGUS TO ILEUM," 1,820.00 "
ENDOSCOPY RENAL THROUGH NEPHROSTOMY/PYELOSTOMY," 5,208.00 "
ENDOSCOPY RENAL THROUGH STOMA W/ REMOVAL FB OR CALCULUS," 5,208.00 "
ENDOSCOPY SMALL INTESTINE NO ILEUM DIAGNOSTIC," 2,204.00 "
ENDOSCOPY SMALL INTESTINE NO ILEUM W/ ABLATION TUMOR POLYP LESION," 3,771.00 "
ENDOSCOPY SMALL INTESTINE NO ILEUM W/ BIOPSY," 2,434.00 "
ENDOSCOPY SMALL INTESTINE NO ILEUM W/ CONTROL BLEEDING," 3,688.00 "
ENDOSCOPY SMALL INTESTINE NO ILEUM W/ CONVERSION PERCUTANEOUS GASTROSTOMY TUBE TO JEJUNOSTOMY TUBE," 2,951.00 "
ENDOSCOPY SMALL INTESTINE NO ILEUM W/ PLACEMENT PERCUTANEOUS JEJUNOSTOMY TUBE," 3,252.00 "
ENDOSCOPY SMALL INTESTINE NO ILEUM W/ REMOVAL FOREIGN BODY," 2,951.00 "
ENDOSCOPY SMALL INTESTINE NO ILEUM W/ REMOVAL TUMOR POLYP LESION BY SNARE," 3,144.00 "
ENDOSCOPY SMALL INTESTINE POUCH DIAGNOSTIC," 1,417.00 "
ENDOSCOPY SMALL INTESTINE POUCH W/ BIOPSY," 2,149.00 "
ENDOSCOPY SMALL INTESTINE W/ ILEUM DIAGNOSTIC," 2,052.00 "
ENDOSCOPY SMALL INTESTINE W/ ILEUM W/ BIOPSY," 2,474.00 "
ENDOSCOPY SMALL INTESTINE W/ ILEUM W/ CONTROL BLEEDING," 3,656.00 "
ENDOVASCULAR BALLOON ARTERIAL OCCLUSION TEMPORARY HEAD/NECK," 10,631.00 "
ENDOVASCULAR PLACEMENT ILIAC ARTERY OCCLUSION DEVICE, 682.00 
ENDOVASCULAR REPAIR DESCENDING THORACIC AORTA W/ LEFT SUBCLAVIAN ARTERY ORIGIN," 8,952.00 "
ENDOVASCULAR REPAIR DESCENDING THORACIC AORTA W/O LEFT SUBCLAVIAN ARTERY ORIGIN," 6,714.00 "
ENDOVASCULAR REPAIR ILIAC ARTERY BIFURCATION INC SELECTIVE AND/OR NONSELECTIVE CATHERIZATION(S)," 11,666.00 "
ENDOVASCULAR REPAIR ILIAC ARTERY BY DEPLOYMENT OF ILIO-ILIAC ENDOGRAFT UNILATERAL FOR RUPTURE," 15,555.00 "
ENDOVASCULAR REPAIR ILIAC ARTERY BY DEPLOYMENT OF ILIO-ILIAC ENDOGRAFT UNILATERAL OTHER THAN RUPTURE," 10,624.00 "
ENDOVASCULAR REPAIR INFRARENAL BY DEPLOYMENT OF AORTO-AORTIC ENDOGRAFT FOR RUPTURE," 17,110.00 "
ENDOVASCULAR REPAIR INFRARENAL BY DEPLOYMENT OF AORTO-AORTIC ENDOGRAFT OTHER THAN RUPTURE," 11,686.00 "
ENDOVASCULAR REPAIR INFRARENAL BY DEPLOYMENT OF AORTO-BI-ILIAC ENDOGRAFT FOR RUPTURE," 20,703.00 "
ENDOVASCULAR REPAIR INFRARENAL BY DEPLOYMENT OF AORTO-BI-ILIAC ENDOGRAFT OTHER THAN RUPTURE," 14,141.00 "
ENDOVASCULAR REPAIR INFRARENAL BY DEPLOYMENT OF AORTO-UNI-ILIAC ENDOGRAFT FOR RUPTURE," 18,821.00 "
ENDOVASCULAR REPAIR INFRARENAL BY DEPLOYMENT OF AORTO-UNI-ILIAC ENDOGRAFT OTHER THAN RUPTURE," 12,855.00 "
ENHANCERS, 95.00 
ENTERSTOMAL THERAPY PER 15 MINS, 111.00 
EPIDURAL/SUBARACHNOID INJECTION, 849.00 
EPILATION BY ELECTROSURGERY FOR TRICHIASIS, 394.00 
EPILATION BY FORCEPS FOR TRICHIASIS, 156.00 
ESCHAROTOMY EACH ADDITIONAL INCISION, 500.00 
ESCHAROTOMY INITIAL INCISION, 624.00 
ESOPHAGEAL FUNCTION TEST < 1 HOUR ANALYSIS & REPORT, 629.00 
ESOPHAGEAL FUNCTION TEST > 1 HOUR ANALYSIS & REPORT, 919.00 
ESOPHAGEAL MOTILITY STUDY," 1,088.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL DIAGNOSTIC," 1,414.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ ABLATION TUMOR/POLYP OR OTHER LESIONS W/ PRE/POST DILATION," 4,223.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ BALLOON DILATION ESOPHAGUS < 30MM," 2,079.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ BALLOON DILATION ESOPHAGUS >30MM W/ FLUOROSCOPY," 1,947.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ BAND LIGATION VARICES," 3,331.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ BIOPSY," 1,711.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ CONTROL BLEEDING," 2,730.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ DILATION ESOPHAGUS OVER GUIDE WIRE," 2,254.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ DILATION GASTRIC OUTLET OBSTRUCTION," 2,388.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ DRAINAGE PSEUDOCYST," 4,103.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ ENDOSCOPIC ESOPHAGUS ULTRASOUND," 1,931.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ ENDOSCOPIC MUCOSAL RESECTION," 3,673.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ ENDOSCOPIC ULTRASOUND," 3,211.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ ESOPHAGOGASTRIC FUNDOPLASTY INCL DUODENOSCOPY PARTIAL OR COMPLETE," 9,009.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ OPTICAL ENDOMICROSCOPY," 2,370.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ PLACEMENT ENDOSCOPIC STENT," 6,084.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ PLACEMENT PERCUTANEOUS GASTROSTOMY TUBE," 2,716.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ PLACEMENT TUBE/CATH," 1,931.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ REMOVAL FOREIGN BODY," 2,411.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ REMOVAL TUMOR POLYP LESION BY HOT BIOPSY FORCEP," 2,314.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ REMOVAL TUMOR POLYP LESION BY SNARE," 2,670.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ SCLEROSIS VARICES," 3,220.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ SUBMUCOSAL INJECTION," 1,625.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ THERMAL ENERGY DELIVERY," 3,554.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ TRANSENDOSCOPIC US GUIDED TRANSMURAL INJECTION," 3,571.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ ULTRASOUND GUIDED FINE NEEDLE ASPIRATION," 2,127.00 "
ESOPHAGOGASTRODUODENOSCOPY (EGD) FLEXIBLE TRANSORAL W/ ULTRASOUND GUIDED FINE NEEDLE ASPIRATION," 3,571.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSNASAL DIAGNOSTIC," 2,237.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSNASAL W/ BIOPSY," 2,658.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL DIAGNOSTIC," 1,509.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ ABLATION TUMOR/POLYP OR OTHER LESION," 4,010.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ BALLOON DILATION < 30MM," 2,385.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ BAND LIGATION FOR ESOPHAGEAL VARICES," 2,869.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ BIOPSY," 2,088.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ DILATION ESOPHAGUS BY BALLOON OR DILATOR," 5,234.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ DILATION ESOPHAGUS W/ BALLOON," 3,899.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ DILATION VIA GUIDE WIRE," 2,627.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ ENDOSCOPIC MUCOSAL RESECTION," 4,771.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ ENDOSCOPIC ULTRASOUND," 3,236.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ OPTICAL ENDOMICROSCOPY," 2,703.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ PLACEMENT OF ENDOSCOPIC STENT," 4,651.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ REMOVAL FOREIGN BODY," 2,862.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ REMOVAL OF TUMOR BY SNARE," 3,263.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ REMOVAL TUMOR POLYP LESION BY HOT BIOPSY FORCEP," 2,703.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ SCLEROSIS VARICES," 2,745.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ SUBMUCOSAL INJECTION," 1,931.00 "
ESOPHAGOSCOPY FLEXIBLE TRANSORAL W/ US GUIDED FINE NEEDLE ASPIRATION/BIOPSY," 4,031.00 "
ESOPHAGOSCOPY RIGID TRANSORAL DIAGNOSTIC," 2,125.00 "
ESOPHAGOSCOPY RIGID TRANSORAL W/ BIOPSY," 2,326.00 "
ESOPHAGOSCOPY RIGID TRANSORAL W/ DILATION VIA GUIDE WIRE," 2,708.00 "
ESOPHAGOSCOPY RIGID TRANSORAL W/ REMOVAL FOREIGN BODY," 2,660.00 "
ESOPHAGOSCOPY RIGID TRANSORAL W/ SUBMUCOSAL INJECTION," 2,316.00 "
ESOPHAGOSCOPY RIGID TRANSORAL W/ TRANSENDOSCOPIC BALLOON DILATION < 30MM," 2,545.00 "
ESTRADIOL, 268.00 
ESTRIOL, 205.00 
ETHANOL (ALCOHOL) BREATH, 120.00 
ETHYLENE GLYCOL, 101.00 
ETONOGESTREL CONTRACEPTIVE IMPLANT SYSTEM (NEXPLANON/IMPLANON)," 1,176.00 "
EVALUATION FOR PRESCRIPTION FOR SPEECH DEVICE EACH ADDITIONAL 30 MINUTES, 185.00 
EVALUATION FOR PRESCRIPTION FOR SPEECH DEVICE FIRST HOUR, 563.00 
EVALUATION FOR USE/FIT OF VOICE PROSTHETIC DEVICE, 451.00 
EVALUATION HIGH COMPLEXITY ATHLETIC TRAINING, 274.00 
EVALUATION HIGH COMPLEXITY BY OCCUPATIONAL THERAPY, 290.00 
EVALUATION HIGH COMPLEXITY BY PHYSICAL THERAPY, 331.00 
EVALUATION INTERROGATION DEVICE IMPLANTABLE SUBCUTANEOUS, 366.00 
EVALUATION LOW COMPLEXITY ATHLETIC TRAINING, 224.00 
EVALUATION LOW COMPLEXITY BY OCCUPATIONAL THERAPY, 237.00 
EVALUATION LOW COMPLEXITY BY PHYSICAL THERAPY, 270.00 
EVALUATION MODERATE COMPLEXITY ATHLETIC TRAINING, 249.00 
EVALUATION MODERATE COMPLEXITY BY OCCUPATIONAL THERAPY, 264.00 
EVALUATION MODERATE COMPLEXITY BY PHYSICAL THERAPY, 300.00 
EVALUATION SUBCUTANEOUS IMPLANTABLE DEFIBRILLATOR," 3,900.00 "
EVENT RECORDER PATIENT ACTIVATED PER 30 DAYS, 777.00 
EVOKED OTOACOUSTIC EMISSIONS COMPREHENSIVE, 450.00 
EVOKED OTOACOUSTIC EMISSIONS LIMITED, 368.00 
EVOKED POTENTIAL CENTRAL MOTOR LOWER LIMBS," 1,385.00 "
EVOKED POTENTIAL CENTRAL MOTOR UPPER LIMBS," 1,332.00 "
EVOKED POTENTIAL SOMATOSENSORY LOWER LIMBS," 2,011.00 "
EVOKED POTENTIAL SOMATOSENSORY UPPER LIMBS," 2,157.00 "
EXAMINATION AND SELECTION OF RETRIEVED ARCHIVAL TISSUE FOR MOLECULAR ANALYSIS, 51.00 
EXAMINATION BINOCULAR VISION, 133.00 
EXAMINATION COLOR VISION EXTENDED, 156.00 
EXAMINATION VISUAL FIELD EXTENDED, 267.00 
EXAMINATION VISUAL FIELD INTERMEDIATE, 194.00 
EXAMINATION VISUAL FIELD LIMITED, 132.00 
EXCHANGE ABSCESS OR CYST DRAINAGE CATH," 1,931.00 "
EXCHANGE BILIARY DRAINAGE CATHETER PERCUTANEOUS W/ IMAGING GUIDANCE," 4,191.00 "
EXCHANGE NEPHROSTOMY CATHETER PERCUTANEOUS W/ IMAGING GUIDANCE," 2,336.00 "
EXCISION & REPAIR EYELID > 1/4 MARGIN," 4,076.00 "
EXCISION & REPAIR EYELID TO 1/4 MARGIN," 2,967.00 "
EXCISION CHALAZION MULTIPLE DIFFERENT LIDS, 626.00 
EXCISION CHALAZION MULTIPLE SAME LID, 771.00 
EXCISION CHALAZION SINGLE, 394.00 
EXCISION CHALAZION UNDER GENERAL ANESTHESIA," 1,749.00 "
EXCISION LESION CONJUNCTIVA > 1 CM," 3,264.00 "
EXCISION LESION CONJUNCTIVA TO 1 CM," 2,623.00 "
EXCISION LESION EXTERNAL AUDITORY CANAL," 4,172.00 "
EXCISION LESION EYELID W/O CLOSURE OR W/ SIMPLE REPAIR," 1,157.00 "
EXCISION LESION FACE & MUCOUS MEMBRANE 0.6-1.0 CM," 1,361.00 "
EXCISION LESION FACE & MUCOUS MEMBRANE 1.1-2.0 CM," 1,502.00 "
EXCISION LESION FACE & MUCOUS MEMBRANE 2.1-3.0 CM," 1,841.00 "
EXCISION LESION FACE & MUCOUS MEMBRANE 3.1-4.0 CM," 2,350.00 "
EXCISION LESION FACE & MUCOUS MEMBRANE< 0.5 CM," 1,069.00 "
EXCISION LESION FACE & MUCOUS MEMBRANE>4.0 CM," 3,372.00 "
EXCISION LESION SCALP/NECK/HANDS/FEET/GENITALIA  < 0.5 CM," 2,025.00 "
EXCISION LESION SCALP/NECK/HANDS/FEET/GENITALIA  >4.0 CM," 3,263.00 "
EXCISION LESION SCALP/NECK/HANDS/FEET/GENITALIA 0.6-1.0 CM," 2,228.00 "
EXCISION LESION SCALP/NECK/HANDS/FEET/GENITALIA 1.1-2.0 CM," 2,451.00 "
EXCISION LESION SCALP/NECK/HANDS/FEET/GENITALIA 2.1-3.0 CM," 2,696.00 "
EXCISION LESION SCALP/NECK/HANDS/FEET/GENITALIA 3.1-4.0 CM," 2,966.00 "
EXCISION LESION TRUNK/EXTREMITIES < 0.5 CM, 837.00 
EXCISION LESION TRUNK/EXTREMITIES >4.0 CM," 1,998.00 "
EXCISION LESION TRUNK/EXTREMITIES 0.6-1.0 CM, 921.00 
EXCISION LESION TRUNK/EXTREMITIES 1.1-2.0 CM," 1,013.00 "
EXCISION LESION TRUNK/EXTREMITIES 2.1-3.0 CM," 1,217.00 "
EXCISION LESION TRUNK/EXTREMITIES 3.1-4.0 CM," 1,944.00 "
EXCISION LESION VESTIBULE OF MOUTH W/ SIMPLE REPAIR," 3,142.00 "
EXCISION MALIGNANT LESION FACE/EARS/EYELIDS/NOSE/LIPS  > 4.0 CM," 3,388.00 "
EXCISION MALIGNANT LESION FACE/EARS/EYELIDS/NOSE/LIPS  0.5 CM OR LESS," 1,458.00 "
EXCISION MALIGNANT LESION FACE/EARS/EYELIDS/NOSE/LIPS 0.6-1.0 CM," 1,610.00 "
EXCISION MALIGNANT LESION FACE/EARS/EYELIDS/NOSE/LIPS 1.1-2.0 CM," 1,807.00 "
EXCISION MALIGNANT LESION FACE/EARS/EYELIDS/NOSE/LIPS 2.1-3.0 CM," 1,944.00 "
EXCISION MALIGNANT LESION FACE/EARS/EYELIDS/NOSE/LIPS 3.1-4.0 CM," 2,248.00 "
EXCISION MALIGNANT LESION SCALP/NECK/HANDS/FEET/GENITALIA  >4.0 CM," 4,017.00 "
EXCISION MALIGNANT LESION SCALP/NECK/HANDS/FEET/GENITALIA 0.5 CM OR LESS," 2,497.00 "
EXCISION MALIGNANT LESION SCALP/NECK/HANDS/FEET/GENITALIA 0.6-1.0 CM," 2,635.00 "
EXCISION MALIGNANT LESION SCALP/NECK/HANDS/FEET/GENITALIA 1.1-2.0 CM," 2,928.00 "
EXCISION MALIGNANT LESION SCALP/NECK/HANDS/FEET/GENITALIA 2.1-3.0 CM," 3,425.00 "
EXCISION MALIGNANT LESION SCALP/NECK/HANDS/FEET/GENITALIA 3.1-4.0 CM," 3,615.00 "
EXCISION MALIGNANT LESION TRUNK/EXTREMITIES > 4.0 CM," 2,593.00 "
EXCISION MALIGNANT LESION TRUNK/EXTREMITIES 0.5 CM OR LESS," 1,519.00 "
EXCISION MALIGNANT LESION TRUNK/EXTREMITIES 0.6-1.0 CM," 1,549.00 "
EXCISION MALIGNANT LESION TRUNK/EXTREMITIES 1.1-2.0 CM," 1,593.00 "
EXCISION MALIGNANT LESION TRUNK/EXTREMITIES 2.1-3.0 CM," 1,630.00 "
EXCISION MALIGNANT LESION TRUNK/EXTREMITIES 3.1-4.0 CM," 1,794.00 "
EXCISION MULTIPLE PAPILLAE/TAGS EXTERNAL ANUS," 3,397.00 "
EXCISION NAIL MATRIX, 459.00 
EXCISION OF FRENUM LABIAL OR BUCCAL," 2,217.00 "
EXCISION OF HYPERPLASTIC ALVEOLAR MUCOSA EA QUADRANT," 3,142.00 "
EXCISION OF LESION CORNEA EXCEPT PTERYGIUM," 1,617.00 "
EXCISION OF LINGUAL FRENUM (FRENECTOMY)," 1,651.00 "
EXCISION OF UVULA," 3,214.00 "
EXCISION SINGLE PAPILLA/TAG EXTERNAL ANUS," 2,340.00 "
EXCISION THROMBOSED HEMORRHOID EXTERNAL," 2,996.00 "
EXCISION VAGINAL CYST TUMOR," 3,620.00 "
EXERCISE STUDY W/ HEMODYNAMIC MEASUREMENTS," 1,685.00 "
EXERCISE TEST BRONCHOSPASM W/ SPIROMETRY, 503.00 
EXOME RE-EVALUATION, 801.00 
EXOME SEQUENCE ANALYSIS, 500.00 
EXOME SEQUENCE ANALYSIS EACH COMPARATOR EXOME, 500.00 
EXPIRED GAS COLLECTION QUANTITATIVE, 173.00 
EXPLORATION POPLITEAL ARTERY," 11,121.00 "
EXTENSIVE RETINOPATHY 1 + SESSION PHOTOCOAGULATION, 758.00 
EXTERNAL CEPHALIC VERSION," 3,316.00 "
EXTERNAL COUNTERPULSATION PER TREATMENT SESSION, 473.00 
EXTERNAL ELECTROCARDIOGRAPHIC RECORDING >48 HOURS UP TO 21 DAYS, 725.00 
EXTERNAL OCULAR PHOTOGRAPHY (SLIT LAMP), 296.00 
EXTERNAL PACEMAKER, 129.00 
EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)/EXTRACORPOREAL LIFE SUPPORT (ECLS) VENO-ARTERIAL DAILY MANAGEMENT," 1,481.00 "
