USC VHH CDM Price Increase,,,,,,,,,,,,
Gross Revenue Change (old to new),,,,,,,,,,,,
"July 1, 2017 - June 30, 2018",,,,,,,,,,"Gross Revenue
(old price)","Gross Revenue
(new price)","New Gross Revenue based on Price increase on April 1, 2018"
1100205,DOPPLR COLOR FLOW VELOC MAP,4590,ECG,480,480,480,383,950,0,0,0,Phase I
1100213,VENOUS DUPLEX LOWER EXT BILAT,4590,ECG,921,921,921,"1,753","2,291",137,"240,161","313,867",Phase I
1100262,ARTERIAL PROFILE U/E BILAT,4590,ECG,921,921,921,"1,131","2,184",0,0,0,Phase I
1100429,CV/PHARM STRESSwECG;TRACE,4590,ECG,482,482,482,959,"2,058",120,"115,080","246,960",Phase I
1100536,DOPPLER ECHOCARDIOG;COMP,4590,ECG,480,480,480,671,"1,696",0,0,0,Phase I
1100676,ARTERIAL DUPLEX UE BILAT/COMP,4590,ECG,921,921,921,667,"1,288",1,667,"1,288",Phase I
1100866,ECG 24HwVIS SCAN;REC ONLY,4590,ECG,731,731,731,350,713,0,0,0,Phase I
1100874,"ECG 24HwVIS SCAN;ANALY,RPT",4590,ECG,731,731,731,633,"1,017",11,"6,963","11,187",Phase I
1100973,"CARDIOVERSION, ELECTIVE, EXTERNAL",4590,ECG,480,480,480,"2,027","3,152",0,0,0,Phase I
1100981,STRESS TTE COMPLETE,4590,ECG,480,480,480,"3,486","1,982",46,"160,355","91,172",Phase I
1300029,"EEG, REC AWAK/DROWS",4620,EEG,740,740,740,856,"2,029",44,"37,664","89,276",Phase I
1300045,SLEEP EEG;CEREBRAL DEATH EVAL,4620,EEG,740,740,740,"1,154","2,123",0,0,0,Phase I
1300060,"EEG, REC AWAK/ASLEEP",4620,EEG,740,740,740,"1,008","1,788",10,"10,080","17,880",Phase I
1600220,NM BONE/JT SCAN;TOMO(SPECT),4650,NUCLEAR MEDICINE,341,341,341,"1,425","2,059",1,"1,425","2,059",Phase I
1600295,NM CSF FLO;CISTERNOGRAPHY,4650,NUCLEAR MEDICINE,341,341,341,"1,627","2,838",0,0,0,Phase I
1600303,NM RADIOPHARM LOC ABSC;BODY,4650,NUCLEAR MEDICINE,341,341,341,"3,538","2,005",11,"38,918","22,055",Phase I
1600311,NM GASTRIC EMPTYING STUDY,4650,NUCLEAR MEDICINE,341,341,341,"1,314","2,750",3,"3,942","8,250",Phase I
1600329,NM RADIOPHARM LOC TMR;BODY,4650,NUCLEAR MEDICINE,341,341,341,"2,733","4,467",0,0,0,Phase I
1600337,NM RADIOPHARM LOC TMR;SPECT,4650,NUCLEAR MEDICINE,341,341,341,"1,542","2,523",0,0,0,Phase I
1600345,NM RADIOPHARM LOC TMR;MX,4650,NUCLEAR MEDICINE,341,341,341,"1,185","1,911",0,0,0,Phase I
1600352,NM LYMPH & LYMPH GLANDS,4650,NUCLEAR MEDICINE,341,341,341,"1,934","3,463",5,"9,670","17,315",Phase I
1600394,NM RP LOCAL INFLAM LTD,4650,NUCLEAR MEDICINE,341,341,341,"1,328","1,012",1,"1,328","1,012",Phase I
1600402,NM RADIOPHARM LOC TMR;LTD,4650,NUCLEAR MEDICINE,341,341,341,846,"1,381",0,0,0,Phase I
1600410,NM RP LOC INFLAM SPECT,4650,NUCLEAR MEDICINE,341,341,341,"1,339","2,000",0,0,0,Phase I
1600485,THYROID CANCER WHOLE BODY IMAGING,4650,NUCLEAR MEDICINE,341,341,341,"1,170","2,043",0,0,0,Phase I
1600634,"RADPHARM,HYPRTHY;INT ORAL",4650,NUCLEAR MEDICINE,342,342,342,"1,124","1,115",0,0,0,Phase I
1600774,NM BONE/JT SCAN;LTD,4650,NUCLEAR MEDICINE,341,341,341,"1,202","2,302",6,"7,212","13,812",Phase I
1600840,NM BONE/JT SCAN;BODY,4650,NUCLEAR MEDICINE,341,341,341,"1,676","3,010",21,"35,196","63,210",Phase I
1600865,NM BONE/JT SCAN;3 PHASE STDY,4650,NUCLEAR MEDICINE,341,341,341,"2,368","3,417",5,"11,840","17,085",Phase I
1601079,NM WALL MOTION+EJEC FRAC;SINGL,4650,NUCLEAR MEDICINE,341,341,341,939,"2,729",0,0,0,Phase I
1601285,NM KIDNEY SCAN;1STDYwINTERV,4650,NUCLEAR MEDICINE,341,341,341,"2,031","2,640",4,"8,124","10,560",Phase I
1601350,NM KIDNEY SCAN;1STDYwoINTERV,4650,NUCLEAR MEDICINE,341,341,341,"1,846","2,545",3,"5,538","7,635",Phase I
1601616,NM PULM VENT/PERF SCAN,4650,NUCLEAR MEDICINE,341,341,341,"1,474","3,216",36,"53,064","115,776",Phase I
1601897,NM HEPATOBILIARY DUCT SYST,4650,NUCLEAR MEDICINE,341,341,341,"1,288","2,478",11,"14,168","27,258",Phase I
1602051,NM PARATHYROID SCAN,4650,NUCLEAR MEDICINE,341,341,341,"1,635","2,139",4,"6,540","8,556",Phase I
1602242,NM TUMOR LOCALIZATION WHOLE BODY,4650,NUCLEAR MEDICINE,341,341,341,"1,501","2,447",0,0,0,Phase I
1602267,"NM MECKEL'S SCAN BOWEL,ECTOPIC",4650,NUCLEAR MEDICINE,341,341,341,"1,266","1,630",0,0,0,Phase I
1602275,NM PULMONARY QUANT FUNCTION,4650,NUCLEAR MEDICINE,341,341,341,"1,503","4,178",0,0,0,Phase I
1602283,PULM PERF PARTICULATE,4650,NUCLEAR MEDICINE,341,341,341,"1,899","2,742",1,"1,899","2,742",Phase I
1602291,NM ACUTE BLOOD LOSS SCAN,4650,NUCLEAR MEDICINE,341,341,341,926,"3,133",0,0,0,Phase I
1602333,BONE & JOINT IMAGING MULTIPLE AREA,4650,NUCLEAR MEDICINE,341,341,341,"1,526","2,771",1,"1,526","2,771",Phase I
1602341,NM MPI SPEC SINGL RST STRS,4650,NUCLEAR MEDICINE,341,341,341,"2,077","6,137",0,0,0,Phase I
1602358,NM MPI SPEC MULT RST STRS,4650,NUCLEAR MEDICINE,341,341,341,"3,365","6,826",114,"383,610","778,164",Phase I
1602374,HIDA SCAN WITH PHARM INTERVENTION,4650,NUCLEAR MEDICINE,341,341,341,"1,321","2,575",4,"5,284","10,300",Phase I
1602432,THYROID IMAGING,4650,NUCLEAR MEDICINE,341,341,341,773,"1,007",0,0,0,Phase I
1603083,INJ MYELOGRAM/CT SCAN LUMBAR,4650,NUCLEAR MEDICINE,360,360,360,762,"1,414",0,0,0,Phase I
1603133,THYROID IMAG W SNGL OR MLT UPTKE,4650,NUCLEAR MEDICINE,341,341,341,"1,605","1,690",3,"4,815","5,070",Phase I
1603208,CT PERC LIVER ABLATION,4650,NUCLEAR MEDICINE,350,350,350,"2,256","10,748",0,0,0,Phase I
1800036,CPAP/BIPAP INIT AND MGMT,4720,RESPIRATORY THERAPY,410,410,410,602,"2,668",246,"148,092","656,328",Phase I
1800044,CPR (IP ONLY),4720,RESPIRATORY THERAPY,480,480,480,"1,396","1,306",7,"9,772","9,142",Phase I
1800051,VENT ASSIST & MGT;1ST DAY,4720,RESPIRATORY THERAPY,410,410,410,"1,372","5,416",72,"98,784","389,952",Phase I
1800069,VENT ASSIST&MGT;SUBSEQUENT DAYS,4720,RESPIRATORY THERAPY,410,410,410,991,"3,913",237,"234,867","927,381",Phase I
1800176,CHEST PHYSIO MANIP SUBSQ,4720,RESPIRATORY THERAPY,410,410,410,194,289,115,"22,310","33,235",Phase I
1800366,CONT AEROSOL 1 HOUR,4720,RESPIRATORY THERAPY,410,410,410,182,113,15,"2,735","1,695",Phase I
1800416,MANIP CW LUNG FUNC INIT,4720,RESPIRATORY THERAPY,412,412,412,166,297,13,"2,158","3,861",Phase I
1800523,DEMO/EVAL PT USE INHALER,4720,RESPIRATORY THERAPY,410,410,410,299,366,"1,223","365,677","447,618",Phase I
1800622,INHAL TX WITH HHH,4720,RESPIRATORY THERAPY,412,412,412,210,301,579,"121,590","174,279",Phase I
1800630,CONT INH MED TX 1ST HR,4720,RESPIRATORY THERAPY,410,410,410,773,477,2,"1,545",954,Phase I
1800648,CONT INH MED TX ADDL HR,4720,RESPIRATORY THERAPY,410,410,410,386,356,3,"1,159","1,068",Phase I
1800656,PNEUMOGRAM PEDI/INFANT 12-24 HR,4720,RESPIRATORY THERAPY,410,410,410,"2,420",531,1,"2,420",531,Phase I
1901180,SEGMENTAL PRESSURE,4595,PERIPHERAL VASCULAR,921,921,921,"1,416","2,130",0,0,0,Phase I
1901453,LIMITED CAROTID ARTERY SCREEN,4595,PERIPHERAL VASCULAR,921,921,921,132,"1,868",2,264,"3,736",Phase I
1901479,ART DUPLEX BILAT / LWR EXTREM STUDY,4595,PERIPHERAL VASCULAR,921,921,921,"1,678","2,284",21,"35,238","47,964",Phase I
1901495,"DUP SCAN,XTCRANI ARTS;BI",4595,PERIPHERAL VASCULAR,921,921,921,"1,795","2,336",112,"201,040","261,632",Phase I
1901552,VENOUS DUPLEX LOWER EXT UNILAT,4595,PERIPHERAL VASCULAR,921,921,921,"1,688","1,727",125,"211,000","215,875",Phase I
1901743,ART PROFILE / EXTREMITY STUDY,4595,PERIPHERAL VASCULAR,921,921,921,"1,678","2,284",0,0,0,Phase I
1901776,"DUP SCAN,LW EXT ART/GRAF;UNI",4595,PERIPHERAL VASCULAR,921,921,921,"1,017","1,542",3,"3,051","4,626",Phase I
1901784,DUP SCAN CAROTID DUPLEX UNILATERIAL,4595,PERIPHERAL VASCULAR,921,921,921,132,"1,868",0,0,0,Phase I
1901792,VENOUS DUPLEX UPPER EXT UNILAT,4595,PERIPHERAL VASCULAR,921,921,921,"1,688","1,727",54,"91,152","93,258",Phase I
1901818,DUP SCAN ARTERIAL DUPLEX LTD UNIL,4595,PERIPHERAL VASCULAR,921,921,921,769,"1,270",3,"2,307","3,810",Phase I
2000081,APPLY TX;MECH TRACTION,4771,ABL PHYSICAL THERAPY,420,,420,152,204,0,0,0,Phase I
2000180,APPLY TX;VASOPNEUMATIC DEV,4771,ABL PHYSICAL THERAPY,420,,420,182,219,0,0,0,Phase I
2000297,"APPLY TX;CONTRAS BATH,EA15M",4771,ABL PHYSICAL THERAPY,420,,420,109,175,0,0,0,Phase I
2000339,APPLY TX;VASOPNEUMATIC DEV,4770,PHYSICAL THERAPY,420,420,420,182,219,24,"4,368","5,256",Phase I
2000347,"APPLY TX;CONTRAS BATH,EA15M",4770,PHYSICAL THERAPY,420,420,420,109,175,0,0,0,Phase I
2000438,"APPLY TX;US,EA 15M",4770,PHYSICAL THERAPY,420,420,420,197,155,371,"73,087","57,505",Phase I
2000461,APPLY TX;MECH TRACTION,4770,PHYSICAL THERAPY,420,420,420,152,204,25,"3,800","5,100",Phase I
2000503,APPLY TX;WHIRLPOOL,4771,ABL PHYSICAL THERAPY,420,,420,222,262,0,0,0,Phase I
2000560,APPLY TX;PARAFFIN BATH,4771,ABL PHYSICAL THERAPY,420,,420,103,121,0,0,0,Phase I
2000586,"APPLY TX;US,EA 15M",4771,ABL PHYSICAL THERAPY,420,,420,197,155,0,0,0,Phase I
2000701,"APPLY TX;IONTOPHORES,EA15M",4771,ABL PHYSICAL THERAPY,420,,420,184,241,0,0,0,Phase I
2000768,"PHYSICAL PERFORM TEST,EA15M",4770,PHYSICAL THERAPY,420,420,420,161,193,16,"2,576","3,088",Phase I
2000826,APPLY TX;WHIRLPOOL,4770,PHYSICAL THERAPY,420,420,420,222,262,0,0,0,Phase I
2000958,"SELF CARE/HOME MGT TRAIN,1:1,15M",4770,PHYSICAL THERAPY,420,420,420,123,218,0,0,0,Phase I
2000982,"APPLY TX;ELEC STIM,EA15M",4770,PHYSICAL THERAPY,420,420,420,146,179,6,876,"1,074",Phase I
2001048,"APPLY TX;IONTOPHORES,EA15M",4770,PHYSICAL THERAPY,420,420,420,184,241,19,"3,496","4,579",Phase I
2001055,APPLY TX;PARAFFIN BATH,4770,PHYSICAL THERAPY,420,420,420,103,121,0,0,0,Phase I
2001113,MANUAL THER TECHNIQUES / 15 MINUTES,4770,PHYSICAL THERAPY,420,420,420,220,201,"2,942","647,240","591,342",Phase I
2001215,PT ORTHOTIC MGMT/FIT/TRAIN EA 15MIN,4770,PHYSICAL THERAPY,420,420,420,270,218,0,0,0,Phase I
2001402,STRAPPING; TOES,4770,PHYSICAL THERAPY,420,420,420,114,139,1,114,139,Phase I
2001410,STRAPPING; ANKLE,4770,PHYSICAL THERAPY,420,420,420,147,219,0,0,0,Phase I
2001428,STRAPPING; KNEE,4770,PHYSICAL THERAPY,420,420,420,166,227,0,0,0,Phase I
2001436,STRAPPING; HIP,4770,PHYSICAL THERAPY,420,420,420,166,231,0,0,0,Phase I
2001451,STRAPPING; UNNA BOOT,4770,PHYSICAL THERAPY,420,420,420,226,349,0,0,0,Phase I
2001501,"ORTHOTICS FIT/TRAIN, XTREM EA 15M",4770,PHYSICAL THERAPY,420,420,420,176,142,0,0,0,Phase I
2001519,"PROSTHETIC TRAINING, XTREM 15M",4770,PHYSICAL THERAPY,420,420,420,148,119,0,0,0,Phase I
2001550,INFRARED THERAPY,4770,PHYSICAL THERAPY,420,420,420,56,87,0,0,0,Phase I
2010072,"APPLY TX;CONTRAS BATH,EA15M",4771,ABL PHYSICAL THERAPY,420,,420,109,175,0,0,0,Phase I
2010098,"APPLY TX;IONTOPHORES,EA15M",4771,ABL PHYSICAL THERAPY,420,,420,184,241,0,0,0,Phase I
2010106,APPLY TX;MECH TRACTION,4771,ABL PHYSICAL THERAPY,420,,420,152,204,0,0,0,Phase I
2010114,APPLY TX;PARAFFIN BATH,4771,ABL PHYSICAL THERAPY,420,,420,103,121,0,0,0,Phase I
2010122,"APPLY TX;US,EA 15M",4771,ABL PHYSICAL THERAPY,420,,420,197,155,0,0,0,Phase I
2010130,APPLY TX;VASOPNEUMATIC DEV,4771,ABL PHYSICAL THERAPY,420,,420,182,219,0,0,0,Phase I
2010148,APPLY TX;WHIRLPOOL,4771,ABL PHYSICAL THERAPY,420,,420,222,262,0,0,0,Phase I
2015089,"APPLY TX;CONTRAS BATH,EA15M",4770,PHYSICAL THERAPY,420,420,420,109,175,0,0,0,Phase I
2015097,"APPLY TX;ELEC STIM,EA15M",4770,PHYSICAL THERAPY,420,420,420,146,179,0,0,0,Phase I
2015113,"APPLY TX;IONTOPHORES,EA15M",4770,PHYSICAL THERAPY,420,420,420,184,241,0,0,0,Phase I
2015121,APPLY TX;MECH TRACTION,4770,PHYSICAL THERAPY,420,420,420,152,204,0,0,0,Phase I
2015139,APPLY TX;PARAFFIN BATH,4770,PHYSICAL THERAPY,420,420,420,103,121,0,0,0,Phase I
2015147,"APPLY TX;US,EA 15M",4770,PHYSICAL THERAPY,420,420,420,197,155,18,"3,546","2,790",Phase I
2015154,APPLY TX;VASOPNEUMATIC DEV,4770,PHYSICAL THERAPY,420,420,420,182,219,4,728,876,Phase I
2015162,APPLY TX;WHIRLPOOL,4770,PHYSICAL THERAPY,420,420,420,222,262,0,0,0,Phase I
2015204,INFRARED THERAPY,4770,PHYSICAL THERAPY,420,420,420,56,87,0,0,0,Phase I
2015212,MANUAL THER TECHNIQUES / 15 MINUTES,4770,PHYSICAL THERAPY,420,420,420,220,201,102,"22,440","20,502",Phase I
2015279,"ORTHOTICS FIT/TRAIN, XTREM EA 15M",4770,PHYSICAL THERAPY,420,420,420,176,142,0,0,0,Phase I
2015287,"PHYSICAL PERFORM TEST,EA15M",4770,PHYSICAL THERAPY,420,420,420,161,193,2,322,386,Phase I
2015329,"PROSTHETIC TRAINING, XTREM 15M",4770,PHYSICAL THERAPY,420,420,420,148,119,0,0,0,Phase I
2015352,"SELF CARE/HOME MGT TRAIN,1:1,15M",4770,PHYSICAL THERAPY,420,420,420,123,218,0,0,0,Phase I
2015378,STRAPPING; ANKLE,4770,PHYSICAL THERAPY,420,420,420,147,219,0,0,0,Phase I
2015386,STRAPPING; HIP,4770,PHYSICAL THERAPY,420,420,420,166,231,0,0,0,Phase I
2015394,STRAPPING; KNEE,4770,PHYSICAL THERAPY,420,420,420,166,227,0,0,0,Phase I
2015402,STRAPPING; TOES,4770,PHYSICAL THERAPY,420,420,420,114,139,0,0,0,Phase I
2015410,STRAPPING; UNNA BOOT,4770,PHYSICAL THERAPY,420,420,420,226,349,0,0,0,Phase I
2100048,APPLY TX;PARAFFIN BATH,4790,OCCUPATIONAL THERAPY,430,430,430,103,121,0,0,0,Phase I
2100162,INFRARED THERAPY,4790,OCCUPATIONAL THERAPY,430,420,430,56,87,4,224,348,Phase I
2100493,"APPLY TX;US,EA 15M",4790,OCCUPATIONAL THERAPY,430,430,430,197,155,0,0,0,Phase I
2100600,"SELF CARE/HOME MGT TRAIN,1:1,15M",4790,OCCUPATIONAL THERAPY,430,430,430,123,218,"2,693","331,239","587,074",Phase I
2100683,"APPLY TX;CONTRAS BATH,EA15M",4790,OCCUPATIONAL THERAPY,430,430,430,109,175,0,0,0,Phase I
2100733,APPLY TX;VASOPNEUMATIC DEV,4790,OCCUPATIONAL THERAPY,430,430,430,182,219,0,0,0,Phase I
2100741,APPLY TX;ELECT STIM,4790,OCCUPATIONAL THERAPY,430,430,430,105,238,0,0,0,Phase I
2100782,"PHYSICAL PERFORM TEST,EA15M",4790,OCCUPATIONAL THERAPY,430,430,430,161,193,0,0,0,Phase I
2100808,"ORTHOTICS FIT/TRAIN,XTREM 15M",4790,OCCUPATIONAL THERAPY,430,430,430,123,99,0,0,0,Phase I
2100949,APPLY TX IONTOPHORES EA 15M,4790,OCCUPATIONAL THERAPY,430,430,430,184,241,1,184,241,Phase I
2100956,APPLY TX WHIRLPOOL,4790,OCCUPATIONAL THERAPY,430,430,430,222,262,0,0,0,Phase I
2100998,STRAPPING OF SHOULDER,4790,OCCUPATIONAL THERAPY,430,430,430,186,452,0,0,0,Phase I
2101012,STRAPPING OF HAND OR FINGER,4790,OCCUPATIONAL THERAPY,430,430,430,200,485,0,0,0,Phase I
2101020,"APPLICATION ELECTRICAL STIM, EA 15M",4790,OCCUPATIONAL THERAPY,430,430,430,146,179,0,0,0,Phase I
2101038,STRAPPING OF ELBOW OR WRIST,4790,OCCUPATIONAL THERAPY,430,430,430,200,469,0,0,0,Phase I
2101046,"SPLINT FOREARM-HAND(SHRT ARM,STATIC",4790,OCCUPATIONAL THERAPY,430,430,430,85,503,1,85,503,Phase I
2101053,SPLINT OF FOREARM-HAND (DYNAMIC),4790,OCCUPATIONAL THERAPY,430,430,430,392,587,0,0,0,Phase I
2101061,"SPLINTING OF FINGER, STATIC",4790,OCCUPATIONAL THERAPY,430,430,430,85,646,1,85,646,Phase I
2101079,SPLINTING OF SHOULDER-HAND(LONGARM),4790,OCCUPATIONAL THERAPY,430,430,430,321,599,1,321,599,Phase I
2101095,"SPLINTING OF FINGER, DYNAMIC",4790,OCCUPATIONAL THERAPY,430,430,430,98,673,3,294,"2,019",Phase I
2101103,MANUAL THERAPY TECHNIQUES,4790,OCCUPATIONAL THERAPY,430,430,430,220,201,388,"85,360","77,988",Phase I
2110013,"APPLICATION ELECTRICAL STIM, EA 15M",4790,OCCUPATIONAL THERAPY,430,430,430,146,179,0,0,0,Phase I
2110047,APPLY TX IONTOPHORES EA 15M,4790,OCCUPATIONAL THERAPY,430,430,430,184,241,0,0,0,Phase I
2110054,APPLY TX WHIRLPOOL,4790,OCCUPATIONAL THERAPY,430,430,430,222,262,0,0,0,Phase I
2110062,"APPLY TX;CONTRAS BATH,EA15M",4790,OCCUPATIONAL THERAPY,430,430,430,109,175,0,0,0,Phase I
2110070,APPLY TX;ELECT STIM,4790,OCCUPATIONAL THERAPY,430,430,430,105,238,0,0,0,Phase I
2110088,APPLY TX;PARAFFIN BATH,4790,OCCUPATIONAL THERAPY,430,430,430,103,121,0,0,0,Phase I
2110096,"APPLY TX;US,EA 15M",4790,OCCUPATIONAL THERAPY,430,430,430,197,155,0,0,0,Phase I
2110104,APPLY TX;VASOPNEUMATIC DEV,4790,OCCUPATIONAL THERAPY,430,430,430,182,219,0,0,0,Phase I
2110153,INFRARED THERAPY,4790,OCCUPATIONAL THERAPY,430,420,430,56,87,0,0,0,Phase I
2110161,MANUAL THERAPY TECHNIQUES 15,4790,OCCUPATIONAL THERAPY,430,430,430,220,201,3,660,603,Phase I
2110229,"ORTHOTICS FIT/TRAIN,XTREM 15M",4790,OCCUPATIONAL THERAPY,430,430,430,123,99,0,0,0,Phase I
2110237,"PHYSICAL PERFORM TEST,EA15M",4790,OCCUPATIONAL THERAPY,430,430,430,161,193,0,0,0,Phase I
2110278,"SELF CARE/HOME MGT TRAIN,1:1,15M",4790,OCCUPATIONAL THERAPY,430,430,430,123,218,0,0,0,Phase I
2110294,"SPLINT FOREARM-HAND(SHRT ARM,STATIC",4790,OCCUPATIONAL THERAPY,430,430,430,85,503,0,0,0,Phase I
2110302,SPLINT OF FOREARM-HAND (DYNAMIC),4790,OCCUPATIONAL THERAPY,430,430,430,392,587,0,0,0,Phase I
2110310,"SPLINTING OF FINGER, DYNAMIC",4790,OCCUPATIONAL THERAPY,430,430,430,98,673,0,0,0,Phase I
2110328,"SPLINTING OF FINGER, STATIC",4790,OCCUPATIONAL THERAPY,430,430,430,85,646,0,0,0,Phase I
2110336,SPLINTING OF SHOULDER-HAND(LONGARM),4790,OCCUPATIONAL THERAPY,430,430,430,321,599,0,0,0,Phase I
2110344,STRAPPING OF ELBOW OR WRIST,4790,OCCUPATIONAL THERAPY,430,430,430,200,469,0,0,0,Phase I
2110351,STRAPPING OF HAND OR FINGER,4790,OCCUPATIONAL THERAPY,430,430,430,200,485,0,0,0,Phase I
2110369,STRAPPING OF SHOULDER,4790,OCCUPATIONAL THERAPY,430,430,430,186,452,0,0,0,Phase I
2120030,OT TX SWALLOW/ORAL FUNCTION,4790,OCCUPATIONAL THERAPY,430,430,430,306,388,1,306,388,Phase I
2120035,OT EVAL SWALLOWING/ORAL FUNC,4790,OCCUPATIONAL THERAPY,430,430,434,484,843,0,0,0,Phase I
2120040,OT EVAL SWALLOW CINE/VIDEO/FLUORO,4790,OCCUPATIONAL THERAPY,430,430,430,625,907,0,0,0,Phase I
2200053,"TX SP,LNG,VOIC,AUD,RHAB;IND",4780,SPEECH THERAPY,440,440,440,440,517,243,"106,920","125,631",Phase I
2200061,MOTION FLUOROSCOPY/SWALLOW CINE/VID,4780,SPEECH THERAPY,444,444,444,489,710,31,"15,159","22,010",Phase I
2200087,TX SWALLOW/ORAL DYSFUNC FEED,4780,SPEECH THERAPY,440,440,440,306,388,667,"204,102","258,796",Phase I
2200095,EVALUATE SWALLOWING FUNCT,4780,SPEECH THERAPY,444,444,444,484,843,166,"80,344","139,938",Phase I
2200137,EVAL FOR SPEECH DVC RX-1HR,4780,SPEECH THERAPY,440,440,444,552,"1,026",0,0,0,Phase I
2200145,EVAL SPEECH DVC ADDL 30,4780,SPEECH THERAPY,440,440,444,183,412,0,0,0,Phase I
2200152,USE OF SPEECH DEVICE SERVICE,4780,SPEECH THERAPY,440,440,440,313,525,0,0,0,Phase I
2200160,EVAL USE / FIT VOICE SPEECH DEVICE,4780,SPEECH THERAPY,440,440,444,260,"1,041",0,0,0,Phase I
2200186,COGNITIVE SKILLS DEV 15M,4780,SPEECH THERAPY,440,440,440,123,129,4,492,516,Phase I
2200202,ASSESSMENT APHASIA (PER HOUR),4780,SPEECH THERAPY,444,444,444,394,951,0,0,0,Phase I
2210003,ASSESSMENT APHASIA (PER HOUR),4780,SPEECH THERAPY,444,444,444,394,951,0,0,0,Phase I
2210029,COGNITIVE SKILLS DEV 15M,4780,SPEECH THERAPY,440,440,440,123,129,0,0,0,Phase I
2210045,EVAL FOR SPEECH DVC RX-1HR,4780,SPEECH THERAPY,440,440,444,552,"1,026",0,0,0,Phase I
2210060,EVAL SPEECH DVC ADDL 30,4780,SPEECH THERAPY,440,440,444,183,412,0,0,0,Phase I
2210078,EVAL USE / FIT VOICE SPEECH DEVICE,4780,SPEECH THERAPY,440,440,444,260,"1,041",0,0,0,Phase I
2210086,EVALUATE SWALLOWING FUNCT,4780,SPEECH THERAPY,444,444,444,484,843,0,0,0,Phase I
2210094,MOTION FLUOROSCOPY/SWALLOW CINE/VID,4780,SPEECH THERAPY,444,444,444,489,710,0,0,0,Phase I
2210110,"TX SP,LNG,VOIC,AUD,RHAB;IND",4780,SPEECH THERAPY,440,440,440,440,517,6,"2,640","3,102",Phase I
2210136,TX SWALLOW/ORAL DYSFUNC FEED,4780,SPEECH THERAPY,440,440,440,306,388,0,0,0,Phase I
2210144,USE OF SPEECH DEVICE SERVICE,4780,SPEECH THERAPY,440,440,440,313,525,0,0,0,Phase I
2221729,EVAL SPEECH FLUENCY,4780,SPEECH THERAPY,444,444,444,552,637,0,0,0,Phase I
2221737,EVAL SPEECH FLUENCY,4780,SPEECH THERAPY,444,444,444,552,637,0,0,0,Phase I
2221745,EVAL SOUND PRODUCTION,4780,SPEECH THERAPY,444,444,444,283,622,4,"1,132","2,488",Phase I
2221752,EVAL SOUND PRODUCTION,4780,SPEECH THERAPY,444,444,444,283,622,0,0,0,Phase I
2221760,EVAL SP/RECEP/EXP LANG,4780,SPEECH THERAPY,444,444,444,380,774,8,"3,040","6,192",Phase I
2221778,EVAL SP/RECEP/EXP LANG,4780,SPEECH THERAPY,444,444,444,380,774,0,0,0,Phase I
2221786,ANALY VOICE AND RESONANCE,4780,SPEECH THERAPY,444,444,444,455,630,6,"2,730","3,780",Phase I
2221794,ANALY VOICE AND RESONANCE,4780,SPEECH THERAPY,444,444,444,455,630,0,0,0,Phase I
2300010,THER/PROPH/DIAG INJ ADD-ON,4010,EMERGENCY ROOM,450,450,450,315,449,"1,817","572,355","815,833",Phase I
2300028,ER LEVEL I ROOM,4010,EMERGENCY ROOM,450,450,450,571,474,"1,098","626,958","520,452",Phase I
2300036,ER LEVEL II ROOM,4010,EMERGENCY ROOM,450,450,450,758,820,722,"547,276","592,040",Phase I
2300044,ER LEVEL III ROOM,4010,EMERGENCY ROOM,450,450,450,"1,349","1,686","1,488","2,007,312","2,508,768",Phase I
2300051,ER LEVEL IV ROOM,4010,EMERGENCY ROOM,450,450,450,"1,907","2,287","1,569","2,992,083","3,588,303",Phase I
2300077,ER LEVEL V ROOM,4010,EMERGENCY ROOM,450,450,450,"3,430","4,115",644,"2,208,920","2,650,060",Phase I
2300085,ER CRITICAL CARE 30-74MIN,4010,EMERGENCY ROOM,450,450,450,"5,709","7,370",23,"131,307","169,510",Phase I
2300309,INJECTION IM/SQ,4010,EMERGENCY ROOM,450,450,450,152,511,481,"73,112","245,791",Phase I
2300317,INJECTION IV,4010,EMERGENCY ROOM,450,450,450,357,"1,153","1,224","436,968","1,411,272",Phase I
2300333,INJECTION INTRA ARTERIAL,4010,EMERGENCY ROOM,450,450,450,210,475,0,0,0,Phase I
2300341,"HYDRATE IV INFUSION, ADD-ON",4010,EMERGENCY ROOM,450,450,450,315,459,"1,396","439,740","640,764",Phase I
2300390,"HYDRATION IV INFUSION, INIT",4010,EMERGENCY ROOM,450,450,450,511,802,415,"212,065","332,830",Phase I
2300400,ER LEVEL I ROOM W/ PX,4010,EMERGENCY ROOM,450,450,450,571,474,199,"113,629","94,326",Phase I
2300410,ER LEVEL II ROOM W/ PX,4010,EMERGENCY ROOM,450,450,450,758,820,237,"179,646","194,340",Phase I
2300420,ER LEVEL III ROOM W/ PX,4010,EMERGENCY ROOM,450,450,450,"1,349","1,686",139,"187,511","234,354",Phase I
2300430,ER LEVEL IV ROOM W/ PX,4010,EMERGENCY ROOM,450,450,450,"1,907","2,287",51,"97,257","116,637",Phase I
2300440,"THER/PROPH/DIAG IV INF,INIT",4010,EMERGENCY ROOM,450,450,450,511,915,809,"413,399","740,235",Phase I
2300450,ER LEVEL V ROOM W/ PX,4010,EMERGENCY ROOM,450,450,450,"3,430","4,115",39,"133,770","160,485",Phase I
