St. Vincent Medical Center # 106190762,,,
SVMC Dept#,Charge Number,Charge Description, 06/01/18 Default Price 
19,1917962,CATH TRANS ATHERECT DIR (3-3.5K)," $12,658.00 "
19,1918945,CATH TRANS ATHERECT DIR (51-100), $384.00 
18,1817097,CATH TRANS ATHERECT ROTATE (1-1.5K)," $5,158.00 "
18,1817113,CATH TRANS ATHERECT ROTATE (3.5-4K)," $14,533.00 "
19,1917400,CATH TRANS ATHERECT ROTATE (3.5-4K)," $14,533.00 "
13,1302488,CATH TRANS ATHERECT ROTATE (3-3.5K)," $12,658.00 "
18,1817261,CATH TRANS ATHERECT ROTATE (3-3.5K)," $12,658.00 "
19,1917467,CATH TRANS ATHERECT ROTATE (3-3.5K)," $12,658.00 "
13,1302769,CATH TRANS LUM DRUG NL (1.5-2K)," $7,033.00 "
18,1851609,CATH TRANS LUM DRUG NL (1001-1500)," $5,158.00 "
19,1917210,CATH TRANS LUM DRUG NL (1001-1500)," $5,158.00 "
13,1302223,CATH TRANS LUM DRUG NL (1-1.5K)," $5,158.00 "
18,1851625,CATH TRANS LUM DRUG NL (1501-2000)," $7,033.00 "
19,1913821,CATH TRANS LUM DRUG NL (1501-2000)," $7,033.00 "
13,1302751,CATH TRANS LUM DRUG NL (2.5-3K)," $10,783.00 "
13,1302744,CATH TRANS LUM DRUG NL (2-2.5K)," $8,908.00 "
39,3950227,CATH TRAY-FOLEY, $56.00 
03,0337295,CATH VEIN PORTAL PERC ANY METHOD," $6,453.00 "
03,0311043,CATH VENOUS, $778.00 
13,1301274,CATH VENOUS, $778.00 
30,3004868,CATH VENTRICULAR CSF, $894.00 
19,1983097,"CATH, CTO FRONTRUNNER XP CORDI"," $4,125.00 "
13,1302017,"CATH, CXI SUPPORT", $691.00 
18,1803071,"CATH, THERMOCOOL SF NAV F-J BI"," $9,150.00 "
03,0302471,CATH/INTRO SALINE/CONTRAST FOR SIS, $226.00 
04,0425827,CATHETER ALL PURPOSE URETHRAL, $30.00 
19,1981174,CATHETER ANGIOJET," $6,019.00 "
13,1302181,CATHETER APOLLO ONYX  1.5 CM," $7,481.00 "
19,1936533,CATHETER ARTERIAL, $85.00 
30,3005063,CATHETER ARTERIAL, $85.00 
12,1201086,CATHETER ASPIRATION NASOTRACHEAL, $313.00 
29,2900561,CATHETER ASPIRATION NASOTRACHEAL, $313.00 
19,1983139,CATHETER BEACON COOK, $66.00 
18,1801885,CATHETER BI-DIRECTIONAL," $8,820.00 "
19,1932201,CATHETER CHOLANGIOGRAPHY, $185.00 
18,1800085,CATHETER CORSAIR (901-1000)," $4,266.00 "
04,0420778,CATHETER COUDE PLAIN, $88.00 
19,1938844,CATHETER COUNCIL, $148.00 
03,0300715,CATHETER CROSSER FLOWCARDIA," $8,231.00 "
18,1861533,CATHETER EP DEFLECTABLE," $2,270.00 "
13,1302249,CATHETER EV3 REBAR," $1,803.00 "
19,1936053,CATHETER FOGARTY EMBOLECTOMY, $376.00 
19,1938661,CATHETER FOLEY, $93.00 
23,2300317,CATHETER FOLEY, $20.00 
30,3002532,CATHETER FOLEY, $93.00 
19,1911759,CATHETER FOLEY BRD N28307Z, $31.00 
19,1911510,CATHETER FOLEY MEDTRONIC 415590, $35.00 
18,1803733,CATHETER GUIDING (1001-1.5K)," $5,158.00 "
18,1802396,CATHETER GUIDING (101-150), $603.00 
19,1915859,CATHETER GUIDING (101-150), $603.00 
18,1800093,CATHETER GUIDING (11-50), $166.00 
18,1802404,CATHETER GUIDING (11-50), $166.00 
19,1983121,CATHETER GUIDING (11-50), $166.00 
19,1909431,CATHETER GUIDING (1501-2000)," $7,033.00 "
19,1908094,CATHETER GUIDING (151-200), $821.00 
19,1918622,CATHETER GUIDING (2001-2500)," $8,908.00 "
18,1809912,CATHETER GUIDING (201-250), $832.00 
18,1802370,CATHETER GUIDING (251-300)," $1,007.00 "
19,1913490,CATHETER GUIDING (251-300)," $1,007.00 "
18,1861475,CATHETER GUIDING (301-400)," $1,641.00 "
19,1906742,CATHETER GUIDING (301-400)," $1,641.00 "
19,1909068,CATHETER GUIDING (401-500)," $2,079.00 "
18,1802388,CATHETER GUIDING (501-600)," $2,516.00 "
18,1802362,CATHETER GUIDING (51-100), $384.00 
19,1917939,CATHETER GUIDING (51-100), $384.00 
19,1918895,CATHETER GUIDING (601-700)," $2,954.00 "
18,1817139,CATHETER GUIDING (701-800)," $3,391.00 "
13,1302512,CATHETER GUIDING(501-600)," $2,516.00 "
18,1817279,CATHETER IMPELLA (24-25K)," $74,251.00 "
18,1802313,CATHETER INFUSION PERIPH(51-100), $384.00 
19,1943174,CATHETER KIT CVP, $339.00 
30,3007093,CATHETER KIT CVP, $339.00 
19,1907237,CATHETER LUMBAR (11-50), $166.00 
30,3001260,CATHETER LUMBAR (151-200), $821.00 
13,1302173,CATHETER MARATHON," $3,015.00 "
13,1302165,CATHETER MICRO ECHELON 10," $3,321.00 "
18,1803741,CATHETER OCCLUSION (11-50), $166.00 
19,1923382,CATHETER OCCLUSION (1501-2000)," $7,033.00 "
19,1923903,CATHETER OCCLUSION (2001-2500)," $8,908.00 "
18,1809920,CATHETER OCCLUSION (401-500)," $2,079.00 "
18,1809664,CATHETER OCCLUSION (51-100), $384.00 
19,1918903,CATHETER OCCLUSION (801-900)," $3,829.00 "
19,1924877,CATHETER PASSER, $429.00 
19,1938893,CATHETER PERCUT INSERTION SET, $185.00 
30,3006343,CATHETER PERITONEAL, $669.00 
18,1802990,CATHETER PIONEER PLUS," $11,981.00 "
19,1977735,CATHETER SUPPORT QUICKCROSS, $700.00 
19,1939511,CATHETER SWAN GANZ PEDS, $916.00 
18,1809714,CATHETER TURNPIKE (501-600)," $2,516.00 "
18,1801364,CATHETER TURNPIKE (601-700)," $2,954.00 "
18,1817311,CATHETER TURNPIKE (701-800)," $3,391.00 "
19,1917715,CATHETER URETERAL (101-150), $603.00 
19,1934405,CATHETER URETERAL (11-50), $166.00 
18,1817287,CATHETER URETERAL (1501-2000)," $7,033.00 "
19,1935683,CATHETER URETERAL (51-100), $384.00 
19,1926039,CATHETER URETHRAL, $158.00 
19,1937788,CATH-LEFT VENTRICULAR SUMP, $104.00 
19,1921568,CAUTERY BLADE EXTENDER ELECTRODE, $24.00 
30,3003597,CAUTERY BLADE EXTENDER ELECTRODE, $24.00 
19,1926021,CAUTERY EYE PEN, $41.00 
19,1941749,CAUTERY PENCIL (11-50), $166.00 
94,9448002,"CEFAZOLIN 100 MG/ML, 10 ML INJ", $144.00 
94,9447954,CEFAZOLIN 1000 MG INJECTION, $75.00 
94,9465972,CEFAZOLIN 2G/20ML SYRINGE, $173.00 
94,9447988,CEFAZOLIN 500MG INJECTION, $47.00 
94,9401159,CEFEPIME 1000 MG INJECTION, $137.00 
94,9401167,CEFEPIME 2000MG INJECTION, $81.25 
94,9448028,CEFOTAXIME 1G INJECTION, $67.50 
94,9448069,CEFOXITIN 1G INJECTION, $76.25 
94,9448077,CEFOXITIN 2G INJECTION, $201.25 
94,9452921,CEFTAROLINE 400MG INJ, $355.00 
94,9452939,CEFTAROLINE 600MG INJ, $355.00 
94,9448085,CEFTAZIDIME 1000MG INJECTION, $82.00 
94,9448754,CEFTAZIDIME 2000MG INJECTION, $135.00 
94,9463233,CEFTAZIDIME 2GM-AVIBATAM 0.5GM INJ," $1,305.00 "
94,9463159,CEFTOLOZANE-TAZOBACTAM 1.5GR INJ, $458.75 
94,9448473,CEFTRIAXONE 1000 MG INJECTION, $135.00 
94,9448481,CEFTRIAXONE 1G PB, $290.00 
94,9465980,CEFTRIAXONE 1G/10ML SYRINGE, $200.00 
94,9448499,CEFTRIAXONE 2000 MG INJECTION, $178.75 
94,9401233,CEFTRIAXONE 250MG INJECTION, $106.25 
94,9448135,"CEFUROXIME 1,500 MG INJECTION", $98.75 
94,9448150,CEFUROXIME 750MG INJECTION, $43.75 
94,9424888,CEFUROXIME AXETIL 500MG TABLET, $63.00 
94,9424896,CELECOXIB 100MG CAPSULE, $43.00 
94,9424904,CELECOXIB 200MG CAPSULE, $66.25 
31,3101631,CELESTONE SOLUSP 30MG/5ML INJ, $176.00 
94,9401498,CELESTONE SOLUSP 30MG/5ML INJ, $222.50 
01,0107391,CELL COUNT BODY FLUID NO BLD W/DIFF, $192.00 
01,0127647,CELL COUNT MISCELANEOUS BODY FLUIDS, $159.00 
01,0139030,CELL COUNT MISCELANEOUS BODY FLUIDS, $159.00 
19,1905140,CELL SAVE ALL BAGS, $79.00 
30,3005873,CELL SAVE BOWL, $690.00 
19,1905173,CELL SAVER ANTICOAGULANT LINE AA, $186.00 
30,3005915,CELL SAVER ANTICOAGULANT LINE AA, $186.00 
19,1905116,CELL SAVER BOWL, $690.00 
94,9461369,CELLULOSE OXIDIZED 4X4, $748.00 
03,0311522,CEMENT, $403.00 
19,1938067,CEMENT BOWL, $356.00 
19,1934363,CEMENT BUCK RESTRICT FEM, $350.00 
19,1910587,CEMENT MIXER (101-150), $603.00 
19,1933845,CEMENT MIXER (151-200), $821.00 
19,1921378,CEMENT MIXER (201-250), $832.00 
19,1909209,CEMENT MIXER (251-300)," $1,007.00 "
19,1918648,CEMENT MIXER (301-400)," $1,641.00 "
19,1970938,CEMENT NOZZLE (401-500)," $2,079.00 "
94,9408980,CEPASTAT SORE THROAT LOZENGE, $1.25 
94,9424938,CEPHALEXIN 2.5G/100ML SUSP, $157.00 
94,9424946,CEPHALEXIN 250MG CAPSULE, $8.75 
94,9424961,CEPHALEXIN 500MG CAPSULE, $32.00 
02,0204131,CEREBRAL BLOOD FLOW," $3,416.00 "
19,1978790,CERVICAL COLLAR FOAM ZIMMER, $26.00 
03,0301762,CESSJ THERAPY CATH REMOVAL SUB DAY," $5,925.00 "
94,9424987,CETACAINE SPRAY 56G, $303.75 
94,9425018,CETIRIZINE 10MG TABLET, $25.00 
94,9453127,CETUXIMAB 2MG/ML INJ 100ML VIAL," $4,797.50 "
94,9425059,CETYLPYRIDINIUM CHLORIDE LOZ, $23.75 
12,1203546,CHANGE GASTROSTOMY TUBE NO IMG/GUDE," $1,814.00 "
03,0336412,CHANGE PERC TUBE/DRAIN CATH W/DYE," $1,222.00 "
13,1300730,CHANGE PERC TUBE/DRAIN CATH W/DYE," $1,222.00 "
18,1801224,CHECK FLO MULLINS INTRODR, $351.00 
24,2400521,CHEMO ADMIN DRIP 1ST HR," $1,972.00 "
24,2400919,CHEMO ADMIN DRIP ADDL HR, $729.00 
08,0811505,CHEMO HORMONAL ANTINEOPL SUBQ/IM, $517.00 
24,2401032,"CHEMO INJ IM/SQ, HORMONAL", $517.00 
24,2400844,"CHEMO INJ IM/SQ,NON-HORMONAL", $517.00 
24,2401040,"CHEMO PUSH, ADD'L", $601.00 
24,2400851,"CHEMO PUSH,SINGLE"," $1,524.00 "
29,2920965,CHEST WALL MANIPULATION INITIAL, $672.00 
29,2900397,CHEST WALL MANIPULATION-SUBSEQUENT, $572.00 
94,9425240,CHLORDIAZEPOXIDE 10MG CAPSULE, $10.00 
94,9425257,CHLORDIAZEPOXIDE 25MG CAPSULE, $11.25 
94,9425232,CHLORDIAZEPOXIDE 5MG CAPSULE, $21.25 
94,9425307,CHLOROTHIAZIDE 250MG TABLET, $8.75 
94,9402181,CHLOROTHIAZIDE 500MG INJECTION," $1,362.50 "
94,9425331,CHLORPHENIRAMINE 4MG TABLET, $8.00 
94,9409012,CHLORPROMAZINE 10MG TABLET, $18.75 
94,9409046,CHLORPROMAZINE 25MG TABLET, $22.00 
94,9404286,CHLORPROMAZINE 25MG/ML INJ, $152.50 
94,9409053,CHLORPROMAZINE 50MG TABLET, $28.00 
94,9404302,CHLORPROMAZINE 50MG/2ML INJ, $155.00 
94,9409087,CHLORTHALIDONE 25MG TABLET, $15.00 
94,9409095,CHLORTHALIDONE 50MG TABLET, $16.25 
94,9449372,CHOLECALCIFEROL 1000 UNIT TAB, $8.00 
94,9436767,CHOLECALCIFEROL 400U TABLET, $8.00 
94,9409137,CHOLESTYRAMINE 4G POWDER PCKT, $43.00 
94,9409178,CILOSTAZOL 100MG TABLET, $21.25 
94,9409160,CILOSTAZOL 50MG TABLET, $21.25 
94,9409236,CINACALCET 30MG TABLET, $125.00 
94,9409244,CINACALCET 60MG TABLET, $215.00 
94,9401704,CIPRO 200MG/100ML D5W PREMIX, $106.25 
94,9448689,CIPRO 400MG/200ML PREMIX INJ, $237.50 
94,9409277,CIPRODEX 0.3%-0.1% OTIC 7.5ML, $705.00 
94,9409285,CIPROFLOXACIN 0.3% OPHTH 2.5ML, $148.00 
94,9409293,CIPROFLOXACIN 0.3% OPHTH 3.5G, $566.25 
94,9409301,CIPROFLOXACIN 0.3% OPHTH 5ML, $420.00 
94,9409319,CIPROFLOXACIN 250MG TABLET, $46.25 
94,9408147,CISATRACURIUM 10MG/5ML INJ, $128.75 
94,9405267,CISPLATIN 100MG/100ML INJ, $362.00 
94,9405275,CISPLATIN 50MG/50ML INJECTION MDV, $257.00 
94,9409350,CITALOPRAM 10MG TABLET, $24.00 
94,9409368,CITALOPRAM 20MG TABLET, $27.00 
94,9425398,CITRACAL 950MG TABLET, $8.00 
94,9405911,CITRATE OF MAGNESIUM SOL 300ML, $32.00 
94,9405283,CLADRIBINE 10MG/10ML INJ," $1,925.00 "
94,9409392,CLARITHROMYCIN 250MG TABLET, $57.00 
94,9409400,CLARITHROMYCIN 500MG TABLET, $42.00 
94,9448671,CLARITHROMYCIN 500MG TABLET, $42.00 
94,9408162,CLINDAMYCIN 1% SOLUTION 60ML, $473.75 
94,9408170,CLINDAMYCIN 1% TOP SOL 30ML, $91.25 
94,9409467,CLINDAMYCIN 150MG CAPSULE, $12.50 
94,9409475,CLINDAMYCIN 2% CREAM 40GM, $513.75 
94,9409483,CLINDAMYCIN 300MG CAPSULE, $17.00 
94,9408196,CLINDAMYCIN 300MG/2ML INJ, $48.00 
94,9408212,CLINDAMYCIN 600MG/4ML INJ, $84.00 
94,9408279,CLINDAMYCIN 600MG/D5W 50ML BAG, $206.25 
94,9408246,CLINDAMYCIN 900MG/6ML INJ, $98.00 
94,9408287,CLINDAMYCIN 900MG/D5W 50ML BAG, $216.25 
30,3050846,CLIP ANEURYSM (401-500)," $2,079.00 "
19,1921105,CLIP GUN, $576.00 
54,5400478,CLIP IMPLANTABLE BARD, $263.00 
03,0357277,CLIP IMPLANTABLE HYDROMARK, $263.00 
03,0357269,CLIP IMPLANTABLE TRIMARK, $272.00 
19,1932581,CLIP LAPAROSCOPIC, $626.00 
19,1938885,CLIP RANEY SCALP, $86.00 
23,2300507,CLIP RESOLUTION BOST SCI, $585.00 
30,3002656,CLIP SCALP (11-50), $166.00 
19,1939602,CLIP SURGI, $240.00 
19,1931492,CLIPPER HEAD 3M, $19.00 
30,3002078,CLIPS RANEY, $79.00 
94,9409491,CLOBETASOL 0.05% CREAM 15GM, $321.25 
94,9449638,"CLOBETASOL 0.05% CREAM, 30G", $985.00 
94,9409517,CLOBETASOL 0.05% OINTMENT 15G, $606.25 
94,9409525,CLOBETASOL 0.05% OINTMENT 30G, $997.00 
94,9460791,CLOBETASOL 0.05% TOP SOLN 50ML, $221.25 
94,9409608,CLONAZEPAM 0.5MG TABLET, $12.50 
94,9409582,CLONAZEPAM 1MG TABLET, $13.75 
94,9409616,CLONIDINE 0.1MG TABLET, $10.00 
94,9409624,CLONIDINE 0.1MG/24 HR PATCH, $288.75 
94,9409632,CLONIDINE 0.2MG TABLET, $10.00 
94,9409640,CLONIDINE 0.2MG/24 HR PATCH, $450.00 
94,9409657,CLONIDINE 0.3MG TABLET, $37.00 
94,9409665,CLONIDINE 0.3MG/24 HR PATCH, $525.00 
94,9409681,CLOPIDOGREL 300MG TABLET, $162.50 
94,9409673,CLOPIDOGREL 75MG TABLET, $38.00 
94,9409715,CLORAZEPATE 7.5MG TABLET, $41.25 
03,0301010,CLOSURE DEVICE ARTERIAL, $821.00 
13,1300946,CLOSURE DEVICE ARTERIAL, $821.00 
19,1975283,CLOSURE FAST KIT (1001-1500)," $5,158.00 "
48,4800884,CLOT FACTOR II PROTHROMBIN SPEC [AP, $14.14 
48,4803896,CLOT FACTOR IX PTC/CHRISTMAS [AP, $20.73 
48,4800892,CLOT FACTOR V LIABLE FACTOR [AP, $19.21 
48,4800918,CLOT FACTOR VII PROCONVERTIN [AP, $19.80 
48,4800926,CLOT FACTOR VIII AHG 1-STAGE [AP, $15.98 
48,4804019,CLOT FACTOR VIII VW ANTIGEN [AP, $24.98 
48,4804027,CLOT FACTOR VIII VW RISTO CF [AP, $24.98 
48,4800934,CLOT FACTOR X STUART-PROWER [AP, $19.50 
48,4802096,CLOT INHIBIT PROT S FREE [AP, $16.68 
48,4802070,CLOT INHIBIT PROTEIN C ACTIVITY [AP, $15.06 
48,4802088,CLOT INHIBIT PROTEIN C ANTIGEN [AP, $13.08 
48,4802104,CLOT INHIBIT PROTEIN S TOTAL [AP, $12.63 
94,9409723,CLOTRIMAZOLE 1% CREAM 15G, $135.00 
94,9409731,CLOTRIMAZOLE 1% CREAM 30G, $197.00 
94,9408303,CLOTRIMAZOLE 1% TOP SOL 10ML, $152.00 
94,9408311,CLOTRIMAZOLE 1% TOP SOL 30ML, $110.00 
94,9409756,CLOTRIMAZOLE 1% VAG CREAM 45G, $91.25 
94,9409772,CLOTRIMAZOLE 10MG TROCHE, $20.00 
94,9409780,CLOTRIMAZOLE-BETAMET CREAM 15G, $260.00 
94,9409798,CLOTRIMAZOLE-BETAMET CREAM 45G, $345.00 
18,1841105,COAGULATION TIME ACTIVATED (ACT), $223.00 
94,9408345,COCAINE 4% TOP SOLUTION 4ML, $673.00 
30,3004959,COCHLEAR DEV INT/EXT COM (18-19K)," $56,251.00 "
30,3001054,COCHLEAR DEV INT/EXT COMP (17-18K)," $53,251.00 "
30,3003407,COCHLEAR DEV INT/EXT COMP (19-20K)," $59,251.00 "
30,3003415,COCHLEAR DEV INT/EXT COMP (20-21K)," $62,251.00 "
30,3000262,COCHLEAR DEV INT/EXT COMP (21-22K))," $65,251.00 "
30,3002870,COCHLEAR DEV INT/EXT COMP (26-27K)," $80,251.00 "
30,3001062,COCHLEAR DEV INT/EXT COMP (27-28K)," $83,251.00 "
30,3003399,COCHLEAR DEV INT/EXT COMP (28-29K)," $86,251.00 "
30,3050606,COCHLEAR DEV INT/EXT COMP (3.5-4K)," $14,533.00 "
30,3002888,COCHLEAR DEV INT/EXT COMP (30-31K)," $92,251.00 "
30,3003282,COCHLEAR DEV INT/EXT COMP (31-32K)," $95,251.00 "
30,3001021,COCHLEAR DEV INT/EXT COMP (32-33K)," $98,251.00 "
30,3000254,COCHLEAR DEV INT/EXT COMP (3-3.5K)," $12,658.00 "
30,3002862,COCHLEAR DEV INT/EXT COMP (33-34K)," $101,251.00 "
30,3050705,COCHLEAR DEV INT/EXT COMP (34-35K)," $104,251.00 "
94,9409921,COENZYME Q-10 100MG CAPSULE, $11.25 
25,2522498,COGNITIVE PERF TEST-STRD, $402.00 
13,1302298,COIL (1501-2000)," $7,033.00 "
13,1302306,COIL DEPLOYMENT DEVICE (251-300)," $1,007.00 "
19,1924158,COIL EMBOLIZATION (2501-3000)," $10,783.00 "
19,1917731,COIL EMBOLIZATION (51-100), $384.00 
19,1924067,COIL EMBOLIZATION (601-700)," $2,954.00 "
19,1918432,COIL EMBOLIZATION (701-800)," $3,391.00 "
19,1918440,COIL EMBOLIZATION (801-900)," $3,829.00 "
13,1302231,COIL EV3 HELIX EMBO," $3,040.00 "
03,0301291,COIL INTERLOCK LARGE," $3,150.00 "
03,0301283,COIL INTERLOCK MEDIUM," $2,625.00 "
03,0301275,COIL INTERLOCK SMALL," $1,664.00 "
19,1913185,COIL OCCLUSION (401-500)," $2,079.00 "
19,1913193,COIL OCCLUSION (901-1000)," $4,266.00 "
03,0311498,COIL PUSHCER, $521.00 
03,0311472,COILS BASIC, $286.00 
13,1301589,COILS BASIC, $286.00 
03,0311480,COILS HIGH END," $1,091.00 "
13,1301597,COILS HIGH END," $1,091.00 "
13,1302009,"COILS, INTERLOCK DETACHABLES"," $2,123.00 "
94,9409954,COLCHICINE 0.6MG TABLET, $54.00 
48,4800603,COLD AGGLUTININ TITER [AP, $8.78 
94,9409962,COLESEVELAM 625MG TABLET, $25.00 
94,9401753,COLISTIMETHATE 150MG INJ, $317.00 
19,1917533,COLLAGEN MATRIX NEUROMEND 2.5CM (5)," $6,866.00 "
94,9410002,COLLAGENASE 250U OINTMENT 15G, $307.50 
94,9410010,COLLAGENASE 250U/G OINT 30G, $858.75 
12,1215045,COLLAR  CERVICAL FOAM, $20.00 
19,1943836,COLLAR ASPEN," $1,789.00 "
04,0410993,COLLAR CERVICAL, $453.00 
12,1215037,COLLAR CERVICAL ASPEN, $90.00 
19,1900372,"COLLAR, CERVICAL   .", $90.00 
12,1204304,COLLECT BLOOD FROM PICC NOS, $528.00 
12,1204056,COLLECT CAPILLARY BLOOD, $93.00 
01,0190256,COLLECT VENOUS BLOOD/VENIPUNCTURE, $93.00 
12,1201045,COLLECT VENOUS BLOOD/VENIPUNCTURE, $93.00 
13,1302785,COLLECT VENOUS BLOOD/VENIPUNCTURE, $93.00 
23,2310654,COLO THRU STOMA-W/SNARE POLYP," $4,786.00 "
23,2300200,COLON WALLSTENT," $9,266.00 "
23,2310613,COLONOSCOPY THRU STOMA-DX," $3,588.00 "
23,2310621,COLONOSCOPY THRU STOMA-W/BX," $3,989.00 "
23,2300440,COLONOSCOPY VIA STOMA W/REM FB," $2,789.00 "
23,2300697,COLONOSCOPY W/ INJ," $4,014.00 "
23,2300705,COLONOSCOPY W/BALLN DILAT," $4,014.00 "
23,2310365,"COLONOSCOPY-DX,FLEX,W/WO SPEC"," $3,189.00 "
23,2310373,"COLONOSCOPY-FLEX,W/ABLATION"," $5,979.00 "
23,2310746,COLONOSCOPY-W/BX," $3,989.00 "
23,2310753,COLONOSCOPY-W/CONTR BLEED," $5,979.00 "
23,2310738,COLONOSCOPY-W/FB REMOVAL," $4,786.00 "
23,2310779,COLONOSCOPY-W/POLYP," $4,786.00 "
23,2310308,"COLONOSCPY-THRU STOMA,W/ABLAT"," $5,979.00 "
09,0900068,COLOR FLOW," $1,151.00 "
01,0107557,COLORECTAL CANCER SCREEN 1-3 SIMUL, $69.00 
94,9466194,COLY-MYCIN S OTIC SUSP 10ML, $886.00 
94,9459090,COMBIVENT INHALER 4GR," $1,278.00 "
05,0520023,COMM/WORK INTEGRATION, $230.00 
06,0630020,COMMUN/WORK INTEGRATION, $230.00 
25,2522464,COMMUN/WORK INTEGRATION, $230.00 
18,1810365,COMP EPS W/O INDUCTION," $13,712.00 "
18,1840628,COMP EPS/W INDUCTION," $17,121.00 "
19,1917335,COMPATABLE ECG LEAD SET (51-100), $384.00 
41,4100053,COMPATIBILITY TEST EA UN SPIN TEQ, $405.00 
48,4800645,COMPLEMENT ANTIGEN EA COMP [AP, $10.51 
48,4800652,COMPLEMENT ANTIGEN EA COMP [AP, $10.51 
48,4800660,COMPLEMENT ANTIGEN EA COMP [AP, $10.51 
48,4803870,COMPLEMENT ANTIGEN EA COMP [AP, $10.51 
48,4800637,COMPLEMENT TOTAL HEMOLYTIC CH50 [AP, $22.12 
94,9463456,COMPLERA 200-25-300MG TABLET, $392.00 
12,1206754,COMPLEX PROCEDURE(S)-ER," $3,500.00 "
19,1918002,COMPOSITE DRESSING (11-50), $166.00 
01,0121087,COMPREHENSIVE METABOLIC PANEL, $594.00 
04,0433623,COMPRESSION SLEEVE, $605.00 
48,4803409,CONCENTRATION FOR INFECT AGENT [AP, $185.00 
48,4804670,CONCENTRATION FOR INFECT AGENT [FOC, $76.71 
12,1203751,CONCURRENT INFUSION, $464.00 
27,2701381,CONCURRENT INFUSION 4ICU, $464.00 
27,2700979,CONCURRENT INFUSION 6MS, $464.00 
27,2700805,CONCURRENT INFUSION 7MS, $464.00 
27,2700631,CONCURRENT INFUSION TELE, $464.00 
19,1921436,CONFORMERS OPTHALMIC (11-50), $166.00 
19,1935535,CONN TISS HUMAN W/FASCIA (1.5-2K)," $7,033.00 "
19,1911395,CONN TISS HUMAN W/FASCIA (251-300)," $1,007.00 "
19,1916428,CONN TISS HUMAN W/FASCIA (501-600)," $2,516.00 "
19,1912492,CONN TISS HUMAN W/FASCIA (9.5-10K)," $29,626.00 "
30,3051448,CONNECTIVE TISSUE NON-HUMN, $861.00 
30,3051463,CONNECTIVE TISSUE NON-HUMN," $1,547.00 "
30,3051471,CONNECTIVE TISSUE NON-HUMN," $2,321.00 "
30,3001732,CONNECTIVE TISSUE NON-HUMN(101-150), $603.00 
30,3051489,CONNECTIVE TISSUE NON-HUMN(201-250), $832.00 
30,3051455,CONNECTIVE TISSUE NON-HUMN(401-500)," $2,079.00 "
19,1900158,CONNECTIVE TISSUE NON-HUMN(801-900)," $3,829.00 "
19,1943760,CONNECTOR BLAKE CARDIO, $33.00 
19,1902857,CONNECTOR ST., $68.00 
19,1902865,CONNECTOR Y., $44.00 
19,1937242,CONNECTOR/EXTENSION SETS ALL, $28.00 
19,1902907,"CONNETOR, M-M", $23.00 
47,4705067,CONSULTATION AND RPT REF SLIDES, $147.00 
12,1204163,CONT PRESSURE CPAP INIT & MGMT," $4,131.00 "
29,2900033,CONT PRESSURE CPAP INIT & MGMT INIT," $4,131.00 "
29,2900538,CONT PRESSURE CPAP INIT & MGMT INIT," $4,131.00 "
29,2900892,CONT PRESSURE CPAP INIT & MGMT INIT," $4,131.00 "
29,2900520,CONT PRESSURE CPAP INIT & MGMT SUB," $4,131.00 "
29,2900546,CONT PRESSURE CPAP INIT & MGMT SUB," $4,131.00 "
29,2900900,CONT PRESSURE CPAP INIT & MGMT SUB," $4,131.00 "
03,0311514,CONTAINER VACUUM ASSI BX, $61.00 
18,1801372,CONTAMINATION SLEEVE, $39.00 
12,1204239,CONTIN NEB INITIAL HR, $493.00 
29,2900876,CONTIN NEB INITIAL HR, $493.00 
04,0439976,CONTINU-FLO SET, $20.00 
08,0810283,CONTINUING MEDICAL PHYSICS CONSULT," $1,364.00 "
09,0900142,CONTRAST WITH ECHO, $271.00 
18,1802081,COOK C2 CATHETER, $71.00 
18,1802065,COOK RIM CATHETER, $76.00 
18,1802099,COOK RUC CATHETER, $71.00 
18,1802032,COOK TOMADO COIL (801-900)," $3,829.00 "
18,1802057,COOK TORQUE DEVICE, $34.00 
18,1862085,COOL FLOW PUMP TUBING, $284.00 
41,4101770,COOMBS TEST DIRECT EA ANTISERUM, $179.00 
19,1917285,"CORD ACTIVE ELITE, DISP", $84.00 
19,1923325,COR-KNOT MINI DEVICE KIT," $3,829.00 "
19,1923333,COR-KNOT QUICK LOAD SINGLE KNOT, $175.00 
19,1918051,CORNEA TISSUE (3001-3500)," $12,658.00 "
19,1978246,CORNEA TISSUE (3501-4000)," $14,533.00 "
19,1914878,CORNEAL PATCH GRAFT 1/2 TISSUE, $998.00 
18,1870625,CORONARY ART/GRFT ANGIO S&I," $15,930.00 "
18,1870633,CORONARY ARTERY ANGIO S&I," $14,026.00 "
18,1800036,CORONARY GUIDE CATHETERS, $746.00 
18,1862093,CORONARY MECH THROBECTOMY," $10,475.00 "
19,1973577,CORTICAL STRUT ALLOSOURCE," $2,777.00 "
01,0103580,CORTISOL TOTAL, $267.00 
48,4800694,CORTISOL TOTAL [AP, $14.70 
94,9425430,CORTISPORIN OINTMENT 15G, $413.75 
94,9410051,CORTISPORIN OPHTH OINT 3.5G, $307.50 
94,9429903,CORTISPORIN OPHTH SUSP 7.5ML, $553.75 
94,9408378,CORTISPORIN OTIC SOL 10ML, $177.00 
94,9410077,CORTISPORIN OTIC SUSP 10ML, $177.00 
19,1901842,"COSEAL, KIT ACCESSORY", $239.00 
