Procedure ID,Description,Amount
612368,SCREW BN BLT 6.5X50 SPNL,13677
612369,SCREW BN TI L13MM OD4MM ,8167
612370,SCREW BONE L13MM OD4MM  ,3936
612371,SCREW BNE 40X6.5 POLY   ,28854
612372,SCREW BNE L40 OD6.5 PA  ,28854
612373,SCREW BN SPN 45X6.5 PA  ,14169
612374,SCREW BN L13MM OD4.5MM  ,4057
612375,SCREW BN SPN 5.5X28 HALO,8462
612376,SCREW BN SPN 6.5X28 HALO,8462
612377,SCREW BN SPN 6.5X30 HALO,8462
612378,SCREW BN SPN 6.5X34 HALO,11315
612379,SCREW 15X4 CSPN SLFDRL  ,4352
612380,SCREW BN 4.0X15 FX HKX  ,7872
612381,SCREW SPHERX2 6.5X35    ,26820
612384,SCREW BN SPN 45X7.5 PA  ,14169
612398,SCREW BN L10MM SPHRXII  ,1131
612399,SCREW BN SPN 40X6.5 PA  ,14169
612401,SCREW BN SPN 50X6.5 PA  ,14169
612405,TACKS TEMPORARY BONE    ,3595
612407,WIRE FX SS KRSH BVL TIP ,2445
612412,SLEEVE DRL 7MM 3.2MM CAN,3184
612413,SCREW CONICAL 7.3 CANN 8,3270
612429,CLAMP MULTI-PIN LG EXFIX,7564
612430,CLAMP ADJOPN MRI SF EXFX,6867
612447,FIXATOR DISTAL RAD SCHAN,15606
612453,PLATE T 1.3 3 HOLE HEAD ,2857
612456,PLATE 1.5 TI T/3 HL 40  ,2857
612460,PLATE 1.5 TT 446.031    ,2473
612461,PLATE TI 4HL 24X5.5X1.25,2978
612463,PLATE TI 2 MM SCR 8 HL L,3764
612468,PLATE T 2.0 3 HOLE HEAD ,3253
612469,PLATE 2.0 TI 3X8 48MM   ,4778
612470,PLATE TI 2.4 MM SCR 4 HL,3930
612471,PLATE TI 2.4 MM SCR 6 HL,4407
612475,PLATE TI STR 2.4 6HL    ,2978
612479,PLATE LCP 7-HOLEX81     ,2231
612480,PLATE LCP 3.5MM 223.621 ,4935
612481,PLATE LCP 3.5MM 223.571 ,3981
612482,PLATE 3.5LCP3H HEAD/SHAF,4344
612486,PLATE 3.5LCP3H HEAD/5SHA,4749
612488,PLATE 3.5LCP3H HEAD/3SHA,4334
612489,PLATE 3.5LCP3H HEAD/5SHA,4728
612491,PLATE 3.5LCP 4H HEAD/SHA,3992
612497,PLATE BROAD LCP 4.5MM 8 ,6511
612498,PLATE BROAD LCP 4.5MM 9 ,7050
612499,PLATE BROAD LCP 4.5MM 11,8066
612500,PLATE BROAD LCP 4.5MM 12,8553
612501,PLATE BROAD LCP 4.5MM 14,9538
612503,PLATE LCP14HL 189X11X3.4,7413
612504,PLATE LCP SS 6HL        ,4697
612505,PLATE LCP SS 7HL        ,5433
612506,PLATE NARROW LCP 4.5MM 8,5744
612507,PLATE NAR 188MM SS 4.5MM,6542
612514,PLATE LCP 12-HOLEX141   ,2429
612515,PLATE DISTAL RADIUS 48MM,9590
612516,PLATE BONE LCP 2.4 X 65 ,10220
612517,PLATE DISTAL RADIUS 66MM,10160
612518,PLATE LCP DIST RADIUS 5 ,9590
612519,PLATE BONE LCP 2.4 X 65M,10160
612520,PLATE VOLAR DIS RAD EX-A,10160
612530,PLATE L 2.4 LCP 2H/4H -9,4925
612531,PLATE DISTAL RADIUS VOLA,9198
612532,PLATE BNE SS SHRT 2.4MM ,9590
612533,PLATE DISTAL RADIUS VOLA,8276
612534,PLATE DISTAL RADIUS 2.4 ,9642
612535,PLATE BNE 316L SS LNG LC,5464
612536,PLATE STR 2.4 LCP SHORT ,5184
612537,PLATE T 2.4 LCP 3H/3H   ,4932
612538,PLATE T 2.4 LCP 3H/4H   ,5732
612541,PLATE NAR 142MM TI 4.5MM,2352
612542,PLATE LCP PROXHUM 6H/5H ,18465
612543,COVER BUR HL .5MM 17MM C,3481
612546,ROD EX FIX ATTACHMENT   ,5304
612548,SCREW CRTX TI 1.5X18    ,650
612549,SCREW CORT 2.0 14       ,557
612550,SCREW CORT 2.0 18       ,557
612551,SCREW CORT 2.0 20       ,557
612552,SCREW CORT TI 2.0 TAP24 ,557
612553,SCREW CORT TI 2.0 TAP26 ,557
612554,SCREW CORT TI 2.0 TAP28 ,557
612555,SCREW CORT TI 2.0 AP30  ,625
612556,SCREW CORT TI 2.0 TAP32 ,557
612560,SCREW CORT TI 2.0 TAP6  ,557
612561,SCREW CORT TI 2.0 TAP11 ,557
612562,SCREW CORT 2.0 12       ,557
612563,SCREW CRNMXF 10X2X3.5MM ,557
612564,SCREW TI CORT 2.0X7     ,557
612565,SCREW CORT TT ST 2.0 X 8,557
612566,SCREW 2.0 TI CORT       ,557
612567,SCREW CORT 2.4 18       ,1074
612570,SCREW CORT 2.7 10       ,474
612571,SCREW CORT 2.7 12       ,474
612572,SCREW CORT 2.7 14       ,474
612573,SCREW CORT DCP 2.7X16MM ,474
612574,SCREW CORTEX 202.818    ,474
612575,SCREW BN 2.7X20MM DCP   ,436
612576,SCREW CORT DCP 2.7X22MM ,436
612577,SCREW CORTEX 2.7MM S/T 2,436
612578,SCREW CORTEX 202.826    ,474
612579,SCREW CORTEX 2.7X28 202.,436
612580,SCREW CRTX SFTP 2.7X30MM,440
612581,SCREW CORTEX 2.7X40 202.,436
612582,SCREW LOCKING 212.123   ,1572
612583,SCREW LOCKING 3.5X10 212,1572
612584,SCREW LCP 3.5X24 STRDR  ,1572
612585,SCREW LOCKING 3.5X38 212,1572
612586,SCREW LOCKING 3.5X45 212,1572
612587,SCREW LCP 3.5X50 STRDR  ,1572
612588,SCREW LOCKING 3.5X60 212,1572
612589,SCREW BN CAN 4X6X60X15MM,218
612590,SCREW CANN 4.0X34       ,2495
612591,SCREW LCP CANN 4.0X36MM ,2495
612592,SCREW CANN 4.0 X 40 SH/T,2495
612593,SCREW CANN 4.0X46       ,2495
612594,SCREW CANN 4.0X48       ,2495
612595,SCREW CANN 4.0X50       ,2495
612596,SCREW CANN 4.0X38       ,2495
612597,SCREW CANN LCP 4X42MM   ,2495
612598,SCREW CANC 6.5X100X16   ,431
612599,SCREW CANC 6.5X105X16   ,431
612600,SCREW CANC 6.5X110X16   ,431
612601,SCREW CANC 6.5X60X16    ,389
612602,SCREW CANC 6.5X70X16    ,436
612603,PLATE 2.4 DIS RAD L-PT -,4511
612607,HEAD FEM CUP-28 53MM BP ,6558
612609,LIGASURE CURV 18CM13.5MM,7839
612610,NAIL IM TI 380MM OD12MM ,17239
612611,BLADE FIXTN TI L105MM OD,6359
612612,BLADE FIXTN TI 11X95MM T,6359
612614,GWIRE 3.2X400           ,1978
612615,BLADE FIXTN TI L100MM OD,6359
612617,SCREW LOCK 04.005.522S  ,2326
612620,SET EXT TRPL MAC LF 6IN ,104
612621,STOPCOCK IV 4W LG BORE  ,48
612622,KIT TRNSDR VAMP 84IN    ,1195
612624,KIT CATH SLSKR ONQ 7.5IN,2376
612632,CATH BLNOCC .035IN L120C,6382
612641,MESH FST SRGSIS .6X9.5  ,11047
612644,VALVE VENT PRFSN LH130  ,911
612646,INSERT ACTB X3 TRDNT 36E,10930
612648,SCREW LOCKING 12MMX2.4MM,1440
612651,SCREW 7.3X130 TI CN     ,3270
612652,SCREW CORT 3.5X10       ,285
612654,SCREW BN 4.0 TI THRD 30M,2495
612655,SCREW EXFX SCHNZ4X3X80MM,2416
612656,SCREW BN CANC SM 4X60MM ,230
612658,SCREW BN LCK 5X4.4X14MM ,1846
612660,SCREW BNE CANC 6.5X80   ,436
612662,SCREW 4.0 TI CANC BNE   ,271
612663,SCREW BN CANC SM 4X55MM ,230
612664,SCREW CORT TT 4.5X56    ,395
612665,SCREW BN TI 4.5MM L32MM ,2538
612666,SCREW CANC TT 6.5X65 PT ,538
612674,SCREW LOCKING 2.4 X 8MM ,1440
612675,SCREW BN LCK 5X4.4X16MM ,1846
612676,SCREW BN LCK 5X18MM     ,1846
612677,SCREW BN LCK 5X20MM     ,1846
612678,SCREW BN LCK 5X22MM     ,1846
612679,SCREW BN LCK 5X26MM     ,1846
612680,SCREW BN LCK 5X28MM     ,1846
612681,SCREW BN LCK 5X30MM     ,1846
612682,SCREW BN LCK 5X32MM     ,1846
612683,SCREW BN LCK 5X34MM     ,1846
612684,SCREW BN LCK 5X36MM     ,1846
612685,SCREW CORTEX 2.7X38 202.,436
612686,SCREW BN LCK 5X38MM     ,1846
612687,SCREW BN LCK 5X4.4X40MM ,1846
612688,SCREW BN LCK 5X42MM     ,1846
612689,SCREW BN LCK 5X44MM     ,1846
612690,SCREW CORTEX 2.7X45 202.,436
612691,SCREW BN LCK 5X46MM     ,1846
612692,SCREW BN LCK 5X48MM     ,1846
612693,SCREW COR 2.7 SLFTP 50  ,436
612696,SCREW BN LCK 5X60MM     ,1846
612697,SCREW BN LCK 5X65MM     ,1846
612700,SCREW BN LCK 5X4.4X80MM ,1846
612703,SCREW MLR 4.5X50        ,463
612704,SCREW CORT 3.5 35       ,237
612705,SCREW CANC 4.0 28       ,209
612709,SCREW CANN 4.5X20 414.  ,2538
612711,SCREW BNE CANC 4.0X16   ,218
612713,SCREW BNE CANC 6.5MMX25M,436
612714,SCREW BNE CORT 3.5X60   ,285
612715,SCREW CORTEX 3.5X65MM   ,285
612716,SCREW DCP HEX 3.5X70MM  ,285
612717,SCREW CORTEX 3.5X75MM   ,285
612718,SCREW CORTEX 3.5X80MM   ,314
612719,SCREW CORTEX 3.5X85MM   ,285
612720,SCREW CORTEX 3.5X90MM   ,285
612722,SCREW CORT 4.5 TI 70    ,345
612723,SCREW CORTEX 2.4 X 10MM ,720
612724,SCREW CORTEX 2.4 X 18MM ,720
612725,SCREW CORTICAL SELF-TAP ,720
612726,SCREW CORT S/T 2.4X22MM ,720
612727,SCREW BONE LCP 2.4 X 24M,720
612728,SCREW CRTX ST T8 2.4X26 ,720
612729,SCREW CORTICLA LCP 2.4 X,720
612730,SCREW CORTICAL LCP 2.4 X,720
612731,SCREW CORTEX 2.4 X 8MM  ,720
612732,SCREW E7.3X120 TI CN    ,3270
612733,SCREW LOCKING 2.4 X 10MM,1440
612734,SCREW LOCKING 2.4MM X 12,1440
612737,SCREW BONE LCP 2.4 X 26M,1440
612738,SCREW BNE 316L SS L28MM ,1440
612740,SCREW LOCKING 2.4 X 6MM ,1440
612741,SCREW CORT 2.0 22       ,557
612744,SCREW CORT TT ST 2.0 X 1,557
612747,SLEEVE DRL 3.2 BY 1.6   ,3423
612756,PLATE TT TUB W/COLR 1/3 ,861
612757,KWIRE 1.6 TI W/THRD     ,3114
612763,CUP ACTB MRTH 10DD +4 62,11659
612765,SCREW BONE TI 5.0 X 66MM,2155
612766,PLATE CNDYLR4.5 6H/170-L,17968
612767,SUTURE NBSRB 5-0 P3 18IN,99
612768,CMPNT GLND 52 SHLDR ANCH,14574
612769,CATH SLITTER ADJ SHTH   ,749
612770,HEAD HUM 52X18 ECCENTRIC,16945
612772,KIT DISCYPHOR NEEDLE    ,1070
612773,CATH DISCYPHOR SPINAL   ,7323
612774,FORCEP ESCPC230X2.8 POLY,1569
612775,GWIRE AQ CT .021IN 480CM,2242
612776,BSKT RTRV RX TRPZD 2X4  ,5094
612777,JAW RADL 4 LG CPCTY     ,266
612778,BLN CRE 6-8X8           ,3505
612779,GWIRE ESCPC .035IN 450CM,3362
612780,BASKET STONE EXT WEB 1.5,2853
612781,BSKT RTRV MEM8 2X200X4  ,4585
612782,STNT PRMLM DLVR SYS10X80,19277
612783,JAW RADL 4 LC W/NDL 16  ,266
612786,FORCEPS BX NDL 240CM 2.8,731
612787,SNR DISP HEX JUMBO 6234 ,378
612788,PLATE L60 HLX CSPN 3LVL ,20346
612789,SLNG KODEL LEG BLN 1SZ  ,53
612794,BIOPSY 15 GA 10CM EZ COR,276
612795,BIOPSY 15 GA 15CM EZ COR,276
612797,SCREW SPNL 56-2001      ,1968
612800,SCREW BN 3.5X15 ZPHR TI ,3936
612803,INS TIB THK RT MED 14   ,7287
612806,INS TIB THK LT MED 14   ,7287
612807,INS TIB THK LT MED 17   ,7287
612808,SCREW SET BREAK-OFF 6.35,1238
612809,SCREW MXFCL MIC 1.8X5   ,746
612811,PTLA PROS POLY 41       ,4372
612813,CUP ACET 6X52X46 CONSERV,26896
612814,SCREW CORT 2.7X14       ,1078
612822,CUP ACETB 62MM CONSRV +R,26896
612829,CUP ACET 6X54X48 CONSERV,26896
612830,SCREW CSPN FXANG 4X12MM ,3936
612832,CAGE SPNL PEEK L26X14MM ,35716
612835,SCREW BN SPNL 56-3750   ,15403
612837,ANCH SUT AR-1927BFC     ,5739
612841,BIT DRILL 3.2MM GRADUATE,5633
612845,GW GRAD BALL TIP 2.0    ,5094
612846,SCREW BN 4.5X14 SLF DRL ,8856
612851,MOLD TIB SPCR CMNT 75MM ,12306
612858,SCREW BNE 3.5X18 CORTL  ,663
612859,SCREW BNE 3.5X14 CORTL  ,663
612863,SCREW BN 3.5X16MM CORTL ,1949
612874,SCREW LOCKING 202.228   ,1495
612877,APPLICATR LPSCP 38CM 5MM,1035
612878,RETR SURG L5XW18 DISP   ,4682
612881,STEM FEM SSK VANG 65 RT ,76626
612882,TRAY TIB OFST 71MM KN   ,27142
612883,XTN STM L80 OD16 TIB    ,16093
612884,BEARNG TIB 18X71-75     ,25044
612887,CAGE SPNL PEEK L26X10MM ,34039
612888,NAIL IM TI 12MMX380 130 ,17239
612889,CAP END TIB XTND ST 15MM,2674
612890,HEAD FEM 28X47 SLFCTR   ,11776
612893,HD FEM C COCR 32 0 HIP  ,9003
612894,HEAD FEM LG 14/16 +8 36 ,6558
612895,INSERT ACTB 36MM 0D D XP,10930
612897,NAIL TROC LNG LT 11X40CM,23553
612899,ROD SPNL TI L40MM PANGEA,3542
612901,SCREW BN 4.0X32MM LOK NA,2326
612902,HEAD FEM 12/14TAPER L+3.,10410
612904,GRAFT EVAS 11.5CM 18X22M,44879
612905,SCREW BN 6.5X40MM MA SPI,28632
612906,SCREW CANN LCK 5.5X35   ,2111
612908,INSERT TIB 3 17.5MM KN  ,15008
612910,DRILL GRAD BRAD PT 3.2MM,6857
612912,CMPNT TIB C LT UNICMPT  ,21543
612913,ACTB SHELLBIPWHT54MM28MM,6893
612914,SCREW LCK 4.5X36        ,1566
612916,COMPNT KN LT G 76.5X70.5,63432
612918,GFT AAA AOR 20X20MM 8.5C,36144
612920,HEAD FEM CCR STD 36MM   ,5101
612921,KIT RPR TGHTRP/SYND 8925,8331
612923,INS TIB THK LT MED 12   ,7287
612926,SCREW MXF 1.5X3.5MM     ,1021
612927,SCREW MXF 1.5X4MM       ,1021
612928,SCREW MXF 1.5X5MM       ,1016
612930,CUP ACET 6X56X50 CONSERV,26896
612933,PLATE STRAIGHT LONG 6HL ,1822
612935,ROD LEGACY 4.0CM SPINE  ,3542
612939,PLATE SPN HLMRK 2LV 38MM,22300
612945,ANCHOR ORTH MD 44 GLND  ,16193
612947,SURG SGL KEEL           ,1284
612948,INS TIB THK RT MED 12   ,7287
612959,SCREW BN HB VA-ST 4X12MM,3936
612961,CABLE ORTH 1.7X750MM    ,4833
612962,GRAFT BN DBM PASTE 10CC ,19186
612970,INS TIB 3X10 RP STAB    ,11776
612971,INSERT TIB ARTC KN3X12.5,15008
612972,TRAY TIBIAL MBT KEEL CEM,18505
612977,SCREW SPN CORT 3.5X12   ,1544
612978,SCREW CORT LCK 3.5X14   ,1662
612980,SCREW BN 4X12 ATLNTS TI ,4100
612981,SCREW BN 4X13 ATLNTS TI ,4100
612983,SCREW BN 4X14 ATLNTS TI ,3936
612984,SUT PRLC 2-O 12DD CRV   ,5094
612985,SCREW CORT 3.5X14.0     ,1064
612986,KWIRE FX SS 14IN ORTH   ,313
612988,HEAD HUMERAL B/F 24MM X ,18828
612990,SCREW BN SPNL 62-3140   ,4428
612991,PLATE 1.5 4HL LNG       ,2168
612992,PLAT BN NXLN 5 HL Y SHP ,3506
612993,PLATE 1.5 6HL DBL Y LNG ,3415
612995,PLATE BUR HL1.5/0.5 22MM,3215
612998,ROD REAMER BLL 950X2.5MM,1978
612999,ROD REAMING W/BALL TIP 2,1978
613002,HIP CMPNT FEM POROUS RTS,26896
613008,SCREW SPN QTM TI 6.75X45,20346
613011,PLATE BN 12MMX.5MM STR C,691
613012,LEAD DXTRUS 4136        ,7758
613013,CAGE SPN 10DD 50X18X8   ,73984
613017,STENT PFLX 18X23X90     ,22695
613020,HIP CMPNT FEM POROUS RTS,26896
613022,INS TIB THK RT MED 10   ,10930
613027,CMPNT PTLA PROS POLY 38 ,4372
613028,NAIL TROCH LT 130D 12X40,17239
613033,CUP ACTEB TRBCL 76MM MLT,34927
613034,SCREW CORT SLFTAP 6.5X15,1122
613037,NEUROSTM IMPL IPG RESTR ,100000
613038,GRAFT BN  CERV 11X14X5MM,14927
613041,SCREW LOCKING 5.0X65 02.,2528
613042,SCREW LOCKING 5.0X70 02.,2528
613045,HEAD FEM 28X45 SLFCTR   ,11776
613046,IMPLNT HIP DEP 1365-13  ,6558
613047,CAP END TIB T40 STRL 0MM,2180
613054,PLATE SPNE RFLX L3 45MM ,20346
613055,SCREW BN HB VA-ST 4X18MM,3936
613061,COMPNT DME PTLR PFC 4MM ,6704
613062,STEM HUMERUS 9X130      ,34965
613067,HEAD HUM 44X18          ,15735
613068,GRAFT BN TRN ALGRF 5ML  ,2986
613070,PCR DSCVR2 SR 1184      ,63889
613071,CABLE ORTHO 1.7X750MM   ,5421
613076,ROD EX FIX 3MM ANG FXTR ,1217
613077,CLAMP EXFIX F/1.6 K-WIRE,7667
613078,CLAMP EXFIX 3.0 CONN 395,7203
613079,KWIRE 1.6X100MM         ,1134
613081,ROD REAMING 351.76      ,2084
613083,GDWIRE ORTH 150X1.1MM   ,764
613084,GWIRE ORTH CLBRT 3.2X300,1996
613085,SCREW CANN 7.0MMX110MM  ,2883
613086,SCREW CANN 7.0MMX115MM  ,2883
613087,SCREW CANN 7.0MMX120MM  ,2883
613088,SCREW CANN 7.0MMX125MM  ,2883
613089,SCREW CANN 7.0MMX130MM  ,2883
613090,SCREW BNE TI 4.0 55MM   ,67
613091,SCREW CANC SF 4X24 10/PT,218
613092,SCREW BN CAN 4X6X55X15MM,218
613093,PLATE BNE SS L190MM LCP ,17177
613097,BASEPLATE TIB3 KN66X42MM,13262
613098,BLOCK TIB TIV/PMMA 3 H10,11280
613099,STEM EXT 12MMX100MM     ,10952
613100,SCREW CORT ACTB 6.5X40  ,1122
613101,BLOCK FEM AUG 20MM 13/15,5276
613102,STEM FEM CLCR REV 15X180,47203
613103,SCREW TI TIBIAL 5 X 30MM,2326
613104,SCREW NLEX T25 5X4.3X38 ,2326
613106,SCREW LOCK 04.005.532S  ,2326
613107,SCREW BN TI 5X85MM TIB L,2326
613108,SCREW LOCKING 5.0 X 70MM,2326
613109,PLATE NARROW LCP 4.5MM 9,6024
613110,PIN PSTN THRD CRCLGE 4.5,1926
613111,CONN SPN ROD L30-40MM   ,11807
613112,SCREW BN SPN P-AX6.75X45,15743
613113,SCREW BN SPN PDCL5.75X45,15743
613114,SCREW BN SPN P-AX7.75X45,15743
613115,SCREW BN SPN P-AX7.75X40,15743
613118,NAIL IM TI 11X380MM FEM ,16140
613119,SCREW BN 4.5X16 S/T RSCU,3936
613120,TEM FEM STAT 12MM PRGDY ,34293
613125,BLADE FIXTN TI L85MM OD1,6359
613128,NAIL IM TI 130DD L440MM ,17239
613136,SPACER BNE L11MM ALIF   ,23416
613139,PCMKR VTRN T60  DR T60A1,96747
613141,SCREW SPN CSPR 4X40MM   ,55396
613144,COMPNT PTLR 8X29MM 3 PEG,3910
613145,GOUGE 56MM 85DD CMT REM ,7203
613148,CMPNT PTLA PROS ALL-POLY,4372
613153,NAIL ORTHO TI 130DD ANG ,17239
613154,NAIL TI 130MM X 380MM   ,17239
613155,TRAY TIB 4 MBT REV      ,36124
613157,PROBE NRV STIM OD0.5MM  ,2148
613159,CUP ACET 6X58X52 CONSERV,26896
613162,SYNCHROMED II MORPHN PUM,34705
613165,PIN DTCH TEMP FX        ,2853
613180,CLIP DYNMC STM SM SHEATH,3566
613186,SHELL ACETB D 50 HIP    ,11659
613187,SHELL ACETB E 52 HIP    ,11659
613189,SCREW CORT LCK 3.5X16   ,1544
613194,BIT DRILL 3MM APT ODONTO,2546
613195,STEM HIP RSTR 6021-4535 ,30258
613196,SCREW SET V-LOCK 90     ,760
613200,SCREW ACET CANC 6.5X15MM,1520
613201,SCREW BNE TI L90MM OD5MM,2326
613202,END CAP NAIL XTD LCK T40,2180
613203,ROD SPNL PRBNT 70       ,5904
613205,GWIRE ORTH 300X2.5X12MM ,1591
613207,SPACER ALGRF 12.5X15X8MM,18686
613208,BUTTON FX 15MM EBTN ACL ,2972
613209,PLATE BUR HL CVR 13MM   ,3215
613210,PLATE SQ 1.5 4HL        ,3054
613211,MESH PLT NEURO 85X35MM  ,16418
613212,HEAD FEM HIP CTAPR LFRIC,6760
613213,SCREW MINI 2X11         ,705
613214,PLATE LINDORF LFRT RT   ,3506
613215,SCREW MXFCL MIC 1.5X7   ,802
613216,SCREW MINI 2X13         ,705
613217,SCREW MINI 2X9          ,705
613218,PLATE L3MM LNDRF LT     ,4666
613219,PLATE L-SHAPE LT MED    ,3087
613220,SCREW MXFCL MIC 1.5X5   ,802
613221,SCREW VECTRA 14MM VARI-A,3936
613222,PLATE BN TI 25X16MM CERV,19678
613224,CUP ACET 6X60X50 CONSERV,26896
613226,STEM FEM SECUR FIT MAX 9,16198
613227,CONNECTOR LEAD CABLE INT,4075
613231,END CAP 04.004.000S     ,2180
613232,SCREW BNE TI L28MM OD5MM,2326
613233,SCREW NLEX T25 5X4.3X34 ,2326
613234,SCREW LOCK 04.005.526S  ,2326
613235,SCREW NLEX T25 5X8X40   ,2326
613236,SCREW LOCK 04.005.534S  ,2326
613237,SCREW LOCK 04.005.536S  ,2326
613238,SCREW LOCK 04.005.540S  ,2326
613239,SCREW LOCK 04.005.548S  ,2326
613240,SCREW BNE TI L64MM OD5MM,2326
613241,SCREW BNE TI L80MM OD5MM,2326
613243,GUIDE SURG DRL THRD     ,5094
613252,CEMENT BNE CBLT G-HV 40G,1976
613254,COMPONENT ARTC SURF H17M,10930
613255,SURFACE ARTC NXG 14MM   ,10930
613262,COMPNT OXFRD UNI SZ B   ,19500
613265,SCREW CSPN VAR ANG 4X14 ,2952
613267,HIP STR HEAD CM BLX UPC ,10930
613279,HEAD CONSRV THIP CLS A 5,18607
613282,IPG RSTR PRM ADVANC     ,100000
613283,SCREW CSPN VAR ANG 4X14 ,2952
613294,INSERT PFC SIGMA 2.5X10 ,7555
613295,NAIL IM TI TROC 40CM RT ,30120
613296,SCREW BN TI 4X30MM SYNFX,3936
613297,INS TIB 5 H10.O CRV     ,9968
613298,NAIL IM TI 10X38MM NLEX ,15768
613300,GWIRE ORTH 460X3.2MM    ,3484
613304,SCREW SPN VRTX 3.5X12MM ,14169
613305,CUP ACTB MODULAR 60MM   ,33002
613307,SCREW BN 3.5X10MM CORTL ,663
613308,BIT DRILL SURG PRODISC  ,1864
613309,SCREW BN 3.5X12MM CORTL ,663
613310,SCREW LAG BOLT L95MM    ,7850
613313,TB GSTRSTMY 20FX1.2     ,2977
613314,TB GSTRSTMY 20FX1.7     ,2977
613315,MESH ULTRAPRO PLUG SMALL,3344
613321,BIT DRL OD3.0-4.0 CANN  ,5094
613323,PLATE BN 4.5MM T BRD LCP,8574
613325,CANN FEM ART 18F        ,4533
613326,HEAD HIP FEM 36MM       ,5119
613327,PLATE BN .5MM CRNMXF TI5,2852
613328,SCREW CANN LCK 5.5X45   ,2111
613330,SCREW CORT 6X60X130     ,2237
613331,ENDOBUTTON FX CL W45MM  ,2970
613332,SCREW CANC 5.0X36       ,5085
613333,INSERT ADVC MEDIAL PVT S,19903
613336,BIT DRL 2.7             ,1043
613337,SCREW BN 7X35MM PANGEA P,14169
613339,SCREW BN 6.5X45MM MA SPI,7872
613340,PLATE BASE GNSIS2 5RT KN,14573
613343,GRAFT BN LRDTC ACIF 7MM ,20216
613344,SCREW VECTRA 4.5 X 14MM ,3936
613346,NEEDLE INJ 20G 1.5 IN DU,731
613349,IMPLANT URO DURASPHR 1ML,2221
613351,HEAD ADPTR FEM OFST+2/-2,2285
613352,EXTENSION STM TIV L155MM,16459
613353,CMPNT AGMNT 3X8 DIST RT ,7876
613358,GWIRE ORTH 3.5 STD DRLTP,2617
613359,SET ORTH PCL AR-1818ST  ,5094
613368,SCREW BNE TI 16X3.5MM VE,14169
613373,MESH ULTRAPRO PLUG LG   ,3084
613374,MESH ULTRAPRO PLUG MED  ,3377
613375,BLADE FIXTN TI L80MM OD1,6359
613376,TENDON ACHILLES W/CALC  ,25185
613377,SCREW INTFR 35X9 MLGRO  ,5110
613378,GWIRE ORTH SPN .062IN   ,731
613379,LEAD NRSTM 60CM 8ELCTRD ,22949
613382,SCREW PANGEA 6.0X45     ,14169
613383,NAIL- END CAP TROCH 10  ,2669
613384,PLATE PROX TIB 4.5LCP 82,16599
613387,GRAFT BN SYN CA SLF 5ML ,6577
613388,CONN CRSS SCREW L52-75  ,11807
613389,STEM HIP RSTR 6020-4535 ,40090
613390,SCREW CANN LCK 5.5X80   ,2111
613391,STRIP MZK OSTSCFLD .5CC ,20840
613392,PLATE CONDYLAR LCP 24MM ,19175
613393,TISSUE SYNPRO-DENSE 10CC,32033
613395,SCREW ACF SPN 4.0X12MM  ,14169
613398,BLADE TREPHINE 11MM DISP,6036
613399,HEAD FEM 28X50 SLFCTR   ,8898
613400,GFT MTR HDR 16X20X11.5  ,44879
613401,SCREW BN 4.0X12 VAR SLF ,3936
613404,HD 3-D TI FOR CLKX      ,6199
613406,GRAFT BN SPACER 9MM PARL,17088
613407,SCREW BNE TI L48MM OD5MM,2326
613409,CMPNT TIB B RT UNICMPT  ,21543
613410,BEARING SZ 4 RT MED ANAT,14574
613411,SCREW BN LNGE/WHT 6.5X40,1832
613412,SCREW BN LNGE/WHT 6.5X30,1628
613417,BLADE TREPH REV INS 14.5,10621
613418,SCREW BNE TIV 6.5X25    ,1122
613420,HEAD FEM 28X49 SLFCTR   ,14574
613425,SCREW BN TI 4MM MIDFACIA,1144
613429,PLATE BN1X3 Y TI MDFC   ,3087
613431,BLOCK TIB WDG 67X10MM   ,12675
613432,CMPNT TIB L67MM MAX KNEE,27142
613433,CMPNT FEM M RT L62.5 VNG,31724
613435,SCREW BNE OD6.4MM PDCL  ,14410
613436,CORD SULENE SPNE 100MM  ,14093
613437,SPACER SPNL 45MM DYNESYS,8414
613439,ADAPTER CATH CKFL 9FR   ,407
613441,GWIRE NTNL 175CM        ,1978
613442,GWDX NTRX 018 180 INT A ,1978
613443,GWIRE RDRN XS 018 180   ,1992
613453,COLLAR MIAMI J MED      ,293
613456,SCREW BN SPN P-AX6.75X40,15743
613458,CONN TI ROD 50-60 SPNL  ,11807
613460,NEEDLE EXPRESSEW 3 SUT  ,4972
613462,COVER BUR HL BLU 12MM MT,3270
613463,DISC ARTF 16X6 PSTG CSPN,73984
613467,SCREW BNE 6.4X40MM PDCL ,14410
613468,OSTEOTOME SHRT 9.5MM    ,7203
613469,RETRACTOR MIS 5X18 MTRX ,5049
613471,SCREW BN TI 16X4 CSPN   ,3936
613476,NEEDLE INTRO FACET 30611,1203
613478,SCREW ACTB GAP 6.5X20MM ,1710
613480,SCREW BN 4.0X42MM LOK NA,2326
613481,ANCHOR ORTH MD 56 GLND  ,18029
613487,CAGE SPNL PEEK L26MMX12M,35716
613488,BLADE EXPLANT IMPLEX HAL,10461
613489,RETR ESCPC L4 22 DISP   ,4682
613492,BLD TRPHN 5.5X14        ,8035
613493,INSRT ACTB PNCL40X56NEUT,14355
613494,SUB BN GRAFT BNGF 5ML   ,12342
613495,COMPNT PTLR KN SZ3 32MM ,5417
