Hospital Name:  Mercy St Francis SF,,,
OSHPD Facility No: 106380960,,,
"Effective Date of Charges: July 1, 2018",,,
,,,
"CDM
Number",Billing Description (25 char), Price ,Zero Price Inicator
4267027,IG OCTAGAM 5% 5GM INJJG  ," 1,291.12 ",
4267084,POLIO VACC(INACTIVE) 0.5M, 144.01 ,
4267118,INS NPH/REG70/30 1KU/10ML, 116.37 ,
4267506,INSUL HM LENT 1KU/10MLINJ, 77.35 ,
4267514,INSULN LISPRO 100U/ML 3ML, 72.96 ,
4267522,INSULIN REG HUMAN PEN 3ML, 32.42 ,
4267548,INSUL NPH 300U/3ML INJ   , 35.36 ,
4267753,ETHIODIZD 475MG/ML10ML IN, 219.08 ,
4267779,IRON DEXTR 100MG/2MLSDVJG, 222.97 ,
4267811,IRON SUCROSE 100MG/5MLSDV, 137.60 ,
4267928,ISOPROTEREN 1MG/5ML AMP  ," 5,076.00 ",
4267969,ISOSULF BLU50MG/5ML INJJG, 333.02 ,
4268017,K ACET 2MEQ/ML 20ML INJ  , 63.30 ,
4268041,K PHOS 4.4MEQ/ML 15ML INJ, 68.95 ,
4268108,KCL 20MEQ/10ML INJ       , 65.61 ,
4268165,KCL 40MEQ/20ML INJ       , 65.61 ,
4268256,KETAMINE 100MG/ML 5ML INJ, 193.09 ,
4268280,KETAMINE 10MG/ML 20ML INJ, 95.02 ,
4268314,KETAMINE 50MG/ML 10ML INJ, 139.22 ,
4268348,KETOROLAC 15MG/ML 1ML INJ, 74.27 ,
4268371,KETOROLAC 30MG/ML 1ML INJ, 75.21 ,
4268405,KETOROLAC 30MG/ML 2ML INJ, 91.03 ,
4268439,LABETALOL 5MG/ML 20ML INJ, 220.18 ,
4268470,LEVETIRACET 100MG/ML 5ML , 75.00 ,
4268488,LEVOLEUCOVORIN 50MG INJJG, 258.50 ,
4268553,LEUCOVORIN CA 350MG SDV  , 797.54 ,
4268611,NOREPINEPHRINE 1MG/ML 4ML, 61.33 ,
4268637,LEVOTHYROXINE 100MCG INJ , 150.22 ,
4268645,LEVOTHYROX 0.2MG/10MLPDIV, 300.44 ,
4268678,LEVOTHYROXINE 500MCG INJ , 452.55 ,
4268686,LEVOTHYROXINE 100MCG INJ , 150.22 ,
4268702,LIDOCAINE 0.5% 50ML INJ  , 72.16 ,
4268736,LIDO/EPI0.5%-1:200000 50M, 75.45 ,
4268751,LIDOCAINE 1% 10MG/ML 10ML, 42.52 ,
4268769,LIDOCAINE 1% 20ML INJ    , 65.61 ,
4268777,LIDOCAINE MPF 2% 5ML INJ , 17.80 ,
4268793,LIDOCAINE MPF 1% 2ML INJ , 55.25 ,
4268827,LIDOCAINE MPF 1% 30ML INJ, 95.23 ,
4268850,LIDOCAINE 1% 50ML INJ    , 72.16 ,
4268884,LIDOCAINE MPF 1% 5ML INJ , 58.34 ,
4268926,LIDO/EPI 1%-1:200000 5ML , 61.04 ,
4268934,LIDO/EPI 1%-1:100000 20ML, 31.28 ,
4268942,LIDO/EPI 1%-1:100000 50ML, 75.45 ,
4268975,LIDOCAINE 1.5% 20ML INJ  , 98.47 ,
4269064,LIDOCAINE 2%100MG/5ML INJ, 141.37 ,
4269098,LIDOCAINE MPF 2% 10ML INJ, 77.30 ,
4269122,LIDOCAINE 2% 20ML INJ    , 65.61 ,
4269155,LIDOCAINE MPF 2% 2ML INJ , 53.04 ,
4269213,LIDOCAINE 2% 50ML INJ    , 53.04 ,
4269247,LIDO/EPI 2%1:100K 20MLMDV, 65.61 ,
4269395,LIDOCAINE 4% 5ML INJ     , 61.39 ,
4269536,LOCM 200-299MG/ML IODINE , 37.25 ,
4269544,LORAZEPAM 2MG/1ML INJ    , 101.27 ,
4269551,LOCM 300-399MG/ML IODINE , 14.55 ,
4269585,LORAZEPAM 40MG/10ML INJ  , 501.79 ,
4269593,LOCM 300-399MG/ML IODINE , 12.99 ,
4269692,MANNITOL 20% 500ML PB    , 134.85 ,
4269726,MANNITOL 25% 50ML INJ    , 52.56 ,
4269874,MEDROXYPROG 400MG/ML 1ML , 132.60 ,
4269965,MEPIVACAIN PF1.5% 30MLINJ, 22.50 ,
4270022,CEFAZOLIN 1GM INJ EXP    , -   ,3
4270023,CEFTRIAXONE 1GM PWD EXP  , -   ,3
4270024,TRANEXAMIC 1GM/10ML EXP  , -   ,3
4270203,METHOCARBAML 100MG/ML 10M, 72.40 ,
4270260,METHYLENE BLU100MG/10MLJG, 64.12 ,
4270261,STERILE TALC 3GM PWD     , 495.00 ,
4270294,METHYLENE BLUE 10MG/1MLJG, 61.95 ,
4270328,METHYLDOPA 250MG/5ML INJ , 103.52 ,
4270385,METHYLERGON 0.2MG/ML 1ML , 60.79 ,
4270419,METHYLPRED ACE40MG/1MLINJ, 75.87 ,
4270443,METHYLPRED ACE80MG/1MLINJ, 89.29 ,
4270476,METHYLPRED 40MG/ML 5ML IN, 133.92 ,
4270534,METHYLPRED NA 1GM INJ    , 216.35 ,
4270535,SUGAMMADEX100MG/ML2MLINJ , 269.34 ,
4270567,METHYLPRED NA 40MG INJ   , 108.39 ,
4270591,METHYLPRED NA 125MG INJ  , 136.23 ,
4270658,METOCLOPRAMIDE 5MG/ML 2ML, 50.37 ,
4270740,METOPROLOL 1MG/ML 5ML INJ, 232.44 ,
4270773,MAG SULF 5GM/10ML INJ    , 98.18 ,
4270807,MAG SULF 1GM/2ML INJ     , 59.00 ,
4270815,MAG SULF 1GM/D5W100ML PMX, 169.15 ,
4270823,MIDAZOLAM 100MG/100ML PB , 236.13 ,
4270831,MIDAZOLAM PF 1MG/ML 2ML  , 109.94 ,
4270832,VANCO 1GM/D5W 200ML PMX  , 100.00 ,
4270864,MIDAZOLAM 5MG/ML 1ML INJ , 123.58 ,
4270898,MIDAZOLAM 1MG/ML 5ML INJ , 123.58 ,
4270922,MIDAZOLAM 5MG/ML 2ML INJ , 135.50 ,
4270930,MIDAZOLAM 5MG/ML 5ML INJ , 204.34 ,
4270948,MILRINONE 20MG/20ML SDV  , 530.78 ,
4270955,MIVACURIUM 2MG/ML 10ML IN, 111.57 ,
4270971,MILRINONE 10MG/10ML SDV  , 267.98 ,
4271011,MEASLES/MUMPS/RUBELLA VAC, 188.66 ,
4271045,MORRHUT SOD5% 50MG/ML30ML, 218.76 ,
4271136,MULTIVITAMINS 10ML SDV   , 98.47 ,
4271193,MULTIVIT 10ML PEDIV      , 66.31 ,
4271250,NA ACET 40MEQ/20ML INJ   , 34.49 ,
4271284,NA PHOS 3MM/ML 15ML INJ  , 43.94 ,
4271318,NA THIOSULFAT 12.5GM/50ML, 148.05 ,
4271375,NACL 0.9% 10ML INJ       , 11.06 ,
4271466,NACL 23.4% 30ML CONC INJ , 1.93 ,
4271490,NALBUPHINE 10MG/1ML INJ  , 57.48 ,
4271557,NALOXONE 0.4MG/ML 1ML INJ, 112.30 ,
4271649,NALOXONE 1MG/ML 2ML INJ  , 100.76 ,
4271912,NEOSTIG 1:1K /0.5MG10MLVL, 90.63 ,
4271979,NICARDIPINE 2.5MG/ML 10ML, 122.26 ,
4272001,NITROPRUSSIDE 50MG/2ML IN, 187.44 ,
4272118,OLANZAPINE ER 1 MG/ML IM , 61.90 ,
4272126,OCTREOTIDE 0.1MG/ML 1ML  , 74.51 ,
4272134,OCTREOTIDE 0.5MG/ML 1ML  , 204.67 ,
4272159,ONDANSETRON 4MG/2ML SDV  , 139.48 ,
4272167,OCTREOTIDE 20MG DEP KITJG," 2,795.55 ",
4272308,OXYTOCIN 10U/ML 1ML INJ  , 65.61 ,
4272316,PALONOSETRON 250MCG INJJG, 756.70 ,
4272332,PAMIDRONATE 30MG PWD INJ , 625.38 ,
4272340,PANTOPRAZOLE 40MG PWD SDV, 96.02 ,
4272373,PALIPERIDO ER 234MG SYRJG," 3,616.88 ",
4272381,PALIPERIDO ER 156MG SYRJG," 2,411.26 ",
4272415,PANTOPRAZOLE 40MG PWD SDV, 81.89 ,
4272423,PANCURONIUM 1MG/ML 10ML  , 72.92 ,
4272514,PENTAZOCINE 30MG/ML 1MLJG, 55.25 ,
4272530,PEGFILGRASTIM 6MG INJJG  ," 6,785.00 ",
4272571,PHENOBARB 130MG/ML 1ML IN, 43.79 ,
4272662,PHENTOLAMINE5MG 1ML INJJG, 291.84 ,
4272720,PHENYLEPH 1% 10MG/ML 1ML , 74.00 ,
4272753,PHENYTOIN 50MG/ML 2ML INJ, 111.71 ,
4272811,PHENYTOIN 50MG/ML 5ML INJ, 128.18 ,
4272845,PHYSOSTIGMINE 1MG/ML 2ML , 75.45 ,
4272878,VIT K1(PHYTON)10MG/ML 1ML, 50.37 ,
4272993,PNEUMOCOC VACC 23 VALENT , 99.82 ,
4273025,TUBERCULIN 5TU/0.1ML 0.1M, 56.41 ,
4273058,PROCAINAMIDE 100MG/ML 10M, 199.05 ,
4273207,PROCHLORPER 5MG/ML 2ML IN, 78.79 ,
4273322,PROMETHAZINE 25MG INJ    , 60.79 ,
4273389,PROPOFOL 10MG/ML 100MLINJ, 359.33 ,
4273413,PROPOFOL 10MG/ML 20ML INJ, 87.98 ,
4273447,PROPOFOL 10MG/ML 50ML INJ, 190.81 ,
4273470,PROPRANOLOL 1MG/ML 1ML IN, 72.16 ,
4273504,PROTAMINE SULF 10MG/ML25M, 149.12 ,
4273538,PROTAMINE SULF 10MG/ML 5M, 92.00 ,
4273595,PYRIDOSTIGMINE 5MG/ML 2ML, 51.55 ,
4273629,VIT B6(PYRIDOX)100MG/ML1M, 22.48 ,
4273652,QUINIDINE GLUC 80MG/ML10M, 138.03 ,
4273728,RABIES VACC 2.5IU/ML 1ML , 422.50 ,
4273736,RABIES IMMGLOB150U 10MLJG," 1,717.16 ",
4273793,IG RHO-D 300MCG INJ      , 533.60 ,
4273801,RIFAMPIN 600MG INJ       , 357.97 ,
4273819,ROPIVACAINE 400MG/2DL INJ, 95.26 ,
4273827,ROPIVACAINE 150MG/30MLINJ, 38.98 ,
4273835,ROCURONIUM 10MG/ML 5ML IN, 113.74 ,
4273876,ROPIVACAINE 150MG/20MLINJ, 80.17 ,
4273900,SARGRAMOSTIM 500MCG INJJG, 828.62 ,
4273918,SARGRAMOSTIM 250MCG INJJG, 421.12 ,
4273942,ROPIVACAIN 0.2% 550ML ONQ," 1,500.00 ",
4273983,SELENIUM 40MCG/ML 10ML IN, 5.60 ,
4274106,NA BICARB 10MEQ/10ML INJ , 115.62 ,
4274130,NA BICARB 8.4%/50ML INJ  , 70.39 ,
4274155,SOMATROPIN 6MG INJ       , 927.77 ,
4274221,WATER STERILE 10ML INJ   , 58.34 ,
4274379,SUCCINYLCHL 200MG/10MLINJ, 68.95 ,
4274494,SUMATRIPTAN 6MG/0.5ML INJ, 209.69 ,
4274536,TENECTEPLASE 50MG INJJG  ," 10,006.78 ",
4274544,TERIPARAT 750MCG/3ML PEN ," 1,605.90 ",
4274551,TERBUTALINE 1MG/ML 1ML IN, 62.32 ,
4274676,IG TETANUS 250U SYRNJG   , 648.46 ,
4274767,VIT B1 THIAM 200MG/2MLINJ, 30.87 ,
4274817,THIOPENTAL 500MG INJ     , 77.35 ,
4274981,ALTEPLASE 2MG INJJG      , 257.96 ,
4275038,TRACE CR/CU/MN/SE/ZN 10ML, 25.73 ,
4275079,TRANEXAMIC 1GM/10ML INJ  , 169.00 ,
4275095,TRIAMCIN ACE 10MG/ML 5ML , 70.60 ,
4275129,TRIAMCIN ACE 40MG/ML 5ML , 146.79 ,
4275152,TRIAMCIN ACE 40MG/ML 1ML , 105.19 ,
4275368,TRIMETHOBENZ 100MG/ML 2ML, 55.25 ,
4275483,TUBOCURARINE 3MG/ML 20ML , 66.31 ,
4275681,VALPROIC AC 500MG/5ML INJ, 58.37 ,
4275699,VARICELLA VAC 0.5ML INJ  , 138.22 ,
4275756,VASOPRESSIN 20U/ML 1ML IN, 399.00 ,
4275830,VECURONIUM 10MG LYOPH SDV, 116.75 ,
4275848,VECURONIUM 20MG LYOPH SDV, 199.05 ,
4275871,VERAPAMIL 5MG/2ML 2ML INJ, 135.95 ,
4275939,VIT B12 1000MCG/ML 1ML IN, 44.95 ,
4275988,ZIDOVUDINE 10MG/ML 20ML  , 64.20 ,
4276002,ZOLEDRONIC AC 5MG/1DL SDV," 2,629.90 ",
4276010,ZIPRASIDONE 20MG INJ     , 97.50 ,
4276036,IG RHO-D SD 5000U INJJG  ," 2,381.06 ",
4276093,PROGESTER/OIL 50MG/ML 10M, 251.60 ,
4276119,LIDO 75MG-DEXT50MG/2MLINJ, 59.24 ,
4276127,ZOSTER VAC LIVE SC       , 394.06 ,
4276150,NESIRITIDE 1.5MG INJJG   ," 1,258.36 ",
4276192,OPRELVEKIN 5MG INJJG     , 731.65 ,
4276218,QUINUPR/DALFO 500MG SDVJG, 315.69 ,
4276235,BENDAMUST 25MG/ML1MLINJJG," 6,527.40 ",
4276236,AMIOD 450MG/D5W 250ML EXP, -   ,3
4276259,EPO NONESRD 10KU SDVJG   , 500.00 ,
4276283,EPOE NONESRD 1KU(20KU)MDV," 1,000.00 ",
4276325,FOSPHENYT 100MG/2ML SDVJG, 5.46 ,
4276366,IBANDRONATE 3MG/3ML INJJG, 426.15 ,
4276382,FOMEPIZOLE 1GM/ML 1.5MLJG," 3,443.72 ",
4276390,THYROTROP ALFA 1.1MG INJG," 4,252.86 ",
4276408,IBUTILIDE FM0.1MG/ML10MJG, 562.55 ,
4276424,HYALURON 10/ML 0.55MLOP  , 317.47 ,
4276440,HYALURONAT 23/ML 0.6ML OP, 229.43 ,
4276465,TETRACAINE 1% 2ML INJ    , 24.96 ,
4276473,FONDAPARIN 2.5MG 0.5MLSYR, 113.85 ,
4276481,SUPARTZ 25MG/2.5ML IA INJ, 150.00 ,
4276499,FONDAPARIN 7.5MG/0.6MLSYR, 234.06 ,
4276549,DARBEPO 60MCG/0.3ML NONJG, 608.50 ,
4276564,DARBEP100MCG/1MLNONESRDJG," 1,007.50 ",
4276580,DARBEPO150MCG/.3MLNESRDJG," 1,500.00 ",
4276622,DARBEP500MCG/1MLNONESRDJG," 4,997.50 ",
4276663,FLU VACC FLUARX TV 3YR+IM, 62.89 ,
4276739,HYALUR ORTHOVISC 30MG SYR, 522.72 ,
4276754,FOSAPREPITANT 150MG SDVJG, 572.31 ,
4276755,CEFAZOLIN 2GM/100ML PB   , 424.00 ,
4276756,KCENTRA (500IU) 1IU INJJG, 4.77 ,
4276757,HYAL(HYMOVIS)24MG/3ML PFS, 760.00 ,
4276758,HYAL AC(HYMOVIS)1MG PFS  , -   ,3
4276759,HYAL AC(HYMOVIS)1MG PFSJW, -   ,3
4276760,HYA(HYMOVIS)24MG/3MLPFSJW, -   ,3
4290111,MINOCYCLINE 100MG INJJG  , 410.52 ,
4291050,INDIGO CAR 8MG/ML 5ML INJ, 72.16 ,
4291118,LOCM 100-199MG/ML IODINE , 96.95 ,
4291126,LOCM 200-299MG/ML IODINE , 105.41 ,
4291209,IOTHALAM MEG 43% 50ML INJ, 70.73 ,
4291456,DIATRIZ MEG/NA 52-8 50ML , 61.87 ,
4291613,GLATIRAMER 20MG/1ML SYR  , 105.85 ,
4291621,FOSPHENYT500MG/10ML SDVJG, 156.72 ,
4291654,RISPERID LA 25MG/2MLINJJG, 565.20 ,
4291662,RISPERID LA 50MG/2MLINJJG," 1,148.18 ",
4291712,RISPERID LA 37.5MG/2MLJG , 885.00 ,
4291753,INSULIN LISP 300U/3ML PEN, 99.75 ,
4291811,LACOSAMIDE 200MG/20ML SDV, 65.80 ,
4291845,LEVOTHYROXINE 100MCG INJ , 140.80 ,
4291846,FENTANYL 1000MCG/100ML PB, 200.26 ,
4291852,IMIPENEM/CILAST 250MG INJ, 193.96 ,
4291944,HEPARIN FL 500U/5ML SYR  , 10.00 ,
4291951,LEVOCARNITINE 1GM/5ML INJ, 15.06 ,
4291952,MAG SULF 2GM/SW 50ML PMX , 239.31 ,
4291953,LEVETIRACET 1GM/100ML PB , 150.00 ,
4291954,LEVETIRACET 500MG/100MLPB, 75.00 ,
4291955,NA BICARB 8.4%/50ML SYR  , 70.39 ,
4291956,TBO-FIL 480MCG/0.8MLSYRJG," 1,085.77 ",
4291957,TBO-FIL 300MCG/0.5MLSYRJG, 678.42 ,
4291959,CEFEPIME 2GM/50ML PB EXP , -   ,3
4291960,PACLITAXEL /1MG-5MLMDV   , 355.20 ,
4291961,MORPHINE 15MG/ML 20ML INJ, 105.85 ,
4291962,MORPHINE 1MG/ML 250ML PB , 88.40 ,
4291963,MORPHINE 5MG/ML 30ML INJ , 146.79 ,
4291964,ADENOSINE THERA 6MG INJ  , 163.98 ,
4291965,TESTOST CYP 200MG/ML 1ML , 37.90 ,
4291967,ARIPIPRAZ ER 400MG INJJG ," 4,494.81 ",
4291968,NIVOLUMAB 40MG/4ML SDVJG ," 2,877.60 ",
4291969,ADENOSINE THERA 6MG SYR  , 163.98 ,
4291971,FOLIC ACID 1MG/0.2ML INJ , 144.61 ,
4291972,PERTUZUM 420MG/14ML IVJG ," 12,226.98 ",
4291973,GEMCITABINE 1GM SDV      , 614.00 ,
4291974,METHOTREX PF 1GM/40ML SDV, 80.19 ,
4291975,MITOMYCIN 40MG SDVJG     ," 3,585.63 ",
4291976,IRINOTECAN 100MG/5ML SDV , 42.00 ,
4291977,FLUCONAZOLE 100MG/50ML IN, 15.60 ,
4291978,PAPAVERINE 60MG/2ML INJ  , 31.89 ,
4291979,NECITUMUM 800MG/50MLSDVTB," 1,200.00 ",
4291980,AMANTADINE 50MG/5ML LIQ  , 5.00 ,
4291982,NACL 3% 15ML NEB         , 5.00 ,
4291983,RESLIZUM 100MG/10ML SDVTB," 2,505.00 ",
4291984,INDOCYANINE GREEN 25MG IN, 224.46 ,
4291985,VANCOMYCIN 750MG INJ     , 26.52 ,
4291986,CLEVIDIPINE 25MG/50ML INJ, 184.35 ,
4291987,PHENOBARB 65MG/ML 1ML INJ, 51.37 ,
4291988,PRALIDOXIME CL 1GM INJ   , 209.36 ,
4291989,CEFEPIME 2GM/D5W 100MLEXP, -   ,3
4291990,ARTISS FIBRIN SEALANT 2ML, -   ,3
4291991,ARTISS FIBRIN SEAL 2ML JW, -   ,3
4291992,DARBE A ESRD 1MCG INJJG  , -   ,3
4291993,DARBE A ESRD1MCG INJ JWJG, -   ,3
4291994,AMPHOTER B LIP 10MG INJJG, -   ,3
4291995,AMPH B LIPID 10MGINJ JWJG, -   ,3
4291996,BIVALIRUDIN 1MG INJ      , -   ,3
4291997,BIVALIRUDIN 1MG INJ JW   , -   ,3
4291998,LEVOLEUCOV 0.5MG INJJG   , -   ,3
4291999,LEVOLEUCOV 0.5MGINJ JWJG , -   ,3
4292000,ARGATROB 1MGNONESRD INJJG, -   ,3
4292001,ARGATROB 1MGNESRDINJ JWJG, -   ,3
4292002,TBO-FILGRASTIM 1MCG INJJG, -   ,3
4292003,TBO-FILGRAST 1MCG INJJWJG, -   ,3
4292004,FOSCARNET NA 1000MG INJ  , -   ,3
4292005,FOSCARNET 1000MG INJ JW  , -   ,3
4292006,MILRINONE LACTATE 5MG INJ, -   ,3
4292007,MILRINONE LACT 5MG INJ JW, -   ,3
4292008,MINOCYCLINE HCL 1MG INJJG, -   ,3
4292009,MINOCYCL HCL1MG INJ JWJG , -   ,3
4292010,NESIRITIDE 0.1MG INJJG   , -   ,3
4292011,NESIRITIDE 0.1MG INJ JWJG, -   ,3
4292012,RESLIZUMAB 1MG INJTB     , -   ,3
4292013,RESLIZUMAB 1MG INJ JWTB  , -   ,3
4292014,HYALURO(SYNVISC) 1MG INJ , -   ,3
4292015,HYALURO(SYNVISC)1MGINJ JW, -   ,3
4292016,CARBAZITAXEL 1MG INJJG   , -   ,3
4292017,CARBAZITAXEL 1MG INJ JWJG, -   ,3
4292018,DARATUMUMAB 10MG INJTB   , -   ,3
4292019,DARATUMUMAB 10MG INJ JWTB, -   ,3
4292020,DAUNORUBIC 10MG INJJG    , -   ,3
4292021,DAUNORUBIC 10MG INJ JWJG , -   ,3
4292022,IXABEPILONE 1MG INJJG    , -   ,3
4292023,IXABEPILONE 1MG INJ JWJG , -   ,3
4292024,INTER ALFA-2BREC1MU INJJG, -   ,3
4292025,INTER ALFA-2BRE1MUINJJWJG, -   ,3
4292028,AGUILARS INTRAOP KIT EXP , -   ,3
4292029,LIDO MPF/EPI 1.5%30ML INJ, 37.95 ,
4292030,MEROPENEM 500MG SDV      , 8.13 ,
4292031,OCRELIZUMAB 300MG/10MLSDV," 48,750.00 ",
4292032,MIDAZOLAM 1MG(50MG)MDV   , 0.95 ,
4292033,RIMABOTULITOXINB100UINJJG, -   ,3
4292034,RIMABOTULITOXB100UINJJWJG, -   ,3
4292035,FOSAPREPITANT 1MG INJJG  , -   ,3
4292036,FOSAPREPITANT 1MG INJJWJG, -   ,3
4292037,FOSPHENYT PE 50MG INJJG  , -   ,3
4292038,FOSPHENYT PE50MG INJJWJG , -   ,3
4292039,ARIPIPR LAUR 1MG ER INJTB, -   ,3
4292040,ARIP LAUR 1MG ER INJ JWTB, -   ,3
4292041,NECITUMUMAB 1MG INJTB    , -   ,3
4292042,NECITUMUMAB 1MG INJ JWTB , -   ,3
4292043,FILGRA SNDZ 300MCG SYRTB , 573.00 ,
4292044,FILGRAST G-CSF BIO 1MCGTB, -   ,3
4292045,FILGRA G-CSF BIO1MCG JWTB, -   ,3
4292046,GLYCOPYRROLA 0.2MG/ML 1ML, 11.00 ,
4292047,VEDOLIZUM 300MG/20MLSDVJG," 11,726.00 ",
4292048,VEDOLIZUMAB 1MG INJJG    , -   ,3
4292049,VEDOLIZUMAB 1MG INJ JWJG , -   ,3
4300000,ALBUM H 25% 50ML INFUSJG , -   ,3
4300001,ALBUM H 5% 250ML INFUSJG , -   ,3
4300002,FAC VIIA RE PER 1MCGINJJG, -   ,3
4300003,ALBUM H 25%50MLINFUS JWJG, -   ,3
4300004,FACT VIIA RE1MCG INJ JWJG, -   ,3
4300005,ALBUM H 5%250MLINFUS JWJG, -   ,3
4301511,MICROMATRX PARTCL PER MG , 6.00 ,
4320156,CYANIDE ANTIDOTE KIT     , 511.75 ,
4320602,LIDOCAINE 4% 4ML TOP     , 81.51 ,
4320701,ANTINEOPLASTIC N/C INJ   , 0.02 ,
4329959,NO CHARGE DRUG/NON DRUG  , -   ,1
4340055,ACETIC ACID 0.25% 1000ML , 63.33 ,
4340105,ALPROSTADIL 50MCG/5MLPDIV, 105.74 ,
4340154,ACETIC ACID 1% 1000ML IRR, 105.74 ,
4340196,BACITRACIN 1000ML IRR    , 257.72 ,
4340204,NA HYPOCHLOR 0.125% 1LSOL, 94.91 ,
4340303,DIANEAL PD2 D1.5% 2L UB  , 123.36 ,
4340402,DIANEAL PD2 D2.5% 2L UB  , 123.36 ,
4340840,MAFENIDE 50GM/1000ML IRR , 334.13 ,
4340865,MAFENIDE 120GM/1000ML IRR, 367.89 ,
4341202,NEOMYCIN/POLY B GU 1ML   , 66.87 ,
4341400,WATER STERILE 1000ML INJ , 139.55 ,
4341806,STERILE TALC 4GM PWD     , 341.81 ,
4360053,ALBUMIN 25% 100ML INJJG  ," 1,372.03 ",
4360103,ALBUMIN 25% 50ML INJJG   , 370.00 ,
4360202,ALBUMIN 5% 500ML INJJG   ," 1,791.39 ",
4360558,D5% + KCL 10MEQ 1L INJ   , 153.27 ,
4360608,D5% + KCL 20MEQ 1L INJ   , 153.27 ,
4360657,D5% + KCL 30MEQ 1L INJ   , 153.27 ,
4360707,D5% + KCL 40MEQ 1L INJ   , 153.27 ,
4360756,D5% 0.2 NACL 1000ML INJ  , 141.13 ,
4360806,D5% 0.2 NACL 500ML INJ   , 141.13 ,
4360855,D5% 0.2 NACL+KCL10 1LINJ , 153.27 ,
4360905,D5% 0.2 NACL+KCL20 1LINJ , 153.27 ,
4360954,D5% 0.2 NACL+KCL30 1LINJ , 153.27 ,
4361002,D5% 0.2 NACL+KCL40 1LINJ , 153.27 ,
4361051,D5% 0.45 NACL 1000ML INJ , 141.13 ,
4361150,D5% 0.45 NACL 500ML INJ  , 141.13 ,
4361259,D5% 0.45 NACL+KCL10 1LINJ, 153.27 ,
4361309,D5% 0.45 NACL+KCL20 1LINJ, 153.27 ,
4361358,D5% 0.45 NACL+KCL30 1LINJ, 153.27 ,
4361408,D5% 0.45 NACL+KCL40 1LINJ, 153.27 ,
4361440,D5% 0.9 NS+KCL40MEQ 1L IV, 168.60 ,
4361457,D5% 0.9 NACL 1000ML INJ  , 141.13 ,
4361465,D5% 0.9 NS+KCL20MEQ 1L IV, 153.27 ,
4361556,D5% 0.9 NACL 500ML INJ   , 141.13 ,
4361606,D5% LR 1000ML INJ        , 141.13 ,
4361705,D5% LR 500ML INJ         , 141.13 ,
4361903,D10%W 1000ML INJ         , 141.13 ,
4362000,D10%W 500ML INJ          , 105.74 ,
4362059,D20% 500ML INJ           , 105.74 ,
4362109,D25% 10ML INJ            , 82.49 ,
4362158,D30% 500ML INJ           , 105.74 ,
4362208,D40% 500ML INJ           , 105.74 ,
4362455,D5% 100ML INJ            , 141.13 ,
4362505,D5% 1000ML INJ           , 141.13 ,
4362554,D5% 150ML INJ            , 141.13 ,
4362604,D5% 250ML INJ            , 141.13 ,
4362653,D5% 50ML INJ             , 141.13 ,
4362752,D5% 500ML INJ            , 141.13 ,
4362802,D50% 500ML INJ           , 105.74 ,
4362901,D70% 500ML INJ           , 105.74 ,
4363008,DEXTRAN 40 10%/D5 5DL INJ, 323.75 ,
4363255,DOPAMINE 400MG/250ML PB  , 291.93 ,
4363313,FACTOR 9 PER 1IU INJJG   , 369.20 ,
4363602,FAT EMULSION 20% 250ML IN, 371.58 ,
4363651,FAT EMULSION 20% 500ML IN, 607.36 ,
4363800,HEP 25KU/NS 0.45%250MLPMX, 331.79 ,
4363859,HETASTARCH 6% 500ML NS IV, 370.00 ,
4363909,LACTATED RINGERS 500MLINJ, 141.13 ,
4363958,LACTATED RINGERS 1L INJ  , 141.13 ,
4364006,LACTATED RINGERS 3L IRRIG, 141.13 ,
4364253,LIDOCAINE 0.8% 2GM PB    , 273.07 ,
4364451,NACL 0.45% 500ML INJ     , 141.13 ,
4364501,NACL 0.45% 1000ML INJ    , 141.14 ,
4364527,NACL 0.45%+KCL 20MEQ1LINJ, 188.50 ,
4364659,NACL 0.9% 1000ML INJ     , 141.13 ,
4364709,NACL 0.9%+KCL 20MEQ 1LINJ, 153.27 ,
4364717,NACL 0.9%+KCL 40MEQ 1LINJ, 153.27 ,
4364758,NACL 0.9% 100ML INJ      , 141.13 ,
4364808,NACL 0.9% 150ML INJ      , 141.13 ,
4364857,NACL 0.9% 250ML INJ      , 141.13 ,
4364956,NACL 0.9% 500ML INJ      , 141.13 ,
4365052,NACL 0.9% 50ML VIAL INJ  , 141.13 ,
4365151,NACL 0.9% 100ML INJ      , 57.33 ,
4365193,HEPARIN 1KU/NS 500ML PMX , 7.25 ,
4365250,NACL 3% 500ML INJ        , 77.37 ,
4365359,NTG 25MG/250ML PB        , 246.03 ,
4365706,WATER STERILE 1000ML INJ , 101.46 ,
4365904,AMINO ACID 5.5% 500ML INJ, 134.37 ,
4365953,AMINO ACID 8.5% 500ML INJ, 110.12 ,
4366001,AMINO ACIDS 10% 500ML INJ, 145.37 ,
4366092,TPN CLINIMIX 5/20% 1L IV , 169.31 ,
4366126,TPN CLINIM 4.25/10% 1L IV, 157.37 ,
4366159,KCL 10MEQ/100ML PB       , 153.27 ,
4366324,FACTOR 8VWF/1IU 250U VLJG, 395.00 ,
4366332,FACT 8 RECOM 1IU(250)VLJG, 520.00 ,
4390027,DEXMEDETOM 0.4MG/100ML PB, 385.74 ,
4390037,NOREPINEPH 4MG/500ML IVPB, 200.00 ,
4390038,CA GLUCONATE 2GM/100ML PB, 250.00 ,
