Procedure ID,Procedure,Charge
CDM14568,Interprofessional telephone/Internet/electronic health record assessment and management service provided by a consultative physician  5 minutes or more of medical consultative time,106.8300018
CDM14569,Interprofessional telephone/Internet/electronic health record referral service(s) provided by a treating/requesting physician or other qualified health care professional 30 minutes,106.8300018
CDM14570,Remote monitoring of physiologic parameter(s) (eg weight blood pressure pulse oximetry respiratory flow rate) initial; set-up and patient education on use of equipment,278.2399902
CDM14571,Remote monitoring of physiologic parameter(s) transmission each 30 days,89.25
CDM14572,Remote physiologic monitoring treatment management services 20 minutes or more during the month,92.09999847
CDM14573,Chronic care management services provided personally by a physician or other qualified health care professional at least 30 minutes of physician or other qualified health care professional time per calendar month ,239.1999969
CDM14574, CAR-T therapy; harvesting of blood-derived T lymphocytes for development of genetically modified autologous CAR-T cells per day,4058
CDM14575, CAR-T therapy; preparation of blood-derived T lymphocytes for transportation (eg cryopreservation storage),4824
CDM14576,CAR-T therapy; receipt and preparation of CAR-T cells for administration,920
CDM14577,CAR-T therapy; CAR-T cell administration autologous,1398
CDM14578,Computer-aided detection including computer algorithm analysis of breast mri image data for lesion detection/characterization pharmacokinetic analysis,24.19000053
CDM14579,Bronchoscopy rigid or flexible transbronchial ablation of lesion(s) by microwave energy including fluoroscopic guidance  and 3-d rendering ,19815.7207
CDM14580,Destruction of intraosseous basivertebral nerve first two vertebral bodies including imaging guidance (e.g. fluoroscopy) lumbar/sacrum,10725.11035
CDM14581,Creation of arteriovenous fistula percutaneous; direct any site including all imaging and radiologic supervision and interpretation ,14105.45996
CDM14582,Creation of arteriovenous fistula percutaneous using magnetic-guided arterial and venous catheters and radiofrequency energy,14105.45996
CDM14583,Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g. audit dast) and brief intervention 5-14 minutes,47.84999847
P1000,Abacavir Sulfate,14.82999992
P1001,Abacavir/Dolutegravir/Lamivudine,364.6799927
P1002,AbobotulinumtoxinA,34.79999924
P1003,Acamprosate Calcium,7.289999962
P1004,Acetaminophen,2.680000067
P1005,Acetaminophen/Butalbital/Caffeine,1.889999986
P1006,Acetaminophen/Codeine Phosphate,0.680000007
P1007,Acetaminophen/Oxycodone Hydrochloride,1.360000014
P1008,acetaZOLAMIDE,65.58000183
P1009,Acetic Acid,72.25
P1010,Acetone,36.16999817
P1011,Acetylcysteine,328.1700134
P1012,Activated Charcoal/Sorbitol,80.95999908
P1013,Acyclovir,0.620000005
P1014,Acyclovir Sodium,0.129999995
P1015,Adenosine,3.700000048
P1016,Aflibercept,3468.75
P1017,Albendazole,821.1400146
P1018,Albumin Human,120.4899979
P1019,Albuterol Sulfate,101.6200027
P1020,Alendronate Sodium,0.860000014
P1021,Allopurinol,0.790000021
P1022,Allopurinol Sodium,8360.030273
P1023,Aloe/Collagen/Lidocaine Hydrochloride,13.81000042
P1024,alpha Tocopherol/Vit C/Beta Carotene/Biotin/Cholec,94.13999939
P1025,Alprazolam,0.170000002
P1026,Alprostadil,1.129999995
P1027,"Alteplase, Recombinant",313.0499878
P1028,Aluminum Hydroxide,13.60000038
P1029,Aluminum Hydroxide/Magnesium Hydroxide,809.8800049
P1030,Aluminum Hydroxide/Magnesium Hydroxide/Simethicone,421.0799866
P1031,Aluminum Sulfate/Calcium Acetate,25.70999908
P1032,Amantadine Hydrochloride,11.10999966
P1033,Amikacin Sulfate,80.34999847
P1034,Amiloride Hydrochloride,0.879999995
P1035,Amino Acids,590.4400024
P1036,Aminocaproic Acid,521.5599976
P1037,Aminophylline,42.79000092
P1038,Amiodarone Hydrochloride,1.549999952
P1039,Amiodarone Hydrochloride/Dextrose,85.08000183
P1040,Amitriptyline Hydrochloride,1.629999995
P1041,Amlodipine Besylate,0.319999993
P1042,Ammonia,15.56000042
P1043,Ammonia/Ethanol,15.97999954
P1044,Ammonium Lactate,19.98999977
P1045,Amobarbital Sodium,681.5200195
P1046,Amoxicillin,2.00999999
P1047,Amoxicillin/Clavulanate Potassium,244.1999969
P1048,Amphotericin B,140.3999939
P1049,Amphotericin B Liposome,65.30999756
P1050,Ampicillin,1.460000038
P1051,Ampicillin Sodium,4.010000229
P1052,Ampicillin Sodium/Sulbactam Sodium,11.13000011
P1053,Amylase/Lipase/Protease,14.06000042
P1054,Anagrelide Hydrochloride,5.03000021
P1055,Anakinra,559.1900024
P1056,Anastrozole,1.710000038
P1057,Antithymocyte Globulin Equine,6487.660156
P1058,Antithymocyte Globulin Rabbit,2544.600098
P1059,Apixaban,18.23999977
P1060,Apraclonidine Hydrochloride,179.1199951
P1061,Aprepitant,1191.75
P1062,Argatroban,8.680000305
P1063,Aripiprazole,137.7899933
P1064,Arsenic Trioxide,179.2700043
P1065,Artemether/Lumefantrine,20.19000053
P1066,Ascorbic Acid,110.9800034
P1067,ASCORBIC ACID (VITAMIN C) 500 MG TABLET,7.570000172
P1068,Asparaginase Erwinia Chrysanthemi,1383.300049
P1069,Aspirin,1.019999981
P1070,Aspirin/Citric Acid/Sodium Bicarbonate,0.540000021
P1071,Aspirin/Dipyridamole,34.04000092
P1072,Atazanavir Sulfate,106.3300018
P1073,Atenolol,0.419999987
P1074,Atorvastatin Calcium,1.289999962
P1075,Atovaquone,4078.100098
P1076,Atropine Sulf/Hyoscyamine Sulf/Phenobarb/Scop Hydr,37.54999924
P1077,Atropine Sulfate,42.79000092
P1078,Atropine Sulfate/Diphenoxylate Hydrochloride,1.289999962
P1079,Atropine;Pralidoxime Chloride,131.7599945
P1080,Avibactam/Ceftazidime,304.4899902
P1081,Azacitidine,3.75
P1082,Azithromycin,14.77000046
P1083,Aztreonam,751.960022
P1084,"Bacillus of Calmette and Guerin Vaccine, Live",628.0800171
P1085,Bacitracin,89.5
P1086,Bacitracin Zinc,6.190000057
P1087,Bacitracin Zinc/Neomycin/Polymyxin B Sulfate,23.94000053
P1088,Bacitracin Zinc/Polymyxin B Sulfate,37.74000168
P1089,Baclofen,1.419999957
P1090,"Baclofen;Suspension, Multi Ingredient",123.8799973
P1091,Basiliximab,11663.2998
P1092,Beclomethasone Dipropionate Monohydrate,1012.539978
P1093,Belimumab,170.1799927
P1094,Benazepril Hydrochloride,1.129999995
P1095,Benralizumab,633.6099854
P1096,Benzocaine,120.8000031
P1097,Benzocaine/Menthol,0.680000007
P1098,Benzoin Compound,22.10000038
P1099,Benzonatate,0.949999988
P1100,Benzoyl Peroxide,18.29999924
P1101,Benztropine Mesylate,9.920000076
P1102,Beractant,1325.680054
P1103,Betamethasone Ace/Betamethasone Na Phos,28.59000015
P1104,Betamethasone Dipropionate,127.7399979
P1105,Betamethasone Dipropionate/Clotrimazole,154.9600067
P1106,Betamethasone Valerate,42.97000122
P1107,Betaxolol Hydrochloride,1077.22998
P1108,Bevacizumab,8.470000267
P1109,Bictegravir/Emtricitabine/Tenofovir Alafenamide,382.9299927
P1110,Bisacodyl,0.230000004
P1111,BISACODYL 10 MG RECTAL SUPPOSITORY,5.360000134
P1112,Bismuth Subsalicylate,0.25
P1113,Bisoprolol Fumarate,1.529999971
P1114,Bivalirudin,2.069999933
P1115,Bortezomib,183.1999969
P1116,Bosentan,870.4799805
P1117,Brentuximab Vedotin,590
P1118,Brimonidine Tartrate,26.54999924
P1119,Brinzolamide,1485.599976
P1120,Bromocriptine Mesylate,10.75
P1121,Budesonide,231.0800018
P1122,Bumetanide,1.789999962
P1123,Bupivacaine Hydrochloride,240.8200073
P1124,Bupivacaine Hydrochloride/Epinephrine,454.6400146
P1125,Bupivacaine Hydrochloride/Epinephrine Bitartrate,890.1799927
P1126,Buprenorphine,336.9299927
P1127,Buprenorphine/Naloxone,25.07999992
P1128,buPROPion hydrochloride,5.269999981
P1129,Busulfan,18.93000031
P1130,Butorphanol Tartrate,15.02000046
P1131,Cabergoline,28.73999977
P1132,Caffeine,0.649999976
P1133,Caffeine Citrate,269.6000061
P1134,Calamine/Pramoxine Hydrochloride,15.51000023
P1135,Calamine/Zinc Oxide,14.14999962
P1136,Calcitonin (Salmon),4380.430176
P1137,Calcitriol,55.41999817
P1138,Calcium Acetate,2.769999981
P1139,Calcium Carbonate,113.6999969
P1140,Calcium Chloride,310.8900146
P1141,Calcium Citrate,0.119999997
P1142,Calcium Gluconate,24.62000084
P1143,Calcium/Cholecalciferol,0.349999994
P1144,Calcium/Niacin,0.050000001
P1145,Canakinumab,428.1300049
P1146,Candesartan Cilexetil,6.96999979
P1147,Capsaicin,15.85000038
P1148,Captopril,4.860000134
P1149,Carbamazepine,28.31999969
P1150,Carbamide Peroxide,20.39999962
P1151,Carbidopa/Levodopa,0.660000026
P1152,CARBOplatin,12.05000019
P1153,Carboprost Tromethamine,11493.08984
P1154,Carboxymethylcellulose Sodium,35.49000168
P1155,CARBOXYMETHYLCELLULOSE SODIUM 1 % EYE GEL IN A DROPPERETTE,37.22999954
P1156,Carboxymethylcellulose Sodium/Cellulose,68.98000336
P1157,Carfilzomib,569.7700195
P1158,Carmustine,11094.04004
P1159,Carvedilol,0.25
P1160,Cefazolin Sodium,2.519999981
P1161,Cefazolin Sodium/Dextrose,6.989999771
P1162,Cefepime Hydrochloride,11.18000031
P1163,Cefixime,564.5999756
P1164,CEFIXIME 100 MG/5 ML ORAL SUSPENSION,466.1199951
P1165,Cefoxitin Sodium,22.25
P1166,Cefpodoxime Proxetil,19.09000015
P1167,Ceftaroline Fosamil,11.55000019
P1168,Ceftolozane/Tazobactam,22.39999962
P1169,Ceftriaxone Sodium,2.609999895
P1170,Celecoxib,6.440000057
P1171,Cephalexin,19.63999939
P1172,Cetirizine Hydrochloride,9.899999619
P1173,Cherry Syrup,50.52999878
P1174,Chlordiazepoxide Hydrochloride,1.889999986
P1175,Chlorhexidine Gluconate,134.4199982
P1176,Chloroprocaine Hydrochloride,107.1900024
P1177,Chlorothiazide,256.3599854
P1178,Chlorothiazide Sodium,160.5599976
P1179,chlorproMAZINE hydrochloride,173.5099945
P1180,Cholecalciferol,0.610000014
P1181,Cholestyramine,364.3800049
P1182,Chromium/Copper/Manganese/Zinc,960.6799927
P1183,Cidofovir,1606.349976
P1184,Cinacalcet Hydrochloride,165.2100067
P1185,Ciprofloxacin,135.7700043
P1186,Ciprofloxacin Hydrochloride,142.0299988
P1187,Ciprofloxacin Hydrochloride/Dexamethasone,808.9199829
P1188,Cisatracurium Besylate,3513.189941
P1189,CISplatin,5.150000095
P1190,Citalopram Hydrobromide,0.209999993
P1191,Citric Acid/Potassium Citrate,284.0799866
P1192,Citric Acid/Sodium Citrate,37.06000137
P1193,Clarithromycin,151.9499969
P1194,Clindamycin Hydrochloride,1.179999948
P1195,Clindamycin Palmitate Hydrochloride,70.51000214
P1196,Clindamycin Phosphate,161.0700073
P1197,Clindamycin Phosphate/Dextrose,45.33000183
P1198,Clobazam,1712.709961
P1199,Clobetasol Propionate,314.1000061
P1200,Clonazepam,0.349999994
P1201,Clonidine,76.22000122
P1202,Clonidine Hydrochloride,29.80999947
P1203,Clopidogrel Hydrogen Sulfate,17.19000053
P1204,Clotrimazole,5.820000172
P1205,Clozapine,2.730000019
P1206,Cobicistat/Darunavir,234.8600006
P1207,Cobicistat/Elvitegravir/Emtricitabine/Tenofovir Al,382.9299927
P1208,Cobicistat/Elvitegravir/Emtricitabine/Tenofovir Di,401.7000122
P1209,Codeine Sulfate,2.839999914
P1210,Colchicine,26.78000069
P1211,Colistimethate Sodium,42.08000183
P1212,Collagenase,822.7600098
P1213,Conjugated Estrogens,1240.349976
P1214,Copper,1482.5
P1215,Copper Chloride,1831.839966
P1216,Cosyntropin,71.12000275
P1217,Cromolyn Sodium,27.84000015
P1218,Cyanocobalamin,3.869999886
P1219,Cyclobenzaprine Hydrochloride,0.610000014
P1220,Cyclopentolate HCl/Phenyleph HCl,103.4800034
P1221,Cyclopentolate Hydrochloride,80.12999725
P1222,Cyclophosphamide,82.87999725
P1223,cycloSERINE,225.1100006
P1224,cycloSPORINE,118.7699966
P1225,"cycloSPORINE, modified",327.5299988
P1226,Cyproheptadine Hydrochloride,1.360000014
P1227,Cysteine Hydrochloride,949
P1228,Cytarabine,9
P1229,Dabigatran Etexilate Mesylate,18.86000061
P1230,Dactinomycin,3235.459961
P1231,Danazol,11.98999977
P1232,Dantrolene Sodium,1356.189941
P1233,Dapsone,6.28000021
P1234,Daptomycin,1.220000029
P1235,Darbepoetin Alfa,17
P1236,Darunavir Ethanolate,154.1100006
P1237,DAUNOrubicin hydrochloride,192.9100037
P1238,Decitabine,31.32999992
P1239,Deferoxamine Mesylate,33.68000031
P1240,Dehydrated Alcohol,3211.610107
P1241,Denosumab,75.47000122
P1242,Desflurane,2830.23999
P1243,Desmopressin Acetate,150.9100037
P1244,Dexamethasone,13.39999962
P1245,Dexamethasone Sodium Phosphate,112.0699997
P1246,Dexamethasone/Neomycin Sulfate/Polymyxin B Sulfate,63.72999954
P1247,Dexamethasone/Tobramycin,463.7600098
P1248,Dexmedetomidine Hydrochloride,676.6699829
P1249,Dexmedetomidine Hydrochloride/Sodium Chloride,1145.949951
P1250,Dextrose,223.5800018
P1251,Dextrose/DOBUTamine hydrochloride,18.45999908
P1252,Dextrose/DOPamine hydrochloride,3.24000001
P1253,Dextrose/Heparin Sodium,1.120000005
P1254,Dextrose/Levofloxacin,13.10000038
P1255,Dextrose/Magnesium Sulfate,11.02000046
P1256,Dextrose/Milrinone Lactate,8.579999924
P1257,Dextrose/Nitroglycerin,31.46999931
P1258,Dextrose/Norepinephrine Bitartrate,153
P1259,Dextrose/Potassium Chloride,0.449999988
P1260,Dextrose/Potassium Chloride/Sodium Chloride,0.629999995
P1261,Dextrose/Vancomycin Hydrochloride,24.57999992
P1262,Diazepam,6.289999962
P1263,Diazepam;Lubricant,790.4400024
P1264,Diazoxide,1031.630005
P1265,Diclofenac Sodium,55.74000168
P1266,Dicloxacillin Sodium,2.859999895
P1267,Digoxin,181.5299988
P1268,Digoxin Immune Fab (Ovine),11841.12988
P1269,Dihydroergotamine Mesylate,270.3599854
P1270,Diltiazem Hydrochloride,67.98000336
P1271,Diltiazem Hydrochloride/Sodium Chloride,63.54000092
P1272,Dimercaprol,185.4199982
P1273,Dinutuximab,32056.38086
P1274,diphenhydrAMINE hydrochloride,5.25
P1275,"Diphtheria Toxoid, Adsorbed/Hep B Vac Recombinant/",273.4599915
P1276,"Diphtheria Toxoid, Adsorbed/Pertussis Vac, Acellul",209
P1277,"Diphtheria Toxoid, Adsorbed/Tetanus Toxoid",100.4100037
P1278,Dipyridamole,3.24000001
P1279,Disopyramide Phosphate,3.720000029
P1280,Divalproex Sodium,10.92000008
P1281,DOBUTamine hydrochloride,20.89999962
P1282,Docetaxel,14.98999977
P1283,Docusate Sodium,71.15000153
P1284,DOCUSATE SODIUM 50 MG/5 ML ORAL LIQUID,14.82999992
P1285,Dofetilide,19.47999954
P1286,Dolutegravir Sodium,215.4900055
P1287,Donepezil Hydrochloride,0.379999995
P1288,Dornase Alfa,11218.26953
P1289,Dorzolamide Hydrochloride,121.0199966
P1290,Dorzolamide Hydrochloride/Timolol Maleate,779.4799805
P1291,Doxazosin Mesylate,7.889999866
P1292,Doxepin Hydrochloride,3.059999943
P1293,Doxercalciferol,16.40999985
P1294,DOXOrubicin hydrochloride,258.6499939
P1295,DOXOrubicin hydrochloride liposome,1063.349976
P1296,Doxycycline,28.89999962
P1297,Doxycycline Calcium,1751.359985
P1298,Doxycycline Hyclate,234.6600037
P1299,Dronedarone Hydrochloride,40.70000076
P1300,Duloxetine Hydrochloride,5.900000095
P1301,Eculizumab,869.7299805
P1302,Efavirenz,127.4800034
P1303,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fum,354.1300049
P1304,Emtricitabine,74.11000061
P1305,Emtricitabine/Rilpivirine Hydrochloride/Tenofovir,348.5
P1306,Emtricitabine/Rilpivirine/Tenofovir Alafenamide,348.5
P1307,Emtricitabine/Tenofovir Alafenamide,217.8500061
P1308,Emtricitabine/Tenofovir Disoproxil Fumarate,217.8500061
P1309,Enalapril Maleate,1.49000001
P1310,Enalaprilat,81.22000122
P1311,Enoxaparin Sodium,5.039999962
P1312,Entacapone,4.070000172
P1313,Ephedrine Sulfate,1045.910034
P1314,Epi HCl/Lido HCl/Tetracaine HCl,21.68000031
P1315,Epinephrine,162.3200073
P1316,Epinephrine Hydrochloride,2
P1317,Epinephrine/Lidocaine Hydrochloride,192.5800018
P1318,Eplerenone,9.859999657
P1319,Epoetin Alfa,6.099999905
P1320,Epoprostenol Sodium,82.94999695
P1321,Eptifibatide,39.79000092
P1322,Ergocalciferol,0.479999989
P1323,Ertapenem Sodium,239.2200012
P1324,Erythromycin,39.02000046
P1325,Erythromycin Ethylsuccinate,902.4199829
P1326,Escitalopram Oxalate,13.48999977
P1327,Eslicarbazepine Acetate,113.6200027
P1328,Esmolol Hydrochloride,285.3900146
P1329,Estradiol,0.699999988
P1330,Etelcalcetide,10.56000042
P1331,Ethacrynate Sodium,2963.439941
P1332,Ethambutol Hydrochloride,2.690000057
P1333,Ethanolamine Oleate,1490.459961
P1334,Ethinyl Estradiol/Levonorgestrel;Placebo,1.100000024
P1335,Ethinyl Estradiol/Norethindrone;Placebo,1.470000029
P1336,Ethinyl Estradiol/Norgestimate;Placebo,1.059999943
P1337,Ethinyl Estradiol/Norgestrel;Placebo,2.25
P1338,Etomidate,214.0800018
P1339,Etonogestrel,1776.810059
P1340,Etoposide,1.629999995
P1341,Etravirine,43.81999969
P1342,Ezetimibe,29.64999962
P1343,Famciclovir,1.899999976
P1344,Famotidine,3.529999971
P1345,Fat Emulsion,879.960022
P1346,Fenoldopam Mesylate,2018.660034
P1347,Fentanyl,25.56999969
P1348,FENTANYL (PF) 10 MCG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SYRINGE,16.79000092
P1349,FENTANYL (PF) 2 MCG/ML-BUPIVACAINE 0.0625 %-NACL INJECTION SOLUTION,78.62999725
P1350,FENTANYL (PF) 2 MCG/ML-BUPIVACAINE 0.1 %-NACL INJECTION SOLUTION 250ML,142.3999939
P1351,FENTANYL (PF) 2 MCG/ML-BUPIVACAINE 0.125 %-NACL INJECTION SOLUTION,128.1999969
P1352,Fentanyl Citrate,1.879999995
P1353,Ferric Subsulfate,633.5200195
P1354,Ferrous Gluconate,0.119999997
P1355,Ferrous Sulfate,314.6000061
P1356,Fexofenadine Hydrochloride,4.650000095
P1357,Fidaxomicin,684.5499878
P1358,Filgrastim,1.840000033
P1359,Finasteride,1.049999952
P1360,Flecainide Acetate,0.939999998
P1361,Fluconazole,14.56999969
P1362,Flucytosine,168.7799988
P1363,Fludarabine Phosphate,139.7200012
P1364,Flumazenil,126.5199966
P1365,Flunisolide,171.0299988
P1366,Fluocinonide,108.7399979
P1367,Fluorescein Sodium,57.99000168
P1368,Fluorometholone,247.7200012
P1369,Fluorometholone Acetate,259.0400085
P1370,Fluorouracil,5.940000057
P1371,Fluoxetine Hydrochloride,0.25999999
P1372,Fluphenazine Decanoate,121.5
P1373,Fluphenazine Hydrochloride,310.3299866
P1374,Fluticasone Propionate,435.9700012
P1375,Folic Acid,39.15000153
P1376,Fomepizole,35.79000092
P1377,Fondaparinux Sodium,10.61999989
P1378,Fosaprepitant  Dimeglumine,8.81000042
P1379,Foscarnet Sodium,274.8900146
P1380,Fosfomycin Tromethamine,295.2000122
P1381,Fosinopril Sodium,1.059999943
P1382,Fosphenytoin Sodium,5.800000191
P1383,Fulvestrant,372.4700012
P1384,Furosemide,6.599999905
P1385,Gabapentin,49.27999878
P1386,Galantamine Hydrobromide,4.730000019
P1387,Ganciclovir Sodium,193.3699951
P1388,"Gel, Multi Ingredient",153.2100067
P1389,Gelatin Sponge,17.72999954
P1390,"Gelatin Sponge;Thrombin, Bovine",390.480011
P1391,Gemcitabine Hydrochloride,26.71999931
P1392,Gemtuzumab Ozogamicin,728.8900146
P1393,Gentamicin Sulfate,32.56000137
P1394,Gentamicin Sulfate/prednisoLONE acetate,515.7600098
P1395,Gentamicin Sulfate/Sodium Chloride,8.260000229
P1396,glipiZIDE,1.190000057
P1397,Glucagon Hydrochloride,233.0599976
P1398,GLUCOSE 4 GRAM CHEWABLE TABLET,6.96999979
P1399,Glycerin,25.75
P1400,GLYCERIN (CHILD) RECTAL SUPPOSITORY,23.42000008
P1401,Glycerin/Propylene Glycol,18.87000084
P1402,Glycine/Sodium Chloride,74.80000305
P1403,Glycopyrrolate,609.9299927
P1404,Granisetron Hydrochloride,41.68000031
P1405,Haemophilus B Conjugate Vaccine,39.5
P1406,Haloperidol,1.639999986
P1407,Haloperidol Lactate,196.0200043
P1408,HC/Neomycin Sulf/Polymyxin B Sulf,215.7200012
P1409,"Hep A Vac, Inactivated/Hep B Vac Recombinant",357.4299927
P1410,Heparin Sodium,2.819999933
P1411,Heparin Sodium/Sodium Chloride,5.360000134
P1412,"Hepatitis A Vaccine, Inactivated",157.1399994
P1413,Hepatitis B Immune Globulin,456.1199951
P1414,Hepatitis B Vaccine Recombinant,206.7899933
P1415,Hetastarch/Sodium Chloride,660.460022
P1416,"Human Papillomavirus 9-valent Vaccine, Recombinant",739.2999878
P1417,Hyaluronic Acid,533.8400269
P1418,hydrALAZINE hydrochloride,2.920000076
P1419,Hydrochlorothiazide,0.079999998
P1420,Hydrochlorothiazide/Triamterene,0.810000002
P1421,Hydrocortisone,10.31000042
P1422,Hydrocortisone Acetate,11.02999973
P1423,Hydrocortisone Acetate/Pramoxine Hydrochloride,311.3599854
P1424,Hydrocortisone Butyrate,144.1600037
P1425,Hydrocortisone Sodium Succinate,45.65999985
P1426,HYDROMORPHONE 0.2 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,43.13999939
P1427,HYDROMORPHONE 50 MG/50 ML IN 0.9 % SODIUM CHLORIDE INJECTION,107
P1428,HYDROmorphone hydrochloride,11.44999981
P1429,Hydroxychloroquine Sulfate,8.819999695
P1430,hydrOXYzine hydrochloride,60.40000153
P1431,Ibuprofen,3.900000095
P1432,Ibuprofen Lysine,997.1099854
P1433,Ibutilide Fumarate,1552.23999
P1434,Idarubicin Hydrochloride,122.0100021
P1435,Idarucizumab,6094.379883
P1436,Ifosfamide,108
P1437,Imipramine Hydrochloride,0.930000007
P1438,Immune Globulin,163.0099945
P1439,IncobotulinumtoxinA,21.51000023
P1440,Indocyanine Green,1304.550049
P1441,Indomethacin Sodium,1232.630005
P1442,Insulin Detemir,2.069999933
P1443,"Insulin Glargine, Recombinant",5.010000229
P1444,Insulin Human Isophane (NPH),0.319999993
P1445,Insulin Human Regular,0.310000002
P1446,"Insulin Lispro, Recombinant",1.309999943
P1447,Interferon Alfa-2b,119.8499985
P1448,Iodine/Potassium Iodide,121.9599991
P1449,Iohexol,0.280000001
P1450,Ipratropium Bromide,430.6600037
P1451,Irbesartan,1.429999948
P1452,Irinotecan Hydrochloride,10.27000046
P1453,Iron Sucrose,1.25999999
P1454,Isoflurane,306.1199951
P1455,Isoniazid,3.130000114
P1456,ISOPROTERENOL 0.2 MG/ML INJECTION SOLUTION,20183.17969
P1457,Isoproterenol Hydrochloride,22934.89063
P1458,Isosorbide Dinitrate,2.109999895
P1459,Isosorbide Mononitrate,1.480000019
P1460,Isosulfan Blue,69.87999725
P1461,Itraconazole,38.47999954
P1462,Ivermectin,18.37999916
P1463,Ixabepilone,341.1300049
P1464,"Japanese Encephalitis Vaccine, Inactivated Adsorb",1076.099976
P1465,"K Phos/Na Phos, Dibasic/Na Phos, Monobasic",2.019999981
P1466,KETAMINE 50 MG/5 ML (10 MG/ML) IN 0.9 % SODIUM CHLORIDE IV SYRINGE,19.12999916
P1467,Ketamine Hydrochloride,105.7799988
P1468,Ketoconazole,71.12000275
P1469,Ketorolac Tromethamine,13.64000034
P1470,Labetalol Hydrochloride,30.62000084
P1471,Lacosamide,32.31000137
P1472,Lactase,0.319999993
P1473,Lactated Ringer's Solution/Oxytocin,50.36000061
P1474,Lactose,173.0399933
P1475,Lactulose,24.47999954
P1476,Lamivudine,6.460000038
P1477,Lamivudine/Zidovudine,30.21999931
P1478,Lamotrigine,0.430000007
P1479,Lanreotide Acetate,241.6300049
P1480,Lanthanum Carbonate,47.43999863
P1481,Latanoprost,26.81999969
P1482,Leflunomide,16.14999962
P1483,Letrozole,0.430000007
P1484,Leucovorin Calcium,13.14999962
P1485,Leuprolide Acetate,3322.52002
P1486,Levalbuterol Hydrochloride,70.88999939
P1487,Levetiracetam,0.959999979
P1488,LEVETIRACETAM 100 MG/ML ORAL SOLUTION WRAPPER,440
P1489,Levobunolol Hydrochloride,8.079999924
P1490,Levocarnitine,110.0400009
P1491,Levofloxacin,64.55000305
P1492,Levonorgestrel,1817.5
P1493,Levothyroxine Sodium,65.05999756
P1494,Lidocaine,106.0299988
P1495,Lidocaine Hydrochloride,119.2099991
P1496,Lidocaine/Prilocaine,73.56999969
P1497,Lidocaine/Tetracaine,58.59000015
P1498,Linezolid,356.4299927
P1499,Liraglutide,38.20999908
P1500,Lisdexamfetamine Dimesylate,5.349999905
P1501,Lisinopril,0.349999994
P1502,Lithium Carbonate,0.74000001
P1503,Lithium Citrate,366.8399963
P1504,Loperamide Hydrochloride,4.670000076
P1505,Lopinavir/Ritonavir,1576.73999
P1506,Loratadine,1.080000043
P1507,LORATADINE 5 MG/5 ML ORAL SOLUTION,15.26000023
P1508,Lorazepam,8.619999886
P1509,Losartan Potassium,1.299999952
P1510,Lurasidone Hydrochloride,147.1000061
P1511,Magnesium Citrate,40.93000031
P1512,Magnesium Hydroxide,317.6199951
P1513,Magnesium Oxide,0.319999993
P1514,Magnesium Sulfate,4.460000038
P1515,Manganese Chloride,2086.879883
P1516,Mannitol,553.4400024
P1517,Maraviroc,91.30000305
P1518,"Measles, Mumps, and Rubella Virus Vaccine, Live",251.6000061
P1519,Meclizine Hydrochloride,1.50999999
P1520,medroxyPROGESTERone acetate,2.319999933
P1521,Megestrol Acetate,350.6300049
P1522,Melphalan Hydrochloride,2527.860107
P1523,Memantine Hydrochloride,1.190000057
P1524,Meningococcal Polysaccharide Vac Diphtheria Conj,365.3999939
P1525,"Meningococcal Vaccine, Group B",545.960022
P1526,Mepivacaine Hydrochloride,10.60000038
P1527,Mercaptopurine,3.730000019
P1528,Meropenem,4.320000172
P1529,Mesalamine,41.50999832
P1530,Mesna,6.260000229
P1531,Metformin Hydrochloride,1.100000024
P1532,Methadone Hydrochloride,34.06999969
P1533,Methimazole,0.469999999
P1534,Methocarbamol,0.310000002
P1535,METHOCARBAMOL 500 MG TABLET,30.69000053
P1536,METHOHEXITAL IN STERILE WATER (PF) 100 MG/10 ML (10 MG/ML) IV SYRINGE,4165
P1537,Methohexital Sodium,233.4799957
P1538,Methotrexate Sodium,3.960000038
P1539,Methylene Blue,11.15999985
P1540,Methylergonovine Maleate,122.3099976
P1541,Methylnaltrexone Bromide,31.21999931
P1542,Methylphenidate Hydrochloride,2.099999905
P1543,methylPREDNISolone,9.020000458
P1544,methylPREDNISolone acetate,37.25999832
P1545,methylPREDNISolone sodium succinate,18.69000053
P1546,Metoclopramide Hydrochloride,71.55999756
P1547,Metolazone,4.309999943
P1548,Metoprolol Succinate,2.49000001
P1549,Metoprolol Tartrate,2.289999962
P1550,Metronidazole,79.33999634
P1551,"Metronidazole Benzoate;Suspension, Multi Ingredien",198.7200012
P1552,Mexiletine Hydrochloride,2.329999924
P1553,Micafungin Sodium,0.25999999
P1554,Miconazole Nitrate,13.72999954
P1555,MICROFIBRILLAR COLLAGEN HEMOSTAT POWDER,5289.029785
P1556,MIDAZOLAM 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,71.40000153
P1557,Midazolam Hydrochloride,1.029999971
P1558,Midodrine Hydrochloride,3.710000038
P1559,Milrinone Lactate,4.880000114
P1560,Mineral Oil,62.31999969
