Antelope Valley Hospital,,
FY2018 AVERAGE CHARGES BY DRG,,
DRG,DRG Description,Average Charge Per Stay
675,OTHER KIDNEY & URINARY TRACT PROCEDURES W/O CC/MCC,"$37,659.45"
682,RENAL FAILURE W MCC,"$69,459.77"
683,RENAL FAILURE W CC,"$36,020.11"
684,RENAL FAILURE W/O CC/MCC,"$29,982.23"
689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"$48,910.33"
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"$38,119.29"
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"$19,324.05"
696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,"$45,546.09"
698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"$95,460.06"
699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"$50,992.86"
700,OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,"$73,695.90"
707,MAJOR MALE PELVIC PROCEDURES W CC/MCC,"$88,002.70"
708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,"$80,764.06"
709,PENIS PROCEDURES W CC/MCC,"$87,000.78"
711,TESTES PROCEDURES W CC/MCC,"$47,591.70"
713,TRANSURETHRAL PROSTATECTOMY W CC/MCC,"$34,126.23"
723,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM W CC","$43,433.58"
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"$29,419.80"
737,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W CC,"$114,922.05"
738,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W/O CC/MCC,"$50,888.98"
741,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W/O CC/MCC","$109,349.15"
742,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,"$38,134.75"
743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"$47,791.68"
744,"D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W CC/MCC","$63,431.68"
746,"VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC","$68,997.90"
749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC,"$75,370.40"
754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W MCC","$205,161.65"
755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC","$60,863.65"
757,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W MCC","$45,164.72"
765,CESAREAN SECTION W CC/MCC,"$52,800.40"
766,CESAREAN SECTION W/O CC/MCC,"$27,660.05"
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"$27,199.07"
779,ABORTION W/O D&C,"$21,592.45"
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,"$55,472.27"
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,"$46,566.77"
811,RED BLOOD CELL DISORDERS W MCC,"$68,788.00"
812,RED BLOOD CELL DISORDERS W/O MCC,"$37,590.74"
813,COAGULATION DISORDERS,"$61,954.90"
816,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W/O CC/MCC,"$21,680.05"
822,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC,"$47,792.80"
823,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W MCC,"$128,629.93"
824,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W CC,"$61,772.76"
826,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W MCC,"$135,097.06"
828,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC,"$87,299.65"
835,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,"$11,112.70"
841,LYMPHOMA & NON-ACUTE LEUKEMIA W CC,"$83,829.50"
842,LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,"$47,636.50"
843,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,"$168,957.64"
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"$251,950.24"
854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"$61,622.43"
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,"$174,102.03"
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,"$49,794.23"
862,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,"$46,840.53"
863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,"$55,004.98"
864,FEVER,"$32,156.24"
865,VIRAL ILLNESS W MCC,"$63,964.30"
866,VIRAL ILLNESS W/O MCC,"$31,750.35"
868,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC,"$18,064.50"
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS,"$269,218.24"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"$91,710.94"
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"$47,867.44"
880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,"$30,273.49"
881,DEPRESSIVE NEUROSES,"$30,350.68"
882,NEUROSES EXCEPT DEPRESSIVE,"$14,698.43"
884,ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,"$24,974.99"
885,PSYCHOSES,"$27,491.92"
894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA","$28,342.30"
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"$30,042.63"
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"$39,160.45"
901,WOUND DEBRIDEMENTS FOR INJURIES W MCC,"$100,879.55"
902,WOUND DEBRIDEMENTS FOR INJURIES W CC,"$141,834.55"
904,SKIN GRAFTS FOR INJURIES W CC/MCC,"$72,187.20"
905,SKIN GRAFTS FOR INJURIES W/O CC/MCC,"$39,944.50"
907,OTHER O.R. PROCEDURES FOR INJURIES W MCC,"$117,045.03"
908,OTHER O.R. PROCEDURES FOR INJURIES W CC,"$43,273.37"
909,OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC,"$37,327.25"
914,TRAUMATIC INJURY W/O MCC,"$36,956.16"
915,ALLERGIC REACTIONS W MCC,"$22,953.00"
916,ALLERGIC REACTIONS W/O MCC,"$18,774.67"
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"$55,894.11"
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"$27,966.62"
919,COMPLICATIONS OF TREATMENT W MCC,"$72,580.08"
920,COMPLICATIONS OF TREATMENT W CC,"$26,800.11"
921,COMPLICATIONS OF TREATMENT W/O CC/MCC,"$38,035.79"
922,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W MCC","$147,284.71"
940,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC,"$88,638.30"
941,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC,"$67,958.20"
947,SIGNS & SYMPTOMS W MCC,"$26,160.85"
948,SIGNS & SYMPTOMS W/O MCC,"$25,868.47"
950,AFTERCARE W/O CC/MCC,"$9,008.60"
956,"LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA","$149,344.23"
957,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W MCC,"$321,451.71"
958,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC,"$194,907.15"
963,OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC,"$88,471.68"
964,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,"$95,728.40"
965,OTHER MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,"$44,493.25"
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$141,160.45"
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$64,992.50"
983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"$64,930.65"
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$181,441.62"
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$162,184.85"
