MNEMONIC,DESC.,CUR PRICE 12/2018
LRX2170497,XR OS CALCIS HEEL RT,654.6
LRX2170499,XR RIBS RT,654.6
LRX2170503,XR TOE GREAT RT,654.6
LRX2170505,XR TOE SECOND RT,654.6
LRX2170507,XR TOE THIRD RT,654.6
LRX2170509,XR TOE FOURTH RT,654.6
LRX2170511,XR TOE FIFTH RT,654.6
LRX2170513,XR ANKLE AP & LAT LT,654.6
LRX2170515,XR ANKLE COMPLETE LT,654.6
LRX2170519,XR FOOT AP & LAT LT,654.6
LRX2170521,XR FOOT COMPLETE LT,654.6
LRX2170531,XR KNEE & PATELLA W/OBLIQUES L,654.6
LRX2170533,XR KNEE AP & LAT LT,654.6
LRX2170535,XR KNEE COMPLETE LT,654.6
LRX2170537,XR TIBIA FIBULA LT,654.6
LRX2170539,XR OS CALCIS HEEL LT,654.6
LRX2170541,XR RIBS LT,654.6
LRX2170545,XR TOE GREAT LT,654.6
LRX2170547,XR TOE SECOND LT,654.6
LRX2170549,XR TOE THIRD LT,654.6
LRX2170551,XR TOE FOURTH LT,654.6
LRX2170553,XR TOE FIFTH LT,654.6
LRX2170559,XR FLUOROGUIDE FOR SPINE INJEC,1316.61
LRX2170644,XRACB CLAVICLE BILAT,0
LRX2170646,XRACB ELBOW BILAT MIN 3VW EASD,0
LRX2170648,XRACB FORARM BILAT 2VW EA SIDE,0
LRX2170650,XRACB HMERUS BILT MIN2VW EA SD,0
LRX2170652,XRACB SCAPULA BILAT,0
LRX2170654,XRCB SHOULD BILAT MIN2VW EA SD,0
LRX2170656,XRACB WRIST AP & LAT BILAT,0
LRX2170658,XRACB WRIST COMP BILAT 3VWEASD,0
LRX2170660,XRACB HAND AP & LAT BILAT,0
LRX2170662,XRACB HAND COMP BILAT 3VW EASD,0
LRX2170664,XRACB ANKLE AP & LAT BILAT,0
LRX2170666,XRACB ANKLE COMP BILAT 3VWEASD,0
LRX2170668,XRACB FEMUR BILAT 2VWS EA SIDE,0
LRX2170670,XRACB FOOT AP & LAT BILAT,0
LRX2170672,XRACB FOOT COMP BILAT 3VW EASD,0
LRX2170674,XRACB TIB FIB BILAT 2VW EA SD,0
LRX2170676,XRACB KNEE AP & LAT BILAT,0
LRX2170679,XR BONE DENS APPEND SKEL DUAL,424.5
LRX2170683,XR BONE LNGTH STDY (SCANOGRAM),654.6
LRX2170740,C-SPINE AP&LAT FLEX & EXT,1096.9
LRX2170741,L-SPINE AP&LAT FLEX & EXT,1096.9
LRX2170745,BILATERAL RIBS INC AP CXR,1096.9
LRX2170746,XRACB CHEST 3VWS INS/EXP/LAT,0
LRX2170774,XR KNEE SINGLE VIEW,654.6
LRX2170776,XR ELBOW 2 VIEW RT,623.43
LRX2170777,XR ELBOW 2 VIEW LT,623.43
LRX2170797,XR BONE DENSTY W VERTEB ASSMT,341.05
LRX2170798,XR BONE DENSITY > VERTEB ASSMT,213.06
LRX2170823,UNLIST DIAG RADIOLOGIC PROC,3065.07
LRX2170825,RAD EXAM SPINAL COLUMN 1 VIEW,1096.9
LRX2170826,RAD EXAM SPINAL COLUMN 2-3VWS,1096.9
LRX2170829,EXAM HIP/PELVIS 1 VIEW LT,631.92
LRX2170830,EXAM HIP/PELVIS 1 VIEW RT,631.92
LRX2170831,EXAM HIP/PELVIS 2-3 VIEWS LT,631.92
LRX2170832,EXAM HIP/PELVIS 2-3 VIEWS RT,631.92
LRX2170833,EXAM HIP/PELVIS 4 VIEWS LT,631.92
LRX2170834,EXAM HIP/PELVIS 4 VIEWS RT,631.92
LRX2170835,EXAM HIP/PEL BILAT 2 VIEWS,1096.9
LRX2170836,EXAM HIP/PEL BILAT 3-4 VIEWS,1096.9
LRX2170837,EXAM HIP/PEL BILAT 5 VIEWS,1096.9
LRX2170839,EXAM FEMUR 1 VIEW LT,654.6
LRX2170840,EXAM FEMUR 1 VIEW RT,654.6
LRX2170841,EXAM FEMUR 2 VIEWS-RT,654.6
LRX2170842,EXAM FEMUR 2 VIEWS-LT,654.6
LRX2170880,XR CHEST 1 VIEW,654.6
LRX2170881,XR CHEST 2 VIEWS,654.6
LRX2170882,XR CHEST 3 VIEWS,654.6
LRX2170883,XR CHEST 4 & > VIEWS,654.6
LRX2170885,XR ABD/KUB 1 VIEW,654.6
LRX2170886,XR ABD/KUB 2 VIEWS,1496.31
LRX2170895,XRCB KNEE COMPLETE RT & LT,0
LRX2170897,XRwXS BONE DENS APPND SKL DUAL,424.5
LRX2170898,XR SHOULDER RT 1 VIEW,654.6
LRX2170899,XR SHOULDER LT 1 VIEW,654.6
LRX2170900,XR UPPR GI-SMALL BOWEL W CON,830.79
LRX2170902,XR ABD SERIES 3-4 VIEWS,1352.26
LRX2170905,XRACB FL LUMBAR PUNC-CISTERNGM,0
MAM0170104,ASPIR FINE NDL W IMAGE GUID,4100
MAM0170106,RADIOL EXAM OF SURG SPECIM,1184
MAM0170111,XR GALACTAGRAM DUCT SNGL,1495
MAM0170112,XR GALACTAGRAM DUCT MULT,1495
MAM0170113,INJECT MAMMARY DUCTOGRAM,1128
MAM0170117,DX MAMMO DIG BILAT ALL VIEWS,775
MAM0170119,DX MAMMO DIGITAL UNILAT V,739
MAM0170121,ASPIRATE PUNCTURE BREAST CYST,4520
MAM0170122,ASPIRAT PUNC BREAST ADD CYST,1486
MAM0170132,DIG DX MAMMO UNILAT LT,739
MAM0170133,DIG DX MAMMO UNILAT RT,739
MAM0170134,DX MAMMO DIG BILAT 2ND-SAMEDAY,775
MAM0170135,UNILATERAL STEREOTACTIC MAMMO,0
MAM0170618,TOMOSYNTHESIS,0
MAM0170619,MAMCB TOMO SCREEN MAMMO BIL,0
MAM0170622,TOMOSYN SCREENING UNILATERAL,0
MAM0170623,TOMOSYN DIAGNOSTIC UNILATERAL,0
MAM0170624,MAMCB TOMOSYN SCRN UNILAT MAM,0
MAM0170625,MAMCB TOMOSYN DX UNILT,0
MAM0170626,TOMOSYNTHESIS DIAG BILAT,0
MAM0170627,MAMCB TOMO DIAG w CAD BILAT,0
MAM0170629,BX BREAST CORE W CLP STER GUID,10072
MAM0170630,BX BREAST CORE VAC W CLP STRGD,10072
MAM0170631,BX BREAST CORE W CLP STER ADDL,8561
MAM0170632,BX BREAST CORE VAC W CLP ADDLS,8561
MAM0170633,LOCLAZTN BREAST INIT MAM GUID,1410
MAM0170634,LOCALATN BREAST MAM GUID ADD,1198
MAM0170635,LOCALZTN BREAST INL STER GUID,1410
MAM0170636,LOCAL BREAST INL STER GUID ADL,1198
MAM0170640,TOMOSYNTHES - DIG BREAST UNILT,87
MAM0170641,TOMOSYNTHES - DIG BREAST BILAT,87
MAM0170642,TOMOSYNTHS-DIG BREAST SCRENG,87
MAM0170644,MAMCB POST BX UNI MAM W TOMO,0
MAM0170645,MAMCB PST BIL MAMMO W TOMO,0
MAM0170650,DX MAMMO W CAD UNILATERAL,1077
MAM0170651,DX MAMMO W CAD BILATERAL,1082
MAM0170652,SCREENING MAMMO W CAD BILAT,1012
MAM0170653,SCREENING MAMMO W CAD UNILAT,1010
MAM0170701,SCREENING TOMO W CAD BILAT,0
MAM0170702,SCREENING TOMO W CAD BILAT,0
MAM0170703,SCREENING MAMMO W CAD UNILAT,0
MAM0170704,SCREENING MAMMO W CAD BILAT,0
MAM0170710,MAM REPEAT EXAM-SAME DAY $0.00,0
MAM0370104,ASPIR FINE NDL W IMAGE GUID,4099.69
MAM0370106,RADIOL EXAM OF SURG SPECIM,1183.87
MAM0370111,XR GALACTAGRAM DUCT SNGL,1494.24
MAM0370112,XR GALACTAGRAM DUCT MULT,1494.24
MAM0370113,INJECT MAMMARY DUCTOGRAM,1127.18
MAM0370117,DX MAMMO DIG BILAT ALL VIEWS,774.92
MAM0370119,DX MAMMO DIGITAL UNILAT V,738.46
MAM0370121,ASPIRATE PUNCTURE BREAST CYST,4519.91
MAM0370122,ASPIRAT PUNC BREAST ADD CYST,1485.15
MAM0370132,DIG DX MAMMO UNILAT LT,738.46
MAM0370133,DIG DX MAMMO UNILAT RT,738.46
MAM0370134,DX MAMMO DIG BILAT 2ND-SAMEDAY,774.92
MAM0370135,UNILATERAL STEREOTACTIC MAMMO,0
MAM0370618,TOMOSYNTHESIS,0
MAM0370619,MAMCB TOMOSYN SCREEN MAMMO,0
MAM0370622,TOMOSYN SCREENING UNILATERAL,0
MAM0370623,TOMOSYN DIAGNOSTIC UNILATERAL,0
MAM0370624,MAMCB TOMOSYN SCRN UNILAT,0
MAM0370625,MAMCB TOMOSYN DIAG UNILT MAM,0
MAM0370626,TOMOSYNTHESIS DIAG BILAT,0
MAM0370627,MAMCB TOMO DIAG BILAT MAM,0
MAM0370629,BX BREAST CORE W CLP STER GUID,10071.26
MAM0370630,BX BREAST CORE VAC W CLP STRGD,10071.26
MAM0370631,BX BREAST CORE W CLP STER ADDL,8560.57
MAM0370632,BX BREAST CORE VAC W CLP ADDLS,8560.57
MAM0370633,LOCALZTN BREAST INIT MAM GUID,1409.35
MAM0370634,LOCALZTN BREAST INIT GUID ADLS,1197.93
MAM0370635,LOCALZTN BREAST INIT STER GUID,1409.35
MAM0370636,LOCALZTN BREAST INIT GUID ADL,1197.93
MAM0370640,TOMOSYNTHES - DIG BREAST UNILT,86.65
MAM0370641,TOMOSYNTHES - DIG BREAST BILAT,86.65
MAM0370642,TOMOSYNTHS-DIG BREAST SCRENG,86.65
MAM0370644,MAMCB POST BX UNI MAM W TOMO,0
MAM0370645,MAMCB PST BIL MAMMO W TOMO,0
MAM0370650,DX MAMMO W CAD UNILATERAL,1076.72
MAM0370651,DX MAMMO W CAD BILATERAL,1081.6
MAM0370652,SCREENING MAMMO W CAD BILAT,1011.92
MAM0370653,SCREENING MAMMO w CAD UNILAT,1009.22
MAM0370655,EXCISN BREAST LESION ID MARKER,9650.16
MAM0370656,EXCISION BREAST LESN MARKR ADD,0
MAM0370710,MAM REPEAT EXAM-SAME DAY $0.00,0
MAM0770104,ASPIR FINE NDL W IMAGE GUID,4099.69
MAM0770106,RADIOL EXAM OF SURG SPECIM,1183.87
MAM0770111,XR GALACTAGRAM DUCT SNGL,1494.24
MAM0770112,XR GALACTAGRAM DUCT MULT,1494.24
MAM0770113,INJECT MAMMARY DUCTOGRAM,1127.18
MAM0770117,DX MAMMO DIG BILAT ALL VIEWS,774.92
MAM0770119,DX MAMMO DIGITAL UNILAT V,738.46
MAM0770121,ASPIRATE PUNCTURE BREAST CYST,4519.91
MAM0770122,ASPIR PUNC BREAST ADD CYST,1485.15
MAM0770132,DIG DX MAMMO UNILAT LT,738.46
MAM0770133,DIG DX MAMMO UNILAT RT,738.46
MAM0770134,DX MAMMO DIG BILAT 2ND-SAMEDAY,774.92
MAM0770135,UNILATERAL STEREOTACTIC MAMMO,0
MAM0770618,TOMOSYNTHESIS,0
MAM0770619,MAMCB TOMOSYN SCREEN MAMMO,0
MAM0770622,TOMOSYN SCREENING UNILATERAL,0
MAM0770623,TOMOSYN DIAGNOSTIC UNILATERAL,0
MAM0770624,MAMCB TOMOSYN SCRN UNILAT,0
MAM0770625,MAMCB TOMOSYN DX UNILT MAM,0
MAM0770626,TOMOSYNTHESIS DIAG BILAT,0
MAM0770627,MAMCB TOMO DIAG BILAT MAM,0
MAM0770629,BX BREAST CORE W CLP STER GUID,10071.26
MAM0770630,BX BREAST CORE VAC W CLP STRGD,10071.26
MAM0770631,BX BREAST CORE W CLP STER ADDL,8560.57
MAM0770632,BX BREAST CORE VAC W CLP ADDLS,8560.57
MAM0770633,LOCALZTN BREAST INIT MAM GUID,1409.35
MAM0770634,LOCAL BREAST INIT GUID ADLS,1197.93
MAM0770635,LOCALZTN BREAST INIT STER GUID,1409.35
MAM0770636,LOCALZTN BREAST INIT GUID ADL,1197.93
MAM0770640,TOMOSYNTHES - DIG BREAST UNILT,86.65
MAM0770641,TOMOSYNTHES - DIG BREAST BILAT,86.65
MAM0770642,TOMOSYNTHS-DIG BREAST SCRENG,86.65
MAM0770644,MAMCB POST BX UNI MAM W TOMO,0
MAM0770645,MAMCB PST BIL MAMMO W TOMO,0
MAM0770650,DX MAMMO W CAD UNILATERAL,1076.72
MAM0770651,DX MAMMO W CAD BILATERAL,1081.6
MAM0770652,SCREENING MAMMO W CAD BILAT,1011.92
MAM0770653,SCREENING MAMMO w CAD UNILAT,1009.22
MAM0770710,MAM REPEAT EXAM-SAME DAY $0.00,0
MAT0145001,CIRCUMCISION - NEWBORN NURSERY,1731.16
MAT0145003,EXCHANGE TRNSFUS NEWBRN NURSRY,6404.72
MAT0145005,AUDIO EVOKD POTEN COMP NURSERY,1124.36
MAT0145101,CIRCUMCISION -  NICU,1731.16
MAT0145103,AUDIO EVOKD POTEN COMP NICU,1124.36
MAT0145200,PACU / L&D 1ST 60 MIN -FLAT RT,2451.75
MAT0145201,PACU/L&D 61 MIN & UP / MIN,54.36
MAT0145203,VAGINAL DELIV W OR W/O EPISOTO,13426.19
MAT0145205,VAGINAL DELIV W/ W/O EPISOT TW,21504.74
MAT0145207,VAGINAL DELIV FOR TRIPLE OR MO,21504.74
MAT0145209,FET BIOPHYSICAL PROFILE W/NST,1526.29
MAT0145211,CERCLAGE REMOVAL IN LABOR ROOM,802.98
MAT0145213,CERCLAGE PLACEMENT IN L&D/MIN,170.33
MAT0145215,OPER PROCEDURE / L&D / MIN,189.27
MAT0145223,CARE TO PT DELIVRD OUTSID HOSP,977.59
MAT0145227,TUBAL STERILIZATN IN L&D / MIN,191.98
MAT0145229,EXTERNAL CEPHALIC VERSION,2131.32
MAT0145230,AMNIOCENTESIS DIAGNOSTIC,3349.74
MAT0145231,FETAL NON-STRESS TEST,1156.99
MAT0145300,C-SECTION DEL- 1ST 30 MIN - FR,7402.87
MAT0145301,C-SECT/SINGLE 31 MIN & UP/ MIN,213.82
MAT0145302,C-SECT/MULTI 31 MIN & UP / MIN,233.02
MAT0145307,INFUSN: HYDRT INIT 31MIN >1HR,612.55
MAT0145308,INFUSION: HYDRATION EA ADD HR,412.54
MAT0145310,US PELVIC FETAL LMTD,901.2
MAT0145311,US OB FOLLOW UP/PER FETUS,901.2
MAT0145312,US TRANSVAGINAL OB CERV LENGTH,901.2
MAT0145313,FET BIOPHYS PROFILE W/O NST,1446.14
MIC0152661,RHEMATOID FACTOR QUANT,136.68
MIC0172675,DNA PCR BABESIA AMP,764.8
MIC0181169,H PYLORI IgM,81.6
MIC0181170,H PYLORI IgA,81.6
MIC0182001,AFB CULTURE - ISO ONLY,260.14
MIC0182007,MIC FUNGAL -- PANEL,0
MIC0182009,FUNGAL MIC DRUG 1,21.83
MIC0182011,FUNGAL MIC DRUG 2,21.83
MIC0182013,FUNGAL MIC DRUG 3,21.83
MIC0182015,FUNGAL MIC DRUG 4,21.83
MIC0182017,FUNGAL MIC DRUG 5,21.83
MIC0182019,PARVOVIRUS B19 ULTRAQUANT,1031.22
MIC0182021,FAT SMEAR,104
MIC0182023,PARASITE DIRECT REVIEW,214.13
MIC0182025,ANAEROBIC CULTURE ID,194.43
MIC0182027,FUNGUS CULTURE,202.16
MIC0182029,REDUCING SUBSTANCES - QUANT,52.13
MIC0182031,TRICHINELLA ANTIBODY,302.54
MIC0182033,POSITIVE BLOOD CULT WORKUP,0
MIC0182035,BACTERIAL IDENT - BLOOD CULT,181.32
MIC0182037,GRAM STAIN - BLOOD CULT,102.76
MIC0182039,BACTERIAL DISC SENSITIVITY,166.11
MIC0182041,DNA PCR VARICELA ULTRAQUNT DIR,764.8
MIC0182045,VARICELLA DNA ULTRAQUANT AMP,1031.22
MIC0182047,CANDIDA ANTIBODY,289.07
MIC0182049,UNLISTED MICROBIOLOGY PROCEDUR,0
MIC0182051,HELICOBACTER PYLORI IGG,81.6
MIC0182053,HISTOPLASMA ANTIGEN,288.83
MIC0182057,INFLUENZA A ANTIGEN,50
MIC0182059,CHLAMYDIA SEROLOGY,305.54
MIC0182061,LYME PCR,482.75
MIC0182065,MYCOPLASMA IGB,318.88
MIC0182069,HIV-1 P24 ANTIGEN,424.76
MIC0182071,DARKFIELD EXAM,258.52
MIC0182073,HIV 1 GENOTYPE PLUS/1,844.9
MIC0182075,PARVOVIRUS lgG ANTIBODY,153.45
MIC0182076,PARVOVIRUS lgM ANTIBODY,153.45
MIC0182077,LEGIONELLA UR ANTIGEN,288.83
MIC0182079,TRICHROME SMEAR,362.28
MIC0182081,CULTURE - MYCOPLASMA,370.52
MIC0182083,VIRAL SEROLOGY SINGLE SPECIMEN,288.83
MIC0182085,NEISSERIA GONORRHEA PROBE,482.75
MIC0182087,CHLAMYDIA TRACHOMATIS PROBE,482.75
MIC0182089,CHLAMYDIA TRACHOMATIS CULT,471.65
MIC0182093,VIRAL SEROLOGY ACUTE,288.83
MIC0182095,MALARIA SMEAR,98.9
MIC0182097,VIRAL SEROLOGY CONV,288.83
MIC0182099,EOSINOPHIL SMEAR,114.36
MIC0182101,MEASLES ACUTE (IGM),310.28
MIC0182103,HIV-1 QUANTITATIVE RNA (PCR),2048.59
MIC0182105,WRIGHT STAIN,114.36
MIC0182107,HIV-1 AMPLIFIED PROBE,844.9
MIC0182119,AFB SMEAR,129.45
MIC0182123,HIV TISSUE CULT INOC AND OBSER,627.42
MIC0182125,HIV TISSUE CULT ADDITIONAL STU,486.24
MIC0182127,AFB CULTURE,260.14
MIC0182131,H G E IFA IGG,250.82
MIC0182133,H G E IFA IGM,250.82
MIC0182137,HSV TYPE 1 ASSAY,296.74
MIC0182139,HSV TYPE 2 ASSAY,296.74
MIC0182143,LYME WB IGG,158.1
MIC0182145,LYME WB IGM,158.1
MIC0182147,CHLAMYDIA EIA,288.83
MIC0182151,B PERTUSSIS CULTURE,159.62
MIC0182153,B PARAPERTUSSIS CULTURE,159.62
MIC0182155,B PERTUSSIS FA,288.83
MIC0182157,B PARAPERTUSSIS FA,288.83
MIC0182159,HIV-1 EIA,213.75
MIC0182163,HSV TYPE 1 PCR,844.9
MIC0182165,HSV TYPE 2 PCR,844.9
MIC0182167,TYPHUS IGG,465.91
MIC0182169,TYPHUS IGM,465.91
MIC0182173,RMSF IGG,465.91
MIC0182175,RMSF IGM,465.91
MIC0182179,BACT ANTIGEN STREP B,230.84
MIC0182181,BACT ANTIGEN N MENING B/E COLI,230.84
MIC0182183,CMV IGG SEROLOGY,346.57
MIC0182185,VIRAL CULTURE-HERP GROUP,470.78
MIC0182187,CMV CULTURE,627.42
MIC0182189,CMV IGM SEROLOGY,405.43
MIC0182191,MEASLES ANTIBODY (IGG),310.28
MIC0182193,MUMPS ANTIBODY,314.15
MIC0182195,TOXOPLASMA IGG,346.57
MIC0182197,TOXOPLASMA IGM,346.82
MIC0182199,RSV ANTIGEN,288.83
MIC0182203,PARASITE CONCENTRATION,160.87
MIC0182205,GIARDIA FA,288.83
MIC0182209,PARASITE CONCENTRATION,160.87
MIC0182211,CRYPTOSPORIDIA FA,288.83
MIC0182213,VARICELLA ANTIBODY,310.28
MIC0182215,CRYSTALS - FLUID,172.1
MIC0182217,LEGIONELLA FA,288.83
MIC0182219,ROTAVIRUS,288.83
MIC0182221,AEROBIC CULTURE,181.32
MIC0182223,AEROBIC CULTURE - MISCELLANEOU,227.1
MIC0182225,AEROBIC CULTURE MISC - ADDITIO,227.1
MIC0182227,AEROBIC CULTURE - ADDITIONAL,181.32
MIC0182229,ANAEROBIC CULTURE,227.72
MIC0182231,ANAEROBIC CULTURE - ADDITIONAL,227.72
MIC0182233,BRONCHIAL CULTURE,181.32
MIC0182235,EYE/EAR CULTURE,181.32
MIC0182237,FLUID CULTURE,181.32
MIC0182239,GENITAL CULTURE,181.32
MIC0182241,JOINT CULTURE,181.32
MIC0182243,NOSE CULTURE,181.32
MIC0182245,TISSUE (QUANTITATIVE) CULTURE,227.1
MIC0182247,TISSUE CULTURE,181.32
MIC0182249,WOUND CULTURE,181.32
MIC0182251,THROAT CULTURE,181.32
MIC0182253,SPINAL FLUID CULTURE,181.32
MIC0182255,URINE CULTURE,194.92
MIC0182257,GRAM STAIN,102.76
MIC0182259,B GROUP STREP SCREEN,159.62
MIC0182261,GC CULTURE,159.62
MIC0182263,MYCOPLASMA PNEUMONIA CULT,370.52
MIC0182265,CHLAMYDIA PENUMONIA CULT,471.65
MIC0182267,LEGIONELLA CULTURE,181.32
MIC0182269,BLOOD CULTURE,224.11
MIC0182271,BLOOD CULTURE - ADDITITONAL,224.11
MIC0182273,MYCOPLAS/UREAPLAS CULTURE,370.52
MIC0182275,SPUTUM CULTURE,181.32
MIC0182277,NASOPHARYNGEAL CULTURE,181.32
MIC0182283,CULTURE STOOL,227.1
MIC0182285,CULTURE STOOL -  PANEL,0
MIC0182287,CULTURE STOOL SALMONELLA SHIGE,227.1
MIC0182289,CULTURE STOOL ADD ORG CAMPYLOB,227.1
MIC0182291,CULTURE STOOL ADD ORG E COLI 0,227.1
MIC0182293,MIC-SENS & IDENTITY - PANEL,0
MIC0182295,MIC,208.15
MIC0182297,BACTERIAL IDENT,194.43
MIC0182299,BACT IDENT - ADDITIONAL ORGANI,194.43
MIC0182301,MIC - ADDITIONAL ORGANISM,208.15
MIC0182305,IMMUNO ID-EA ADDITION S.AUREUS,124.59
MIC0182307,IMMUNO ID-EA ADDITION STREP,124.59
MIC0182309,IMMUNO ID-EA ADDITION ANTISER,124.59
MIC0182311,IMMUNO-ID PER ANTISERUM,124.59
MIC0182313,IMMUNO ID- EACH S.AUREUS,124.59
MIC0182315,IMMUNO-ID EACH STREP SE,124.59
MIC0182317,STOOL ORG IDENT-NOT REPORTABLE,194.43
MIC0182319,BORDETELLS PERTUSSIS,288.83
MIC0182321,CRYPTOSPORIDUM/GIARDIA,288.83
MIC0182322,BABESIA PCR  PANEL EXPLOSION,0
MIC0182329,ADENO ANTIGEN,288.83
MIC0182333,BABESIA FA IGG,290.08
MIC0182335,BABESIA FA IGM,290.08
MIC0182345,CHLAMYDIA IGG ANTIBODY,284.72
MIC0182347,CHLAMYDIA IGM ANTIBODY,305.54
MIC0182349,CMV PCR,844.9
MIC0182353,CMV IGG,346.57
MIC0182355,CMV IGM,405.43
MIC0182357,STAIN STOOL CYCLOSPORA,370
MIC0182373,SMEAR EOSINOPHILS,114.36
MIC0182375,SMEAR FAT,104
MIC0182377,FRANCISELLA ANTIBODY,250.41
MIC0182379,HIV 2 ANTIBODY,325.62
MIC0182381,HIV 1 RNA ULTRAQUANT,2048.59
MIC0182383,HIV 1 GENOTYPE,6197.64
MIC0182385,HIV AMPLIFIED PROBE,627.42
MIC0182389,HME FA IGG,290.08
MIC0182391,HME FA IGM,290.08
MIC0182393,HTLV I/II ANTIBODY,465.91
MIC0182397,HSV TYPE 6 IGG,310.28
MIC0182399,HSV TYPE 6 IGM,310.28
MIC0182401,KOH SLIDE PREP,102.76
MIC0182403,LEGIONELLA SEROLOGY,368.39
MIC0182405,LEPTOSPIRA ANTIBODY,317.51
MIC0182407,LYME CAPTURE ANTIBODY -  PANEL,0
MIC0182409,LYME CAPTURE lgG Ab,173.85
MIC0182411,LYME CAPTURE lgM Ab,173.85
MIC0182413,LYME CAPTURE lgA Ab,0
MIC0182419,LYME LYMPHOCYTE PROLIFERATION,1180.24
MIC0182421,ASO,139.06
MIC0182423,MONO TEST,124.59
MIC0182425,RHEUMATOID FACTOR,136.68
MIC0182427,RPR,43.58
MIC0182429,RPR PREMARITAL,43.58
MIC0182435,RUBELLA ANTIBODY,155
MIC0182437,RUBELLA ANTIBODY SCR,155
MIC0182441,BACT ANTIGEN STREP B,230.84
MIC0182443,BACT ANTIGEN N MENING B/E COLI,230.84
MIC0182445,BACT ANTIGEN N MENING ACY W135,230.84
MIC0182447,BACT ANTIGEN H FLU TYPE B,230.84
MIC0182449,BACT ANTIGEN STREP PNEUMO,230.84
MIC0182451,CRYPTOCOCCAL ANTIGEN,288.83
MIC0182453,MISC. SEROLOGIC,311.65
MIC0182455,PINWORM PREP,102.76
MIC0182457,CELLCOUNT-SPINAL FLUID,132.57
MIC0182459,HEMOCULT - OCCULT BLOOD FECES,103.34
MIC0182461,OVA & PARASITES,214.13
MIC0182463,URINALYSIS BY DIPSTICK,81.13
MIC0182465,O & P (CORPORATE HEALTH ONLY),214.13
MIC0182467,URINE-SPECIFIC GRAV.,61.48
MIC0182475,ANTINUCLEAR AB,268.75
MIC0182477,IMUNO-ELECT-IEP,539.49
MIC0182479,STOOL C.DIFF,288.83
MIC0182481,TREPANEMA PALLIDUM ANTIBODY,318.88
MIC0182483,ALPHA GALACTOSIDASE,463.3
MIC0182485,URINALYSIS BY DIPSTICK SCHS,81.13
MIC0182487,SCHS - VARICELLA,310.28
MIC0182489,H PYLORI STOOL AG,346.32
MIC0182491,RUBELLA ANTIBODY SCHS,155
MIC0182493,SCHS - RUBEOLA,310.28
MIC0182495,CIDAL LEVEL,361.79
MIC0182497,LYME EIA,375
MIC0182499,VIRAL CULTURE COMPREHENSIVE,627.42
MIC0182505,S.PNEUMO TYPE 1,100
MIC0182507,S.PNEUMO TYPE 3,100
MIC0182509,S.PNEUMO TYPE 4,100
MIC0182511,S.PNEUMO TYPE 6B,100
MIC0182513,S.PNEUMO TYPE 7F,100
MIC0182515,S.PNEUMO TYPE 8,100
MIC0182517,S.PNEUMO TYPE 9N,100
MIC0182519,S.PNEUMO TYPE 12F,100
MIC0182521,S.PNEUMO TYPE 14,100
MIC0182523,S.PNEUMO TYPE 18C,100
MIC0182525,S.PNEUMO TYPE 19F,100
MIC0182527,S.PNEUMO TYPE 23F,100
MIC0182529,DIPTHERIA TOXOID,366.27
MIC0182531,HAEMOPH INFLUENZAE B,381.6
MIC0182533,TETANUS TOXOID,356.17
MIC0182537,CULTURE BLOOD AERO & ANA,224.11
MIC0182541,BACTERIAL IDENT/ANAEROBE,194.43
MIC0182542,ANEROBIC MIC - PANEL EXPLOSION,0
MIC0182543,ANAEROBE MIC DRUG 1,21.83
MIC0182545,ANAEROBE MIC DRUG 2,21.83
MIC0182547,ANAEROBE MIC DRUG 3,21.83
MIC0182549,ANAEROBE MIC DRUG 4,21.83
MIC0182551,ANAEROBE MIC DRUG 5,21.83
MIC0182552,ANEROBIC MIC DRUG 6,21.83
MIC0182553,HIV 1 & 2 ANTIBODY,180
MIC0182555,MOLD IDENTIFICATION,248.55
MIC0182557,FUNGUS CULT - BLOOD,217.12
MIC0182559,YEAST IDENTIFICATION,248.55
MIC0182561,STREP PNEUMONIAE UR ANTIGEN,288.83
MIC0182563,INFLUENZA B ANTIGEN,50
MIC0182565,C DIFFICILE TOXIN B,288.83
MIC0182569,SUSCEPTIBILITY PER AGENT,21.83
MIC0182571,SUSCEPT PER AGENT - ADD'L AGEN,21.83
MIC0182575,M.TB DNA PROBE,482.75
MIC0182577,M.AVIUM DNA PROBE,482.75
MIC0182579,BACTERIAL IDENT - ADDITIONAL,194.43
MIC0182581,IMMUNO-ID ADDITIONAL,124.59
MIC0182583,ANAEROBIC IDENT - ADD'L,194.43
MIC0182587,ENZYME DETECTION - EACH,21.83
MIC0182589,ENZYME DETECTION ADD'L - EACH,21.83
MIC0182590,HIV CONFIRMATORY WB,465.91
MIC0182591,VIRAL SEROLOGY EACH,288.83
MIC0182592,WEST NILE VIRUS lgG,288.83
MIC0182593,WEST NILE VIRUS lgM,288.83
MIC0182594,POLIO ANTIBODY-1,313.65
MIC0182595,POLIO ANTIBODY-2,313.65
MIC0182596,POLIO ANTIBODY-3,313.65
MIC0182597,TOXOCARA Ab (VISC LARVA MIGRN),313.15
MIC0182599,LISTERIA ANTIBODY,317.51
MIC0182600,COCCIDIOIDES ANTIBODY - PANEL,0
MIC0182601,COCCIDIOIDES AB - CF 1gG,276.1
MIC0182602,COCCIDIOIDES AB - IMMUNO IgG,276.1
MIC0182603,COCCIDIOIDES AB - IMMUNO 1gM,276.1
