Report Name:,Daily CDM,
0855874,OB TAPE-SLING PROCEDURE,0.00
0855890,DRESSING MEPILEX LITE,62.00
0855924,TUBR ET/LMA,122.00
0855965,ABLATOR ASPIRATING,"1,125.00"
0855999,SLIDING CORE,"5,125.00"
0856021,DRESSING ALLE 6X6 NON ADH,60.00
0856047,TISSUE TIBIALIS TENDON,"8,250.00"
0856088,ENDPLATE,"39,531.00"
0856161,VAXCEL IMP VAS ACCESS SYS,"1,668.00"
0856203,ADD TO UPPER EXT ORTHOSIS,0.00
0856237,PATCH PERICARDIAL HANCOCK,0.00
0856260,IOL PRESBYOPIA MULTIFOCAL,0.00
0856286,OP-1PUTTY BMP BN GRFT MAT,"34,939.00"
0856294,EO DOUBLE UPRIGHT FORARM,0.00
0856344,FAST FIX AB CVD ASSEMBLY,"2,188.00"
0856385,VERTEBRAL PLSTY KITW/HNDL,"14,398.00"
0856419,DRESSING ACTISORB 2X4,98.00
0856435,SIDEKICK LOW PROF WLKG BT,488.00
0856476,EXTENSION KIT MEDTRONICS,"4,205.00"
0856567,UPPER LIMB ORTHOSIS NOS,0.00
0856609,KNEE SYS FLUTED STEM EXTR,"3,488.00"
0856625,GNRTR NEUROSTM IMP W/RCHG,0.00
0856633,WRIST/THUMB SPLINT ADJ,152.00
0856658,KNOTLESS FIXATION DEVICE,"2,572.00"
0856682,GRAFTJACK MEMBRN PER 1 CM,"3,784.00"
0856716,INFSN PAIN PUMP PRGMBL,0.00
0856740,ULTRA DRIVE IMPLANT KIT,"12,418.00"
0856757,WRIST-HAND-FINGER ORTHOS,0.00
0856773,SCREW LEGACY,"4,177.00"
0856799,DRESSING SILVERLON 4X4,175.00
0856823,VITOSS SYN BONE GRAFT10CC,"10,482.00"
0856831,PATCH PERICARD CORMATRIX,"5,899.00"
0856856,CS DRESSING FOAM CONT 4X4,199.00
0856872,AUTOSUTURE PROTACK 5MM,"2,378.00"
0856914,VITOSS SYN BONE GRAFT 5CC,"5,258.00"
0856922,ADD BK ENDOSKELETAL SYSTE,0.00
0856963,PUTTY DBX 1CC,704.00
0856971,BLADE HELICAL,"2,799.00"
0856989,NEEDLE SCORPION,"1,025.00"
0856997,KNEE SUPPORT ELASTIC,66.00
0857003,WAND PLASMA/COBLATION,"1,836.00"
0857011,IMMEDIATE POST SURG FITTG,0.00
0857060,TISSUE MORSELATOR,"1,574.00"
0857078,VALVE HAKIM RT ANG PROGMB,"27,855.00"
0857086,ACTIFUSE MICROGRANLE 20ML,0.00
0857094,VITOSS SCAFF BN VOID FILL,"3,694.00"
0857102,CERVICL MULT POST COL SUP,0.00
0857110,DRESSING POLYMAX,114.00
0857169,DRESS ALGINATE ALGISIT2X2,229.00
0857185,MICRODEBRIDR TOPAZ STR AN,"2,990.00"
0857193,CERVIC MULTIP POST COLLAR,0.00
0857219,SUMP INTRACARDIAC,169.00
0857227,GRAFT STENT AAA LIIAC LIM,0.00
0857243,HO ABDUCTION CNTRL HI JT,0.00
0857250,WHO WRIST EXT COCK-UP,0.00
0857268,ACTIFUSE MICROGRANUL 10ML,0.00
0857292,PEG SMOOTH/THREADED,0.00
0857300,SUMP PERICARDIAL 1/4 CONN,158.00
0857318,GRAFT STENT AAA BIF,0.00
0857359,ACTIFUSE MICROGRANUIE 5ML,0.00
0857367,ADD LOWER EXT KNEECAP CON,0.00
0857375,INTRODUCER,150.00
0857409,BIO-SUTURE TAK ANCHOR,"1,678.00"
0857425,DRESSING WOUND ELASTOGEL,282.00
0857441,PROSPACE DBM PUTTY 10CC,"8,785.00"
0857466,TISSUE MARKER,"1,262.00"
0857532,PROSPACE DBM PUTTY 2.5CC,"3,148.00"
0857540,VASO VIEW VEIN HARVESTING,"7,258.00"
0857557,MAMMOTOME PROBE,"2,000.00"
0857607,FILTER BLOOD CARDIOPLEGIC,863.00
0857615,DRESSING ACTICOAT ABSORBT,465.00
0857672,SUTURE LASSO,"1,006.00"
0857722,DRESSING COBAN 2 LAYER,150.00
0857730,CORMATRIX PERICARDIAL CLO,"6,489.00"
0857748,ESSURE PERM BIRTH CONTROL,"8,250.00"
0857763,FASTAK GUIDE SPEAR,715.00
0857789,CATH ATHERECTOMY SILVERHK,"18,115.00"
0857797,KIT SYNCHRO CATH ACC 8540,238.00
0857870,TRICLIP,766.00
0857896,ADD LOW EXT DPRSOFEXOPM,0.00
0857920,FOOT COVER RIDGID SOLE PR,626.00
0857961,LO SAGITTAL CNTL RGD ANT/,0.00
0857979,RPR ORTHOTIC DEVICE PARTS,0.00
0857987,SPACER PEEK BONE LUMBAR,0.00
0858001,FOOT INSERT REMOVABLE EAC,0.00
0858019,DRESSING FIBRACOL PLS 2X2,61.00
0858050,STENT ENTERNAL WALL,"5,502.00"
0858068,KNEE ORTHO LOCK KNEE JTS,0.00
0858076,SPACER PEEK BONE CERVICAL,0.00
0858092,IMPLANT OBELISC CTR PC 20,"59,164.00"
0858142,CLIP DEVICE RESOLUTION,"1,099.00"
0858159,LUMB ORTHO SAGITTAL CONTR,0.00
0858167,UP EX FX ORTHOSIS HUMERAL,0.00
0858233,TENDON RPR SYSTEM TENOFIX,"3,460.00"
0858266,SET OATS 6MM DISPOSABLE,"4,036.00"
0858274,IMPLNT OBELISC END PC20MM,"10,582.00"
0858282,COMP STOCK'G THGH VENO EA,325.00
0858308,BIO-PREP BONE PREP KIT,924.00
0858332,LIGHT PIPE,"1,682.00"
0858340,SACROILIAC SURG SUPPORT,0.00
0858365,SCREW PEDICLE SPINE,"9,233.00"
0858373,RETRACTOR MOBIUS ABD DISP,"1,049.00"
0858464,WAND ENDOMETRIAL ABLATION,"6,221.00"
0858506,ELBOW HEAD,0.00
0858514,MESH PROCEDD 3X6,"2,713.00"
0858522,BIOPSY DEVICE ROTA/VACUUM,"2,254.00"
0858548,MAMMOSITE CAVITY EVAL DEV,738.00
0858563,KNEE SYSTEM PFC FEM STEM,"4,072.00"
0858597,ELBOW STEM,0.00
0858605,TAPE TRANS VAGINAL,"7,284.00"
0858639,KIT PLVC FLR RPR ANTERIO,"11,490.00"
0858662,INFLATION DEVICE,677.00
0858704,VITAGEL SURGICAL HEMOSTAT,"3,843.00"
0858720,KIT LIBRA KNEE BALANCER,"1,941.00"
0858811,SNSR LIBRA SFT TSSU FORCE,"4,262.00"
0858878,700 ULTREX PRECONNECT,0.00
0858886,VASU-GUARD(VASCULR GRAFT),688.00
0858928,KNEE SYS PFC TIBIA INSERT,"5,137.00"
0858936,BIO-TRANSFIX ARTHREX,963.00
0858951,STENT FLUENCY,"9,876.00"
0858969,RESERVOIR AMS 700,0.00
0858977,CV PERIGUARD PATCH,"1,132.00"
0858993,MALYUGIN RING PUPIL DILTR,972.00
0860007,NEPH CONNECTING TUBING,578.00
0860015,BAG LEG DISP,124.00
0860023,BIO-GUN 18G 7.5CM,889.00
0860049,CATHETER DRAINAGE 10FR,"1,241.00"
0860205,GUIDE WIRE TSCF 38 145 15,394.00
0860239,GUIDEWIRE COPE MANDRIL 18,811.00
0860270,SHEATH REG,658.00
0860288,INTRODUCER SHEATH 7FR,807.00
0860296,SHEATH LONG,549.00
0860304,IV CATHETER QUICK 22X1,57.00
0860312,IV CATHLON #20,128.00
0860320,IV INFUSION ST BTRFLY 21,16.00
0860361,NEEDLE BIOPSY BAUER LT18,819.00
0860536,GUIDEWIRE AMPLATZ STIFF .,762.00
0869008,RUG - AAA00,0.00
0869152,RUG - C0D,0.00
0870006,D AIRWAY NASAL,44.00
0870014,D BAZA CREAM,89.00
0870022,D CATH 2 WAY 5CC,59.00
0870030,D CATH 3 WAY 30CC,153.00
0870048,D CATH 3 WAY,213.00
0870055,D CATHETER LEG STRAP,65.00
0870063,D CERV COLAR/FOAM,59.00
0870071,D CLAV STARP MED,122.00
0870089,D COMFEEL,54.00
0870097,D DISP TRACH CANNULA,52.00
0870105,D DISP TRACH TUBE,669.00
0870113,D DOUBLE SUBCATH,"1,248.00"
0870121,D ELASTIC BANDAGE,67.00
0870139,D GASTRC LAVAGE,313.00
0870147,D GEL DRESSING WOUND,99.00
0870154,D INTUBATION TRAY,273.00
0870162,D IV CATH,35.00
0870170,D L/ARM SPLINT ADLT,306.00
0870188,D LYOFOAM,69.00
0870196,D NU-GAUZE/IODOFORM,46.00
0870204,D NU-GAUZE PLAIN 1/2,55.00
0870212,D DRESSING OP SITE WND,52.00
0870220,D DRESSING OP SITE SMALL,15.00
0870238,D PAD ELECTRODE ADT,313.00
0870246,D PERCUTANEOUS INTRO,577.00
0870253,D PLASTER SPLINT,238.00
0870261,D POST-OP SHOE,98.00
0870279,D S/ARM SPLINT ADLT,251.00
0870287,D S/LEG SPLINT ADLT,300.00
0870295,D SALEM SUMP TUBE,63.00
0870303,D SHT ARM SPLINT,66.00
0870311,D SPLINT FINGER,86.00
0870329,D STERI/CLOSE STR 1/8 X 3,24.00
0870337,D STIFNECK COLLAR,98.00
0870345,D SUBCLAVIAN CATH,400.00
0870352,D SUCTION CATH TRAC,250.00
0870360,D SURGI GEL 4X8,348.00
0870378,D TELFA,54.00
0870386,D THORA/PARACT T,348.00
0870394,D TRACH SUCT KIT,113.00
0870402,D TRAY 16FR FOLEY-FBC,161.00
0870410,D TRAY DISP LAC,216.00
0870428,D TUBE FEEDING 5/8,34.00
0870436,D TUBING IRRIGATION STRT,50.00
0870444,D ULCER DRESSING,33.00
0870451,D VASE GAUZE 3X18,31.00
0870469,D XEROFORM GZ,43.00
0870477,D PLASTER SPLINT 2',389.00
0870485,D PLASTER SPLINT 3',66.00
0891135,SYS CARTER-THOMASON CLSR,855.00
0891143,END CAP SPINE,542.00
0891150,FORCP KIRWAN BI-PLR W CRD,167.00
0891168,ARTERIOCYTE MAGELLAN KIT,0.00
0891176,SHEATH GUIDING SHTTLE SLC,648.00
0891184,GRFT STNT VALIANT THRACIC,0.00
0891192,GRAFT CLARIX CORD 1K,"7,980.00"
0891226,UNITD BIOMETRC WOUND DRES,"10,860.00"
0891242,SLEEVE TROCAR 5 MM,47.00
0891259,TRIHA CHIPS/STICKS 10CC,0.00
0891275,GATEWAY PTA BALLOON,"5,366.00"
0891325,TRAY TRIPLE LUMEN PICC,"1,518.00"
0891333,SLEEVE TROCAR 11 / 12 MM,107.00
0891366,DAC CATHETER,"4,975.00"
0891408,EQ MAXXAIR ETS,353.00
0891416,ALLOGRAFT TRINITY 5CC,"12,073.00"
0891432,FISTULA PLUG BIODESIGN,"5,225.00"
0891499,DRESSING VERSIVA 4.25,76.00
0891515,ALLOMAX SURGICAL GRAFT,"15,470.00"
0891523,EXTND ANATMCL CHIN IMPLNT,"1,575.00"
0891580,ADD LOW EXT T STRAP,0.00
0891598,GRAFT BONE INFUSE SM BMPZ,"18,425.00"
0891622,DX SLIM DELIVERY CATHETER,"4,650.00"
0891630,CATHETER POWERGLIDE BASIC,262.50
0891671,OSTEOCELL 15CC,"27,500.00"
0891713,NEURON MAX DELIVERY CATH,"1,975.00"
0891721,CATHETER POWERGLIDE FULL,422.50
0891762,OSTEOCELL 10CC,"22,000.00"
0891788,CUSA TIP,"2,188.00"
0891804,NEURON DELIVERY CATHETER,"2,975.00"
0891812,EPIFIX GRAFT PER SQ CM,"1,495.00"
0891861,IMM POSTSRG FIT BLW KNEE,0.00
0891879,CUSA DISP WRENCH,330.00
0891887,MESH IMPLANTABLE,0.00
0891895,REPERFUSION CATHETER,"6,900.00"
0891945,OSTEOCELL 5CC,"11,688.00"
0891986,MAX SEPARATOR,"14,950.00"
0891994,SOLITAIRE FR DEVICE,"31,685.00"
0892034,PLATE SUPROR/INTRIOR END,"27,742.00"
0892042,ADD ENDOSKELETAL SYSTM BK,0.00
0892075,VELOCITY DLVRY MICROCATH,"4,650.00"
0892083,PREVENA THERAPY,"2,648.00"
0892125,ADD LWR EX ANKLE MTN JY E,0.00
0892133,LOW EX PROTHESUS SACH FT,0.00
0892141,KIT TOBY FLXR TNDN REPAIR,803.00
0892166,MAX ASPIRATION TUBINS,"1,980.00"
0892174,CELOX HEMOSTATIC PAD,80.00
0892216,CRANIAL HELMET,0.00
0892224,LENS TORIC,0.00
0892257,SEPARATOR,"13,000.00"
0892265,SKIN SUBSTITUTE PRIMATRIX,728.00
0892268,CS SKIN SUB PRIMAX WASTED,728.00
0892315,LENS CRYSTAL/RESTORE/AMO,0.00
0892316,IOL-SYMFONY TORIC AMO,0.00
0892331,PRESSURE GUIDE WIRE,0.00
0892349,BARE AXIUM COIL,"5,500.00"
0892398,SCREW MULTI-AXIAL SPINE,"9,279.00"
0892406,IMPLATN BREAST TISS EXPND,0.00
0892422,TR BAND TERUMO,241.00
0892430,AXIUM 3D COIL,"7,000.00"
0892448,FLW DVRSN PIPELN EMB SMLG,"62,500.00"
0892489,SCREW POLYAXIAL SPINE,0.00
0892497,LENS CRYSTAL HIGH DEF,0.00
0892505,WND MTRX OASIS WSTD SQ CM,30.00
0892513,SHTH SET RADL-MICROPNCTR,225.00
0892521,BARE AXIUM 3D COIL,"5,500.00"
0892539,EQ BED SPIRIT SLCT W/ATMS,262.00
0892570,SCREW SET SPINE,0.00
0892588,ACTIFUSE E-Z PREP 10 MC,"9,625.00"
0892596,APLIGRAFT WASTED PER SQCM,217.00
0892612,GLIDESHEATH ACCESS KIT,476.00
0892653,SHOULDER REVERSE COMPONNT,0.00
0892661,SCREW ACUFIX,"1,238.00"
0892679,ACTIFUSE ABS PUTTY 2.5CC,0.00
0892687,DERMAGRAFT WSTD PER SQ CM,282.00
0892695,CS DRESSING TRIACT CON LY,30.00
0892703,BARE AXIUM PRIME 3D COIL,"5,500.00"
0892711,IVVS CORONARY CATHETER,0.00
0892729,SPY ELITE KIT,"16,475.00"
0892752,SCREW ANTEGR LOCKIN SPINE,"2,838.00"
0892760,ACTIFUSE ABX PUTTY 5 CC,0.00
0892786,SHLDR TTL COMPONENT IMPLN,0.00
0892794,COIL RELEASE,"1,250.00"
0892802,ELCTRDE ENDOSCPC BIPLR LP,"2,289.00"
0892844,SCREW CANCELLOUS SPINE,"2,354.00"
0892851,ACTIFUSE ABX PUTTY 10 CC,0.00
0892885,CONCERTO HELIX COIL,"2,975.00"
0892893,ELECTRODE ENDOSCOPIC BTTN,"2,287.00"
0892935,SCREW CANCELLOU POLYAXIL,"7,282.00"
0893032,ACTIFUSE 10 ML,"6,875.00"
0893057,DEVICE ENDOTINE FOREHEAD,"2,475.00"
0893065,COIL RELEASE HANDLE,"1,338.00"
0893073,IMPLANT COCHLEAR OPUS 2,"57,000.00"
0893115,SCREW AXON,"4,785.00"
0893123,LEAD NEUROSTMLTR IMPLNTBL,0.00
0893156,AXIUM DETACHABLE COIL,"7,000.00"
0893164,IMPLNT COCHLER CNCERT PIN,"98,000.00"
0893172,EQ ROTOPRONE,"10,052.00"
0893206,SCREW BONE SELF DRILLING,"1,166.00"
0893230,ENTEROCLYSIS TRAY,"1,431.00"
0893297,PLATE SPINE,0.00
0893339,COIL 400 COMPLX EXT SOFT,"12,500.00"
0893388,PLATE ANTERIOR CERVICAL,"5,616.00"
0893396,KIT PLEURAL-CAL THORCNTSS,244.00
0893412,KIT LAP BAND LG/STANDARD,"17,975.00"
0893420,COIL 400 CURVE EXTRA SOFT,"10,500.00"
0893438,HF RESECTN ELECTRDE LOOP,"2,289.00"
0893479,PLATE SPIDER CERVICAL,"9,350.00"
0893487,NEEDLE COAXIAL TRU-GUIDE,113.00
0893511,J COIL,"12,500.00"
0893529,HF RESECTION PLASMA BUTTN,"2,287.00"
0893560,PLATE ANTEGRA,"24,372.00"
0893594,STRBRST TALON SERIUM-FLEX,"14,129.00"
0893600,STENT WALLFLEX DUODENAL,"11,975.00"
0893602,COIL 400 SOFT COIL,"12,500.00"
0893610,GRAFIX PRIME PER SQ CM,184.00
0893612,CS GRAFIX PRIME/SQ CM WAS,184.00
0893628,DVC PRTCTN EMBOLIC ANGIO,"7,750.00"
0893630,DEVICE PROTECTION EMBOLIC,"7,750.00"
0893651,ROD SPINE,0.00
0893680,GRAFT NEOX CORD 1K 3X3CM,"15,475.00"
0893693,COIL 400 STANDARD COIL,"12,500.00"
0893701,BALLOON AVTR PLUS PTA.014,"1,086.00"
0893743,ROD ICON,"2,338.00"
0893750,PERMASORB FIXATION DEVICE,"1,696.00"
0893760,GRAFT CLARIX CORD 1K,"5,400.00"
0893784,AXIUM HELIX COIL,"6,000.00"
0893792,STETN PRECISE CRTD PRO RX,"8,250.00"
0893834,ROD COCR HEX END,"3,410.00"
0893842,OATS BONE GRAFT HARVESTER,"2,860.00"
0893859,VASER LIPOSUCTION TUBING,71.00
0893867,MYOSURE TISSUE RMVL SYSTM,"6,928.00"
0893875,CANISTER KIT,"1,850.00"
0893883,CS DRESSING CUTIMED 4X6,3.00
0893933,LSO SAG-CORO RIDGID FRAME,0.00
0893941,INFUSION TUBING,81.00
0893958,BALLOON HYPERFORM,"7,120.00"
0893966,BARE AXIUM HELIX COIL,"5,000.00"
0893974,STENT GLAUKOS TRABECULAR,"8,000.00"
0894014,SPACER NOVEL PEEK,"12,722.00"
0894022,KNEE REVISION TTL COMPNEN,0.00
0894030,HIP REVISION TTL COMPONTS,0.00
0894048,LENS RDCD SPHRCL ABERRATE,0.00
0894055,REBAR-18 MICRO,"1,925.00"
0894063,CAPSULE BRAVO PH,"1,170.00"
0894105,SPACER VERTEBRALANT,"24,316.00"
0894113,STRUT CORPECTOMY IMPLANT,"66,600.00"
0894121,APPLCTR FLEXITIP XL LAP,86.00
0894139,CATHETER ECHELON,"3,230.00"
0894147,WINGSPAN STENT SYSTEM,"30,215.00"
0894154,TAPEEZOID BASKET ST RETRI,"1,325.00"
0894196,SPACER PILLER PEEK,"25,575.00"
0894204,KO ELASTIC W/JTS PREFAB,0.00
0894212,HEMOSTAT ARISTA,"1,021.00"
0894220,INJECTOR CADENCE PRECISN,"2,440.00"
0894238,TARGET DETACH COILS ULTRA,"9,096.00"
0894246,DILATOR BALLOON CRE W/WIR,952.60
0894287,SPACER CARTICO PEEL,"5,869.00"
0894295,CONNECTOR ADJUSTABLE,"5,775.00"
0894303,CONNECTR CROS MULTI-AXIAL,"10,203.00"
0894311,BALLOON ECHELON,"3,230.00"
0894329,TRGT DETACH COILS HELICAL,"5,760.00"
0894337,DILATOR BALLOON CRE,"1,200.00"
0894378,CONNECTOR NEXLINK,550.00
0894386,IMPLANTS WASTED,0.01
0894394,HYDROCOLLOID WND FLR PSTE,86.00
0894402,CATHETER MARATHON FLW DIR,"13,585.00"
0894410,TRNSND GUIDWR SOFT/PLATNM,"2,111.00"
0894428,FORCEP RAT TOOTH DISP,341.00
0894469,CAGE CERVICAL CRYSTL PEEK,"10,296.00"
0894485,FIBERWIRE,92.50
0894493,CATHETER MARKSMAN STENT,"4,725.00"
0894501,TRANSEND 300 GUIDEWIRE,"2,520.00"
0894519,STENT WALLFLEX COLONIC,"12,975.00"
0894550,CAGE LUCENT PEEK,"14,157.00"
0894568,VERTEBRAL BODY REPLACEMEN,"41,000.00"
0894576,FIBERLOOP,225.00
0894584,CATH ULTRAFLOW MICRO DIR,"3,030.00"
0894592,EXCELSOR SL-10 MICRO CATH,"4,296.00"
0894642,CAGE OPTIMA PEEK,"16,500.00"
0894659,ADD LWR EXT WAIST BELT WB,0.00
0894667,BONE MILL DISPOSABLE,"1,895.00"
0894675,GUIDEWIRE MIRAGE,"2,100.00"
0894683,EXCELSIOR XT27 MICRO CATH,"4,560.00"
0894691,NEEDLE EXPECT SLIMLINE EN,"1,025.85"
0894733,CAGE SYNFIX PEEK,"42,988.00"
0894758,PREVNA INCISION SITE THER,"2,770.00"
0894766,GUIDEWIRE AVIGO,"1,935.00"
0894774,SYNCHRO GUIDEWIRE,"2,424.00"
0894782,NEEELE SLIMLINE EXPECT UL,"2,275.00"
0894824,CAGE TAPERED PEEK,"18,172.00"
0894832,PRO DISC,"25,046.00"
0894857,GUIDEWIRE X-CELERATOR,"1,380.00"
0894865,INZONE DETACHABLE SYSTEM,"1,002.00"
0894873,ASSEMBLY ALLIANCE SYRINGE,150.00
0894915,DRILL BIT SPINE,0.00
0894923,PEDIGAURD TRI TIP,"9,615.00"
0894931,HEMOSTAT ARISTA,"1,021.00"
0894949,KIT ONYX,"12,439.00"
0894956,IZDS CONNECTION CABLE,257.00
0894964,"GRAFT NEOX 1K 1,5X1,5CM","2,280.00"
0895003,ACTIFUSE PUTTY 10ML,0.00
0895011,LEAD NEUROSTMLTR TST KIT,0.00
0895029,EXT BTRY NEUROSTM REPLACE,0.00
0895037,NEUROSTM IMPLNT RCHRGBL,0.00
0895045,CATHTR EPIDURAL INTRATHCL,0.00
0895052,SOLITARE,"31,685.00"
0895094,ACTIFUSE PUTTY 2.5 ML,0.00
0895110,FOOT MLD PLASTAZOTE SHOE,0.00
0895128,DEVICE ALLIGATOR RETRIEVL,"11,535.00"
0895136,BALLOON GUIDE CATHETER,"4,375.00"
0895144,GRAFT NEOX CORD 1K 2X2CM,"3,975.00"
0895152,GRAFT NEOX CORD 1K 2X1CM,"1,975.00"
0895185,ACTIFUSE PUTTY 5ML,0.00
0895201,MEDIHONEY ALGINATE 4X4,58.00
0895219,NAVIEN DSC,"5,120.00"
0895227,TREVO PRO VUE SYSTEM,"36,475.00"
0895235,GRAFT NEOX CORD 1K,"5,660.00"
0895276,FILLER BONE FORM PUTTY,"5,500.00"
0895284,ALLOGRAFT TRINITY 10 CC,"17,975.00"
0895292,MEDIHONEY ALGINATE 2X2,26.00
0895318,TARGET DETCHBLE COIL ULTR,0.00
0895367,PIN FIXATION TEMP,"1,059.00"
0895375,ALLOGRAFT TRINITY 15 CC,"22,475.00"
0895383,GRAFT JACKET MAXFORCE CM,"2,936.00"
0895391,BALLOON HYPERGLIDE,"5,815.00"
0895409,NEUROFORM EZ STENT SYSTEM,0.00
0895417,GRAFT NEOX CORD 1K 3X2,"3,975.00"
0895458,CAP POSTERIOR,"1,381.00"
0895474,GRFT JCKT WSTD MAXIFRC CM,586.00
0895482,CATHETER ORION,"4,480.00"
0895490,TARGET DTACHBLE COIL SOFT,0.00
0895508,GRAFT NEOX CORD 1K 4X3CM,"10,540.00"
0895557,CERVICAL RIPENING BALLOON,244.00
0895565,HEMOSTAT ARISTA LDRP,"1,021.00"
0895581,TARGET DETACHBLE COIL STN,0.00
0895599,GRAFT NEOX CORD 1K 6X3CM,"15,580.00"
0895649,LD BALLOON BAKRI POSTPART,"1,392.00"
0895656,VAC VIA NEG PRS WND THRPY,"4,222.00"
0895664,CATH SLIP-CATH BEACON TIP,401.00
0895672,NEOX SKIN WOUND MATRIX,880.00
0895678,CS NEOX SKIN WND MAT WAST,880.00
0895698,ENDO-LOOP,455.00
0895706,OVER TUBE,815.00
0895714,EUS BALLOON,115.00
0895722,CRE BALLOON DILATOR,"1,075.00"
0895730,STRAVIX CRYOPRESERVED 2X4,"9,025.00"
0895748,OTSC TWIN GRASPER,"2,980.00"
0895755,OTSC SYSTEM SET,"2,720.00"
0895763,ELEVIEW SUBMUCOSAL COMPOS,450.00
0895771,MIRENA IUD,"4,250.00"
0895789,CYGNUS AMNION PATCH,"10,000.00"
0895797,UROLIFT PROSTH IMPLANT(EA,0.00
0895805,PROLACT+4 H2MF 10ML,312.50
0895813,PROLACT+4 H2MF 20ML,625.00
0895821,PROLACT+6 H2MF 15ML,468.75
0895839,PROLACT+6 H2MF 30ML,937.50
0895847,PROLACT+8 H2MF 40ML,"1,250.00"
0895854,PROLACT+10 H2MF 50ML,"1,562.50"
0895862,PROLACT CR 10ML,200.00
0895870,PREMIELACT 10ML,42.50
0895888,PROLACT HM 4 OZ,280.00
0895896,PROLACT RTF 24 100ML,700.00
0895904,PROLACT RTF 26 100ML,"1,000.00"
0895912,PROLACT RTF 28 100ML,"1,300.00"
0900027,DRUG INJECTION,0.00
0901074,GLYCERIN PEDS SUPPOSITORY,0.00
0901124,NON-FORMULARY ITEM,0.00
0902783,DIPHENHYDRAMINE 25MG CAP,0.00
0902791,DIPHENHYDRAMINE 50MG CAP,0.00
0902809,DIPHNHYDRMN 2.5MG/ML 10ML,0.00
0902833,CHLORPHENIRAMINE 4MG TABL,0.00
0902882,DIPHENHYDRAMINE 50MG INJ,0.00
0902965,CYPROHEPTADINE 4MG TABLET,0.00
0903096,RIFABUTIN 150 MG CAPSL,0.00
0903138,LORATADINE 10MG TAB,0.00
0903179,ZINC SULFATE 220MG CAP,0.00
0903443,MACROBID 100MG CAP,0.00
0903534,HYDROXYCHLRQINE 200MG TAB,0.00
0903930,FLUCYTOSINE 250MG CAPSULE,0.00
0903948,FLUCYTOSINE 500MG CAPSLE,0.00
0903955,ISONIAZID 100MG TABLET,0.00
0903963,"ISONIAZID 300 ,G TABLET",0.00
0903971,ETHAMBUTOL 100 MG TABLET,0.00
0903989,ETHAMBUTOL 400 MG TABLET,0.00
0904003,KETOCONAZOLE 200MG TABLET,0.00
0904060,AMANTADINE 100 MG CAPSULE,0.00
0904094,SULFASALAZINE 500MG TABLT,0.00
0904268,SULFAMETHOXAZOLE-TRIMETH,0.00
0904276,SULFAMETHOXAZOLE-TRIMETH,0.00
0904292,NITROFURANTOIN 5MG/ML ORL,0.00
0904342,CLOTRIMAZOLE,0.00
0904359,SULFAMETHOXAZOLE-TRIMETH,0.00
0904441,NITROFURANTOIN,0.00
0904458,NITROFURANTOIN,0.00
0904508,METRONIDAZOLE 500MG TABLT,0.00
0904516,ACYCLOVIR INJ 500MG,0.00
0904532,PHENAZOPYRIDINE 100MG TAB,0.00
0904540,PHENAZOPYRIDINE 200MG TAB,0.00
0904680,AZTREONAM,0.00
0904797,E-MYCIN STEARATE 250MGTAB,0.00
0904821,ERYTHROMYCIN LACTOBIONAT,0.00
0904870,CLINDAMYCIN 150MG CAPSLE,0.00
0904888,CLINDMYCN 150MG/ML INJ 2M,0.00
0904896,CLINDAMYCIN PO4,0.00
0904938,AMOXICILLIN 250MG CAPSULE,0.00
0904946,AMOXICILLIN 500MG CAPSULE,0.00
0905026,ERYTHROMYCIN,0.00
0905091,AMOXICILLIN,0.00
0905109,CEFUROXIME NA,0.00
0905141,PENICILLIN G PROCAINE,0.00
0905232,POLYMYXIN B SO4,0.00
0905240,DICLOXACILLIN 250MG CAPSL,0.00
0905257,PENICILLIN V K,0.00
0905265,PENICILLIN V K,0.00
0905331,PENICILLIN G K,0.00
0905356,PENICILLIN GK INJ 20MU,0.00
0905364,RIFAMPIN 300 MG CAPSULE,0.00
0905372,METRONIDAZOLE 250MG TABLT,0.00
0905513,AMPICILLIN 500MG INJECTIO,0.00
0905521,AMPICILLIN 1 GRAM INJCTON,0.00
0905539,AMPICILLIN 2 GRAM INJCTON,0.00
0905554,AMPICILLIN 250MG CAPSULE,0.00
0905562,AMPICILLIN 500MG CAPSULE,0.00
0905737,NAFICILLIN 1 GRAM INJCTON,0.00
0905745,NAFICILLIN 2 GRAM INJCTON,0.00
0905877,CEFOXITIN 1 GRAM INJCTON,0.00
0905885,CEFOXITIN 2 GRAM INJCTON,0.00
0905893,CEPHALEXIN 250MG CAPSL,0.00
0905901,CEPHALEXIN 500MG CAPSULE,0.00
0905950,CEFACLOR CAP 250MG,0.00
0905992,CEFAZOLIN 500MG INJCTON,0.00
0906008,CEFAZOLIN 1 GRAM INJCTON,0.00
0906032,AMPHOTERICIN B 50MG INJCT,0.00
0906156,GENTMYCIN SO4,0.00
0906164,GENTMYCIN SO4,0.00
0906180,GENTAMICIN INJ 800MG/20ML,0.00
0906222,TOBRAMYCIN,0.00
0906305,AMIKACIN SO4,0.00
0906313,AMIKACIN 10000MG INJ,0.00
0906388,NEOMYCIN SO4,0.00
0906404,BICILLIN CR 600000U INJ,0.00
0906412,BICILLIN CR 1.2MU INJ,0.00
0906420,PEN G BENZATHINE 600000U,0.00
