IVNUM,IVDESC, Price 
51145,"UPPER GI ENDOSCOPY BIOPSY,SP","$1,725.00 "
51146,"UPPER GI ENDOSCOPY BIOPSY,TR","$1,875.00 "
51147,"PLACE GASTRONOMY TUBE,SP","$2,088.00 "
51148,"PLACE GASTRONOMY TUBE,TR","$2,269.00 "
51149,"EGD W/FB REMOVAL,SP","$2,070.00 "
51150,"PLACE GASTRONOMY TUBE,TR","$2,250.00 "
51151,"ESOPH ENDOSCOPY DILATION,SP","$1,858.00 "
51152,"ESOPH ENDOSCOPY DILATION,TR","$2,020.00 "
51153,"OPERATIVE UPPER GI ENDOSCOPY,SP","$2,197.00 "
51154,"OPERATIVE UPPER GI ENDOSCOPY,TR","$2,289.00 "
51155,"OPERATIVE UPPER GI ENDOSCOPY,SP","$2,415.00 "
51156,"OPERATIVE UPPER GI ENDOSCOPY,TR","$2,625.00 "
51157,"CHANGE GASTRONOMY TUBE,SP","$2,322.00 "
51158,"PLACE GASTRONOMY TUBE,SP","$6,718.00 "
51159,"REPAIR OF STOMACH LESION,SP","$8,948.00 "
51161,"REPAIR OF STOMACH LESION ASSIST,SP,80","$2,684.00 "
51162,"FREEING OF BOWEL ADHESION,SP","$9,775.00 "
51164,"FREEING OF BOWEL ADHESION AS,SP,80","$2,550.00 "
51165,"REDUCE BOWEL OBSTRUCTION,SP","$9,073.00 "
51166,"REDUCE BOWEL OBSTRUCTION ASSIST,SP,80","$2,722.00 "
51168,"EXCISE INTESTINE LESION(S),SP","$8,267.00 "
51169,"EXCISE INTESTINE LESION(S),SP,80","$2,480.00 "
51170,"EXCISE INTESTINE LESION(S),SP","$12,037.00 "
51171,"REMOVAL OF SMALL INTESTINE,SP,80","$3,611.00 "
51173,"REMOVAL OF SMALL INTESTINE,SP","$12,780.00 "
51174,"BOWEL TO BOWEL FUSION,SP,80","$3,834.00 "
51175,"MOBILIZATION OF COLON,SP","$1,383.00 "
51177,"PARTIAL REMOVAL OF COLON,SP","$12,964.00 "
51178,"PARTIAL REMOVAL OF COLON ASSIST,SP,80","$3,889.00 "
51180,"PARTIAL REMOVAL OF COLON,SP","$17,707.00 "
51182,PARTIAL REMOVAL OF COLON,"$13,503.00 "
51183,"PARTIAL REMOVAL OF COLON,ASSIST,SP,80","$4,051.00 "
51185,"PARTIAL REMOVAL OF COLON,SP","$17,247.00 "
51186,"PARTIAL REMOVAL OF COLON,ASSIST","$5,174.00 "
51188,"LAP ENTEROLYSIS,SP","$8,144.00 "
51189,"LAP ENTEROLYSIS,SP,80","$2,443.00 "
51191,"LAPARO PARTIAL COLECTOMY,SP","$14,329.00 "
51193,"LAP MOBIL SPLENIC FL ADD-ON,SP","$2,077.00 "
51195,"COLOSTOMY,SP","$11,680.00 "
51196,"COLOSTOMY AS,SP,80","$3,504.00 "
51198,"REVISION OF COLOSTOMY,SP","$11,518.00 "
51199,"SMALL BOWEL ENDOSCOPY/BIOPSY,SP","$1,677.00 "
51200,"SUTURE SMALL INTESTINE,SP","$13,808.00 "
51201,"SUTURE SMALL INTESTINE,SP","$15,855.00 "
51202,"SUTURE SMALL INTESTINE,SP","$10,337.00 "
51203,"REPAIR BOWEL OPENING,SP","$8,462.00 "
51204,"REPAIR BOWEL OPENING,SP","$15,701.00 "
51205,"REPAIR BOWEL OPENING AS,80","$4,710.00 "
51206,"REPAIR BOWEL-SKIN FISTULA,SP","$13,717.00 "
51207,"INTRAOP COLON LAVAGE ADD-ON,SP","$1,666.00 "
51208,"APPENDECTOMY,SP","$4,830.00 "
51209,"APPENDECTOMY ADD-ON,SP","$2,563.00 "
51210,"APPENDECTOMY,SP","$7,869.00 "
51211,"LAPAROSCOPY APPENDECTOMY,SP","$4,799.00 "
51212,"UPPER GI ENDO DX,TR","$1,625.00 "
51213,"PROCTOSIGMOIDOSCOPY DX,SP",$699.00 
51214,"DIAGNOSTIC SIGMOIDOSCOPY,SP",$799.00 
51215,"SIGMOIDOSCOPY AND BIOPSY,SP","$1,121.00 "
51216,"SIGMOIDOSCOPY W/TUMR REMOVE,SP","$2,976.00 "
51217,"COLONOSCOPY,SP","$2,017.00 "
51218,"COLONOSCOPY W/FB REMOVAL,SP","$4,540.00 "
51219,"COLONOSCOPY AND BIOPSY,SP","$2,283.00 "
51220,"LESION REMOVE COLONOSCOPY,SP","$2,857.00 "
51221,LESION REMOVAL COLONOSCOPY,"$2,841.00 "
51222,"COLONOSCOPY W/ABLATION,SP","$5,108.00 "
51223,"REMOVE RECTAL OBSTRUCTION,SP","$3,030.00 "
51224,"SURG DX EXAM ANORECTAL,SP",$792.00 
51225,"REMOVAL OF RECTAL MARKER,SP","$1,263.00 "
51226,"INCISION OF RECTAL ABSCESS,SP","$2,329.00 "
51227,INCISION OF THROMBOSED HEMORRHOID EXT,$647.00 
51228,"INC OF THROMBOSED HEM EXT, FAC",$129.00 
51229,"INC OF THROMBOSED HEM EXT,PRO",$518.00 
51230,"INC OF THROMBOSED HEM EXT,SP",$708.00 
51231,"INC OF THROMBOSED HEM EXT,SP,FAC",$142.00 
51232,"INC OF THROMBOSED HEM EXT,SP,PRO",$566.00 
51233,"INC OF THROMBOSED HEM EXT,TR",$770.00 
51235,"INC OF THROMBOSED HEM EXT,TR,PRO",$616.00 
51236,"LIGATION OF HEMORRHOID(S),SP","$1,284.00 "
51237,"REMOVE IN/EX HEM GROUPS 2+,SP","$5,337.00 "
51238,"REMOVE ANAL FISTULA INTER,SP","$4,057.00 "
51239,REMOVAL OF HEMORRHOID CLOT,$974.00 
51240,"REMOVAL OF HEMORRHOID CLOT, FAC",$195.00 
51241,"REMOVAL OF HEMORRHOID CLOT,PRO",$779.00 
51242,"REMOVAL OF HEMORRHOID CLOT,SP","$1,067.00 "
51243,"REMOVAL OF HEMORRHOID CLOT,SP,FAC",$213.00 
51244,"REMOVAL OF HEMORRHOID CLOT,SP,PRO",$854.00 
51245,"REMOVAL OF HEMORRHOID CLOT,TR","$1,160.00 "
51246,"REMOVAL OF ANAL LESION,SP","$1,654.00 "
51247,"REMOVAL OF ANAL LESION,SP,FAC",$331.00 
51248,"REMOVAL ANAL LESION,SP,PRO","$1,323.00 "
51249,"NEEDLE BIOPSY OF LIVER,SP",$837.00 
51250,"OPEN DRAINAGE LIVER LESION,SP","$11,637.00 "
51251,"OPEN DRAINAGE LIVER LESION,80","$3,491.00 "
51252,"LAPAROSCOPIC CHOLECYSTECTOMY,SP","$7,150.00 "
51253,"LAPAROSCOPIC CHOLECYSTECTOMY,80","$2,145.00 "
51254,"LAPARO CHOLECYSTECTOMY/GRAPH,SP","$7,438.00 "
51255,"LAPARO CHOLECYSTECTOMY/GRAPH,SP","$9,630.00 "
51256,"REMOVAL OF GALLBLADDER,SP","$10,330.00 "
51257,"REMOVAL OF GALLBLADDER ASSIST,80","$3,099.00 "
51258,"REMOVE GALLBLADDER W/CHOLANGIOGRAPHY,SP","$7,625.00 "
51259,"REMOVE GALLBLADDER W/CHOLANGIOGRAPHY,SP","$12,174.00 "
51260,"REMOVAL OF GALLBLADDER ASSIST,80","$3,652.00 "
51261,"EXPLORATION OF ABDOMEN,SP","$5,880.00 "
51262,"EXPLORATION OF ABDOMEN AS,80","$1,764.00 "
51263,"DRAIN ABDOMINAL ABSCESS,SP","$15,491.00 "
51264,"ABD PARACENTESIS W/IMAGING,SP","$1,084.00 "
51265,"PERITONEAL LAVAGE,SP","$1,077.00 "
51268,"BIOPSY ABDOMINAL MASS,SP","$1,518.00 "
51269,"EXC ABD TURM 5CM OR LESS,SP","$11,674.00 "
51270,"EXCISION OF UMBILICUS,SP","$5,615.00 "
51271,"REMOVAL OF OMENTUM,SP","$7,630.00 "
51272,"REMOVAL OF OMENTUM AS,80","$2,289.00 "
51273,"DIAG LAPARO SEPARATE PROC,SP","$3,703.00 "
51275,"DIAG LAPARO SEPARATE PROC,80","$1,111.00 "
51276,"LAPAROSCOPY SURGICAL,SP","$3,835.00 "
51277,"LAPAROSCOPY ASPIRATION,SP","$3,702.00 "
51278,"REMOVE FOREIGN BODY ABDOMEN,SP","$8,292.00 "
51279,PRP I/HERN INIT REDUC >5YR,"$4,215.00 "
51280,"PRP I/HERN INIT BLOCK >5YR,SP","$4,330.00 "
51281,"RPR REM HERNIA INIT REDUCE,SP","$5,525.00 "
51282,"RPR FEM HERNIA INIT BLOCKED,SP","$6,065.00 "
51283,"RPR VENTRAL HERN INIT REDUC,SP","$6,153.00 "
51284,"RPR VENTRAL HERN INIT BLOCK,SP","$7,665.00 "
51285,"REREPAIR VENTRL HERN REDUCE,SP","$7,413.00 "
51286,"REREPAIR VENTRL HERN REDUCE AS,SP,80","$2,224.00 "
51287,"HERNIA REPAIR W/MESH,SP","$2,382.00 "
51288,"HERNIA REPAIR W/MESH,80",$715.00 
51289,"RPR EPIGASTRIC HERNIA, SP","$3,186.00 "
51290,"REPAIR HERNIA < 5 YR, SP","$4,594.00 "
51291,"REPAIR UMBIL HERNIA REDUC 5+ YEARS, SP","$4,140.00 "
51293,"REPAIR HERNIA > 5 YR, SP","$5,028.00 "
51294,"REPAIR HERNIA > 5 YR COMPLETE, SP, 22","$5,382.00 "
51295,"REPAIR SPIGELIAN HERNIA, SP","$5,492.00 "
51296,"REPAIR SPIGELIAN HERNIA, SP","$4,830.00 "
51297,"LAP ING HERNIA REPAIR INIT, SP","$5,022.00 "
51298,"LAP VENT/ABD HERNIA REPAIR, SP","$7,926.00 "
51299,"LAP VENT/ABD HERN PROC COMP, SP","$8,438.00 "
51300,"LAP INC HERNIA REPAIR, SP, 80","$2,531.00 "
51301,"LAP INC HERNIA REPAIR AS, SP","$9,986.00 "
51302,"LAP IN HERN REPAIR COMP, SP","$8,888.00 "
51303,"LAP INC HERN RECUR COMP, SP, 80","$2,666.00 "
51304,"REPAIR OF ABDOMINAL WALL, SP","$12,815.00 "
51305,"OMENTAL FLAP INTRA-ABDOM ASSIST, SP","$7,816.00 "
51306,"RENAL BIPSY PERQ, SP","$3,500.00 "
51307,"RENAL BIOPSY PERQ, SP, 80","$1,050.00 "
51308,"RENAL BIOPSY PERQ, SP",$997.00 
51309,"RENAL BIOPSY PERQ, TR","$3,805.00 "
51310,"REMOVAL KIDNEY OPEN RADICAL, SP","$12,834.00 "
51311,"REMOVAL KIDNEY OPEN RADICAL ASST, SP,80","$3,850.00 "
51312,"RENAL BIOPSY PERQ, TR","$1,084.00 "
51313,"LAPAROSCOPIC NEPHRECTOMY, SP","$11,993.00 "
51314,"LAPAROSCOPIC NEPHRECTOMY ASSIST, SP, 80","$3,598.00 "
51315,"REMOVAL KIDNEY OPEN RADICAL ASST, TR","$13,949.00 "
51316,"FRAGMENTING OF KIDNEY STONE, SP","$9,200.00 "
51317,"FRAGMENTING OF KIDNEY STONE, TR","$10,000.00 "
51318,"INCISE & DRAIN BLADDER, SP","$2,809.00 "
51319,"INCISE & DRAIN BLADDER, TR","$3,053.00 "
51320,"INCISE BLADDER/DRAIN URETER, SP","$4,764.00 "
51321,"INCISE BLADDER/DRAN URETER, SP, 80","$1,429.00 "
51322,"INCISE BLADDER/DRAIN URETER, TR","$5,179.00 "
51323,"INCISE BLADDER / DRAIN URETER,SP","$6,300.00 "
51324,"REMOVAL OF BLADDER CYST,SP","$6,848.00 "
51328,"INS NON-NDWELLG BLADD,SP",$462.00 
51329,"INSJ NON-NDWELLG BLADD,SP,FAC",$92.00 
51330,"INSJ NON-NDWELLG BLADD,SP,PRO",$370.00 
51331,"INS NON-NDWELLG BLADD,TR",$502.00 
51332,"INSJ NON-NDWELLG BLADD,TR,FAC",$100.00 
51333,"INSJ NON-NDWELLG BLADD,TR,PRO",$402.00 
51334,INSJ NON-NDWELLG BLADD,$520.00 
51335,"INSJ TEMP NON-NDWELLG,FAC",$104.00 
51336,"INS TEMP NON-NDWELLG,PRO",$416.00 
51337,"INSJ TEMP NON-NDWELLG,SP",$569.00 
51338,"INSJ TEMP NON-NDWELLG,SP,FAC",$114.00 
51339,"INS TEMP NON-NDWELLG,SP,PRO",$455.00 
51340,"INS TEMP NON-NDWELLG,TR",$619.00 
51341,"INSJ TEMP NON-NDWELLG,TR,FAC",$124.00 
51342,"INS TEMP NON-NDWELLG,TR,PRO",$495.00 
51343,"INS TEMP NON-NDWELLG, SP",$863.00 
51344,"INSERT BLADDER CATH, COMPLEX, SP, FAC",$173.00 
51346,"INSERT BLADDER CATH, COMPLEX,TR",$938.00 
51347,"INSERT BLADDER CATH,COMPLEX,TR,FAC",$188.00 
51348,"INSERT BLADDER CATH,COMPLEX,TR,PRO",$750.00 
51349,"INSERT BLADDER CATH,COMPLEX,SP",$926.00 
51350,"TREATMENT OF BLADDER LESION,SP","$2,790.00 "
51351,"TREATMENT OF BLADDER LESION, TR","$3,033.00 "
51352,POST VOID MEASUREMENT,$260.00 
51355,"BLADDER SCAN,SP","$8,884.00 "
51356,"BLADDER SCAN,TR","$9,656.00 "
51357,"REPAIR OF BLADDER WOUND,SP",$989.00 
51358,"REPAIR OF BLADDER WOUND,SP,FAC",$198.00 
51359,"REPAIR OF LADDER WOUND,SP,PRO",$791.00 
51360,"CYSTOSCOPY,TR","$1,075.00 "
51361,"CYSTOSCOPY,TR,FAC",$215.00 
51362,"CYSTOSCOPY,TR,PRO",$860.00 
51363,"CYSTOSCOPY,SP","$1,967.00 "
51364,"CYSTOSCOPY,SP,FAC",$393.00 
51365,"CYSTOSCOPY,SP,PRO","$1,574.00 "
51366,"CYSTOSCOPY & URETER CATHETER,TR","$2,138.00 "
51367,"CYSTOSCOPY & URETER CATHETER,TR,FAC",$428.00 
51368,"CYSTOSCOPY & URETER CATHETER,TR,PRO","$1,710.00 "
51369,"CYSTOSCOPY & URETER CATHETER,SP","$2,540.00 "
51370,"CYSTOSCOPY & URETER CATHETER,SP,FAC",$508.00 
51371,"CYSTOCOPY & URETER CATHETER,SP,PRO","$2,032.00 "
51372,"CYSTO/URETERO STRICTURE TX,TR","$2,761.00 "
51373,"CYSTO/URETERO STRICTURE TX,TR,FAC",$552.00 
51374,"CYSTO/URETERO STRICTURE TX,TR,PRO","$2,209.00 "
51375,"CYSTO/URETERO STRICTURE TX,SP","$6,503.00 "
51376,"CYSTO/URETERO STRICTURE TX,SP,FAC","$1,301.00 "
51377,"CYSTO/URETERO STRICTURE TX,SP,PRO","$5,202.00 "
51378,"CYSTOSCOPY & TREATMENT, TR","$7,069.00 "
51379,"CYSTOSCOPY & TREATMENT,TR,FAC","$1,414.00 "
51380,"CYSTOSCOPY & TREATMENT, TR,PRO","$5,655.00 "
51382,"CYSTOSCOPY & TREATMENT,SP,FAC",$372.00 
51383,"Cystoscopy and treatment, SP, PRO","$1,488.00 "
51384,"Cytoscopy and treatment, TR","$2,021.00 "
51385,"Cytoscopy and treatment,TR,FAC",$404.00 
51386,"Cytoscopy and treatment,TR,PRO","$1,617.00 "
51387,"Cytoscopy and treatment,SP","$2,763.00 "
51388,"Cytoscopy and treatment,SP,FAC",$553.00 
51389,"Cytoscopy and treatment,SP,PRO","$2,210.00 "
51391,"Cytoscopy and treatment,TR,FAC",$601.00 
51392,"Cytoscopy and treatment,TR,PRO","$2,403.00 "
51393,CYSTOSCOPY CHEMODENERVATION,"$2,658.00 "
51394,"Cytoscopy chemodenervation,TR","$2,889.00 "
51395,"Cytoscopy and treatment,SP","$3,076.00 "
51396,"Cytoscopy and treatment, TR","$3,344.00 "
51397,"Remove bladder stone,SP","$7,204.00 "
51398,"Remove bladder stone,TR","$7,830.00 "
51399,"Cytoscopy and treatment, SP","$1,840.00 "
51400,"Cytoscopy and  treatment,TR","$2,000.00 "
51401,"Cysto/uretero stricture tx,SP","$3,732.00 "
51402,"Cysto/uretero stricture tx,TR","$4,056.00 "
51403,"Cystouretero & or pyeloscope,SP","$3,088.00 "
51404,"Cystouretero & or pyeloscope,TR","$3,356.00 "
51406,"Cystouretero w/stone remove,TR","$6,175.00 "
51407,"Cystouretero w/ lithotripsy,SP","$6,900.00 "
51408,"Cystouretero w/ lithotripsy,TR","$7,500.00 "
51410,"Cysto/ureto w/lithotripsy,TR","$9,500.00 "
51411,"Prostatectomy (turp),SP","$5,917.00 "
51412,"Prostatectomy (turp),TR","$6,431.00 "
51413,"Incision of uretha,SP",$969.00 
51414,"Incision of urethra,TR","$1,053.00 "
51415,Circumcision w/ clamp,$788.00 
51416,"Circumcision w/ clamp,TR",$938.00 
51417,"Circum 28 days or older,SP","$2,433.00 "
51418,"Circum 28 days or older,TR","$2,645.00 "
51419,"Drainage of scrotum,SP","$1,982.00 "
51420,"Drainage of scrotum,TR","$2,155.00 "
51421,"Remove epididymis lesion,SP","$2,530.00 "
51422,"Remove epididymis lesion,TR","$2,570.00 "
51423,"Removal of hydrocele,SP","$3,197.00 "
51424,"REMOVAL OF HYDROCELE, TR","$3,475.00 "
51425,"Repair of hydrocele,SP","$3,722.00 "
51426,"Repair of hydrocele,TR","$4,045.00 "
51427,"Drainage of scrotum abscess,SP","$1,977.00 "
51428,"Drainage of scrotum abscess,TR","$2,170.00 "
51429,"Resection of scrotum complex, SP,22","$5,468.00 "
51430,"Resection of scrotum complex, TR","$5,258.00 "
51431,"Resection of scrotum complex, TR,22","$6,861.00 "
51432,"Removal of sperm duct(s),SP","$1,714.00 "
51433,"Removal of sperm cord lesion,TR","$1,863.00 "
51435,"Biopsy of prostate,TR","$1,126.00 "
51436,I & D vulva / perineu,$636.00 
51437,"I & D of vulva / perineu, FAC",$127.00 
51438,"I & D of vulva / perineu, PRO",$509.00 
51439,"I&D OF VULVA/PERINEUM,SP",$697.00 
51440,"I & D of vulva / perineu,SP, FAC",$139.00 
51441,"I & D of vulva / perineu, SP,PRO",$558.00 
51442,I&D of Bartholins Glan,$705.00 
51443,"I&D of Bartholins Glan,FAC",$141.00 
51444,"I&D of bartholins glan,PRO",$564.00 
51445,"I&D OF BARTHOLINS GLAND,SP",$772.00 
51446,"I&D of bartholins glan,SP, FAC",$154.40 
51447,"I&D OF BARTHOLINS GLAND,SP,PRO",$617.60 
51448,"I & D OF VULVA/PERINEU, SP",$697.00 
51449,I&D OF BARTHOLINS GLAN,$705.00 
51450,"I&D OF BARTHOLINS GLAN, SP",$772.00 
51451,Biopsy Vulva/Perineum,$617.00 
51452,"Biopsy Vulva/Perineum,FAC",$123.00 
51453,"Biopsy Vulva/Perineum,PRO",$494.00 
51454,"BIOPSY VULVA/PERINEUM,SP",$676.00 
51455,"Biopsy Vulva/Perineum SP,FAC",$135.20 
51456,"BIOPSY VULVA/PERINEUM,SP,PRO",$540.80 
51457,Biopsy vulva each add',$356.00 
51458,"Biopsy Vulva each add',FAC",$71.00 
51459,"Biopsy Vulva each add',PRO",$285.00 
51460,"BIOPSY VULVA EACH ADD', SP",$390.00 
51461,"Biopsy Vulva each add',SP,FAC",$78.00 
51462,"BIOPSY VULVA EACH ADD',SP,PRO",$312.00 
51463,"Hymectomy,SP","$1,795.00 "
51464,"Hymectomy,SP,FAC",$359.00 
51465,"HymectomySP,PRO","$1,436.00 "
51466,"MARSUPIALIZATION BARTH, SP","$1,764.00 "
51467,"Fitting and insertion of PESSARY,FAC",$91.00 
51468,"FITTING & INSERTION OF PESSARY,PRO",$365.00 
51469,"FITTING & INSERTION OF PESSARY,SP",$499.00 
51470,"FITTING & INSERTION OF PESSARY,SP,FAC",$99.80 
51471,"FITTING & INSERTION OF PESSARY,SP,PRO",$399.20 
51472,Fitting & Insertion of pessary,$456.00 
51473,"BIOPSY VULVA/PERINEUM,SP",$676.00 
51474,FITTING OF DIAPHRAGM,$329.00 
51475,"Fitting of diaphram,FAC",$66.00 
51476,"FITTING OF DIAPHRAGM,PRO",$263.00 
51477,"FITTING OF DIAPHRAGM,SP",$360.00 
51478,"Fitting of diaphram,SP,FAC",$72.00 
51479,"FITTING OF DIAPHRAGM,SP,PRO",$288.00 
51480,"COLPO ENTIRE VAGI-PROF,SP",$748.00 
51481,"Post Colporrhaphy Rect,SP","$4,198.00 "
51482,"Combined anteroposterior,SP","$5,348.00 "
51483,"repairof vagina assist,SP,80","$1,694.00 "
51484,"Colpoexy abdominal approach,SP","$9,378.00 "
51485,"Colpoplexy intra pertoneal approach,SP","$6,733.00 "
51486,NST,$408.00 
51487,"Repair bladder defect,SP","$6,549.00 "
51488,"Repair bladder defect assist,SP,80","$1,965.00 "
51489,"Colposcopy entire vagi-Profesional,SP",$748.00 
51490,"Colposcopy entirevagi-Profesional,SP,FAC",$150.00 
51491,"Colposcopy entirevagi-Profesional,SP,PRO",$598.00 
51492,"Colposcopy cervix bx c,SP","$1,355.00 "
51493,"COLPOSCOPY CERVIX BX C, SP,FAC",$271.00 
51494,"COLPOSCOPY CERVIX BX C,SP,PRO","$1,084.00 "
51495,"Biopsy of cervix wsco,SP",$920.00 
51496,"Biopsy of cervix w/sco,SP,FAC",$184.00 
51497,"Biopsy of cervix w/sco,SP,PRO",$736.00 
51498,"Colpo with EEC,SP",$776.00 
51500,"Colpo with EEC,SP,PRO",$621.00 
51501,"Biopsy Of Cervix,SP",$920.00 
51502,"Biopsy Of Cervix,SP,FAC",$184.00 
51503,"Biopsy Of Cervix,SP,PRO",$736.00 
51504,"Endocervical curettage,SP",$701.00 
51505,"Endocervical curettage,SP,FAC",$140.00 
51506,"Endocervical curettage,SP,PRO",$561.00 
51507,"LEEP,SP","$2,444.00 "
51508,"LEEP,SP,FAC",$489.00 
51509,"LEEP,SP,PRO","$1,955.00 "
51510,"Endometrial bx w/wo en,SP",$704.00 
51511,"Endometrial bx w/wo en,SP,FAC",$141.00 
51512,"Endometrial bx w/wo en,SP,PRO",$563.00 
51513,"d&c,SP","$2,036.00 "
51514,"Total hysterectomy,SP","$8,453.00 "
51515,"Total Hysterectomy AS,SP,80","$2,536.00 "
51516,"Partial Hysterectomy,SP","$9,431.00 "
51517,"Partial Hysterectomy assist ,SP,80","$2,829.00 "
51518,"Vaginal Hysterectomy,SP","$6,762.00 "
51519,"Vaginal Hysterectomy,SP,80","$2,029.00 "
51520,"Vag hyst Incuding t/o, SP","$7,245.00 "
51521,"Vag hyst includingt/o AS, SP,80","$2,174.00 "
51522,"Vag hyst incl t/o complex,SP","$12,233.00 "
51523,"Vag hyst inc t/o complex,SP,80","$3,670.00 "
51524,"COLPOSCOPY CERVIX BX C,SP","$1,355.00 "
51525,"BIOPSY OF CERVIX W/SCO, SP",$920.00 
51526,"COLPO WITH EEC, SP",$776.00 
51527,"BIOPSY OF CERVIX, SP",$920.00 
51528,"ENDOCERVICAL CURETTAGE,SP",$701.00 
51529,"LEEP, SP","$2,444.00 "
51530,"ENDOMETRIAL BX W/WO EN, SP",$704.00 
51531,"BIOPSY VULVA EACH ADD, SP",$390.00 
51532,"HYMECTOMY, SP","$1,795.00 "
51533,"COLPOSCOPY ENTIRE VAGI, SP",$748.00 
51534,"IUD INSERT, SP",$766.00 
51535,IUD INSERT,$483.00 
51536,"CHROMOTUBATION, SP",$889.00 
51537,"ENDOMETRIAL ABLATION W, SP","$4,916.00 "
51538,"LAPARO-ASS VAG HSYTERECTOMY, SP","$8,510.00 "
51539,"LAPAR-ASST VAG HYSTERECTOMY, SP, 80","$2,553.00 "
51540,"HYSTERECTOMY W/TUBES,SP","$9,488.00 "
51541,"HYSTEROSCOPY DIAGNOSTIC, SP","$2,300.00 "
51542,"HYSTEROSCOPY BE ENDOME, SP","$4,364.00 "
51543,"HYSTEROSCOPY ABLATION, SP","$14,111.00 "
51544,"LAPS TOTAL HYSTERECT W, SP","$9,592.00 "
51545,"LIG/TRNSXJ FLP TUBE AB, SP","$3,609.00 "
51546,"TUBAL FLOOWING C-SECT, SP","$1,838.00 "
51547,"LAPAROSCOPY WITH LYSIS, SP","$5,520.00 "
51548,"LAPAROSCOPY W/RMVL, SP","$5,591.00 "
51549,"LAPAROSCOPY W/FULGURAT, SP","$6,302.00 "
51550,"LAPAROSCOPY FULGURATION, SP","$3,485.00 "
51551,"LAPAROSCOPY TUBAL CAUTER, SP,80","$1,046.00 "
51552,"LAPAROSCOPY W/OCCLUSION, SP","$3,662.00 "
51553,"ADHESIOLYSIS TUBE OVARY,SP","$8,603.00 "
51554,"REMOVAL OF OVARY(S), SP","$5,808.00 "
51555,"REMOVAL OF OVARY(S) ASSIST, SP, 80","$1,742.00 "
51557,"NST, FAC",$82.00 
51558,"NST, PRO",$326.00 
51559,"NST,SP",$447.00 
51560,"NST,SP,FAC",$89.00 
51561,"NST,SP,PRO",$358.00 
51562,"TREAT ECTOPIC PREGNANCY, SP","$7,205.00 "
51563,CURRETTAGE POSTPARTUM,"$1,785.00 "
51564,"CURRETTAGE POSTPARUM, SP","$1,955.00 "
51565,"REP+D15/2+1575, SP","$2,751.00 "
51566,OB CARE ANTEPARTUM VAG,"$8,925.00 "
51567,"OB CARE ANTEPARTUM VAG, SP","$9,775.00 "
51568,VAGINAL DELIEVERY ONLY,"$4,200.00 "
51569,"VAGINAL DELIVERY ONLY-P, SP","$4,600.00 "
51570,VAGINAL DELIVERY ONLY,"$5,000.00 "
51571,"VAGINAL DELIVERY ONLY-P, SP","$6,325.00 "
51572,EXTERNAL CEPHALIC VERS,"$1,525.00 "
51573,"EXTERNAL CEPHALIC VERS-P, SP","$1,670.00 "
51574,ANTEEPARTUM CARE ONLY 7,"$3,970.00 "
51575,"ANTEPARTUM CARE ONLY 7, SP","$4,349.00 "
51576,POSTPARTUM CARE ONLY S,$683.00 
51577,"POSTPARTUM CARE ONLY S, SP",$748.00 
51578,"CESAREAN DELIVERY, SP","$6,032.00 "
51579,"CESAREAN DELIVERY, SP, 80","$1,810.00 "
51580,"CESAREN DELIVERY & POS, SP","$6,500.00 "
51581,"CESAREAN DELIVERY & POS, SP, 80","$2,315.00 "
51582,"VAGINAL DELIVERY & POS, SP","$6,992.00 "
51583,VAGINAL DELIVERY & POS-P,"$6,384.00 "
51584,"ATTEMPED VBAC DELIVERY ONLY, SP","$9,266.00 "
51585,"ATTEMPTED VABAC DELIVERY ONLY, SP, 80","$2,780.00 "
51586,"TREATMENT OF INCOMPLETE, SP","$2,128.00 "
51587,"TX MISSED ABORTION FIR, SP","$2,194.00 "
51588,"UNLISTED PROCEDURE, MAT, SP","$1,873.00 "
51589,"REMOVAL OF THYROID,SP","$6,355.00 "
51590,"PARTIAL REMOVAL OF THYROID AS, SP, 80","$1,907.00 "
51591,"REMOVAL OF THYROID,SP","$9,030.00 "
51592,"REMOVAL OF THYROID ASSIST, SP, 80","$2,703.00 "
51593,"TREAT SPINAL CANAL LESION,SP","$2,643.00 "
51594,"INJECT SPINE LUMBAR/SACRAL, SP","$1,564.00 "
51595,"REMOVE SPINE LAMINA 1/2 CRV, SP","$11,726.00 "
51596,"REMOVE SPINE LAMINA 1/2 CRV, SP, 80","$3,518.00 "
51597,"REMOVAL OF SPINAL LAMINA,SP","$11,142.00 "
51598,"REMOVAL OF SPINAL LAMINA ASS, SP, 80","$3,343.00 "
51599,"REMOVAL OF SPINAL LAMINA, SP","$11,252.00 "
51600,"REMOVAL OF SPINAL LAMINA SS, SP, 80","$3,376.00 "
51602,"NECK SPINE DISK SURGERY AS, SP, 80","$3,758.00 "
51603,"LOW BACK DISK SURGERY, SP","$13,800.00 "
51604,"LOW BACK DISK SURGERY ASSIST, SP, 80","$4,140.00 "
51605,"LOW BACK DISK SURGERY, SP, 22","$17,940.00 "
51606,"LOW BACK DISK SURGERY ASSIST, SP, 22, 80","$5,382.00 "
51607,"SPINAL DISK SURG ADD ON, SP","$4,888.00 "
51608,"SPINAL DISK SURG ADD ON, SP, 80","$1,466.00 "
51609,"SPINAL DISK SURG ADD ON, SP, 22","$6,354.00 "
51610,"SPINAL DISK SURG ADD ON, SP, 22, 80","$1,906.00 "
51611,"REMOVE SPINE LAMINA 1 CRVL, SP","$15,092.00 "
