Description, Base Price 
CT Guide Ndl Placement, 540.00 
CT Head or Brain w/ + w/o Cont," 2,295.00 "
CT Head or Brain w/ Cont," 1,536.00 "
CT Head or Brain w/o Cont," 1,536.00 "
CT IAC w/ + w/o Cont," 1,842.00 "
CT IAC w/o Cont," 1,536.00 "
CT LE w/ Cont Lt," 1,842.00 "
CT LE w/ Cont Rt," 1,842.00 "
CT LE w/o Cont Lt," 1,614.00 "
CT LE w/o Cont Rt," 1,614.00 "
CT Lung Biopsy Lt, 859.00 
CT Lung Biopsy Rt, 859.00 
CT Maxillofacial w/ Cont," 1,536.00 "
CT Maxillofacial w/o Cont," 1,536.00 "
CT Neck Soft Tissue w/ Cont," 1,842.00 "
CT Neck Soft Tissue w/o Cont," 1,536.00 "
CT Orbit Sella etc. w/ + w/o Cont," 1,536.00 "
CT Orbit Sella etc. w/o Cont," 1,536.00 "
CT PE Chest w/Cont," 2,638.00 "
CT Pelvis w/ Cont," 2,219.00 "
CT Pelvis w/o Cont," 1,918.00 "
CT Sinus or Facial w/ + w/o Cont, 514.00 
CT Sinus or Facial w/ Cont, 487.00 
CT Sinus or Facial w/o Cont, 487.00 
CT Spine Cervical w/ Cont," 2,048.00 "
CT Spine Cervical w/o Cont," 1,918.00 "
CT Spine Lumbar w/ Cont," 2,048.00 "
CT Spine Lumbar w/o Cont," 1,918.00 "
CT Spine Thoracic w/ Cont," 2,048.00 "
CT Spine Thoracic w/o Cont," 1,918.00 "
CT UE w/ Cont Lt," 1,842.00 "
CT UE w/ Cont Rt," 1,842.00 "
CT UE w/o Cont Lt," 1,614.00 "
CT UE w/o Cont Rt," 1,614.00 "
CUFF DB 18X5.5(5921-018-145), 93.00 
CUFF DB 24X5.5(5921-018-145), 104.00 
CUFF DISP 18X3(5921-018-135), 58.00 
CUFF DISP 24X4(5921-024-135), 65.00 
CUFF DISP 34X4(5921-034-135), 74.00 
CUFF DISP 44X4(5921-044-135), 82.00 
CULDOCENTESIS, 210.00 
Culture Anaerobic MCL, 131.00 
Culture Blood MCL, 149.00 
Culture Body Fluid + Smear MCL, 118.00 
Culture CSF + Smear MCL, 118.00 
Culture Genital + Smear MCL, 147.00 
Culture Herpes Simplex MCL, 60.00 
Culture MRSA MCL, 78.00 
Culture Nasopharyngeal MCL, 85.00 
Culture Routine + Smear MCL, 127.00 
Culture Sputum + Smear MCL, 127.00 
Culture Strep A Confirmation MCL, 59.00 
Culture Throat MCL, 88.00 
Culture Tissue + Smear MCL, 154.00 
Culture Urine MCL, 117.00 
"Curettage, postpartum [MONR]", 539.00 
CUSHION SEAT WAFFLE, 60.00 
CVP DAILY, 83.00 
Cyclic Citrullinated Peptide Ab MCL, 129.00 
Cyclospora Stain CLS, 47.00 
Cystine Urine Timed MCL, 207.00 
Cystourethroscopy (separate procedure), 349.00 
Cytomegalovirus DNA by PCR MCL, 563.00 
"Cytomegalovirus DNA detection, Qt, Plasma CLS", 196.00 
DAT Gel Interp, 79.00 
D-Dimer, 82.00 
Debride of Extensive Eczematous or Infected Skin; Up to 10% of Body Surface Charge, 111.00 
Debride of Nail(s) By Any Method(s); One to Five Charge, 69.00 
Debride of Nail(s) By Any Method(s); Six or More Charge, 98.00 
Debride Skin/Soft Tissue Charge, 243.00 
Debride Skin/Tissue/Muscle Charge, 435.00 
Debridement Ankle," 3,209.00 "
DEBRIDEMENT EACH ADD 10% BODY SURFACE, 136.00 
Debridement Elbow," 3,209.00 "
Debridement Foot," 3,209.00 "
Debridement Hand," 3,209.00 "
Debridement open wound, 59.00 
DEBRIDEMENT SUBCU ADD'L 20 CM, 90.00 
DEBRIDEMENT SUBCU FIRST 20 CM, 243.00 
Debridement Wound," 3,209.00 "
"Debridement,Bone(Includes Epidermis, Dermis, Subcutaneous tissue,muscle, and/or fascia, If performed", 757.00 
DEFINITY, 59.00 
Dehydroepiandrosterone Sulfate MCL, 190.40 
DEPRESSOR TONGUE STRL SR 6IN, 20.00 
DERMABOND TOPICAL SKIN, 175.00 
"Destruction (eg, laser/electro/cryo/chemosurgery/curettement), of warts; up to 14 lesions Charge", 236.00 
"Destruction (laser/electro/cryo/chemosurgery/curette), of warts; 15 or more lesions Charge", 280.00 
"Destruction Benign/Premalig 2-14 Lesions, each Charge", 17.00 
Destruction Benign/Premalig Lesion Charge, 173.00 
"Destruction of internal hemorrhoid(s) by thermal energy (eg, infrared coagulation, cautery, radiofre", 402.00 
Destruction of lesion(s) - [MONR], 456.00 
"Destruction, malignant lesion - [MONR]", 465.00 
"Destruction, malignant lesion (eg, laser surgery, electrosur [MONR]", 438.00 
DETECTOR CO2 ADULT, 54.00 
DETECTOR CO2 PEDS, 77.00 
Dexamethasone Suppression CLS, 227.00 
Diazepam Level MCL, 181.00 
Digoxin Level, 185.00 
"Dilation & Curettage, Non-OB Charge", 780.00 
Dilation and Curettage," 3,917.00 "
Dilation and Curettage with Hysteroscope," 5,364.00 "
Dilation and Curettage with Thermal Ablation," 10,126.00 "
DILATION OF ESOPHAGUS, 324.00 
DIPHENHYDRAMINE/50MG, 4.00 
"Diphth/HepB/Pertussis,Acel/Polio/Tetanus Vaccine POC", 108.00 
Direct Coombs, 123.00 
DIRECT COOMBS (DAT), 94.00 
DISP LIMB HOLDER, 19.00 
DISTAL CENTRALIZER [20020110], -   
DISTAL CENTRALIZER [20020111], -   
DISTAL CENTRALIZER [20020112], -   
DISTAL CENTRALIZER [20020113], -   
DISTAL CENTRALIZER [20020114], -   
DISTAL CENTRALIZER [20020115], -   
DISTAL CENTRALIZER [20020116], -   
DISTAL CENTRALIZER [20020117], -   
DISTAL CENTRALIZER [20020118], -   
DISTAL CENTRALIZER [20020119], -   
DISTAL CENTRALIZER [20020120], -   
DISTAL CENTRALIZER [20020121], -   
"DNA Double Stranded (dsDNA) Scrn w/Rflx, IgG MCL", 164.00 
DNA Double Stranded Antibody MCL, 164.00 
DNA Single Stranded Antibody MCL, 163.00 
DOMBORO SOAKS, 39.00 
Double Stranded-DNA Ab CLS, 192.00 
DR TIBURON HAND DRAPE(29427), 101.00 
DR/BEACH CHAIR SHOUL(29369), 72.00 
DR/EXTREMITY PACK(29189), 54.00 
DR/HIP W/POUCH (29429), 65.00 
DR/SPLIT SHEET (29440), 20.00 
DR/TIBIRAN SPLIT (29476), 30.00 
DRAIN BILE BAG, 92.00 
DRAIN JACKSON PRATT 10MM, 59.00 
DRAIN JCKSN PRTT RES 100ML, 87.00 
DRAIN JCKSN PRTT RES 400ML, 87.00 
"Drain Skin Abscess, Simple/Single Charge", 365.00 
Drainage Abscess," 4,369.00 "
Drainage Hematoma," 4,369.00 "
"Drainage of abscess, cyst, hematoma, vestibule of mouth; simple", 189.00 
Drainage of finger Abscess;Simple, 439.00 
Drainage of Skin Lesion Charge, 441.00 
DRAPE INCISE IOBAN(6648EZ), 25.00 
DRAPE LAP PACK, 139.00 
DRAPE LAP SHEET W/ POUCHES, 52.00 
DRAPE LOW EXTREM(089016), 32.00 
DRAPE PACK MAJOR PACK, 101.00 
DRAPE PCK LITHO D&C PK, 139.00 
DRAPE STERI W/POUCH(1017), 37.00 
DRAPE UNIVERSAL X-RAY, 54.00 
DRES XERO ST 4X3Y, 56.00 
DRES XERO STER 4 X 4(433500), 56.00 
Dressing change/Infusion center, 110.00 
DRESSING ELASTO-GEL WOUND 4X4 5 EA/BX, 34.00 
DRESSING ELASTO-GEL WOUND 6 X8  5 EA/BX, 73.00 
DRESSING TELFA 2 X3  STERILE, 20.00 
DRESSING TELFA 3 X4  STERILE, 20.00 
DRESSING TELFA 3 X8  STERILE, 20.00 
DRESSING XEROFORM 2X2 INCH, 20.00 
DRESSING XEROFORM STERILE 1X8 INCH, 20.00 
DRESSING XEROFORM STR 5X9IN, 20.00 
"DRESSING, AQUACEL AG 3X3(DO NOT REORDER)", -   
"Dressings and/or debridement of partial-thickness burns, initial or subsequent; large Charge", 487.00 
"Dressings and/or debridement of partial-thickness burns, initial or subsequent; medium Charge", 247.00 
"Dressings and/or debridement of partial-thickness burns,initial or subsequent;(less than 5%) Charge", 183.00 
DRVVT Confirm MCL, 32.00 
DRVVT Scr MCL, 32.00 
"DTaP Diphtheria/Pertussis, acellular/Tetanus Vaccine DTaP Under 7 yrs POC", 49.00 
DUODERM 4x4 IN, 35.00 
EAR LAVAGE ED Charge, 118.00 
EAR WICK  POPE  MEROCEL #400141, 18.00 
EB CAP IgM NPL, -   
"EBNA Ab, S CLS", 75.00 
"EBV VCA IgG Ab, S CLS", 88.00 
"EBV VCA IgM Ab, S CLS", 88.00 
ECHO 2D LTD- PRO FEE," 1,386.00 "
ED COMPLEX PROCEDURE CHARGE, 868.00 
ED INTERMEDIATE PROCEDURE CHARGE, 348.00 
ED IV SALINE LOCK ONLY CHARGE, 134.00 
ED Left Without Being Seen, -   
ED SIMPLE PROCEDURE CHARGE, 178.00 
EGD AND COLONOSCOPY," 3,112.00 "
EGD WITH BIOPSY AND COLONOSCOPY," 3,445.00 "
EGD WITH DILATION," 3,112.00 "
EGGCRATE LAPIDUS, 74.00 
EJ Antibody MCL, 50.00 
EKG (Hospital), 163.00 
EKG 12 Lead - NSG, 37.00 
EKG 12 Lead Complete Charge, 55.00 
"EKG 12 Lead, Interp/Report", 119.00 
EKG tracing for initial prev, 25.00 
EKG w/ Interpretation and/or Report Charge, 37.00 
EKG w/ Interpretation and/or Report Charge Hospital, 25.00 
ELASTIC ANKLE WRAP XL, 20.00 
Electrical Therapy Treatment Provided, 106.00 
"Electrocardiogram, routine ECG with 12 leads interpretation and report only", 25.00 
"Electrocardiogram, routine ECG with 12 leads performed as a screening for the initial preventative p", 53.00 
"Electrocardiogram, routine ECG with 12 leads,tracing only, without interpretation and report, perfor", 25.00 
Electrolytes, 100.00 
"Electrophoresis, Protein MCHC", 86.00 
EMERG RESPONSE CHARGE, -   
Emergency Department Visit Level 1 - 99281, 136.00 
Emergency Department Visit Level 2 - 99282, 192.00 
Emergency Department Visit Level 3 - 99283, 359.00 
Emergency Department Visit Level 4 - 99284, 454.00 
Emergency Department Visit Level 5 - 99285, 623.00 
EMPTY EVAC DRAINAGE SYSTEM 600ML, -   
EMS Direction, 189.00 
ENDO BIOPSY FORCEPS, 292.00 
ENDO BIOPSY FORCEPS NO NEEDLE, 292.00 
Endo Multiple Clip Applier Ligamax 5, 411.00 
ENDO SNARE, 292.00 
ENDO TROCAR 11MM(0D11LT), 190.00 
ENDO TROCAR 12MM(0D12LT), 193.00 
ENDO TROCAR 5MM(00D5LT), 146.00 
Endomysial Ab MCL, 216.00 
"Endomysial Antibodies, Serum CLS", 82.00 
Endomysial Antibody IgA MCL, 138.00 
"Endomysial Antibody IgA, MCL", 138.00 
ENDO-PEG TUBE KIT 20FR   PULL, 586.00 
ENDOTRA TUBE HOLD, 49.00 
ENEMA BUCKET, 20.00 
ENEMA FLEET CHILDREN 2.25 FL OZ, 16.00 
ENEMA FLEET MINERAL OIL 4.5 FL OZ, 16.00 
ENEMA PHOSPATE FLEET ADULT 4.5 FL OZ, 16.00 
ENT BLADE MICRO 14-58231, 83.00 
Enterolysis (freeing of intestinal adhesion) (separate procedure)," 3,765.00 "
"Enterotomy, small intestine, other than duodenum; for decompression"," 2,520.00 "
Enucleation or Excise of Ext Thrombotic Hemorrhoid Charge, 384.00 
EOA, 414.00 
EPIDERMAL GRAFT 100 SQ CM OR LESS," 2,685.00 "
Epidural Steriod Injection Cervical," 2,500.00 "
Epidural Steroid Injection," 2,500.00 "
Epidural Steroid Injection, -   
Epidural Steroid Injection Thoracic," 2,500.00 "
Epimed Coude Needle, 90.00 
EPINEPHRINE TO 1 ML, 6.00 
Epistaxis Control," 1,680.00 "
ER (ONLY) HANDHELD NEB/TX, 96.00 
ER Applic of Short Arm Splint (Forearm to Hand); Static Charge, 199.00 
ER Phys - Closed tx hip dislocation requiring anesthesia," 2,521.00 "
ER Physician Pro Fee, 323.00 
ER Physician Pro Fee Charge, 873.00 
ER Pro Fee Closed TX of knee dis.," 2,083.00 "
ER Pro Fee Closed TX of shoulder dis.," 1,321.00 "
ER Professional Fee," 1,336.00 "
"Erythropoietin (EPO), Serum CLS", 86.00 
Erythropoietin Level MCL, 227.00 
Esophagogastroduodenoscopy," 2,782.00 "
Esophagogastroduodenoscopy," 2,782.00 "
Esophagogastroduodenoscopy and Colonoscopy with Biopsy," 3,445.00 "
Esophagogastroduodenoscopy and Colonoscopy with Biopsy and Polypectomy," 4,110.00 "
Esophagogastroduodenoscopy and Colonoscopy with Polypectomy, -   
Esophagogastroduodenoscopy Charge," 1,012.00 "
Esophagogastroduodenoscopy with Biopsy," 3,118.00 "
Esophagogastroduodenoscopy with Biopsy and Colonoscopy with Biopsy," 3,782.00 "
Esophagogastroduodenoscopy with Biopsy and Dilation," 3,445.00 "
"Esophagogastroduodenoscopy with Biopsy, Dilatation and Colonoscopy"," 4,110.00 "
Esophagogastroduodenoscopy with Dilation and Colonoscopy," 3,445.00 "
Esophagogastroduodenoscopy with Gastric Lavage," 3,112.00 "
Esophagogastroduodenoscopy with Percutaneous Endoscopic Gastrostomy Feeding Tube," 3,779.00 "
Esophagogastroduodenoscopy with Percutaneous Endoscopic Gastrostomy Placement," 3,779.00 "
Esophagogastroduodenoscopy with Percutaneous Endoscopic Gastrostomy Replacement," 3,779.00 "
Esophagogastroduodenoscopy with Polypectomy," 3,118.00 "
Esophagogastroduodenoscopy with Wash Needle," 3,118.00 "
"Esophagogastroduodenoscopy, flexible, transoral; with ablation of tumor(s), polyp(s), or other lesio", 641.00 
Esophagoscopy," 2,769.00 "
Esophagoscopy," 2,769.00 "
Esophagoscopy with Biopsy," 3,095.00 "
ESOPHAGOSCOPY WITH BIOPSY ONE OR MORE, 391.00 
Esophagoscopy with Control of Bleeding," 3,095.00 "
"Esophagoscopy, flexible, tranoral: with ablation of tumor(s), polyps(s), or other lesion(s) (include", 510.00 
"Esophagoscopy, flexible, transoral; diagnostic, including collection of specimen(s) by brushing or w", 219.00 
Estradiol Level MCL, 193.00 
"Estradiol, Serum CLS", 385.00 
ET/CO2 MONITORING & CAPNOGRAPHIC, 47.00 
Ethmoidectomy Intranasal Anterior," 4,922.00 "
Ethmoidectomy Total Extranasal," 5,267.00 "
Ethmoidectomy Total Intranasal," 5,610.00 "
"Ethosuximide, Serum CLS", 79.00 
Evac of Subungual Hematoma Charge, 109.00 
Exam Under Anesthesia," 2,762.00 "
Exc h-f-nk-sp ]4 cm, 886.00 
Exc Neck Les Sc =3Cm," 1,601.00 "
"Exc of breast lesion id by preop placement of rad marker, open; single lesion Technical Charge"," 1,550.00 "
EXC PRESACRAL OR SACROCOCCYGEAL TUMOR," 6,051.00 "
"Excise of Ganglion, Wrist (Dorsal or Volar); Primary Charge"," 1,107.00 "
"Excise of Nail & matrix, Part. or Complete, for Permanent Removal Charge", 547.00 
"Excise or Curettage of Bone Cyst or Benign Tumor, Tibia or Fibula; Charge"," 1,978.00 "
Excise Tumor Subq Abd Wall >3cm," 1,499.00 "
"Excise, Malign Lesion w/Margins, Face, Ears, Eyelids, Nose, Lips; Excised diam 0.5 cm or Less Charge", 439.00 
"Excise, Malign Lesion w/Margins, Face, Ears, Eyelids, Nose, Lips; Excised diam 0.6 to 1.0 cm  Charge", 545.00 
"Excise, Malign Lesion w/Margins, Face, Ears, Eyelids, Nose, Lips; Excised diam 1.1 to 2.0 cm  Charge", 660.00 
"Excise, Malign Lesion w/Margins, Trunk, Arms, or Legs; Excised diam 0.5 cm or Less Charge", 401.00 
"Excise, Malign Lesion w/Margins, Trunk, Arms, or Legs; Excised diam 0.6 to 1.0 cm  Charge", 502.00 
"Excise, Malign Lesion w/Margins, Trunk, Arms, or Legs; Excised diam 1.1 to 2.0 cm  Charge", 524.00 
"Excise, Malign Lesion w/Margins, Trunk, Arms, or Legs; Excised diam 2.1 to 3.0 cm  Charge", 657.00 
"Excise, Olecranon Bursa Charge"," 1,193.00 "
Excision Bursa," 3,209.00 "
Excision Cyst," 3,209.00 "
Excision Cyst Baker's," 3,209.00 "
Excision Cyst Ganglion," 3,495.00 "
Excision Cyst Sebaceous," 3,209.00 "
Excision Lesion," 3,209.00 "
Excision Lipoma," 3,209.00 "
Excision Lymph Node," 3,209.00 "
"Excision Malignant lesion, 3.1 to 4.0 cm"," 1,056.00 "
Excision Mass," 3,352.00 "
Excision Melanoma," 3,209.00 "
Excision Nail," 3,209.00 "
EXCISION OF BARTHOLIN'S GLAND OR CYST, 810.00 
Excision of benign lesion including margins except skin tag, 569.00 
Excision of cyst  fibroadenoma   aberrant breast tissue  duct lesion  areolar lesion  1 or more," 1,395.00 "
Excision of hydrocele; unilateral," 1,068.00 "
Excision Of Lesion Of Spermatic Cord (Separate Procedure)," 1,034.00 "
"Excision of lesion of tendon sheath or joint capsule (eg, cyst, ganglion), hand/finger"," 1,087.00 "
Excision of pilonidal cyst or sinus  simple, 628.00 
Excision of pilonidal cyst or sinus; complicated," 1,537.00 "
Excision of pilonidal cyst or sinus; extensive  - [MONR]," 1,437.00 "
"Excision of single external papilla or tag, anus", 321.00 
Excision of Turbinate," 5,267.00 "
Excision Pharynx Lesion," 5,006.00 "
Excision Tonsil Tags," 5,006.00 "
"Excision, benign lesion including margins except skin tags, trunk, arms, and legs, Excised Diameter", 514.00 
"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or", 449.00 
"Excision, benign lesion, excised over 4.0 cm trunk, arms or legs", 798.00 
"Excision, benign lesion, trunk, arms or legs; >4.0 cm Technical Charge", 798.00 
"Excision, malignant lesion including margins, face, ears, ey [MONR]", 585.00 
"Excision, olecranon bursa - [MONR]"," 1,170.00 "
"Excision, other benign lesion including margins - [MONR]", 599.00 
"Excision, other margins, Except skin tag (unless Listed Elsewhere) Face, Ears, Eyelids, Nose, Lips,", 728.00 
"Excision, Prepatellar Bursa"," 1,215.00 "
"Excision, sacral pressure ulcer with primary suture"," 1,826.00 "
"Excision, tumor, soft tissue of abdominal wall, subfascial (eg, intramuscular); less than 5 cm"," 1,501.00 "
"EXCISION, TUMOR, SOFT TISSUE OF FOREARM AND/OR WRIST AREA, SUBCUTANEOUS; LESS THAN 3 CM", 840.00 
"Excision, tumor, soft tissue of pelvis and hip area, subcutaneous; less than 3 cm"," 1,336.00 "
"Excision, tumor, soft tissue of shoulder area, subcutaneous; less than 3 cm", 872.00 
"Excision, tumor, soft tissue of upper arm or elbow area, subcutaneous; 3 cm or greater"," 1,085.00 "
"EXERCISE BALL 27.5"" RED", -   
Exploration of penetrating wound (separate procedure)  abdomen/flank/back, 175.00 
"Exploration, retroperitoneal area with or without biopsy(s)  [MONR]"," 2,921.00 "
"Exploratory Laparotomy, Exploratory Celiotomy with our without biopsy"," 2,405.00 "
Explore of Penetrating Wound; Extremity Charge," 1,239.00 "
External Fixation Application Large," 6,548.00 "
External Fixation Application Small," 6,548.00 "
External Fixator Application," 6,548.00 "
External Fixator Removal," 4,385.00 "
EXTRA ATTENDANT Amb Charge, 178.00 
Extremity Hardware Removal Lower," 4,385.00 "
Extremity Hardware Removal Upper," 4,385.00 "
Facet Injection," 1,455.00 "
Factor V Leiden MCL, 206.00 
Factor VIII Activity MCL, 223.00 
FALL TAP BLOCK UNI BY INFUSION, -   
Fasciotomy Plantar," 3,496.00 "
FECAL COLL SYSTEM BAG(FLEXI SEAL), 20.00 
FECAL COLLECTION SYSTEM(FLEXI SEAL), 759.00 
Fecal Lactoferrin MCL, 238.00 
Fecal Leukocytes, 70.00 
FEEDING TUBE 8FR, 20.00 
Ferritin Lvl, 189.00 
FF/PFT/FIRE FIGHTERS, 52.00 
"FiberLink, #2 FiberWire, 26"" (blue), w/Closed Loop  AR-7235", 214.50 
"FiberTape, 2 mm, 36"" (blue) each end Tapered to #2 FiberWire  AR-7237", 408.00 
Fibrinogen CLS, 127.00 
Fibrinogen MCL, 72.80 
Fine Needle Biopsy Charge; First Lesion, 238.00 
FISH MCL," 1,542.00 "
Fissurectomy," 4,398.00 "
Fissurectomy +-Sphnctrotomy," 1,085.00 "
Flow Cytometry MCL, -   
FLU 65 YRS AND OVER/FLU INJECTION CVX 135, -   
Flu Vaccine Live Intranasal POC, 33.00 
Flu Vaccine Split 3 yrs and above IM, 26.00 
Flu Vaccine Split 6-35 Months IM POC, 13.00 
Fluid Glucose CLS, 60.00 
Fluid Protein CLS, 61.00 
Fluid Viscosity CLS, 104.00 
Fluidotherapy Charge, 122.00 
Fluor Gid Ctr Vad Plmt Replcmt/Rmvl, 72.00 
"FLUOROSCOPY, Up to 1 Hour", 356.00 
FOG OUT ANTI FOG 3910, 63.00 
Folate, 206.00 
Folate    SQL, -   
Folate CLS, 206.00 
Folate Level, 206.00 
Folate MCL, 206.00 
FOLEY ANCHOR KIT(FCS200XT), 17.00 
Follicle Stimulating Hormone MCL, 259.00 
Follow-Up Visit - 99024, -   
Food Allergy Profile MCL, 318.00 
FOOT CUFF EXPRES SCD(5897), 92.00 
Foreign Body Removal," 3,209.00 "
"Foreign Body Remove, Corneal, w/o Slit Lamp Tech Chg", 159.00 
"Foreign Body Remove, Superficial Conjunctival Tech Chg", 133.00 
Free Light Chains CLS, 156.00 
Free T4, 117.00 
Frenulectomy," 3,705.00 "
Fresh Frozen Plasma Thaw, 127.00 
FSH CLS, 259.00 
"Full thickness graft, free, including direct closure - [MONR]"," 2,076.00 "
Functional Activities Charges, 91.00 
G0399 HOME SLEEP STUDY CHARGE, 631.00 
Gait Training 97116 -BCE, 135.00 
Gait Training Charges, 135.00 
Gamma Glutamyl Transferase, 104.00 
Ganglion Impar," 2,500.00 "
Gastric Intubation/Aspiration/Tube Lavage Charge, 172.00 
GASTRIC LAVAGE, 178.00 
Gastrin MCL, 206.00 
Gastrointestinal Panel MCL, 913.00 
Gastrostomy  open  without construction of gastric tube (eg  Stamm procedure) (separate procedure)," 2,283.00 "
GELOCAST 4  (UNA BOOT)001053, 24.00 
GENSC- Hypothyroidism Add On, 109.00 
GENSC- MS-MS Expan SC Add On, 136.00 
GENSC-Biotinidase Add On, 217.00 
Gentamycin Level Peak, 233.00 
Gentamycin Level Trough, 233.00 
Giardia Ag CLS, 55.00 
Giardia Ag CLS, 127.00 
Giardia Antigen MCL, 127.00 
GLADIATOR EXTENDED OFF SZ1 [PRGLCLE1]," 18,750.00 "
GLADIATOR EXTENDED OFF SZ10 [PRGLCLE10]," 18,750.00 "
GLADIATOR EXTENDED OFF SZ2 [PRGLCLE2]," 18,750.00 "
GLADIATOR EXTENDED OFF SZ3 [PRGLCLE3]," 18,750.00 "
GLADIATOR EXTENDED OFF SZ4 [PRGLCLE4]," 18,750.00 "
GLADIATOR EXTENDED OFF SZ5 [PRGLCLE5]," 18,750.00 "
GLADIATOR EXTENDED OFF SZ6 [PRGLCLE6]," 18,750.00 "
GLADIATOR EXTENDED OFF SZ7 [PRGLCLE7]," 18,750.00 "
GLADIATOR EXTENDED OFF SZ8 [PRGLCLE8]," 18,750.00 "
GLADIATOR EXTENDED OFF SZ9 [PRGLCLE9]," 18,750.00 "
GLADIATOR STANDARD SZ1 [PRGLCLS1]," 18,750.00 "
GLADIATOR STANDARD SZ10 [PRGLCLS10]," 18,750.00 "
GLADIATOR STANDARD SZ2 [PRGLCLS2]," 18,750.00 "
GLADIATOR STANDARD SZ3 [PRGLCLS3]," 18,750.00 "
GLADIATOR STANDARD SZ4 [PRGLCLS4]," 18,750.00 "
GLADIATOR STANDARD SZ5 [PRGLCLS5]," 18,750.00 "
GLADIATOR STANDARD SZ6 [PRGLCLS6]," 18,750.00 "
GLADIATOR STANDARD SZ7 [PRGLCLS7]," 18,750.00 "
GLADIATOR STANDARD SZ8 [PRGLCLS8]," 18,750.00 "
GLADIATOR STANDARD SZ9 [PRGLCLS9]," 18,750.00 "
Gliad IgA Ab MCL, 85.00 
Gliad IgG Ab MCL, 85.00 
Gliadin Ab IgA CLS, 80.00 
Gliadin Ab IgG CLS, 80.00 
Gliadin IgG IgA Antibodies MCL, 94.00 
Glucose Body Fluid MCL, 113.00 
Glucose Cerebrospinal Fluid MCL, 45.00 
Glucose Level, 37.00 
Glutamic Acid Decarboxylase Ab MCL, 290.00 
Gram Stain, 40.00 
Gram Stain 1, 63.00 
Gram Stain Add On, 64.00 
Gram Stain CLS, 63.00 
Greater than 50 sq. cm., 190.00 
GTT 1 Hour (50gm), 60.00 
H Pylori Ab CLS, 202.00 
H. pylori Antibody MCL, 202.00 
Hammertoe Repair," 3,496.00 "
HANDHELD NEB/TX, 116.00 
HANDLE PENCIL GRP W/HAND CONTROL EPH04, 970.00 
Haptoglobin CLS, 80.00 
Haptoglobin MCL, 117.00 
Hardware Removal," 4,385.00 "
Hardware Removal Ankle," 4,385.00 "
Hardware Removal Femur," 4,385.00 "
Hardware Removal Hip," 4,385.00 "
HBs Ab Text MCL, -   
HCG Blood Quantitative MCL, 157.00 
Hearing Screen POC, 35.00 
HEEL/ELBOW PROTECTOR LARGE, 38.00 
HEEL/ELBOW PROTECTOR MEDIUM, 38.00 
HEEL/ELBOW PROTECTOR SMALL, 38.00 
HEEL/ELBOW PROTECTOR X LARGE, 38.00 
Helicobacter pylori Antigen Stool MCL, 186.00 
"Helicobacter pylori Antigen, Feces CLS", 131.00 
HEMACULT, 18.00 
HEMATEST, 18.00 
Hematocrit, 41.00 
Hematocrit, 41.00 
Hematoma Complex, 247.00 
HEMI HEAD 43 NECK - 4 [36090443]," 5,400.00 "
HEMI HEAD 43 NECK +0 [36090043]," 5,400.00 "
HEMI HEAD 44 NECK - 4 [36090444]," 5,400.00 "
HEMI HEAD 44 NECK +0 [36090044]," 5,400.00 "
HEMI HEAD 45 NECK - 4 [36090445]," 5,400.00 "
HEMI HEAD 45 NECK +0 [36090045]," 5,400.00 "
HEMI HEAD 46 NECK - 4 [36090446]," 5,400.00 "
HEMI HEAD 46 NECK +0 [36090046]," 5,400.00 "
HEMI HEAD 47 NECK - 4 [36090447]," 5,400.00 "
HEMI HEAD 47 NECK +0 [36090047]," 5,400.00 "
HEMI HEAD 48 NECK - 4 [36090448]," 5,400.00 "
HEMI HEAD 48 NECK +0 [36090048]," 5,400.00 "
HEMI HEAD 49 NECK - 4 [36090449]," 5,400.00 "
HEMI HEAD 49 NECK +0 [36090049]," 5,400.00 "
HEMI HEAD 50 NECK - 4 [36090450]," 5,400.00 "
HEMI HEAD 50 NECK +0 [36090050]," 5,400.00 "
HEMI HEAD 51 NECK - 4 [36090451]," 5,400.00 "
HEMI HEAD 51 NECK +0 [36090051]," 5,400.00 "
HEMI HEAD 52 NECK - 4 [36090452]," 5,400.00 "
HEMI HEAD 52 NECK +0 [36090052]," 5,400.00 "
HEMI HEAD 53 NECK - 4 [36090453]," 5,400.00 "
HEMI HEAD 53 NECK +0 [36090053]," 5,400.00 "
HEMI HEAD 54 NECK - 4 [36090454], -   
HEMI HEAD 54 NECK +0 [36090054]," 5,400.00 "
HEMI HEAD 55 NECK - 4 [36090455]," 5,400.00 "
HEMI HEAD 55 NECK +0 [36090055]," 5,400.00 "
HEMI HEAD 56 NECK - 4 [36090456]," 5,400.00 "
HEMI HEAD 56 NECK +0 [36090056]," 5,400.00 "
HEMI HEAD 57 NECK - 4 [36090457], -   
HEMI HEAD 57 NECK +0 [36090057]," 5,400.00 "
HEMI HEAD 58 NECK - 4 [36090458]," 5,400.00 "
HEMI HEAD 58 NECK +0 [36090058]," 5,400.00 "
HEMI HEAD 60 NECK +0 [36090060]," 5,400.00 "
HEMI HEAD 60 NECK +0 [36090460]," 5,400.00 "
Hemicolectomy," 10,519.00 "
Hemoccult POC, 16.00 
HEMOCULT SENSA SINGLE SLIDE, 17.00 
HEMOGLOBIN, 41.00 
Hemoglobin, 41.00 
Hemoglobin, 41.00 
Hemoglobin A1c MCL, 91.00 
