Charge Description,Charge Amount
SCREW CANN 7.3X115      ,"2,197.00"
SCREW CANN 7.3X125 4.0  ,"2,197.00"
SCREW CAN 7.3X55        ,"2,197.00"
SCREW CANN 7.3X40       ,"2,197.00"
SCREW CANN 7.3X50       ,"2,197.00"
SCREW 7.3 CN 16 THR/35  ,"2,197.00"
SCREW CANNULATED 7.3 32 ,"2,197.00"
SCREW BNE L55MM OD7.3MM ,"2,197.00"
SCREW BNE SS L105 MM OD7,"2,197.00"
SCREW BNE SS L125 MM OD7,"2,197.00"
SCREW CANN TT FM 7.3/95 ,"2,197.00"
PLATE BNE 316L SS 2MM TH,"2,197.00"
SCREW CANN 7.3X70       ,"2,197.00"
SCREW CANN 7.3X60       ,"2,197.00"
SCREW CANN 7.3 X 105 SHT,"2,197.00"
SCREW CANN 7.3 X 100 SHT,"2,197.00"
SCREW CANN 7.3X110      ,"2,197.00"
SCREW BNE L45MM OD7.3MM ,"2,197.00"
SCREW BNE L115MM OD7.3MM,"2,197.00"
SCREW BN CPTR HEX 5X35  ,"2,198.00"
SCREW BN TRGN TI 5X105MM,"2,198.00"
CLIP ANRSM PERM FT644T  ,"2,198.00"
CLIP ANRSM PERM FT727T  ,"2,198.00"
CLIP ANRSM STD 8X5X4.5  ,"2,198.00"
CLIP ANRSM PERM FT822T  ,"2,198.00"
SYS NAIL TRGN L85XW5.0  ,"2,198.00"
SCREW BN CPTR HEX 5X90  ,"2,198.00"
SCREW BN CPTR HEX 5X95  ,"2,198.00"
SCREW CAP 5.0 100       ,"2,198.00"
SCREW BN CPTR HEX 5X110 ,"2,198.00"
SCREW BN CPTR HEX 4.5X45,"2,198.00"
SCREW BN CPTR GRY 4.5X55,"2,198.00"
SCREW BN CPTR HEX 4.5X35,"2,198.00"
SCREW BN CPTR GRY 4.5X50,"2,198.00"
SCREW BN CPTR HEX 4.5X30,"2,198.00"
SCREW TRGN LCK 5.0X65   ,"2,198.00"
SCREW BNE TI L40 TRGN   ,"2,198.00"
SCREW BN CPTR HEX 5X50  ,"2,198.00"
SCREW TRGN 5.0X55       ,"2,198.00"
SCREW BN CPTR HEX 5X80  ,"2,198.00"
SCREW TRAD. 5.0X30      ,"2,198.00"
SCREW BN CPTR HEX 5X75  ,"2,198.00"
SCREW BN CPTR HEX 4.5X40,"2,198.00"
SCREW BN CPTR GRY 4.5X65,"2,198.00"
SCREW BN CPTR HEX 5X60  ,"2,198.00"
SCREW BN CPTR INT 5X25  ,"2,198.00"
SCREW BNE TI L60 TRGN   ,"2,198.00"
SCREW BN CPTR HEX 5X70  ,"2,198.00"
TRAD.SCREW 5.0X45       ,"2,198.00"
STNT URET SNGL J 8.5X90 ,"2,199.00"
SCREW CORT SLFDRL 1.3X6 ,"2,200.00"
SCREW BN 3.5MM 12MM FT  ,"2,200.00"
SCREW BN LCK 3.5X16     ,"2,200.00"
SCR BN 3.5MM 28MM       ,"2,200.00"
SCREW BN 3.5MM 32MM ORTH,"2,200.00"
SCREW BN 3.5MM 26MM ORTH,"2,200.00"
PLATE MXLFCL STR 24F 1.5,"2,201.00"
PLATE 100D MED RT MDFC 3,"2,205.00"
PLATE 1.5MM REG LT MDFC ,"2,205.00"
T CLAMP PSTN XS EBI LP  ,"2,206.50"
ROD 188MM OSTEONICS     ,"2,207.00"
SCREW CANN 6.5X40X16MM  ,"2,210.00"
SCREW BN 6.5MM 40MM SS O,"2,210.00"
CAP END 15MM TIB XTND ST,"2,210.00"
SCREW CANNULATED 6.5 32 ,"2,210.00"
SCREW BNE L20MM OD6.5MM ,"2,210.00"
SCREW INTFRNCE AR-1380TC,"2,211.00"
ANCH SUT G2 ETHIBO      ,"2,211.00"
KIT ADV INDW 20FR D 6MM ,"2,211.00"
ANCHOR LEAD N300 SP COLU,"2,211.00"
SCREW LAG 4.1X38MM      ,"2,211.00"
SCREW BN LAG T10 4.1X34 ,"2,211.00"
SCREW 2.5MM X 14MM      ,"2,211.00"
CEMNT BN SPINL          ,"2,211.00"
PROSTH INDW 11MM SPECIAL,"2,215.00"
SCREW CANN CNCL 7.3X80MM,"2,216.00"
SCREW CONICAL 7.3 75MM  ,"2,216.00"
PLATE-Y 5 HOLES TI MATRI,"2,218.00"
PLATE SYNTHES 215.070   ,"2,220.00"
SCREW CANCLS 4.0X14 ST  ,"2,221.00"
SCREW CANC 4.0 SLF TAP  ,"2,221.00"
PLATE MF TT 446.10      ,"2,222.00"
STAPLE ANTERIOR 16X16 50,"2,223.00"
CAP LCK 12MM LG SPNL RND,"2,223.00"
SCREW BNE L14 OD4.5 OC  ,"2,224.00"
PLATE STRAIGHT 1.5 12HX5,"2,224.00"
PLATE CERV SPINE SYNTHE ,"2,224.00"
PLATE BN SS 52X7        ,"2,224.00"
PLATE BN SS 73X10       ,"2,224.00"
PLATE LCP MINI 247.348  ,"2,224.00"
PLATE BN SHRT MNDB 6HL  ,"2,225.00"
DEVICE FX FSTNR -FX 15  ,"2,225.00"
SPACER FEM 12/14 0MM    ,"2,225.00"
SPACER FEM 12/14 5MM    ,"2,225.00"
PIN HLF 200MM 6MM ORTH H,"2,225.00"
CAP END NLEX TI 12X10MM ,"2,228.00"
CAP END TITANIUM 0MM NAI,"2,228.00"
BUTTON FX EBTN 45MM     ,"2,230.00"
SCREW BCRL ABS 9X30     ,"2,230.00"
PLATE STR 16HL 1.5      ,"2,230.00"
GRAFT BN RDGFR CANC 15ML,"2,232.00"
BUTTON ENDO FX ACL 55MM ,"2,232.00"
GRAFT ST MATRISTEM MICRO,"2,232.00"
SCREW BN ADV 4.5X30     ,"2,233.00"
SCREW SURFX 4.5X35      ,"2,233.00"
SCREW SURFX 3.5X38      ,"2,233.00"
SCREW CANN THRD 3.0X32  ,"2,237.00"
PLATE PROS 2MM 2X8HL    ,"2,237.00"
SCREW CANNULA SYNT 202.7,"2,237.00"
PLATE-Y DOUBLE TI 6HOLES,"2,237.00"
PLATE TI STR 2.4 6HL    ,"2,237.00"
SCREW BNE L160MM OD6.5MM,"2,237.00"
SCREW BN 6.5MM 180MM SS ,"2,237.00"
SCREW BONE 6.5MM        ,"2,237.00"
SCREW BN 6.5MM 140MM SS ,"2,237.00"
SCREW LAG 1 STP 12.7 THR,"2,239.00"
SCREW PEDI ORTHO CANN   ,"2,240.00"
SCREW TEMP FIX 2.0-2.3MM,"2,240.00"
SCREW BN 4MM 24MM       ,"2,240.00"
SCREW BN EXT LNK VDR HEX,"2,240.00"
SCREW BN 4MM 45MM       ,"2,240.00"
PLATE MDFC 6HL L RT 12MM,"2,242.00"
PLATE MDFC 6HL L LT 12MM,"2,242.00"
PLATE THNFLAP DOGBN 10MM,"2,244.00"
BUSHING KN FEM 6481-2-11,"2,244.00"
SCREW BN 5MM 70MM NLEX T,"2,246.00"
SCREW BN TI 5X85MM TIB L,"2,246.00"
SM T-PLATE 3 HL SYN     ,"2,246.00"
SCREW CORT 5.0X50       ,"2,246.00"
SCREW BN 5.0X75MM LOK OV,"2,246.00"
PLATE 35MM SS 2.4MM SCR ,"2,248.00"
BUTTON FX ETBN ACL 25MM ,"2,249.00"
BUTTON SUT OD40 EBTTN CL,"2,249.00"
BUTTON FX 50MM EBTN     ,"2,249.00"
BUTTON FX EBTN CONT 35MM,"2,249.00"
PLATE TI BRD 2.0 6HOLE  ,"2,249.00"
SCREW BN 2.7MM 10MM     ,"2,249.00"
PLATE LORENZ 20-4507    ,"2,250.00"
SCREW BNE L14MM OD3.8MM ,"2,250.00"
SCREW BN TI CANC 5X34MM ,"2,251.00"
SCREW BN TI CANC 5.0X30 ,"2,251.00"
SCREW CANC 5.0X36       ,"2,251.00"
PORT IMPL INFSN 6.6FR   ,"2,253.00"
SCREW FEM ADOL PT 5X50MM,"2,255.00"
PLATE CUSTOM L-SHAPED RI,"2,255.00"
PLATE CUSTOM L SHAPE 2X2,"2,255.00"
CAP CLKX TI 3-D HD      ,"2,257.00"
SCREW LAB AMBI 75       ,"2,259.00"
SCREW LAG 12.7X9X90X21MM,"2,259.00"
SCREW LAB AMBI 55       ,"2,259.00"
SCREW LAB AMBI 120      ,"2,259.00"
SCREW LAB AMBI 110      ,"2,259.00"
SCREW LAG 115M 4.53     ,"2,259.00"
SCREW LAB AMBI 65       ,"2,259.00"
SCREW LAB AMBI 80       ,"2,259.00"
SCREW LAG 12.7X9X85X21MM,"2,259.00"
SCREW LAG 12.7X9X95X21MM,"2,259.00"
SCREW LAB AMBI 100      ,"2,259.00"
DEVICE CLSR VASC 5FR    ,"2,260.00"
DEVICE CLSR MYNX 6-7FR  ,"2,260.00"
RESERVOIR SHUNT MCCOMB C,"2,260.00"
GRFT TIS 2X3CM STRNG    ,"2,260.00"
GRAFT TISS BDSGN 2.5X2.5,"2,260.00"
PLT BN .6MM 6H LRG DBL Y,"2,260.00"
SCREW BN FEM 5.0MMX14MM ,"2,262.00"
PLT LRNZ REG 1.5MM      ,"2,263.00"
SCREW CANN 4.5X28 PT    ,"2,263.00"
SCREW BN VAR 4X14MM     ,"2,266.00"
SCREW SPNE MTNR 4.5X9MM ,"2,266.00"
GRAFT BIOSET F-DSC 30X3 ,"2,266.00"
SCREW DYNTRN F-A ST 14X4,"2,266.00"
SCREW RFLX HB 4.5X14MM  ,"2,266.00"
SCREW SPNL CORT 4.5X6MM ,"2,266.00"
BOLT SPNL TRVRS 6.5X55  ,"2,266.00"
SCREW SPNL OCPTL 10MM   ,"2,266.00"
SCREW CSPN VAR ANG4.5X18,"2,266.00"
SCR SPNL MTNR 5.25X6MM  ,"2,266.00"
SCREW SPNL S/T SKYLN 16M,"2,266.00"
SCREW SPN ATL V-A 4.5X15,"2,266.00"
SCR ATLNTS SLFDRL 4.5X15,"2,266.00"
SCREW F/A S/D 4.5X11    ,"2,266.00"
ROD PRE BENT 35MM       ,"2,266.00"
SCREW SPN 6.5X45MM      ,"2,266.00"
SCREW SKYLINE ST 14MM CO,"2,266.00"
ROD SPNL TI PRBNT 5.5X45,"2,266.00"
ANCH SUT SM RCUF SHLDR  ,"2,266.00"
SCREW CANC LOCK 5.5X33MM,"2,266.00"
SLEEVE CABLE SS MED 2MM ,"2,266.00"
CRIMP INTGR BAR         ,"2,266.00"
ROD MNRCH 6.35X450 TI   ,"2,266.00"
ROD 6.35X65MM 177010065 ,"2,266.00"
ROD 95MM ACROMED        ,"2,266.00"
ROD SP 6.35X75 PRBNT MON,"2,266.00"
ROD SP 6.35X45 PRBNT MON,"2,266.00"
SCREW SPN AVTR FA 14X4  ,"2,266.00"
ROD SPNL TI 80MM 5.5MM  ,"2,266.00"
SCREW SPNL 16           ,"2,266.00"
SCRW SET TI STANDARD 1/4,"2,266.00"
ROD SPNL TI L95 OD6.35  ,"2,266.00"
SCREW SPN O/S 14MM      ,"2,266.00"
SCRW BONE L16MM OD4.25MM,"2,266.00"
ROD SPNL PRBNT RGD 40   ,"2,266.00"
SCRW 4.2X14 GREEN TOP S ,"2,266.00"
PRE-LORD ROD TI 35MM    ,"2,266.00"
ROD SPNL 300MM 3.5MM    ,"2,266.00"
SCRW BN L12 SPAL OVERSIZ,"2,266.00"
PRE-LORD ROD TI 65MM    ,"2,266.00"
PRE-LORD ROD TI 45MM    ,"2,266.00"
ROD SPINAL 90M 3.5M     ,"2,266.00"
ROD SPN PRBENT 75X5.5MM ,"2,266.00"
SCREW BN TI L14MM SKYLIN,"2,266.00"
SCREW SKYLN ST 14 OVSZ  ,"2,266.00"
ROD SPN PREBNT TI 5.5X40,"2,266.00"
SCREW BONE 186852012    ,"2,266.00"
SCREW BN TI L12MM SKYLIN,"2,266.00"
ROD SPN PREBNT 5.5X35   ,"2,266.00"
ROD SPNL TI 5.5MMX8CM   ,"2,266.00"
SCREW VAR ANG BNE 4X14  ,"2,266.00"
SCREW BNE FX 4.0X14     ,"2,266.00"
ROD SPNL 40MM 6MM MANTIS,"2,266.00"
ROD SPNL 65 5.5 REVERE T,"2,266.00"
ROD SPN UNION 480MM     ,"2,266.00"
ROD TI PRBNT BLU 5.5X45 ,"2,266.00"
ROD SPNL TI 55MM 5.5MM  ,"2,266.00"
ROD SP 6.35X85 PRBNT MON,"2,266.00"
ROD MONARCH 6.35X85MM TI,"2,266.00"
ROD MONARCH 6.35X45MM TI,"2,266.00"
ROD SPN MNRCH 5.5X450MM ,"2,266.00"
ROD PREBENT 5.5MM X 55MM,"2,266.00"
ROD 177010055           ,"2,266.00"
ROD SPNL TI L75MM OD6.0M,"2,266.00"
ROD 5.5X45 PREBENT      ,"2,266.00"
ROD 40MM                ,"2,266.00"
ROD PREBENT PRECUT 5.5 X,"2,266.00"
ROD LEGACY LINED ALLOY  ,"2,266.00"
ROD MONARCH 6.35 X 75   ,"2,266.00"
SCR L14 OD4.25MM SPN BN ,"2,266.00"
ROD SPNL TI .25X240     ,"2,266.00"
ROD SPNL 600MM 5.5MM MNR,"2,266.00"
SCREW BN TI LG DIA L14MM,"2,266.00"
SCREW BONE 186852014    ,"2,266.00"
SET SCR RELINE MAS CORE ,"2,266.00"
FILLR BN 1CC DBM GEL    ,"2,266.00"
NUT HUM COMPRESSED      ,"2,267.00"
PLATE HND WRST PRFL10197,"2,268.00"
SCREW 35MM SLDR CNTL    ,"2,269.00"
PLATE 1/3 TBLR 70MM     ,"2,270.00"
SCREW BN CANN 6.5X40X20 ,"2,272.00"
SCREW BN HIP 6.5X100X40 ,"2,272.00"
SCR BN AS3 S/T 6.5X95X20,"2,272.00"
SCR BN AS3 S/T 6X90X20  ,"2,272.00"
ANCH SUT OD6.5 FBRWR    ,"2,275.00"
PLATE FX RIG COMMINUTED ,"2,275.00"
SCRW BN LCK 3.5MM 30MM  ,"2,275.00"
SCREW BN 3.5MM 35MM ORTH,"2,275.00"
SCREW BN 3.5MM 32MM ORTH,"2,275.00"
SCREW BN LCK 3.5X16MM   ,"2,275.00"
SCREW BN LCK 3.5X20MM   ,"2,275.00"
SCREW BN ORTH LCK 26MM  ,"2,275.00"
CAP END IM NAIL TRGN 5MM,"2,276.00"
CAP END IM NAIL TRGN10MM,"2,276.00"
CAP END IM NAIL TRGN20MM,"2,276.00"
PLATE MTRX SHRT THK 90 8,"2,277.00"
PLATE 90D .8 TU 2X2 HL  ,"2,277.00"
PLATE 90D LNG 11MMX.8MM ,"2,277.00"
GRAFT VASC 25CM 16MM IMP,"2,278.00"
SCREW LWR EXTRM GRN 60X5,"2,279.00"
SCREW LWR EXTRM GRN 65X5,"2,279.00"
SCR IM LCK 5X50MM       ,"2,279.00"
SCR IM LCK 5X55MM       ,"2,279.00"
SCR IM LCK 5X40MM       ,"2,279.00"
SCR IM LCK 4X60MM       ,"2,279.00"
SCR IM LCK 4X55MM       ,"2,279.00"
SCREW LCK IM 4X25MM     ,"2,279.00"
SCREW LCKIM 4X30MM      ,"2,279.00"
SCREW LCK PREC 3.5X35MM ,"2,279.00"
SCREW LCK PREC 5X60MM   ,"2,279.00"
SCREW LCK PREC 3.5X30MM ,"2,279.00"
SCREW LCK PREC 3.5X25MM ,"2,279.00"
SCREW BN LCK 5X30MM     ,"2,279.00"
SCR BN LCK GRN 5X55MM   ,"2,279.00"
SCREW 5.0 X50MM LOCKING ,"2,279.00"
SCREW 5.0 X45MM LOCKING ,"2,279.00"
SCREW BN LCK 4X35MM     ,"2,279.00"
SCREW LCK 4X40MM        ,"2,279.00"
SCR BN 5MMX35MM LCKNG   ,"2,279.00"
SCR BN 5MMX70MM LCKNG   ,"2,279.00"
SCREW BN LCK 5X45MM     ,"2,279.00"
SCREW LCKNG 5.0X65MM    ,"2,279.00"
SCREW BN LCKNG 5X50MM   ,"2,279.00"
SCREW 5X25 LSC5025      ,"2,279.00"
SCREW FULL THREADDED 4.0,"2,279.00"
SCREW THREADED 5.0MM X 5,"2,279.00"
SCREW THREAD 4.0MMX32.5M,"2,279.00"
ADHESIVE BARR 4X3 INTRC ,"2,280.00"
SCREW TT LCK SELFDRILL 5,"2,281.00"
NAIL INTRAMEDULLARY STAI,"2,281.00"
PTCH KUGAL MED. OVL     ,"2,282.00"
GFT VSC SHUNT PED 3X10  ,"2,282.00"
SCREW 3.5MMX34MM LNG COR,"2,283.00"
SCREW 3.5MMX30MM LNG COR,"2,283.00"
SCR CORT LCK CLW2 2.7X12,"2,283.00"
SCR CORT LCK CLW2 2.7X16,"2,283.00"
SCR CORT LCK CLW2 2.7X18,"2,283.00"
SCR CORT LCK CLW2 2.7X22,"2,283.00"
SCR CORT LCK CLW2 2.7X24,"2,283.00"
PLT UNV CLW2 2HL 20MM LG,"2,283.00"
SCRW BN CANN 7MM X 75MM ,"2,283.00"
SCREW BN 3.5X20 58803520,"2,283.00"
ROD SPNL SOLERA 5.5X55MM,"2,285.00"
ROD SPNL CRV 5.5X120MM  ,"2,285.00"
ROD 5.5 CCM NS CRV 110  ,"2,285.00"
ROD SPL SOLERA 5.5X500MM,"2,285.00"
ROD VRTX PRECUT 3.5MMX80,"2,285.00"
ROD SPNL 70MM 3.5MM VRTX,"2,285.00"
ROD SPNL 60MM SOLERA CRV,"2,285.00"
RID VRTX PRECUT 3.5MMX90,"2,285.00"
ROD SP 90X5.5MM CRV NS  ,"2,285.00"
ROD SPN 5.5MMX180MM VGR ,"2,285.00"
ROD SPNL 40X3.5MM VRTX S,"2,285.00"
ROD SPNL 3.5MMX30 CCM+ P,"2,285.00"
ROD SPNL 60X3.5MM VRTX S,"2,285.00"
ROD SPNL 150MM 5.5MM    ,"2,285.00"
ROD SPNL 85MM 5.5MM     ,"2,285.00"
ROD SPNL 3.5MMX50 CCM+ P,"2,285.00"
ROD SPNL 200MM 5.5MM CD ,"2,285.00"
ROD SPNL 190MM 5.5MM CD ,"2,285.00"
ROD SPNL 100MM 3.5MM VRT,"2,285.00"
ROD SPNL 160MM 5.5MM CD ,"2,285.00"
ROD SPNL 170MM 5.5MM CD ,"2,285.00"
SCREW VA-LCP PERI 5.0X16,"2,286.00"
PLATE BRD 106MM SS 4.5MM,"2,287.00"
STAPLE SPIKED SM. 5/16  ,"2,288.00"
STAPLE BONE 128696      ,"2,288.00"
SCR NLCKG HX 3.5X4.75X25,"2,289.00"
SCREW BN 4.0X18 VARI SPN,"2,289.00"
SCREW CORT 180X50MM     ,"2,289.00"
SCREW 44MM 3.5 CORTEX ST,"2,289.00"
SCREW 36MM 3.5 CORTEX ST,"2,289.00"
VARI BNE SCREW 4.0X16   ,"2,289.00"
SCREW FX LCK 4.75X25    ,"2,289.00"
SCREW BN 15MMX4.75MM FX ,"2,289.00"
SCREW FX LCK 4.75X30    ,"2,289.00"
SCREW FX LCK 4.75X20    ,"2,289.00"
SCREW BN FX LCK 4.75X35 ,"2,289.00"
SCREW 3.5X16MM NON LCK  ,"2,289.00"
SCREW BN 3.5X16M LCKING ,"2,289.00"
SCREW 3.5X14MM NON LCK  ,"2,289.00"
SCREW GOR LCK 3.5X10MM  ,"2,289.00"
FEMORAL REV P.S. SZ00 4 ,"2,290.00"
BARRIER ADH 4 SECT GFT S,"2,292.00"
SCR TRGN LOPRO 5X27MM   ,"2,295.00"
SCREW BNE TI L80MM OD5MM,"2,295.00"
SCREW LOCK 04.005.526S  ,"2,295.00"
SCREW BNE TI L40MM OD5MM,"2,295.00"
SCREW LOCK 04.005.522S  ,"2,295.00"
SCREW BNE TI L38MM OD5MM,"2,295.00"
SCREW TI TIBIAL 5 X 30MM,"2,295.00"
SCREW LOCKING 5.0 X 60MM,"2,295.00"
SCREW LOCK 04.005.532S  ,"2,295.00"
SCREW LOCK 04.005.536S  ,"2,295.00"
SCREW BNE TI L48MM OD5MM,"2,295.00"
SCREW LOCK 04.005.540S  ,"2,295.00"
SCREW NLEX T25 5X4.3X34 ,"2,295.00"
IMPLNT HIP LNR PE 28    ,"2,296.00"
ACTIFUSE SHAPE MED CYL  ,"2,297.00"
SCREW CERV SPINE CANCEL ,"2,300.00"
PROSTHESIS OSS LG NAR 4 ,"2,302.00"
SCR LCK CMPR 4.7X35MM   ,"2,304.00"
SCREW POLYAXIAL 3.5X22  ,"2,305.00"
SCREW CANNULATED 6.5 16 ,"2,306.00"
SCREW CANN 6.5X90       ,"2,306.00"
SCREW CANN 6.5X95MM     ,"2,306.00"
SCREW CANNULATED 6.5 160,"2,306.00"
SCREW CANN 6.5X115X16MM ,"2,306.00"
SCREW CANN 6.5X80MM     ,"2,306.00"
SCREW CANN 6.5X90MM     ,"2,306.00"
SCREW BN 6.5MM 110MM SS ,"2,306.00"
SCREW BN 6.5MM 115MM SS ,"2,306.00"
SCREW BNE L120MM OD6.5MM,"2,306.00"
SCREW BN 6.5MM 125MM SS ,"2,306.00"
SCREW BN 6.5MM 130MM SS ,"2,306.00"
SCREW BN 6.5MM 100MM SS ,"2,306.00"
SCREW BN 6.5MM 105MM SS ,"2,306.00"
SCREW BNE SS L25 MM OD7.,"2,306.00"
SCREW LOPRO LCK 4.5X30MM,"2,308.00"
SCREW LOPRO LCK 4.5X32MM,"2,308.00"
SCREW LOPRO LCK 4.5C36MM,"2,308.00"
SCR 4.5X34MM LPR LCK    ,"2,308.00"
SCR 4.5X38MM LPR LCK    ,"2,308.00"
SCR 4.5X45MM LPR LCK    ,"2,308.00"
PLATE 5MM CHIN MOD 2MMSC,"2,308.00"
BURR HOLE COVER TI 12MM ,"2,308.00"
PATCH DURA DRFRM 1X3IN  ,"2,311.00"
PLATE MDFC 6H YSHP 0.6MM,"2,311.00"
CMNT RESTRICTOR 16X25MM ,"2,312.00"
SCREW ANCHOR LCK 3X30MM ,"2,313.00"
SCREW BN 3X28MM LCK PLT ,"2,313.00"
SCREW BN LCK SURG 3X16MM,"2,313.00"
SCREW BN LCK 3MM 14MM   ,"2,313.00"
SCREW FT ANKL 3.5X18MM  ,"2,313.00"
SCREW 3.5X14 ANCH ANKFT ,"2,313.00"
SCREW ANKL FT LCK 3.5X20,"2,313.00"
SCREW ANCHOR LCK 3X26MM ,"2,313.00"
SCREW BN 3.5X12 PLSL3512,"2,313.00"
SCREW ANCHRG ANKL 3X18MM,"2,313.00"
SCREW ANCHRG ANKL 3X20MM,"2,313.00"
SCREWFT ANKL 3.5X16MM   ,"2,313.00"
ROD SPINE 198MM OSTEONIC,"2,314.00"
ROD SPINE OSS 208MM     ,"2,314.00"
ROD SPIN 248MM OSS      ,"2,314.00"
ROD SPINE OSS 118MM     ,"2,314.00"
ROD BACK OSTEONIC 128MM ,"2,314.00"
SCR BN LG D L16MM SLIM-L,"2,315.00"
SCREW THRD ANC 5X70MM   ,"2,316.00"
SCR CAL THRD HD 5X100MM ,"2,316.00"
SCREW ANKL THRD HD 5X85 ,"2,316.00"
PLATE BN ANKL 10HL 131MM,"2,316.00"
SCREW CANC 6.5X75X22    ,"2,316.00"
SCREW CANC 5MM 90MM THRD,"2,316.00"
SCR CNTRO THRD HD 5X75  ,"2,316.00"
ROD SPNL TI L75MM OD5.5M,"2,318.00"
SCREW BN 4X42MM QFIX TI ,"2,319.00"
SCREW BN 4MM 60MM QFIX T,"2,319.00"
SCREW BN 4MM 54MM QFIX T,"2,319.00"
ENDOBUTTON CL 30MM      ,"2,319.00"
ENDOBUTTONCL ULTRA40    ,"2,319.00"
BUTTON FX EBTN CL ULT 15,"2,319.00"
ENDOBUTTON CL ULT 35MM  ,"2,319.00"
BUTTON ENDO FX ACL 25MM ,"2,319.00"
BUTTON ENDO FX ACL 20MM ,"2,319.00"
SCREW BN 4MM 58MM QFIX T,"2,319.00"
SCREW QFIX P-T 4X44MM   ,"2,319.00"
SCREW LOPRO CANN 4.0X40 ,"2,319.00"
GRAFT BN PRGNX DBM 1ML  ,"2,323.00"
PLATE STRAIGHT 2.0 12HX7,"2,327.00"
PROS PLATEY 2.0 3H      ,"2,327.00"
PLATE T 2.0 3 HOLE HEAD ,"2,327.00"
SCRW 2.7X30MM LOCK      ,"2,328.00"
SCREW BN CNTRL 6.5X30   ,"2,329.00"
SCREW CNTRL CMPRH 35X6.5,"2,329.00"
ANCHOR GII              ,"2,329.00"
SCREW VA-LCP PERI 5.0X18,"2,330.00"
SCREW CNDYL T25 5X12MM  ,"2,330.00"
SCREW LCP CNDYL 5X10MM  ,"2,330.00"
PLATE 242.61            ,"2,330.00"
SCREW CANN 4.5 X 34 FT  ,"2,330.00"
SCREW SPNL 6597         ,"2,330.00"
PLATE BNE 2.7MM L57MMXW7,"2,330.00"
NAIL IM TI L440MM OD2.0M,"2,331.00"
PLATE BN LOPRO 2X2HL.3MM,"2,331.00"
SCREW BN 4MM 16MM SPNL F,"2,334.00"
PLATE STRAIGHT 1.3 12HX4,"2,334.00"
PLATE BNE 316L SS 2.4MM ,"2,337.00"
PLATE H.5MM MDFC T BN MT,"2,337.00"
SCREW PHNX P-T CANN 85X6,"2,339.00"
SCREW PHNX P-T CANN 90X6,"2,339.00"
BONE VOID FILLER SMALL S,"2,339.00"
PROS FRSB MYRINGOPEXY TI,"2,339.00"
SCREW CANN 6.5X50       ,"2,339.00"
SCREW BN 3.5MM 18MM LCK ,"2,341.00"
SCREW BN LCK 3.5X22MM   ,"2,341.00"
SCREW BN 3.5MM 24MM LCK ,"2,341.00"
SCREW BN LCKNG 3.5X14MM ,"2,341.00"
SCREW BN CANN 7X120X55  ,"2,345.00"
SCRW BN CANN 7MM X 85MM ,"2,345.00"
PASTE BN MATRIX 1ML     ,"2,346.00"
PROSTH EAR GB 5.6X1.17  ,"2,346.00"
PROSTH EAR GB HAPX8.2X.8,"2,347.00"
DEVICE CLSR BLK GRN 6-7F,"2,348.00"
SCREW BN 4.5MMX16MM CANN,"2,348.00"
SCREW BN 4.5MMX20MM CANN,"2,348.00"
SCREW BN 4.5MMX32MM CANN,"2,348.00"
SCREW BN 4.5MMX24MM CANN,"2,348.00"
SCREW BN 4.5MMX28MM CANN,"2,348.00"
SCREW BN 4.5MMX36MM CANN,"2,348.00"
ANCH SUT TWNFX ULT 4.5MM,"2,350.00"
SCREW CANN 6.5X30X16MM  ,"2,350.00"
SCREW CANN 6.5X35X16MM  ,"2,350.00"
SCREW CANN FT 6.5X25MM  ,"2,350.00"
SCREW BN 6.5MM 30MM SS O,"2,350.00"
SCREW BN 6.5MM 35MM SS O,"2,350.00"
SCREW BN 6.5MM 50MM SS O,"2,350.00"
SCREW CANNULATED 6.5 16 ,"2,350.00"
SCREW BNE SS L20 MM OD7.,"2,350.00"
SCREW CANNULATED 7.3 16 ,"2,350.00"
SCREW CANN SYNT 7.3X1   ,"2,350.00"
SCREW CANN 7.3X45       ,"2,350.00"
SCREW CANN 7.3 X 120 SHT,"2,350.00"
SCREW CANN 7.3 X 125 SHT,"2,350.00"
SCREW CANN 7.3 X 130 SHT,"2,350.00"
SCREW CANN 7.3X85 408.  ,"2,350.00"
SCREW BNE HRBRT 3X16    ,"2,350.00"
SCREW BNE HRBRT 3X18    ,"2,350.00"
SCREW BNE HRBRT 3X20    ,"2,350.00"
SCREW BNE HRBRT 3X22    ,"2,350.00"
SCREW BNE HRBRT 3X24    ,"2,350.00"
SCREW BNE HRBRT 3X26    ,"2,350.00"
SCREW BNE HRBRT 3X30    ,"2,350.00"
SCREW BNE L35MM OD7.3MM ,"2,350.00"
SCREW CANN 7.3 X 110 SHT,"2,350.00"
SCREW CANN 7.3 X 115 SHT,"2,350.00"
SCREW BNE L30MM OD7.3MM ,"2,350.00"
ANCHOR SUT 5.5MM TI ULBR,"2,350.00"
ANCHOR SUT 5.5MM TWNFX U,"2,350.00"
FILLER CHRONOS 10CC GRAN,"2,352.25"
7CM X 10CM FENESTRATED B,"2,355.00"
5.5 TI CLSD ILIAC CN 20M,"2,356.00"
SCR LCK EXTMLCK 3.5X24  ,"2,357.00"
SCR LCK EXTMLCK 3.5X26  ,"2,357.00"
SCR LCK EXTMLCK 3.5X30  ,"2,357.00"
